,group,variable,month,TOTAL 21.2 MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,TOTAL 21.2 MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
CARAPARI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,22,16,22,16,38
CARIPUYO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,4,5,4,5,9
CARMEN RIVERO TORREZ,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,4,1,4,1,5
CATACORA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,0,24,0,24,24
CHALLAPATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,42,55,42,55,97
CHAQUI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,7,2,7,2,9
CHARAGUA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,80,68,80,68,148
CHARAÑA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,7,0,7,0,7
CHAYANTA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,0,22,0,22,22
CHIMORE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,24,13,24,13,37
CHUA COCANI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,0,167,0,167,167
CHUMA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,9,2,9,2,11
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,7,0,7,0,7
CKOCHAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,22,7,22,7,29
CLIZA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,46,214,46,214,260
COBIJA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,114,20,114,20,134
COCAPATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,4,56,4,56,60
COCHABAMBA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,706,1714,706,1714,2420
COIPASA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,1,1,1,1,2
COLCAPIRHUA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,48,54,48,54,102
"COLCHA ""K""",otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,33,23,33,23,56
COLLANA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,3,0,3,0,3
COLOMI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,20,54,20,54,74
COLPA BELGICA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,12,124,12,124,136
COLQUECHACA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,10,11,10,11,21
COLQUENCHA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,5,0,5,0,5
COLQUIRI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,0,309,0,309,309
COMARAPA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,10,92,10,92,102
CONCEPCION,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,31,289,31,289,320
COPACABANA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,15,57,15,57,72
CORIPATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,10,2,10,2,12
CORO CORO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,8,0,8,0,8
COROICO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,6,27,6,27,33
CORQUE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,1,4,1,4,5
COTAGAITA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,18,20,18,20,38
COTOCA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,93,83,93,83,176
CUATRO CAÑADAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,17,246,17,246,263
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,5,0,5,0,5
CUEVO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,1,6,1,6,7
CULPINA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,10,40,10,40,50
CURAHUARA DE CARANGAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,3,1,3,1,4
CURVA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,3,0,3,0,3
EL ALTO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,1174,1810,1174,1810,2984
EL CHORO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,1,14,1,14,15
EL PUENTE(STC),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,14,8,14,8,22
EL PUENTE(TJA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,10,5,10,5,15
EL TORNO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,64,192,64,192,256
ENTRE RIOS TRJ,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,20,24,20,24,44
ENTRE RIOS CBBA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,30,68,30,68,98
ESCOMA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,8,29,8,29,37
ESMERALDA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,1,0,1,0,1
EUCALIPTUS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,4,2,4,2,6
EUREKA (SANTOS MERCADO),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,0,3,0,3,3
FERNANDEZ ALONSO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,12,85,12,85,97
FILADELFIA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,5,9,5,9,14
GENERAL SAAVEDRA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,8,16,8,16,24
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,0,16,0,16,16
GUANAY,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,35,51,35,51,86
GUAQUI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,0,164,0,164,164
GUAYARAMERIN,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,90,115,90,115,205
GUTIERREZ,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,1,14,1,14,15
HUACARETA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,4,6,4,6,10
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,4,0,4,0,4
HUACHACALLA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,0,113,0,113,113
HUANUNI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,22,24,22,24,46
HUARACAJE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,4,0,4,0,4
HUARINA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,2,10,2,10,12
HUAYLLAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,2,3,2,3,5
HUMANATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,3,4,3,4,7
ICHOCA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,0,7,0,7,7
INCAHUASI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,18,35,18,35,53
INQUISIVI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,1,15,1,15,16
IRUPANA (VILLA DE LANZA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,5,134,5,134,139
IXIAMAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,11,12,11,12,23
JESUS DE MACHACA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,5,15,5,15,20
LA ASUNTA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,25,170,25,170,195
LA GUARDIA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,74,1657,74,1657,1731
LA PAZ,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,1277,1639,1277,1639,2916
LAGUNILLAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,14,1,14,1,15
LAJA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,8,9,8,9,17
LAS CARRERAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,2,0,2,0,2
LICOMA PAMPA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,1,23,1,23,24
LLALLAGUA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,45,275,45,275,320
LORETO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,1,15,1,15,16
LURIBAY,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,34,43,34,43,77
MACHACAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,3,0,3,0,3
MACHARETI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,2,11,2,11,13
MAGDALENA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,5,0,5,0,5
MAIRANA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,1,12,1,12,13
MALLA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,0,73,0,73,73
MAPIRI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,21,8,21,8,29
MECAPACA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,8,19,8,19,27
MINEROS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,8,303,8,303,311
MIZQUE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,23,7,23,7,30
MOCOMOCO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,12,16,12,16,28
MOJINETE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,1,0,1,0,1
MOJOCOYA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,5,11,5,11,16
MONTEAGUDO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,24,107,24,107,131
MONTERO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,661,282,661,282,943
MORO MORO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,3,5,3,5,8
MOROCHATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,6,15,6,15,21
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,3,9,3,9,12
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,0,11,0,11,11
OCURI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,9,49,9,49,58
OKINAWA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,30,114,30,114,144
OMEREQUE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,2,30,2,30,32
ORURO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,976,34,976,34,1010
PADCAYA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,23,27,23,27,50
PADILLA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,1,66,1,66,67
PAILON,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,20,264,20,264,284
PALCA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,12,32,12,32,44
PALOS BLANCOS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,20,7,20,7,27
PAMPA AULLAGAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,0,1,0,1,1
PAMPA GRANDE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,17,18,17,18,35
PAPEL PAMPA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,12,14,12,14,26
PASORAPA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,1,11,1,11,12
PATACAMAYA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,23,6,23,6,29
PAZÑA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,6,5,6,5,11
PELECHUCO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,5,8,5,8,13
POCOATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,3,21,3,21,24
POCONA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,18,16,18,16,34
POJO (CBBA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,19,22,19,22,41
POOPO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,0,1,0,1,1
PORCO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,13,1,13,1,14
POROMA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,16,20,16,20,36
PORONGO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,5,53,5,53,58
PORTACHUELO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,11,16,11,16,27
PORVENIR,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,2,63,2,63,65
POSTRER VALLE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,0,1,0,1,1
POTOSI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,290,684,290,684,974
PRESTO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,2,12,2,12,14
PUCARA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,6,1,6,1,7
PUCARANI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,5,32,5,32,37
PUERTO ACOSTA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,11,10,11,10,21
PUERTO CARABUCO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,4,16,4,16,20
PUERTO GONZALO MORENO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,18,0,18,0,18
PUERTO PEREZ,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,1,52,1,52,53
PUERTO QUIJARRO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,16,2,16,2,18
PUERTO RICO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,14,1,14,1,15
PUERTO SUAREZ,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,10,184,10,184,194
PUERTO VILLARROEL,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,65,68,65,68,133
PUNA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,11,39,11,39,50
PUNATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,52,49,52,49,101
QUIABAYA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,2,1,2,1,3
QUILLACOLLO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,84,569,84,569,653
QUIME,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,5,45,5,45,50
RAVELO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,18,37,18,37,55
REYES,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,64,46,64,46,110
RIBERALTA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,226,88,226,88,314
ROBORE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,2,184,2,184,186
RURRENABAQUE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,23,2,23,2,25
SABAYA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,1,2,1,2,3
SACABA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,146,637,146,637,783
SACABAMBA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,0,6,0,6,6
SACACA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,15,4,15,4,19
SAIPINA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,27,53,27,53,80
SALINAS DE GARCI MENDOZA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,7,6,7,6,13
SAMAIPATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,10,17,10,17,27
SAN AGUSTIN,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,21,88,21,88,109
SAN ANDRES,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,33,40,33,40,73
SAN ANTONIO DE LOMERIO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,8,7,8,7,15
SAN BENITO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,8,6,8,6,14
SAN BORJA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,73,68,73,68,141
SAN BUENA VENTURA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,9,5,9,5,14
SAN CARLOS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,27,91,27,91,118
SAN IGNACIO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,51,169,51,169,220
SAN IGNACIO DE VELASCO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,84,57,84,57,141
SAN JAVIER(BNI),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,3,7,3,7,10
SAN JOAQUIN,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,14,0,14,0,14
SAN JOSE DE CHIQUITOS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,38,19,38,19,57
SAN JUAN DE YAPACANI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,3,60,3,60,63
SAN JULIAN,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,56,187,56,187,243
SAN LORENZO(PND),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,5,6,5,6,11
SAN LORENZO(TJA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,21,65,21,65,86
SAN LUCAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,62,44,62,44,106
SAN MATIAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,38,18,38,18,56
SAN MIGUEL DE VELASCO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,17,134,17,134,151
SAN PABLO DE LIPEZ,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,0,6,0,6,6
SAN PEDRO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,11,8,11,8,19
SAN PEDRO DE BUENA VISTA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,22,52,22,52,74
SAN PEDRO DE CURAHUARA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,3,3,3,3,6
SAN PEDRO DE TIQUINA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,8,2,8,2,10
SAN RAFAEL,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,4,1,4,1,5
SAN RAMON BENI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,4,2,4,2,6
SAN RAMON SCZ,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,13,45,13,45,58
SANTA ANA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,6,36,6,36,42
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,2334,4463,2334,4463,6797
SANTA ROSA DEL SARA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,18,5,18,5,23
SANTIAGO DE CALLAPA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,2,4,2,4,6
SANTIAGO DE HUARI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,0,38,0,38,38
SANTIAGO DE HUATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,3,2,3,2,5
SANTIAGO DE MACHACA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,3,8,3,8,11
SANTIVAÑES,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,3,0,3,0,3
SANTUARIO DE QUILLACAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,1,4,1,4,5
SAPAHAQUI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,5,27,5,27,32
SENA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,3,0,3,0,3
SHINAOTA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,17,81,17,81,98
SICA SICA (VILLA AROMA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,24,285,24,285,309
SIPE SIPE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,73,24,73,24,97
SOPACHUY,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,4,11,4,11,15
SORACACHI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,4,8,4,8,12
SORATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,23,31,23,31,54
SUCRE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,282,1020,282,1020,1302
TACACHI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,0,5,0,5,5
TACACOMA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,7,17,7,17,24
TACOBAMBA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,11,7,11,7,18
TACOPAYA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,3,25,3,25,28
TAHUA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,5,0,5,0,5
TAPACARI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,17,96,17,96,113
TARABUCO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,2,12,2,12,14
TARACO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,7,0,7,0,7
TARATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,2,101,2,101,103
TARIJA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,376,158,376,158,534
TARVITA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,8,16,8,16,24
TEOPONTE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,5,5,5,5,10
TIAWANACU,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,20,162,20,162,182
TINGUIPAYA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,16,6,16,6,22
TIPUANI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,6,0,6,0,6
TIQUIPAYA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,39,164,39,164,203
TIRAQUE (CBBA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,28,94,28,94,122
TOCO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,8,43,8,43,51
TOLATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,10,38,10,38,48
TOLEDO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,5,7,5,7,12
TOMAVE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,7,9,7,9,16
TOMINA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,3,19,3,19,22
TORO TORO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,4,14,4,14,18
TOTORA(CBBA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,31,42,31,42,73
TOTORA(ORR),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-04-01,5,11,5,11,16
