,group,variable,month,TOTAL 21.9 ANTIRRÁBICA EN HUMANO CANTIDAD,TOTAL 21.9 ANTIRRÁBICA EN HUMANO CANTIDAD,TOTALES,TOTALES,TOTALES
COTOCA,otras vacunaciones,      antirrabica en humano,2014-05-01,57,0,57,0,57
CUATRO CAÑADAS,otras vacunaciones,      antirrabica en humano,2014-05-01,16,9,16,9,25
EL ALTO,otras vacunaciones,      antirrabica en humano,2014-05-01,1275,0,1275,0,1275
EL TORNO,otras vacunaciones,      antirrabica en humano,2014-05-01,108,0,108,0,108
ENTRE RIOS TRJ,otras vacunaciones,      antirrabica en humano,2014-05-01,6,0,6,0,6
HUANUNI,otras vacunaciones,      antirrabica en humano,2014-05-01,14,1,14,1,15
LA GUARDIA,otras vacunaciones,      antirrabica en humano,2014-05-01,233,0,233,0,233
LA PAZ,otras vacunaciones,      antirrabica en humano,2014-05-01,510,0,510,0,510
MAIRANA,otras vacunaciones,      antirrabica en humano,2014-05-01,15,0,15,0,15
MINEROS,otras vacunaciones,      antirrabica en humano,2014-05-01,14,0,14,0,14
MIZQUE,otras vacunaciones,      antirrabica en humano,2014-05-01,4,0,4,0,4
MONTERO,otras vacunaciones,      antirrabica en humano,2014-05-01,106,0,106,0,106
MORO MORO,otras vacunaciones,      antirrabica en humano,2014-05-01,14,5,14,5,19
ORURO,otras vacunaciones,      antirrabica en humano,2014-05-01,105,0,105,0,105
PALOS BLANCOS,otras vacunaciones,      antirrabica en humano,2014-05-01,13,0,13,0,13
POTOSI,otras vacunaciones,      antirrabica en humano,2014-05-01,129,0,129,0,129
PUERTO PEREZ,otras vacunaciones,      antirrabica en humano,2014-05-01,0,7,0,7,7
PUERTO QUIJARRO,otras vacunaciones,      antirrabica en humano,2014-05-01,40,0,40,0,40
PUNA,otras vacunaciones,      antirrabica en humano,2014-05-01,0,1,0,1,1
QUILLACOLLO,otras vacunaciones,      antirrabica en humano,2014-05-01,1,0,1,0,1
SAIPINA,otras vacunaciones,      antirrabica en humano,2014-05-01,10,0,10,0,10
SAMAIPATA,otras vacunaciones,      antirrabica en humano,2014-05-01,10,0,10,0,10
SAN BUENA VENTURA,otras vacunaciones,      antirrabica en humano,2014-05-01,1,0,1,0,1
SAN CARLOS,otras vacunaciones,      antirrabica en humano,2014-05-01,12,0,12,0,12
SAN IGNACIO,otras vacunaciones,      antirrabica en humano,2014-05-01,6,0,6,0,6
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica en humano,2014-05-01,69,0,69,0,69
SAN JUAN DE YAPACANI,otras vacunaciones,      antirrabica en humano,2014-05-01,2,0,2,0,2
SAN JULIAN,otras vacunaciones,      antirrabica en humano,2014-05-01,18,0,18,0,18
SAN MIGUEL DE VELASCO,otras vacunaciones,      antirrabica en humano,2014-05-01,5,0,5,0,5
SAN PEDRO,otras vacunaciones,      antirrabica en humano,2014-05-01,5,0,5,0,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica en humano,2014-05-01,2861,0,2861,0,2861
SANTA ROSA DEL SARA,otras vacunaciones,      antirrabica en humano,2014-05-01,1,0,1,0,1
SORACACHI,otras vacunaciones,      antirrabica en humano,2014-05-01,9,0,9,0,9
SUCRE,otras vacunaciones,      antirrabica en humano,2014-05-01,509,0,509,0,509
TARACO,otras vacunaciones,      antirrabica en humano,2014-05-01,10,0,10,0,10
TARIJA,otras vacunaciones,      antirrabica en humano,2014-05-01,237,0,237,0,237
TIAWANACU,otras vacunaciones,      antirrabica en humano,2014-05-01,2,0,2,0,2
TOLATA,otras vacunaciones,      antirrabica en humano,2014-05-01,1,0,1,0,1
TRINIDAD,otras vacunaciones,      antirrabica en humano,2014-05-01,4,0,4,0,4
UNCIA,otras vacunaciones,      antirrabica en humano,2014-05-01,3,0,3,0,3
UYUNI,otras vacunaciones,      antirrabica en humano,2014-05-01,30,0,30,0,30
VACAS,otras vacunaciones,      antirrabica en humano,2014-05-01,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,      antirrabica en humano,2014-05-01,53,0,53,0,53
VIACHA,otras vacunaciones,      antirrabica en humano,2014-05-01,25,0,25,0,25
VILLA MONTES,otras vacunaciones,      antirrabica en humano,2014-05-01,5,0,5,0,5
VILLA TUNARI,otras vacunaciones,      antirrabica en humano,2014-05-01,3,0,3,0,3
VILLAZON,otras vacunaciones,      antirrabica en humano,2014-05-01,128,0,128,0,128
VINTO,otras vacunaciones,      antirrabica en humano,2014-05-01,4,0,4,0,4
WARNES,otras vacunaciones,      antirrabica en humano,2014-05-01,139,0,139,0,139
YACUIBA,otras vacunaciones,      antirrabica en humano,2014-05-01,70,0,70,0,70
YAPACANI,otras vacunaciones,      antirrabica en humano,2014-05-01,5,0,5,0,5
ATOCHA,otras vacunaciones,      antirrabica en humano,2014-06-01,19,0,19,0,19
BERMEJO,otras vacunaciones,      antirrabica en humano,2014-06-01,1,4,1,4,5
CABEZAS,otras vacunaciones,      antirrabica en humano,2014-06-01,7,0,7,0,7
"CAIZA ""D""",otras vacunaciones,      antirrabica en humano,2014-06-01,21,0,21,0,21
CALAMARCA,otras vacunaciones,      antirrabica en humano,2014-06-01,1,0,1,0,1
CAMIRI,otras vacunaciones,      antirrabica en humano,2014-06-01,1,0,1,0,1
CAPINOTA,otras vacunaciones,      antirrabica en humano,2014-06-01,8,0,8,0,8
CARAPARI,otras vacunaciones,      antirrabica en humano,2014-06-01,2,1,2,1,3
CHALLAPATA,otras vacunaciones,      antirrabica en humano,2014-06-01,24,0,24,0,24
CLIZA,otras vacunaciones,      antirrabica en humano,2014-06-01,2,1,2,1,3
COCHABAMBA,otras vacunaciones,      antirrabica en humano,2014-06-01,193,0,193,0,193
"COLCHA ""K""",otras vacunaciones,      antirrabica en humano,2014-06-01,15,0,15,0,15
COMARAPA,otras vacunaciones,      antirrabica en humano,2014-06-01,17,0,17,0,17
COPACABANA,otras vacunaciones,      antirrabica en humano,2014-06-01,14,0,14,0,14
COTAGAITA,otras vacunaciones,      antirrabica en humano,2014-06-01,8,0,8,0,8
COTOCA,otras vacunaciones,      antirrabica en humano,2014-06-01,52,0,52,0,52
CUATRO CAÑADAS,otras vacunaciones,      antirrabica en humano,2014-06-01,13,7,13,7,20
CUEVO,otras vacunaciones,      antirrabica en humano,2014-06-01,3,0,3,0,3
EL ALTO,otras vacunaciones,      antirrabica en humano,2014-06-01,1251,0,1251,0,1251
EL CHORO,otras vacunaciones,      antirrabica en humano,2014-06-01,1,0,1,0,1
EL TORNO,otras vacunaciones,      antirrabica en humano,2014-06-01,125,0,125,0,125
ENTRE RIOS TRJ,otras vacunaciones,      antirrabica en humano,2014-06-01,1,0,1,0,1
GENERAL SAAVEDRA,otras vacunaciones,      antirrabica en humano,2014-06-01,1,0,1,0,1
HUANUNI,otras vacunaciones,      antirrabica en humano,2014-06-01,14,0,14,0,14
ICHOCA,otras vacunaciones,      antirrabica en humano,2014-06-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,      antirrabica en humano,2014-06-01,227,0,227,0,227
LA PAZ,otras vacunaciones,      antirrabica en humano,2014-06-01,882,0,882,0,882
MIZQUE,otras vacunaciones,      antirrabica en humano,2014-06-01,9,0,9,0,9
MONTEAGUDO,otras vacunaciones,      antirrabica en humano,2014-06-01,2,0,2,0,2
MONTERO,otras vacunaciones,      antirrabica en humano,2014-06-01,71,0,71,0,71
MORO MORO,otras vacunaciones,      antirrabica en humano,2014-06-01,12,3,12,3,15
OCURI,otras vacunaciones,      antirrabica en humano,2014-06-01,2,0,2,0,2
ORURO,otras vacunaciones,      antirrabica en humano,2014-06-01,118,0,118,0,118
PAILON,otras vacunaciones,      antirrabica en humano,2014-06-01,60,0,60,0,60
PALOS BLANCOS,otras vacunaciones,      antirrabica en humano,2014-06-01,7,0,7,0,7
PORONGO,otras vacunaciones,      antirrabica en humano,2014-06-01,16,0,16,0,16
POTOSI,otras vacunaciones,      antirrabica en humano,2014-06-01,241,0,241,0,241
PUERTO PEREZ,otras vacunaciones,      antirrabica en humano,2014-06-01,0,3,0,3,3
PUERTO QUIJARRO,otras vacunaciones,      antirrabica en humano,2014-06-01,26,0,26,0,26
PUERTO SUAREZ,otras vacunaciones,      antirrabica en humano,2014-06-01,1,1,1,1,2
PUERTO VILLARROEL,otras vacunaciones,      antirrabica en humano,2014-06-01,2,0,2,0,2
PUNATA,otras vacunaciones,      antirrabica en humano,2014-06-01,3,0,3,0,3
QUILLACOLLO,otras vacunaciones,      antirrabica en humano,2014-06-01,504,5855,504,5855,6359
SACABA,otras vacunaciones,      antirrabica en humano,2014-06-01,4,0,4,0,4
SAMAIPATA,otras vacunaciones,      antirrabica en humano,2014-06-01,10,0,10,0,10
SAN ANTONIO DE LOMERIO,otras vacunaciones,      antirrabica en humano,2014-06-01,1,0,1,0,1
SAN CARLOS,otras vacunaciones,      antirrabica en humano,2014-06-01,36,0,36,0,36
SAN IGNACIO,otras vacunaciones,      antirrabica en humano,2014-06-01,9,0,9,0,9
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica en humano,2014-06-01,89,0,89,0,89
SAN JUAN DE YAPACANI,otras vacunaciones,      antirrabica en humano,2014-06-01,1,0,1,0,1
SAN JULIAN,otras vacunaciones,      antirrabica en humano,2014-06-01,18,0,18,0,18
SAN MIGUEL DE VELASCO,otras vacunaciones,      antirrabica en humano,2014-06-01,5,0,5,0,5
SAN PEDRO DE BUENA VISTA,otras vacunaciones,      antirrabica en humano,2014-06-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,otras vacunaciones,      antirrabica en humano,2014-06-01,10,0,10,0,10
SAN RAMON SCZ,otras vacunaciones,      antirrabica en humano,2014-06-01,14,0,14,0,14
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica en humano,2014-06-01,2215,0,2215,0,2215
SUCRE,otras vacunaciones,      antirrabica en humano,2014-06-01,406,0,406,0,406
TARACO,otras vacunaciones,      antirrabica en humano,2014-06-01,9,0,9,0,9
TARIJA,otras vacunaciones,      antirrabica en humano,2014-06-01,268,0,268,0,268
TIAWANACU,otras vacunaciones,      antirrabica en humano,2014-06-01,7,0,7,0,7
TIPUANI,otras vacunaciones,      antirrabica en humano,2014-06-01,8,0,8,0,8
TRIGAL,otras vacunaciones,      antirrabica en humano,2014-06-01,0,1,0,1,1
TRINIDAD,otras vacunaciones,      antirrabica en humano,2014-06-01,2,0,2,0,2
VALLEGRANDE,otras vacunaciones,      antirrabica en humano,2014-06-01,15,0,15,0,15
VIACHA,otras vacunaciones,      antirrabica en humano,2014-06-01,44,0,44,0,44
VILLA MONTES,otras vacunaciones,      antirrabica en humano,2014-06-01,2,0,2,0,2
VILLAZON,otras vacunaciones,      antirrabica en humano,2014-06-01,7,0,7,0,7
WARNES,otras vacunaciones,      antirrabica en humano,2014-06-01,147,0,147,0,147
YACUIBA,otras vacunaciones,      antirrabica en humano,2014-06-01,58,0,58,0,58
YAPACANI,otras vacunaciones,      antirrabica en humano,2014-06-01,3,0,3,0,3
AIQUILE,otras vacunaciones,      antirrabica en humano,2014-07-01,1,0,1,0,1
ATOCHA,otras vacunaciones,      antirrabica en humano,2014-07-01,16,0,16,0,16
BERMEJO,otras vacunaciones,      antirrabica en humano,2014-07-01,4,0,4,0,4
CABEZAS,otras vacunaciones,      antirrabica en humano,2014-07-01,10,0,10,0,10
"CAIZA ""D""",otras vacunaciones,      antirrabica en humano,2014-07-01,1,0,1,0,1
CAMIRI,otras vacunaciones,      antirrabica en humano,2014-07-01,1,0,1,0,1
CAPINOTA,otras vacunaciones,      antirrabica en humano,2014-07-01,2,0,2,0,2
CHALLAPATA,otras vacunaciones,      antirrabica en humano,2014-07-01,21,0,21,0,21
CLIZA,otras vacunaciones,      antirrabica en humano,2014-07-01,1,1,1,1,2
COCHABAMBA,otras vacunaciones,      antirrabica en humano,2014-07-01,139,0,139,0,139
COLCAPIRHUA,otras vacunaciones,      antirrabica en humano,2014-07-01,2,0,2,0,2
"COLCHA ""K""",otras vacunaciones,      antirrabica en humano,2014-07-01,2,0,2,0,2
COMARAPA,otras vacunaciones,      antirrabica en humano,2014-07-01,6,0,6,0,6
COPACABANA,otras vacunaciones,      antirrabica en humano,2014-07-01,13,0,13,0,13
COTAGAITA,otras vacunaciones,      antirrabica en humano,2014-07-01,2,0,2,0,2
COTOCA,otras vacunaciones,      antirrabica en humano,2014-07-01,82,0,82,0,82
CUATRO CAÑADAS,otras vacunaciones,      antirrabica en humano,2014-07-01,19,2,19,2,21
EL ALTO,otras vacunaciones,      antirrabica en humano,2014-07-01,1077,16,1077,16,1093
EL PUENTE(STC),otras vacunaciones,      antirrabica en humano,2014-07-01,23,0,23,0,23
EL TORNO,otras vacunaciones,      antirrabica en humano,2014-07-01,200,0,200,0,200
FERNANDEZ ALONSO,otras vacunaciones,      antirrabica en humano,2014-07-01,13,0,13,0,13
GENERAL SAAVEDRA,otras vacunaciones,      antirrabica en humano,2014-07-01,5,0,5,0,5
GUANAY,otras vacunaciones,      antirrabica en humano,2014-07-01,8,0,8,0,8
GUAQUI,otras vacunaciones,      antirrabica en humano,2014-07-01,6,0,6,0,6
HUANUNI,otras vacunaciones,      antirrabica en humano,2014-07-01,8,0,8,0,8
HUAYLLAMARCA,otras vacunaciones,      antirrabica en humano,2014-07-01,1,1,1,1,2
LA GUARDIA,otras vacunaciones,      antirrabica en humano,2014-07-01,206,2,206,2,208
LA PAZ,otras vacunaciones,      antirrabica en humano,2014-07-01,694,0,694,0,694
MINEROS,otras vacunaciones,      antirrabica en humano,2014-07-01,56,0,56,0,56
MIZQUE,otras vacunaciones,      antirrabica en humano,2014-07-01,1,0,1,0,1
MONTERO,otras vacunaciones,      antirrabica en humano,2014-07-01,141,0,141,0,141
MORO MORO,otras vacunaciones,      antirrabica en humano,2014-07-01,16,0,16,0,16
ORURO,otras vacunaciones,      antirrabica en humano,2014-07-01,123,0,123,0,123
PAILON,otras vacunaciones,      antirrabica en humano,2014-07-01,10,0,10,0,10
PALOS BLANCOS,otras vacunaciones,      antirrabica en humano,2014-07-01,1,0,1,0,1
PAMPA GRANDE,otras vacunaciones,      antirrabica en humano,2014-07-01,5,0,5,0,5
PATACAMAYA,otras vacunaciones,      antirrabica en humano,2014-07-01,8,8,8,8,16
POCONA,otras vacunaciones,      antirrabica en humano,2014-07-01,1,0,1,0,1
PORONGO,otras vacunaciones,      antirrabica en humano,2014-07-01,7,0,7,0,7
POTOSI,otras vacunaciones,      antirrabica en humano,2014-07-01,230,0,230,0,230
PUERTO SUAREZ,otras vacunaciones,      antirrabica en humano,2014-07-01,2,0,2,0,2
PUERTO VILLARROEL,otras vacunaciones,      antirrabica en humano,2014-07-01,3,0,3,0,3
PUNATA,otras vacunaciones,      antirrabica en humano,2014-07-01,3,0,3,0,3
QUILLACOLLO,otras vacunaciones,      antirrabica en humano,2014-07-01,223,0,223,0,223
SACABA,otras vacunaciones,      antirrabica en humano,2014-07-01,8,0,8,0,8
SALINAS DE GARCI MENDOZA,otras vacunaciones,      antirrabica en humano,2014-07-01,0,3,0,3,3
SAMAIPATA,otras vacunaciones,      antirrabica en humano,2014-07-01,5,0,5,0,5
SAN BENITO,otras vacunaciones,      antirrabica en humano,2014-07-01,2,0,2,0,2
SAN BUENA VENTURA,otras vacunaciones,      antirrabica en humano,2014-07-01,9,0,9,0,9
SAN CARLOS,otras vacunaciones,      antirrabica en humano,2014-07-01,18,0,18,0,18
SAN IGNACIO,otras vacunaciones,      antirrabica en humano,2014-07-01,13,0,13,0,13
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica en humano,2014-07-01,82,0,82,0,82
SAN JULIAN,otras vacunaciones,      antirrabica en humano,2014-07-01,14,0,14,0,14
SAN PEDRO,otras vacunaciones,      antirrabica en humano,2014-07-01,7,0,7,0,7
SAN RAMON SCZ,otras vacunaciones,      antirrabica en humano,2014-07-01,4,0,4,0,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica en humano,2014-07-01,3202,0,3202,0,3202
SANTA ROSA DEL SARA,otras vacunaciones,      antirrabica en humano,2014-07-01,18,0,18,0,18
SANTIVAÑES,otras vacunaciones,      antirrabica en humano,2014-07-01,1,0,1,0,1
SIPE SIPE,otras vacunaciones,      antirrabica en humano,2014-07-01,7,0,7,0,7
SUCRE,otras vacunaciones,      antirrabica en humano,2014-07-01,540,0,540,0,540
TAPACARI,otras vacunaciones,      antirrabica en humano,2014-07-01,7,0,7,0,7
TARACO,otras vacunaciones,      antirrabica en humano,2014-07-01,2,0,2,0,2
TARIJA,otras vacunaciones,      antirrabica en humano,2014-07-01,383,0,383,0,383
TIAWANACU,otras vacunaciones,      antirrabica en humano,2014-07-01,1,0,1,0,1
TIPUANI,otras vacunaciones,      antirrabica en humano,2014-07-01,29,0,29,0,29
TOTORA(CBBA),otras vacunaciones,      antirrabica en humano,2014-07-01,1,0,1,0,1
TRIGAL,otras vacunaciones,      antirrabica en humano,2014-07-01,0,3,0,3,3
TUPIZA,otras vacunaciones,      antirrabica en humano,2014-07-01,0,1,0,1,1
UNCIA,otras vacunaciones,      antirrabica en humano,2014-07-01,2,0,2,0,2
VALLEGRANDE,otras vacunaciones,      antirrabica en humano,2014-07-01,30,0,30,0,30
VIACHA,otras vacunaciones,      antirrabica en humano,2014-07-01,8,0,8,0,8
VILLA MONTES,otras vacunaciones,      antirrabica en humano,2014-07-01,10,0,10,0,10
VILLAZON,otras vacunaciones,      antirrabica en humano,2014-07-01,44,0,44,0,44
VINTO,otras vacunaciones,      antirrabica en humano,2014-07-01,2,0,2,0,2
WARNES,otras vacunaciones,      antirrabica en humano,2014-07-01,172,0,172,0,172
YACUIBA,otras vacunaciones,      antirrabica en humano,2014-07-01,70,0,70,0,70
YAPACANI,otras vacunaciones,      antirrabica en humano,2014-07-01,2,0,2,0,2
ACHACACHI,otras vacunaciones,      antirrabica en humano,2014-08-01,20,0,20,0,20
AIQUILE,otras vacunaciones,      antirrabica en humano,2014-08-01,1,0,1,0,1
ARBIETO,otras vacunaciones,      antirrabica en humano,2014-08-01,1,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,      antirrabica en humano,2014-08-01,22,0,22,0,22
BATALLAS,otras vacunaciones,      antirrabica en humano,2014-08-01,9,0,9,0,9
BERMEJO,otras vacunaciones,      antirrabica en humano,2014-08-01,18,0,18,0,18
BETANZOS,otras vacunaciones,      antirrabica en humano,2014-08-01,1,0,1,0,1
BOYUIBE,otras vacunaciones,      antirrabica en humano,2014-08-01,3,0,3,0,3
CABEZAS,otras vacunaciones,      antirrabica en humano,2014-08-01,8,0,8,0,8
"CAIZA ""D""",otras vacunaciones,      antirrabica en humano,2014-08-01,7,0,7,0,7
CAJUATA,otras vacunaciones,      antirrabica en humano,2014-08-01,1,0,1,0,1
CAMIRI,otras vacunaciones,      antirrabica en humano,2014-08-01,3,0,3,0,3
CARANAVI,otras vacunaciones,      antirrabica en humano,2014-08-01,9,0,9,0,9
CHALLAPATA,otras vacunaciones,      antirrabica en humano,2014-08-01,31,0,31,0,31
CHARAGUA,otras vacunaciones,      antirrabica en humano,2014-08-01,7,0,7,0,7
CHOQUE COTA,otras vacunaciones,      antirrabica en humano,2014-08-01,1,0,1,0,1
CLIZA,otras vacunaciones,      antirrabica en humano,2014-08-01,11,0,11,0,11
COCHABAMBA,otras vacunaciones,      antirrabica en humano,2014-08-01,181,0,181,0,181
"COLCHA ""K""",otras vacunaciones,      antirrabica en humano,2014-08-01,1,0,1,0,1
COMARAPA,otras vacunaciones,      antirrabica en humano,2014-08-01,7,0,7,0,7
COPACABANA,otras vacunaciones,      antirrabica en humano,2014-08-01,4,0,4,0,4
COTAGAITA,otras vacunaciones,      antirrabica en humano,2014-08-01,9,0,9,0,9
COTOCA,otras vacunaciones,      antirrabica en humano,2014-08-01,98,0,98,0,98
CUATRO CAÑADAS,otras vacunaciones,      antirrabica en humano,2014-08-01,48,0,48,0,48
EL ALTO,otras vacunaciones,      antirrabica en humano,2014-08-01,1255,0,1255,0,1255
EL PUENTE(STC),otras vacunaciones,      antirrabica en humano,2014-08-01,3,0,3,0,3
EL TORNO,otras vacunaciones,      antirrabica en humano,2014-08-01,166,0,166,0,166
ENTRE RIOS TRJ,otras vacunaciones,      antirrabica en humano,2014-08-01,1,0,1,0,1
GUANAY,otras vacunaciones,      antirrabica en humano,2014-08-01,16,0,16,0,16
GUAQUI,otras vacunaciones,      antirrabica en humano,2014-08-01,26,0,26,0,26
HUANUNI,otras vacunaciones,      antirrabica en humano,2014-08-01,5,0,5,0,5
LA GUARDIA,otras vacunaciones,      antirrabica en humano,2014-08-01,244,2,244,2,246
LA PAZ,otras vacunaciones,      antirrabica en humano,2014-08-01,1013,0,1013,0,1013
MAIRANA,otras vacunaciones,      antirrabica en humano,2014-08-01,10,0,10,0,10
MAPIRI,otras vacunaciones,      antirrabica en humano,2014-08-01,7,0,7,0,7
MINEROS,otras vacunaciones,      antirrabica en humano,2014-08-01,21,0,21,0,21
MIZQUE,otras vacunaciones,      antirrabica en humano,2014-08-01,2,0,2,0,2
MONTERO,otras vacunaciones,      antirrabica en humano,2014-08-01,130,0,130,0,130
MORO MORO,otras vacunaciones,      antirrabica en humano,2014-08-01,12,0,12,0,12
ORURO,otras vacunaciones,      antirrabica en humano,2014-08-01,116,0,116,0,116
PAILON,otras vacunaciones,      antirrabica en humano,2014-08-01,25,0,25,0,25
PALOS BLANCOS,otras vacunaciones,      antirrabica en humano,2014-08-01,1,0,1,0,1
PAPEL PAMPA,otras vacunaciones,      antirrabica en humano,2014-08-01,1,0,1,0,1
PORTACHUELO,otras vacunaciones,      antirrabica en humano,2014-08-01,8,0,8,0,8
POTOSI,otras vacunaciones,      antirrabica en humano,2014-08-01,444,0,444,0,444
PUCARANI,otras vacunaciones,      antirrabica en humano,2014-08-01,11,0,11,0,11
PUNATA,otras vacunaciones,      antirrabica en humano,2014-08-01,19,0,19,0,19
QUILLACOLLO,otras vacunaciones,      antirrabica en humano,2014-08-01,21,0,21,0,21
SACABA,otras vacunaciones,      antirrabica en humano,2014-08-01,6,0,6,0,6
SAIPINA,otras vacunaciones,      antirrabica en humano,2014-08-01,5,0,5,0,5
SALINAS DE GARCI MENDOZA,otras vacunaciones,      antirrabica en humano,2014-08-01,3,0,3,0,3
SAN BENITO,otras vacunaciones,      antirrabica en humano,2014-08-01,22,0,22,0,22
SAN CARLOS,otras vacunaciones,      antirrabica en humano,2014-08-01,13,0,13,0,13
SAN IGNACIO,otras vacunaciones,      antirrabica en humano,2014-08-01,3,0,3,0,3
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica en humano,2014-08-01,34,0,34,0,34
SAN JULIAN,otras vacunaciones,      antirrabica en humano,2014-08-01,17,0,17,0,17
SAN MIGUEL DE VELASCO,otras vacunaciones,      antirrabica en humano,2014-08-01,8,0,8,0,8
SAN PEDRO,otras vacunaciones,      antirrabica en humano,2014-08-01,10,0,10,0,10
SAN PEDRO DE TIQUINA,otras vacunaciones,      antirrabica en humano,2014-08-01,8,0,8,0,8
SAN RAFAEL,otras vacunaciones,      antirrabica en humano,2014-08-01,2,0,2,0,2
SAN RAMON SCZ,otras vacunaciones,      antirrabica en humano,2014-08-01,24,0,24,0,24
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica en humano,2014-08-01,3423,0,3423,0,3423
SANTA ROSA DEL SARA,otras vacunaciones,      antirrabica en humano,2014-08-01,15,0,15,0,15
SHINAOTA,otras vacunaciones,      antirrabica en humano,2014-08-01,1,0,1,0,1
SORACACHI,otras vacunaciones,      antirrabica en humano,2014-08-01,7,0,7,0,7
SUCRE,otras vacunaciones,      antirrabica en humano,2014-08-01,476,0,476,0,476
TAPACARI,otras vacunaciones,      antirrabica en humano,2014-08-01,3,0,3,0,3
TARACO,otras vacunaciones,      antirrabica en humano,2014-08-01,7,0,7,0,7
TARIJA,otras vacunaciones,      antirrabica en humano,2014-08-01,229,0,229,0,229
TIAWANACU,otras vacunaciones,      antirrabica en humano,2014-08-01,8,0,8,0,8
TIPUANI,otras vacunaciones,      antirrabica en humano,2014-08-01,5,0,5,0,5
TIQUIPAYA,otras vacunaciones,      antirrabica en humano,2014-08-01,8,0,8,0,8
TUPIZA,otras vacunaciones,      antirrabica en humano,2014-08-01,1,0,1,0,1
UYUNI,otras vacunaciones,      antirrabica en humano,2014-08-01,44,0,44,0,44
VALLEGRANDE,otras vacunaciones,      antirrabica en humano,2014-08-01,104,0,104,0,104
VIACHA,otras vacunaciones,      antirrabica en humano,2014-08-01,20,0,20,0,20
VILLA MONTES,otras vacunaciones,      antirrabica en humano,2014-08-01,15,0,15,0,15
VILLA TUNARI,otras vacunaciones,      antirrabica en humano,2014-08-01,1,0,1,0,1
VILLAZON,otras vacunaciones,      antirrabica en humano,2014-08-01,1,0,1,0,1
WARNES,otras vacunaciones,      antirrabica en humano,2014-08-01,153,0,153,0,153
YACUIBA,otras vacunaciones,      antirrabica en humano,2014-08-01,66,0,66,0,66
YAPACANI,otras vacunaciones,      antirrabica en humano,2014-08-01,46,0,46,0,46
ACHOCALLA,otras vacunaciones,      antirrabica en humano,2014-09-01,9,0,9,0,9
ALTO BENI,otras vacunaciones,      antirrabica en humano,2014-09-01,0,7,0,7,7
ARANI,otras vacunaciones,      antirrabica en humano,2014-09-01,8,0,8,0,8
ARBIETO,otras vacunaciones,      antirrabica en humano,2014-09-01,1,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,      antirrabica en humano,2014-09-01,1,0,1,0,1
BATALLAS,otras vacunaciones,      antirrabica en humano,2014-09-01,10,0,10,0,10
CABEZAS,otras vacunaciones,      antirrabica en humano,2014-09-01,2,0,2,0,2
"CAIZA ""D""",otras vacunaciones,      antirrabica en humano,2014-09-01,5,0,5,0,5
CALAMARCA,otras vacunaciones,      antirrabica en humano,2014-09-01,8,0,8,0,8
CAMIRI,otras vacunaciones,      antirrabica en humano,2014-09-01,8,0,8,0,8
CARANAVI,otras vacunaciones,      antirrabica en humano,2014-09-01,57,0,57,0,57
CARAPARI,otras vacunaciones,      antirrabica en humano,2014-09-01,4,0,4,0,4
CHALLAPATA,otras vacunaciones,      antirrabica en humano,2014-09-01,24,0,24,0,24
CHIMORE,otras vacunaciones,      antirrabica en humano,2014-09-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,      antirrabica en humano,2014-09-01,238,0,238,0,238
COLCAPIRHUA,otras vacunaciones,      antirrabica en humano,2014-09-01,5,0,5,0,5
COMARAPA,otras vacunaciones,      antirrabica en humano,2014-09-01,24,0,24,0,24
COPACABANA,otras vacunaciones,      antirrabica en humano,2014-09-01,8,0,8,0,8
CORIPATA,otras vacunaciones,      antirrabica en humano,2014-09-01,1,1,1,1,2
COROICO,otras vacunaciones,      antirrabica en humano,2014-09-01,1,0,1,0,1
COTOCA,otras vacunaciones,      antirrabica en humano,2014-09-01,61,0,61,0,61
CUATRO CAÑADAS,otras vacunaciones,      antirrabica en humano,2014-09-01,23,7,23,7,30
EL ALTO,otras vacunaciones,      antirrabica en humano,2014-09-01,1375,0,1375,0,1375
EL TORNO,otras vacunaciones,      antirrabica en humano,2014-09-01,144,0,144,0,144
GUANAY,otras vacunaciones,      antirrabica en humano,2014-09-01,17,0,17,0,17
GUAQUI,otras vacunaciones,      antirrabica en humano,2014-09-01,7,0,7,0,7
HUANUNI,otras vacunaciones,      antirrabica en humano,2014-09-01,10,0,10,0,10
HUARINA,otras vacunaciones,      antirrabica en humano,2014-09-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,      antirrabica en humano,2014-09-01,268,0,268,0,268
LA PAZ,otras vacunaciones,      antirrabica en humano,2014-09-01,1010,0,1010,0,1010
