,group,variable,month,TOTAL 21.4 MUJERES DE 10 A 49 AÑOS 4TA DOSIS DE DT CANTIDAD,TOTAL 21.4 MUJERES DE 10 A 49 AÑOS 4TA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
COLCAPIRHUA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,18,20,18,20,38
"COLCHA ""K""",otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,0,1,0,1
COLLANA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,0,1,0,1
COLOMI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,6,4,6,4,10
COLPA BELGICA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,2,81,2,81,83
COMARAPA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,4,4,4,4,8
CONCEPCION,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,7,6,7,6,13
COPACABANA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,0,1,0,1
CORIPATA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,0,1,0,1
CORO CORO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,2,2,2,2,4
COROICO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,2,0,2,2
COTAGAITA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,3,5,3,5,8
COTOCA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,18,6,18,6,24
CUATRO CAÑADAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,4,2,4,2,6
CUEVO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,10,0,10,10
CULPINA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,1,0,1,1
DESAGUADERO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,2,0,2,0,2
EL ALTO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,323,1394,323,1394,1717
EL PUENTE(STC),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,2,0,2,0,2
EL PUENTE(TJA),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,3,0,3,0,3
EL TORNO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,15,163,15,163,178
ENTRE RIOS TRJ,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,5,21,5,21,26
ENTRE RIOS CBBA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,4,1,4,1,5
EUCALIPTUS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,0,1,0,1
EXALTACION,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,8,0,8,8
FERNANDEZ ALONSO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,2,19,2,19,21
FILADELFIA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,2,1,2,3
GENERAL SAAVEDRA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,1,1,1,2
GUANAY,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,0,1,0,1
GUAQUI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,31,0,31,31
GUAYARAMERIN,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,10,7,10,7,17
HUACARETA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,26,1,26,27
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,0,1,0,1
HUANUNI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,2,13,2,13,15
HUARINA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,4,1,4,5
HUAYLLAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,0,1,0,1
ICLA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,4,5,4,5,9
INQUISIVI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,45,0,45,45
IRUPANA (VILLA DE LANZA),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,2,0,2,0,2
IXIAMAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,1,1,1,2
LA ASUNTA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,1,1,1,2
LA GUARDIA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,34,122,34,122,156
LA PAZ,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,232,120,232,120,352
LAGUNILLAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,1,0,1,1
LAJA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,2,1,2,3
LAS CARRERAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,1,1,1,2
LICOMA PAMPA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,0,1,0,1
LLALLAGUA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,2,0,2,0,2
LORETO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,10,7,10,7,17
LURIBAY,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,1,1,1,2
MACHACAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,0,1,0,1
MACHARETI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,4,0,4,0,4
MAIRANA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,4,13,4,13,17
MAPIRI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,5,0,5,0,5
MECAPACA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,0,1,0,1
MINEROS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,4,8,4,8,12
MIZQUE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,2,0,2,0,2
MOCOMOCO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,3,3,3,3,6
MOJOCOYA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,2,7,2,7,9
MONTEAGUDO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,12,67,12,67,79
MONTERO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,183,203,183,203,386
MORO MORO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,1,0,1,1
MOROCHATA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,4,1,4,5
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,2,0,2,2
OCURI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,1,0,1,1
OKINAWA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,32,1,32,33
OMEREQUE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,4,0,4,4
ORURO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,56,1,56,1,57
PADCAYA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,16,1,16,17
PADILLA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,2,0,2,2
PAILON,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,2,58,2,58,60
PALCA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,3,0,3,3
PALOS BLANCOS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,21,0,21,21
PAMPA AULLAGAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,0,1,0,1
PAMPA GRANDE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,6,25,6,25,31
PAPEL PAMPA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,0,1,0,1
PASORAPA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,4,1,4,5
PATACAMAYA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,3,0,3,0,3
PAZÑA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,3,0,3,3
POCOATA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,1,0,1,1
POCONA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,2,23,2,23,25
POJO (CBBA),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,6,3,6,3,9
PORCO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,0,1,0,1
POROMA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,0,1,0,1
PORONGO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,18,0,18,18
PORTACHUELO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,8,2,8,2,10
PORVENIR,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,2,39,2,39,41
POSTRER VALLE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,2,0,2,2
POTOSI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,31,0,31,0,31
PRESTO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,2,1,2,3
PUCARANI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,8,0,8,8
PUERTO CARABUCO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,1,0,1,1
PUERTO QUIJARRO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,0,1,0,1
PUERTO RICO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,1,0,1,1
PUERTO SUAREZ,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,2,0,2,0,2
PUERTO VILLARROEL,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,14,21,14,21,35
PUNA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,0,1,0,1
PUNATA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,22,6,22,6,28
QUILLACOLLO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,18,78,18,78,96
QUIME,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,9,0,9,9
RAVELO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,10,0,10,0,10
RIBERALTA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,10,15,10,15,25
ROBORE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,129,0,129,129
RURRENABAQUE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,3,0,3,0,3
SABAYA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,2,0,2,2
SACABA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,18,57,18,57,75
SACABAMBA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,5,0,5,5
SACACA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,6,1,6,1,7
SAIPINA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,2,1,2,1,3
SALINAS DE GARCI MENDOZA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,1,1,1,2
SAMAIPATA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,7,38,7,38,45
SAN ANDRES,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,12,2,12,2,14
SAN ANTONIO DE LOMERIO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,5,2,5,2,7
SAN BENITO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,2,45,2,45,47
SAN BORJA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,7,10,7,10,17
SAN BUENA VENTURA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,1,1,1,2
SAN CARLOS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,15,174,15,174,189
SAN IGNACIO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,13,58,13,58,71
SAN IGNACIO DE VELASCO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,26,5,26,5,31
SAN JAVIER(BNI),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,7,0,7,7
SAN JOAQUIN,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,3,0,3,0,3
SAN JUAN DE YAPACANI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,3,156,3,156,159
SAN JULIAN,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,23,1,23,24
SAN LORENZO(PND),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,4,3,4,3,7
SAN LORENZO(TJA),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,6,8,6,8,14
SAN LUCAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,49,32,49,32,81
SAN MATIAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,16,15,16,15,31
SAN MIGUEL DE VELASCO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,4,10,4,10,14
SAN PEDRO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,3,3,3,3,6
SAN PEDRO DE BUENA VISTA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,16,1,16,17
SAN RAFAEL,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,1,0,1,1
SAN RAMON SCZ,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,4,30,4,30,34
SANTA ANA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,10,0,10,10
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,304,244,304,244,548
SANTA ROSA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,0,1,0,1
SANTA ROSA DEL SARA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,4,0,4,0,4
SANTIAGO DE HUARI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,2,0,2,2
SANTIAGO DE MACHACA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,6,3,6,3,9
SANTIVAÑES,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,2,0,2,0,2
SAPAHAQUI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,0,1,0,1
SHINAOTA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,8,59,8,59,67
SICA SICA (VILLA AROMA),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,1,0,1,1
SICAYA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,0,1,0,1
SIPE SIPE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,6,1,6,1,7
SORACACHI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,2,1,2,3
SORATA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,2,0,2,2
SUCRE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,50,158,50,158,208
TAPACARI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,7,1,7,1,8
TARABUCO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,65,3,65,3,68
TARATA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,13,1,13,14
TARIJA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,49,38,49,38,87
TARVITA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,1,1,1,2
TEOPONTE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,1,0,1,1
TIPUANI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,0,1,0,1
TIQUIPAYA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,11,12,11,12,23
TOCO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,12,1,12,13
TOLATA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,0,1,0,1
TOMAVE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,0,1,0,1
TOMINA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,2,2,2,2,4
TOTORA(CBBA),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,6,16,6,16,22
TRIGAL,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,1,0,1,1
TRINIDAD,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,22,17,22,17,39
TUPIZA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,10,2,10,2,12
URIONDO (A. CONCEPCION),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,3,8,3,8,11
URUBICHA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,3,22,3,22,25
VACAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,2,0,2,0,2
VALLEGRANDE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,19,28,19,28,47
VIACHA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,21,3,21,3,24
VILLA CHARCAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,2,1,2,1,3
VILLA MONTES,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,4,3,4,3,7
VILLA RIVERO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,9,1,9,10
VILLA SERRANO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,2,1,2,3
VILLA TUNARI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,25,23,25,23,48
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,4,4,4,4,8
VILLAZON,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,12,12,12,12,24
VINTO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,8,0,8,0,8
VITICHI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,2,0,2,0,2
WARNES,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,31,35,31,35,66
YACO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,3,3,3,3,6
YACUIBA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,4,1,4,1,5
YAMPARAEZ,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,2,1,2,3
YANACACHI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,3,0,3,0,3
YAPACANI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,521,1,521,522
YOTALA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,5,4,5,4,9
YUNCHARA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,1,23,1,23,24
ZUDAÑEZ,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-04-01,0,2,0,2,2
ACHACACHI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,2,1,2,1,3
AIQUILE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,0,1,0,1,1
ALALAY,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,0,3,0,3,3
ALTO BENI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,1,11,1,11,12
ANCORAIMES,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,1,0,1,0,1
ANDAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,1,3,1,3,4
ANTEQUERA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,0,1,0,1,1
APOLO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,0,1,0,1,1
ARAMPAMPA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,5,19,5,19,24
ARANI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,6,20,6,20,26
ARBIETO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,3,21,3,21,24
ARQUE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,2,12,2,12,14
ASCENCION DE GUARAYOS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,18,55,18,55,73
ATOCHA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,14,15,14,15,29
AUCAPATA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,0,45,0,45,45
AYATA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,5,17,5,17,22
AZURDUY,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,0,1,0,1,1
BATALLAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,2,64,2,64,66
BELEN DE ANDAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,0,6,0,6,6
BELLA FLOR,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,0,2,0,2,2
BERMEJO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,5,2,5,2,7
BETANZOS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,0,4,0,4,4
BOLIVAR,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,1,3,1,3,4
BOLPEBRA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,1,0,1,0,1
BOYUIBE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,0,2,0,2,2
BUENA VISTA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,4,69,4,69,73
CABEZAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,1,22,1,22,23
CAIROMA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,0,27,0,27,27
CAJUATA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,1,0,1,0,1
CALACOTO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,0,6,0,6,6
CALAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,0,3,0,3,3
CAMARGO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,0,7,0,7,7
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,1,5,1,5,6
CAMIRI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,8,40,8,40,48
CAPINOTA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,6,11,6,11,17
CARACOLLO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,0,4,0,4,4
CARANAVI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,16,34,16,34,50
CARAPARI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,1,1,1,1,2
CARIPUYO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,1,0,1,0,1
CARMEN RIVERO TORREZ,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-05-01,0,58,0,58,58
