,group,variable,month,TOTAL 21.3 MUJERES DE 10 A 49 AÑOS 3RA DOSIS DE DT CANTIDAD,TOTAL 21.3 MUJERES DE 10 A 49 AÑOS 3RA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
SORATA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,7,11,7,11,18
SUCRE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,161,200,161,200,361
TACACOMA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,0,2,0,2,2
TACOBAMBA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,1,0,1,0,1
TACOPAYA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,1,12,1,12,13
TAPACARI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,6,29,6,29,35
TARACO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,1,0,1,0,1
TARATA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,6,22,6,22,28
TARIJA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,172,186,172,186,358
TARVITA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,2,24,2,24,26
TEOPONTE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,10,12,10,12,22
TIAWANACU,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,1,23,1,23,24
TINGUIPAYA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,0,1,0,1,1
TIPUANI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,3,4,3,4,7
TIQUIPAYA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,12,64,12,64,76
TIRAQUE (CBBA),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,7,3,7,3,10
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,0,13,0,13,13
TOCO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,4,22,4,22,26
TODOS SANTOS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,1,0,1,0,1
TOLATA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,2,6,2,6,8
TOLEDO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,5,1,5,1,6
TOMAVE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,2,7,2,7,9
TOMINA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,9,23,9,23,32
TOTORA(CBBA),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,9,37,9,37,46
TRIGAL,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,1,0,1,0,1
TRINIDAD,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,74,30,74,30,104
TUPIZA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,17,26,17,26,43
UNCIA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,0,3,0,3,3
URIONDO (A. CONCEPCION),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,1,9,1,9,10
URUBICHA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,10,14,10,14,24
UYUNI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,1,3,1,3,4
VACAS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,4,34,4,34,38
VALLEGRANDE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,22,157,22,157,179
VIACHA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,53,16,53,16,69
VILA VILA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,0,9,0,9,9
VILLA CHARCAS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,11,1,11,1,12
VILLA MONTES,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,14,192,14,192,206
VILLA RIVERO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,0,1,0,1,1
VILLA SERRANO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,1,7,1,7,8
VILLA TUNARI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,32,29,32,29,61
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,1,1,1,1,2
VILLAZON,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,104,24,104,24,128
VINTO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,43,0,43,0,43
VITICHI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,1,0,1,0,1
WARNES,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,59,214,59,214,273
YACO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,6,10,6,10,16
YACUIBA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,28,3,28,3,31
YAMPARAEZ,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,9,17,9,17,26
YANACACHI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,0,26,0,26,26
YAPACANI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,28,41,28,41,69
YOCALLA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,2,1,2,1,3
YOTALA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,4,5,4,5,9
YUNCHARA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,1,0,1,0,1
ZUDAÑEZ,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-03-01,1,2,1,2,3
ACACIO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,5,4,5,4,9
ACHACACHI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,7,20,7,20,27
ACHOCALLA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,5,17,5,17,22
AIQUILE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,5,9,5,9,14
ALALAY,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,12,0,12,12
ALTO BENI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,12,18,12,18,30
ANCORAIMES,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,10,33,10,33,43
ANDAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,1,0,1,1
ANTEQUERA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,1,0,1,1
ANZALDO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,6,0,6,6
APOLO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,3,5,3,5,8
ARAMPAMPA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,6,0,6,6
ARANI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,15,0,15,0,15
ARBIETO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,6,34,6,34,40
ARQUE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,7,15,7,15,22
ASCENCION DE GUARAYOS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,37,12,37,12,49
ATOCHA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,4,0,4,0,4
AYATA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,6,4,6,4,10
AYO AYO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,3,32,3,32,35
AZURDUY,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,5,0,5,0,5
BATALLAS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,10,17,10,17,27
BAURES,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,2,0,2,0,2
BELEN DE URMIRI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,4,0,4,4
BERMEJO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,14,29,14,29,43
BETANZOS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,33,46,33,46,79
BOLIVAR,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,10,2,10,2,12
BOLPEBRA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,1,1,1,2
BUENA VISTA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,3,56,3,56,59
CABEZAS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,2,24,2,24,26
CAIROMA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,3,0,3,3
"CAIZA ""D""",otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,2,1,2,3
CAJUATA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,5,0,5,0,5
CALACOTO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,3,0,3,0,3
CALAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,7,1,7,8
CAMARGO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,1,1,1,2
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,1,1,1,2
CAMIRI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,15,43,15,43,58
CAPINOTA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,6,0,6,0,6
CAQUIAVIRI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,4,0,4,4
CARACOLLO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,2,8,2,8,10
CARANAVI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,20,8,20,8,28
CARAPARI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,5,26,5,26,31
CARIPUYO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,4,12,4,12,16
CARMEN RIVERO TORREZ,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,3,4,3,4,7
CHALLAPATA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,8,155,8,155,163
CHAQUI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,5,0,5,5
CHARAGUA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,14,61,14,61,75
CHARAÑA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,0,1,0,1
CHIMORE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,12,11,12,11,23
CHIPAYA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,9,0,9,9
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,19,0,19,19
CHUMA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,22,1,22,23
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,0,1,0,1
CKOCHAS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,8,1,8,1,9
CLIZA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,14,10,14,10,24
COBIJA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,42,20,42,20,62
COCAPATA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,2,0,2,2
COCHABAMBA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,322,1214,322,1214,1536
COIPASA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,2,0,2,2
COLCAPIRHUA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,31,42,31,42,73
"COLCHA ""K""",otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,4,1,4,1,5
COLOMI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,11,7,11,7,18
COLPA BELGICA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,7,24,7,24,31
COLQUENCHA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,2,0,2,0,2
COLQUIRI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,2,17,2,17,19
COMARAPA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,6,7,6,7,13
CONCEPCION,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,19,43,19,43,62
COPACABANA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,8,0,8,0,8
CORIPATA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,6,0,6,0,6
CORO CORO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,2,2,2,2,4
COROICO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,2,13,2,13,15
CORQUE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,2,0,2,2
COTAGAITA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,11,19,11,19,30
COTOCA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,59,23,59,23,82
CUATRO CAÑADAS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,10,9,10,9,19
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,0,1,0,1
CUEVO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,2,3,2,3,5
CULPINA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,2,0,2,0,2
EL ALTO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,700,1318,700,1318,2018
EL CHORO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,0,1,0,1
EL PUENTE(STC),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,3,0,3,0,3
EL PUENTE(TJA),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,3,68,3,68,71
EL TORNO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,54,207,54,207,261
EL VILLAR,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,25,0,25,0,25
ENTRE RIOS TRJ,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,12,44,12,44,56
ENTRE RIOS CBBA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,19,1,19,1,20
FERNANDEZ ALONSO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,8,148,8,148,156
FILADELFIA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,11,0,11,11
GENERAL SAAVEDRA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,4,0,4,4
GUANAY,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,6,11,6,11,17
GUAQUI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,112,0,112,112
GUAYARAMERIN,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,30,37,30,37,67
GUTIERREZ,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,3,2,3,2,5
HUACARETA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,3,13,3,13,16
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,0,1,0,1
HUACHACALLA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,1,0,1,1
HUANUNI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,13,23,13,23,36
HUARACAJE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,4,1,4,5
HUARINA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,15,1,15,16
HUAYLLAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,0,1,0,1
ICLA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,5,14,5,14,19
INCAHUASI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,8,9,8,9,17
INQUISIVI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,17,0,17,17
IRUPANA (VILLA DE LANZA),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,5,38,5,38,43
IXIAMAS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,6,2,6,2,8
JESUS DE MACHACA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,1,1,1,2
LA ASUNTA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,7,157,7,157,164
LA GUARDIA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,34,321,34,321,355
LA PAZ,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,490,435,490,435,925
LAGUNILLAS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,5,8,5,8,13
LAJA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,7,15,7,15,22
LAS CARRERAS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,2,0,2,2
LLALLAGUA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,5,18,5,18,23
LORETO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,20,0,20,20
LURIBAY,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,1,1,1,2
MACHACAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,0,1,0,1
MACHARETI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,7,3,7,3,10
MAIRANA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,3,29,3,29,32
MALLA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,3,0,3,3
MAPIRI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,16,0,16,0,16
MECAPACA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,3,2,3,2,5
MINEROS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,5,21,5,21,26
MIZQUE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,9,1,9,1,10
MOCOMOCO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,4,5,4,5,9
MOJOCOYA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,13,7,13,7,20
MONTEAGUDO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,17,216,17,216,233
MONTERO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,223,276,223,276,499
MORO MORO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,2,0,2,2
MOROCHATA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,2,9,2,9,11
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,3,0,3,3
OCURI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,5,0,5,5
OKINAWA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,3,93,3,93,96
OMEREQUE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,5,14,5,14,19
ORURO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,144,12,144,12,156
PADCAYA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,9,0,9,9
PADILLA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,8,1,8,9
PAILON,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,10,75,10,75,85
PALCA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,2,3,2,3,5
PALOS BLANCOS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,9,44,9,44,53
PAMPA GRANDE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,7,27,7,27,34
PAPEL PAMPA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,1,1,1,2
PASORAPA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,2,6,2,6,8
PATACAMAYA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,2,2,2,2,4
PAZÑA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,11,0,11,11
PELECHUCO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,3,0,3,3
POCOATA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,2,15,2,15,17
POCONA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,10,34,10,34,44
POJO (CBBA),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,13,14,13,14,27
POOPO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,1,1,1,2
PORCO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,0,1,0,1
POROMA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,2,2,2,2,4
PORONGO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,3,19,3,19,22
PORTACHUELO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,9,4,9,4,13
PORVENIR,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,52,1,52,53
POSTRER VALLE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,0,9,0,9,9
POTOSI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,112,47,112,47,159
PRESTO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,1,1,1,2
PUCARANI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,3,53,3,53,56
PUERTO ACOSTA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,39,1,39,40
PUERTO CARABUCO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,2,1,2,1,3
PUERTO GONZALO MORENO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,3,0,3,0,3
PUERTO PEREZ,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,5,4,5,4,9
PUERTO QUIJARRO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,1,1,1,1,2
PUERTO RICO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,6,6,6,6,12
PUERTO SUAREZ,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,4,0,4,0,4
PUERTO VILLARROEL,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,41,133,41,133,174
PUNA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,7,6,7,6,13
PUNATA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,29,18,29,18,47
QUIABAYA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,2,0,2,0,2
QUILLACOLLO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,43,162,43,162,205
QUIME,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,3,0,3,0,3
RAVELO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,13,71,13,71,84
REYES,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,2,4,2,4,6
RIBERALTA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-04-01,50,48,50,48,98
