,group,variable,month,TOTAL 2110 ANTIRRÁBICA HUMANA ESQUEMA COMPLETO CANTIDAD,TOTAL 2110 ANTIRRÁBICA HUMANA ESQUEMA COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
BERMEJO,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,0,1,0,1,1
"CAIZA ""D""",otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,2,0,2,0,2
CALAMARCA,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,1,0,1,0,1
CAQUIAVIRI,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,2,0,2,0,2
CHIMORE,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,1,0,1,0,1
CLIZA,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,1,1,1,1,2
COCHABAMBA,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,20,0,20,0,20
"COLCHA ""K""",otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,2,0,2,0,2
COTAGAITA,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,1,0,1,0,1
COTOCA,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,4,0,4,0,4
CUATRO CAÑADAS,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,1,1,1,1,2
EL ALTO,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,81,0,81,0,81
EL TORNO,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,13,0,13,0,13
ENTRE RIOS TRJ,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,1,0,1,0,1
GENERAL SAAVEDRA,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,7,0,7,0,7
HUANUNI,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,5,0,5,0,5
LA GUARDIA,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,18,0,18,0,18
LA PAZ,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,51,0,51,0,51
MAPIRI,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,0,1,0,1,1
MIZQUE,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,1,0,1,0,1
MOJOCOYA,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,1,0,1,0,1
MONTERO,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,13,0,13,0,13
MORO MORO,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,3,0,3,0,3
ORURO,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,13,0,13,0,13
PAILON,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,7,0,7,0,7
PATACAMAYA,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,1,1,1,1,2
PORONGO,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,1,0,1,0,1
PORTACHUELO,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,1,0,1,0,1
POTOSI,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,30,0,30,0,30
PUERTO PEREZ,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,0,1,0,1,1
PUERTO QUIJARRO,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,2,0,2,0,2
PUNATA,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,1,0,1,0,1
QUILLACOLLO,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,2,0,2,0,2
SAN CARLOS,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,4,0,4,0,4
SAN IGNACIO,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,4,0,4,0,4
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,4,0,4,0,4
SAN JULIAN,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,18,0,18,0,18
SAN MIGUEL DE VELASCO,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,176,0,176,0,176
SANTIAGO DE HUATA,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,0,1,0,1,1
SICA SICA (VILLA AROMA),otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,1,0,1,0,1
SICAYA,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,1,0,1,0,1
SIPE SIPE,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,1,0,1,0,1
SUCRE,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,37,0,37,0,37
TARIJA,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,16,0,16,0,16
TOLEDO,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,1,0,1,0,1
TOMAVE,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,1,0,1,0,1
TRINIDAD,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,2,0,2,0,2
UNCIA,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,2,0,2,0,2
VALLEGRANDE,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,4,0,4,0,4
VIACHA,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,1,0,1,0,1
VILLAZON,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,1,0,1,0,1
WARNES,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,9,0,9,0,9
YAPACANI,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,15,0,15,0,15
ACHACACHI,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,1,0,1,0,1
ANCORAIMES,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,1,0,1,0,1
ATOCHA,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,2,0,2,0,2
BERMEJO,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,2,0,2,0,2
CABEZAS,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,2,0,2,0,2
"CAIZA ""D""",otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,1,0,1,0,1
CAMIRI,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,12,0,12,0,12
CAPINOTA,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,1,0,1,0,1
CAQUIAVIRI,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,1,0,1,0,1
CARAPARI,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,0,1,0,1,1
CLIZA,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,0,1,0,1,1
COCHABAMBA,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,30,0,30,0,30
COPACABANA,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,2,0,2,0,2
COTOCA,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,8,0,8,0,8
CUATRO CAÑADAS,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,5,0,5,0,5
EL ALTO,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,91,2,91,2,93
EL PUENTE(STC),otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,1,0,1,0,1
EL TORNO,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,16,0,16,0,16
GENERAL SAAVEDRA,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,1,0,1,0,1
HUAYLLAMARCA,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,1,0,1,0,1
ICHOCA,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,0,1,0,1,1
LA GUARDIA,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,22,0,22,0,22
LA PAZ,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,122,0,122,0,122
MIZQUE,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,1,0,1,0,1
MONTERO,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,39,0,39,0,39
MORO MORO,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,2,0,2,0,2
NAZACARA DE PACAJES,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,0,1,0,1,1
ORURO,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,2,0,2,0,2
PAILON,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,1,0,1,0,1
PAZÑA,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,0,1,0,1,1
PORONGO,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,1,0,1,0,1
POTOSI,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,19,0,19,0,19
PUERTO QUIJARRO,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,1,0,1,0,1
PUERTO VILLARROEL,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,1,0,1,0,1
PUNA,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,5,45,5,45,50
PUNATA,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,2,0,2,0,2
QUILLACOLLO,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,3,0,3,0,3
SACABA,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,2,0,2,0,2
SAN CARLOS,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,6,0,6,0,6
SAN IGNACIO,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,4,0,4,0,4
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,12,0,12,0,12
SAN JULIAN,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,11,0,11,0,11
SAN MATIAS,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,1,0,1,0,1
SAN PEDRO,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,1,0,1,0,1
SAN PEDRO DE CURAHUARA,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,1,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,215,0,215,0,215
SUCRE,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,35,0,35,0,35
TARACO,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,0,1,0,1,1
TARIJA,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,18,0,18,0,18
TIAWANACU,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,0,1,0,1,1
TOLATA,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,2,0,2,0,2
TRIGAL,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,0,1,0,1,1
VALLEGRANDE,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,1,0,1,0,1
VIACHA,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,0,1,0,1,1
VILLA MONTES,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,1,0,1,0,1
VILLA TUNARI,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,1,0,1,0,1
VILLAZON,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,5,0,5,0,5
WARNES,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,3,0,3,0,3
YACUIBA,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,2,0,2,0,2
YAPACANI,otras vacunaciones,      antirrabica humana esquema completo,2014-07-01,14,0,14,0,14
ACHACACHI,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,1,0,1,0,1
ACHOCALLA,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,0,2,0,2,2
ASCENCION DE GUARAYOS,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,1,0,1,0,1
BERMEJO,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,3,0,3,0,3
CAMIRI,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,26,0,26,0,26
CARANAVI,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,1,0,1,0,1
CHARAGUA,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,52,0,52,0,52
CHIMORE,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,24,0,24,0,24
COLCAPIRHUA,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,1,0,1,0,1
CORO CORO,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,1,0,1,0,1
COTAGAITA,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,1,0,1,0,1
COTOCA,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,5,0,5,0,5
CUATRO CAÑADAS,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,6,0,6,0,6
EL ALTO,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,94,0,94,0,94
EL PUENTE(STC),otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,1,0,1,0,1
EL TORNO,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,19,0,19,0,19
ENTRE RIOS TRJ,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,1,0,1,0,1
ESCOMA,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,2,0,2,0,2
GUANAY,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,2,0,2,0,2
LA GUARDIA,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,20,0,20,0,20
LA PAZ,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,81,0,81,0,81
LLALLAGUA,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,8,9,8,9,17
LORETO,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,0,1,0,1,1
MAIRANA,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,1,0,1,0,1
MIZQUE,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,2,0,2,0,2
MONTERO,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,14,0,14,0,14
PAILON,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,3,0,3,0,3
PAZÑA,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,1,0,1,0,1
POCONA,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,2,0,2,0,2
PORTACHUELO,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,4,0,4,0,4
POTOSI,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,50,0,50,0,50
PUERTO VILLARROEL,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,2,0,2,0,2
PUNATA,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,2,0,2,0,2
QUILLACOLLO,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,2,0,2,0,2
SACABA,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,3,0,3,0,3
SAN ANTONIO DE LOMERIO,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,2,0,2,0,2
SAN BENITO,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,1,0,1,0,1
SAN CARLOS,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,4,0,4,0,4
SAN IGNACIO,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,3,0,3,0,3
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,8,0,8,0,8
SAN JULIAN,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,5,1,5,1,6
SAN PEDRO DE TIQUINA,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,205,4,205,4,209
SUCRE,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,51,0,51,0,51
TAPACARI,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,1,0,1,0,1
TARIJA,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,11,0,11,0,11
TIQUIPAYA,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,1,0,1,0,1
TOLEDO,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,2,0,2,0,2
TUPIZA,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,1,0,1,0,1
UYUNI,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,3,0,3,0,3
VACAS,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,7,0,7,0,7
VALLEGRANDE,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,2,0,2,0,2
VIACHA,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,1,6,1,6,7
VILLA MONTES,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,3,0,3,0,3
VILLAZON,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,10,0,10,0,10
WARNES,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,13,0,13,0,13
YACUIBA,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,2,0,2,0,2
YAPACANI,otras vacunaciones,      antirrabica humana esquema completo,2014-08-01,1,0,1,0,1
ARBIETO,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,12,0,12,0,12
BATALLAS,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
BERMEJO,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,3,0,3,0,3
CABEZAS,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
"CAIZA ""D""",otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
CAMIRI,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,7,0,7,0,7
CAQUIAVIRI,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
CARANAVI,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,5,0,5,0,5
CARAPARI,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
CHALLAPATA,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
CHARAGUA,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,18,0,18,0,18
COCHABAMBA,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,26,0,26,0,26
COMARAPA,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
CORIPATA,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,1,1,1,2
COROICO,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
COTOCA,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,6,0,6,0,6
CUATRO CAÑADAS,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,2,0,2,0,2
EL ALTO,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,120,0,120,0,120
EL TORNO,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,24,0,24,0,24
FERNANDEZ ALONSO,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,5,0,5,0,5
GUAQUI,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,0,2,0,2,2
LA GUARDIA,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,23,0,23,0,23
LA PAZ,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,101,0,101,0,101
MAPIRI,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,3,0,3,0,3
MIZQUE,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,2,0,2,0,2
MONTERO,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,11,0,11,0,11
MORO MORO,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,2,0,2,0,2
OKINAWA,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,8,0,8,0,8
ORURO,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,15,0,15,0,15
PADILLA,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,2,0,2,0,2
PAILON,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,10,0,10,0,10
PAMPA AULLAGAS,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
PAPEL PAMPA,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
PORCO,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
PORTACHUELO,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
POTOSI,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,18,0,18,0,18
PUCARANI,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
PUERTO QUIJARRO,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,2,0,2,0,2
PUNATA,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,3,0,3,0,3
QUILLACOLLO,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,2,0,2,0,2
SACABA,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,2,0,2,0,2
SAN BENITO,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
SAN CARLOS,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,2,0,2,0,2
SAN IGNACIO,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,3,0,3,0,3
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,9,0,9,0,9
SAN JULIAN,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,9,0,9,0,9
SAN MIGUEL DE VELASCO,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
SAN RAFAEL,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,196,0,196,0,196
SANTUARIO DE QUILLACAS,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
SICA SICA (VILLA AROMA),otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
SORACACHI,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,6,0,6,0,6
SUCRE,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,51,0,51,0,51
TAPACARI,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,0,1,0,1,1
TIAWANACU,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,0,1,0,1,1
TIPUANI,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
TIQUIPAYA,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
TRIGAL,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
UNCIA,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,2,0,2,0,2
UYUNI,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,2,0,2,0,2
VACAS,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,0,1,0,1,1
VALLEGRANDE,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,10,0,10,0,10
VIACHA,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,2,0,2,0,2
VILLA MONTES,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,2,0,2,0,2
VILLA TUNARI,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,1,0,1,0,1
VILLAZON,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,4,0,4,0,4
VINTO,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,2,0,2,0,2
WARNES,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,15,0,15,0,15
YACUIBA,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,3,0,3,0,3
YAPACANI,otras vacunaciones,      antirrabica humana esquema completo,2014-09-01,5,0,5,0,5
AIQUILE,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,2,3,2,3,5
ASCENCION DE GUARAYOS,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,3,2,3,2,5
ATOCHA,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,2,1,2,1,3
CAJUATA,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,1,1,1,1,2
CARAPARI,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,1,0,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,0,7,0,7,7
CKOCHAS,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,0,1,0,1,1
COCHABAMBA,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,4,0,4,0,4
COTOCA,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,1,1,1,1,2
CUATRO CAÑADAS,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,1,1,1,1,2
EL ALTO,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,23,10,23,10,33
ENTRE RIOS TRJ,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,0,1,0,1,1
ESCOMA,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,0,1,0,1,1
HUACHACALLA,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,1,1,1,1,2
LA PAZ,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,1,11,1,11,12
LLALLAGUA,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,0,1,0,1,1
MECAPACA,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,2,0,2,0,2
MONTERO,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,1,1,1,1,2
ORURO,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,1,0,1,0,1
POTOSI,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,18,0,18,0,18
PUCARANI,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,2,0,2,0,2
PUERTO QUIJARRO,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,2,0,2,0,2
SAN ANDRES,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,1,1,1,1,2
SAN IGNACIO,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,3,0,3,0,3
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,2,2,2,2,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,100,42,100,42,142
TRINIDAD,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,8,1,8,1,9
VILLAZON,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,4,4,4,4,8
WARNES,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,9,0,9,0,9
YACUIBA,otras vacunaciones,      antirrabica humana esquema completo,2014-10-01,1,2,1,2,3
ATOCHA,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,1,1,1,1,2
CARAPARI,otras vacunaciones,      antirrabica humana esquema completo,2014-11-01,1,0,1,0,1
