,group,variable,month,TOTAL 21.6 TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,TOTAL 21.6 TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
CLIZA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,5,0,5,0,5
COBIJA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,4,0,4,0,4
COCHABAMBA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,134,0,134,0,134
COLOMI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,0,4,0,4,4
COLQUECHACA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,1,0,1,0,1
COMANCHE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,3,0,3,0,3
COPACABANA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,6,8,6,8,14
CORO CORO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,3,0,3,0,3
COROICO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,3,0,3,0,3
COTAGAITA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,2,0,2,0,2
COTOCA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,2,0,2,0,2
CUATRO CAÑADAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,2,0,2,0,2
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,6,0,6,0,6
CUEVO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,1,0,1,0,1
EL ALTO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,205,11,205,11,216
EL PUENTE(STC),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,1,0,1,0,1
EL PUENTE(TJA),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,9,17,9,17,26
EL TORNO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,33,0,33,0,33
ENTRE RIOS TRJ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,3,1,3,1,4
GENERAL SAAVEDRA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,15,0,15,0,15
HUACARETA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,1,0,1,0,1
HUACHACALLA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,1,12,1,12,13
HUANUNI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,51,0,51,0,51
ICLA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,10,0,10,0,10
INCAHUASI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,14,0,14,0,14
LA ASUNTA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,6,0,6,0,6
LA GUARDIA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,46,10,46,10,56
LA PAZ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,300,124,300,124,424
LLALLAGUA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,12,36,12,36,48
LURIBAY,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,4,0,4,0,4
MACHARETI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,7,0,7,0,7
MIZQUE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,5,0,5,0,5
MOCOMOCO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,1,0,1,0,1
MOJINETE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,3,0,3,0,3
MOJOCOYA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,2,0,2,0,2
MONTEAGUDO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,3,0,3,0,3
MONTERO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,6,0,6,0,6
ORURO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,219,0,219,0,219
PADCAYA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,31,0,31,0,31
PADILLA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,41,0,41,0,41
PAILON,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,5,0,5,0,5
PAMPA GRANDE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,1,0,1,0,1
PORTACHUELO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,4,1,4,1,5
POTOSI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,127,4,127,4,131
PUCARANI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,1,7,1,7,8
PUERTO PEREZ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,3,0,3,0,3
QUILLACOLLO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,19,0,19,0,19
QUIME,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,7,0,7,0,7
ROBORE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,1,0,1,0,1
SACABA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,18,98,18,98,116
SAN ANDRES,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,2,0,2,0,2
SAN BENITO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,11,0,11,0,11
SAN BORJA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,5,1,5,1,6
SAN BUENA VENTURA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,7,0,7,0,7
SAN IGNACIO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,3,0,3,0,3
SAN JOAQUIN,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,9,2,9,2,11
SAN JOSE DE CHIQUITOS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,15,0,15,0,15
SAN JUAN DE YAPACANI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,6,0,6,0,6
SAN LORENZO(PND),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,1,0,1,0,1
SAN MATIAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,2,0,2,0,2
SAN RAMON BENI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,70,0,70,0,70
SANTA ROSA DEL SARA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,11,0,11,0,11
SANTIAGO DE HUARI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,0,2,0,2,2
SANTIAGO DE MACHACA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,0,3,0,3,3
SANTIVAÑES,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,1,0,1,0,1
SENA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,9,0,9,0,9
SHINAOTA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,11,0,11,0,11
SORATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,3,2,3,2,5
SUCRE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,49,21,49,21,70
TARACO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,5,0,5,0,5
TARIJA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,81,54,81,54,135
TARVITA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,4,0,4,0,4
TIRAQUE (CBBA),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,14,0,14,0,14
TOMINA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,6,0,6,0,6
TRINIDAD,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,223,0,223,0,223
UYUNI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,6,0,6,0,6
VALLEGRANDE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,1,0,1,0,1
VIACHA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,83,174,83,174,257
VILLA MONTES,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,6,0,6,0,6
VILLA RIVERO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,21,0,21,0,21
VILLA SERRANO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,6,0,6,0,6
VILLA TUNARI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,16,0,16,0,16
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,5,0,5,0,5
WARNES,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,4,0,4,0,4
YACO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,10,0,10,0,10
YACUIBA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,136,0,136,0,136
YAPACANI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,0,1,0,1,1
YUNCHARA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,5,17,5,17,22
ACACIO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,9,0,9,0,9
ACHACACHI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,183,2,183,2,185
ALTO BENI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,11,0,11,0,11
ARAMPAMPA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,20,0,20,0,20
ARBIETO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,9,0,9,0,9
ASCENCION DE GUARAYOS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,1,0,1,0,1
ATOCHA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,1,0,1,0,1
AZURDUY,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,32,0,32,0,32
BATALLAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,11,72,11,72,83
BELEN DE URMIRI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,6,0,6,0,6
BELLA FLOR,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,3,0,3,0,3
BERMEJO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,19,12,19,12,31
BETANZOS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,9,0,9,0,9
BOYUIBE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,7,0,7,0,7
BUENA VISTA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,2,0,2,0,2
CABEZAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,7,0,7,0,7
CAIROMA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,0,20,0,20,20
"CAIZA ""D""",otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,4,2,4,2,6
CAJUATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,2,0,2,0,2
CAMARGO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,48,0,48,0,48
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,13,0,13,0,13
CAMIRI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,9,0,9,0,9
CAPINOTA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,0,3,0,3,3
CARANAVI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,99,162,99,162,261
CARAPARI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,11,22,11,22,33
CARMEN RIVERO TORREZ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,17,1,17,1,18
CATACORA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,2,0,2,0,2
CHALLAPATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,6,0,6,0,6
CHARAGUA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,10,0,10,0,10
CHAYANTA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,32,0,32,0,32
CHIPAYA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,32,0,32,0,32
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,21,2,21,2,23
CLIZA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,20,0,20,0,20
COBIJA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,28,0,28,0,28
COCAPATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,31,0,31,0,31
COCHABAMBA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,86,0,86,0,86
COLCAPIRHUA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,65,0,65,0,65
COLOMI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,0,7,0,7,7
COLPA BELGICA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,4,0,4,0,4
COMANCHE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,3,0,3,0,3
COPACABANA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,5,5,5,5,10
CORIPATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,3,0,3,0,3
COROICO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,3,0,3,0,3
COTAGAITA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,10,6,10,6,16
COTOCA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,5,0,5,0,5
CUATRO CAÑADAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,8,0,8,0,8
CUEVO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,2,0,2,0,2
EL ALTO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,688,1712,688,1712,2400
EL PUENTE(STC),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,3,0,3,0,3
EL PUENTE(TJA),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,11,5,11,5,16
EL TORNO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,8,0,8,0,8
EL VILLAR,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,4,0,4,0,4
ENTRE RIOS TRJ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,2,5,2,5,7
ESCOMA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,5,0,5,0,5
GENERAL SAAVEDRA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,4,0,4,0,4
GUANAY,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,1,6,1,6,7
GUAQUI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,12,12,12,12,24
HUACARETA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,7,6,7,6,13
HUACHACALLA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,0,1,0,1,1
HUANUNI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,1,0,1,0,1
HUMANATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,3,0,3,0,3
ICHOCA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,4,0,4,0,4
ICLA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,3,0,3,0,3
INCAHUASI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,5,0,5,0,5
INGAVI (HUMAITA),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,0,9,0,9,9
INQUISIVI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,11,0,11,0,11
IRUPANA (VILLA DE LANZA),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,1,1,1,1,2
JESUS DE MACHACA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,16,0,16,0,16
LA ASUNTA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,9,71,9,71,80
LA GUARDIA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,9,0,9,0,9
LA PAZ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,394,740,394,740,1134
LAJA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,18,17,18,17,35
LLALLAGUA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,5,9,5,9,14
LURIBAY,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,3,0,3,0,3
MAGDALENA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,4,0,4,0,4
MAPIRI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,5,14,5,14,19
MIZQUE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,24,0,24,0,24
MOCOMOCO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,0,12,0,12,12
MOJINETE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,3,0,3,0,3
MONTEAGUDO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,18,0,18,0,18
MONTERO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,14,0,14,0,14
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,1,1,1,1,2
ORURO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,102,11,102,11,113
PADCAYA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,7,0,7,0,7
PADILLA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,1,0,1,0,1
PALOS BLANCOS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,109,37,109,37,146
PAMPA GRANDE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,1,0,1,0,1
POROMA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,52,0,52,0,52
PORONGO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,2,0,2,0,2
PORTACHUELO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,10,0,10,0,10
POTOSI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,118,1,118,1,119
PUCARANI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,31,109,31,109,140
PUERTO CARABUCO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,2,0,2,0,2
PUERTO PEREZ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,1,18,1,18,19
PUERTO RICO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,22,0,22,0,22
PUNATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,49,0,49,0,49
QUIABAYA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,2,0,2,0,2
QUILLACOLLO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,151,0,151,0,151
SACABA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,4,80,4,80,84
SACABAMBA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,15,0,15,0,15
SAMAIPATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,1,0,1,0,1
SAN ANDRES DE MACHACA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,13,15,13,15,28
SAN ANTONIO DE ESMORUCO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,7,0,7,0,7
SAN BORJA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,5,0,5,0,5
SAN BUENA VENTURA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,9,4,9,4,13
SAN CARLOS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,13,11,13,11,24
SAN IGNACIO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,18,9,18,9,27
SAN IGNACIO DE VELASCO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,3,0,3,0,3
SAN JUAN DE YAPACANI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,11,7,11,7,18
SAN LORENZO(TJA),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,6,0,6,0,6
SAN MATIAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,16,4,16,4,20
SAN PABLO DE LIPEZ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,11,0,11,0,11
SAN PEDRO DE TIQUINA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,5,0,5,0,5
SAN RAMON BENI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,2,2,2,2,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,114,0,114,0,114
SANTA ROSA DEL SARA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,13,0,13,0,13
SANTIAGO DE HUARI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,2,0,2,0,2
SANTIAGO DE HUATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,5,0,5,0,5
SANTIVAÑES,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,2,0,2,0,2
SAPAHAQUI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,4,0,4,0,4
SENA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,4,0,4,0,4
SHINAOTA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,4,0,4,0,4
SICA SICA (VILLA AROMA),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,5,0,5,0,5
SICAYA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,7,0,7,0,7
SORATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,1,0,1,0,1
SUCRE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,128,0,128,0,128
TACOBAMBA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,6,0,6,0,6
TARACO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,9,1,9,1,10
TARATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,13,0,13,0,13
TARIJA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,333,277,333,277,610
TARVITA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,1,0,1,0,1
TEOPONTE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,18,90,18,90,108
TIAWANACU,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,22,0,22,0,22
TIPUANI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,7,0,7,0,7
TIQUIPAYA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,3,0,3,0,3
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,7,26,7,26,33
TOCO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,3,1,3,1,4
TOLATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,15,0,15,0,15
TOMAVE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,17,0,17,0,17
TORO TORO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,7,0,7,0,7
TRINIDAD,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,98,41,98,41,139
URIONDO (A. CONCEPCION),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,1,0,1,0,1
UYUNI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,7,0,7,0,7
VACAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,9,0,9,0,9
VALLEGRANDE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,4,0,4,0,4
VIACHA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,124,99,124,99,223
VILLA MONTES,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,17,0,17,0,17
VILLA SERRANO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,2,7,2,7,9
VILLA TUNARI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,45,0,45,0,45
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,10,0,10,0,10
VILLAZON,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,1,0,1,0,1
VINTO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-05-01,53,0,53,0,53
