municipality,group,variable,month,TOTAL 5.15 AQV FEMENINO  Grupo Edad: (CANTIDAD),TOTAL
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,1,1
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,6,6
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,3,3
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,1,1
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,6,6
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,1,1
BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,9,9
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,2,2
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,4,4
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,1,1
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,6,6
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,3,3
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,24,24
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,74,74
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,3,3
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,30,30
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,9,9
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,7,7
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,24,24
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,1,1
MAPIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,4,4
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,9,9
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,10,10
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,4,4
PATACAMAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,2,2
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,5,5
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,4,4
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,1,1
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,3,3
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,14,14
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,2,2
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,8,8
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,5,5
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,2,2
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,5,5
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,9,9
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,6,6
SAN LUCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,14,14
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,2,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,19,19
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,29,29
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,84,84
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,4,4
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,1,1
TEOPONTE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,1,1
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,22,22
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,4,4
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,4,4
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,16,16
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-06-01,6,6
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,22,22
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,3,3
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,10,10
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,4,4
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,2,2
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,2,2
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,5,5
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,1,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,35,35
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,66,66
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,1,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,29,29
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,9,9
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,1,1
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,8,8
HUARACAJE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,1,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,22,22
LAJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,2,2
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,6,6
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,7,7
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,3,3
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,6,6
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,1,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,6,6
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,3,3
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,6,6
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,5,5
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,10,10
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,6,6
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,7,7
SAMAIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,1,1
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,5,5
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,6,6
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,5,5
SAN JAVIER(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,56,56
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,7,7
SAN LUCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,2,2
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,7,7
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,15,15
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,26,26
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,2,2
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,1,1
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,5,5
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,5,5
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,19,19
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,20,20
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,4,4
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,1,1
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,6,6
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,11,11
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,6,6
VINTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,5,5
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,1,1
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-07-01,1,1
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,1,1
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,2,2
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,1,1
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,1,1
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,1,1
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,1,1
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,1,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,22,22
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,72,72
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,2,2
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,5,5
CUCHUMUELA (V. G. VILLARROEL),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,0,0
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,37,37
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,7,7
ESCOMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,1,1
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,14,14
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,1,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,20,20
LAGUNILLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,21,21
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,4,4
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,4,4
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,17,17
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,11,11
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,3,3
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,2,2
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,14,14
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,2,2
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,5,5
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,11,11
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,3,3
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,4,4
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,3,3
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,4,4
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,3,3
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,2,2
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,12,12
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,2,2
SAN MATIAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,1,1
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,3,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,36,36
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,30,30
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,4,4
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,7,7
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,2,2
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,2,2
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,24,24
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,4,4
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,1,1
VILLA CHARCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,1,1
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,6,6
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,15,15
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,3,3
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,1,1
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-08-01,2,2
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,1,1
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,3,3
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,1,1
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,2,2
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,1,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,23,23
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,73,73
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,7,7
COROICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,1,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,22,22
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,7,7
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,15,15
INCAHUASI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,2,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,25,25
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,1,1
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,1,1
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,4,4
MINEROS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,6,6
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,2,2
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,18,18
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,11,11
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,4,4
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,4,4
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,12,12
PUERTO RICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,2,2
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,6,6
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,1,1
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,6,6
REYES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,1,1
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,11,11
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,3,3
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,3,3
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,7,7
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,1,1
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,2,2
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,12,12
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,4,4
SAN MATIAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,1,1
SAN RAMON BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,20,20
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,34,34
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,1,1
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,8,8
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,1,1
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,3,3
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,2,2
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,4,4
VILLA CHARCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,1,1
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,5,5
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,7,7
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,1,1
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,2,2
YOTALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-09-01,1,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,10,10
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,3,3
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,1,1
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,3,3
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,1,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,15,15
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,27,27
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,3,3
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,89,89
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,12,12
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,14,14
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,1,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,9,9
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,1,1
MAPIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,4,4
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,1,1
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,18,18
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,14,14
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,4,4
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,1,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,5,5
PUERTO QUIJARRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,8,8
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,5,5
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,1,1
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,5,5
QUIME,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,3,3
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,18,18
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,3,3
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,1,1
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,1,1
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,3,3
SAN JAVIER(BNI),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,4,4
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,1,1
SAN JULIAN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,14,14
SAN MATIAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,1,1
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,2,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,46,46
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,28,28
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,1,1
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,5,5
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,1,1
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,4,4
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,32,32
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-10-01,2,2
