,group,variable,month,ANTIPOLIOMIELÍTICA 4TA. DOSIS DENTRO,ANTIPOLIOMIELÍTICA 4TA. DOSIS DENTRO,ANTIPOLIOMIELÍTICA 4TA. DOSIS FUERA,ANTIPOLIOMIELÍTICA 4TA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,7,6,20,16,27,22,49
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,3,3,0,1,3,4,7
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,22,14,3,1,25,15,40
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,1,1,1,1,2,3
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,1,0,0,0,1,1
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,1,0,1,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,5,6,1,1,6,7,13
CHUMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,4,1,2,5,6,6,12
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,8,2,0,0,8,2,10
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,4,9,7,5,11,14,25
CLIZA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,9,7,8,8,17,15,32
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,55,50,25,17,80,67,147
COCAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,2,8,8,10,10,18,28
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,475,461,18,7,493,468,961
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,20,22,7,4,27,26,53
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,5,9,1,3,6,12,18
COLLANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,1,0,0,1,1,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,22,17,0,2,22,19,41
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,2,5,2,1,4,6,10
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,24,11,11,12,35,23,58
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,11,6,0,0,11,6,17
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,3,4,4,2,7,6,13
COMARAPA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,9,11,1,0,10,11,21
COMBAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,0,0,1,1,1,2
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,17,10,7,3,24,13,37
COPACABANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,2,1,2,1,4,5
CORIPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,9,7,0,0,9,7,16
CORO CORO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,2,1,1,2,3,3,6
COROICO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,8,7,1,3,9,10,19
CORQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,3,1,1,2,4,6
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,13,16,7,3,20,19,39
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,43,42,1,1,44,43,87
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,19,8,6,4,25,12,37
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,0,2,2,2,2,4
CUEVO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,3,3,1,0,4,3,7
CULPINA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,5,7,4,1,9,8,17
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,1,1,0,1,1,2
CURVA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,5,1,1,0,6,1,7
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,2,2,1,0,3,2,5
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,354,366,106,108,460,474,934
EL CHORO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,0,0,0,1,0,1
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,10,6,1,0,11,6,17
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,8,3,3,5,11,8,19
EL TORNO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,30,28,11,5,41,33,74
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,3,0,0,1,3,4
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,14,15,4,5,18,20,38
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,25,32,2,3,27,35,62
ESCOMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,3,2,3,2,6,4,10
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,3,0,1,1,4,5
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,2,4,0,4,2,6
EXALTACION,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,2,1,0,2,2,4
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,7,6,8,3,15,9,24
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,4,3,1,1,5,4,9
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,5,3,4,4,9,7,16
GUANAY,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,5,12,11,9,16,21,37
GUAQUI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,1,1,1,1,2,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,39,32,2,7,41,39,80
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,10,10,3,0,13,10,23
HUACARETA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,3,4,1,0,4,4,8
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,0,0,1,0,1,1
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,1,0,1,1,2,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,7,10,5,5,12,15,27
HUARINA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,2,1,0,2,2,4
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,2,0,0,0,2,0,2
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,1,0,0,1,1,2
HUMANATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,3,4,1,1,4,5,9
ICHOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,1,1,0,2,1,3
ICLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,2,3,1,0,3,3,6
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,3,2,2,1,5,3,8
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,5,3,3,3,8,6,14
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,15,11,0,2,15,13,28
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,3,4,5,0,8,4,12
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,5,3,3,1,8,4,12
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,33,28,6,2,39,30,69
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,101,82,3,8,104,90,194
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,475,455,8,6,483,461,944
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,4,2,2,3,6,5,11
LAJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,2,2,0,0,2,2,4
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,5,0,0,0,5,0,5
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,1,0,0,0,1,1
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,11,6,11,12,22,18,40
LLICA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,2,0,1,1,3,4
LORETO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,0,0,1,0,1,1
LURIBAY,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,2,0,1,0,3,0,3
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,3,0,0,0,3,0,3
MACHARETI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,6,0,0,1,6,7
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,7,5,1,4,8,9,17
MAIRANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,10,11,0,1,10,12,22
MALLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,4,0,3,0,7,7
MAPIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,11,8,2,0,13,8,21
MECAPACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,4,12,2,0,6,12,18
MINEROS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,13,13,1,4,14,17,31
MIZQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,12,12,2,4,14,16,30
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,4,4,5,5,9,14
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,4,2,4,2,8,4,12
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,16,19,3,3,19,22,41
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,83,72,23,22,106,94,200
MORO MORO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,2,0,2,0,4,4
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,2,3,4,5,6,8,14
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,1,3,4,4,5,9
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,0,2,2,2,2,4
OCURI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,2,3,1,1,3,4,7
OKINAWA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,7,8,1,0,8,8,16
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,5,3,6,3,11,6,17
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,195,184,13,17,208,201,409
PADCAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,13,7,4,1,17,8,25
PADILLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,3,8,2,1,5,9,14
PAILON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,7,12,34,29,41,41,82
PALCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,7,6,1,5,8,11,19
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,25,16,2,1,27,17,44
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,1,1,0,2,1,3
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,7,5,0,2,7,7,14
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,4,2,0,0,4,2,6
PASORAPA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,0,1,2,1,2,3
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,0,3,3,3,3,6
PAZÑA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,1,0,0,0,1,1
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,2,0,0,0,2,2
POCOATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,3,3,5,6,8,9,17
POCONA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,6,5,7,3,13,8,21
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,4,5,2,2,6,7,13
POOPO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,4,1,1,1,5,2,7
PORCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,9,5,2,2,11,7,18
POROMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,3,5,8,6,11,11,22
PORONGO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,3,4,5,4,8,8,16
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,12,22,1,1,13,23,36
PORVENIR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,2,6,1,3,3,9,12
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,155,136,40,36,195,172,367
PRESTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,10,1,0,2,10,3,13
PUCARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,0,1,0,2,0,2
PUCARANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,7,13,2,5,9,18,27
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,2,5,3,2,5,7,12
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,4,4,5,6,9,10,19
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,2,0,12,7,14,7,21
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,0,0,1,1,1,2
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,5,9,1,2,6,11,17
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,11,8,2,1,13,9,22
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,1,4,0,4,1,5
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,6,17,3,1,9,18,27
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,41,40,10,12,51,52,103
PUNA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,3,6,8,8,11,14,25
PUNATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,9,16,2,7,11,23,34
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,2,0,0,0,2,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,64,61,38,34,102,95,197
QUIME,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,2,4,0,0,2,4,6
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,1,0,1,0,2,2
RAQAYPAMPA(ETA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,2,1,0,0,2,1,3
RAVELO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,4,8,4,4,8,12,20
REYES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,7,11,4,5,11,16,27
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,45,48,14,13,59,61,120
ROBORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,17,17,1,0,18,17,35
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,16,17,0,1,16,18,34
SABAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,1,1,1,1,2,3
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,77,99,11,10,88,109,197
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,4,1,1,3,5,4,9
SACACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,9,11,10,12,19,31
SAIPINA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,5,2,1,2,6,4,10
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,3,6,4,2,7,8,15
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,4,5,2,1,6,6,12
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,1,0,0,0,1,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,13,9,1,2,14,11,25
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,0,1,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,0,0,0,1,0,1
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,5,8,5,5,10,13,23
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,29,24,4,7,33,31,64
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,6,3,5,4,11,7,18
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,12,18,0,1,12,19,31
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,23,15,1,2,24,17,41
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,46,33,7,12,53,45,98
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,0,7,7,8,7,15
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,11,13,0,0,11,13,24
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,4,1,0,0,4,1,5
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,9,9,21,21,30,30,60
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,6,4,1,5,7,9,16
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,42,24,5,5,47,29,76
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,2,5,5,4,7,9,16
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,16,16,0,5,16,21,37
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,7,12,15,11,22,23,45
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,12,8,1,1,13,9,22
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,14,7,3,0,17,7,24
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,10,9,1,1,11,10,21
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,9,13,4,4,13,17,30
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,2,0,0,1,2,1,3
SAN PEDRO DE QUEMES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,0,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,1,1,3,2,4,6
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,3,0,0,0,3,3
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,2,2,5,3,7,10
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,8,6,3,1,11,7,18
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,5,6,0,0,5,6,11
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,758,789,9,10,767,799,1566
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,14,9,0,0,14,9,23
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,5,3,2,3,7,6,13
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,0,1,0,2,0,2
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,1,0,1,1,2,3
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,5,0,1,3,6,3,9
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,4,3,0,2,4,5,9
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,1,4,0,3,1,7,8
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,0,5,0,1,0,6,6
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,5,5,1,1,6,6,12
SENA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,8,7,1,2,9,9,18
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,9,15,10,1,19,16,35
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-03-01,9,9,2,2,11,11,22
