,group,variable,month,L 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,L 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,L 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,L 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,TOTALES,TOTALES,TOTALES
SAN LUCAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,26,74,0,0,26,74,100
SAN MIGUEL DE VELASCO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,4,17,0,0,4,17,21
SAN PEDRO DE BUENA VISTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,101,55,0,0,101,55,156
SANTA CRUZ DE LA SIERRA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,1,0,0,0,1,0,1
SANTA ROSA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,4,6,0,0,4,6,10
SENA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,54,52,0,0,54,52,106
SHINAOTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,1,0,0,0,1,0,1
SOPACHUY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,6,12,0,0,6,12,18
SUCRE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,11,25,0,0,11,25,36
TARABUCO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,0,1,0,0,0,1,1
TEOPONTE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,20,22,0,0,20,22,42
TOMINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,1,3,0,0,1,3,4
TORO TORO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,108,103,0,0,108,103,211
VALLEGRANDE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,5,1,0,0,5,1,6
VILA VILA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,1,1,0,0,1,1,2
VILLA CHARCAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,2,24,0,0,2,24,26
VILLA MONTES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,99,121,0,0,99,121,220
VILLA NUEVA (LOMA ALTA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,49,19,0,0,49,19,68
VILLA SERRANO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,7,16,0,0,7,16,23
VILLA TUNARI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,1,2,0,0,1,2,3
VILLA VACA GUZMAN (MUYUPAMPA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,44,77,0,0,44,77,121
YACUIBA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,81,119,0,0,81,119,200
YAPACANI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,1,1,0,0,1,1,2
ZUDAÑEZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,1,0,0,0,1,0,1
AIQUILE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,2,0,0,0,2,0,2
ALCALA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,0,6,0,0,0,6,6
APOLO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,4,3,0,0,4,3,7
AZURDUY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,7,4,0,0,7,4,11
BAURES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,14,21,0,0,14,21,35
BELLA FLOR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,10,0,0,0,10,0,10
BERMEJO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,40,34,0,0,40,34,74
BUENA VISTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,6,3,0,0,6,3,9
CAMARGO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,2,19,0,0,2,19,21
CAMATAQUI (C. VILLA ABECIA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,1,3,0,0,1,3,4
CAMIRI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,27,31,0,0,27,31,58
CARANAVI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,7,4,0,0,7,4,11
CARAPARI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,19,9,0,0,19,9,28
COBIJA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,36,10,0,0,36,10,46
COMARAPA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,0,1,0,0,0,1,1
CONCEPCION,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,19,16,0,0,19,16,35
COTOCA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,1,0,0,0,1,0,1
CUEVO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,0,2,0,0,0,2,2
EL TORNO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,81,60,0,0,81,60,141
EL VILLAR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,0,0,1,1,1,1,2
ENTRE RIOS TRJ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,15,8,0,0,15,8,23
GRAL. J.J. PEREZ (CHARAZANI),malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,2,0,0,0,2,0,2
GUANAY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,3,0,0,0,3,0,3
GUAYARAMERIN,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,133,142,0,0,133,142,275
GUTIERREZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,0,13,0,0,0,13,13
HUACARETA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,7,6,0,0,7,6,13
HUACAYA (VILLA DE HUACAYA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,3,2,0,0,3,2,5
ICLA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,0,15,0,0,0,15,15
INCAHUASI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,3,4,0,0,3,4,7
INGAVI (HUMAITA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,17,17,0,0,17,17,34
IXIAMAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,35,23,0,0,35,23,58
LA GUARDIA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,2,2,0,0,2,2,4
LA PAZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,12,4,12,4,24,8,32
LAGUNILLAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,7,24,0,0,7,24,31
MACHARETI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,23,45,0,0,23,45,68
MAGDALENA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,112,107,0,0,112,107,219
MAIRANA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,1,0,0,0,1,0,1
MAPIRI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,19,12,0,0,19,12,31
MIZQUE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,4,11,0,0,4,11,15
MOJOCOYA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,2,0,0,0,2,0,2
MONTEAGUDO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,40,57,0,0,40,57,97
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,15,0,0,0,15,0,15
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,31,32,0,0,31,32,63
OMEREQUE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,1,0,0,0,1,0,1
PADCAYA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,7,3,0,0,7,3,10
PADILLA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,10,7,0,0,10,7,17
PAILON,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,1,12,0,0,1,12,13
PALOS BLANCOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,5,6,0,0,5,6,11
POROMA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,1,3,0,0,1,3,4
PORONGO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,9,7,0,0,9,7,16
PORTACHUELO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,3,0,0,0,3,0,3
PORVENIR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,35,20,0,0,35,20,55
PRESTO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,1,1,0,0,1,1,2
PUERTO GONZALO MORENO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,7,9,0,0,7,9,16
PUERTO RICO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,101,25,0,0,101,25,126
PUERTO VILLARROEL,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,0,1,0,0,0,1,1
REYES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,2,1,0,0,2,1,3
RIBERALTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,309,223,51,63,360,286,646
RURRENABAQUE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,3,0,3,0,6,0,6
SAIPINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,32,39,0,0,32,39,71
SAN IGNACIO DE VELASCO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,18,11,0,0,18,11,29
SAN JAVIER(STC),malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,0,1,0,0,0,1,1
SAN JOAQUIN,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,0,1,0,0,0,1,1
SAN LORENZO(PND),malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,18,0,0,0,18,0,18
SAN LUCAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,12,24,0,0,12,24,36
SAN MATIAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,55,56,0,0,55,56,111
SANTA ROSA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,10,8,0,0,10,8,18
SHINAOTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,3,2,0,0,3,2,5
SOPACHUY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,7,6,0,0,7,6,13
SUCRE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,19,32,0,0,19,32,51
TARABUCO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,3,1,0,0,3,1,4
TEOPONTE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,7,3,0,0,7,3,10
TOMINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,2,0,0,0,2,0,2
TORO TORO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,2,4,0,0,2,4,6
VILLA CHARCAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,0,2,0,0,0,2,2
VILLA MONTES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,27,32,0,0,27,32,59
VILLA NUEVA (LOMA ALTA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,15,0,0,0,15,0,15
VILLA SERRANO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,4,2,0,0,4,2,6
VILLA TUNARI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,1,0,0,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,21,27,0,0,21,27,48
YACUIBA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,39,39,0,0,39,39,78
YAMPARAEZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,1,0,0,0,1,0,1
YAPACANI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,4,1,0,0,4,1,5
ZUDAÑEZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-04-01,0,3,0,0,0,3,3
AIQUILE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,1,2,0,0,1,2,3
ALCALA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,0,11,0,0,0,11,11
APOLO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,35,20,0,0,35,20,55
AYATA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,1,0,0,0,1,0,1
AZURDUY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,7,4,0,0,7,4,11
BAURES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,18,21,0,0,18,21,39
BELLA FLOR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,0,17,0,0,0,17,17
BERMEJO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,28,20,0,0,28,20,48
BUENA VISTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,1,0,0,0,1,0,1
CABEZAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,0,1,0,0,0,1,1
CAMARGO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,0,26,0,0,0,26,26
CAMATAQUI (C. VILLA ABECIA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,4,3,0,0,4,3,7
CAMIRI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,43,42,0,0,43,42,85
CARANAVI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,6,2,0,0,6,2,8
CARAPARI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,6,6,0,0,6,6,12
COBIJA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,24,10,0,0,24,10,34
CONCEPCION,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,14,20,0,0,14,20,34
COTOCA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,0,1,0,0,0,1,1
CULPINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,6,15,4,3,10,18,28
EL TORNO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,45,47,0,0,45,47,92
EL VILLAR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,0,5,0,0,0,5,5
EUREKA (SANTOS MERCADO),malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,42,29,0,0,42,29,71
FILADELFIA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,4,2,0,0,4,2,6
GRAL. J.J. PEREZ (CHARAZANI),malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,2,0,0,0,2,0,2
GUANAY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,2,3,0,0,2,3,5
GUAYARAMERIN,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,406,623,74,0,480,623,1103
GUTIERREZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,0,24,0,0,0,24,24
HUACARETA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,13,9,0,0,13,9,22
HUACAYA (VILLA DE HUACAYA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,5,7,0,0,5,7,12
ICLA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,1,10,0,0,1,10,11
INCAHUASI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,2,3,0,0,2,3,5
INGAVI (HUMAITA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,38,17,0,0,38,17,55
IXIAMAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,41,26,0,0,41,26,67
LA GUARDIA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,1,3,0,0,1,3,4
LA PAZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,7,3,7,2,14,5,19
LAGUNILLAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,3,13,0,0,3,13,16
LAS CARRERAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,0,2,0,0,0,2,2
MACHARETI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,35,74,0,0,35,74,109
MAGDALENA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,92,89,0,0,92,89,181
MAPIRI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,15,17,0,0,15,17,32
MIZQUE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,3,3,0,0,3,3,6
MOJOCOYA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,2,0,0,0,2,0,2
MONTEAGUDO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,49,41,0,0,49,41,90
MONTERO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,29,12,0,0,29,12,41
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,53,55,0,0,53,55,108
PADCAYA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,18,31,0,0,18,31,49
PADILLA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,25,24,0,0,25,24,49
PAILON,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,1,54,0,0,1,54,55
PALOS BLANCOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,11,4,0,0,11,4,15
POROMA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,8,16,0,0,8,16,24
PORONGO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,10,8,0,0,10,8,18
PORTACHUELO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,2,0,0,0,2,0,2
PORVENIR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,116,51,0,0,116,51,167
PUERTO GONZALO MORENO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,15,8,0,0,15,8,23
PUERTO RICO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,93,61,0,0,93,61,154
PUERTO SILES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,1,0,0,0,1,0,1
REYES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,8,13,0,0,8,13,21
RIBERALTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,1473,241,3,0,1476,241,1717
ROBORE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,7,3,0,0,7,3,10
RURRENABAQUE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,2,1,2,1,4,2,6
SAIPINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,42,46,0,0,42,46,88
SAN BORJA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,2,0,0,0,2,0,2
SAN BUENA VENTURA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,3,1,0,0,3,1,4
SAN CARLOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,2,0,0,0,2,0,2
SAN IGNACIO DE VELASCO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,16,10,0,0,16,10,26
SAN JOSE DE CHIQUITOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,10,20,0,0,10,20,30
SAN LORENZO(PND),malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,93,57,0,0,93,57,150
SAN LUCAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,4,6,0,0,4,6,10
SAN MATIAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,13,15,0,0,13,15,28
SAN MIGUEL DE VELASCO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,5,11,0,0,5,11,16
SANTA ROSA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,13,15,0,0,13,15,28
SENA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,50,34,0,0,50,34,84
SOPACHUY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,4,16,0,0,4,16,20
SUCRE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,6,13,0,0,6,13,19
TARABUCO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,29,24,0,0,29,24,53
TEOPONTE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,4,5,0,0,4,5,9
TOMINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,0,1,0,0,0,1,1
TORO TORO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,43,37,0,0,43,37,80
VALLEGRANDE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,2,0,0,0,2,0,2
VILLA CHARCAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,0,1,0,0,0,1,1
VILLA MONTES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,159,178,0,0,159,178,337
VILLA NUEVA (LOMA ALTA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,40,2,0,0,40,2,42
VILLA SERRANO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,2,0,0,0,2,0,2
VILLA TUNARI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,1,0,0,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,38,36,0,0,38,36,74
YACUIBA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,344,363,0,0,344,363,707
YAPACANI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,2,0,0,0,2,0,2
YOTALA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,0,1,0,0,0,1,1
ZUDAÑEZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-05-01,1,0,0,0,1,0,1
AIQUILE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,1,2,0,0,1,2,3
ALCALA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,2,6,0,0,2,6,8
APOLO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,19,11,0,0,19,11,30
AZURDUY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,25,8,0,0,25,8,33
BAURES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,18,12,0,0,18,12,30
BELLA FLOR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,10,0,0,0,10,0,10
BERMEJO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,10,13,0,0,10,13,23
BOLPEBRA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,17,18,0,0,17,18,35
BUENA VISTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,2,2,0,0,2,2,4
CABEZAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,3,3,0,0,3,3,6
CAMARGO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,121,0,0,0,121,0,121
CAMATAQUI (C. VILLA ABECIA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,26,44,0,0,26,44,70
CAMIRI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,30,35,0,0,30,35,65
CARANAVI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,5,8,0,0,5,8,13
CARAPARI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,4,4,0,0,4,4,8
COBIJA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,42,30,0,0,42,30,72
CONCEPCION,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,20,25,1,1,21,26,47
EL TORNO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,29,15,0,0,29,15,44
EL VILLAR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,1,4,0,0,1,4,5
EUREKA (SANTOS MERCADO),malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,174,0,0,0,174,0,174
FILADELFIA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,31,30,0,0,31,30,61
GRAL. J.J. PEREZ (CHARAZANI),malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,1,0,0,0,1,0,1
GUANAY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,4,3,0,0,4,3,7
GUAYARAMERIN,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,499,724,38,35,537,759,1296
HUACARETA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,5,4,0,0,5,4,9
HUACAYA (VILLA DE HUACAYA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,11,28,0,0,11,28,39
ICLA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,8,6,0,0,8,6,14
INCAHUASI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,5,8,0,0,5,8,13
INGAVI (HUMAITA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,51,42,0,0,51,42,93
IXIAMAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,19,9,0,0,19,9,28
LA GUARDIA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,2,6,0,0,2,6,8
LAS CARRERAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,0,6,0,0,0,6,6
MACHARETI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,18,63,0,0,18,63,81
MAGDALENA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,107,79,0,0,107,79,186
MAIRANA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,4,0,0,0,4,0,4
MAPIRI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,31,21,0,0,31,21,52
MIZQUE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,1,0,0,0,1,0,1
MOJOCOYA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,31,34,0,0,31,34,65
MONTEAGUDO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,19,33,0,0,19,33,52
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,103,56,0,0,103,56,159
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,72,43,0,0,72,43,115
PADCAYA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,20,23,0,0,20,23,43
PADILLA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,41,40,0,0,41,40,81
PAILON,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,5,48,0,0,5,48,53
PALOS BLANCOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,3,1,0,0,3,1,4
POROMA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,36,51,0,0,36,51,87
PORONGO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,8,6,0,0,8,6,14
PORVENIR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,116,16,0,0,116,16,132
PUERTO GONZALO MORENO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,41,38,0,0,41,38,79
PUERTO RICO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-06-01,123,62,0,0,123,62,185
