,group,variable,month,L 21.3 NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS VIVAX,L 21.3 NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS VIVAX,L 21.3 NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS FALCIPARUM,L 21.3 NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS FALCIPARUM,TOTALES,TOTALES,TOTALES
GUAYARAMERIN,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-09-01,55,50,1,1,56,51,107
MONTEAGUDO,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-09-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.3       numero de tratamientos especificos dispensados,2012-09-01,5,7,0,0,5,7,12
PADILLA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-09-01,0,1,0,0,0,1,1
POROMA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-09-01,1,0,0,0,1,0,1
PORONGO,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-09-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-09-01,1,1,0,0,1,1,2
REYES,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-09-01,2,1,0,0,2,1,3
RIBERALTA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-09-01,17,21,0,0,17,21,38
SAIPINA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-09-01,1,3,0,0,1,3,4
SANTA ROSA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-09-01,0,1,0,0,0,1,1
TEOPONTE,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-09-01,1,0,0,0,1,0,1
VINTO,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-09-01,0,1,0,1,0,2,2
AZURDUY,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-10-01,1,0,0,0,1,0,1
BAURES,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-10-01,8,2,0,0,8,2,10
BELLA FLOR,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-10-01,1,2,0,0,1,2,3
BUENA VISTA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-10-01,1,0,0,0,1,0,1
CABEZAS,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-10-01,0,2,0,0,0,2,2
EL TORNO,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-10-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,l 21.3       numero de tratamientos especificos dispensados,2012-10-01,2,1,0,0,2,1,3
GUAYARAMERIN,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-10-01,77,46,1,2,78,48,126
INGAVI (HUMAITA),malaria,l 21.3       numero de tratamientos especificos dispensados,2012-10-01,1,0,0,0,1,0,1
IXIAMAS,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-10-01,11,6,0,0,11,6,17
MAGDALENA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-10-01,1,0,0,0,1,0,1
MONTEAGUDO,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-10-01,2,1,0,0,2,1,3
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.3       numero de tratamientos especificos dispensados,2012-10-01,3,0,0,0,3,0,3
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.3       numero de tratamientos especificos dispensados,2012-10-01,20,9,0,0,20,9,29
POROMA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-10-01,1,6,0,0,1,6,7
PORVENIR,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-10-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-10-01,1,1,2,1,3,2,5
REYES,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-10-01,1,1,1,1,2,2,4
RIBERALTA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-10-01,38,25,0,0,38,25,63
SAIPINA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-10-01,3,6,0,0,3,6,9
SAN IGNACIO DE VELASCO,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-10-01,1,0,0,0,1,0,1
VILLA MONTES,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-10-01,4,4,0,0,4,4,8
YACUIBA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-10-01,1,2,0,0,1,2,3
BAURES,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-11-01,3,2,0,0,3,2,5
BUENA VISTA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-11-01,1,0,0,0,1,0,1
CABEZAS,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-11-01,0,2,0,0,0,2,2
COBIJA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-11-01,2,2,0,0,2,2,4
EL TORNO,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-11-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-11-01,53,40,6,0,59,40,99
INGAVI (HUMAITA),malaria,l 21.3       numero de tratamientos especificos dispensados,2012-11-01,2,0,0,0,2,0,2
IXIAMAS,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-11-01,35,10,0,0,35,10,45
MONTEAGUDO,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-11-01,0,2,0,0,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.3       numero de tratamientos especificos dispensados,2012-11-01,22,8,0,0,22,8,30
PADILLA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-11-01,1,0,0,0,1,0,1
POROMA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-11-01,18,11,0,0,18,11,29
PORVENIR,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-11-01,2,0,0,0,2,0,2
REYES,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-11-01,2,0,0,0,2,0,2
RIBERALTA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-11-01,41,14,0,0,41,14,55
SAIPINA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-11-01,3,1,0,0,3,1,4
SAN IGNACIO DE VELASCO,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-11-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,l 21.3       numero de tratamientos especificos dispensados,2012-11-01,1,0,0,0,1,0,1
TORO TORO,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-11-01,1,0,0,0,1,0,1
VALLEGRANDE,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-11-01,1,0,0,0,1,0,1
VILLA MONTES,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-11-01,5,0,0,0,5,0,5
VILLA NUEVA (LOMA ALTA),malaria,l 21.3       numero de tratamientos especificos dispensados,2012-11-01,2,2,0,0,2,2,4
VILLA VACA GUZMAN (MUYUPAMPA),malaria,l 21.3       numero de tratamientos especificos dispensados,2012-11-01,1,1,0,0,1,1,2
YACUIBA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-11-01,0,1,0,0,0,1,1
BAURES,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,4,1,0,0,4,1,5
BUENA VISTA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,1,0,0,0,1,0,1
COBIJA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,1,1,0,0,1,1,2
EL TORNO,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,27,23,2,4,29,27,56
IXIAMAS,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,17,12,1,0,18,12,30
LAGUNILLAS,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,1,0,0,0,1,0,1
MAGDALENA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,1,1,0,0,1,1,2
MONTEAGUDO,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,10,4,0,0,10,4,14
PADILLA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,1,0,0,0,1,0,1
POROMA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,4,1,0,0,4,1,5
PORONGO,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,3,0,0,0,3,0,3
PORVENIR,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,3,4,0,0,3,4,7
REYES,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,1,0,0,0,1,0,1
RIBERALTA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,39,20,0,2,39,22,61
RURRENABAQUE,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,1,0,0,0,1,0,1
SAIPINA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,1,0,0,0,1,0,1
TORO TORO,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,0,1,0,0,0,1,1
VILLA MONTES,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,5,3,0,0,5,3,8
VILLA NUEVA (LOMA ALTA),malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,1,0,0,0,1,0,1
YACUIBA,malaria,l 21.3       numero de tratamientos especificos dispensados,2012-12-01,1,0,0,0,1,0,1
