,group,variable,month,L 21.2 TOTAL DE CASOS CONFIRMADOS VIVAX,L 21.2 TOTAL DE CASOS CONFIRMADOS VIVAX,L 21.2 TOTAL DE CASOS CONFIRMADOS FALCIPARUM,L 21.2 TOTAL DE CASOS CONFIRMADOS FALCIPARUM,TOTALES,TOTALES,TOTALES
RIBERALTA,malaria,l 21.2       total de casos confirmados,2012-08-01,49,33,0,0,49,33,82
SAIPINA,malaria,l 21.2       total de casos confirmados,2012-08-01,1,1,0,0,1,1,2
SAN IGNACIO DE VELASCO,malaria,l 21.2       total de casos confirmados,2012-08-01,3,0,0,0,3,0,3
SAN LORENZO(PND),malaria,l 21.2       total de casos confirmados,2012-08-01,4,0,0,0,4,0,4
SAN PEDRO(PND),malaria,l 21.2       total de casos confirmados,2012-08-01,1,0,0,0,1,0,1
SENA,malaria,l 21.2       total de casos confirmados,2012-08-01,1,1,0,0,1,1,2
TEOPONTE,malaria,l 21.2       total de casos confirmados,2012-08-01,0,1,0,0,0,1,1
VILLA MONTES,malaria,l 21.2       total de casos confirmados,2012-08-01,3,1,0,0,3,1,4
VILLA NUEVA (LOMA ALTA),malaria,l 21.2       total de casos confirmados,2012-08-01,1,0,0,0,1,0,1
YACUIBA,malaria,l 21.2       total de casos confirmados,2012-08-01,1,0,0,0,1,0,1
APOLO,malaria,l 21.2       total de casos confirmados,2012-09-01,1,1,0,0,1,1,2
BAURES,malaria,l 21.2       total de casos confirmados,2012-09-01,11,4,0,0,11,4,15
BERMEJO,malaria,l 21.2       total de casos confirmados,2012-09-01,0,1,0,0,0,1,1
CABEZAS,malaria,l 21.2       total de casos confirmados,2012-09-01,0,1,0,0,0,1,1
CHARAGUA,malaria,l 21.2       total de casos confirmados,2012-09-01,1,0,0,0,1,0,1
COBIJA,malaria,l 21.2       total de casos confirmados,2012-09-01,2,1,0,0,2,1,3
CULPINA,malaria,l 21.2       total de casos confirmados,2012-09-01,1,0,0,0,1,0,1
ENTRE RIOS TRJ,malaria,l 21.2       total de casos confirmados,2012-09-01,0,3,0,0,0,3,3
EUREKA (SANTOS MERCADO),malaria,l 21.2       total de casos confirmados,2012-09-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,l 21.2       total de casos confirmados,2012-09-01,55,52,1,1,56,53,109
INGAVI (HUMAITA),malaria,l 21.2       total de casos confirmados,2012-09-01,3,1,0,0,3,1,4
MONTEAGUDO,malaria,l 21.2       total de casos confirmados,2012-09-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.2       total de casos confirmados,2012-09-01,1,1,0,0,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.2       total de casos confirmados,2012-09-01,5,7,0,0,5,7,12
PADILLA,malaria,l 21.2       total de casos confirmados,2012-09-01,0,1,0,0,0,1,1
POROMA,malaria,l 21.2       total de casos confirmados,2012-09-01,1,0,0,0,1,0,1
PORONGO,malaria,l 21.2       total de casos confirmados,2012-09-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,l 21.2       total de casos confirmados,2012-09-01,1,2,0,0,1,2,3
RAVELO,malaria,l 21.2       total de casos confirmados,2012-09-01,5,1,0,0,5,1,6
REYES,malaria,l 21.2       total de casos confirmados,2012-09-01,2,1,0,0,2,1,3
RIBERALTA,malaria,l 21.2       total de casos confirmados,2012-09-01,31,29,1,0,32,29,61
RURRENABAQUE,malaria,l 21.2       total de casos confirmados,2012-09-01,1,1,0,0,1,1,2
SAIPINA,malaria,l 21.2       total de casos confirmados,2012-09-01,1,3,0,0,1,3,4
SAN LORENZO(PND),malaria,l 21.2       total de casos confirmados,2012-09-01,2,2,0,0,2,2,4
SANTA ROSA,malaria,l 21.2       total de casos confirmados,2012-09-01,0,1,0,0,0,1,1
SENA,malaria,l 21.2       total de casos confirmados,2012-09-01,1,0,0,0,1,0,1
TEOPONTE,malaria,l 21.2       total de casos confirmados,2012-09-01,1,0,0,0,1,0,1
TORO TORO,malaria,l 21.2       total de casos confirmados,2012-09-01,0,1,0,0,0,1,1
VILLA NUEVA (LOMA ALTA),malaria,l 21.2       total de casos confirmados,2012-09-01,2,0,1,0,3,0,3
VINTO,malaria,l 21.2       total de casos confirmados,2012-09-01,1,0,1,0,2,0,2
AZURDUY,malaria,l 21.2       total de casos confirmados,2012-10-01,1,0,0,0,1,0,1
BAURES,malaria,l 21.2       total de casos confirmados,2012-10-01,8,2,0,0,8,2,10
BELLA FLOR,malaria,l 21.2       total de casos confirmados,2012-10-01,1,2,0,0,1,2,3
BUENA VISTA,malaria,l 21.2       total de casos confirmados,2012-10-01,1,0,0,0,1,0,1
CABEZAS,malaria,l 21.2       total de casos confirmados,2012-10-01,0,2,0,0,0,2,2
COBIJA,malaria,l 21.2       total de casos confirmados,2012-10-01,6,3,1,0,7,3,10
EL TORNO,malaria,l 21.2       total de casos confirmados,2012-10-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,l 21.2       total de casos confirmados,2012-10-01,2,1,0,0,2,1,3
FILADELFIA,malaria,l 21.2       total de casos confirmados,2012-10-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,l 21.2       total de casos confirmados,2012-10-01,77,62,4,7,81,69,150
INGAVI (HUMAITA),malaria,l 21.2       total de casos confirmados,2012-10-01,1,0,0,0,1,0,1
IXIAMAS,malaria,l 21.2       total de casos confirmados,2012-10-01,11,6,0,0,11,6,17
MAGDALENA,malaria,l 21.2       total de casos confirmados,2012-10-01,1,0,0,0,1,0,1
MONTEAGUDO,malaria,l 21.2       total de casos confirmados,2012-10-01,2,1,0,0,2,1,3
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.2       total de casos confirmados,2012-10-01,3,0,0,0,3,0,3
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.2       total de casos confirmados,2012-10-01,17,9,0,0,17,9,26
PADCAYA,malaria,l 21.2       total de casos confirmados,2012-10-01,0,1,0,0,0,1,1
POROMA,malaria,l 21.2       total de casos confirmados,2012-10-01,1,6,0,0,1,6,7
PORVENIR,malaria,l 21.2       total de casos confirmados,2012-10-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,l 21.2       total de casos confirmados,2012-10-01,1,1,2,1,3,2,5
REYES,malaria,l 21.2       total de casos confirmados,2012-10-01,1,1,2,1,3,2,5
RIBERALTA,malaria,l 21.2       total de casos confirmados,2012-10-01,65,37,0,0,65,37,102
RURRENABAQUE,malaria,l 21.2       total de casos confirmados,2012-10-01,1,0,0,0,1,0,1
SAIPINA,malaria,l 21.2       total de casos confirmados,2012-10-01,3,6,0,0,3,6,9
SAN IGNACIO DE VELASCO,malaria,l 21.2       total de casos confirmados,2012-10-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,l 21.2       total de casos confirmados,2012-10-01,3,0,0,0,3,0,3
SENA,malaria,l 21.2       total de casos confirmados,2012-10-01,1,0,0,0,1,0,1
VILLA MONTES,malaria,l 21.2       total de casos confirmados,2012-10-01,4,4,0,0,4,4,8
YACUIBA,malaria,l 21.2       total de casos confirmados,2012-10-01,1,2,0,0,1,2,3
AIQUILE,malaria,l 21.2       total de casos confirmados,2012-11-01,1,0,0,0,1,0,1
BAURES,malaria,l 21.2       total de casos confirmados,2012-11-01,3,2,0,0,3,2,5
BELLA FLOR,malaria,l 21.2       total de casos confirmados,2012-11-01,13,0,0,0,13,0,13
BUENA VISTA,malaria,l 21.2       total de casos confirmados,2012-11-01,2,0,0,0,2,0,2
CABEZAS,malaria,l 21.2       total de casos confirmados,2012-11-01,0,2,0,0,0,2,2
COBIJA,malaria,l 21.2       total de casos confirmados,2012-11-01,9,2,0,0,9,2,11
EL TORNO,malaria,l 21.2       total de casos confirmados,2012-11-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,l 21.2       total de casos confirmados,2012-11-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,l 21.2       total de casos confirmados,2012-11-01,53,42,6,2,59,44,103
INGAVI (HUMAITA),malaria,l 21.2       total de casos confirmados,2012-11-01,2,0,0,0,2,0,2
IXIAMAS,malaria,l 21.2       total de casos confirmados,2012-11-01,35,10,0,0,35,10,45
LA PAZ,malaria,l 21.2       total de casos confirmados,2012-11-01,2,0,0,0,2,0,2
MOJOCOYA,malaria,l 21.2       total de casos confirmados,2012-11-01,1,0,0,0,1,0,1
MONTEAGUDO,malaria,l 21.2       total de casos confirmados,2012-11-01,0,2,0,0,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.2       total de casos confirmados,2012-11-01,9,0,0,0,9,0,9
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.2       total de casos confirmados,2012-11-01,22,8,0,0,22,8,30
PADILLA,malaria,l 21.2       total de casos confirmados,2012-11-01,1,0,0,0,1,0,1
POROMA,malaria,l 21.2       total de casos confirmados,2012-11-01,18,11,0,0,18,11,29
PORVENIR,malaria,l 21.2       total de casos confirmados,2012-11-01,2,0,0,0,2,0,2
PUERTO VILLARROEL,malaria,l 21.2       total de casos confirmados,2012-11-01,0,1,0,0,0,1,1
REYES,malaria,l 21.2       total de casos confirmados,2012-11-01,2,0,0,0,2,0,2
RIBERALTA,malaria,l 21.2       total de casos confirmados,2012-11-01,56,24,4,4,60,28,88
SAIPINA,malaria,l 21.2       total de casos confirmados,2012-11-01,3,1,0,0,3,1,4
SAN BORJA,malaria,l 21.2       total de casos confirmados,2012-11-01,0,0,1,0,1,0,1
SAN IGNACIO DE VELASCO,malaria,l 21.2       total de casos confirmados,2012-11-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,l 21.2       total de casos confirmados,2012-11-01,1,0,0,0,1,0,1
SANTA ROSA,malaria,l 21.2       total de casos confirmados,2012-11-01,0,1,0,0,0,1,1
SENA,malaria,l 21.2       total de casos confirmados,2012-11-01,1,0,0,0,1,0,1
TORO TORO,malaria,l 21.2       total de casos confirmados,2012-11-01,1,0,0,0,1,0,1
VALLEGRANDE,malaria,l 21.2       total de casos confirmados,2012-11-01,1,0,0,0,1,0,1
VILLA MONTES,malaria,l 21.2       total de casos confirmados,2012-11-01,5,0,0,0,5,0,5
VILLA NUEVA (LOMA ALTA),malaria,l 21.2       total de casos confirmados,2012-11-01,2,2,0,0,2,2,4
VILLA VACA GUZMAN (MUYUPAMPA),malaria,l 21.2       total de casos confirmados,2012-11-01,1,1,0,0,1,1,2
YACUIBA,malaria,l 21.2       total de casos confirmados,2012-11-01,0,1,0,0,0,1,1
AIQUILE,malaria,l 21.2       total de casos confirmados,2012-12-01,1,0,0,0,1,0,1
BAURES,malaria,l 21.2       total de casos confirmados,2012-12-01,4,1,0,0,4,1,5
BELLA FLOR,malaria,l 21.2       total de casos confirmados,2012-12-01,13,0,0,0,13,0,13
BERMEJO,malaria,l 21.2       total de casos confirmados,2012-12-01,3,2,0,0,3,2,5
BUENA VISTA,malaria,l 21.2       total de casos confirmados,2012-12-01,2,0,0,0,2,0,2
CABEZAS,malaria,l 21.2       total de casos confirmados,2012-12-01,1,1,0,0,1,1,2
COBIJA,malaria,l 21.2       total de casos confirmados,2012-12-01,10,1,0,0,10,1,11
EL TORNO,malaria,l 21.2       total de casos confirmados,2012-12-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,l 21.2       total de casos confirmados,2012-12-01,3,3,0,0,3,3,6
GUAYARAMERIN,malaria,l 21.2       total de casos confirmados,2012-12-01,27,23,2,4,29,27,56
IXIAMAS,malaria,l 21.2       total de casos confirmados,2012-12-01,17,12,1,0,18,12,30
LA PAZ,malaria,l 21.2       total de casos confirmados,2012-12-01,1,0,0,0,1,0,1
LAGUNILLAS,malaria,l 21.2       total de casos confirmados,2012-12-01,1,0,0,0,1,0,1
MAGDALENA,malaria,l 21.2       total de casos confirmados,2012-12-01,1,1,0,0,1,1,2
MONTEAGUDO,malaria,l 21.2       total de casos confirmados,2012-12-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.2       total de casos confirmados,2012-12-01,1,1,0,0,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.2       total de casos confirmados,2012-12-01,10,4,0,0,10,4,14
PADILLA,malaria,l 21.2       total de casos confirmados,2012-12-01,1,0,0,0,1,0,1
POROMA,malaria,l 21.2       total de casos confirmados,2012-12-01,4,1,0,0,4,1,5
PORONGO,malaria,l 21.2       total de casos confirmados,2012-12-01,3,0,0,0,3,0,3
PORVENIR,malaria,l 21.2       total de casos confirmados,2012-12-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,l 21.2       total de casos confirmados,2012-12-01,2,0,0,0,2,0,2
PUERTO RICO,malaria,l 21.2       total de casos confirmados,2012-12-01,3,4,0,0,3,4,7
REYES,malaria,l 21.2       total de casos confirmados,2012-12-01,1,0,0,0,1,0,1
RIBERALTA,malaria,l 21.2       total de casos confirmados,2012-12-01,51,24,0,2,51,26,77
RURRENABAQUE,malaria,l 21.2       total de casos confirmados,2012-12-01,1,0,0,0,1,0,1
SAIPINA,malaria,l 21.2       total de casos confirmados,2012-12-01,1,0,0,0,1,0,1
TOMINA,malaria,l 21.2       total de casos confirmados,2012-12-01,1,0,0,0,1,0,1
TORO TORO,malaria,l 21.2       total de casos confirmados,2012-12-01,0,1,0,0,0,1,1
VILLA MONTES,malaria,l 21.2       total de casos confirmados,2012-12-01,5,3,0,0,5,3,8
VILLA NUEVA (LOMA ALTA),malaria,l 21.2       total de casos confirmados,2012-12-01,1,0,0,0,1,0,1
YACUIBA,malaria,l 21.2       total de casos confirmados,2012-12-01,1,0,0,0,1,0,1
