municipality,group,variable,month,Nro de Primeras visitas Familares realizadas,TOTAL
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,14,14
CARACOLLO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,297,297
CARANAVI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,75,75
CARAPARI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,133,133
CARIPUYO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,236,236
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,16,16
CHALLAPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,96,96
CHAQUI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,238,238
CHARAGUA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,216,216
CHAYANTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,80,80
CHIMORE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,139,139
CHIPAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,22,22
CHUA COCANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,21,21
CHUMA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,395,395
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,52,52
CKOCHAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,153,153
CLIZA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,48,48
COBIJA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,87,87
COCAPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,23,23
COCHABAMBA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,159,159
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,7,7
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,254,254
COLLANA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,2,2
COLOMI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,20,20
COLPA BELGICA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,56,56
COLQUECHACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,93,93
COLQUENCHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,22,22
COLQUIRI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,78,78
COMARAPA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,341,341
COMBAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,31,31
CONCEPCION,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,94,94
CORIPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,19,19
CORO CORO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,81,81
COROICO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,35,35
CORQUE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,145,145
COTAGAITA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,232,232
COTOCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,67,67
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,180,180
CULPINA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,367,367
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,74,74
CURVA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,35,35
DESAGUADERO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,21,21
EL ALTO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,1284,1284
EL CHORO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,54,54
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,88,88
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,190,190
EL TORNO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,156,156
EL VILLAR,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,19,19
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,28,28
EUCALIPTUS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,48,48
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,114,114
FILADELFIA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,10,10
GAIOC JATUN AYLLU YURA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,67,67
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,124,124
GIA-TIM,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,39,39
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,65,65
GUAQUI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,36,36
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,314,314
HUACARETA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,84,84
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,34,34
HUANUNI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,74,74
HUARINA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,127,127
HUATAJATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,2,2
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,156,156
HUMANATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,44,44
ICHOCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,29,29
ICLA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,260,260
INCAHUASI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,243,243
INQUISIVI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,34,34
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,78,78
LA ASUNTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,4,4
LA GUARDIA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,43,43
LA PAZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,41,41
LAGUNILLAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,275,275
LAS CARRERAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,220,220
LLALLAGUA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,136,136
LLICA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,75,75
LORETO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,59,59
MACHACAMARCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,55,55
MACHARETI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,89,89
MAGDALENA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,140,140
MAIRANA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,63,63
MECAPACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,31,31
MINEROS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,41,41
MIZQUE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,383,383
MOCOMOCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,124,124
MOJINETE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,59,59
MOJOCOYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,156,156
MONTEAGUDO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,352,352
MONTERO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,67,67
MORO MORO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,9,9
MOROCHATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,49,49
NACEBE (SANTA ROSA DEL ABUNA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,49,49
OCURI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,131,131
OKINAWA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,52,52
ORURO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,670,670
PADCAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,488,488
PADILLA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,192,192
PAILON,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,60,60
PALCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,148,148
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,91,91
PAPEL PAMPA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,62,62
PASORAPA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,108,108
PAZÑA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,67,67
PELECHUCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,50,50
POCOATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,594,594
POOPO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,94,94
PORCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,113,113
POROMA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,453,453
PORONGO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,24,24
PORTACHUELO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,35,35
PORVENIR,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,10,10
POSTRER VALLE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,32,32
POTOSI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,1003,1003
PRESTO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,245,245
PUCARA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,39,39
PUCARANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,202,202
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,23,23
PUERTO PEREZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,67,67
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,33,33
PUERTO RICO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,73,73
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,45,45
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,95,95
PUNA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,203,203
QUIABAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,95,95
QUILLACOLLO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,70,70
QUIME,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,12,12
QUIRUSILLAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,271,271
RAQAYPAMPA(ETA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,13,13
RAVELO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,187,187
REYES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,89,89
RIBERALTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,177,177
ROBORE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,20,20
RURRENABAQUE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,159,159
SABAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,60,60
SACABA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,804,804
SACABAMBA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,8,8
SACACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,223,223
SAIPINA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,269,269
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,251,251
SAMAIPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,46,46
SAN AGUSTIN,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,47,47
SAN ANDRES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,71,71
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,19,19
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,3,3
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,15,15
SAN BENITO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,264,264
SAN BORJA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,317,317
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,6,6
SAN CARLOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,162,162
SAN IGNACIO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,136,136
SAN JOAQUIN,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,95,95
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,22,22
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,55,55
SAN JULIAN,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,547,547
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,415,415
SAN LUCAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,387,387
SAN MATIAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,13,13
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,47,47
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,95,95
SAN PEDRO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,96,96
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,78,78
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,101,101
SAN RAMON BENI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,106,106
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,184,184
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,761,761
SANTA ROSA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,65,65
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,5,5
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,48,48
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,40,40
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,4,4
SENA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,430,430
SHINAOTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,27,27
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,85,85
SICAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,12,12
SIPE SIPE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,24,24
SOPACHUY,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,210,210
SORACACHI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,433,433
SUCRE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,1147,1147
TACACOMA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,8,8
TACOPAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,5,5
TARABUCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,608,608
TARACO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,56,56
TARIJA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,1195,1195
TARVITA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,589,589
TIAHUANACU,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,60,60
TINGUIPAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,180,180
TIQUIPAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,543,543
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,393,393
TODOS SANTOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,6,6
TOLEDO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,55,55
TOMAVE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,39,39
TOMINA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,284,284
TORO TORO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,37,37
TOTORA(CBBA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,50,50
TOTORA(ORR),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,129,129
TRIGAL,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,4,4
TRINIDAD,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,249,249
TUPIZA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,568,568
UMALA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,36,36
UNCIA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,277,277
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,261,261
URUBICHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,87,87
UYUNI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,95,95
VACAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,83,83
VALLEGRANDE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,272,272
VIACHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,80,80
VILA VILA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,75,75
VILLA CHARCAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,115,115
VILLA MONTES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,237,237
VILLA NUEVA (LOMA ALTA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,15,15
VILLA SERRANO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,199,199
VILLA TUNARI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,297,297
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,214,214
VILLAZON,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,776,776
VINTO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,1063,1063
VITICHI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,122,122
WARNES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,207,207
YACUIBA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,349,349
YAMPARAEZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,298,298
YANACACHI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,142,142
YAPACANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,569,569
YOCALLA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,241,241
YOTALA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,180,180
YUNCHARA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,127,127
ZUDAÑEZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-03-01,381,381
ACACIO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,107,107
ACHACACHI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,76,76
ACHOCALLA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,245,245
AIQUILE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,71,71
ALCALA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,121,121
ANCORAIMES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,58,58
ANDAMARCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,58,58
ARAMPAMPA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,52,52
ARANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,103,103
ARBIETO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,30,30
ARQUE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,37,37
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,143,143
ATOCHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,53,53
AUCAPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,2,2
AYATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,9,9
AYO AYO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,240,240
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,68,68
AZURDUY,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,257,257
BATALLAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,18,18
BAURES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,79,79
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,62,62
BELLA FLOR,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,17,17
BERMEJO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,156,156
BETANZOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,385,385
BOLIVAR,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,6,6
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,20,20
BOYUIBE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,322,322
BUENA VISTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,72,72
CABEZAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,39,39
CAIROMA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,1,1
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,98,98
CAJUATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,33,33
CALACOTO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,8,8
CAMARGO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,338,338
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,87,87
CAMIRI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-04-01,248,248
