municipality,group,variable,month,9.25 Nro de Terceras visitas Familiares,TOTAL
GIA-TIM,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,5,5
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,1,1
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,4,4
HUANUNI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,1,1
HUARINA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,15,15
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,35,35
ICLA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,10,10
INCAHUASI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,5,5
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,9,9
LA GUARDIA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,21,21
LA PAZ,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,1,1
LLALLAGUA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,73,73
LLICA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,84,84
LORETO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,23,23
MACHARETI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,6,6
MAIRANA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,20,20
MALLA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,2,2
MECAPACA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,20,20
MIZQUE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,13,13
MOJINETE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,2,2
MOJOCOYA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,15,15
MONTEAGUDO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,29,29
OKINAWA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,25,25
ORURO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,21,21
PADCAYA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,30,30
PADILLA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,2,2
PAPEL PAMPA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,6,6
PASORAPA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,19,19
PELECHUCO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,1,1
POCOATA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,14,14
POCONA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,7,7
POROMA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,5,5
POTOSI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,33,33
PUERTO PEREZ,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,12,12
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,12,12
PUERTO RICO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,1,1
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,1,1
PUNA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,2,2
PUNATA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,28,28
RAQAYPAMPA(ETA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,7,7
RAVELO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,8,8
RIBERALTA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,15,15
SABAYA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,9,9
SACABA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,23,23
SACABAMBA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,20,20
SAN AGUSTIN,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,10,10
SAN ANDRES,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,4,4
SAN BENITO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,6,6
SAN BORJA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,20,20
SAN CARLOS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,35,35
SAN IGNACIO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,17,17
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,9,9
SAN JULIAN,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,87,87
SAN LUCAS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,3,3
SAN MATIAS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,6,6
SAN PEDRO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,46,46
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,3,3
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,12,12
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,246,246
SANTA ROSA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,1,1
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,101,101
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,100,100
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,1,1
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,19,19
SIPE SIPE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,76,76
SUCRE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,24,24
TAHUA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,27,27
TARACO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,16,16
TARATA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,80,80
TARIJA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,60,60
TIAHUANACU,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,1,1
TINGUIPAYA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,2,2
TIQUIPAYA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,47,47
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,3,3
TRIGAL,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,32,32
TRINIDAD,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,36,36
TUPIZA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,67,67
UNCIA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,9,9
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,45,45
UYUNI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,28,28
VALLEGRANDE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,2,2
VIACHA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,4,4
VILA VILA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,88,88
VILLA MONTES,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,28,28
VILLA RIVERO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,1,1
VILLA TUNARI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,8,8
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,1,1
VILLAZON,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,20,20
VITICHI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,16,16
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,28,28
WARNES,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,8,8
YAMPARAEZ,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,33,33
YANACACHI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,8,8
YAPACANI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,226,226
YOCALLA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,19,19
YOTALA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-05-01,27,27
ACACIO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,4,4
ANZALDO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,10,10
ARAMPAMPA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,25,25
ARBIETO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,378,378
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,10,10
ATOCHA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,37,37
BAURES,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,42,42
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,33,33
BELLA FLOR,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,25,25
BERMEJO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,9,9
BETANZOS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,15,15
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,14,14
BOYUIBE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,59,59
BUENA VISTA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,3,3
CABEZAS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,14,14
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,45,45
CAJUATA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,2,2
CAMIRI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,2,2
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,17,17
CARACOLLO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,67,67
CARANAVI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,4,4
CARAPARI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,26,26
CARIPUYO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,33,33
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,18,18
CHALLAPATA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,155,155
CHARAGUA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,1,1
CHAYANTA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,1,1
CHIMORE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,7,7
CKOCHAS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,7,7
COBIJA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,23,23
COCHABAMBA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,96,96
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,45,45
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,88,88
COLQUIRI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,1,1
COMARAPA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,26,26
CONCEPCION,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,21,21
CORO CORO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,10,10
COROICO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,11,11
COTAGAITA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,59,59
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,3,3
CUEVO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,5,5
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,18,18
EL ALTO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,303,303
EL CHORO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,2,2
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,2,2
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,14,14
EL TORNO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,1,1
EL VILLAR,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,2,2
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,71,71
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,148,148
GAIOC JATUN AYLLU YURA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,69,69
GIA-TIM,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,12,12
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,24,24
HUACARETA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,1,1
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,1,1
HUARINA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,10,10
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,10,10
INCAHUASI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,17,17
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,2,2
LA PAZ,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,5,5
LLALLAGUA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,34,34
LLICA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,115,115
LORETO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,18,18
MACHARETI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,29,29
MAGDALENA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,19,19
MAIRANA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,48,48
MALLA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,3,3
MIZQUE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,36,36
MOJINETE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,7,7
MOJOCOYA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,10,10
MONTEAGUDO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,31,31
MONTERO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,5,5
ORURO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,2,2
PADCAYA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,47,47
PALCA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,20,20
PASORAPA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,51,51
PAZÑA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,5,5
POCOATA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,1,1
POCONA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,71,71
PORCO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,4,4
POTOSI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,122,122
PUERTO PEREZ,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,37,37
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,22,22
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,1,1
PUNA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,17,17
PUNATA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,47,47
RAQAYPAMPA(ETA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,12,12
RIBERALTA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,55,55
SACABA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,75,75
SACABAMBA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,11,11
SACACA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,80,80
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,3,3
SAN ANDRES,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,42,42
SAN BORJA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,15,15
SAN CARLOS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,20,20
SAN IGNACIO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,60,60
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,28,28
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,5,5
SAN JULIAN,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,61,61
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,47,47
SAN LUCAS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,1,1
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,7,7
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,2,2
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,55,55
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,258,258
SANTA ROSA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,130,130
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,94,94
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,162,162
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,1,1
SHINAOTA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,1,1
SOPACHUY,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,1,1
SORATA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,10,10
SUCRE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,48,48
TACACOMA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,1,1
TARABUCO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,44,44
TINGUIPAYA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,10,10
TIQUIPAYA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,106,106
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,3,3
TRIGAL,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,26,26
TRINIDAD,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,23,23
TUPIZA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,47,47
UNCIA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,19,19
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,7,7
UYUNI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,43,43
VALLEGRANDE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,208,208
VIACHA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,6,6
VILA VILA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,86,86
VILLA CHARCAS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,1,1
VILLA MONTES,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,58,58
VILLA SERRANO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,38,38
VILLA TUNARI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,49,49
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,1,1
VILLAZON,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,27,27
VITICHI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,37,37
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,20,20
WARNES,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,38,38
YACUIBA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,3,3
YAMPARAEZ,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,19,19
YANACACHI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,18,18
YAPACANI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,178,178
YOTALA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,82,82
YUNCHARA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-06-01,39,39
ACACIO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,14,14
ACHACACHI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,5,5
AIQUILE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,11,11
ALALAY,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,20,20
ANDAMARCA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,5,5
ANZALDO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,50,50
ARAMPAMPA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,23,23
ARBIETO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,7,7
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,22,22
ATOCHA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,42,42
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,55,55
BAURES,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,50,50
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,61,61
BERMEJO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,4,4
BETANZOS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,33,33
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,20,20
BUENA VISTA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,11,11
CABEZAS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,10,10
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,53,53
CAJUATA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,7,7
CALAMARCA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,1,1
CAMARGO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,2,2
CAMIRI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,2,2
CAPINOTA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,48,48
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,21,21
CARACOLLO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,54,54
CARANAVI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,1,1
CARAPARI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,44,44
CARIPUYO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,14,14
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,33,33
CHALLAPATA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,185,185
CHARAGUA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,2,2
CHAYANTA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,20,20
CHIMORE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,10,10
CHUMA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-07-01,5,5
