municipality,group,variable,month,9.24 Nro de segundas visitas Familiares realizadas,TOTAL
SAN IGNACIO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,23,23
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,1,1
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,73,73
SAN JULIAN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,177,177
SAN MATIAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,4,4
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,7,7
SAN PEDRO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,59,59
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,1,1
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,7,7
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,278,278
SANTA ROSA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,120,120
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,62,62
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,40,40
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,4,4
SENA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,130,130
SHINAOTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,46,46
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,37,37
SUCRE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,350,350
TACOPAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,2,2
TARABUCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,2,2
TARACO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,28,28
TARIJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,1124,1124
TARVITA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,3,3
TINGUIPAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,45,45
TIQUIPAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,238,238
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,128,128
TOMAVE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,25,25
TORO TORO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,37,37
TRIGAL,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,5,5
TRINIDAD,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,104,104
TUPIZA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,115,115
UNCIA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,156,156
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,39,39
URUBICHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,76,76
UYUNI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,39,39
VACAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,29,29
VALLEGRANDE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,284,284
VIACHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,12,12
VILLA MONTES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,213,213
VILLA NUEVA (LOMA ALTA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,21,21
VILLA TUNARI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,233,233
VILLAZON,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,248,248
VITICHI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,12,12
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,5,5
WARNES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,338,338
YACUIBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,101,101
YAMPARAEZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,25,25
YAPACANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,317,317
YOCALLA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,85,85
YOTALA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,36,36
YUNCHARA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-03-01,69,69
ACHACACHI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,45,45
AIQUILE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,12,12
ALALAY,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,10,10
ANCORAIMES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,20,20
ANDAMARCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,7,7
ARAMPAMPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,10,10
ARANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,65,65
ARBIETO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,40,40
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,21,21
ATOCHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,56,56
AUCAPATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,2,2
AYATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,22,22
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,40,40
AZURDUY,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,25,25
BAURES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,74,74
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,9,9
BERMEJO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,2,2
BETANZOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,7,7
BOLIVAR,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,58,58
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,26,26
BOYUIBE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,87,87
BUENA VISTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,29,29
CABEZAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,20,20
CAIROMA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,9,9
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,74,74
CAJUATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,1,1
CAMARGO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,97,97
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,22,22
CAMIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,113,113
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,6,6
CARACOLLO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,125,125
CARANAVI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,32,32
CARAPARI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,57,57
CARIPUYO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,44,44
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,2,2
CHALLAPATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,95,95
CHARAGUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,14,14
CHAYANTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,74,74
CHIMORE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,121,121
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,2,2
CHUMA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,23,23
CKOCHAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,45,45
CLIZA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,36,36
COBIJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,34,34
COCAPATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,5,5
COCHABAMBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,242,242
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,294,294
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,61,61
COLQUECHACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,41,41
COLQUIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,15,15
COMARAPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,260,260
COMBAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,2,2
CONCEPCION,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,15,15
CORQUE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,2,2
COTAGAITA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,89,89
COTOCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,59,59
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,130,130
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,10,10
CULPINA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,67,67
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,19,19
CURVA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,15,15
EL ALTO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,908,908
EL CHORO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,8,8
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,29,29
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,134,134
EL TORNO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,125,125
EL VILLAR,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,35,35
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,245,245
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,88,88
GAIOC JATUN AYLLU YURA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,40,40
GIA-TIM,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,47,47
GUAQUI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,13,13
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,371,371
HUACARAJE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,86,86
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,12,12
HUANUNI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,41,41
HUATAJATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,10,10
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,30,30
HUMANATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,13,13
ICHOCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,3,3
ICLA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,24,24
INCAHUASI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,99,99
INQUISIVI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,27,27
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,4,4
LA GUARDIA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,149,149
LA PAZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,30,30
LAGUNILLAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,21,21
LAJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,55,55
LAS CARRERAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,1,1
LLALLAGUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,15,15
LORETO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,55,55
MACHACAMARCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,2,2
MACHARETI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,88,88
MAGDALENA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,63,63
MAIRANA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,97,97
MECAPACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,10,10
MINEROS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,4,4
MIZQUE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,22,22
MOCOMOCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,40,40
MOJINETE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,12,12
MOJOCOYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,31,31
MONTEAGUDO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,122,122
MONTERO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,41,41
MOROCHATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,87,87
NUEVO MANOA (NUEVA ESPERANZA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,13,13
OCURI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,6,6
OKINAWA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,55,55
ORURO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,427,427
PADCAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,68,68
PADILLA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,4,4
PAILON,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,42,42
PALCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,25,25
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,66,66
PAPEL PAMPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,30,30
PASORAPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,89,89
PELECHUCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,30,30
POCOATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,157,157
POCONA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,105,105
POJO (CBBA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,2,2
PORCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,11,11
POROMA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,14,14
POTOSI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,286,286
PUCARA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,79,79
PUCARANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,159,159
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,10,10
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,32,32
PUERTO PEREZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,5,5
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,4,4
PUERTO RICO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,11,11
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,90,90
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,30,30
PUNA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,120,120
PUNATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,214,214
QUIME,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,24,24
RAQAYPAMPA(ETA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,36,36
RAVELO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,27,27
REYES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,40,40
RIBERALTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,67,67
ROBORE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,2,2
SABAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,26,26
SACABA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,361,361
SACACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,115,115
SAIPINA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,32,32
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,49,49
SAN ANDRES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,31,31
SAN BORJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,194,194
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,30,30
SAN CARLOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,78,78
SAN IGNACIO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,62,62
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,35,35
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,39,39
SAN JOAQUIN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,65,65
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,5,5
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,98,98
SAN JULIAN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,171,171
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,134,134
SAN MATIAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,7,7
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,10,10
SAN PEDRO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,80,80
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,11,11
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,95,95
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,293,293
SANTA ROSA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,3,3
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,8,8
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,18,18
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,95,95
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,2,2
SENA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,380,380
SHINAOTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,6,6
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,100,100
SICAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,202,202
SUCRE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,161,161
TACOPAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,29,29
TAHUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,28,28
TAPACARI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,6,6
TARABUCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,32,32
TARACO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,20,20
TARIJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,623,623
TARVITA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,126,126
TIQUIPAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,377,377
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,239,239
TOMINA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,1,1
TOTORA(CBBA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,99,99
TRIGAL,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,4,4
TRINIDAD,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,57,57
TUPIZA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,122,122
UMALA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,30,30
UNCIA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,28,28
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,24,24
URUBICHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,87,87
UYUNI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,8,8
VACAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,6,6
VALLEGRANDE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,1042,1042
VIACHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,33,33
VILA VILA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,72,72
VILLA MONTES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,125,125
VILLA NUEVA (LOMA ALTA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,24,24
VILLA RIVERO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,159,159
VILLA SERRANO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,58,58
VILLA TUNARI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,88,88
VILLAZON,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,99,99
VINTO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-04-01,371,371
