municipality,group,variable,month,N°de beneficiarios(as) con promoción en Salud Oral,TOTAL
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,86,86
CKOCHAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,44,44
COBIJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,237,237
COCAPATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,55,55
COCHABAMBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,697,697
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,79,79
COLLANA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,385,385
COLQUECHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,52,52
COLQUENCHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,667,667
COLQUIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,323,323
COMANCHE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,10,10
CORO CORO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,47,47
COTAGAITA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,108,108
COTOCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,51,51
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,28,28
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,141,141
CULPINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,3,3
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,79,79
CURVA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,4,4
EL ALTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,483,483
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,214,214
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,28,28
EL TORNO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,336,336
EL VILLAR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,202,202
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,434,434
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,20,20
EUCALIPTUS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,77,77
FILADELFIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,72,72
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,546,546
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,94,94
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,16,16
HUACHACALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,10,10
HUANUNI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,7,7
HUARINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,50,50
HUATAJATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,207,207
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,66,66
ICLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,96,96
INCAHUASI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,62,62
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,77,77
IXIAMAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,127,127
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,10,10
LA ASUNTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,30,30
LA GUARDIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,1456,1456
LA PAZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,2427,2427
LA RIVERA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,5,5
LAGUNILLAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,69,69
LAJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,31,31
LAS CARRERAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,95,95
LICOMA PAMPA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,9,9
LLICA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,63,63
LORETO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,2,2
LURIBAY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,28,28
MACHARETI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,40,40
MAGDALENA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,32,32
MALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,88,88
MECAPACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,30,30
MIZQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,332,332
MOCOMOCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,26,26
MOJOCOYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,47,47
MONTEAGUDO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,117,117
MONTERO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,47,47
MOROCHATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,55,55
OCURI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,78,78
ORURO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,132,132
PADCAYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,18,18
PADILLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,21,21
PALCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,190,190
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,149,149
PAMPA AULLAGAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,19,19
PAZÑA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,59,59
PELECHUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,12,12
POCOATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,258,258
POCONA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,23,23
POOPO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,133,133
POROMA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,196,196
PORONGO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,14,14
PORVENIR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,94,94
POTOSI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,538,538
PRESTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,153,153
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,10,10
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,23,23
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,52,52
PUERTO RICO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,239,239
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,60,60
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,505,505
QUIABAYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,15,15
QUILLACOLLO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,346,346
QUIRUSILLAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,45,45
RIBERALTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,111,111
ROBORE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,37,37
RURRENABAQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,21,21
SACABA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,493,493
SACACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,40,40
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,148,148
SAN ANDRES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,51,51
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,57,57
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,69,69
SAN BORJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,128,128
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,12,12
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,40,40
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,70,70
SAN JOAQUIN,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,132,132
SAN JULIAN,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,49,49
SAN LUCAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,376,376
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,39,39
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,27,27
SAN PEDRO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,36,36
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,118,118
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,51,51
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,93,93
SAN RAMON BENI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,168,168
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,4724,4724
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,170,170
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,76,76
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,3,3
SANTIVAÑES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,80,80
SAPAHAQUI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,83,83
SENA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,173,173
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,214,214
SOPACHUY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,34,34
SORACACHI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,15,15
SORATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,78,78
SUCRE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,1975,1975
TACOPAYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,10,10
TAPACARI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,382,382
TARABUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,186,186
TARACO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,22,22
TARIJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,2131,2131
TARVITA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,423,423
TEOPONTE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,31,31
TIAHUANACU,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,38,38
TINGUIPAYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,68,68
TIQUIPAYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,10,10
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,167,167
TOLATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,1,1
TOMINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,18,18
TOTORA(ORR),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,65,65
TRINIDAD,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,1095,1095
TUPIZA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,123,123
TURCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,12,12
UNCIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,413,413
VACAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,35,35
VALLEGRANDE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,77,77
VIACHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,90,90
VILLA CHARCAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,186,186
VILLA MONTES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,63,63
VILLA NUEVA (LOMA ALTA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,31,31
VILLA SERRANO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,9,9
VILLA TUNARI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,313,313
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,62,62
VILLAZON,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,36,36
VITICHI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,65,65
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,12,12
WARNES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,127,127
YACUIBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,1173,1173
YAMPARAEZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,277,277
YAPACANI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,34,34
YOCALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,18,18
YOTALA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,170,170
YUNCHARA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,35,35
ZUDAÑEZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-04-01,14,14
ACHACACHI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,171,171
ACHOCALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,165,165
ALTO BENI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,2,2
ANCORAIMES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,12,12
ANDAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,55,55
ANTEQUERA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,11,11
ANZALDO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,2,2
ARANI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,15,15
ARBIETO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,8,8
ARQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,45,45
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,475,475
ATOCHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,83,83
AYATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,149,149
AYO AYO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,138,138
AZURDUY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,21,21
BELLA FLOR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,70,70
BERMEJO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,42,42
BETANZOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,1,1
BOLIVAR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,79,79
BOLPEBRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,28,28
CABEZAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,33,33
CAJUATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,119,119
CALACOTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,11,11
CALAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,200,200
CAMARGO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,30,30
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,10,10
CAMIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,33,33
CAPINOTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,51,51
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,70,70
CARACOLLO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,228,228
CARANAVI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,14,14
CARAPARI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,65,65
CARIPUYO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,31,31
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,50,50
CHALLAPATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,422,422
CHARAGUA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,45,45
CHAYANTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,82,82
CHIMORE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,911,911
CHUA COCANI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,144,144
CHUMA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,54,54
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,394,394
CKOCHAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,60,60
COBIJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,4797,4797
COCAPATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,42,42
COCHABAMBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,790,790
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,300,300
COLQUECHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,21,21
COLQUENCHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,109,109
COLQUIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,160,160
COMANCHE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,10,10
CORO CORO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,31,31
COROICO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,134,134
COTAGAITA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,231,231
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,432,432
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,30,30
CUEVO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,1,1
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,22,22
CURVA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,12,12
EL ALTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,428,428
EL CHORO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,77,77
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,200,200
EL TORNO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,200,200
EL VILLAR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,147,147
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,193,193
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,86,86
EUCALIPTUS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,88,88
EXALTACION,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,14,14
FILADELFIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,140,140
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,21,21
GUANAY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,12,12
GUAQUI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,173,173
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,75,75
HUACARETA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,3,3
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,15,15
HUACHACALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,32,32
HUANUNI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,92,92
HUARINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-05-01,44,44
