municipality,group,variable,month,N°de beneficiarios(as) con educación en Salud Oral,TOTAL
SAN PEDRO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,36,36
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,151,151
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,108,108
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,40,40
SAN RAMON BENI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,168,168
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,9606,9606
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,194,194
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,86,86
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,25,25
SAPAHAQUI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,83,83
SENA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,173,173
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,213,213
SOPACHUY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,38,38
SORACACHI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,132,132
SORATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,195,195
SUCRE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,3030,3030
TAPACARI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,387,387
TARABUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,359,359
TARACO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,22,22
TARIJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,2382,2382
TARVITA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,423,423
TEOPONTE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,31,31
TIAHUANACU,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,38,38
TINGUIPAYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,19,19
TIQUIPAYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,100,100
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,214,214
TOLATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,94,94
TOMINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,432,432
TORO TORO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,46,46
TOTORA(CBBA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,15,15
TOTORA(ORR),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,5,5
TRINIDAD,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,1476,1476
TUPIZA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,136,136
TURCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,15,15
UMALA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,143,143
UNCIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,413,413
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,113,113
URUBICHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,6,6
UYUNI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,87,87
VACAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,43,43
VALLEGRANDE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,77,77
VIACHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,55,55
VILA VILA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,36,36
VILLA CHARCAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,240,240
VILLA MONTES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,47,47
VILLA NUEVA (LOMA ALTA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,31,31
VILLA SERRANO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,12,12
VILLA TUNARI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,13,13
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,277,277
VILLAZON,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,187,187
VITICHI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,65,65
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,12,12
WARNES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,127,127
YACO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,8,8
YACUIBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,1098,1098
YAMPARAEZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,277,277
YAPACANI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,34,34
YOCALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,18,18
YOTALA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,202,202
YUNCHARA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,35,35
ZUDAÑEZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-04-01,66,66
ACHACACHI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,146,146
ACHOCALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,273,273
ALCALA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,121,121
ALTO BENI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,62,62
ANCORAIMES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,12,12
ANDAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,55,55
ANTEQUERA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,13,13
ANZALDO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,5,5
APOLO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,25,25
ARANI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,15,15
ARBIETO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,30,30
ARQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,25,25
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,475,475
ATOCHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,159,159
AUCAPATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,5,5
AYATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,39,39
AYO AYO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,138,138
AZURDUY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,21,21
BELLA FLOR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,70,70
BERMEJO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,56,56
BETANZOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,222,222
BOLPEBRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,28,28
CABEZAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,63,63
CAIROMA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,3,3
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,13,13
CAJUATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,577,577
CALACOTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,233,233
CALAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,290,290
CAMARGO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,30,30
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,10,10
CAMIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,10,10
CAPINOTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,43,43
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,67,67
CARACOLLO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,282,282
CARANAVI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,14,14
CARAPARI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,315,315
CARIPUYO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,31,31
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,50,50
CHALLAPATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,422,422
CHARAGUA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,45,45
CHARAÑA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,144,144
CHAYANTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,23,23
CHIMORE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,934,934
CHUA COCANI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,144,144
CHUMA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,16,16
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,21,21
CKOCHAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,80,80
COBIJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,303,303
COCAPATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,48,48
COCHABAMBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,953,953
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,344,344
COLLANA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,65,65
COLQUECHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,134,134
COLQUENCHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,85,85
COLQUIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,215,215
COMANCHE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,143,143
CORO CORO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,334,334
COROICO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,92,92
COTAGAITA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,110,110
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,439,439
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,30,30
CUEVO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,1,1
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,258,258
EL ALTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,2479,2479
EL CHORO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,77,77
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,200,200
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,35,35
EL TORNO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,318,318
EL VILLAR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,292,292
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,176,176
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,484,484
ESCARA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,10,10
EUCALIPTUS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,88,88
FILADELFIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,140,140
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,67,67
GUANAY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,34,34
GUAQUI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,242,242
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,28,28
HUACARETA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,21,21
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,88,88
HUACHACALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,32,32
HUANUNI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,118,118
HUARINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,198,198
HUATAJATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,155,155
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,98,98
ICLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,311,311
INCAHUASI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,126,126
INQUISIVI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,723,723
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,87,87
IXIAMAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,40,40
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,36,36
LA GUARDIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,422,422
LA PAZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,1292,1292
LAJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,77,77
LAS CARRERAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,6,6
LLICA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,51,51
LORETO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,10,10
MACHACAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,75,75
MACHARETI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,112,112
MAGDALENA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,70,70
MALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,80,80
MECAPACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,100,100
MIZQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,94,94
MOJINETE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,37,37
MOJOCOYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,86,86
MONTEAGUDO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,221,221
MONTERO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,175,175
MOROCHATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,261,261
NAZACARA DE PACAJES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,34,34
OCURI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,232,232
ORURO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,617,617
PADCAYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,25,25
PADILLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,119,119
PALCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,223,223
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,109,109
PAZÑA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,37,37
PELECHUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,2,2
POCOATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,605,605
POCONA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,14,14
POOPO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,295,295
PORCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,6,6
POROMA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,231,231
PORONGO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,76,76
PORVENIR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,10,10
POTOSI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,870,870
PRESTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,200,200
PUCARANI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,40,40
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,48,48
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,117,117
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,164,164
PUERTO RICO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,84,84
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,1044,1044
QUIABAYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,215,215
QUILLACOLLO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,1132,1132
RAVELO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,115,115
REYES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,72,72
RIBERALTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,420,420
ROBORE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,34,34
RURRENABAQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,61,61
SACABA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,876,876
SACABAMBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,3,3
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,176,176
SAN AGUSTIN,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,10,10
SAN ANDRES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,107,107
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,60,60
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,12,12
SAN BORJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,193,193
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,78,78
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,191,191
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,70,70
SAN JOAQUIN,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,45,45
SAN JULIAN,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,109,109
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,15,15
SAN LUCAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,156,156
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,55,55
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,112,112
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,167,167
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,99,99
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,13,13
SAN RAMON BENI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,85,85
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,4881,4881
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,142,142
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,62,62
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,159,159
SAPAHAQUI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,64,64
SENA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,71,71
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,163,163
SOPACHUY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,93,93
SORACACHI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,119,119
SORATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,202,202
SUCRE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,3742,3742
TACACHI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,9,9
TACOBAMBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,126,126
TACOPAYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,42,42
TAHUA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,40,40
TAPACARI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,345,345
TARABUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,282,282
TARACO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-05-01,28,28
