,group,variable,month,TOTAL HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,TOTAL HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,TOTAL HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTAL HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
LORETO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-08-01,0,0,2,0,2,0,2
MONTERO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-08-01,0,0,3,0,3,0,3
SABAYA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-08-01,0,0,10,2,10,2,12
SAN LORENZO(TJA),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-08-01,0,0,1,0,1,0,1
SAN PEDRO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-08-01,0,0,10,0,10,0,10
TACACOMA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-08-01,0,0,2,0,2,0,2
TARIJA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-08-01,0,1,0,0,0,1,1
VITICHI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-08-01,0,0,5,0,5,0,5
ACHACACHI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-09-01,0,0,3,0,3,0,3
CHUMA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-09-01,0,1,0,0,0,1,1
COMBAYA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-09-01,0,0,29,0,29,0,29
HUACARETA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-09-01,0,0,0,1,0,1,1
HUATAJATA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-09-01,0,0,1,0,1,0,1
LA ASUNTA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-09-01,0,0,2,0,2,0,2
LA PAZ,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-09-01,1,2,0,0,1,2,3
ORURO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-09-01,0,0,25,0,25,0,25
PADCAYA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-09-01,0,0,2,0,2,0,2
PALCA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-09-01,0,0,5,0,5,0,5
PUCARA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-09-01,0,0,1,0,1,0,1
SACABA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-09-01,0,0,2,0,2,0,2
SAN LORENZO(TJA),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-09-01,0,0,2,0,2,0,2
SAN PEDRO DE TIQUINA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-09-01,0,0,1,2,1,2,3
SANTIAGO DE HUATA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-09-01,0,0,2,0,2,0,2
SICA SICA (VILLA AROMA),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-09-01,0,0,1,0,1,0,1
SORATA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-09-01,0,0,1,0,1,0,1
TURCO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-09-01,0,0,2,0,2,0,2
VILLA TUNARI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-09-01,0,0,2,0,2,0,2
VINTO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-09-01,0,22,0,5,0,27,27
VITICHI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-09-01,0,0,36,0,36,0,36
YACUIBA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-09-01,0,0,1,0,1,0,1
YANACACHI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-09-01,0,0,1,0,1,0,1
ACHACACHI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,8,0,8,0,8
ALALAY,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,1,0,1,0,1
BERMEJO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,1,0,1,0,2,0,2
CHUA COCANI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,148,0,148,0,148
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,2,0,2,0,2
COCHABAMBA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,0,10,0,10,10
COLOMI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,12,0,12,0,12
COPACABANA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,90,0,90,0,90
COTAGAITA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,25,0,25,0,25
HUACARETA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,1,0,1,0,1
HUARINA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,16,0,16,0,16
IRUPANA (VILLA DE LANZA),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,6,0,6,0,6
LA PAZ,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,2,3,0,0,2,3,5
MIZQUE,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,110,0,110,0,110
PALCA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,1,0,1,0,1
PUCARA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,1,0,1,0,1
PUERTO PEREZ,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,4,0,4,0,4
QUIABAYA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,22,0,22,0,22
RIBERALTA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,2,0,2,0,2
SACABA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,40,0,40,0,40
SAN JAVIER(BNI),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,1,6,8,6,9,15
SAN LORENZO(TJA),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,11,0,11,0,11
SANTIAGO DE CALLAPA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,20,0,20,0,20
SHINAOTA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,4,0,4,0,4
SORATA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,104,0,104,0,104
TRINIDAD,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,10,20,10,20,30
VILA VILA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,1,0,1,0,1
VILLA TUNARI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,41,0,41,0,41
VITICHI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,1,0,1,0,1
YACUIBA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-10-01,8,2,3,0,11,2,13
ACHACACHI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,15,0,15,0,15
ALALAY,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,7,0,7,0,7
ALTO BENI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,25,0,25,0,25
ANCORAIMES,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,76,0,76,0,76
ANDAMARCA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,11,0,11,0,11
BERMEJO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,68,0,68,0,68
CAJUATA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,15,0,15,0,15
CHACARILLA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,4,0,4,0,4
CHUA COCANI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,1,0,1,0,1
COCAPATA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,60,70,0,0,60,70,130
COLQUIRI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,47,0,47,0,47
COPACABANA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,0,1,0,1,1
COTAGAITA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,76,0,76,0,76
EL ALTO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,1,0,0,0,1,0,1
HUARINA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,1,0,1,0,1
INQUISIVI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,1,0,1,0,1
IRUPANA (VILLA DE LANZA),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,2,5,0,0,2,5,7
MIZQUE,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,60,0,60,0,60
MONTERO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,18,0,18,0,18
OKINAWA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,6,0,6,0,6
ORURO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,1,1,0,0,1,1,2
PALCA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,8,0,8,0,8
POROMA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,2,0,2,0,2
QUIME,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,39,0,39,0,39
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,3,0,0,0,3,3
SANTIAGO DE HUATA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,33,0,33,0,33
SHINAOTA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,89,0,89,0,89
SICA SICA (VILLA AROMA),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,23,0,23,0,23
TACACHI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,1,0,1,0,1
TACACOMA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,117,0,117,0,117
UMALA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,9,0,9,0,9
URIONDO (A. CONCEPCION),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,38,0,38,0,38
VILA VILA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,4,0,4,0,4
VITICHI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,16,0,16,0,16
YACUIBA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,13,0,13,0,13
YANACACHI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,4,0,4,0,4
CALAMARCA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-12-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-12-01,6,7,0,0,6,7,13
COTAGAITA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-12-01,0,0,10,0,10,0,10
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-12-01,0,0,1,0,1,0,1
EL ALTO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-12-01,1,0,0,3,1,3,4
LA PAZ,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-12-01,3,9,0,0,3,9,12
PATACAMAYA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-12-01,0,0,44,0,44,0,44
PUERTO GONZALO MORENO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-12-01,2,2,0,0,2,2,4
QUIME,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-12-01,0,0,3,0,3,0,3
SAN BENITO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-12-01,0,0,6,0,6,0,6
SAN LORENZO(TJA),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-12-01,0,0,8,0,8,0,8
SENA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-12-01,0,1,0,0,0,1,1
TACOBAMBA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-12-01,0,2,0,0,0,2,2
URIONDO (A. CONCEPCION),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-12-01,0,0,2,0,2,0,2
VILLAZON,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-12-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-12-01,1,0,0,0,1,0,1
