,group,variable,month,TOTAL INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,TOTAL INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,TOTAL INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,TOTAL INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,TOTALES,TOTALES,TOTALES
UMALA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,3,8,3,1,6,9,15
URIONDO (A. CONCEPCION),otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,4,0,0,1,4,5
UYUNI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,22,26,0,0,22,26,48
VACAS,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,13,12,0,0,13,12,25
VIACHA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,25,55,2,2,27,57,84
VILLA CHARCAS,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,9,14,2,3,11,17,28
VILLA MONTES,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,12,29,4,5,16,34,50
VILLA RIVERO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,9,25,0,0,9,25,34
VILLA TUNARI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,52,59,0,0,52,59,111
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,5,22,0,0,5,22,27
VILLAZON,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,40,86,0,0,40,86,126
VINTO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,23,66,4,4,27,70,97
VITICHI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,3,10,0,0,3,10,13
WALDO BALLIVIAN,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,3,0,0,2,3,5
WARNES,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,37,90,0,0,37,90,127
YACUIBA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,26,39,0,0,26,39,65
YAMPARAEZ,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,5,6,2,2,7,8,15
YANACACHI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,1,3,2,5,3,8
YAPACANI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,0,0,0,2,0,2
YOCALLA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,10,10,0,0,10,10,20
ZUDAÑEZ,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,3,0,0,0,3,3
ACACIO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,17,13,0,2,17,15,32
ACHACACHI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,9,2,1,4,10,14
ACHOCALLA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,2,0,4,0,6,6
AIQUILE,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,4,4,2,0,6,4,10
ALALAY,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,3,0,0,3,3,6
ALCALA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,10,1,5,3,15,18
ALTO BENI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,5,2,2,5,7,12
ANCORAIMES,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,1,6,2,7,3,10
ANDAMARCA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,2,0,1,3,3,6
ANTEQUERA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,6,11,0,1,6,12,18
ANZALDO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,1,7,19,8,20,28
APOLO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,2,0,0,3,2,5
ARAMPAMPA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,5,12,0,0,5,12,17
ARANI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,3,0,0,0,3,3
ARQUE,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,7,7,4,2,11,9,20
ASCENCION DE GUARAYOS,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,18,57,0,0,18,57,75
ATOCHA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,19,33,14,12,33,45,78
AUCAPATA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,0,2,0,2,0,2
AYATA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,5,2,1,2,6,4,10
AYO AYO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,2,2,0,3,2,5
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,4,7,2,4,6,11,17
AZURDUY,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,23,44,0,1,23,45,68
BATALLAS,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,7,9,6,1,13,10,23
BAURES,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,17,24,0,0,17,24,41
BELEN DE ANDAMARCA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,1,0,1,0,2,2
BELLA FLOR,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,4,1,1,1,5,6
BERMEJO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,17,44,5,4,22,48,70
BETANZOS,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,6,12,2,2,8,14,22
BOLIVAR,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,2,18,5,20,7,27
BOLPEBRA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,4,5,0,1,4,6,10
BOYUIBE,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,3,0,0,1,3,4
BUENA VISTA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,5,10,0,0,5,10,15
CABEZAS,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,15,37,0,0,15,37,52
CAIROMA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,1,0,0,1,1,2
"CAIZA ""D""",otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,1,1,0,2,1,3
CALACOTO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,3,0,0,2,3,5
CALAMARCA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,15,0,0,1,15,16
CAMARGO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,8,21,0,3,8,24,32
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,4,0,0,0,4,4
CAMIRI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,27,41,1,1,28,42,70
CAPINOTA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,4,9,7,5,11,14,25
CAQUIAVIRI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,0,6,6,6,6,12
CARACOLLO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,2,0,1,0,3,3
CARANAVI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,5,20,17,21,22,43
CARANGAS,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,1,0,0,0,1,1
CARAPARI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,11,26,0,0,11,26,37
CARIPUYO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,14,10,4,6,18,16,34
CARMEN RIVERO TORREZ,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,4,6,0,0,4,6,10
CATACORA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,4,0,0,1,4,5
CHACARILLA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,2,0,0,0,2,2
CHALLAPATA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,25,42,8,6,33,48,81
CHAQUI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,8,5,0,0,8,5,13
CHARAGUA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,39,33,7,14,46,47,93
CHAYANTA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,12,20,2,3,14,23,37
CHIMORE,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,3,6,2,9,5,14
CHIPAYA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,5,2,0,1,5,3,8
CHOQUE COTA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,0,0,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,3,0,0,1,3,4
CHUMA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,0,6,2,7,2,9
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,1,8,6,8,7,15
CKOCHAS,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,24,16,1,0,25,16,41
CLIZA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,10,24,0,7,10,31,41
COBIJA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,11,33,0,0,11,33,44
COCAPATA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,12,9,13,9,25,18,43
COCHABAMBA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,518,561,226,275,744,836,1580
COIPASA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,0,2,2,2,2,4
COLCAPIRHUA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,9,27,30,50,39,77,116
"COLCHA ""K""",otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,7,14,1,0,8,14,22
COLLANA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,5,2,0,0,5,2,7
COLOMI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,5,4,3,7,8,15
COLQUECHACA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,1,3,1,6,2,8
COLQUENCHA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,0,0,0,1,0,1
COLQUIRI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,6,0,2,2,8,10
COMANCHE,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,0,0,0,1,0,1
COMARAPA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,2,0,0,2,2,4
CONCEPCION,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,13,20,0,0,13,20,33
COPACABANA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,14,19,0,0,14,19,33
CORIPATA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,3,0,2,1,5,6
CORO CORO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,5,4,0,0,5,4,9
COROICO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,7,1,2,4,9,13
CORQUE,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,1,2,1,2,2,4
COTAGAITA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,7,5,1,10,8,15,23
COTOCA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,18,48,3,3,21,51,72
CUATRO CAÑADAS,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,5,8,0,1,5,9,14
CUEVO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,1,0,0,2,1,3
CULPINA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,7,0,0,1,7,8
CURAHUARA DE CARANGAS,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,6,0,1,1,7,8
CURVA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,7,3,0,5,7,12
DESAGUADERO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,7,8,6,0,13,8,21
EL ALTO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,108,243,116,79,224,322,546
EL CHORO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,0,1,6,1,6,7
EL PUENTE(STC),otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,16,30,0,0,16,30,46
EL PUENTE(TJA),otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,11,14,1,6,12,20,32
EL TORNO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,10,36,0,0,10,36,46
EL VILLAR,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,0,0,2,0,2,2
ENTRE RIOS TRJ,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,22,51,11,18,33,69,102
ENTRE RIOS CBBA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,48,19,2,0,50,19,69
ESMERALDA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,2,0,0,2,2,4
EUREKA (SANTOS MERCADO),otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,0,2,1,2,1,3
FILADELFIA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,8,0,0,1,8,9
GENERAL SAAVEDRA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,5,0,0,1,5,6
GUANAY,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,3,0,0,2,3,5
GUAQUI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,3,0,0,1,3,4
GUAYARAMERIN,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,68,121,0,0,68,121,189
HUACARETA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,6,3,0,0,6,3,9
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,1,0,0,0,1,1
HUACHACALLA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,8,0,2,1,10,11
HUANUNI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,26,58,1,9,27,67,94
HUARACAJE,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,12,13,0,0,12,13,25
HUARINA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,4,2,6,2,10,4,14
HUAYLLAMARCA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,6,5,0,2,6,7,13
HUMANATA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,0,0,0,2,0,2
ICLA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,6,0,3,3,9,12
INCAHUASI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,6,8,0,0,6,8,14
IRUPANA (VILLA DE LANZA),otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,4,5,0,0,4,5,9
JESUS DE MACHACA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,3,1,0,3,3,6
LA ASUNTA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,5,3,16,13,21,16,37
LA GUARDIA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,16,31,0,0,16,31,47
LA PAZ,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,317,661,194,217,511,878,1389
LA RIVERA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,1,0,0,1,1,2
LAGUNILLAS,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,2,1,5,4,7,11
LAJA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,9,1,1,3,10,13
LAS CARRERAS,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,6,11,0,2,6,13,19
LLALLAGUA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,117,104,0,0,117,104,221
LLICA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,4,0,0,0,4,4
LORETO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,0,0,2,1,2,3
LURIBAY,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,1,2,0,3,1,4
MACHARETI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,2,0,2,2,4,6
MAGDALENA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,7,0,0,2,7,9
MAIRANA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,5,1,1,1,6,7
MALLA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,0,1,1,1,1,2
MAPIRI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,1,0,0,3,1,4
MECAPACA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,11,3,2,1,13,4,17
MIZQUE,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,6,2,3,1,9,3,12
MOCOMOCO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,2,0,0,1,2,3
MOJINETE,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,0,0,0,2,0,2
MOJOCOYA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,6,5,2,1,8,6,14
MONTEAGUDO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,14,17,0,0,14,17,31
MONTERO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,21,67,7,1,28,68,96
MORO MORO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,6,0,0,3,6,9
MOROCHATA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,11,16,1,3,12,19,31
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,2,1,2,1,4,5
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,11,4,2,0,13,4,17
OCURI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,7,11,0,1,7,12,19
OKINAWA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,6,10,0,0,6,10,16
ORURO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,58,106,8,28,66,134,200
PADCAYA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,13,39,4,6,17,45,62
PADILLA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,20,38,0,0,20,38,58
PAILON,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,12,23,3,35,15,58,73
PALCA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,8,0,0,0,8,8
PALOS BLANCOS,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,7,7,3,3,10,10,20
PAMPA AULLAGAS,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,0,0,1,0,1,1
PAMPA GRANDE,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,2,7,3,8,5,13
PAPEL PAMPA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,4,2,2,2,6,4,10
PASORAPA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,0,10,9,10,9,19
PAZÑA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,9,2,0,2,9,11
PELECHUCO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,2,0,0,2,2,4
POCOATA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,0,4,3,6,3,9
POCONA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,4,13,0,1,4,14,18
POJO (CBBA),otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,1,0,1,1,2,3
POOPO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,1,4,3,4,4,8
POROMA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,8,7,2,3,10,10,20
PORONGO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,6,5,0,1,6,6,12
PORTACHUELO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,15,1,0,0,15,1,16
PORVENIR,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,0,0,0,1,0,1
POTOSI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,99,235,16,36,115,271,386
PRESTO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,8,2,1,4,9,13
PUCARA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,2,0,0,1,2,3
PUCARANI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,8,0,0,3,8,11
PUERTO ACOSTA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,2,0,12,2,14,16
PUERTO CARABUCO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,3,0,0,3,3,6
PUERTO GONZALO MORENO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,5,10,0,0,5,10,15
PUERTO PEREZ,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,4,0,1,1,5,6
PUERTO RICO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,8,7,0,0,8,7,15
PUERTO SILES,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,1,3,2,3,3,6
PUERTO SUAREZ,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,6,4,0,0,6,4,10
PUERTO VILLARROEL,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,10,16,4,1,14,17,31
PUNA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,18,23,2,3,20,26,46
PUNATA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,15,41,2,12,17,53,70
QUILLACOLLO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,136,184,32,66,168,250,418
QUIME,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,0,1,1,1,1,2
RAVELO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,10,20,2,2,12,22,34
RIBERALTA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,11,38,0,0,11,38,49
ROBORE,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,12,27,0,0,12,27,39
SABAYA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,8,0,0,3,8,11
SACABA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,19,30,69,99,88,129,217
SACABAMBA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,2,0,0,0,2,2
SACACA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,7,13,9,15,16,31
SAIPINA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,1,0,0,1,1,2
SALINAS DE GARCI MENDOZA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,12,12,4,4,16,16,32
SAMAIPATA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,4,0,2,3,6,9
SAN AGUSTIN,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,3,0,0,2,3,5
SAN ANDRES,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,4,3,5,2,9,5,14
SAN ANTONIO DE ESMORUCO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,2,0,0,0,2,2
SAN ANTONIO DE LOMERIO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,1,0,2,2,3,5
SAN BENITO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,4,0,1,1,5,6
SAN BORJA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,26,73,2,6,28,79,107
SAN BUENA VENTURA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,4,6,2,6,6,12
SAN CARLOS,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,4,0,0,3,4,7
SAN IGNACIO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,54,108,2,1,56,109,165
SAN IGNACIO DE VELASCO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,15,39,0,0,15,39,54
SAN JAVIER(BNI),otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,2,2,6,2,8,10
SAN JAVIER(STC),otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,2,0,0,1,2,3
SAN JOAQUIN,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,10,18,0,0,10,18,28
SAN JOSE DE CHIQUITOS,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,13,24,0,0,13,24,37
SAN JUAN DE YAPACANI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,1,0,0,1,1,2
SAN JULIAN,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,10,25,1,3,11,28,39
SAN LORENZO(TJA),otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,9,24,0,2,9,26,35
SAN LUCAS,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,62,35,0,0,62,35,97
SAN MATIAS,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,4,2,3,5,7,12
SAN MIGUEL DE VELASCO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,4,5,0,0,4,5,9
SAN PEDRO,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,10,12,0,0,10,12,22
SAN PEDRO DE BUENA VISTA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,29,13,3,4,32,17,49
SAN PEDRO DE CURAHUARA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,5,0,0,2,5,7
SAN PEDRO DE TIQUINA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,6,0,4,2,10,12
SAN PEDRO(PND),otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,3,1,3,1,6,2,8
SAN RAFAEL,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,4,3,0,0,4,3,7
SAN RAMON BENI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,0,0,3,0,3,3
SANTA ANA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,485,1017,1145,701,1630,1718,3348
SANTA ROSA DEL SARA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,12,19,0,0,12,19,31
SANTIAGO DE HUARI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,11,12,3,7,14,19,33
SANTIAGO DE HUATA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,0,1,0,1,0,1
SANTIAGO DE MACHACA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,0,2,2,2,2,4
SANTIVAÑES,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,3,0,0,1,3,4
SANTUARIO DE QUILLACAS,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,2,5,0,0,2,5,7
SHINAOTA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,4,11,0,2,4,13,17
SICA SICA (VILLA AROMA),otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,1,0,2,0,3,3
SICAYA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,4,0,0,1,4,5
SIPE SIPE,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,5,8,10,8,15,23
SOPACHUY,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,5,7,3,2,8,9,17
SORACACHI,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,4,9,5,10,9,19,28
SORATA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,1,0,0,0,1,1
SUCRE,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,112,449,209,361,321,810,1131
TACACOMA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,0,2,2,2,2,4
TACOBAMBA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,5,4,0,0,5,4,9
TACOPAYA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,1,6,1,4,2,10,12
TAHUA,otras vacunaciones,total influenza estacional a personal de salud,2015-06-01,0,1,0,0,0,1,1
