,group,variable,month,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTALES,TOTALES,TOTALES
TARATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,9,13,24,13,33,46
TARIJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,80,151,18,31,98,182,280
TEOPONTE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,7,13,22,13,29,42
TIAWANACU,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,2,2,2,2,4
TINGUIPAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,3,2,3,2,5
TIPUANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,5,6,23,23,28,29,57
TIQUIPAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,21,30,8,14,29,44,73
TIRAQUE (CBBA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,1,6,6,6,7,13
TOCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,2,1,2,1,3
TOLATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,3,5,2,3,5,8,13
TOLEDO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,0,12,11,13,11,24
TOMAVE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,1,0,0,0,1,1
TOMINA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,0,2,0,2,2
TOTORA(CBBA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,1,5,0,6,1,7
TRIGAL,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,1,4,16,4,17,21
TRINIDAD,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,40,68,5,8,45,76,121
TUPIZA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,12,10,4,8,16,18,34
TURCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,3,13,11,13,14,27
UMALA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,2,0,1,2,3,2,5
URIONDO (A. CONCEPCION),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,2,0,0,0,2,2
UYUNI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,9,11,14,22,23,33,56
VACAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,0,7,6,8,6,14
VALLEGRANDE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,0,1,0,1,1
VIACHA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,10,13,1,4,11,17,28
VILLA CHARCAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,2,2,0,0,2,2,4
VILLA MONTES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,2,5,23,34,25,39,64
VILLA NUEVA (LOMA ALTA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,0,0,0,1,0,1
VILLA RIVERO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,3,0,1,10,4,10,14
VILLA TUNARI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,11,13,36,49,47,62,109
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,0,0,0,1,0,1
VILLAZON,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,35,29,2,9,37,38,75
VINTO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,16,31,3,0,19,31,50
VITICHI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,3,1,0,2,3,3,6
WARNES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,58,44,4,7,62,51,113
YACUIBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,5,5,0,1,5,6,11
YAMPARAEZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,2,5,13,10,15,15,30
YANACACHI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,3,1,25,14,28,15,43
YOCALLA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,16,14,16,14,30
YUNCHARA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,1,1,1,1,2
ACACIO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,2,0,9,0,11,11
ACHACACHI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,5,1,16,17,21,18,39
ACHOCALLA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,0,1,0,1,1
AIQUILE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,6,13,111,58,117,71,188
ALALAY,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,4,6,4,6,10
ALCALA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,7,5,21,29,28,34,62
ALTO BENI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,4,2,15,15,19,17,36
ANCORAIMES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,1,4,15,5,16,21
ANDAMARCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,1,2,4,2,5,7
ANTEQUERA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,3,0,0,0,3,3
ANZALDO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,1,11,24,11,25,36
APOLO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,4,1,0,1,4,5
ARAMPAMPA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,1,26,26,27,27,54
ARANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,5,5,7,13,12,18,30
ARBIETO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,8,11,9,24,17,35,52
ARQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,1,22,28,23,29,52
ASCENCION DE GUARAYOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,8,12,0,0,8,12,20
ATOCHA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,1,46,83,47,84,131
AYATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,2,0,0,1,2,3
AYO AYO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,4,2,4,2,6
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,12,14,98,155,110,169,279
AZURDUY,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,14,3,40,9,54,12,66
BATALLAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,4,23,4,23,27
BAURES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,11,13,0,0,11,13,24
BELEN DE ANDAMARCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,1,1,1,1,2
BELEN DE URMIRI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,1,2,9,2,10,12
BELLA FLOR,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,0,3,11,4,11,15
BERMEJO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,28,29,24,47,52,76,128
BETANZOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,9,19,47,38,56,57,113
BOLIVAR,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,1,7,1,7,8
BOLPEBRA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,1,4,1,4,5
BOYUIBE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,2,0,0,6,2,6,8
BUENA VISTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,24,6,8,11,32,17,49
CABEZAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,7,18,10,13,17,31,48
CAIROMA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,6,1,12,7,18,8,26
"CAIZA ""D""",otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,4,5,4,5,9
CAJUATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,1,3,6,4,7,11
CALACOTO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,2,2,2,2,4
CALAMARCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,1,0,1,1,2,3
CAMARGO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,5,11,7,11,12,22,34
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,1,1,0,4,1,5
CAMIRI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,30,46,45,90,75,136,211
CAPINOTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,5,6,71,62,76,68,144
CAQUIAVIRI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,1,10,4,11,5,16
CARACOLLO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,5,7,8,7,13,14,27
CARANAVI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,31,5,53,36,84,41,125
CARANGAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,1,4,1,4,5
CARAPARI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,6,11,13,14,19,33
CARIPUYO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,3,6,3,6,9
CARMEN RIVERO TORREZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,12,0,0,3,12,15
CATACORA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,2,0,0,1,2,3
CHACARILLA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,1,2,1,2,3
CHALLAPATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,8,2,8,2,10
CHAQUI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,2,2,10,17,12,19,31
CHARAGUA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,8,14,1,11,9,25,34
CHAYANTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,9,2,33,10,42,12,54
CHIMORE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,9,37,54,37,63,100
CHOQUE COTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,0,9,6,10,6,16
CHUA COCANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,0,0,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,4,1,0,1,4,5
CHUMA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,0,1,0,2,0,2
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,1,6,11,6,12,18
CKOCHAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,10,21,25,20,35,41,76
CLIZA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,3,60,67,63,70,133
COBIJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,9,3,47,71,56,74,130
COCAPATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,8,10,50,54,58,64,122
COCHABAMBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,947,751,364,541,1311,1292,2603
COIPASA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,0,2,0,2,2
COLCAPIRHUA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,148,145,152,139,300,284,584
"COLCHA ""K""",otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,5,10,4,13,9,23,32
COLLANA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,7,2,3,2,10,12
COLOMI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,5,14,8,34,13,48,61
COLQUECHACA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,18,16,81,103,99,119,218
COLQUIRI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,1,0,1,0,1
COMANCHE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,2,2,2,3,4,7
COMARAPA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,10,4,2,7,12,19
COMBAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,1,2,2,2,3,5
CONCEPCION,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,6,12,39,35,45,47,92
COPACABANA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,1,6,16,6,17,23
CORIPATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,0,12,9,13,9,22
CORO CORO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,4,2,4,2,6
COROICO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,4,4,13,8,17,12,29
CORQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,2,3,12,4,14,18
COTAGAITA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,11,19,78,123,89,142,231
COTOCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,223,318,105,153,328,471,799
CUATRO CAÑADAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,10,5,134,138,144,143,287
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,2,3,2,3,5
CUEVO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,1,1,1,1,2,3
CULPINA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,9,11,5,9,14,20,34
CURAHUARA DE CARANGAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,1,6,1,6,7
CURVA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,2,3,6,11,8,14,22
DESAGUADERO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,4,0,0,3,4,7
EL ALTO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,561,518,284,344,845,862,1707
EL CHORO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,1,0,3,0,4,4
EL PUENTE(STC),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,3,4,12,5,15,20
EL PUENTE(TJA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,3,6,8,6,11,17
EL TORNO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,67,83,34,59,101,142,243
EL VILLAR,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,5,10,0,2,5,12,17
ENTRE RIOS TRJ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,4,8,41,49,45,57,102
ENTRE RIOS CBBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,25,19,24,31,49,50,99
ESCARA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,1,3,1,3,4
ESMERALDA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,5,2,5,2,7
EUREKA (SANTOS MERCADO),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,1,1,1,1,2
FILADELFIA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,4,4,1,0,5,4,9
GENERAL SAAVEDRA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,17,23,27,25,44,48,92
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,0,0,1,1,1,2
GUANAY,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,1,2,4,3,5,8
GUAQUI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,0,0,0,1,0,1
GUAYARAMERIN,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,47,82,27,47,74,129,203
HUACARETA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,7,12,5,16,12,28,40
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,1,0,1,0,1
HUACHACALLA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,2,2,2,2,4
HUANUNI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,8,20,35,91,43,111,154
HUARACAJE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,2,3,0,0,2,3,5
HUARINA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,0,1,0,1,1
HUAYLLAMARCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,1,3,2,3,3,6
HUMANATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,2,2,2,1,4,3,7
ICHOCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,2,0,6,8,8,8,16
ICLA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,10,3,6,3,16,19
INCAHUASI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,7,6,1,3,8,9,17
INQUISIVI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,3,0,0,3,3,6
IRUPANA (VILLA DE LANZA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,7,3,0,6,7,13
IXIAMAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,0,2,0,2,2
JESUS DE MACHACA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,8,8,3,8,11,19
LA ASUNTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,100,148,81,71,181,219,400
LA GUARDIA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,83,105,256,87,339,192,531
LA PAZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,532,729,196,242,728,971,1699
LAGUNILLAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,4,6,17,25,21,31,52
LAJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,3,18,32,21,35,56
LAS CARRERAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,1,1,1,1,2
LLALLAGUA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,41,49,340,258,381,307,688
LLICA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,2,11,0,3,2,14,16
LORETO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,3,0,1,0,4,4
LURIBAY,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,0,1,0,1,1
MACHACAMARCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,1,4,1,4,5
MACHARETI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,3,2,3,2,5
MAGDALENA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,6,9,6,9,15
MAIRANA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,19,15,2,5,21,20,41
MAPIRI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,13,5,13,24,26,29,55
MECAPACA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,23,16,17,29,40,45,85
MINEROS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,0,1,3,2,3,5
MIZQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,10,21,13,22,23,43,66
MOCOMOCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,3,2,3,2,5
MOJINETE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,2,3,2,3,5
MOJOCOYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,5,6,4,19,9,25,34
MONTEAGUDO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,22,23,17,23,39,46,85
MONTERO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,33,36,21,35,54,71,125
MORO MORO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,1,0,0,0,1,1
MOROCHATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,2,12,7,13,9,22
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,2,1,2,4,4,8
OCURI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,2,0,8,5,10,5,15
OKINAWA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,8,15,1,4,9,19,28
OMEREQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,2,1,11,10,13,11,24
ORURO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,68,98,61,85,129,183,312
PADCAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,6,12,14,16,20,28,48
PADILLA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,5,8,18,11,23,34
PAILON,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,10,14,45,57,55,71,126
PALCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,4,2,12,13,16,15,31
PALOS BLANCOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,5,18,21,28,26,46,72
PAMPA AULLAGAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,1,0,1,0,1
PAMPA GRANDE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,38,47,54,70,92,117,209
PAPEL PAMPA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,9,4,9,4,13
PASORAPA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,140,140,140,140,280
PATACAMAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,6,3,13,5,19,8,27
PAZÑA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,2,4,2,4,6
PELECHUCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,2,0,4,2,6,2,8
POCOATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,25,32,25,32,57
POCONA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,13,2,6,5,19,24
POJO (CBBA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,2,3,3,4,5,9
PORCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,0,6,6,7,6,13
POROMA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,1,11,21,14,22,36
PORONGO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,39,73,41,32,80,105,185
PORTACHUELO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,148,187,5,5,153,192,345
PORVENIR,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,0,0,0,1,0,1
POSTRER VALLE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,6,5,1,0,7,5,12
POTOSI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,237,289,13,34,250,323,573
PRESTO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,1,15,34,15,35,50
PUCARA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,6,13,2,1,8,14,22
PUCARANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,3,6,2,6,5,12,17
PUERTO CARABUCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,1,0,4,6,5,6,11
PUERTO GONZALO MORENO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,0,2,0,2,2
PUERTO PEREZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,3,1,3,1,4
PUERTO QUIJARRO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,2,2,0,0,2,2,4
PUERTO RICO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,10,6,9,6,19,25
PUERTO SILES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,0,0,9,9,9,9,18
PUERTO SUAREZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,12,8,0,0,12,8,20
PUERTO VILLARROEL,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,14,27,37,36,51,63,114
PUNA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,4,3,34,57,38,60,98
PUNATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,60,68,96,232,156,300,456
QUILLACOLLO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-06-01,90,149,254,416,344,565,909
