,group,variable,month,TOTAL INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,TOTAL INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,TOTAL INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,TOTAL INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,TOTALES,TOTALES,TOTALES
SACABA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,171.0,0.0,35.0,0.0,206.0,206.0
SACABAMBA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,4.0,0.0,1.0,0.0,5.0,5.0
SACACA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,8.0,0.0,26.0,0.0,34.0,34.0
SAIPINA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
SAMAIPATA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,14.0,0.0,4.0,0.0,18.0,18.0
SAN ANDRES,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,9.0,0.0,21.0,0.0,30.0,30.0
SAN ANDRES DE MACHACA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,2.0,0.0,21.0,0.0,23.0,23.0
SAN ANTONIO DE ESMORUCO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,6.0,0.0,0.0,0.0,6.0,6.0
SAN BENITO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,7.0,0.0,3.0,0.0,10.0,10.0
SAN BUENA VENTURA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,27.0,0.0,3.0,0.0,30.0,30.0
SAN CARLOS,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,6.0,0.0,0.0,0.0,6.0,6.0
SAN IGNACIO DE VELASCO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,100.0,0.0,0.0,0.0,100.0,100.0
SAN JAVIER(BNI),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,16.0,0.0,16.0,16.0
SAN JAVIER(STC),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,13.0,0.0,0.0,0.0,13.0,13.0
SAN JOSE DE CHIQUITOS,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,4.0,0.0,4.0,0.0,8.0,8.0
SAN JULIAN,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,3.0,0.0,7.0,0.0,10.0,10.0
SAN LORENZO(TJA),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,20.0,0.0,5.0,0.0,25.0,25.0
SAN MATIAS,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,24.0,0.0,24.0,24.0
SAN MIGUEL DE VELASCO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,15.0,0.0,0.0,0.0,15.0,15.0
SAN PEDRO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,5.0,0.0,1.0,0.0,6.0,6.0
SAN PEDRO DE CURAHUARA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
SAN PEDRO DE TIQUINA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,6.0,0.0,8.0,0.0,14.0,14.0
SAN RAFAEL,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,8.0,0.0,8.0,8.0
SAN RAMON BENI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
SAN RAMON SCZ,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,880.0,0.0,15.0,0.0,895.0,895.0
SANTA ROSA DEL SARA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,2.0,0.0,1.0,0.0,3.0,3.0
SANTIAGO DE CALLAPA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,3.0,0.0,2.0,0.0,5.0,5.0
SANTIAGO DE HUARI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,2.0,0.0,3.0,3.0
SANTIAGO DE HUATA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,11.0,0.0,11.0,11.0
SANTIAGO DE MACHACA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
SANTIVAÑES,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,16.0,0.0,8.0,0.0,24.0,24.0
SAPAHAQUI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,3.0,0.0,3.0,0.0,6.0,6.0
SHINAOTA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,33.0,0.0,8.0,0.0,41.0,41.0
SICA SICA (VILLA AROMA),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,8.0,0.0,4.0,0.0,12.0,12.0
SICAYA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SIPE SIPE,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,112.0,0.0,69.0,0.0,181.0,181.0
SOPACHUY,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SORATA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,5.0,0.0,59.0,0.0,64.0,64.0
SUCRE,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,375.0,0.0,55.0,0.0,430.0,430.0
TACACHI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
TACACOMA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,3.0,0.0,3.0,0.0,6.0,6.0
TACOBAMBA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
TACOPAYA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,4.0,0.0,4.0,4.0
TAHUA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
TAPACARI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,44.0,0.0,19.0,0.0,63.0,63.0
TARABUCO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,4.0,0.0,5.0,0.0,9.0,9.0
TARACO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,16.0,0.0,1.0,0.0,17.0,17.0
TARATA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,3.0,0.0,1.0,0.0,4.0,4.0
TARIJA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,338.0,0.0,44.0,0.0,382.0,382.0
TEOPONTE,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,12.0,0.0,17.0,0.0,29.0,29.0
TIAWANACU,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,38.0,0.0,9.0,0.0,47.0,47.0
TINGUIPAYA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,5.0,0.0,5.0,5.0
TIPUANI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,6.0,0.0,7.0,0.0,13.0,13.0
TIQUIPAYA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,99.0,0.0,2.0,0.0,101.0,101.0
TIRAQUE (CBBA),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,4.0,0.0,6.0,0.0,10.0,10.0
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
TOCO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,5.0,0.0,3.0,0.0,8.0,8.0
TOLATA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
TOLEDO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,4.0,0.0,1.0,0.0,5.0,5.0
TOMAVE,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
TOMINA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,4.0,0.0,4.0,4.0
TOTORA(CBBA),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,27.0,0.0,0.0,0.0,27.0,27.0
TOTORA(ORR),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
TRIGAL,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,6.0,0.0,6.0,6.0
TRINIDAD,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,94.0,0.0,6.0,0.0,100.0,100.0
TUPIZA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
TURCO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,1.0,0.0,2.0,2.0
UMALA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
UYUNI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,2.0,0.0,3.0,0.0,5.0,5.0
VACAS,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,8.0,0.0,4.0,0.0,12.0,12.0
VIACHA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,82.0,0.0,7.0,0.0,89.0,89.0
VILA VILA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,1.0,0.0,2.0,2.0
VILLA CHARCAS,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,9.0,0.0,3.0,0.0,12.0,12.0
VILLA MONTES,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,25.0,0.0,18.0,0.0,43.0,43.0
VILLA NUEVA (LOMA ALTA),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
VILLA RIVERO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,18.0,0.0,9.0,0.0,27.0,27.0
VILLA TUNARI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,95.0,0.0,13.0,0.0,108.0,108.0
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,6.0,0.0,0.0,0.0,6.0,6.0
VILLAZON,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,40.0,0.0,2.0,0.0,42.0,42.0
VINTO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,167.0,0.0,16.0,0.0,183.0,183.0
VITICHI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,4.0,0.0,4.0,0.0,8.0,8.0
WALDO BALLIVIAN,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
WARNES,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,41.0,0.0,16.0,0.0,57.0,57.0
YACUIBA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,4.0,0.0,2.0,0.0,6.0,6.0
YAMPARAEZ,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,15.0,0.0,10.0,0.0,25.0,25.0
YANACACHI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,7.0,0.0,12.0,0.0,19.0,19.0
YOCALLA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,8.0,0.0,0.0,0.0,8.0,8.0
YOTALA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,3.0,0.0,3.0,3.0
YUNCHARA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
ZUDAÑEZ,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
ACACIO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,5.0,0.0,7.0,0.0,12.0,12.0
ACHACACHI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,21.0,0.0,19.0,0.0,40.0,40.0
ACHOCALLA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,7.0,0.0,0.0,0.0,7.0,7.0
AIQUILE,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,57.0,0.0,19.0,0.0,76.0,76.0
ALALAY,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,1.0,0.0,3.0,0.0,4.0,4.0
ALCALA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,2.0,0.0,10.0,0.0,12.0,12.0
ALTO BENI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,33.0,0.0,5.0,0.0,38.0,38.0
ANCORAIMES,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,22.0,0.0,7.0,0.0,29.0,29.0
ANDAMARCA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,6.0,0.0,2.0,0.0,8.0,8.0
ANTEQUERA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,3.0,0.0,1.0,0.0,4.0,4.0
ANZALDO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,1.0,0.0,16.0,0.0,17.0,17.0
APOLO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,22.0,0.0,19.0,0.0,41.0,41.0
ARAMPAMPA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,5.0,0.0,17.0,0.0,22.0,22.0
ARANI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,4.0,0.0,2.0,0.0,6.0,6.0
ARBIETO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,32.0,0.0,26.0,0.0,58.0,58.0
ARQUE,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,28.0,0.0,12.0,0.0,40.0,40.0
ASCENCION DE GUARAYOS,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,12.0,0.0,1.0,0.0,13.0,13.0
ATOCHA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,16.0,0.0,10.0,0.0,26.0,26.0
AUCAPATA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,1.0,0.0,1.0,0.0,2.0,2.0
AYATA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,5.0,0.0,5.0,0.0,10.0,10.0
AYO AYO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,1.0,0.0,5.0,0.0,6.0,6.0
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,12.0,0.0,52.0,0.0,64.0,64.0
AZURDUY,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,17.0,0.0,35.0,0.0,52.0,52.0
BATALLAS,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,0.0,0.0,21.0,0.0,21.0,21.0
BAURES,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,9.0,0.0,0.0,0.0,9.0,9.0
BELEN DE ANDAMARCA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,1.0,0.0,2.0,0.0,3.0,3.0
BELEN DE URMIRI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,0.0,0.0,6.0,0.0,6.0,6.0
BELLA FLOR,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,5.0,0.0,13.0,0.0,18.0,18.0
BERMEJO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,49.0,0.0,18.0,0.0,67.0,67.0
BETANZOS,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,74.0,0.0,51.0,0.0,125.0,125.0
BOLIVAR,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,2.0,0.0,4.0,0.0,6.0,6.0
BOLPEBRA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,2.0,0.0,2.0,0.0,4.0,4.0
BOYUIBE,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,22.0,0.0,1.0,0.0,23.0,23.0
BUENA VISTA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,7.0,0.0,9.0,0.0,16.0,16.0
CABEZAS,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,9.0,0.0,4.0,0.0,13.0,13.0
CAIROMA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,20.0,0.0,11.0,0.0,31.0,31.0
"CAIZA ""D""",otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,11.0,0.0,11.0,0.0,22.0,22.0
CAJUATA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,44.0,0.0,5.0,0.0,49.0,49.0
CALACOTO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,4.0,0.0,4.0,0.0,8.0,8.0
CALAMARCA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,39.0,0.0,2.0,0.0,41.0,41.0
CAMARGO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,8.0,0.0,12.0,0.0,20.0,20.0
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,4.0,0.0,1.0,0.0,5.0,5.0
CAMIRI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,47.0,0.0,11.0,0.0,58.0,58.0
CAPINOTA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,24.0,0.0,36.0,0.0,60.0,60.0
CAQUIAVIRI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,6.0,0.0,5.0,0.0,11.0,11.0
CARACOLLO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,42.0,0.0,8.0,0.0,50.0,50.0
CARANAVI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,162.0,0.0,32.0,0.0,194.0,194.0
CARAPARI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,9.0,0.0,26.0,0.0,35.0,35.0
CARIPUYO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,4.0,0.0,24.0,0.0,28.0,28.0
CARMEN RIVERO TORREZ,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,22.0,0.0,0.0,0.0,22.0,22.0
CATACORA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,2.0,0.0,1.0,0.0,3.0,3.0
CHACARILLA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,2.0,0.0,4.0,0.0,6.0,6.0
CHALLAPATA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,49.0,0.0,15.0,0.0,64.0,64.0
CHAQUI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,26.0,0.0,11.0,0.0,37.0,37.0
CHARAGUA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,17.0,0.0,10.0,0.0,27.0,27.0
CHAYANTA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,31.0,0.0,75.0,0.0,106.0,106.0
CHIMORE,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,16.0,0.0,10.0,0.0,26.0,26.0
CHIPAYA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,3.0,0.0,3.0,0.0,6.0,6.0
CHOQUE COTA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
CHUA COCANI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,25.0,0.0,5.0,0.0,30.0,30.0
CHUMA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,3.0,0.0,2.0,0.0,5.0,5.0
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,9.0,0.0,21.0,0.0,30.0,30.0
CKOCHAS,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,35.0,0.0,35.0,0.0,70.0,70.0
CLIZA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,48.0,0.0,14.0,0.0,62.0,62.0
COBIJA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,91.0,0.0,3.0,0.0,94.0,94.0
COCAPATA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,9.0,0.0,69.0,0.0,78.0,78.0
COCHABAMBA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,1226.0,0.0,107.0,0.0,1333.0,1333.0
COIPASA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
COLCAPIRHUA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,209.0,0.0,150.0,0.0,359.0,359.0
"COLCHA ""K""",otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,45.0,0.0,14.0,0.0,59.0,59.0
COLLANA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,7.0,0.0,1.0,0.0,8.0,8.0
COLOMI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,87.0,0.0,25.0,0.0,112.0,112.0
COLQUECHACA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,92.0,0.0,105.0,0.0,197.0,197.0
COLQUENCHA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,21.0,0.0,2.0,0.0,23.0,23.0
COLQUIRI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,6.0,0.0,8.0,0.0,14.0,14.0
COMANCHE,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,6.0,0.0,2.0,0.0,8.0,8.0
COMARAPA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,15.0,0.0,9.0,0.0,24.0,24.0
COMBAYA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
CONCEPCION,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,9.0,0.0,2.0,0.0,11.0,11.0
COPACABANA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,46.0,0.0,5.0,0.0,51.0,51.0
CORIPATA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,46.0,0.0,7.0,0.0,53.0,53.0
CORO CORO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,5.0,0.0,13.0,0.0,18.0,18.0
COROICO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,14.0,0.0,5.0,0.0,19.0,19.0
CORQUE,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,4.0,0.0,4.0,0.0,8.0,8.0
COTAGAITA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,34.0,0.0,18.0,0.0,52.0,52.0
COTOCA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,408.0,0.0,13.0,0.0,421.0,421.0
CUATRO CAÑADAS,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,9.0,0.0,4.0,0.0,13.0,13.0
CUEVO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,2.0,0.0,4.0,0.0,6.0,6.0
CULPINA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,16.0,0.0,17.0,0.0,33.0,33.0
CURAHUARA DE CARANGAS,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,5.0,0.0,5.0,0.0,10.0,10.0
CURVA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,2.0,0.0,8.0,0.0,10.0,10.0
DESAGUADERO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,7.0,0.0,2.0,0.0,9.0,9.0
EL ALTO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,2416.0,0.0,606.0,0.0,3022.0,3022.0
EL CHORO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,3.0,0.0,10.0,0.0,13.0,13.0
EL PUENTE(STC),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,3.0,0.0,1.0,0.0,4.0,4.0
EL PUENTE(TJA),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,13.0,0.0,26.0,0.0,39.0,39.0
EL TORNO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,248.0,0.0,3.0,0.0,251.0,251.0
EL VILLAR,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,6.0,0.0,3.0,0.0,9.0,9.0
ENTRE RIOS TRJ,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,20.0,0.0,59.0,0.0,79.0,79.0
ENTRE RIOS CBBA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,152.0,0.0,2.0,0.0,154.0,154.0
ESCOMA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-06-01,0.0,7.0,0.0,0.0,0.0,7.0,7.0
