,group,variable,month,TOTAL HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,TOTAL HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,TOTAL HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,TOTAL HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
CHALLAPATA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,0,1,9,22,9,23,32
COBIJA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,3,7,0,0,3,7,10
COCAPATA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,4,2,1,0,5,2,7
COCHABAMBA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,1,1,0,0,1,1,2
"COLCHA ""K""",otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,1,2,0,0,1,2,3
COLOMI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,0,0,2,1,2,1,3
COPACABANA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,0,0,0,1,0,1,1
COTOCA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,1,2,0,0,1,2,3
EL ALTO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,7,27,1,2,8,29,37
FILADELFIA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,1,0,0,0,1,0,1
HUACARETA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,0,1,0,0,0,1,1
LA ASUNTA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,1,1,0,0,1,1,2
LA PAZ,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,20,33,0,0,20,33,53
LAGUNILLAS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,6,0,0,0,6,0,6
MONTEAGUDO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,0,1,0,0,0,1,1
MONTERO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,4,1,0,0,4,1,5
ORURO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,4,7,0,0,4,7,11
POTOSI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,6,16,0,0,6,16,22
PUERTO RICO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,1,2,0,0,1,2,3
RAVELO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,3,0,0,0,3,0,3
SAMAIPATA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,1,0,0,0,1,0,1
SAN IGNACIO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,1,2,0,0,1,2,3
SAN JOSE DE CHIQUITOS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,0,3,0,0,0,3,3
SAN JUAN DE YAPACANI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,0,1,0,0,0,1,1
SAN JULIAN,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,12,5,0,0,12,5,17
SANTA ANA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,3,13,15,1,18,14,32
TINGUIPAYA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,1,0,0,0,1,0,1
TOLEDO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,0,1,0,1,0,2,2
TRINIDAD,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,0,1,0,0,0,1,1
VILLAZON,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,0,5,0,0,0,5,5
YAPACANI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,0,2,0,0,0,2,2
ATOCHA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,0,2,0,0,0,2,2
BELEN DE ANDAMARCA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,1,3,0,0,1,3,4
BERMEJO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,2,1,0,0,2,1,3
CABEZAS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,0,2,0,0,0,2,2
CARACOLLO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,0,1,0,0,0,1,1
CHALLAPATA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,0,1,0,0,0,1,1
CHARAGUA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,0,1,0,0,0,1,1
COBIJA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,1,2,0,0,1,2,3
COCHABAMBA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,2,3,0,0,2,3,5
COLOMI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,0,0,0,2,0,2,2
COLQUECHACA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,1,0,0,0,1,0,1
CORQUE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,3,5,1,1,4,6,10
COTAGAITA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,0,2,0,0,0,2,2
COTOCA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,0,2,0,0,0,2,2
EL ALTO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,11,70,0,0,11,70,81
EL PUENTE(STC),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,2,4,0,0,2,4,6
EL TORNO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,0,8,0,0,0,8,8
ENTRE RIOS TRJ,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,0,1,0,0,0,1,1
HUACARETA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,0,0,1,0,1,0,1
LA GUARDIA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,0,0,0,1,0,1,1
LA PAZ,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,16,60,4,4,20,64,84
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,3,3,0,0,3,3,6
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,1,1,0,0,1,1,2
ORURO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,11,20,0,0,11,20,31
PORTACHUELO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,1,1,0,0,1,1,2
POTOSI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,2,6,0,0,2,6,8
PUERTO RICO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,2,2,0,0,2,2,4
PUERTO VILLARROEL,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,0,2,0,0,0,2,2
ROBORE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,3,2,0,0,3,2,5
SAN CARLOS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,0,1,0,0,0,1,1
SAN JUAN DE YAPACANI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,0,1,0,0,0,1,1
SAN JULIAN,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,2,15,0,0,2,15,17
SANTA ANA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,5,24,0,0,5,24,29
SANTA ROSA DEL SARA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,1,0,0,0,1,0,1
SHINAOTA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,0,1,0,0,0,1,1
SUCRE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,4,3,0,0,4,3,7
TARIJA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,2,15,0,0,2,15,17
TOLEDO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,1,1,0,0,1,1,2
TOMAVE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,1,0,0,0,1,0,1
TRINIDAD,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,6,5,0,0,6,5,11
URIONDO (A. CONCEPCION),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,0,1,0,0,0,1,1
VILLA MONTES,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,1,5,0,0,1,5,6
VILLAZON,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,1,2,0,0,1,2,3
YACUIBA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-07-01,1,0,0,0,1,0,1
ATOCHA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,3,0,0,0,3,3
BELLA FLOR,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,1,1,0,0,1,1,2
BERMEJO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,1,4,0,0,1,4,5
CABEZAS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,3,4,0,1,3,5,8
CAMIRI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,1,0,0,0,1,1
CARACOLLO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,0,0,1,0,1,1
COBIJA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,2,3,0,0,2,3,5
COCAPATA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,1,0,1,0,2,2
COCHABAMBA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,2,3,0,0,2,3,5
"COLCHA ""K""",otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,1,2,0,0,1,2,3
COLOMI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,0,1,1,1,1,2
CORQUE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,1,7,0,0,1,7,8
COTAGAITA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,1,0,0,0,1,0,1
CURVA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,4,17,10,1,14,18,32
EL PUENTE(TJA),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,1,0,0,0,1,1
FILADELFIA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,0,1,2,1,2,3
ICLA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,2,0,0,0,2,2
IXIAMAS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,1,0,0,0,1,1
LA GUARDIA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,1,6,0,1,1,7,8
LA PAZ,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,48,21,7,3,55,24,79
LLALLAGUA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,3,0,0,0,3,3
MOJOCOYA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,0,0,1,0,1,1
MONTERO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,1,8,0,0,1,8,9
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,21,27,0,0,21,27,48
PAILON,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,0,1,2,1,2,3
PASORAPA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,2,0,0,0,2,2
PORTACHUELO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,1,2,0,0,1,2,3
POTOSI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,3,17,0,0,3,17,20
PUCARANI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,4,0,0,0,4,4
PUERTO GONZALO MORENO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,1,0,0,0,1,1
PUERTO RICO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,3,3,0,0,3,3,6
PUERTO VILLARROEL,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,1,11,0,0,1,11,12
ROBORE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,2,0,0,0,2,2
SAN BUENA VENTURA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,1,0,0,0,1,0,1
SAN CARLOS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,1,2,0,0,1,2,3
SAN IGNACIO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,1,0,0,0,1,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,2,5,0,0,2,5,7
SAN JULIAN,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,0,2,0,2,0,2
SAN LORENZO(TJA),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,36,76,0,0,36,76,112
SHINAOTA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,3,9,0,0,3,9,12
SUCRE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,13,24,0,0,13,24,37
TARACO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,2,0,0,0,2,2
TARIJA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,3,16,0,0,3,16,19
TARVITA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,6,0,0,0,6,6
TRINIDAD,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,1,3,0,1,1,4,5
URUBICHA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,1,0,0,0,1,1
VALLEGRANDE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,1,1,0,2,1,3,4
VIACHA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,1,0,0,0,1,1
VILA VILA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,1,2,0,0,1,2,3
VILLA MONTES,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,3,4,0,0,3,4,7
VILLAZON,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-08-01,0,4,0,0,0,4,4
AIQUILE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,4,5,0,0,4,5,9
AYATA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,3,1,0,0,3,1,4
BELEN DE ANDAMARCA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,1,5,0,0,1,5,6
BUENA VISTA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,0,1,0,1,0,1
CAMIRI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,1,0,0,0,1,1
CARACOLLO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,2,0,1,0,3,3
COBIJA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,3,6,0,0,3,6,9
COCAPATA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,3,70,0,70,3,73
COTAGAITA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,1,0,0,0,1,0,1
CURVA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,4,4,0,0,4,4,8
EL ALTO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,10,13,9,1,19,14,33
EL PUENTE(STC),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,3,0,0,0,3,3
HUACHACALLA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,1,0,0,0,1,1
ICLA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,2,0,0,0,2,2
IRUPANA (VILLA DE LANZA),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,1,0,0,0,1,1
IXIAMAS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,0,1,0,1,0,1
LA ASUNTA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,1,0,0,0,1,1
LA GUARDIA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,2,0,0,0,2,0,2
LA PAZ,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,48,72,1,11,49,83,132
LLALLAGUA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,3,0,0,0,3,3
MOCOMOCO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,1,0,0,0,1,1
MONTEAGUDO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,1,0,0,0,1,1
MONTERO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,5,0,0,0,5,5
ORURO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,11,21,1,1,12,22,34
PAILON,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,0,2,0,2,0,2
POCONA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,2,0,0,0,2,0,2
POTOSI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,12,16,0,0,12,16,28
PUCARA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,1,1,0,0,1,1,2
PUCARANI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,0,0,3,0,3,3
PUERTO ACOSTA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,2,0,0,0,2,2
PUERTO GONZALO MORENO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,4,0,1,0,5,5
PUERTO VILLARROEL,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,1,4,0,0,1,4,5
QUIME,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,1,1,0,0,1,1,2
ROBORE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,1,0,0,0,1,0,1
SAN BUENA VENTURA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,1,2,0,0,1,2,3
SAN JOSE DE CHIQUITOS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,1,0,0,0,1,0,1
SAN JULIAN,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,1,1,0,0,1,1,2
SAN LUCAS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,2,2,0,0,2,2,4
SAN PEDRO DE TIQUINA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,1,0,3,0,4,4
SAN RAMON BENI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,49,97,0,0,49,97,146
SHINAOTA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,1,1,0,0,1,1,2
SUCRE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,4,14,0,0,4,14,18
TARIJA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,8,9,0,0,8,9,17
TARVITA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,4,1,0,0,4,1,5
TOLEDO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,8,0,0,0,8,8
VALLEGRANDE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,1,3,2,2,3,5,8
VIACHA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,1,0,0,0,1,1
VILA VILA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,4,3,0,0,4,3,7
VILLA MONTES,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,3,0,0,0,3,3
VILLA TUNARI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,3,3,0,0,3,3,6
YACUIBA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,1,14,0,0,1,14,15
YAPACANI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,1,1,3,3,4,4,8
ZUDAÑEZ,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-09-01,0,1,0,0,0,1,1
AIQUILE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,2,3,0,0,2,3,5
AYO AYO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,1,1,0,0,1,1,2
BATALLAS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,2,5,0,0,2,5,7
BUENA VISTA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,0,2,0,0,0,2,2
CAMARGO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,3,3,0,0,3,3,6
CAMIRI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,2,5,0,0,2,5,7
CHALLAPATA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,1,2,0,0,1,2,3
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,1,1,0,0,1,1,2
CHUMA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,12,5,0,0,12,5,17
COBIJA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,3,8,0,0,3,8,11
COCHABAMBA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,3,6,1,0,4,6,10
"COLCHA ""K""",otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
COLQUENCHA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
COMARAPA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,2,3,0,0,2,3,5
COTAGAITA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,2,0,0,0,2,0,2
EL ALTO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,3,7,0,1,3,8,11
EL PUENTE(STC),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,1,2,0,0,1,2,3
EL PUENTE(TJA),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,0,0,1,0,1,0,1
HUACARETA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,2,3,0,1,2,4,6
HUACHACALLA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
HUANUNI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,0,4,0,0,0,4,4
HUARACAJE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,1,0,0,0,1,0,1
ICLA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,1,2,0,0,1,2,3
INQUISIVI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
LA ASUNTA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,5,4,0,0,5,4,9
LA GUARDIA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,1,0,1,0,2,0,2
LA PAZ,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-10-01,16,40,0,0,16,40,56
