,group,variable,month,TOTAL DT 1RA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 1RA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 1RA. DOSIS DE 10 A 49 AÑOS FUERA,TOTAL DT 1RA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
CARAPARI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,60,35,1603,1461,1663,1496,3159
CARIPUYO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,2,9,287,276,289,285,574
CARMEN RIVERO TORREZ,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,5,10,85,84,90,94,184
CATACORA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,0,18,32,18,32,50
CHACARILLA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,2,6,12,6,14,20
CHALLAPATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,14,42,2040,2011,2054,2053,4107
CHAQUI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,5,45,535,626,540,671,1211
CHARAGUA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,21,35,341,379,362,414,776
CHARAÑA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,1,4,95,85,96,89,185
CHAYANTA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,139,156,1699,1767,1838,1923,3761
CHIMORE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,55,41,269,119,324,160,484
CHIPAYA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,1,0,111,90,112,90,202
CHUA COCANI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,2,3,331,215,333,218,551
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,7,38,1008,1001,1015,1039,2054
CHUMA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,2,25,358,354,360,379,739
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,16,31,509,559,525,590,1115
CKOCHAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,434,462,1252,1248,1686,1710,3396
CLIZA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,8,15,51,47,59,62,121
COBIJA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,52,100,2317,5941,2369,6041,8410
COCAPATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,15,25,80,114,95,139,234
COCHABAMBA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,420,1213,8747,8639,9167,9852,19019
COIPASA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,0,29,22,29,22,51
COLCAPIRHUA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,30,50,475,412,505,462,967
"COLCHA ""K""",otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,16,50,1140,787,1156,837,1993
COLLANA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,36,36,73,68,109,104,213
COLOMI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,8,21,528,499,536,520,1056
COLPA BELGICA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,13,15,85,72,98,87,185
COLQUECHACA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,78,141,2992,2901,3070,3042,6112
COLQUENCHA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,12,38,281,279,293,317,610
COLQUIRI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,2,3,422,368,424,371,795
COMANCHE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,6,190,151,190,157,347
COMARAPA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,10,24,109,102,119,126,245
COMBAYA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,0,10,0,10,0,10
CONCEPCION,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,1,0,0,0,1,1
COPACABANA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,4,14,268,213,272,227,499
CORIPATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,29,57,401,1013,430,1070,1500
CORO CORO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,33,53,282,307,315,360,675
COROICO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,24,20,499,500,523,520,1043
CORQUE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,5,5,501,344,506,349,855
COTAGAITA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,39,61,668,579,707,640,1347
COTOCA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,24,62,33,24,57,86,143
CRUZ DE MACHACAMARCA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,0,2,8,2,8,10
CUATRO CAÑADAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,9,26,392,579,401,605,1006
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,1,7,8,7,9,16
CUEVO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,15,14,28,19,43,33,76
CULPINA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,146,171,262,281,408,452,860
CURAHUARA DE CARANGAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,1,314,341,314,342,656
CURVA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,2,6,80,66,82,72,154
DESAGUADERO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,0,68,53,68,53,121
EL ALTO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,1606,2616,19626,20880,21232,23496,44728
EL CHORO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,13,8,72,55,85,63,148
EL PUENTE(STC),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,65,46,73,62,138,108,246
EL PUENTE(TJA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,27,32,273,339,300,371,671
EL TORNO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,18,18,84,66,102,84,186
EL VILLAR,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,14,18,82,84,96,102,198
ENTRE RIOS TRJ,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,38,43,808,632,846,675,1521
ENTRE RIOS CBBA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,116,107,880,832,996,939,1935
ESCARA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,0,35,21,35,21,56
ESCOMA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,2,3,28,11,30,14,44
ESMERALDA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,0,33,16,33,16,49
EUCALIPTUS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,4,13,344,364,348,377,725
EUREKA (SANTOS MERCADO),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,2,0,25,24,27,24,51
EXALTACION,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,2,1,40,39,42,40,82
FERNANDEZ ALONSO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,1,3,10,5,11,8,19
FILADELFIA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,3,5,83,70,86,75,161
GENERAL SAAVEDRA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,21,17,85,63,106,80,186
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,2,12,224,211,226,223,449
GUANAY,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,13,36,218,367,231,403,634
GUAQUI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,6,35,263,298,269,333,602
GUAYARAMERIN,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,50,85,1163,1058,1213,1143,2356
GUTIERREZ,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,0,50,63,50,63,113
HUACARETA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,67,46,40,35,107,81,188
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,60,42,23,6,83,48,131
HUANUNI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,33,100,1149,1059,1182,1159,2341
HUARACAJE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,2,1,0,0,2,1,3
HUARINA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,3,5,72,92,75,97,172
HUATAJATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,2,4,101,126,103,130,233
HUAYLLAMARCA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,5,107,76,107,81,188
HUMANATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,2,47,27,47,29,76
ICHOCA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,30,40,68,76,98,116,214
ICLA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,7,5,8,14,15,19,34
INCAHUASI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,45,53,81,110,126,163,289
INGAVI (HUMAITA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,0,9,6,9,6,15
INQUISIVI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,1,3,294,282,295,285,580
IRUPANA (VILLA DE LANZA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,14,19,1034,913,1048,932,1980
IXIAMAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,37,21,636,532,673,553,1226
JESUS DE MACHACA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,40,67,202,178,242,245,487
LA ASUNTA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,47,59,1282,1079,1329,1138,2467
LA GUARDIA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,54,56,75,27,129,83,212
LA PAZ,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,1772,2893,15025,15744,16797,18637,35434
LA RIVERA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,0,16,19,16,19,35
LAGUNILLAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,37,54,103,62,140,116,256
LAJA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,4,35,943,881,947,916,1863
LAS CARRERAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,0,7,5,7,5,12
LICOMA PAMPA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,0,102,99,102,99,201
LLALLAGUA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,3,9,2089,2458,2092,2467,4559
LLICA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,28,39,304,330,332,369,701
LORETO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,31,23,121,135,152,158,310
LURIBAY,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,4,10,469,512,473,522,995
MACHACAMARCA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,9,17,171,180,180,197,377
MACHARETI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,13,9,47,36,60,45,105
MAGDALENA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,7,715,81,715,88,803
MAIRANA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,0,95,78,95,78,173
MALLA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,0,46,31,46,31,77
MAPIRI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,18,45,350,288,368,333,701
MECAPACA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,12,22,136,139,148,161,309
MINEROS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,1,2,22,11,23,13,36
MIZQUE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,21,54,252,341,273,395,668
MOCOMOCO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,8,21,364,250,372,271,643
MOJINETE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,0,37,25,37,25,62
MOJOCOYA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,29,60,83,71,112,131,243
MONTEAGUDO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,46,41,467,403,513,444,957
MONTERO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,365,351,500,722,865,1073,1938
MORO MORO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,5,2,41,11,46,13,59
MOROCHATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,5,25,439,424,444,449,893
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,31,26,303,215,334,241,575
NAZACARA DE PACAJES,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,34,30,0,0,34,30,64
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,3,1,42,30,45,31,76
OCURI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,35,56,417,749,452,805,1257
OKINAWA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,8,5,52,42,60,47,107
OMEREQUE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,2,2,13,15,15,17,32
ORURO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,242,583,13025,11550,13267,12133,25400
PADCAYA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,29,28,680,732,709,760,1469
PADILLA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,15,14,105,96,120,110,230
PAILON,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,9,20,125,127,134,147,281
PALCA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,25,32,391,362,416,394,810
PALOS BLANCOS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,108,72,1058,889,1166,961,2127
PAMPA AULLAGAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,6,9,202,103,208,112,320
PAMPA GRANDE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,0,38,24,38,24,62
PAPEL PAMPA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,8,16,156,178,164,194,358
PASORAPA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,3,5,20,16,23,21,44
PATACAMAYA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,5,68,421,547,426,615,1041
PAZÑA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,3,4,149,182,152,186,338
PELECHUCO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,2,20,53,90,55,110,165
POCOATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,24,40,2206,2386,2230,2426,4656
POCONA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,6,5,141,108,147,113,260
POJO (CBBA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,9,7,146,162,155,169,324
POOPO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,209,222,44,53,253,275,528
PORCO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,36,51,1278,1605,1314,1656,2970
POROMA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,25,24,33,27,58,51,109
PORTACHUELO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,2,20,344,278,346,298,644
PORVENIR,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,9,16,312,250,321,266,587
POSTRER VALLE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,36,24,6,10,42,34,76
POTOSI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,2363,2950,17293,18164,19656,21114,40770
PRESTO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,11,16,53,67,64,83,147
PUCARA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,52,8,16,2,68,10,78
PUCARANI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,3,30,712,693,715,723,1438
PUERTO ACOSTA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,10,251,172,251,182,433
PUERTO CARABUCO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,1,6,217,84,218,90,308
PUERTO GONZALO MORENO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,1,5,272,228,273,233,506
PUERTO PEREZ,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,2,9,192,173,194,182,376
PUERTO QUIJARRO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,5,9,500,606,505,615,1120
PUERTO RICO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,5,14,216,169,221,183,404
PUERTO SILES,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,0,90,89,90,89,179
PUERTO SUAREZ,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,31,23,328,295,359,318,677
PUERTO VILLARROEL,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,135,147,1384,1265,1519,1412,2931
PUNA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,14,26,1251,1329,1265,1355,2620
PUNATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,29,50,93,82,122,132,254
QUIABAYA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,3,1,45,32,48,33,81
QUILLACOLLO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,50,85,617,499,667,584,1251
QUIME,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,5,273,259,273,264,537
QUIRUSILLAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,2,0,86,58,88,58,146
RAVELO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,21,32,1468,1368,1489,1400,2889
REYES,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,1,226,281,226,282,508
RIBERALTA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,73,248,1516,1422,1589,1670,3259
ROBORE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,0,1,3,1,3,4
RURRENABAQUE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,10,18,221,213,231,231,462
SABAYA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,1,0,96,86,97,86,183
SACABA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,62,201,3050,2598,3112,2799,5911
SACABAMBA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,9,8,33,21,42,29,71
SACACA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,260,239,1215,1190,1475,1429,2904
SAIPINA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,3,2,12,12,15,14,29
SALINAS DE GARCI MENDOZA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,34,52,527,589,561,641,1202
SAMAIPATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,7,1,103,40,110,41,151
SAN AGUSTIN,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,16,55,63,31,79,86,165
SAN ANDRES,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,48,73,328,254,376,327,703
SAN ANDRES DE MACHACA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,0,104,89,104,89,193
SAN ANTONIO DE ESMORUCO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,2,121,134,121,136,257
SAN ANTONIO DE LOMERIO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,35,17,73,178,108,195,303
SAN BENITO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,13,31,220,134,233,165,398
SAN BORJA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,82,150,2155,1981,2237,2131,4368
SAN BUENA VENTURA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,30,34,700,680,730,714,1444
SAN CARLOS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,16,26,192,133,208,159,367
SAN IGNACIO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,47,87,146,166,193,253,446
SAN IGNACIO DE VELASCO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,909,504,943,776,1852,1280,3132
SAN JAVIER(BNI),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,2,1,69,82,71,83,154
SAN JAVIER(STC),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,35,16,225,201,260,217,477
SAN JOAQUIN,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,6,10,882,791,888,801,1689
SAN JOSE DE CHIQUITOS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,5,4,666,570,671,574,1245
SAN JUAN DE YAPACANI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,7,8,256,272,263,280,543
SAN JULIAN,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,22,59,334,541,356,600,956
SAN LORENZO(PND),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,4,35,53,35,57,92
SAN LORENZO(TJA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,63,136,732,826,795,962,1757
SAN LUCAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,102,52,211,180,313,232,545
SAN MATIAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,1,6,143,136,144,142,286
SAN MIGUEL DE VELASCO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,18,28,247,239,265,267,532
SAN PABLO DE LIPEZ,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,41,43,30,15,71,58,129
SAN PEDRO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,15,19,150,125,165,144,309
SAN PEDRO DE BUENA VISTA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,551,654,1670,1745,2221,2399,4620
SAN PEDRO DE CURAHUARA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,76,97,91,71,167,168,335
SAN PEDRO DE QUEMES,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,2,2,0,0,2,2,4
SAN PEDRO DE TIQUINA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,5,13,253,125,258,138,396
SAN PEDRO(PND),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,10,10,146,116,156,126,282
SAN RAFAEL,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,18,1,167,105,185,106,291
SAN RAMON BENI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,8,5,300,297,308,302,610
SAN RAMON SCZ,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,18,32,282,263,300,295,595
SANTA ANA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,5,33,6,7,11,40,51
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,1893,3681,21821,21728,23714,25409,49123
SANTA ROSA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,9,0,0,0,9,9
SANTA ROSA DEL SARA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,26,53,500,349,526,402,928
SANTIAGO DE CALLAPA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,17,30,103,67,120,97,217
SANTIAGO DE HUARI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,4,3,354,354,358,357,715
SANTIAGO DE HUATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,1,1,226,241,227,242,469
SANTIAGO DE MACHACA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,4,149,120,149,124,273
SANTIVAÑES,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,6,9,78,85,84,94,178
SANTUARIO DE QUILLACAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,1,2,110,99,111,101,212
SAPAHAQUI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,6,16,295,292,301,308,609
SENA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,12,30,484,354,496,384,880
SHINAOTA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,14,5,430,409,444,414,858
SICA SICA (VILLA AROMA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,4,24,365,369,369,393,762
SICAYA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-04-01,0,2,178,140,178,142,320
