,group,variable,month,TOTAL DT 2DA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 2DA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 2DA. DOSIS DE 10 A 49 AÑOS FUERA,TOTAL DT 2DA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
CHALLAPATA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,3,25,2,16,5,41,46
CHAQUI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,19,0,6,0,25,25
CHARAGUA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,21,77,77,78,98,176
CHARAÑA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,1,0,0,0,1,1
CHAYANTA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,16,0,1,0,17,17
CHIMORE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,4,21,137,14,141,35,176
CHIPAYA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,3,0,0,0,3,3
CHOQUE COTA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,1,0,0,0,1,1
CHUA COCANI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,2,53,15,53,17,70
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,3,34,17,24,20,58,78
CHUMA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,6,12,11,12,17,29
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,14,37,0,0,14,37,51
CKOCHAS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,3,0,2,0,5,5
CLIZA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,5,2,6,2,11,13
COBIJA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,10,92,595,70,605,162,767
COCAPATA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,31,26,24,67,55,93,148
COCHABAMBA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,219,793,2014,2144,2233,2937,5170
COLCAPIRHUA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,20,79,524,424,544,503,1047
"COLCHA ""K""",otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,13,16,1,3,14,19,33
COLLANA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,3,0,2,1,5,6
COLOMI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,4,30,1,2,5,32,37
COLPA BELGICA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,2,10,60,46,62,56,118
COLQUECHACA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,4,13,3,28,7,41,48
COLQUENCHA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,9,0,0,1,9,10
COLQUIRI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,6,1,15,1,21,22
COMANCHE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,0,0,0,1,0,1
COMARAPA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,5,0,0,1,5,6
CONCEPCION,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,4,29,1,2,5,31,36
COPACABANA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,7,130,146,131,153,284
CORIPATA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,5,11,0,0,5,11,16
CORO CORO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,5,1,2,1,7,8
COROICO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,21,39,63,83,84,122,206
CORQUE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,4,0,0,1,4,5
COTAGAITA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,11,0,5,1,16,17
COTOCA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,12,83,197,204,209,287,496
CRUZ DE MACHACAMARCA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,1,0,0,1,1,2
CUATRO CAÑADAS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,3,19,9,34,12,53,65
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,3,12,11,12,14,26
CUEVO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,57,1,1,5,58,6,64
CULPINA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,37,84,56,81,93,165,258
CURAHUARA DE CARANGAS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,4,35,1,35,5,40
CURVA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,1,3,0,3,1,4
DESAGUADERO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,4,0,1,0,5,5
EL ALTO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,161,1234,1455,1557,1616,2791,4407
EL CHORO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,2,0,2,0,4,4
EL PUENTE(STC),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,3,4,0,10,3,14,17
EL PUENTE(TJA),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,5,7,11,7,16,23
EL TORNO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,23,72,31,37,54,109,163
EL VILLAR,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,1,2,10,2,11,13
ENTRE RIOS TRJ,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,6,11,14,13,20,24,44
ENTRE RIOS CBBA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,52,52,8,1,60,53,113
ESCOMA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,1,2,3,2,4,6
EUCALIPTUS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,1,0,0,0,1,1
EXALTACION,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,2,0,3,0,5,5
FERNANDEZ ALONSO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,6,0,0,0,6,6
FILADELFIA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,2,4,4,4,6,10
GENERAL SAAVEDRA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,5,19,46,19,51,70
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,2,0,1,0,3,3
GUANAY,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,3,34,8,12,11,46,57
GUAQUI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,3,0,8,0,11,11
GUAYARAMERIN,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,18,66,491,197,509,263,772
GUTIERREZ,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,2,4,23,37,25,41,66
HUACARETA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,4,3,38,27,42,30,72
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,0,2,0,3,0,3
HUACHACALLA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,0,0,1,0,1,1
HUANUNI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,23,133,142,133,165,298
HUARACAJE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,1,0,6,0,7,7
HUARINA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,2,2,4,4,6,6,12
HUATAJATA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,3,0,0,0,3,3
HUAYLLAMARCA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,3,0,0,1,3,4
HUMANATA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,2,0,47,0,49,49
ICHOCA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,0,10,4,10,4,14
ICLA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,15,13,38,44,53,57,110
INCAHUASI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,7,38,101,149,108,187,295
INGAVI (HUMAITA),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,3,0,0,1,3,4
INQUISIVI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,1,15,6,15,7,22
IRUPANA (VILLA DE LANZA),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,2,2,5,5,7,7,14
IXIAMAS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,5,7,8,8,13,21
JESUS DE MACHACA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,6,3,1,3,7,10
LA ASUNTA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,3,36,39,39,42,75,117
LA GUARDIA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,26,51,12,25,38,76,114
LA PAZ,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,117,1134,1600,1011,1717,2145,3862
LAGUNILLAS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,2,6,17,28,19,34,53
LAJA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,3,12,0,2,3,14,17
LAS CARRERAS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,0,8,3,9,3,12
LICOMA PAMPA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,2,22,23,23,25,48
LLALLAGUA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,4,30,328,298,332,328,660
LORETO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,4,1,3,14,7,15,22
LURIBAY,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,5,0,0,0,5,5
MACHACAMARCA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,1,9,6,9,7,16
MACHARETI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,6,10,53,83,59,93,152
MAGDALENA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,7,21,0,0,7,21,28
MAIRANA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,6,0,0,0,6,6
MALLA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,6,10,0,10,6,16
MAPIRI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,8,24,59,35,67,59,126
MECAPACA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,4,5,0,0,4,5,9
MIZQUE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,10,59,65,91,75,150,225
MOCOMOCO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,13,8,23,8,36,44
MOJOCOYA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,8,16,20,17,28,45
MONTEAGUDO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,8,15,32,50,40,65,105
MONTERO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,103,188,198,224,301,412,713
MOROCHATA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,2,4,27,24,29,28,57
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,7,8,17,9,24,33
NAZACARA DE PACAJES,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,0,7,3,7,3,10
OCURI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,11,0,9,0,20,20
OKINAWA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,13,82,101,82,114,196
OMEREQUE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,3,9,52,52,55,61,116
ORURO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,48,753,111,159,159,912,1071
PADCAYA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,5,23,36,27,41,50,91
PADILLA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,4,7,9,7,13,20
PAILON,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,6,51,206,214,212,265,477
PALCA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,11,47,49,48,60,108
PALOS BLANCOS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,6,18,0,5,6,23,29
PAMPA AULLAGAS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,1,0,0,0,1,1
PAMPA GRANDE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,12,1,4,1,16,17
PAPEL PAMPA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,1,0,3,0,4,4
PASORAPA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,7,2,12,12,19,14,33
PATACAMAYA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,52,153,0,153,52,205
PAZÑA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,2,1,0,0,2,1,3
PELECHUCO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,6,0,4,0,10,10
POCOATA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,5,2,31,2,36,38
POCONA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,7,12,13,24,20,36,56
POJO (CBBA),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,2,79,64,79,66,145
POOPO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,2,8,0,2,2,10,12
PORCO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,14,0,0,0,14,14
POROMA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,29,66,139,132,168,198,366
PORONGO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,3,1,15,1,18,19
PORTACHUELO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,14,15,0,16,14,30
PORVENIR,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,8,2,5,3,13,16
POSTRER VALLE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,3,0,0,1,3,4
POTOSI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,13,296,13,24,26,320,346
PRESTO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,3,10,9,42,12,52,64
PUCARA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,2,3,0,3,2,5
PUCARANI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,7,19,79,87,86,106,192
PUERTO ACOSTA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,2,25,26,25,28,53
PUERTO CARABUCO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,4,42,55,42,59,101
PUERTO GONZALO MORENO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,3,10,6,6,9,16,25
PUERTO PEREZ,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,2,7,0,3,2,10,12
PUERTO QUIJARRO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,6,30,88,50,94,80,174
PUERTO RICO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,6,53,3,53,9,62
PUERTO SILES,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,3,0,1,0,4,4
PUERTO SUAREZ,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,8,9,129,0,137,9,146
PUERTO VILLARROEL,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,21,74,32,12,53,86,139
PUNA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,3,26,2,36,5,62,67
PUNATA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,49,50,28,59,77,109,186
QUIABAYA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,4,1,7,1,11,12
QUILLACOLLO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,56,122,274,290,330,412,742
QUIME,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,14,0,1,0,15,15
QUIRUSILLAS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,0,19,13,19,13,32
RAVELO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,2,20,3,9,5,29,34
REYES,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,13,0,23,0,36,36
RIBERALTA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,3,233,262,35,265,268,533
ROBORE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,14,7,307,79,321,86,407
RURRENABAQUE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,2,4,248,17,250,21,271
SABAYA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,2,0,1,1,3,4
SACABA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,22,215,270,288,292,503,795
SACABAMBA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,4,0,3,1,7,8
SACACA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,21,0,28,0,49,49
SAIPINA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,2,1,0,0,2,1,3
SALINAS DE GARCI MENDOZA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,1,1,3,1,4,5
SAMAIPATA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,8,7,4,8,12,20
SAN ANDRES,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,5,18,8,15,13,33,46
SAN ANTONIO DE ESMORUCO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,4,0,0,0,4,4
SAN ANTONIO DE LOMERIO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,18,9,26,9,44,53
SAN BENITO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,5,11,43,37,48,48,96
SAN BORJA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,3,59,3,8,6,67,73
SAN BUENA VENTURA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,2,4,10,1,12,5,17
SAN CARLOS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,8,25,4,2,12,27,39
SAN IGNACIO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,3,43,75,76,78,119,197
SAN IGNACIO DE VELASCO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,23,42,3,12,26,54,80
SAN JAVIER(BNI),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,2,28,4,28,6,34
SAN JAVIER(STC),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,8,0,4,0,12,12
SAN JOAQUIN,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,15,0,0,0,15,15
SAN JOSE DE CHIQUITOS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,15,0,1,1,16,17
SAN JUAN DE YAPACANI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,3,3,2,12,5,15,20
SAN JULIAN,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,6,23,102,125,108,148,256
SAN LORENZO(PND),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,0,0,6,0,6,6
SAN LORENZO(TJA),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,9,37,20,36,29,73,102
SAN LUCAS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,85,95,350,286,435,381,816
SAN MATIAS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,5,26,17,20,22,46,68
SAN MIGUEL DE VELASCO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,9,7,1,0,10,7,17
SAN PABLO DE LIPEZ,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,1,0,0,0,1,1
SAN PEDRO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,1,6,2,6,3,9
SAN PEDRO DE BUENA VISTA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,13,0,17,0,30,30
SAN PEDRO DE CURAHUARA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,10,0,4,1,14,15
SAN PEDRO DE QUEMES,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,1,0,0,0,1,1
SAN PEDRO DE TIQUINA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,0,6,8,7,8,15
SAN PEDRO(PND),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,0,1,1,1,1,2
SAN RAFAEL,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,0,45,42,45,42,87
SAN RAMON BENI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,5,0,0,0,5,5
SAN RAMON SCZ,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,5,0,0,0,5,5
SANTA ANA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,5,25,0,6,5,31,36
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,602,2375,904,731,1506,3106,4612
SANTA ROSA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,3,5,17,5,20,25
SANTA ROSA DEL SARA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,7,24,8,19,15,43,58
SANTIAGO DE CALLAPA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,4,0,2,0,6,6
SANTIAGO DE HUARI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,2,1,10,16,12,17,29
SANTIAGO DE HUATA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,2,3,2,7,4,10,14
SANTIAGO DE MACHACA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,2,3,2,3,4,7
SANTIVAÑES,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,8,9,21,9,29,18,47
SANTUARIO DE QUILLACAS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,0,0,0,1,0,1
SAPAHAQUI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,4,0,5,1,9,10
SENA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,11,0,0,0,11,11
SHINAOTA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,7,10,65,30,72,40,112
SICA SICA (VILLA AROMA),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,2,16,17,19,19,35,54
SICAYA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,1,3,0,4,1,5
SIPE SIPE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,73,112,60,119,133,231,364
SOPACHUY,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,1,2,27,3,28,31
SORACACHI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,6,1,4,2,10,12
SORATA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,12,61,101,62,113,175
SUCRE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,127,276,2530,2532,2657,2808,5465
TACACHI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,0,4,3,4,3,7
TACACOMA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,3,2,28,45,31,47,78
TACOBAMBA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,1,0,4,0,5,5
TACOPAYA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,8,34,25,35,33,68
TAHUA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,0,0,5,0,5,5
TAPACARI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,9,16,134,109,143,125,268
TARABUCO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,13,16,12,15,25,31,56
TARACO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,4,15,0,0,4,15,19
TARATA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,3,15,9,16,12,31,43
TARIJA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,172,500,148,196,320,696,1016
TARVITA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,6,6,22,24,28,30,58
TEOPONTE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,7,78,114,79,121,200
TIAWANACU,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,0,22,0,3,0,25,25
TINGUIPAYA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-03-01,1,10,0,8,1,18,19
