,group,variable,month,TOTAL HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD DENTRO,TOTAL HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD DENTRO,TOTAL HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTAL HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
CHALLAPATA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,0,2,0,0,0,2,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,0,1,0,0,0,1,1
COBIJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,1,2,0,0,1,2,3
COCAPATA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,2,2,0,0,2,2,4
CORQUE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,0,2,0,0,0,2,2
COTAGAITA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,1,1,0,0,1,1,2
COTOCA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,1,3,0,0,1,3,4
EL ALTO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,3,8,0,1,3,9,12
EL TORNO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,4,21,0,0,4,21,25
FILADELFIA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,0,1,0,0,0,1,1
LA GUARDIA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,0,1,0,1,0,2,2
LA PAZ,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,12,28,1,23,13,51,64
ORURO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,5,15,0,0,5,15,20
PORTACHUELO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,1,4,0,0,1,4,5
POTOSI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,1,1,0,0,1,1,2
PUERTO RICO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,0,2,0,0,0,2,2
PUERTO VILLARROEL,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,0,1,0,0,0,1,1
ROBORE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,1,0,0,0,1,0,1
SAMAIPATA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,0,1,0,0,0,1,1
SAN CARLOS,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,0,1,0,0,0,1,1
SAN LORENZO(TJA),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,9,26,0,0,9,26,35
SHINAOTA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,1,0,0,0,1,0,1
SUCRE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,8,8,0,0,8,8,16
TARIJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,6,35,0,0,6,35,41
TARVITA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,2,3,0,0,2,3,5
TRINIDAD,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,3,4,0,0,3,4,7
VILA VILA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,0,2,0,0,0,2,2
VILLA MONTES,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,1,0,0,0,1,0,1
YAPACANI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,1,1,0,0,1,1,2
BERMEJO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,1,1,0,0,1,1,2
BOYUIBE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,1,0,0,0,1,0,1
CABEZAS,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,0,1,0,0,0,1,1
CHALLAPATA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,1,0,0,1,1,1,2
COBIJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,2,1,0,0,2,1,3
COCAPATA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,0,0,0,2,0,2,2
COCHABAMBA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,4,7,0,0,4,7,11
CORQUE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,2,1,0,0,2,1,3
EL ALTO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,1,9,0,0,1,9,10
LA GUARDIA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,0,1,0,4,0,5,5
LA PAZ,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,8,10,0,0,8,10,18
LAJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,1,5,0,0,1,5,6
LLALLAGUA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,0,3,0,0,0,3,3
MOJOCOYA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,2,1,0,0,2,1,3
MONTEAGUDO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,1,0,0,0,1,0,1
MONTERO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,2,3,0,0,2,3,5
ORURO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,3,5,0,0,3,5,8
PASORAPA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,1,0,0,0,1,0,1
POTOSI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,4,21,0,0,4,21,25
PUCARA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,2,4,0,0,2,4,6
PUERTO VILLARROEL,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,2,3,0,0,2,3,5
ROBORE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,0,1,0,0,0,1,1
SAN CARLOS,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,0,2,0,0,0,2,2
SAN LORENZO(TJA),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,0,1,0,0,0,1,1
SANTA ANA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,11,23,0,0,11,23,34
SHINAOTA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,0,3,0,0,0,3,3
SUCRE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,3,2,0,0,3,2,5
TARIJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,3,11,0,0,3,11,14
TARVITA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,0,1,0,0,0,1,1
VALLEGRANDE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,0,5,0,0,0,5,5
VIACHA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,0,4,0,0,0,4,4
VILLA MONTES,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-08-01,0,13,0,0,0,13,13
AIQUILE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,0,1,0,0,0,1,1
AYATA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,1,2,0,0,1,2,3
BERMEJO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,1,2,0,2,1,4,5
CABEZAS,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,0,1,0,0,0,1,1
CHALLAPATA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,0,1,0,0,0,1,1
CHIMORE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,6,0,0,0,6,0,6
CHUMA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,1,1,0,1,1,2,3
COBIJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,0,1,0,0,0,1,1
COCAPATA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,1,1,1,0,2,1,3
COMARAPA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,1,0,0,0,1,0,1
COPACABANA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,0,2,0,0,0,2,2
EL ALTO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,1,9,0,0,1,9,10
HUACARETA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,2,0,0,0,2,0,2
INGAVI (HUMAITA),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,0,0,12,8,12,8,20
LA PAZ,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,7,18,5,7,12,25,37
LLALLAGUA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,1,0,0,0,1,0,1
MOCOMOCO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,2,1,0,0,2,1,3
MONTEAGUDO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,0,1,0,0,0,1,1
MONTERO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,0,2,0,0,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,1,0,0,0,1,0,1
ORURO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,9,20,0,1,9,21,30
POCONA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,1,2,0,0,1,2,3
POTOSI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,2,5,0,0,2,5,7
PUCARA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,1,0,0,0,1,0,1
PUERTO ACOSTA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,3,3,0,0,3,3,6
SAN CARLOS,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,0,1,0,0,0,1,1
SAN PEDRO DE TIQUINA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,0,0,0,1,0,1,1
SAN RAFAEL,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,5,7,0,0,5,7,12
SANTA ANA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,2,6,0,0,2,6,8
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,8,21,0,0,8,21,29
SHINAOTA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,1,0,0,0,1,0,1
SUCRE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,0,2,0,0,0,2,2
TARIJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,4,10,0,0,4,10,14
VILLA MONTES,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,1,1,0,0,1,1,2
VILLA TUNARI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,5,4,0,0,5,4,9
VILLAZON,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,0,1,0,0,0,1,1
YAPACANI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-09-01,0,0,7,5,7,5,12
ASCENCION DE GUARAYOS,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,1,1,0,0,1,1,2
BELLA FLOR,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,0,3,0,0,0,3,3
CALAMARCA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
CAMARGO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,2,3,0,0,2,3,5
CAMIRI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,2,6,0,0,2,6,8
CARACOLLO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
CHIMORE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,1,6,0,0,1,6,7
COCHABAMBA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,7,15,1,0,8,15,23
COLQUENCHA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,1,3,0,0,1,3,4
COMARAPA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,1,1,0,0,1,1,2
CURVA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,3,0,0,0,3,0,3
EL ALTO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,10,21,14,21,24,42,66
EL PUENTE(STC),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
HUACARETA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,1,0,0,0,1,0,1
HUANUNI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,1,6,0,0,1,6,7
HUARACAJE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,0,2,0,0,0,2,2
ICLA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,0,2,0,0,0,2,2
LA GUARDIA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,1,0,0,0,1,0,1
LA PAZ,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,8,16,0,0,8,16,24
MIZQUE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,2,4,0,0,2,4,6
MONTERO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,1,1,0,0,1,1,2
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,5,11,0,0,5,11,16
PAMPA GRANDE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,1,2,0,0,1,2,3
POCONA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,0,0,0,1,0,1,1
POROMA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,1,2,0,0,1,2,3
POTOSI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,6,14,0,0,6,14,20
PUCARANI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
SAN BORJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
SAN JULIAN,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
SANTA ANA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,3,6,0,0,3,6,9
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,4,386,0,20,4,406,410
SANTA ROSA DEL SARA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,1,1,0,0,1,1,2
SHINAOTA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
SUCRE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,6,15,0,0,6,15,21
TARIJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,6,1,0,0,6,1,7
TRINIDAD,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,2,1,0,0,2,1,3
UYUNI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,1,5,0,0,1,5,6
VALLEGRANDE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
VIACHA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,0,3,0,0,0,3,3
VILLA MONTES,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,0,1,0,0,0,1,1
VILLAZON,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,0,4,0,0,0,4,4
YACO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,5,3,0,0,5,3,8
YAPACANI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-10-01,1,0,0,0,1,0,1
ANDAMARCA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,3,0,0,0,3,0,3
ASCENCION DE GUARAYOS,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,1,0,0,0,1,0,1
BELLA FLOR,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,2,2,0,0,2,2,4
BUENA VISTA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,0,0,0,1,0,1,1
CAMARGO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,1,0,0,0,1,0,1
CHIMORE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,3,0,0,0,3,0,3
COBIJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,0,1,0,0,0,1,1
COCAPATA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,0,0,1,2,1,2,3
COCHABAMBA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,5,10,50,142,55,152,207
"COLCHA ""K""",otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,0,0,2,0,2,0,2
COMARAPA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,3,4,0,0,3,4,7
COTAGAITA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,4,21,63,101,67,122,189
EL PUENTE(STC),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,0,0,1,0,1,0,1
HUACHACALLA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,0,1,0,0,0,1,1
HUANUNI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,1,0,0,0,1,0,1
IXIAMAS,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,0,0,0,1,0,1,1
LA ASUNTA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,19,38,0,1,19,39,58
LLALLAGUA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,3,10,0,0,3,10,13
MACHACAMARCA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,0,0,5,5,5,5,10
MAGDALENA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,0,1,0,0,0,1,1
MONTEAGUDO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,0,0,2,1,2,1,3
MONTERO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,2,2,0,0,2,2,4
ORURO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,10,12,0,0,10,12,22
PAILON,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,0,0,3,3,3,3,6
PAMPA GRANDE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,0,2,0,0,0,2,2
POCONA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,1,0,0,2,1,2,3
PORCO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,0,0,1,1,1,1,2
POTOSI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,3,11,0,0,3,11,14
PUERTO RICO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,1,1,0,0,1,1,2
PUERTO VILLARROEL,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,1,3,0,0,1,3,4
ROBORE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,1,0,0,0,1,0,1
SAN BORJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,1,1,0,0,1,1,2
SAN CARLOS,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,1,0,0,0,1,0,1
SAN IGNACIO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,2,14,0,0,2,14,16
SAN LORENZO(PND),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,1,0,0,0,1,0,1
SAN LORENZO(TJA),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,0,0,1,0,1,0,1
SAN LUCAS,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,0,3,0,0,0,3,3
SAN MIGUEL DE VELASCO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,1,2,0,0,1,2,3
SANTA ANA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,1,14,0,0,1,14,15
SUCRE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,18,37,0,0,18,37,55
TARIJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,1,9,0,0,1,9,10
TARVITA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,1,1,0,0,1,1,2
TOLEDO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,0,1,0,0,0,1,1
TOMAVE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,1,1,0,0,1,1,2
TRINIDAD,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,3,0,0,0,3,0,3
URIONDO (A. CONCEPCION),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,0,1,0,0,0,1,1
VALLEGRANDE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,0,0,0,2,0,2,2
VILLA TUNARI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,1,0,0,1,1,1,2
YACUIBA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-11-01,4,0,0,0,4,0,4
BUENA VISTA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,0,2,0,0,0,2,2
CABEZAS,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,0,1,0,0,0,1,1
CAMARGO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,1,0,0,0,1,0,1
CAPINOTA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,0,1,0,0,0,1,1
CHALLAPATA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,2,0,1,3,3,3,6
CHIMORE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,1,1,0,0,1,1,2
CHOQUE COTA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,1,0,0,0,1,0,1
COBIJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,7,9,0,0,7,9,16
COMARAPA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,2,1,0,0,2,1,3
EL ALTO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,2,6,0,0,2,6,8
EL PUENTE(TJA),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,1,1,0,0,1,1,2
ENTRE RIOS TRJ,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,0,1,2,2,2,3,5
LA GUARDIA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-12-01,0,0,1,0,1,0,1
