,group,variable,month,TOTAL INFLUENZA ESTACIONAL EN MAYORES DE 65 AÑOS DENTRO,TOTAL INFLUENZA ESTACIONAL EN MAYORES DE 65 AÑOS DENTRO,TOTAL INFLUENZA ESTACIONAL EN MAYORES DE 65 AÑOS FUERA,TOTAL INFLUENZA ESTACIONAL EN MAYORES DE 65 AÑOS FUERA,TOTALES,TOTALES,TOTALES
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,9.0,9.0,11.0,9.0,20.0,18.0,38.0
CAMIRI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,55.0,95.0,47.0,90.0,102.0,185.0,287.0
CAPINOTA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,26.0,24.0,345.0,229.0,371.0,253.0,624.0
CAQUIAVIRI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,103.0,77.0,66.0,70.0,169.0,147.0,316.0
CARACOLLO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,26.0,24.0,53.0,68.0,79.0,92.0,171.0
CARANAVI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,128.0,73.0,98.0,76.0,226.0,149.0,375.0
CARANGAS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,0.0,0.0,9.0,11.0,9.0,11.0,20.0
CARAPARI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,6.0,5.0,87.0,104.0,93.0,109.0,202.0
CARIPUYO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,4.0,0.0,81.0,159.0,85.0,159.0,244.0
CARMEN RIVERO TORREZ,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,20.0,9.0,0.0,0.0,20.0,9.0,29.0
CATACORA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,12.0,8.0,18.0,26.0,30.0,34.0,64.0
CHACARILLA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,2.0,4.0,35.0,28.0,37.0,32.0,69.0
CHALLAPATA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,26.0,31.0,142.0,123.0,168.0,154.0,322.0
CHAQUI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,28.0,40.0,80.0,152.0,108.0,192.0,300.0
CHARAGUA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,21.0,40.0,83.0,107.0,104.0,147.0,251.0
CHARAÑA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,0.0,0.0,12.0,11.0,12.0,11.0,23.0
CHAYANTA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,65.0,68.0,212.0,344.0,277.0,412.0,689.0
CHIMORE,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,7.0,3.0,46.0,26.0,53.0,29.0,82.0
CHIPAYA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,0.0,0.0,11.0,6.0,11.0,6.0,17.0
CHOQUE COTA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,4.0,8.0,26.0,19.0,30.0,27.0,57.0
CHUA COCANI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,2.0,3.0,10.0,14.0,12.0,17.0,29.0
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,32.0,21.0,13.0,16.0,45.0,37.0,82.0
CHUMA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,7.0,4.0,48.0,52.0,55.0,56.0,111.0
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,0.0,4.0,45.0,60.0,45.0,64.0,109.0
CKOCHAS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,41.0,30.0,78.0,110.0,119.0,140.0,259.0
CLIZA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,25.0,34.0,190.0,338.0,215.0,372.0,587.0
COBIJA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,12.0,11.0,30.0,66.0,42.0,77.0,119.0
COCAPATA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,44.0,39.0,134.0,161.0,178.0,200.0,378.0
COCHABAMBA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,2066.0,2293.0,466.0,587.0,2532.0,2880.0,5412.0
COIPASA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,0.0,0.0,16.0,13.0,16.0,13.0,29.0
COLCAPIRHUA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,102.0,116.0,109.0,130.0,211.0,246.0,457.0
"COLCHA ""K""",otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,78.0,79.0,79.0,100.0,157.0,179.0,336.0
COLLANA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,4.0,4.0,79.0,73.0,83.0,77.0,160.0
COLOMI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,58.0,80.0,39.0,34.0,97.0,114.0,211.0
COLPA BELGICA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,4.0,4.0,1.0,4.0,5.0,8.0,13.0
COLQUECHACA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,112.0,105.0,555.0,717.0,667.0,822.0,1489.0
COLQUENCHA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,25.0,23.0,11.0,13.0,36.0,36.0,72.0
COLQUIRI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,9.0,5.0,155.0,125.0,164.0,130.0,294.0
COMANCHE,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,30.0,25.0,22.0,15.0,52.0,40.0,92.0
COMARAPA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,12.0,22.0,103.0,105.0,115.0,127.0,242.0
COMBAYA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,1.0,1.0,21.0,20.0,22.0,21.0,43.0
CONCEPCION,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,30.0,36.0,10.0,12.0,40.0,48.0,88.0
COPACABANA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,33.0,41.0,63.0,71.0,96.0,112.0,208.0
CORIPATA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,44.0,35.0,77.0,83.0,121.0,118.0,239.0
CORO CORO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,2.0,1.0,80.0,66.0,82.0,67.0,149.0
COROICO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,38.0,33.0,73.0,60.0,111.0,93.0,204.0
CORQUE,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,2.0,0.0,64.0,99.0,66.0,99.0,165.0
COTAGAITA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,35.0,56.0,176.0,280.0,211.0,336.0,547.0
COTOCA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,246.0,199.0,24.0,25.0,270.0,224.0,494.0
CRUZ DE MACHACAMARCA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,0.0,0.0,2.0,8.0,2.0,8.0,10.0
CUATRO CAÑADAS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,14.0,15.0,47.0,47.0,61.0,62.0,123.0
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,0.0,0.0,22.0,22.0,22.0,22.0,44.0
CUEVO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,0.0,0.0,10.0,20.0,10.0,20.0,30.0
CULPINA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,41.0,56.0,38.0,77.0,79.0,133.0,212.0
CURAHUARA DE CARANGAS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,8.0,14.0,34.0,60.0,42.0,74.0,116.0
CURVA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,1.0,2.0,14.0,29.0,15.0,31.0,46.0
DESAGUADERO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,10.0,9.0,53.0,63.0,63.0,72.0,135.0
EL ALTO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,824.0,949.0,509.0,571.0,1333.0,1520.0,2853.0
EL CHORO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,1.0,2.0,15.0,12.0,16.0,14.0,30.0
EL PUENTE(STC),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,13.0,11.0,25.0,14.0,38.0,25.0,63.0
EL PUENTE(TJA),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,21.0,24.0,106.0,190.0,127.0,214.0,341.0
EL TORNO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,197.0,244.0,115.0,132.0,312.0,376.0,688.0
EL VILLAR,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,20.0,37.0,13.0,32.0,33.0,69.0,102.0
ENTRE RIOS TRJ,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,19.0,19.0,281.0,371.0,300.0,390.0,690.0
ENTRE RIOS CBBA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,41.0,31.0,17.0,19.0,58.0,50.0,108.0
ESCARA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,0.0,0.0,5.0,6.0,5.0,6.0,11.0
ESCOMA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,9.0,6.0,42.0,50.0,51.0,56.0,107.0
ESMERALDA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,0.0,0.0,26.0,23.0,26.0,23.0,49.0
EUCALIPTUS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,1.0,0.0,19.0,32.0,20.0,32.0,52.0
EUREKA (SANTOS MERCADO),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,1.0,0.0,7.0,2.0,8.0,2.0,10.0
FERNANDEZ ALONSO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,0.0,0.0,14.0,10.0,14.0,10.0,24.0
FILADELFIA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,7.0,2.0,7.0,4.0,14.0,6.0,20.0
GENERAL SAAVEDRA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,18.0,25.0,15.0,33.0,33.0,58.0,91.0
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,5.0,4.0,14.0,15.0,19.0,19.0,38.0
GUANAY,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,23.0,26.0,50.0,49.0,73.0,75.0,148.0
GUAQUI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,6.0,8.0,58.0,76.0,64.0,84.0,148.0
GUAYARAMERIN,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,52.0,50.0,55.0,31.0,107.0,81.0,188.0
GUTIERREZ,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,0.0,4.0,5.0,4.0,5.0,8.0,13.0
HUACARETA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,17.0,32.0,35.0,27.0,52.0,59.0,111.0
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,4.0,9.0,10.0,29.0,14.0,38.0,52.0
HUACHACALLA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,5.0,3.0,19.0,26.0,24.0,29.0,53.0
HUANUNI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,11.0,18.0,58.0,118.0,69.0,136.0,205.0
HUARACAJE,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,7.0,7.0,0.0,0.0,7.0,7.0,14.0
HUARINA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,14.0,12.0,108.0,136.0,122.0,148.0,270.0
HUATAJATA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,0.0,0.0,32.0,66.0,32.0,66.0,98.0
HUAYLLAMARCA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,8.0,18.0,57.0,67.0,65.0,85.0,150.0
HUMANATA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,3.0,2.0,11.0,21.0,14.0,23.0,37.0
ICHOCA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,5.0,1.0,87.0,55.0,92.0,56.0,148.0
ICLA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,8.0,19.0,16.0,48.0,24.0,67.0,91.0
INCAHUASI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,26.0,29.0,30.0,44.0,56.0,73.0,129.0
INQUISIVI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,22.0,18.0,119.0,93.0,141.0,111.0,252.0
IRUPANA (VILLA DE LANZA),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,10.0,13.0,97.0,77.0,107.0,90.0,197.0
IXIAMAS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,32.0,2.0,6.0,4.0,38.0,6.0,44.0
JESUS DE MACHACA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,30.0,41.0,76.0,79.0,106.0,120.0,226.0
LA ASUNTA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,23.0,13.0,36.0,28.0,59.0,41.0,100.0
LA GUARDIA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,84.0,92.0,46.0,39.0,130.0,131.0,261.0
LA PAZ,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,1453.0,1944.0,497.0,413.0,1950.0,2357.0,4307.0
LA RIVERA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,2.0,0.0,4.0,9.0,6.0,9.0,15.0
LAGUNILLAS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,2.0,10.0,33.0,42.0,35.0,52.0,87.0
LAJA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,23.0,22.0,168.0,149.0,191.0,171.0,362.0
LAS CARRERAS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,9.0,20.0,29.0,37.0,38.0,57.0,95.0
LLALLAGUA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,84.0,72.0,147.0,199.0,231.0,271.0,502.0
LLICA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,5.0,8.0,52.0,64.0,57.0,72.0,129.0
LORETO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,2.0,2.0,1.0,1.0,3.0,3.0,6.0
LURIBAY,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,8.0,8.0,41.0,70.0,49.0,78.0,127.0
MACHACAMARCA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,1.0,2.0,10.0,5.0,11.0,7.0,18.0
MACHARETI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,1.0,0.0,23.0,21.0,24.0,21.0,45.0
MAGDALENA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,0.0,0.0,4.0,4.0,4.0,4.0,8.0
MAIRANA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,2.0,3.0,1.0,5.0,3.0,8.0,11.0
MALLA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,0.0,0.0,53.0,40.0,53.0,40.0,93.0
MAPIRI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,14.0,14.0,17.0,23.0,31.0,37.0,68.0
MECAPACA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,66.0,41.0,73.0,73.0,139.0,114.0,253.0
MINEROS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,1.0,3.0,7.0,12.0,8.0,15.0,23.0
MIZQUE,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,28.0,31.0,90.0,111.0,118.0,142.0,260.0
MOCOMOCO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,44.0,26.0,93.0,95.0,137.0,121.0,258.0
MOJINETE,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,0.0,0.0,9.0,8.0,9.0,8.0,17.0
MOJOCOYA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,5.0,3.0,23.0,22.0,28.0,25.0,53.0
MONTEAGUDO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,43.0,43.0,107.0,136.0,150.0,179.0,329.0
MONTERO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,36.0,67.0,101.0,111.0,137.0,178.0,315.0
MORO MORO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,7.0,5.0,15.0,15.0,22.0,20.0,42.0
MOROCHATA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,8.0,17.0,110.0,131.0,118.0,148.0,266.0
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,10.0,3.0,2.0,4.0,12.0,7.0,19.0
NAZACARA DE PACAJES,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,5.0,6.0,0.0,0.0,5.0,6.0,11.0
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,7.0,6.0,4.0,1.0,11.0,7.0,18.0
OCURI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,13.0,13.0,66.0,84.0,79.0,97.0,176.0
OKINAWA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,48.0,38.0,6.0,7.0,54.0,45.0,99.0
OMEREQUE,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,2.0,4.0,9.0,12.0,11.0,16.0,27.0
ORURO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,163.0,241.0,348.0,260.0,511.0,501.0,1012.0
PADCAYA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,93.0,104.0,176.0,203.0,269.0,307.0,576.0
PADILLA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,20.0,22.0,76.0,96.0,96.0,118.0,214.0
PAILON,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,39.0,34.0,41.0,443.0,80.0,477.0,557.0
PALCA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,49.0,53.0,62.0,68.0,111.0,121.0,232.0
PALOS BLANCOS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,30.0,29.0,144.0,115.0,174.0,144.0,318.0
PAMPA AULLAGAS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,0.0,2.0,21.0,18.0,21.0,20.0,41.0
PAMPA GRANDE,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,37.0,60.0,79.0,108.0,116.0,168.0,284.0
PAPEL PAMPA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,30.0,20.0,188.0,69.0,218.0,89.0,307.0
PASORAPA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,0.0,0.0,106.0,147.0,106.0,147.0,253.0
PATACAMAYA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,7.0,4.0,13.0,15.0,20.0,19.0,39.0
PAZÑA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,0.0,1.0,18.0,28.0,18.0,29.0,47.0
PELECHUCO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,3.0,8.0,29.0,30.0,32.0,38.0,70.0
POCOATA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,12.0,14.0,366.0,426.0,378.0,440.0,818.0
POCONA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,65.0,84.0,117.0,198.0,182.0,282.0,464.0
POJO (CBBA),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,11.0,14.0,34.0,45.0,45.0,59.0,104.0
POOPO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,2.0,3.0,26.0,26.0,28.0,29.0,57.0
PORCO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,5.0,20.0,55.0,78.0,60.0,98.0,158.0
POROMA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,53.0,56.0,98.0,86.0,151.0,142.0,293.0
PORONGO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,36.0,45.0,60.0,38.0,96.0,83.0,179.0
PORTACHUELO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,25.0,31.0,1.0,1.0,26.0,32.0,58.0
PORVENIR,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,2.0,1.0,4.0,5.0,6.0,6.0,12.0
POSTRER VALLE,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,15.0,20.0,5.0,4.0,20.0,24.0,44.0
POTOSI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,377.0,489.0,238.0,320.0,615.0,809.0,1424.0
PRESTO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,6.0,17.0,53.0,75.0,59.0,92.0,151.0
PUCARA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,1.0,3.0,0.0,4.0,1.0,7.0,8.0
PUCARANI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,69.0,58.0,227.0,269.0,296.0,327.0,623.0
PUERTO ACOSTA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,21.0,17.0,112.0,107.0,133.0,124.0,257.0
PUERTO CARABUCO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,19.0,12.0,136.0,126.0,155.0,138.0,293.0
PUERTO GONZALO MORENO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,6.0,2.0,15.0,16.0,21.0,18.0,39.0
PUERTO PEREZ,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,4.0,6.0,105.0,138.0,109.0,144.0,253.0
PUERTO RICO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,5.0,2.0,12.0,7.0,17.0,9.0,26.0
PUERTO SILES,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,0.0,0.0,10.0,5.0,10.0,5.0,15.0
PUERTO SUAREZ,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,25.0,21.0,3.0,8.0,28.0,29.0,57.0
PUERTO VILLARROEL,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,48.0,46.0,114.0,67.0,162.0,113.0,275.0
PUNA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,34.0,61.0,293.0,411.0,327.0,472.0,799.0
PUNATA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,89.0,87.0,282.0,432.0,371.0,519.0,890.0
QUIABAYA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,13.0,4.0,25.0,28.0,38.0,32.0,70.0
QUILLACOLLO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,332.0,330.0,364.0,557.0,696.0,887.0,1583.0
QUIME,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,12.0,26.0,34.0,37.0,46.0,63.0,109.0
QUIRUSILLAS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,1.0,4.0,0.0,0.0,1.0,4.0,5.0
RAVELO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,35.0,49.0,323.0,390.0,358.0,439.0,797.0
RIBERALTA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,38.0,31.0,19.0,21.0,57.0,52.0,109.0
ROBORE,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,19.0,27.0,9.0,5.0,28.0,32.0,60.0
RURRENABAQUE,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SABAYA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,9.0,12.0,31.0,54.0,40.0,66.0,106.0
SACABA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,138.0,230.0,497.0,624.0,635.0,854.0,1489.0
SACABAMBA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,1.0,15.0,26.0,37.0,27.0,52.0,79.0
SACACA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,16.0,16.0,131.0,230.0,147.0,246.0,393.0
SAIPINA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,22.0,19.0,6.0,7.0,28.0,26.0,54.0
SALINAS DE GARCI MENDOZA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,24.0,25.0,176.0,256.0,200.0,281.0,481.0
SAMAIPATA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,36.0,32.0,24.0,18.0,60.0,50.0,110.0
SAN AGUSTIN,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,2.0,0.0,18.0,17.0,20.0,17.0,37.0
SAN ANDRES,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,4.0,3.0,75.0,55.0,79.0,58.0,137.0
SAN ANDRES DE MACHACA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,0.0,0.0,16.0,15.0,16.0,15.0,31.0
SAN ANTONIO DE ESMORUCO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,10.0,8.0,23.0,27.0,33.0,35.0,68.0
SAN ANTONIO DE LOMERIO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,10.0,14.0,28.0,39.0,38.0,53.0,91.0
SAN BENITO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,3.0,5.0,117.0,179.0,120.0,184.0,304.0
SAN BORJA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,7.0,9.0,15.0,17.0,22.0,26.0,48.0
SAN BUENA VENTURA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,43.0,49.0,19.0,24.0,62.0,73.0,135.0
SAN CARLOS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,35.0,54.0,12.0,12.0,47.0,66.0,113.0
SAN IGNACIO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,61.0,77.0,6.0,7.0,67.0,84.0,151.0
SAN IGNACIO DE VELASCO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,135.0,149.0,32.0,29.0,167.0,178.0,345.0
SAN JAVIER(BNI),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,4.0,3.0,44.0,32.0,48.0,35.0,83.0
SAN JAVIER(STC),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,10.0,11.0,0.0,0.0,10.0,11.0,21.0
SAN JOAQUIN,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-06-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
