,group,variable,month,TOTAL DT 5TA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 5TA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 5TA. DOSIS DE 10 A 49 AÑOS FUERA,TOTAL DT 5TA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
ALTO BENI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,2,6,22,34,24,40,64
ANCORAIMES,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,13,7,13,7,20
ANDAMARCA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,1,0,1,0,2,2
ANTEQUERA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,6,28,6,28,34
APOLO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,3,0,5,0,8,8
ARAMPAMPA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,2,7,19,8,21,29
ARANI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,2,1,5,8,7,9,16
ARBIETO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,2,2,9,2,11,13
ARQUE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,3,0,1,0,4,4
ASCENCION DE GUARAYOS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,15,1,3,2,18,20
ATOCHA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,1,27,68,27,69,96
AYATA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,3,1,10,1,13,14
BATALLAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,9,23,14,23,23,46
BELEN DE ANDAMARCA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,5,16,5,16,21
BELEN DE URMIRI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,2,0,2,2
BELLA FLOR,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,1,0,2,0,3,3
BERMEJO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,3,72,75,72,78,150
BETANZOS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,8,0,8,8
BOLIVAR,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,1,0,1,1
BOLPEBRA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,0,2,10,3,10,13
BOYUIBE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,1,17,8,17,9,26
BUENA VISTA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,7,38,68,128,75,166,241
CABEZAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,2,7,24,37,26,44,70
CAIROMA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,1,1,3,1,4,5
"CAIZA ""D""",otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,26,6,26,6,32
CAJUATA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,2,0,0,0,2,2
CALAMARCA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,2,0,2,2
CAMARGO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,4,13,16,36,20,49,69
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,1,0,9,0,10,10
CAMIRI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,10,12,45,56,55,68,123
CAPINOTA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,3,63,81,63,84,147
CAQUIAVIRI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,1,0,1,1
CARACOLLO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,0,22,52,23,52,75
CARANAVI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,4,5,17,6,21,27
CARANGAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,2,0,2,2
CARAPARI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,5,0,25,62,30,62,92
CARIPUYO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,1,28,22,28,23,51
CARMEN RIVERO TORREZ,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,2,1,11,22,13,23,36
CHALLAPATA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,1,20,28,20,29,49
CHARAGUA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,5,5,8,5,13,18
CHARAÑA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,2,1,2,1,3
CHAYANTA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,1,0,1,1
CHIMORE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,4,4,1,4,5,9
CHIPAYA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,11,12,11,12,23
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,13,23,13,23,36
CHUMA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,3,4,3,4,7
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,1,3,1,3,4
CKOCHAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,8,18,0,28,8,46,54
CLIZA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,6,58,64,59,70,129
COBIJA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,2,3,26,89,28,92,120
COCAPATA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,2,0,2,2
COCHABAMBA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,20,77,293,358,313,435,748
COIPASA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,3,6,3,6,9
COLCAPIRHUA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,5,14,8,19,13,33,46
"COLCHA ""K""",otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,9,21,16,56,25,77,102
COLLANA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,1,0,1,1
COLOMI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,3,0,2,1,5,6
COLPA BELGICA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,2,9,54,9,56,65
COLQUECHACA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,4,0,4,4
COLQUENCHA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,2,2,4,2,6,8
COLQUIRI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,12,0,12,12
COMANCHE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,1,4,1,4,5
COMARAPA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,7,70,73,71,80,151
CONCEPCION,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,16,536,686,536,702,1238
COPACABANA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,2,6,22,6,24,30
CORIPATA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,1,0,3,0,4,4
CORO CORO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,1,1,6,1,7,8
COROICO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,0,0,1,1,1,2
CORQUE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,13,7,13,7,20
COTAGAITA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,2,7,30,77,32,84,116
COTOCA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,17,43,2324,2470,2341,2513,4854
CUATRO CAÑADAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,4,33,60,34,64,98
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,1,0,1,1
CUEVO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,4,2,13,2,17,19
CULPINA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,7,0,2,1,9,10
CURAHUARA DE CARANGAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,14,0,14,14
DESAGUADERO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,11,0,11,11
EL ALTO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,71,276,1090,1818,1161,2094,3255
EL CHORO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,1,0,4,0,5,5
EL PUENTE(STC),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,1,0,3,1,4,5
EL PUENTE(TJA),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,3,1,36,1,39,40
EL TORNO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,19,36,429,549,448,585,1033
EL VILLAR,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,2,0,2,2
ENTRE RIOS TRJ,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,3,55,121,55,124,179
ENTRE RIOS CBBA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,4,11,0,5,4,16,20
ESMERALDA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,1,0,1,1
EUCALIPTUS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,1,17,8,17,9,26
EUREKA (SANTOS MERCADO),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,2,0,0,0,2,0,2
FERNANDEZ ALONSO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,3,5,3,5,8
FILADELFIA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,2,2,5,2,7,9
GENERAL SAAVEDRA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,6,9,53,9,59,68
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,8,12,8,12,20
GUANAY,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,1,8,22,8,23,31
GUAQUI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,2,3,10,37,12,40,52
GUAYARAMERIN,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,6,25,68,26,74,100
GUTIERREZ,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,5,0,1,0,6,6
HUACARETA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,2,7,16,22,18,29,47
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,1,0,3,1,4,5
HUANUNI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,5,12,51,13,56,69
HUARINA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,3,1,3,1,4
HUATAJATA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,1,0,1,0,1
HUAYLLAMARCA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,1,2,0,2,1,3
ICHOCA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,1,0,1,1
ICLA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,4,0,4,4
INCAHUASI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,1,4,1,4,5
INGAVI (HUMAITA),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,1,0,1,0,1
INQUISIVI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,15,16,15,16,31
IRUPANA (VILLA DE LANZA),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,1,27,29,27,30,57
IXIAMAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,3,0,5,0,8,8
JESUS DE MACHACA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,4,54,55,55,59,114
LA ASUNTA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,3,0,3,3
LA GUARDIA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,27,93,2318,2834,2345,2927,5272
LA PAZ,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,16,200,200,452,216,652,868
LAGUNILLAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,2,8,16,8,18,26
LAJA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,2,35,16,35,18,53
LICOMA PAMPA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,2,0,2,2
LLALLAGUA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,638,952,638,952,1590
LORETO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,5,7,5,2,10,9,19
LURIBAY,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,1,5,1,5,6
MACHACAMARCA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,3,1,5,1,8,9
MACHARETI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,2,3,3,31,5,34,39
MAGDALENA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,3,13,3,13,16
MAIRANA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,3,5,194,5,197,202
MAPIRI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,2,0,6,0,8,8
MECAPACA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,3,0,3,3
MINEROS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,0,12,94,13,94,107
MIZQUE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,8,3,8,4,16,20
MOCOMOCO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,8,0,12,0,20,20
MOJINETE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,7,0,7,7
MOJOCOYA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,2,8,3,12,5,20,25
MONTEAGUDO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,7,17,217,220,224,237,461
MONTERO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,181,82,58,93,239,175,414
MORO MORO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,1,2,7,3,8,11
MOROCHATA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,1,0,2,0,3,3
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,5,0,5,5
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,4,7,9,8,13,21
OKINAWA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,3,31,70,31,73,104
OMEREQUE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,3,1,6,1,9,10
ORURO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,2,46,75,276,77,322,399
PADCAYA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,0,10,18,11,18,29
PADILLA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,6,1,7,13,13,14,27
PAILON,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,6,2,45,80,51,82,133
PALCA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,1,3,3,3,4,7
PALOS BLANCOS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,22,1,3,1,25,26
PAMPA AULLAGAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,2,0,2,0,2
PAMPA GRANDE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,11,27,79,28,90,118
PAPEL PAMPA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,1,0,3,0,4,4
PASORAPA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,2,4,2,4,6
PATACAMAYA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,2,0,4,0,6,6
PAZÑA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,2,16,2,16,18
PELECHUCO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,1,0,1,0,2,2
POCOATA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,14,29,14,29,43
POCONA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,3,14,11,15,14,29
POJO (CBBA),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,3,0,3,1,6,7
POOPO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,4,0,0,0,4,4
PORCO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,1,0,1,0,2,2
POROMA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,6,0,6,6
PORONGO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,5,11,152,242,157,253,410
PORTACHUELO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,8,58,78,58,86,144
PORVENIR,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,1,4,18,4,19,23
POSTRER VALLE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,22,0,0,1,22,23
POTOSI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,7,42,10,54,17,96,113
PRESTO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,2,43,37,44,39,83
PUCARA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,38,20,0,20,38,58
PUCARANI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,9,21,9,21,30
PUERTO ACOSTA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,1,0,1,1
PUERTO CARABUCO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,5,0,5,0,5
PUERTO GONZALO MORENO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,3,7,3,7,10
PUERTO QUIJARRO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,1,16,32,16,33,49
PUERTO RICO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,2,4,8,4,10,14
PUERTO SUAREZ,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,15,56,15,56,71
PUERTO VILLARROEL,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,2,14,6,29,8,43,51
PUNA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,33,23,33,23,56
PUNATA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,5,0,5,1,10,11
QUIABAYA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,1,0,1,1
QUILLACOLLO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,9,23,21,63,30,86,116
QUIME,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,27,69,27,69,96
QUIRUSILLAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,1,14,1,14,15
RAVELO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,2,24,48,24,50,74
REYES,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,18,40,18,40,58
RIBERALTA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,1,6,9,6,10,16
ROBORE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,2,6,6,3,8,9,17
RURRENABAQUE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,0,0,1,1,1,2
SABAYA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,1,0,1,1
SACABA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,2,15,23,47,25,62,87
SACABAMBA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,5,7,5,7,10,17
SACACA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,1,25,1,25,26
SAIPINA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,10,0,10,10
SALINAS DE GARCI MENDOZA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,2,0,4,0,6,6
SAMAIPATA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,18,18,119,19,137,156
SAN ANDRES,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,4,0,2,0,6,6
SAN ANDRES DE MACHACA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,16,5,16,5,21
SAN ANTONIO DE ESMORUCO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,1,8,1,8,9
SAN ANTONIO DE LOMERIO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,6,1,3,1,9,10
SAN BENITO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,3,2,18,29,21,31,52
SAN BORJA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,5,167,209,168,214,382
SAN BUENA VENTURA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,3,21,31,22,34,56
SAN CARLOS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,3,15,107,93,110,108,218
SAN IGNACIO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,12,9,36,10,48,58
SAN IGNACIO DE VELASCO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,100,211,141,438,241,649,890
SAN JAVIER(BNI),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,2,0,2,0,4,4
SAN JAVIER(STC),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,6,13,87,14,93,107
SAN JOAQUIN,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,1,0,1,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,46,4,51,136,97,140,237
SAN JUAN DE YAPACANI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,3,19,3,19,22
SAN JULIAN,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,5,1,47,1,52,53
SAN LORENZO(TJA),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,2,7,23,7,25,32
SAN LUCAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,8,30,41,31,49,80
SAN MATIAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,5,11,46,11,51,62
SAN MIGUEL DE VELASCO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,11,16,3,17,14,33,47
SAN PABLO DE LIPEZ,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,6,0,6,6
SAN PEDRO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,3,0,22,0,25,25
SAN PEDRO DE BUENA VISTA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,12,0,12,12
SAN PEDRO DE CURAHUARA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,2,0,0,0,2,2
SAN PEDRO DE TIQUINA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,7,11,7,11,18
SAN PEDRO(PND),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,43,44,43,44,87
SAN RAFAEL,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,6,51,53,118,59,169,228
SAN RAMON BENI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,0,1,0,1,1
SAN RAMON SCZ,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,1,1,7,89,8,90,98
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,150,359,2619,3620,2769,3979,6748
SANTA ROSA DEL SARA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,2,2,17,73,19,75,94
SANTIAGO DE HUARI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-04-01,0,0,7,21,7,21,28
