,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,0,1,1
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,0,1,1
SAN JAVIER(BNI),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,1,2
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,3,0,3
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,0,2,2
SAN MATIAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,0,1,1
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,95,61,156
SAPAHAQUI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
SENA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,0,1,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,2,4,6
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,0,1,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,6,8,14
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,1,2
TACOBAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,0,1,1
TAPACARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
TARACO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,0,1,1
TARATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,4,4,8
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
TIAWANACU,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,0,1,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,3,1,4
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,3,1,4
TOMAVE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,4,2,6
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
VACAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,2,0,2
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,4,1,5
VILLA RIVERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,6,0,6
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,2,3
VITICHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,0,1,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,2,2,4
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,7,8,15
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,2,0,2
YOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
YUNCHARA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,0,1,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,2,2
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,2,1,3
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,2,1,3
AYATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,2,1,3
AZURDUY,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,1,1
BATALLAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,1,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,2,2
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,1,2
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,1,1
"CAIZA ""D""",tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,1,1
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,4,2,6
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
CHAQUI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,2,2
CHARAÑA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,3,1,4
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
CKOCHAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,3,3
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,4,0,4
COCAPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,12,17,29
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,3,0,3
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
COLQUENCHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,2,3
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,1,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,2,3
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,4,0,4
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,33,21,54
EL PUENTE(STC),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,1,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,5,2,7
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,5,4,9
FILADELFIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,5,1,6
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,1,2
INQUISIVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,1,1
JESUS DE MACHACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,4,0,4
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,5,4,9
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,80,31,111
LAJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,1,2
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,2,2
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
MOCOMOCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,11,5,16
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,9,6,15
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,1,1
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,5,1,6
PAMPA GRANDE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
PELECHUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,1,2
PORCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,1,2
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,9,1,10
PUERTO ACOSTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,7,3,10
PUNA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,2,2,4
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,3,2,5
QUIME,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,2,0,2
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,8,1,9
ROBORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,2,3,5
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,7,5,12
SAIPINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,2,0,2
SAN ANDRES,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,3,0,3
SAN BENITO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,1,1
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,2,2
SAN JOAQUIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,1,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,3,0,3
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
SAN MATIAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,1,2
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,1,1
SANTA ANA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,84,58,142
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,2,0,2
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,3,4
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,5,1,6
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,9,3,12
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
TARACO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
TARATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,2,2,4
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,2,1,3
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,3,0,3
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,9,5,14
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
URUBICHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,1,2
UYUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,1,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,1,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,4,1,5
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,7,1,8
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,1,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,4,6,10
YACO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,2,4,6
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,7,1,8
YOTALA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-04-01,1,0,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,4,0,4
AUCAPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,2,0,2
AYO AYO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,1,2
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,0,1,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,1,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,7,1,8
CHAQUI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,0,1,1
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,0,1,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,2,1,3
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,7,2,9
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,15,8,23
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,3,1,4
"COLCHA ""K""",tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,0,1,1
COLLANA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,0,1,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,1,2
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,4,1,5
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,2,0,2
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,4,5
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
CURAHUARA DE CARANGAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
DESAGUADERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,36,18,54
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,5,0,5
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,2,0,2
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,3,1,4
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
INQUISIVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,2,2,4
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,5,0,5
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,2,3
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,5,2,7
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,51,24,75
LICOMA PAMPA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,2,0,2
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,3,0,3
MAGDALENA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,7,0,7
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,5,3,8
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,6,4,10
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,0,1,1
PAMPA GRANDE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
PORCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,0,1,1
POROMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,0,2,2
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,26,8,34
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,2,3
PUERTO RICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,2,5,7
PUNA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,2,0,2
RAVELO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,6,2,8
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,6,3,9
SAMAIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
SAN ANDRES,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,5,1,6
SAN JUAN DE YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,2,3,5
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
SAN PEDRO DE CURAHUARA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
SANTA ANA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,74,50,124
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,3,2,5
SANTIAGO DE HUARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,2,0,2
SICA SICA (VILLA AROMA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,2,1,3
SORACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,0,1,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,3,0,3
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,7,3,10
TAPACARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,1,2
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,4,3,7
TIAWANACU,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,4,0,4
TIRAQUE (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,0,1,1
TOTORA(CBBA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,5,1,6
UMALA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
URUBICHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
UYUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,1,1,2
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,3,1,4
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,5,1,6
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,3,1,4
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,2,3,5
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,8,2,10
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,2,0,2
YOTALA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-05-01,0,1,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,2,0,2
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,2,0,2
ARQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,1,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,3,1,4
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,1,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
CAIROMA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,1,1
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,2,1,3
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,3,3,6
CHAQUI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,1,2
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,4,1,5
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,4,1,5
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,3,0,3
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,3,2,5
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,28,10,38
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,1,1
COLQUENCHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,1,1
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,0,2,2
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,1,2
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,4,2,6
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,27,20,47
EL PUENTE(TJA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,4,5
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-06-01,1,0,1
