,group,variable,month,N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
HUANUNI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,2,0,2
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,2,1,3
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,6,2,8
LLALLAGUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,0,1,1
MAPIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,1,1,2
MINEROS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,1,1,2
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,2,10,12
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,0,1,1
POROMA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,0,1,1
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,2,2,4
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,7,1,8
RIBERALTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,2,2,4
RURRENABAQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,2,1,3
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,0,2,2
SAN BORJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,4,3,7
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,0,1,1
SAN JULIAN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,1,0,1
SAN LUCAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,13,20,33
SENA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,0,1,1
SHINAOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,0,1,1
SUCRE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,0,2,2
TAPACARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,1,0,1
TARABUCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,1,1,2
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,3,2,5
TRINIDAD,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,2,0,2
UMALA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,1,0,1
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,3,0,3
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,3,1,4
APOLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,1,0,1
BERMEJO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,3,0,3
BOYUIBE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,1,0,1
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,1,1,2
CARAPARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,2,0,2
CHIMORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,1,1,2
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,10,4,14
COLCAPIRHUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,1,1,2
COLQUECHACA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,1,0,1
COMARAPA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,1,0,1
COROICO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,0,1,1
COTOCA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,2,1,3
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,4,6,10
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,3,0,3
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,3,1,4
GUANAY,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,2,3,5
HUANUNI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,0,2,2
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,4,3,7
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,1,1,2
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,7,2,9
LLALLAGUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,1,0,1
MINEROS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,2,0,2
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,2,1,3
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,1,1,2
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,0,3,3
POROMA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,1,0,1
PORONGO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,0,1,1
PUCARANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,2,1,3
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,1,1,2
SAN JULIAN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,0,2,2
SAN LUCAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,0,2,2
SAN MATIAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,0,1,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,10,11,21
TAPACARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,1,0,1
TEOPONTE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,0,2,2
TIPUANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,4,0,4
TIQUIPAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,1,1,2
TRINIDAD,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,2,0,2
VACAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,1,2,3
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,1,1,2
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,3,1,4
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-07-01,1,2,3
ARBIETO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,1,1,2
BUENA VISTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,0,2,2
CAPINOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,2,0,2
CARAPARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,1,1,2
CHARAGUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,2,0,2
CHIMORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,2,3,5
COLCAPIRHUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,3,0,3
CONCEPCION,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,2,0,2
CORIPATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,1,1,2
COTOCA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,0,2,2
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,13,7,20
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,1,2,3
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,0,1,1
GUANAY,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,2,1,3
HUANUNI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,0,1,1
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,0,4,4
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,1,3,4
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,5,4,9
MINEROS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,0,3,3
MIZQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,0,1,1
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,1,2,3
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,1,1,2
PUERTO QUIJARRO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,0,2,2
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,2,1,3
PUNA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,1,0,1
PUNATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,0,3,3
ROBORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,0,1,1
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,0,2,2
SAN ANDRES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,1,0,1
SAN MATIAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,0,1,1
SAN PEDRO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,21,17,38
SIPE SIPE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,2,1,3
TAPACARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,0,2,2
TIQUIPAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,0,2,2
WARNES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,2,1,3
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,0,3,3
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-08-01,1,1,2
ARBIETO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,1,0,1
ARQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,1,1,2
BERMEJO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,2,3,5
CHIMORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,1,1,2
COBIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,1,1,2
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,6,3,9
COLCAPIRHUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,1,0,1
COTAGAITA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,1,1,2
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,11,9,20
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,1,1,2
EUREKA (SANTOS MERCADO),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,0,4,4
GUANAY,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,2,0,2
HUANUNI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,1,0,1
IXIAMAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,2,1,3
JESUS DE MACHACA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,0,2,2
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,0,2,2
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,3,6,9
MIZQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,0,1,1
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,4,0,4
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,3,0,3
PUERTO QUIJARRO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,4,3,7
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,1,2,3
RIBERALTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,2,1,3
ROBORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,1,1,2
RURRENABAQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,2,4,6
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,4,4,8
SAN BORJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,2,0,2
SAN JULIAN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,0,2,2
SAN PEDRO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,20,21,41
SENA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,1,0,1
TAPACARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,0,1,1
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,0,1,1
TRINIDAD,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,2,0,2
VIACHA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,1,2,3
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,5,3,8
VINTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,1,0,1
WARNES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,1,1,2
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-09-01,4,1,5
ARQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,0,2,2
CAMIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,1,1,2
CAPINOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,0,1,1
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,3,1,4
CARIPUYO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,0,1,1
CHIMORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,4,0,4
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,8,1,9
COLCAPIRHUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,3,0,3
COTOCA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,2,4,6
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,4,5,9
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,1,1,2
ENTRE RIOS TRJ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,2,1,3
GENERAL SAAVEDRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,2,1,3
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,4,6,10
MAPIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,1,0,1
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,4,3,7
NUEVO MANOA (NUEVA ESPERANZA),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,1,1,2
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,1,2,3
PAMPA GRANDE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,1,0,1
POCONA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,2,0,2
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,1,1,2
PUERTO QUIJARRO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,2,1,3
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,4,2,6
REYES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,1,1,2
RIBERALTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,3,1,4
RURRENABAQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,2,2,4
SAMAIPATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,0,1,1
SAN BORJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,2,1,3
SAN JOAQUIN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,0,3,3
SAN JULIAN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,2,3,5
SAN MIGUEL DE VELASCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,2,3,5
SAN PEDRO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,1,2,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,24,16,40
SANTA ROSA DEL SARA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,1,0,1
SIPE SIPE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,1,0,1
SUCRE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,1,0,1
TAPACARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,1,0,1
TARATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,0,1,1
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,2,2,4
TEOPONTE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,2,0,2
TUPIZA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,0,2,2
VILLA MONTES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,1,3,4
WARNES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,2,1,3
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,2,4,6
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-10-01,2,1,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,2,2,4
BATALLAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,0,1,1
BERMEJO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,1,2,3
CAPINOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,0,1,1
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,3,0,3
CARAPARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,0,3,3
CHIMORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,2,3,5
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,1,0,1
CKOCHAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,1,1,2
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,6,5,11
"COLCHA ""K""",tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,1,1,2
COLOMI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,0,1,1
COTOCA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,4,0,4
CUATRO CAÑADAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,1,0,1
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,5,6,11
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,3,3,6
GENERAL SAAVEDRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,0,2,2
GUANAY,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,2,0,2
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,1,0,1
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,7,2,9
LLALLAGUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,1,0,1
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,2,4,6
PAILON,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,1,1,2
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,2,1,3
PUERTO SUAREZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,3,3,6
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,1,1,2
RIBERALTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,3,0,3
ROBORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,0,1,1
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,3,1,4
SACACA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,1,1,2
SAN CARLOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-11-01,0,1,1
