,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TOTALES
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,1,0,1
POCOATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,1,0,1
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,1,0,1
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,0,1,1
SAN JAVIER(BNI),tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,13,6,19
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,0,1,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,1,1,2
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,3,1,4
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,1,0,1
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,3,0,3
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,2,0,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,1,2,3
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,0,2,2
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,14,4,18
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,0,1,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,0,1,1
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,6,5,11
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,1,0,1
SICA SICA (VILLA AROMA),tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,1,0,1
TAPACARI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,1,0,1
TOMAVE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,1,1,2
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-12-01,1,2,3
