,group,variable,month,TOTAL 23.1 N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTAL 23.1 N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
CHUMA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,2,4
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,3,0,3
CKOCHAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,4,4,8
CLIZA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,9,15,24
COBIJA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,47,27,74
COCAPATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,4,5,9
COCHABAMBA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,160,163,323
COLCAPIRHUA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,11,18,29
"COLCHA ""K""",tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,3,5,8
COLLANA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,0,1,1
COLOMI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,5,6
COLQUECHACA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,8,8,16
COLQUIRI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,3,4
COMANCHE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,0,1,1
COMARAPA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,5,4,9
COMBAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,0,1
COPACABANA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,3,0,3
CORIPATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,11,5,16
CORO CORO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,0,1,1
COROICO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,7,8,15
CORQUE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,2,4
COTAGAITA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,10,5,15
COTOCA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,32,51,83
CUATRO CAÑADAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,13,19,32
CUCHUMUELA (V. G. VILLARROEL),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,1,2
CULPINA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,4,18,22
CURAHUARA DE CARANGAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,4,3,7
CURVA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,0,1
DESAGUADERO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,7,9
EL ALTO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,310,329,639
EL PUENTE(STC),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,5,2,7
EL PUENTE(TJA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,2,3
EL TORNO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,31,23,54
EL VILLAR,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,3,4
ENTRE RIOS TRJ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,6,11,17
ENTRE RIOS CBBA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,17,25,42
ESCOMA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,0,2
EUCALIPTUS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,3,0,3
FERNANDEZ ALONSO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,9,8,17
FILADELFIA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,4,6
GENERAL SAAVEDRA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,6,9,15
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,4,6
GUANAY,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,8,7,15
GUAQUI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,11,12,23
GUTIERREZ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,1,3
HUACARETA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,4,4,8
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,3,1,4
HUACHACALLA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,0,1
HUANUNI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,53,11,64
HUARINA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,4,3,7
HUAYLLAMARCA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,5,7
ICLA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,1,2
INCAHUASI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,5,9,14
INGAVI (HUMAITA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,0,1
INQUISIVI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,5,1,6
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,8,6,14
JESUS DE MACHACA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,3,5,8
LA ASUNTA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,20,21,41
LA GUARDIA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,41,45,86
LA PAZ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,356,300,656
LAGUNILLAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,0,2
LAJA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,4,5
LAS CARRERAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,3,4
LLALLAGUA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,21,10,31
LURIBAY,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,0,2,2
MACHACAMARCA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,0,1
MACHARETI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,5,4,9
MAGDALENA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,5,3,8
MAIRANA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,5,2,7
MAPIRI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,13,5,18
MECAPACA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,0,2
MINEROS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,6,6,12
MIZQUE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,3,5,8
MOJOCOYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,1,2
MONTEAGUDO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,18,24,42
MONTERO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,73,47,120
MORO MORO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,1,2
MOROCHATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,4,4,8
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,0,1,1
OCURI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,5,6,11
OKINAWA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,3,6,9
OMEREQUE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,2,3
ORURO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,102,76,178
PADCAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,7,8,15
PADILLA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,4,5,9
PAILON,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,10,12,22
PALCA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,1,2
PALOS BLANCOS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,9,8,17
PAMPA GRANDE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,3,4
PASORAPA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,1,2
PATACAMAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,7,3,10
PAZÑA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,2,4
POCOATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,7,3,10
POCONA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,4,2,6
POJO (CBBA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,3,3,6
POOPO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,0,1,1
POROMA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,5,5,10
PORONGO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,5,3,8
PORTACHUELO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,4,2,6
PORVENIR,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,2,3
POTOSI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,139,24,163
PRESTO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,7,6,13
PUCARANI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,2,3
PUERTO ACOSTA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,2,4
PUERTO CARABUCO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,3,2,5
PUERTO GONZALO MORENO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,0,1
PUERTO PEREZ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,1,3
PUERTO QUIJARRO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,13,12,25
PUERTO RICO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,3,5
PUERTO SUAREZ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,26,2,28
PUERTO VILLARROEL,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,41,37,78
PUNA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,5,2,7
PUNATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,12,12,24
QUIABAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,2,3
QUILLACOLLO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,56,62,118
QUIME,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,2,3
RAVELO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,4,3,7
REYES,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,0,1
RIBERALTA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,56,46,102
ROBORE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,5,7
RURRENABAQUE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,6,3,9
SABAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,0,1,1
SACABA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,64,42,106
SACABAMBA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,3,5
SACACA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,5,5,10
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,3,5
SAMAIPATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,1,2
SAN ANDRES,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,0,1
SAN ANDRES DE MACHACA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,0,1,1
SAN BENITO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,3,2,5
SAN BORJA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,4,10,14
SAN BUENA VENTURA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,1,2
SAN CARLOS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,10,6,16
SAN IGNACIO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,14,14,28
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,19,10,29
SAN JAVIER(STC),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,4,2,6
SAN JOAQUIN,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,5,3,8
SAN JUAN DE YAPACANI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,7,7,14
SAN JULIAN,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,22,18,40
SAN LORENZO(PND),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,0,2,2
SAN LORENZO(TJA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,7,11,18
SAN LUCAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,14,13,27
SAN MATIAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,4,1,5
SAN MIGUEL DE VELASCO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,3,4,7
SAN PEDRO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,2,4
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,8,5,13
SAN PEDRO DE QUEMES,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,0,1
SAN PEDRO DE TIQUINA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,3,5
SAN RAFAEL,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,0,2,2
SAN RAMON BENI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,2,4
SAN RAMON SCZ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,3,2,5
SANTA ANA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,595,556,1151
SANTA ROSA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,1,2
SANTA ROSA DEL SARA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,4,4,8
SANTIAGO DE HUARI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,0,1,1
SANTIAGO DE HUATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,3,1,4
SANTIAGO DE MACHACA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,3,4
SANTIVAÑES,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,0,2,2
SANTUARIO DE QUILLACAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,0,2
SAPAHAQUI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,3,1,4
SHINAOTA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,19,10,29
SICA SICA (VILLA AROMA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,3,5
SICAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,3,2,5
SIPE SIPE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,9,11,20
SOPACHUY,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,5,2,7
SORACACHI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,4,3,7
SORATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,11,10,21
SUCRE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,150,209,359
TACACOMA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,5,2,7
TACOBAMBA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,4,3,7
TACOPAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,5,3,8
TAPACARI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,2,4
TARABUCO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,4,6
TARACO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,0,2,2
TARATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,1,2
TARIJA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,65,67,132
TARVITA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,3,11,14
TEOPONTE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,14,5,19
TIAWANACU,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,3,5
TIPUANI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,13,5,18
TIQUIPAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,15,16,31
TIRAQUE (CBBA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,0,1
TOCO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,2,0,2
TOLATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,7,8
TOLEDO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,1,2
TOMAVE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,8,3,11
TOMINA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,4,5,9
TORO TORO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,4,1,5
TOTORA(CBBA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,4,2,6
TOTORA(ORR),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,3,4
TRIGAL,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,0,1,1
TRINIDAD,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,62,27,89
TUPIZA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,35,8,43
TURCO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,0,1,1
UNCIA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,4,3,7
URIONDO (A. CONCEPCION),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,7,10,17
URUBICHA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,0,1
UYUNI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,8,4,12
VACAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,1,2
VALLEGRANDE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,5,4,9
VIACHA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,11,5,16
VILLA CHARCAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,3,8,11
VILLA MONTES,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,24,31,55
VILLA RIVERO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,4,5
VILLA SERRANO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,4,3,7
VILLA TUNARI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,46,43,89
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,7,2,9
VILLAZON,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,14,14,28
VINTO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,12,16,28
VITICHI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,0,2,2
WARNES,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,50,42,92
YACUIBA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,62,80,142
YAMPARAEZ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,3,1,4
YANACACHI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,2,3
YAPACANI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,96,69,165
YOCALLA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,1,0,1
YOTALA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,3,1,4
YUNCHARA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,4,5,9
ZUDAÑEZ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-04-01,0,2,2
ACACIO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,1,4,5
ACHACACHI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,6,9,15
ACHOCALLA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,0,1,1
AIQUILE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,5,2,7
ALALAY,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,1,0,1
ALCALA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,3,0,3
ALTO BENI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,12,12,24
ANCORAIMES,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,3,1,4
ANDAMARCA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,0,1,1
ANZALDO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,6,5,11
APOLO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,2,0,2
ARAMPAMPA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,2,2,4
ARANI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,0,2,2
ARBIETO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,5,6,11
ARQUE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,1,4,5
ASCENCION DE GUARAYOS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,10,8,18
ATOCHA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,10,2,12
AUCAPATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,1,0,1
AYO AYO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,4,8,12
AZURDUY,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,4,4,8
BATALLAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,5,6,11
BAURES,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,2,0,2
BELEN DE ANDAMARCA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,0,3,3
BELLA FLOR,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,1,0,1
BERMEJO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,19,20,39
BETANZOS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,1,6,7
BOLIVAR,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,5,2,7
BUENA VISTA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,6,5,11
CABEZAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,5,11,16
"CAIZA ""D""",tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,4,3,7
CAJUATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,2,2,4
CALACOTO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,2,0,2
CALAMARCA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,4,2,6
CAMARGO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,1,7,8
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,1,2,3
CAMIRI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,12,8,20
CAPINOTA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,5,2,7
CAQUIAVIRI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,2,0,2
CARACOLLO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,3,6,9
CARANAVI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,65,62,127
CARAPARI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,8,3,11
CARMEN RIVERO TORREZ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,1,1,2
CATACORA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,0,1,1
CHALLAPATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,13,9,22
CHAQUI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,3,3,6
CHARAGUA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,11,4,15
CHARAÑA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,1,0,1
CHAYANTA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,4,4,8
CHIMORE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,12,6,18
CHOQUE COTA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,14,15,29
CHUMA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,2,4,6
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,2,0,2
CKOCHAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,3,2,5
CLIZA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,10,5,15
COBIJA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,50,26,76
COCAPATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,1,2,3
COCHABAMBA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,155,132,287
COLCAPIRHUA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,9,11,20
"COLCHA ""K""",tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,0,3,3
COLOMI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,3,0,3
COLPA BELGICA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,2,3,5
COLQUECHACA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,14,12,26
COLQUENCHA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-05-01,1,0,1
