,group,variable,month,TOTAL 23.4 N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTAL 23.4 N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTALES
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,10,12,22
SIPE SIPE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,0,1,1
SORATA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,0,1,1
TARIJA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,4,1,5
TEOPONTE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,1,0,1
TOMAVE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,2,0,2
TRINIDAD,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,1,0,1
UYUNI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,1,0,1
VIACHA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,2,1,3
YACUIBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,1,0,1
YAPACANI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,0,1,1
BERMEJO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,0,1
BUENA VISTA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,0,1
CABEZAS,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,0,1
CARANAVI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,1,2
CARAPARI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,0,1,1
CHALLAPATA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,0,1,1
CHARAGUA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,0,1
CHIMORE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,0,1,1
COBIJA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,5,4,9
COLCAPIRHUA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,2,1,3
COLQUECHACA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,0,1,1
CORIPATA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,0,1,1
COTOCA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,0,1
EL ALTO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,13,5,18
ENTRE RIOS CBBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,0,1
LA ASUNTA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,1,2
LA GUARDIA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,0,1,1
LA PAZ,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,14,7,21
LICOMA PAMPA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,0,1
LLALLAGUA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,0,1
MAGDALENA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,0,1
MAPIRI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,0,1,1
MONTERO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,4,1,5
ORURO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,7,1,8
PALOS BLANCOS,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,1,2
PUERTO PEREZ,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,1,2
SACABA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,0,1
SAN JOAQUIN,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,0,1,1
SAN JULIAN,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,0,1
SAN RAMON BENI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,25,12,37
SIPE SIPE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,1,2
SORATA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,0,1,1
SUCRE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,0,3,3
TACACOMA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,0,1
TARIJA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,3,2,5
TRINIDAD,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,2,4,6
VIACHA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,3,0,3
VILLAZON,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,0,1
VINTO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,1,2
WARNES,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,0,1
YACUIBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,0,1,1
YOCALLA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-09-01,1,0,1
CARANAVI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,2,1,3
CLIZA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,10,11,21
COLCAPIRHUA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,1,0,1
COTOCA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,1,0,1
EL ALTO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,9,6,15
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,1,0,1
LA GUARDIA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,0,1,1
LA PAZ,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,13,4,17
MONTERO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,1,0,1
ORURO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,1,1,2
PALCA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,1,0,1
PORVENIR,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,1,0,1
POTOSI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,6,0,6
PUERTO VILLARROEL,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,1,0,1
PUNATA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,4,1,5
ROBORE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,1,0,1
SACABA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,18,7,25
SHINAOTA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,0,1,1
SIPE SIPE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,0,1,1
SUCRE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,3,0,3
TACACOMA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,1,0,1
TARIJA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,2,0,2
TEOPONTE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,0,2,2
TORO TORO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,1,0,1
TRINIDAD,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,3,0,3
VIACHA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,0,1,1
VINTO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,1,0,1
WARNES,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-10-01,1,1,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,1,0,1
ATOCHA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,1,0,1
CARANAVI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,3,0,3
COCHABAMBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,4,4,8
COLCAPIRHUA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,1,0,1
COLQUECHACA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,0,1,1
CORIPATA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,1,0,1
EL ALTO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,14,10,24
EL TORNO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,1,0,1
LA ASUNTA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,1,0,1
LA GUARDIA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,0,1,1
LA PAZ,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,8,9,17
LLALLAGUA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,1,0,1
ORURO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,2,2,4
PALOS BLANCOS,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,1,0,1
POTOSI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,2,2,4
PUNATA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,4,3,7
SAN JAVIER(BNI),tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,9,6,15
SANTA ROSA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,1,0,1
SANTUARIO DE QUILLACAS,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,1,0,1
SICA SICA (VILLA AROMA),tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,1,0,1
SUCRE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,1,1,2
TARIJA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,5,1,6
TIPUANI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,1,0,1
TRINIDAD,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,0,2,2
TUPIZA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,0,1,1
UNCIA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,0,1,1
VIACHA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,0,1,1
VINTO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,1,0,1
WARNES,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,2,0,2
YACUIBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,1,2,3
YAPACANI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-11-01,1,1,2
BUENA VISTA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,1,0,1
CHALLAPATA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,2,5,7
COLQUIRI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,1,0,1
COMARAPA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,1,0,1
COROICO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,1,1,2
EL ALTO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,9,7,16
EL PUENTE(STC),tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,1,0,1
EL TORNO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,1,0,1
LA ASUNTA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,1,1,2
LA GUARDIA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,0,2,2
LA PAZ,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,11,3,14
MACHARETI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,1,0,1
MINEROS,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,1,0,1
MONTERO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,0,1,1
ORURO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,2,0,2
PALCA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,1,0,1
PAZÑA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,0,1,1
POTOSI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,3,2,5
PUNATA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,1,1,2
REYES,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,0,1,1
SACABA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,3,1,4
SAN ANDRES,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,1,0,1
SAN BORJA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,15,7,22
SORATA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,1,0,1
SUCRE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,4,0,4
TARIJA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,1,2,3
TIQUIPAYA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,0,1,1
TUPIZA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,1,0,1
VINTO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,1,0,1
WARNES,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,1,1,2
YACUIBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,1,0,1
YAPACANI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-12-01,1,1,2
