,group,variable,month,TOTAL 23.6 TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TOTAL 23.6 TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TOTALES
QUILLACOLLO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,0,1,1
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,6,7,13
SANTA ROSA DEL SARA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,1,1,2
SHINAOTA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,1,0,1
TARVITA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,2,0,2
TRINIDAD,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,2,0,2
VIACHA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,1,0,1
WARNES,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,1,0,1
YACUIBA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,1,0,1
YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,2,0,2
CARANAVI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-11-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-11-01,1,1,2
COTOCA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-11-01,1,1,2
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-11-01,3,1,4
ENTRE RIOS TRJ,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-11-01,1,0,1
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-11-01,7,3,10
MAPIRI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-11-01,1,0,1
MINEROS,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-11-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-11-01,1,0,1
MONTERO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-11-01,1,0,1
ORURO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-11-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-11-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-11-01,1,0,1
PUNA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-11-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-11-01,0,1,1
SAN CARLOS,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-11-01,1,0,1
SAN PEDRO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-11-01,10,5,15
TARIJA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-11-01,0,1,1
TIPUANI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-11-01,3,0,3
VILLA MONTES,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-11-01,1,0,1
ACHACACHI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,1,0,1
ATOCHA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,1,0,1
AYATA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,1,0,1
BERMEJO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,1,0,1
BUENA VISTA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,1,0,1
CAPINOTA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,0,1,1
CARANAVI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,1,0,1
CARAPARI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,1,0,1
CHALLAPATA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,0,1,1
CKOCHAS,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,2,1,3
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,0,1,1
GUANAY,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,0,1,1
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,10,1,11
MAPIRI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,1,0,1
ORURO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,1,0,1
POTOSI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,2,1,3
QUILLACOLLO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,0,1,1
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,0,2,2
SACABA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,0,1,1
SAN BORJA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,2,0,2
SAN JULIAN,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,15,7,22
SORATA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,1,0,1
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,0,1,1
TRINIDAD,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,3,0,3
URIONDO (A. CONCEPCION),tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,1,0,1
VIACHA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,2,0,2
VILLA SERRANO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,1,0,1
WARNES,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,1,2,3
YACUIBA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,1,2,3
YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-12-01,1,1,2
