,group,variable,month,TOTAL 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTAL 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES
SAN JULIAN,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,1,2
SAN LUCAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,1,2
SAN MATIAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
SAN PEDRO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,96,63,159
SANTA ROSA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,1,1
SANTA ROSA DEL SARA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
SANTIAGO DE MACHACA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
SHINAOTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,3,1,4
SICA SICA (VILLA AROMA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,2,2
SIPE SIPE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,1,1
SORATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,3,0,3
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,8,3,11
TACACOMA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,1,1
TACOBAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
TARABUCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,1,2
TARACO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
TARIJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,10,4,14
TEOPONTE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
TIPUANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,2,3
TIRAQUE (CBBA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,1,1
TOMAVE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
TOTORA(CBBA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,1,1
TRINIDAD,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,4,1,5
UMALA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,1,1
VIACHA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
VILLA MONTES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,10,4,14
VINTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
VITICHI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,1,1
WARNES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,2,3,5
YACO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,1,1
YACUIBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,4,3,7
YAMPARAEZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,1,1
YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,11,3,14
ACHACACHI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,2,4,6
ACHOCALLA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,1,1
ALTO BENI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,5,0,5
ARBIETO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,1,1
AYATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,1,1
BATALLAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,3,3
BERMEJO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,3,4
CAPINOTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,1,1
CARANAVI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,7,1,8
CHARAGUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,2,0,2
CHAYANTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,0,1
CHIMORE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,2,1,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,2,0,2
CLIZA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,1,2
COBIJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,2,1,3
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,17,16,33
CORIPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,0,1
COROICO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,1,1
COTAGAITA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,2,0,2
COTOCA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,4,5
CUATRO CAÑADAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,2,2,4
CULPINA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,1,1
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,31,21,52
EL TORNO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,2,1,3
ENTRE RIOS TRJ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,2,2,4
FERNANDEZ ALONSO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,1,2
GUANAY,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,2,3,5
GUAYARAMERIN,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,2,3
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,1,1
HUANUNI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,2,3
INCAHUASI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,2,0,2
INQUISIVI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,1,2
LA ASUNTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,2,2,4
LA GUARDIA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,4,3,7
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,59,44,103
LICOMA PAMPA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,1,1
LLALLAGUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,4,0,4
MACHARETI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,0,1
MAIRANA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,2,0,2
MAPIRI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,0,1
MINEROS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,1,1
MIZQUE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,2,0,2
MONTERO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,7,6,13
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,0,1
ORURO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,10,1,11
PADCAYA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,0,1
PAILON,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,0,1
PALCA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,3,1,4
POJO (CBBA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,0,1
POROMA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,1,1
PORONGO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,0,1
PORTACHUELO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,0,1
PORVENIR,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,0,1
POTOSI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,7,2,9
PUERTO QUIJARRO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,3,1,4
PUERTO RICO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,6,3,9
PUNA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,1,1
PUNATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,3,5,8
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,4,3,7
ROBORE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,1,1
SACABA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,6,1,7
SAN BORJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,0,1
SAN CARLOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,1,1
SAN IGNACIO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,3,1,4
SAN JUAN DE YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,1,2
SAN JULIAN,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,5,1,6
SAN LORENZO(TJA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,0,1
SAN LUCAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,0,1
SAN PEDRO DE TIQUINA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,98,88,186
SANTIVAÑES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,1,1
SHINAOTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,3,2,5
SORATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,2,2
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,4,4,8
TARABUCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,1,1
TARATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,1,1
TARIJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,3,7,10
TEOPONTE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,2,0,2
TIPUANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,4,0,4
TOLATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,1,1
TRINIDAD,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,9,5,14
TUPIZA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,1,2
UYUNI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,1,1
VILLA CHARCAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,1,1
VILLA MONTES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,2,3
VILLA TUNARI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,2,2,4
VILLAZON,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,0,1,1
VINTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,1,0,1
WARNES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,3,6,9
YACUIBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,4,4,8
YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-04-01,3,2,5
ACHACACHI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,0,2,2
ALTO BENI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
ANZALDO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,0,1,1
BATALLAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,0,3,3
BAURES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
BELLA FLOR,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
BERMEJO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,2,0,2
BUENA VISTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,1,2
CABEZAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,2,0,2
CAJUATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,0,1,1
CALAMARCA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
CAMIRI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,2,0,2
CARANAVI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,4,5,9
CHALLAPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,2,0,2
CHARAGUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,2,1,3
CHIMORE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,3,2,5
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,3,4,7
CLIZA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,3,4
COBIJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,3,3,6
COCAPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,29,14,43
COLPA BELGICA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
CORIPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,2,2,4
COROICO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,3,0,3
COTAGAITA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
COTOCA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,5,0,5
CUATRO CAÑADAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,2,1,3
CULPINA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,0,1,1
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,28,25,53
EL TORNO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,2,0,2
ENTRE RIOS TRJ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,5,4,9
GENERAL SAAVEDRA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
GUANAY,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,2,1,3
HUANUNI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,5,1,6
INQUISIVI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,2,0,2
LA ASUNTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,2,2,4
LA GUARDIA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,8,1,9
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,56,26,82
LLALLAGUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,4,0,4
MACHARETI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
MAPIRI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
MIZQUE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
MOCOMOCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,1,2
MONTERO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,11,6,17
OKINAWA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
ORURO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,2,4,6
PADILLA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
PAILON,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
PALCA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,5,4,9
POTOSI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,5,7,12
PRESTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,1,2
PUERTO RICO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,3,4,7
PUNATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,2,1,3
REYES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,4,2,6
RURRENABAQUE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,0,2,2
SACABA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,4,2,6
SAN BORJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,3,1,4
SAN CARLOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,3,0,3
SAN JULIAN,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,2,3
SAN LUCAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,2,0,2
SAN PEDRO DE TIQUINA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,89,69,158
SANTA ROSA DEL SARA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
SANTIVAÑES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,0,1,1
SAPAHAQUI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
SHINAOTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,1,2
SIPE SIPE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
SOPACHUY,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
SORATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,0,1,1
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,4,5
TACOPAYA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
TAPACARI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,1,2
TARABUCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,2,1,3
TARIJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,4,5,9
TIPUANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
TOLATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
TOTORA(CBBA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,2,0,2
TRINIDAD,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,6,3,9
TUPIZA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,6,0,6
TURCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,0,1,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,0,1,1
UYUNI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,0,1,1
VIACHA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,2,3
VILLA MONTES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,1,2
VILLA SERRANO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,3,3,6
VILLAZON,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
VINTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,2,1,3
VITICHI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
WARNES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,2,2,4
YACUIBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,4,3,7
YAMPARAEZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,5,4,9
ZUDAÑEZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-05-01,1,0,1
ACHACACHI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,0,1
AYATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,1,2
BATALLAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,0,1,1
BELLA FLOR,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,0,1
BERMEJO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,2,0,2
CABEZAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,0,1,1
CAJUATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,0,1,1
CAMARGO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,0,1
CAPINOTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,0,1,1
CARANAVI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,2,3,5
CARAPARI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,0,1
CARMEN RIVERO TORREZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,0,1,1
CHALLAPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,0,1,1
CHAYANTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,2,0,2
CHIMORE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,5,2,7
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,3,0,3
CKOCHAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,0,1
COBIJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,2,0,2
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,14,10,24
CORIPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,3,1,4
COROICO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,1,2
COTAGAITA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,0,2,2
COTOCA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,2,3,5
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,31,15,46
EL TORNO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,3,1,4
GENERAL SAAVEDRA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,1,2
GUANAY,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,2,1,3
INCAHUASI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,0,1
INQUISIVI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,1,1,2
LA ASUNTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,3,3,6
LA GUARDIA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,6,2,8
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-06-01,38,22,60
