,group,variable,month,TOTAL 23.8 N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTAL 23.8 N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
COTOCA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,4,2,6
EL ALTO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,7,5,12
ENTRE RIOS CBBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,2,2,4
GUAYARAMERIN,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,1,0,1
HUANUNI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,0,2,2
LA ASUNTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,2,1,3
LA GUARDIA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,2,0,2
LA PAZ,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,2,1,3
LLALLAGUA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,2,1,3
MONTERO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,4,2,6
MOROCHATA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,0,1,1
ORURO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,2,0,2
POTOSI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,1,2,3
PUERTO VILLARROEL,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,4,1,5
PUNA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,1,0,1
RIBERALTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,1,0,1
ROBORE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,1,1,2
SACABA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,5,2,7
SAN BORJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,4,1,5
SAN CARLOS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,1,0,1
SAN JULIAN,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,2,0,2
SAN LUCAS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,1,1,2
SAN PEDRO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,22,25,47
SANTA ROSA DEL SARA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,0,1,1
SUCRE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,0,1,1
TARIJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,1,1,2
TRINIDAD,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,0,1,1
WARNES,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,1,0,1
YACUIBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,0,2,2
YAPACANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,1,1,2
AIQUILE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,0,1,1
CABEZAS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,0,1
CAMARGO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,0,1,1
CAMIRI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,0,2,2
CARANAVI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,5,6
CARAPARI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,0,2,2
CHARAGUA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,0,1,1
CHIMORE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,4,1,5
COBIJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,4,7,11
COROICO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,0,1
COTOCA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,2,2,4
CUATRO CAÑADAS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,0,2,2
EL ALTO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,3,6,9
EL PUENTE(TJA),tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,2,1,3
GUANAY,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,0,1
LA ASUNTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,2,1,3
LA GUARDIA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,2,0,2
LA PAZ,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,3,0,3
LLALLAGUA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,0,1
MAPIRI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,0,1
MIZQUE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,0,1
MONTERO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,4,0,4
PAILON,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,1,2
POTOSI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,3,3,6
PUNATA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,3,4
ROBORE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,0,1
SACABA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,2,1,3
SAN BORJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,0,1,1
SAN LUCAS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,0,1
SAN PEDRO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,27,15,42
SHINAOTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,1,2
SIPE SIPE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,1,2
SORATA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,0,1,1
SUCRE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,0,1,1
TARATA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,0,1,1
TINGUIPAYA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,0,2,2
TIPUANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,1,2
TOCO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,0,1,1
TOMINA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,3,0,3
TRINIDAD,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,0,1
TUPIZA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,0,1
VIACHA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,2,3
VILLA MONTES,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,2,1,3
WARNES,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,0,1,1
YACUIBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,2,5,7
YAPACANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,0,1
ZUDAÑEZ,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-07-01,1,1,2
AUCAPATA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,2,0,2
BERMEJO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,0,1,1
BUENA VISTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,0,2,2
CABEZAS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,1,0,1
CAMARGO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,2,0,2
CAPINOTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,1,2,3
CARANAVI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,2,1,3
CKOCHAS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,0,3,3
COTOCA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,0,2,2
EL ALTO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,9,11,20
EL TORNO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,0,3,3
ENTRE RIOS TRJ,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,0,1,1
FILADELFIA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,0,1,1
LA ASUNTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,3,0,3
LA GUARDIA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,1,0,1
LA PAZ,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,2,5,7
MONTERO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,8,1,9
OMEREQUE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,1,0,1
ORURO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,1,0,1
PORONGO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,0,1,1
POTOSI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,0,1,1
PRESTO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,1,1,2
PUERTO ACOSTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,2,7,9
QUILLACOLLO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,2,2,4
RIBERALTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,1,0,1
SAN BORJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,2,1,3
SAN IGNACIO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,1,1,2
SAN JULIAN,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,1,2,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,29,24,53
SANTA ROSA DEL SARA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,0,2,2
SENA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,1,1,2
SIPE SIPE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,4,2,6
SUCRE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,1,2,3
TARIJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,1,1,2
TIPUANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,0,2,2
VILLA RIVERO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,1,2,3
VILLA TUNARI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,1,1,2
WARNES,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,1,1,2
YACUIBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-08-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,0,3,3
AYATA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,1,0,1
BERMEJO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,1,0,1
BOLPEBRA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,0,1,1
CAJUATA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,0,1,1
CARANAVI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,2,4,6
COLQUIRI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,1,0,1
CONCEPCION,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,0,1,1
COTOCA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,2,0,2
EL ALTO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,6,7,13
EL TORNO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,1,1,2
GUTIERREZ,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,4,2,6
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,1,1,2
LA ASUNTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,1,1,2
LA GUARDIA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,3,2,5
LA PAZ,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,3,1,4
LAJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,1,0,1
MONTERO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,2,3,5
ORURO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,0,1,1
PADCAYA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,0,1,1
PATACAMAYA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,0,1,1
PORVENIR,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,0,1,1
PRESTO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,1,0,1
PUNATA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,1,0,1
REYES,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,2,0,2
SACABA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,1,0,1
SAMAIPATA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,2,0,2
SAN BORJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,1,5,6
SAN CARLOS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,1,1,2
SAN JAVIER(STC),tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,1,0,1
SAN JULIAN,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,23,11,34
SANTA ROSA DEL SARA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,0,1,1
SUCRE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,2,1,3
TEOPONTE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,0,3,3
TIPUANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,1,1,2
TRINIDAD,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,0,1,1
VIACHA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,0,1,1
VILLAZON,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,2,0,2
WARNES,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,1,1,2
YACUIBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,2,0,2
YAPACANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-09-01,5,3,8
AIQUILE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,2,0,2
APOLO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,2,1,3
BERMEJO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,2,1,3
CARANAVI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,1,1,2
CHIMORE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,5,1,6
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,1,2,3
COBIJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,2,2,4
COCHABAMBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,9,6,15
COLCAPIRHUA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,1,2,3
COLLANA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,2,0,2
CONCEPCION,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,1,0,1
COTOCA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,0,2,2
CUATRO CAÑADAS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,1,1,2
EL ALTO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,8,3,11
EL TORNO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,3,2,5
LA ASUNTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,2,2,4
LA PAZ,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,4,3,7
MAPIRI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,1,0,1
MINEROS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,0,1,1
MONTERO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,2,3,5
ORURO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,0,1,1
POTOSI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,0,1,1
PUCARANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,5,1,6
PUNATA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,2,0,2
REYES,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,0,3,3
RIBERALTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,3,2,5
ROBORE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,1,0,1
SACABA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,2,0,2
SAN BORJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,1,1,2
SAN CARLOS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,42,0,42
SAN JULIAN,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,1,1,2
SAN MATIAS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,0,2,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,2,2,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,17,25,42
SANTA ROSA DEL SARA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,1,1,2
SAPAHAQUI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,0,1,1
SHINAOTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,2,0,2
SIPE SIPE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,1,1,2
TARIJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,0,1,1
TEOPONTE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,0,3,3
TIPUANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,2,0,2
TRINIDAD,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,0,4,4
VIACHA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,2,2,4
VINTO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,1,1,2
WARNES,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,1,0,1
YACUIBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,1,0,1
YAPACANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,2,3,5
ZUDAÑEZ,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-10-01,0,1,1
AUCAPATA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,0,1,1
CABEZAS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,1,0,1
CARANAVI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,1,0,1
CHARAGUA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,2,1,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,1,1,2
COBIJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,0,2,2
COCHABAMBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,3,2,5
COLCAPIRHUA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,1,0,1
COTOCA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,4,2,6
CUATRO CAÑADAS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-11-01,1,0,1
