,group,variable,month,TOTAL 23.2 N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTAL 23.2 N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
SANTIAGO DE MACHACA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,2,0,2
SHINAOTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,1,2
SICA SICA (VILLA AROMA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,1,1
SIPE SIPE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,1,1
SORATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,2,0,2
SUCRE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,7,3,10
TARABUCO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,1,2
TARACO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
TARIJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,6,4,10
TEOPONTE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
TIPUANI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,2,3
TIRAQUE (CBBA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,1,1
TOTORA(CBBA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,1,1
TRINIDAD,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,2,2,4
TUPIZA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,2,0,2
UMALA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,1,1
VILLA CHARCAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
VILLA MONTES,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,10,4,14
VITICHI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,2,3
WARNES,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,2,3,5
YACO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,1,1
YACUIBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,3,3,6
YAMPARAEZ,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,1,1
YAPACANI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,9,2,11
ACHACACHI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,2,0,2
ACHOCALLA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,0,1,1
ALTO BENI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,5,0,5
ARBIETO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,0,1,1
AYATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,0,1,1
BATALLAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,0,2,2
BERMEJO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,2,3,5
CAMIRI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,2,3
CAPINOTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,0,1,1
CARANAVI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,7,1,8
CARAPARI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,0,2,2
CHARAGUA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,2,0,2
CHIMORE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,2,1,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,3,0,3
CLIZA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,1,2
COBIJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,1,2
COCHABAMBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,17,9,26
CORIPATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,2,0,2
COROICO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,2,3
COTAGAITA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,0,1
COTOCA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,2,3
CUATRO CAÑADAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,2,2,4
CULPINA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,0,1,1
EL ALTO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,13,10,23
EL TORNO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,2,0,2
ENTRE RIOS TRJ,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,2,1,3
ENTRE RIOS CBBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,2,2,4
FERNANDEZ ALONSO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,2,3
GUANAY,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,3,4
GUAYARAMERIN,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,2,3
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,0,1,1
HUANUNI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,0,1
INCAHUASI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,0,1
INQUISIVI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,0,1,1
LA ASUNTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,2,1,3
LA GUARDIA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,4,3,7
LA PAZ,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,16,13,29
LICOMA PAMPA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,0,1,1
LLALLAGUA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,4,0,4
MACHARETI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,2,0,2
MAIRANA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,2,0,2
MAPIRI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,0,1
MINEROS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,0,1,1
MIZQUE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,2,1,3
MONTERO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,9,3,12
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,0,1
ORURO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,5,0,5
PADCAYA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,0,1
PAILON,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,4,1,5
POROMA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,1,2
PORONGO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,0,1
PORTACHUELO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,0,1
PORVENIR,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,0,1
POTOSI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,13,9,22
PUERTO ACOSTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,3,3,6
PUERTO RICO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,6,3,9
PUNA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,0,1,1
PUNATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,2,4,6
RIBERALTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,4,3,7
ROBORE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,0,1,1
SACABA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,6,1,7
SAN BORJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,0,1
SAN CARLOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,0,1,1
SAN IGNACIO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,3,0,3
SAN JUAN DE YAPACANI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,0,1,1
SAN JULIAN,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,2,1,3
SAN LORENZO(TJA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,0,1
SAN LUCAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,0,1
SAN PEDRO DE TIQUINA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,81,64,145
SANTIVAÑES,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,0,1
SHINAOTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,7,3,10
SORATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,1,2
SUCRE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,3,4,7
TACOBAMBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,0,1
TARABUCO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,0,1
TARATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,0,1,1
TARIJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,0,5,5
TEOPONTE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,2,0,2
TIPUANI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,4,0,4
TIQUIPAYA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,1,2
TOLATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,0,1,1
TRINIDAD,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,7,4,11
TUPIZA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,3,0,3
URIONDO (A. CONCEPCION),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,1,2
UYUNI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,2,0,2
VILLA CHARCAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,0,1,1
VILLA MONTES,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,2,3
VILLA TUNARI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,8,2,10
VINTO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,1,0,1
WARNES,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,2,5,7
YACUIBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,4,2,6
YAPACANI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-04-01,2,2,4
ACHACACHI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,0,2,2
ALTO BENI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
ANZALDO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
ARBIETO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,0,1,1
BATALLAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,0,1,1
BELLA FLOR,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
BERMEJO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,2,0,2
BOLIVAR,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
BUENA VISTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,1,2
CABEZAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,1,2
CAJUATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,0,1,1
CALAMARCA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
CAMIRI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
CARANAVI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,4,5,9
CHALLAPATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,2,0,2
CHARAGUA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,2,1,3
CHIMORE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,3,2,5
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,3,4,7
CLIZA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,2,1,3
COBIJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,2,0,2
COCHABAMBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,18,5,23
COLPA BELGICA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
CORIPATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,1,2
COROICO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,2,0,2
COTAGAITA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
COTOCA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,5,0,5
CUATRO CAÑADAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,2,1,3
CULPINA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,0,1,1
EL ALTO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,15,19,34
EL TORNO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
ENTRE RIOS TRJ,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,5,4,9
GENERAL SAAVEDRA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
GUANAY,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,2,1,3
HUANUNI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,1,2
INCAHUASI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,0,1,1
LA ASUNTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,2,1,3
LA GUARDIA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,3,3,6
LA PAZ,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,15,10,25
LLALLAGUA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,4,0,4
MACHARETI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
MAPIRI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
MIZQUE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
MOCOMOCO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,0,1,1
MONTERO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,9,6,15
OKINAWA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
ORURO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,2,3,5
PADILLA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
PAILON,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,5,4,9
POTOSI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,5,7,12
PUERTO QUIJARRO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,2,1,3
PUERTO VILLARROEL,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,2,5,7
PUNATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,2,2,4
REYES,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
RIBERALTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,4,1,5
RURRENABAQUE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,0,2,2
SACABA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,3,1,4
SAN AGUSTIN,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,2,3,5
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
SAN BORJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,3,1,4
SAN IGNACIO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,2,0,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,0,1,1
SAN JULIAN,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,2,2,4
SAN LUCAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,2,0,2
SAN PEDRO DE TIQUINA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,74,57,131
SANTA ROSA DEL SARA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
SANTIVAÑES,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,0,1,1
SHINAOTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,2,4,6
SIPE SIPE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,1,2
SOPACHUY,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
SORATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,0,1,1
SUCRE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,0,1,1
TAPACARI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,1,2
TARABUCO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,2,1,3
TARIJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,3,1,4
TIQUIPAYA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
TOLATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,1,2
TOTORA(CBBA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,2,0,2
TRINIDAD,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,3,2,5
TUPIZA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,4,0,4
TURCO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,0,1,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,0,2,2
VIACHA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,2,3
VILLA MONTES,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,2,3
VILLA TUNARI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,4,1,5
VILLAZON,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
VINTO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,2,1,3
VITICHI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
WARNES,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,2,2,4
YACUIBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,4,2,6
YAMPARAEZ,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
YAPACANI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,6,4,10
ZUDAÑEZ,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-05-01,1,0,1
ACHACACHI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
AYATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,0,1,1
BELLA FLOR,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
BERMEJO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
BUENA VISTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,0,1,1
CAJUATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,0,1,1
CAMARGO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
CAPINOTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,0,1,1
CARANAVI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,2,3,5
CARAPARI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
CHALLAPATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,0,1,1
CHAYANTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,2,0,2
CHIMORE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,4,2,6
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,2,0,2
COBIJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,2,0,2
COCHABAMBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,11,7,18
COLCAPIRHUA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
CORIPATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,3,1,4
COROICO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,1,2
COTAGAITA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,0,2,2
COTOCA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,2,3,5
EL ALTO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,14,9,23
EL TORNO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,3,2,5
GENERAL SAAVEDRA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
GUANAY,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,1,2
LA ASUNTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,2,2,4
LA GUARDIA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,4,2,6
LA PAZ,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,8,4,12
LLALLAGUA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
MECAPACA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,0,1,1
MOCOMOCO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,2,0,2
MONTERO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,7,5,12
MOROCHATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,0,1,1
OMEREQUE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,0,1,1
ORURO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,2,1,3
PAILON,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,2,0,2
PORTACHUELO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,0,1,1
POTOSI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,8,1,9
PUCARANI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
PUERTO ACOSTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,3,5,8
PUNA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
PUNATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-06-01,1,0,1
