,group,variable,month,TOTAL 23.9 Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTAL 23.9 Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
COBIJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,4,1,5
COCHABAMBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,6,4,10
"COLCHA ""K""",tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,0,1
COLOMI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,0,1
CORIPATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,2,0,2
COROICO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,1,2
COTAGAITA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,1,2
COTOCA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,0,1
EL ALTO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,8,9,17
EL TORNO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,3,2,5
ENTRE RIOS CBBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,4,0,4
FERNANDEZ ALONSO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,0,1
GUANAY,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,2,0,2
GUAYARAMERIN,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,2,0,2
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,0,1
INQUISIVI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,0,1
LA ASUNTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,2,0,2
LA GUARDIA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,3,0,3
LA PAZ,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,6,2,8
LICOMA PAMPA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,0,1
MAPIRI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,2,1,3
MONTEAGUDO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,0,1
MONTERO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,2,7,9
ORURO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,1,2
POTOSI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,3,1,4
PUERTO QUIJARRO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,3,4
PUNATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,2,2,4
QUIME,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,0,1
RIBERALTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,4,1,5
ROBORE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,1,2
RURRENABAQUE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,0,1
SACABA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,4,2,6
SAMAIPATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,0,1
SAN ANDRES,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,0,1
SAN BORJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,3,1,4
SAN CARLOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,1,2
SAN JOAQUIN,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,0,1,1
SAN JULIAN,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,4,0,4
SAN LUCAS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,2,0,2
SAN MATIAS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,1,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,0,1
SAN PEDRO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,0,1,1
SAN PEDRO DE CURAHUARA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,47,44,91
SANTA ROSA DEL SARA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,0,2,2
SANTIAGO DE HUARI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,0,1
SANTIAGO DE MACHACA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,0,1,1
SIPE SIPE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,0,1
SUCRE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,4,2,6
TARABUCO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,1,2
TARIJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,3,1,4
TARVITA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,0,1
TIPUANI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,2,0,2
TIRAQUE (CBBA),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,0,1,1
TOLATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,0,1
TRINIDAD,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,1,2
TUPIZA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,1,2
UMALA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,3,3,6
VINTO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,2,0,2
VITICHI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,2,0,2
WARNES,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,3,2,5
YACUIBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,2,3
YAPACANI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,4,1,5
YOTALA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,0,1,1
YUNCHARA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,0,1
BERMEJO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,2,0,2
CARANAVI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,3,4,7
CARAPARI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,0,1,1
CHIMORE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,3,1,4
CLIZA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
COBIJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,3,0,3
COCHABAMBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,8,2,10
COLCAPIRHUA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,0,1,1
"COLCHA ""K""",tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
CONCEPCION,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,0,1,1
CORO CORO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
COROICO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,1,2
COTOCA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,6,1,7
CULPINA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
EL ALTO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,6,5,11
EL TORNO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,2,0,2
GUAYARAMERIN,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
HUANUNI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
INCAHUASI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
LA ASUNTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,2,0,2
LA GUARDIA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,4,1,5
LA PAZ,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,7,6,13
LLALLAGUA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
MACHARETI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
MINEROS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
MOJOCOYA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
MONTERO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,5,5,10
ORURO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,0,3,3
PALOS BLANCOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,1,2
POROMA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
POTOSI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,1,2
PUERTO QUIJARRO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,2,3
PUERTO VILLARROEL,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,6,3,9
QUILLACOLLO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,4,1,5
RIBERALTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,3,4
ROBORE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
SACABA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,3,1,4
SAN ANDRES,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
SAN BORJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,2,3
SAN CARLOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,3,1,4
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,1,2
SAN JULIAN,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
SAN LUCAS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,0,2,2
SAN PEDRO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,51,37,88
SICA SICA (VILLA AROMA),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
SUCRE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,4,2,6
TAPACARI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
TARABUCO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
TARACO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
TARIJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,1,2
TIPUANI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
TRINIDAD,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,3,1,4
TUPIZA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
UMALA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
VIACHA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,0,1,1
VILLA SERRANO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,2,2,4
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
VILLAZON,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,2,0,2
VITICHI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,0,1
YACUIBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,1,3,4
YAPACANI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-06-01,6,2,8
BERMEJO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,0,2,2
BETANZOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,0,1,1
BUENA VISTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,0,1
CARANAVI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,4,4,8
CHIMORE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,1,2
COBIJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,1,2
COCHABAMBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,9,3,12
COLCAPIRHUA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,1,2
COLQUIRI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,0,1
CORIPATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,0,1
COTAGAITA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,0,1,1
COTOCA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,3,3,6
CULPINA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,0,1,1
EL ALTO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,10,6,16
EL TORNO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,4,2,6
ENTRE RIOS CBBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,3,1,4
FERNANDEZ ALONSO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,0,1
GUANAY,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,2,0,2
HUANUNI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,0,1
ICLA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,0,1
LA ASUNTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,1,2
LA GUARDIA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,5,0,5
LA PAZ,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,2,8,10
LLALLAGUA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,3,0,3
MAIRANA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,0,1
MAPIRI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,0,1
MINEROS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,0,1
MONTERO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,11,4,15
ORURO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,3,3,6
POCOATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,0,1
POROMA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,2,0,2
POTOSI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,1,2
PUERTO QUIJARRO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,2,0,2
PUNA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,2,0,2
PUNATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,2,1,3
RIBERALTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,2,1,3
RURRENABAQUE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,0,1
SACABA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,3,0,3
SAN BORJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,2,0,2
SAN CARLOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,0,2,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,1,2
SAN JULIAN,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,0,1
SAN LUCAS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,0,3,3
SAN PEDRO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,56,42,98
SHINAOTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,1,2
SIPE SIPE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,1,2
SUCRE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,9,0,9
TARABUCO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,2,1,3
TARIJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,6,1,7
TEOPONTE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,0,1
TIAWANACU,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,0,1
TIPUANI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,3,1,4
TOCO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,0,1,1
TOLATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,0,1,1
TRINIDAD,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,12,0,12
TUPIZA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,3,1,4
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,0,1
WARNES,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,1,2,3
YACUIBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,4,3,7
YAPACANI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-07-01,0,1,1
ALTO BENI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,1,2
BERMEJO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,2,2,4
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,0,1
CAMIRI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,0,1,1
CAPINOTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,2,0,2
CARANAVI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,3,4
CARAPARI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,0,1
CHALLAPATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,0,1,1
CHIMORE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,2,0,2
CLIZA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,0,1,1
COBIJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,0,2,2
COCHABAMBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,7,6,13
COLCAPIRHUA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,2,3
"COLCHA ""K""",tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,0,1
COMARAPA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,0,1,1
CONCEPCION,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,1,2
CORIPATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,0,1
COROICO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,0,1
COTOCA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,0,1,1
CULPINA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,0,1
EL ALTO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,13,4,17
EL PUENTE(TJA),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,0,1
EL TORNO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,5,2,7
ENTRE RIOS CBBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,2,2,4
GUANAY,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,0,1,1
HUANUNI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,2,0,2
LA ASUNTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,0,1
LA GUARDIA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,4,5,9
LA PAZ,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,3,3,6
LLALLAGUA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,0,1
MONTERO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,9,3,12
ORURO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,4,0,4
PALOS BLANCOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,0,1,1
PATACAMAYA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,0,1,1
POTOSI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,2,2,4
QUILLACOLLO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,3,3,6
RIBERALTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,0,4,4
ROBORE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,0,1
SACABA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,0,1,1
SAN BORJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,3,0,3
SAN IGNACIO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,0,1
SAN JAVIER(BNI),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,0,1
SAN JULIAN,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,2,3
SAN LORENZO(TJA),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,68,35,103
SANTA ROSA DEL SARA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,1,2
SOPACHUY,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,0,1
SUCRE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,4,5,9
TARIJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,2,3
TEOPONTE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,0,1
TIPUANI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,0,1
TRINIDAD,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,3,1,4
VIACHA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,0,1,1
VILLA MONTES,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,2,0,2
VILLA RIVERO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,1,2
WARNES,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-08-01,1,2,3
