,group,variable,month,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA EMB,CONSULTA REPETIDA EMB,CONSULTA REPETIDA POST,CONSULTA REPETIDA POST,TOTALES,TOTALES,TOTALES
ARAMPAMPA,atencion odontologica,consulta repetida,2015-03-01,2,0,1,0,0,0,0,3,0,0,0,0,0,3,3,6,9
ARANI,atencion odontologica,consulta repetida,2015-03-01,9,1,5,3,0,0,0,11,0,2,0,1,0,3,14,21,35
ARBIETO,atencion odontologica,consulta repetida,2015-03-01,2,3,0,0,0,0,5,4,0,2,0,0,0,3,7,12,19
ARQUE,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,5,5
ATOCHA,atencion odontologica,consulta repetida,2015-03-01,29,33,50,51,36,79,119,128,10,13,0,6,0,3,244,313,557
AUCAPATA,atencion odontologica,consulta repetida,2015-03-01,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,3,4
AYATA,atencion odontologica,consulta repetida,2015-03-01,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,2,3
AYO AYO,atencion odontologica,consulta repetida,2015-03-01,1,7,8,5,0,1,4,2,0,0,0,0,0,1,13,16,29
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consulta repetida,2015-03-01,10,8,33,47,8,26,68,68,8,7,0,0,0,13,127,169,296
AZURDUY,atencion odontologica,consulta repetida,2015-03-01,0,10,0,0,0,0,7,27,0,0,0,4,0,23,7,64,71
BAURES,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,1,1,2,2,0,0,0,0,0,0,3,3,6
BELEN DE URMIRI,atencion odontologica,consulta repetida,2015-03-01,2,2,0,0,0,0,0,1,0,0,0,0,0,0,2,3,5
BERMEJO,atencion odontologica,consulta repetida,2015-03-01,7,3,34,35,15,37,54,163,26,12,0,53,0,51,136,354,490
BETANZOS,atencion odontologica,consulta repetida,2015-03-01,16,4,11,20,5,7,16,39,5,3,0,1,0,8,53,82,135
BOLIVAR,atencion odontologica,consulta repetida,2015-03-01,0,2,2,0,6,0,0,1,0,0,0,0,0,0,8,3,11
BOYUIBE,atencion odontologica,consulta repetida,2015-03-01,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,2,3
BUENA VISTA,atencion odontologica,consulta repetida,2015-03-01,3,6,3,2,1,2,3,8,0,0,0,0,0,0,10,18,28
CABEZAS,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,1,7,16,7,3,0,2,0,3,14,25,39
CAIROMA,atencion odontologica,consulta repetida,2015-03-01,0,1,2,2,3,3,9,10,0,0,0,0,0,0,14,16,30
"CAIZA ""D""",atencion odontologica,consulta repetida,2015-03-01,1,0,3,4,3,1,8,10,1,0,0,0,0,1,16,16,32
CAJUATA,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,3
CALAMARCA,atencion odontologica,consulta repetida,2015-03-01,0,4,1,2,2,1,10,11,0,1,0,1,0,3,13,23,36
CAMARGO,atencion odontologica,consulta repetida,2015-03-01,6,19,3,1,0,11,7,28,3,2,0,13,0,11,19,85,104
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consulta repetida,2015-03-01,0,0,2,3,1,3,8,13,1,0,0,2,0,1,12,22,34
CAMIRI,atencion odontologica,consulta repetida,2015-03-01,10,17,23,7,10,1,27,36,2,7,0,3,0,1,72,72,144
CAPINOTA,atencion odontologica,consulta repetida,2015-03-01,0,4,5,9,4,2,10,12,3,1,0,2,0,1,22,31,53
CAQUIAVIRI,atencion odontologica,consulta repetida,2015-03-01,0,0,1,5,1,2,0,2,0,0,0,0,0,0,2,9,11
CARACOLLO,atencion odontologica,consulta repetida,2015-03-01,13,3,60,90,3,1,16,35,12,5,0,0,0,2,104,136,240
CARANAVI,atencion odontologica,consulta repetida,2015-03-01,53,28,12,13,10,26,17,57,22,10,0,28,0,19,114,181,295
CARAPARI,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,6,15,9,15,0,0,0,0,0,3,15,33,48
CHALLAPATA,atencion odontologica,consulta repetida,2015-03-01,10,32,21,23,0,6,14,55,9,9,0,1,0,8,54,134,188
CHAQUI,atencion odontologica,consulta repetida,2015-03-01,0,3,2,6,2,2,4,5,0,0,0,0,0,0,8,16,24
CHARAGUA,atencion odontologica,consulta repetida,2015-03-01,0,2,1,3,1,2,10,6,0,1,0,2,0,0,12,16,28
CHAYANTA,atencion odontologica,consulta repetida,2015-03-01,8,35,16,10,4,12,19,48,2,18,0,10,0,12,49,145,194
CHIMORE,atencion odontologica,consulta repetida,2015-03-01,4,1,0,2,1,1,3,2,0,0,0,2,0,0,8,8,16
CHIPAYA,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CHOQUE COTA,atencion odontologica,consulta repetida,2015-03-01,0,0,3,0,0,4,3,5,0,0,0,0,0,0,6,9,15
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consulta repetida,2015-03-01,0,3,2,2,0,1,7,6,0,0,0,1,0,2,9,15,24
CHUMA,atencion odontologica,consulta repetida,2015-03-01,6,0,2,1,4,1,8,14,4,3,0,0,0,1,24,20,44
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consulta repetida,2015-03-01,6,2,0,2,0,0,2,25,3,0,0,0,0,20,11,49,60
CKOCHAS,atencion odontologica,consulta repetida,2015-03-01,0,1,0,1,0,2,2,3,0,14,0,3,0,8,2,32,34
CLIZA,atencion odontologica,consulta repetida,2015-03-01,5,4,5,2,1,7,6,19,4,12,0,0,0,0,21,44,65
COBIJA,atencion odontologica,consulta repetida,2015-03-01,27,29,57,47,30,37,65,114,13,14,0,14,0,3,192,258,450
COCAPATA,atencion odontologica,consulta repetida,2015-03-01,1,0,0,0,0,0,0,7,0,0,0,3,0,4,1,14,15
COCHABAMBA,atencion odontologica,consulta repetida,2015-03-01,505,526,492,505,235,440,1096,1819,324,244,0,80,0,95,2652,3709,6361
COIPASA,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,0,4,6,3,0,0,0,0,0,7,6,13
COLCAPIRHUA,atencion odontologica,consulta repetida,2015-03-01,16,25,2,0,0,2,0,7,3,2,0,4,0,4,21,44,65
"COLCHA ""K""",atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COLLANA,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,4,4
COLOMI,atencion odontologica,consulta repetida,2015-03-01,2,9,0,0,0,0,0,0,0,1,0,0,0,1,2,11,13
COLQUECHACA,atencion odontologica,consulta repetida,2015-03-01,15,20,10,16,6,18,18,61,10,5,0,4,0,11,59,135,194
COLQUENCHA,atencion odontologica,consulta repetida,2015-03-01,0,0,1,0,1,0,0,3,0,0,0,0,0,0,2,3,5
COLQUIRI,atencion odontologica,consulta repetida,2015-03-01,8,8,12,22,10,15,20,59,2,0,0,0,0,0,52,104,156
COMANCHE,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
COMARAPA,atencion odontologica,consulta repetida,2015-03-01,28,27,17,21,29,40,38,62,6,4,0,12,0,17,118,183,301
CONCEPCION,atencion odontologica,consulta repetida,2015-03-01,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,2,3
CORO CORO,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,3
COROICO,atencion odontologica,consulta repetida,2015-03-01,0,0,1,1,0,2,1,5,2,0,0,0,0,2,4,10,14
CORQUE,atencion odontologica,consulta repetida,2015-03-01,0,2,0,2,0,4,1,13,2,0,0,0,0,2,3,23,26
COTAGAITA,atencion odontologica,consulta repetida,2015-03-01,1,4,4,14,18,20,27,86,7,0,0,0,0,0,57,124,181
COTOCA,atencion odontologica,consulta repetida,2015-03-01,84,45,11,8,0,14,8,36,23,7,0,7,0,14,126,131,257
CUATRO CAÑADAS,atencion odontologica,consulta repetida,2015-03-01,34,26,1,2,0,5,4,18,1,0,0,2,0,12,40,65,105
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
CUEVO,atencion odontologica,consulta repetida,2015-03-01,24,13,0,0,0,1,0,3,0,0,0,0,0,1,24,18,42
CULPINA,atencion odontologica,consulta repetida,2015-03-01,15,8,4,7,6,3,6,9,5,2,0,3,0,3,36,35,71
EL ALTO,atencion odontologica,consulta repetida,2015-03-01,192,168,448,254,123,170,305,508,26,27,0,29,0,47,1094,1203,2297
EL PUENTE(STC),atencion odontologica,consulta repetida,2015-03-01,7,5,0,1,0,0,0,5,0,0,0,3,0,0,7,14,21
EL PUENTE(TJA),atencion odontologica,consulta repetida,2015-03-01,0,0,1,0,0,1,1,7,3,2,0,0,0,0,5,10,15
EL TORNO,atencion odontologica,consulta repetida,2015-03-01,23,21,12,29,8,14,9,26,3,17,0,19,0,0,55,126,181
EL VILLAR,atencion odontologica,consulta repetida,2015-03-01,0,2,0,0,4,5,3,15,0,0,0,0,0,0,7,22,29
ENTRE RIOS TRJ,atencion odontologica,consulta repetida,2015-03-01,4,7,13,2,9,21,16,43,0,0,0,4,0,0,42,77,119
ENTRE RIOS CBBA,atencion odontologica,consulta repetida,2015-03-01,33,51,2,4,0,9,0,13,0,4,0,4,0,6,35,91,126
EUCALIPTUS,atencion odontologica,consulta repetida,2015-03-01,1,2,0,1,0,3,8,8,0,4,0,0,0,1,9,19,28
FERNANDEZ ALONSO,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,0,0,30,4,4,0,0,0,0,4,34,38
FILADELFIA,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,1,0,3,0,0,0,2,0,2,0,8,8
GENERAL SAAVEDRA,atencion odontologica,consulta repetida,2015-03-01,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,3,4
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consulta repetida,2015-03-01,0,0,1,0,0,0,5,2,0,0,0,0,0,0,6,2,8
GUANAY,atencion odontologica,consulta repetida,2015-03-01,2,1,0,1,1,0,4,2,0,2,0,0,0,3,7,9,16
GUAQUI,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,1,4
GUAYARAMERIN,atencion odontologica,consulta repetida,2015-03-01,1,3,7,11,14,16,5,26,0,0,0,1,0,0,27,57,84
GUTIERREZ,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2
HUACARETA,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,4,1,6,3,0,0,0,0,0,0,10,4,14
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consulta repetida,2015-03-01,3,0,1,0,0,3,5,2,0,0,0,1,0,0,9,6,15
HUANUNI,atencion odontologica,consulta repetida,2015-03-01,8,7,23,23,2,13,47,63,19,5,0,6,0,7,99,124,223
HUARINA,atencion odontologica,consulta repetida,2015-03-01,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
HUATAJATA,atencion odontologica,consulta repetida,2015-03-01,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
HUAYLLAMARCA,atencion odontologica,consulta repetida,2015-03-01,8,2,0,12,0,0,11,15,7,4,0,0,0,0,26,33,59
HUMANATA,atencion odontologica,consulta repetida,2015-03-01,10,6,2,2,0,4,5,7,17,7,0,0,0,0,34,26,60
ICLA,atencion odontologica,consulta repetida,2015-03-01,1,0,1,1,0,0,2,6,3,0,0,0,0,0,7,7,14
INCAHUASI,atencion odontologica,consulta repetida,2015-03-01,0,2,2,1,0,6,6,9,0,2,0,2,0,7,8,29,37
INQUISIVI,atencion odontologica,consulta repetida,2015-03-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
IRUPANA (VILLA DE LANZA),atencion odontologica,consulta repetida,2015-03-01,2,1,2,7,0,1,3,4,1,2,0,2,0,7,8,24,32
JESUS DE MACHACA,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,2,3,3,6,2,3,0,0,0,0,7,12,19
LA ASUNTA,atencion odontologica,consulta repetida,2015-03-01,1,11,1,1,1,7,6,12,2,0,0,2,0,8,11,41,52
LA GUARDIA,atencion odontologica,consulta repetida,2015-03-01,26,22,7,2,2,11,1,40,1,3,0,0,0,0,37,78,115
LA PAZ,atencion odontologica,consulta repetida,2015-03-01,567,590,611,792,429,541,1360,2065,486,427,0,133,0,103,3453,4651,8104
LAJA,atencion odontologica,consulta repetida,2015-03-01,0,0,0,1,0,1,1,5,0,0,0,0,0,0,1,7,8
LAS CARRERAS,atencion odontologica,consulta repetida,2015-03-01,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,5,5
LLALLAGUA,atencion odontologica,consulta repetida,2015-03-01,27,46,5,22,22,20,39,90,13,12,0,23,0,24,106,237,343
LLICA,atencion odontologica,consulta repetida,2015-03-01,0,0,1,1,1,0,6,10,0,2,0,0,0,3,8,16,24
MACHACAMARCA,atencion odontologica,consulta repetida,2015-03-01,4,4,2,4,0,4,4,20,4,2,0,0,0,5,14,39,53
MACHARETI,atencion odontologica,consulta repetida,2015-03-01,3,0,0,4,0,0,2,1,3,0,0,0,0,0,8,5,13
MAGDALENA,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,6,6
MAIRANA,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,9,0,8,1,0,0,0,0,11,1,28,29
MAPIRI,atencion odontologica,consulta repetida,2015-03-01,2,0,0,0,2,0,1,4,0,0,0,0,0,0,5,4,9
MECAPACA,atencion odontologica,consulta repetida,2015-03-01,0,0,0,1,0,0,0,3,3,0,0,3,0,0,3,7,10
MINEROS,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
MIZQUE,atencion odontologica,consulta repetida,2015-03-01,4,18,5,10,1,4,8,13,9,4,0,0,0,12,27,61,88
MOCOMOCO,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,2,0,3,4,0,0,3,0,1,4,9,13
MOJOCOYA,atencion odontologica,consulta repetida,2015-03-01,2,1,2,0,2,4,6,16,3,0,0,5,0,0,15,26,41
MONTEAGUDO,atencion odontologica,consulta repetida,2015-03-01,26,19,2,3,2,16,9,27,3,2,0,6,0,18,42,91,133
MONTERO,atencion odontologica,consulta repetida,2015-03-01,1,1,1,7,4,10,17,39,6,2,0,0,0,0,29,59,88
MORO MORO,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,2,0,4,2,0,0,0,0,0,0,6,2,8
MOROCHATA,atencion odontologica,consulta repetida,2015-03-01,0,1,0,0,0,0,1,1,0,1,0,0,0,3,1,6,7
OCURI,atencion odontologica,consulta repetida,2015-03-01,0,0,0,2,0,0,0,1,0,8,0,0,0,1,0,12,12
OMEREQUE,atencion odontologica,consulta repetida,2015-03-01,1,0,0,0,1,2,0,1,0,0,0,0,0,0,2,3,5
ORURO,atencion odontologica,consulta repetida,2015-03-01,275,242,231,295,89,156,593,830,172,119,0,38,0,68,1360,1748,3108
PADCAYA,atencion odontologica,consulta repetida,2015-03-01,0,1,4,11,10,9,16,56,0,3,0,0,0,0,30,80,110
PADILLA,atencion odontologica,consulta repetida,2015-03-01,1,0,0,7,5,7,30,11,2,1,0,0,0,1,38,27,65
PAILON,atencion odontologica,consulta repetida,2015-03-01,0,1,0,0,2,7,2,7,0,0,0,3,0,3,4,21,25
PALCA,atencion odontologica,consulta repetida,2015-03-01,15,3,43,41,4,4,7,10,2,0,0,0,0,1,71,59,130
PALOS BLANCOS,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,5,7,5,0,0,0,0,0,1,7,11,18
PAMPA AULLAGAS,atencion odontologica,consulta repetida,2015-03-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PAPEL PAMPA,atencion odontologica,consulta repetida,2015-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
PASORAPA,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
PATACAMAYA,atencion odontologica,consulta repetida,2015-03-01,16,33,2,8,0,4,4,6,0,1,0,1,0,0,22,53,75
PAZÑA,atencion odontologica,consulta repetida,2015-03-01,5,5,5,4,0,2,9,11,15,4,0,0,0,0,34,26,60
POCOATA,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
POCONA,atencion odontologica,consulta repetida,2015-03-01,0,0,1,6,0,3,4,5,0,1,0,1,0,0,5,16,21
POJO (CBBA),atencion odontologica,consulta repetida,2015-03-01,5,8,8,6,4,4,10,25,1,3,0,5,0,5,28,56,84
POOPO,atencion odontologica,consulta repetida,2015-03-01,8,3,83,69,10,8,22,21,15,0,0,2,0,5,138,108,246
PORCO,atencion odontologica,consulta repetida,2015-03-01,3,0,1,6,0,4,0,0,0,0,0,0,0,4,4,14,18
POROMA,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,2,5,2,3,0,0,0,0,0,0,4,8,12
PORTACHUELO,atencion odontologica,consulta repetida,2015-03-01,0,0,3,2,2,0,3,1,0,0,0,2,0,0,8,5,13
PORVENIR,atencion odontologica,consulta repetida,2015-03-01,0,2,0,1,0,5,5,7,0,0,0,3,0,0,5,18,23
POTOSI,atencion odontologica,consulta repetida,2015-03-01,243,217,283,295,272,508,514,1118,74,90,0,126,0,119,1386,2473,3859
PRESTO,atencion odontologica,consulta repetida,2015-03-01,5,0,5,2,1,3,1,2,0,1,0,1,0,2,12,11,23
PUCARANI,atencion odontologica,consulta repetida,2015-03-01,5,3,0,0,0,1,2,3,1,4,0,0,0,0,8,11,19
PUERTO CARABUCO,atencion odontologica,consulta repetida,2015-03-01,0,0,0,2,2,6,6,9,6,2,0,0,0,0,14,19,33
PUERTO GONZALO MORENO,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,0,5,0,0,0,0,1,0,0,5,1,6
PUERTO QUIJARRO,atencion odontologica,consulta repetida,2015-03-01,17,8,0,0,0,3,5,11,0,2,0,10,0,4,22,38,60
PUERTO SUAREZ,atencion odontologica,consulta repetida,2015-03-01,9,6,0,0,1,4,1,20,3,6,0,11,0,11,14,58,72
PUERTO VILLARROEL,atencion odontologica,consulta repetida,2015-03-01,13,26,2,9,7,18,4,12,5,1,0,5,0,15,31,86,117
PUNA,atencion odontologica,consulta repetida,2015-03-01,1,7,2,3,1,2,10,21,2,3,0,2,0,6,16,44,60
PUNATA,atencion odontologica,consulta repetida,2015-03-01,10,14,6,18,10,18,37,58,12,3,0,9,0,15,75,135,210
QUIABAYA,atencion odontologica,consulta repetida,2015-03-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
QUILLACOLLO,atencion odontologica,consulta repetida,2015-03-01,178,132,62,48,29,44,61,140,23,25,0,16,0,30,353,435,788
QUIME,atencion odontologica,consulta repetida,2015-03-01,1,0,0,0,0,3,19,1,2,0,0,0,0,0,22,4,26
RAVELO,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,0,1,3,0,0,0,1,0,1,1,5,6
REYES,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5
RIBERALTA,atencion odontologica,consulta repetida,2015-03-01,13,17,59,40,49,33,46,85,51,22,0,10,0,4,218,211,429
ROBORE,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2
RURRENABAQUE,atencion odontologica,consulta repetida,2015-03-01,1,1,0,3,10,5,10,11,0,0,0,0,0,0,21,20,41
SABAYA,atencion odontologica,consulta repetida,2015-03-01,0,3,0,0,0,0,1,0,1,2,0,0,0,0,2,5,7
SACABA,atencion odontologica,consulta repetida,2015-03-01,27,32,4,9,1,18,13,34,8,7,0,5,0,14,53,119,172
SACABAMBA,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
SACACA,atencion odontologica,consulta repetida,2015-03-01,1,3,1,3,3,3,8,12,0,2,0,0,0,1,13,24,37
SAIPINA,atencion odontologica,consulta repetida,2015-03-01,4,0,1,0,0,1,0,0,1,0,0,2,0,3,6,6,12
SALINAS DE GARCI MENDOZA,atencion odontologica,consulta repetida,2015-03-01,0,0,3,1,0,9,0,7,0,3,0,0,0,0,3,20,23
SAMAIPATA,atencion odontologica,consulta repetida,2015-03-01,3,0,6,12,1,1,0,10,2,1,0,0,0,4,12,28,40
SAN ANDRES,atencion odontologica,consulta repetida,2015-03-01,0,2,3,0,1,1,0,0,0,0,0,3,0,0,4,6,10
SAN ANDRES DE MACHACA,atencion odontologica,consulta repetida,2015-03-01,0,1,1,1,0,0,0,2,4,1,0,0,0,1,5,6,11
SAN ANTONIO DE ESMORUCO,atencion odontologica,consulta repetida,2015-03-01,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,14,14
SAN BENITO,atencion odontologica,consulta repetida,2015-03-01,0,0,6,0,0,0,0,7,0,0,0,0,0,8,6,15,21
SAN BORJA,atencion odontologica,consulta repetida,2015-03-01,12,2,18,9,6,8,12,36,0,0,0,1,0,1,48,57,105
SAN BUENA VENTURA,atencion odontologica,consulta repetida,2015-03-01,0,1,0,0,2,1,3,2,0,0,0,0,0,0,5,4,9
SAN CARLOS,atencion odontologica,consulta repetida,2015-03-01,0,0,0,2,0,6,0,6,0,0,0,0,0,0,0,14,14
SAN IGNACIO,atencion odontologica,consulta repetida,2015-03-01,5,4,23,14,13,24,35,43,2,1,0,5,0,0,78,91,169
SAN IGNACIO DE VELASCO,atencion odontologica,consulta repetida,2015-03-01,17,8,23,6,11,11,12,49,2,7,0,6,0,3,65,90,155
SAN JAVIER(BNI),atencion odontologica,consulta repetida,2015-03-01,0,0,0,1,3,1,0,6,0,0,0,1,0,0,3,9,12
SAN JAVIER(STC),atencion odontologica,consulta repetida,2015-03-01,5,7,2,3,0,1,3,7,7,0,0,2,0,6,17,26,43
SAN JOAQUIN,atencion odontologica,consulta repetida,2015-03-01,0,0,5,0,0,0,0,2,0,0,0,2,0,0,5,4,9
SAN JOSE DE CHIQUITOS,atencion odontologica,consulta repetida,2015-03-01,0,0,2,0,1,0,1,2,0,0,0,0,0,3,4,5,9
SAN JUAN DE YAPACANI,atencion odontologica,consulta repetida,2015-03-01,2,5,0,0,0,0,0,0,0,0,0,1,0,2,2,8,10
SAN JULIAN,atencion odontologica,consulta repetida,2015-03-01,2,2,0,0,0,0,0,0,1,1,0,3,0,1,3,7,10
SAN LORENZO(TJA),atencion odontologica,consulta repetida,2015-03-01,3,2,23,23,23,25,21,93,2,1,0,0,0,0,72,144,216
SAN LUCAS,atencion odontologica,consulta repetida,2015-03-01,1,3,3,0,0,6,7,30,1,0,0,1,0,1,12,41,53
SAN MATIAS,atencion odontologica,consulta repetida,2015-03-01,0,0,0,1,4,0,0,1,1,0,0,0,0,0,5,2,7
SAN MIGUEL DE VELASCO,atencion odontologica,consulta repetida,2015-03-01,1,0,0,0,3,5,12,34,0,5,0,0,0,23,16,67,83
SAN PEDRO,atencion odontologica,consulta repetida,2015-03-01,0,0,1,2,1,14,14,21,1,3,0,0,0,11,17,51,68
SAN PEDRO DE BUENA VISTA,atencion odontologica,consulta repetida,2015-03-01,1,0,0,1,14,3,19,17,1,1,0,0,0,3,35,25,60
SAN PEDRO DE QUEMES,atencion odontologica,consulta repetida,2015-03-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2
SAN RAFAEL,atencion odontologica,consulta repetida,2015-03-01,2,6,0,1,3,5,1,14,0,0,0,39,0,0,6,65,71
SAN RAMON BENI,atencion odontologica,consulta repetida,2015-03-01,0,0,3,3,0,11,1,5,0,0,0,0,0,0,4,19,23
SAN RAMON SCZ,atencion odontologica,consulta repetida,2015-03-01,5,5,3,2,9,5,0,0,0,2,0,0,0,0,17,14,31
SANTA ANA,atencion odontologica,consulta repetida,2015-03-01,0,0,6,13,0,4,4,13,0,0,0,0,0,0,10,30,40
SANTA CRUZ DE LA SIERRA,atencion odontologica,consulta repetida,2015-03-01,494,448,279,306,295,325,863,1551,188,169,0,101,0,50,2119,2950,5069
SANTA ROSA DEL SARA,atencion odontologica,consulta repetida,2015-03-01,1,0,4,1,1,5,9,19,2,0,0,3,0,3,17,31,48
SANTIAGO DE CALLAPA,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTIAGO DE HUARI,atencion odontologica,consulta repetida,2015-03-01,6,4,11,17,13,11,44,50,4,12,0,0,0,3,78,97,175
SANTIAGO DE HUATA,atencion odontologica,consulta repetida,2015-03-01,2,0,0,1,3,0,16,14,2,6,0,0,0,0,23,21,44
SANTIVAÑES,atencion odontologica,consulta repetida,2015-03-01,0,1,0,7,0,2,0,7,0,4,0,0,0,0,0,21,21
SANTUARIO DE QUILLACAS,atencion odontologica,consulta repetida,2015-03-01,0,2,11,1,2,0,5,13,3,4,0,1,0,1,21,22,43
SAPAHAQUI,atencion odontologica,consulta repetida,2015-03-01,1,2,0,0,0,0,2,0,0,0,0,0,0,0,3,2,5
SHINAOTA,atencion odontologica,consulta repetida,2015-03-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
SICA SICA (VILLA AROMA),atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,15
SICAYA,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
SIPE SIPE,atencion odontologica,consulta repetida,2015-03-01,16,15,3,1,2,6,2,21,3,1,0,7,0,16,26,67,93
SOPACHUY,atencion odontologica,consulta repetida,2015-03-01,1,3,4,1,2,3,6,46,1,1,0,2,0,3,14,59,73
SORACACHI,atencion odontologica,consulta repetida,2015-03-01,1,0,0,3,6,9,7,22,0,0,0,0,0,5,14,39,53
SORATA,atencion odontologica,consulta repetida,2015-03-01,0,1,0,1,0,3,2,0,1,0,0,0,0,0,3,5,8
SUCRE,atencion odontologica,consulta repetida,2015-03-01,425,377,398,419,223,508,741,1340,97,85,0,132,0,86,1884,2947,4831
TACACHI,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TACOBAMBA,atencion odontologica,consulta repetida,2015-03-01,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,3
TAHUA,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2,2,4
TAPACARI,atencion odontologica,consulta repetida,2015-03-01,2,3,0,0,0,3,4,15,1,0,0,4,0,7,7,32,39
TARABUCO,atencion odontologica,consulta repetida,2015-03-01,0,0,0,0,0,0,0,14,0,0,0,3,0,2,0,19,19
TARATA,atencion odontologica,consulta repetida,2015-03-01,8,9,21,11,3,4,23,30,1,0,0,5,0,7,56,66,122
