,group,variable,month,APLICACIÓN DE FLUOR MENORES DE 5 AÑOS,APLICACIÓN DE FLUOR MENORES DE 5 AÑOS,APLICACIÓN DE FLUOR 5 A 13 AÑOS,APLICACIÓN DE FLUOR 5 A 13 AÑOS,APLICACIÓN DE FLUOR 14 A 19 AÑOS,APLICACIÓN DE FLUOR 14 A 19 AÑOS,APLICACIÓN DE FLUOR 20 A 59 AÑOS,APLICACIÓN DE FLUOR 20 A 59 AÑOS,APLICACIÓN DE FLUOR 60 AÑOS Y MAS,APLICACIÓN DE FLUOR 60 AÑOS Y MAS,APLICACIÓN DE FLUOR EMB,APLICACIÓN DE FLUOR EMB,APLICACIÓN DE FLUOR POST,APLICACIÓN DE FLUOR POST,TOTALES,TOTALES,TOTALES
VITICHI,atencion odontologica,aplicacion de fluor,2015-02-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
WARNES,atencion odontologica,aplicacion de fluor,2015-02-01,13,21,2,3,0,0,0,5,0,2,0,0,0,0,15,31,46
YACO,atencion odontologica,aplicacion de fluor,2015-02-01,8,6,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14
YACUIBA,atencion odontologica,aplicacion de fluor,2015-02-01,4,1,10,10,4,6,1,0,0,0,0,0,0,0,19,17,36
YAMPARAEZ,atencion odontologica,aplicacion de fluor,2015-02-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
YANACACHI,atencion odontologica,aplicacion de fluor,2015-02-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
YAPACANI,atencion odontologica,aplicacion de fluor,2015-02-01,16,18,0,0,0,0,0,2,0,0,0,0,0,0,16,20,36
YOCALLA,atencion odontologica,aplicacion de fluor,2015-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
YOTALA,atencion odontologica,aplicacion de fluor,2015-02-01,3,3,0,0,0,0,0,3,0,0,0,0,0,0,3,6,9
ACACIO,atencion odontologica,aplicacion de fluor,2015-03-01,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4
ACHACACHI,atencion odontologica,aplicacion de fluor,2015-03-01,5,4,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
ACHOCALLA,atencion odontologica,aplicacion de fluor,2015-03-01,48,46,11,6,0,0,0,0,0,0,0,0,0,0,59,52,111
AIQUILE,atencion odontologica,aplicacion de fluor,2015-03-01,13,10,121,142,0,0,0,2,0,0,0,0,0,0,134,154,288
ALCALA,atencion odontologica,aplicacion de fluor,2015-03-01,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,2,3
ALTO BENI,atencion odontologica,aplicacion de fluor,2015-03-01,26,17,0,1,1,0,0,4,0,0,0,0,0,0,27,22,49
ANCORAIMES,atencion odontologica,aplicacion de fluor,2015-03-01,8,9,0,1,0,0,0,0,0,0,0,0,0,0,8,10,18
ANZALDO,atencion odontologica,aplicacion de fluor,2015-03-01,0,0,14,14,0,3,0,0,0,0,0,0,0,0,14,17,31
ARAMPAMPA,atencion odontologica,aplicacion de fluor,2015-03-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
ARANI,atencion odontologica,aplicacion de fluor,2015-03-01,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,3
ARBIETO,atencion odontologica,aplicacion de fluor,2015-03-01,2,1,0,0,0,1,0,2,3,0,0,0,0,0,5,4,9
ARQUE,atencion odontologica,aplicacion de fluor,2015-03-01,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,3
ASCENCION DE GUARAYOS,atencion odontologica,aplicacion de fluor,2015-03-01,0,2,269,272,2,2,20,11,0,0,0,0,0,0,291,287,578
ATOCHA,atencion odontologica,aplicacion de fluor,2015-03-01,28,32,156,122,0,0,0,0,0,0,0,0,0,0,184,154,338
AUCAPATA,atencion odontologica,aplicacion de fluor,2015-03-01,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4
AYO AYO,atencion odontologica,aplicacion de fluor,2015-03-01,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,aplicacion de fluor,2015-03-01,49,42,3,12,0,5,33,9,1,0,0,0,0,0,86,68,154
BATALLAS,atencion odontologica,aplicacion de fluor,2015-03-01,5,10,0,0,0,0,0,0,0,0,0,0,0,0,5,10,15
BAURES,atencion odontologica,aplicacion de fluor,2015-03-01,16,13,0,0,0,0,0,0,0,0,0,0,0,0,16,13,29
BELEN DE URMIRI,atencion odontologica,aplicacion de fluor,2015-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BELLA FLOR,atencion odontologica,aplicacion de fluor,2015-03-01,3,3,5,2,0,0,0,0,0,0,0,0,0,0,8,5,13
BERMEJO,atencion odontologica,aplicacion de fluor,2015-03-01,3,1,21,9,1,1,1,2,0,0,0,0,0,0,26,13,39
BETANZOS,atencion odontologica,aplicacion de fluor,2015-03-01,35,40,0,1,0,1,0,0,0,0,0,0,0,0,35,42,77
BOLIVAR,atencion odontologica,aplicacion de fluor,2015-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BOYUIBE,atencion odontologica,aplicacion de fluor,2015-03-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
BUENA VISTA,atencion odontologica,aplicacion de fluor,2015-03-01,75,72,52,50,0,0,0,0,0,0,0,0,0,0,127,122,249
CABEZAS,atencion odontologica,aplicacion de fluor,2015-03-01,98,94,150,133,7,4,0,0,0,0,0,0,0,0,255,231,486
CAIROMA,atencion odontologica,aplicacion de fluor,2015-03-01,10,19,0,2,0,0,0,1,0,0,0,0,0,0,10,22,32
"CAIZA ""D""",atencion odontologica,aplicacion de fluor,2015-03-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
CAJUATA,atencion odontologica,aplicacion de fluor,2015-03-01,26,22,0,0,0,3,0,1,0,0,0,0,0,0,26,26,52
CALACOTO,atencion odontologica,aplicacion de fluor,2015-03-01,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
CALAMARCA,atencion odontologica,aplicacion de fluor,2015-03-01,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
CAMARGO,atencion odontologica,aplicacion de fluor,2015-03-01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3
CAMIRI,atencion odontologica,aplicacion de fluor,2015-03-01,130,144,309,309,1,2,3,6,0,0,0,0,0,0,443,461,904
CAPINOTA,atencion odontologica,aplicacion de fluor,2015-03-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
CAQUIAVIRI,atencion odontologica,aplicacion de fluor,2015-03-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
CARACOLLO,atencion odontologica,aplicacion de fluor,2015-03-01,1,0,55,74,0,1,0,3,0,1,0,0,0,0,56,79,135
CARANAVI,atencion odontologica,aplicacion de fluor,2015-03-01,18,16,32,38,1,1,1,0,0,0,0,0,0,0,52,55,107
CARMEN RIVERO TORREZ,atencion odontologica,aplicacion de fluor,2015-03-01,13,18,0,0,0,0,0,0,0,0,0,0,0,0,13,18,31
CATACORA,atencion odontologica,aplicacion de fluor,2015-03-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2
CHALLAPATA,atencion odontologica,aplicacion de fluor,2015-03-01,6,3,3,8,3,12,5,62,3,0,0,0,0,0,20,85,105
CHAQUI,atencion odontologica,aplicacion de fluor,2015-03-01,10,9,0,0,0,0,0,0,0,0,0,0,0,0,10,9,19
CHARAGUA,atencion odontologica,aplicacion de fluor,2015-03-01,21,36,0,1,4,4,9,28,0,1,0,0,0,0,34,70,104
CHARAÑA,atencion odontologica,aplicacion de fluor,2015-03-01,9,7,0,0,0,0,0,0,0,0,0,0,0,0,9,7,16
CHAYANTA,atencion odontologica,aplicacion de fluor,2015-03-01,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5
CHIMORE,atencion odontologica,aplicacion de fluor,2015-03-01,2,1,0,0,0,0,1,1,0,0,0,0,0,0,3,2,5
CHUA COCANI,atencion odontologica,aplicacion de fluor,2015-03-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,aplicacion de fluor,2015-03-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
CHUMA,atencion odontologica,aplicacion de fluor,2015-03-01,15,14,3,5,0,0,0,0,0,0,0,0,0,0,18,19,37
CKOCHAS,atencion odontologica,aplicacion de fluor,2015-03-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
CLIZA,atencion odontologica,aplicacion de fluor,2015-03-01,0,2,1,0,0,0,0,3,0,0,0,0,0,0,1,5,6
COBIJA,atencion odontologica,aplicacion de fluor,2015-03-01,111,98,190,177,1,6,2,14,0,0,0,0,0,0,304,295,599
COCAPATA,atencion odontologica,aplicacion de fluor,2015-03-01,11,6,0,0,0,0,1,0,0,0,0,0,0,0,12,6,18
COCHABAMBA,atencion odontologica,aplicacion de fluor,2015-03-01,188,198,100,100,37,58,46,207,7,11,0,0,0,0,378,574,952
COIPASA,atencion odontologica,aplicacion de fluor,2015-03-01,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5
COLCAPIRHUA,atencion odontologica,aplicacion de fluor,2015-03-01,17,12,0,0,0,0,0,2,1,0,0,0,0,0,18,14,32
"COLCHA ""K""",atencion odontologica,aplicacion de fluor,2015-03-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
COLLANA,atencion odontologica,aplicacion de fluor,2015-03-01,9,6,1,2,1,0,0,0,0,0,0,0,0,0,11,8,19
COLOMI,atencion odontologica,aplicacion de fluor,2015-03-01,11,8,0,0,0,0,0,0,0,0,0,0,0,0,11,8,19
COLPA BELGICA,atencion odontologica,aplicacion de fluor,2015-03-01,27,22,78,84,10,24,0,0,0,0,0,0,0,0,115,130,245
COLQUECHACA,atencion odontologica,aplicacion de fluor,2015-03-01,8,11,0,0,0,0,0,4,1,0,0,0,0,0,9,15,24
COLQUENCHA,atencion odontologica,aplicacion de fluor,2015-03-01,0,1,1,5,0,0,0,0,0,0,0,0,0,0,1,6,7
COLQUIRI,atencion odontologica,aplicacion de fluor,2015-03-01,1,0,3,4,1,1,0,0,0,0,0,0,0,0,5,5,10
COMANCHE,atencion odontologica,aplicacion de fluor,2015-03-01,2,2,7,9,2,2,0,0,0,0,0,0,0,0,11,13,24
COMARAPA,atencion odontologica,aplicacion de fluor,2015-03-01,24,18,4,2,2,7,13,20,0,2,0,0,0,0,43,49,92
COMBAYA,atencion odontologica,aplicacion de fluor,2015-03-01,9,3,0,1,0,0,0,0,0,0,0,0,0,0,9,4,13
CONCEPCION,atencion odontologica,aplicacion de fluor,2015-03-01,30,20,33,21,1,0,0,0,0,0,0,0,0,0,64,41,105
COPACABANA,atencion odontologica,aplicacion de fluor,2015-03-01,9,12,0,0,0,0,0,0,0,0,0,0,0,0,9,12,21
CORO CORO,atencion odontologica,aplicacion de fluor,2015-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CORQUE,atencion odontologica,aplicacion de fluor,2015-03-01,9,6,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15
COTAGAITA,atencion odontologica,aplicacion de fluor,2015-03-01,0,0,6,6,0,4,0,0,0,0,0,0,0,0,6,10,16
COTOCA,atencion odontologica,aplicacion de fluor,2015-03-01,4,3,9,14,0,0,0,1,0,0,0,0,0,0,13,18,31
CUATRO CAÑADAS,atencion odontologica,aplicacion de fluor,2015-03-01,90,87,0,0,0,4,0,7,0,0,0,0,0,0,90,98,188
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,aplicacion de fluor,2015-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CUEVO,atencion odontologica,aplicacion de fluor,2015-03-01,13,24,0,0,0,4,0,3,0,0,0,0,0,0,13,31,44
CULPINA,atencion odontologica,aplicacion de fluor,2015-03-01,7,8,0,0,0,0,0,1,0,0,0,0,0,0,7,9,16
CURVA,atencion odontologica,aplicacion de fluor,2015-03-01,20,22,1,0,0,0,0,0,0,0,0,0,0,0,21,22,43
DESAGUADERO,atencion odontologica,aplicacion de fluor,2015-03-01,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
EL ALTO,atencion odontologica,aplicacion de fluor,2015-03-01,549,511,235,130,32,36,24,20,2,3,0,0,0,0,842,700,1542
EL CHORO,atencion odontologica,aplicacion de fluor,2015-03-01,13,3,1,2,0,9,0,8,0,4,0,0,0,0,14,26,40
EL PUENTE(STC),atencion odontologica,aplicacion de fluor,2015-03-01,13,4,0,0,0,0,0,0,0,0,0,0,0,0,13,4,17
EL PUENTE(TJA),atencion odontologica,aplicacion de fluor,2015-03-01,0,6,2,0,0,0,0,0,0,0,0,0,0,0,2,6,8
EL TORNO,atencion odontologica,aplicacion de fluor,2015-03-01,114,129,104,95,2,9,9,38,3,4,0,0,0,0,232,275,507
EL VILLAR,atencion odontologica,aplicacion de fluor,2015-03-01,5,6,0,0,0,1,0,0,0,0,0,0,0,0,5,7,12
ENTRE RIOS TRJ,atencion odontologica,aplicacion de fluor,2015-03-01,3,3,5,6,0,0,0,0,0,0,0,0,0,0,8,9,17
ENTRE RIOS CBBA,atencion odontologica,aplicacion de fluor,2015-03-01,4,3,1,1,0,0,0,1,0,0,0,0,0,0,5,5,10
ESCOMA,atencion odontologica,aplicacion de fluor,2015-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
FILADELFIA,atencion odontologica,aplicacion de fluor,2015-03-01,14,10,11,7,0,1,0,0,0,0,0,0,0,0,25,18,43
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,aplicacion de fluor,2015-03-01,5,4,2,2,0,0,0,2,1,0,0,0,0,0,8,8,16
GUANAY,atencion odontologica,aplicacion de fluor,2015-03-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
GUAQUI,atencion odontologica,aplicacion de fluor,2015-03-01,5,9,6,3,0,0,0,2,0,0,0,0,0,0,11,14,25
GUAYARAMERIN,atencion odontologica,aplicacion de fluor,2015-03-01,4,7,14,10,4,6,6,7,0,0,0,0,0,0,28,30,58
GUTIERREZ,atencion odontologica,aplicacion de fluor,2015-03-01,21,24,1,1,0,3,1,7,4,4,0,0,0,0,27,39,66
HUACARETA,atencion odontologica,aplicacion de fluor,2015-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HUACAYA (VILLA DE HUACAYA),atencion odontologica,aplicacion de fluor,2015-03-01,0,0,1,0,1,0,0,2,0,0,0,0,0,0,2,2,4
HUACHACALLA,atencion odontologica,aplicacion de fluor,2015-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HUANUNI,atencion odontologica,aplicacion de fluor,2015-03-01,0,1,1,1,3,5,4,0,1,1,0,0,0,0,9,8,17
HUARACAJE,atencion odontologica,aplicacion de fluor,2015-03-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
HUATAJATA,atencion odontologica,aplicacion de fluor,2015-03-01,14,13,0,0,0,0,0,0,0,0,0,0,0,0,14,13,27
HUAYLLAMARCA,atencion odontologica,aplicacion de fluor,2015-03-01,1,0,2,1,0,0,0,0,0,0,0,0,0,0,3,1,4
HUMANATA,atencion odontologica,aplicacion de fluor,2015-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ICHOCA,atencion odontologica,aplicacion de fluor,2015-03-01,18,15,0,0,0,0,0,4,0,0,0,0,0,0,18,19,37
ICLA,atencion odontologica,aplicacion de fluor,2015-03-01,46,45,2,4,0,9,0,11,0,0,0,0,0,0,48,69,117
INCAHUASI,atencion odontologica,aplicacion de fluor,2015-03-01,10,10,0,0,0,0,0,1,0,0,0,0,0,0,10,11,21
INQUISIVI,atencion odontologica,aplicacion de fluor,2015-03-01,2,5,2,0,1,0,0,0,0,0,0,0,0,0,5,5,10
IRUPANA (VILLA DE LANZA),atencion odontologica,aplicacion de fluor,2015-03-01,14,22,0,0,0,0,1,0,0,0,0,0,0,0,15,22,37
JESUS DE MACHACA,atencion odontologica,aplicacion de fluor,2015-03-01,6,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
LA ASUNTA,atencion odontologica,aplicacion de fluor,2015-03-01,19,21,2,3,1,0,1,3,0,0,0,0,0,0,23,27,50
LA GUARDIA,atencion odontologica,aplicacion de fluor,2015-03-01,77,69,429,405,0,4,0,17,2,0,0,0,0,0,508,495,1003
LA PAZ,atencion odontologica,aplicacion de fluor,2015-03-01,920,1005,684,817,175,157,54,161,15,18,0,0,0,0,1848,2158,4006
LAGUNILLAS,atencion odontologica,aplicacion de fluor,2015-03-01,36,24,0,0,0,0,0,0,0,0,0,0,0,0,36,24,60
LAJA,atencion odontologica,aplicacion de fluor,2015-03-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
LAS CARRERAS,atencion odontologica,aplicacion de fluor,2015-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LLALLAGUA,atencion odontologica,aplicacion de fluor,2015-03-01,3,2,5,3,3,6,2,11,0,0,0,0,0,0,13,22,35
LLICA,atencion odontologica,aplicacion de fluor,2015-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LORETO,atencion odontologica,aplicacion de fluor,2015-03-01,1,0,1,0,0,0,0,2,0,0,0,0,0,0,2,2,4
LURIBAY,atencion odontologica,aplicacion de fluor,2015-03-01,2,3,0,0,0,1,1,1,0,0,0,0,0,0,3,5,8
MACHACAMARCA,atencion odontologica,aplicacion de fluor,2015-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MACHARETI,atencion odontologica,aplicacion de fluor,2015-03-01,5,10,0,0,0,2,0,1,0,0,0,0,0,0,5,13,18
MAGDALENA,atencion odontologica,aplicacion de fluor,2015-03-01,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,4,5
MAIRANA,atencion odontologica,aplicacion de fluor,2015-03-01,11,12,0,1,0,0,0,8,0,0,0,0,0,0,11,21,32
MALLA,atencion odontologica,aplicacion de fluor,2015-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MAPIRI,atencion odontologica,aplicacion de fluor,2015-03-01,18,20,1,0,0,0,0,0,0,0,0,0,0,0,19,20,39
MECAPACA,atencion odontologica,aplicacion de fluor,2015-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MIZQUE,atencion odontologica,aplicacion de fluor,2015-03-01,19,14,0,0,0,0,0,1,0,0,0,0,0,0,19,15,34
MOCOMOCO,atencion odontologica,aplicacion de fluor,2015-03-01,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
MOJOCOYA,atencion odontologica,aplicacion de fluor,2015-03-01,6,1,0,1,0,1,0,3,0,0,0,0,0,0,6,6,12
MONTEAGUDO,atencion odontologica,aplicacion de fluor,2015-03-01,7,6,1,1,0,0,0,2,0,0,0,0,0,0,8,9,17
MONTERO,atencion odontologica,aplicacion de fluor,2015-03-01,50,49,22,18,3,14,18,45,7,0,0,0,0,0,100,126,226
MORO MORO,atencion odontologica,aplicacion de fluor,2015-03-01,21,12,0,0,0,0,0,0,0,0,0,0,0,0,21,12,33
MOROCHATA,atencion odontologica,aplicacion de fluor,2015-03-01,12,8,0,0,0,1,0,3,0,0,0,0,0,0,12,12,24
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,aplicacion de fluor,2015-03-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
OMEREQUE,atencion odontologica,aplicacion de fluor,2015-03-01,13,11,168,184,16,12,1,0,0,0,0,0,0,0,198,207,405
ORURO,atencion odontologica,aplicacion de fluor,2015-03-01,32,43,23,28,12,6,20,41,17,14,0,0,0,0,104,132,236
PADCAYA,atencion odontologica,aplicacion de fluor,2015-03-01,0,1,8,4,1,0,1,0,0,0,0,0,0,0,10,5,15
PADILLA,atencion odontologica,aplicacion de fluor,2015-03-01,2,3,2,1,0,0,0,1,0,0,0,0,0,0,4,5,9
PAILON,atencion odontologica,aplicacion de fluor,2015-03-01,3,3,0,0,0,1,0,0,0,0,0,0,0,0,3,4,7
PALCA,atencion odontologica,aplicacion de fluor,2015-03-01,32,17,0,0,0,0,0,2,0,0,0,0,0,0,32,19,51
PALOS BLANCOS,atencion odontologica,aplicacion de fluor,2015-03-01,12,14,1,0,0,3,0,3,1,1,0,0,0,0,14,21,35
PAMPA GRANDE,atencion odontologica,aplicacion de fluor,2015-03-01,6,10,0,0,0,0,0,0,0,0,0,0,0,0,6,10,16
PASORAPA,atencion odontologica,aplicacion de fluor,2015-03-01,2,5,45,30,3,2,0,0,0,0,0,0,0,0,50,37,87
PATACAMAYA,atencion odontologica,aplicacion de fluor,2015-03-01,7,12,0,0,0,0,0,0,0,0,0,0,0,0,7,12,19
PAZÑA,atencion odontologica,aplicacion de fluor,2015-03-01,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,3
PELECHUCO,atencion odontologica,aplicacion de fluor,2015-03-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
POCOATA,atencion odontologica,aplicacion de fluor,2015-03-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
POCONA,atencion odontologica,aplicacion de fluor,2015-03-01,4,0,10,19,0,0,0,4,0,0,0,0,0,0,14,23,37
POJO (CBBA),atencion odontologica,aplicacion de fluor,2015-03-01,3,2,4,5,0,0,0,0,0,0,0,0,0,0,7,7,14
POOPO,atencion odontologica,aplicacion de fluor,2015-03-01,0,0,0,1,0,0,1,1,2,0,0,0,0,0,3,2,5
POROMA,atencion odontologica,aplicacion de fluor,2015-03-01,21,11,29,24,13,5,0,0,0,0,0,0,0,0,63,40,103
PORONGO,atencion odontologica,aplicacion de fluor,2015-03-01,25,23,106,108,1,4,1,1,3,3,0,0,0,0,136,139,275
PORTACHUELO,atencion odontologica,aplicacion de fluor,2015-03-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
PORVENIR,atencion odontologica,aplicacion de fluor,2015-03-01,25,27,62,69,2,0,0,1,0,0,0,0,0,0,89,97,186
POTOSI,atencion odontologica,aplicacion de fluor,2015-03-01,48,75,15,20,16,25,19,50,0,16,0,0,0,0,98,186,284
PRESTO,atencion odontologica,aplicacion de fluor,2015-03-01,13,23,3,1,0,0,0,0,0,0,0,0,0,0,16,24,40
PUCARANI,atencion odontologica,aplicacion de fluor,2015-03-01,4,8,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12
PUERTO ACOSTA,atencion odontologica,aplicacion de fluor,2015-03-01,18,11,0,0,0,0,0,0,0,0,0,0,0,0,18,11,29
PUERTO CARABUCO,atencion odontologica,aplicacion de fluor,2015-03-01,6,4,0,0,1,0,0,1,0,0,0,0,0,0,7,5,12
PUERTO GONZALO MORENO,atencion odontologica,aplicacion de fluor,2015-03-01,22,26,40,50,29,28,0,12,1,1,0,0,0,0,92,117,209
PUERTO QUIJARRO,atencion odontologica,aplicacion de fluor,2015-03-01,73,64,0,0,1,0,0,1,0,0,0,0,0,0,74,65,139
PUERTO RICO,atencion odontologica,aplicacion de fluor,2015-03-01,5,9,3,5,6,9,0,1,0,0,0,0,0,0,14,24,38
PUERTO SUAREZ,atencion odontologica,aplicacion de fluor,2015-03-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
PUERTO VILLARROEL,atencion odontologica,aplicacion de fluor,2015-03-01,13,13,15,19,2,2,2,6,0,0,0,0,0,0,32,40,72
PUNA,atencion odontologica,aplicacion de fluor,2015-03-01,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,3
PUNATA,atencion odontologica,aplicacion de fluor,2015-03-01,17,17,1,1,2,4,2,6,0,0,0,0,0,0,22,28,50
QUIABAYA,atencion odontologica,aplicacion de fluor,2015-03-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
QUILLACOLLO,atencion odontologica,aplicacion de fluor,2015-03-01,57,74,25,40,24,25,20,38,14,12,0,0,0,0,140,189,329
QUIME,atencion odontologica,aplicacion de fluor,2015-03-01,18,13,0,1,0,0,4,1,0,0,0,0,0,0,22,15,37
QUIRUSILLAS,atencion odontologica,aplicacion de fluor,2015-03-01,2,3,29,29,2,0,0,0,0,0,0,0,0,0,33,32,65
RAVELO,atencion odontologica,aplicacion de fluor,2015-03-01,10,6,0,0,0,0,0,4,0,1,0,0,0,0,10,11,21
REYES,atencion odontologica,aplicacion de fluor,2015-03-01,0,0,3,3,2,0,0,0,0,0,0,0,0,0,5,3,8
RIBERALTA,atencion odontologica,aplicacion de fluor,2015-03-01,96,78,40,34,7,22,18,67,0,0,0,0,0,0,161,201,362
ROBORE,atencion odontologica,aplicacion de fluor,2015-03-01,15,14,7,10,3,0,0,5,0,0,0,0,0,0,25,29,54
RURRENABAQUE,atencion odontologica,aplicacion de fluor,2015-03-01,7,16,2,9,4,7,3,9,0,0,0,0,0,0,16,41,57
SACABA,atencion odontologica,aplicacion de fluor,2015-03-01,13,30,4,9,1,9,5,10,0,0,0,0,0,0,23,58,81
SACACA,atencion odontologica,aplicacion de fluor,2015-03-01,10,7,0,0,0,0,0,11,0,0,0,0,0,0,10,18,28
SALINAS DE GARCI MENDOZA,atencion odontologica,aplicacion de fluor,2015-03-01,22,28,26,23,0,6,0,12,1,1,0,0,0,0,49,70,119
SAMAIPATA,atencion odontologica,aplicacion de fluor,2015-03-01,18,19,0,0,0,1,0,1,0,0,0,0,0,0,18,21,39
SAN AGUSTIN,atencion odontologica,aplicacion de fluor,2015-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN ANDRES,atencion odontologica,aplicacion de fluor,2015-03-01,8,13,3,4,1,2,0,1,0,0,0,0,0,0,12,20,32
SAN ANDRES DE MACHACA,atencion odontologica,aplicacion de fluor,2015-03-01,5,3,12,17,0,1,0,1,0,0,0,0,0,0,17,22,39
SAN ANTONIO DE LOMERIO,atencion odontologica,aplicacion de fluor,2015-03-01,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,4
SAN BENITO,atencion odontologica,aplicacion de fluor,2015-03-01,2,0,4,3,0,0,0,0,0,0,0,0,0,0,6,3,9
SAN BORJA,atencion odontologica,aplicacion de fluor,2015-03-01,9,10,7,8,1,3,0,1,0,1,0,0,0,0,17,23,40
SAN BUENA VENTURA,atencion odontologica,aplicacion de fluor,2015-03-01,5,11,2,3,0,1,0,0,0,0,0,0,0,0,7,15,22
SAN IGNACIO,atencion odontologica,aplicacion de fluor,2015-03-01,5,7,40,25,1,4,1,4,0,0,0,0,0,0,47,40,87
SAN IGNACIO DE VELASCO,atencion odontologica,aplicacion de fluor,2015-03-01,60,53,189,193,92,103,0,0,0,0,0,0,0,0,341,349,690
SAN JAVIER(BNI),atencion odontologica,aplicacion de fluor,2015-03-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SAN JAVIER(STC),atencion odontologica,aplicacion de fluor,2015-03-01,20,30,152,214,0,1,0,0,0,0,0,0,0,0,172,245,417
SAN JOSE DE CHIQUITOS,atencion odontologica,aplicacion de fluor,2015-03-01,0,4,4,5,1,2,0,2,0,0,0,0,0,0,5,13,18
SAN JUAN DE YAPACANI,atencion odontologica,aplicacion de fluor,2015-03-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
SAN JULIAN,atencion odontologica,aplicacion de fluor,2015-03-01,166,162,28,39,0,1,0,1,0,0,0,0,0,0,194,203,397
