,group,variable,month,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES EMB,RESTAURACIONES EMB,RESTAURACIONES POST,RESTAURACIONES POST,TOTALES,TOTALES,TOTALES
BERMEJO,atencion odontologica,restauraciones,2015-04-01,21,49,77,75,84,175,211,326,1,11,0,0,0,0,394,636,1030
BETANZOS,atencion odontologica,restauraciones,2015-04-01,24,32,24,35,3,7,18,72,1,1,0,0,0,0,70,147,217
BOLIVAR,atencion odontologica,restauraciones,2015-04-01,1,0,1,1,3,0,2,6,0,0,0,0,0,0,7,7,14
BOYUIBE,atencion odontologica,restauraciones,2015-04-01,2,9,0,2,0,0,2,9,2,0,0,0,0,0,6,20,26
BUENA VISTA,atencion odontologica,restauraciones,2015-04-01,12,8,2,2,1,16,4,6,17,2,0,0,0,0,36,34,70
CABEZAS,atencion odontologica,restauraciones,2015-04-01,13,32,6,3,17,6,9,29,2,0,0,0,0,0,47,70,117
CAIROMA,atencion odontologica,restauraciones,2015-04-01,18,13,7,15,3,4,6,28,0,0,0,0,0,0,34,60,94
"CAIZA ""D""",atencion odontologica,restauraciones,2015-04-01,24,8,4,2,2,4,2,20,0,1,0,0,0,0,32,35,67
CAJUATA,atencion odontologica,restauraciones,2015-04-01,3,11,9,15,2,11,7,14,0,0,0,0,0,0,21,51,72
CALACOTO,atencion odontologica,restauraciones,2015-04-01,1,1,4,3,1,0,0,7,0,0,0,0,0,0,6,11,17
CALAMARCA,atencion odontologica,restauraciones,2015-04-01,12,9,1,2,6,2,22,15,5,0,0,0,0,0,46,28,74
CAMARGO,atencion odontologica,restauraciones,2015-04-01,28,31,1,1,0,4,0,31,2,4,0,0,0,0,31,71,102
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,restauraciones,2015-04-01,0,2,1,8,4,7,5,17,0,1,0,0,0,0,10,35,45
CAMIRI,atencion odontologica,restauraciones,2015-04-01,30,36,16,4,10,34,25,132,19,9,0,0,0,0,100,215,315
CAPINOTA,atencion odontologica,restauraciones,2015-04-01,24,41,32,35,19,14,49,55,6,6,0,0,0,0,130,151,281
CAQUIAVIRI,atencion odontologica,restauraciones,2015-04-01,4,17,3,3,0,9,0,8,3,1,0,0,0,0,10,38,48
CARACOLLO,atencion odontologica,restauraciones,2015-04-01,17,21,11,10,4,9,25,61,5,6,0,0,0,0,62,107,169
CARANAVI,atencion odontologica,restauraciones,2015-04-01,44,64,10,16,16,28,18,26,9,6,0,0,0,0,97,140,237
CARAPARI,atencion odontologica,restauraciones,2015-04-01,8,9,12,30,34,40,77,89,0,1,0,0,0,0,131,169,300
CARMEN RIVERO TORREZ,atencion odontologica,restauraciones,2015-04-01,0,0,1,0,0,1,0,14,0,1,0,0,0,0,1,16,17
CATACORA,atencion odontologica,restauraciones,2015-04-01,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,10,10
CHALLAPATA,atencion odontologica,restauraciones,2015-04-01,92,90,69,93,2,27,17,83,5,10,0,0,0,0,185,303,488
CHAQUI,atencion odontologica,restauraciones,2015-04-01,1,0,0,0,0,0,0,7,0,1,0,0,0,0,1,8,9
CHARAGUA,atencion odontologica,restauraciones,2015-04-01,14,16,2,8,4,3,4,13,0,1,0,0,0,0,24,41,65
CHARAÑA,atencion odontologica,restauraciones,2015-04-01,0,1,0,1,0,0,6,2,0,0,0,0,0,0,6,4,10
CHAYANTA,atencion odontologica,restauraciones,2015-04-01,11,15,3,0,6,2,3,24,1,10,0,0,0,0,24,51,75
CHIMORE,atencion odontologica,restauraciones,2015-04-01,20,32,3,2,3,15,7,39,7,0,0,0,0,0,40,88,128
CHIPAYA,atencion odontologica,restauraciones,2015-04-01,0,0,2,1,2,0,0,0,0,0,0,0,0,0,4,1,5
CHOQUE COTA,atencion odontologica,restauraciones,2015-04-01,3,2,0,0,0,0,2,1,0,2,0,0,0,0,5,5,10
CHUA COCANI,atencion odontologica,restauraciones,2015-04-01,4,0,0,0,0,0,2,2,0,2,0,0,0,0,6,4,10
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,restauraciones,2015-04-01,14,9,0,3,2,3,5,18,0,0,0,0,0,0,21,33,54
CHUMA,atencion odontologica,restauraciones,2015-04-01,15,19,8,11,8,26,31,53,11,7,0,0,0,0,73,116,189
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,restauraciones,2015-04-01,2,9,0,0,0,0,0,1,1,0,0,0,0,0,3,10,13
CKOCHAS,atencion odontologica,restauraciones,2015-04-01,10,7,0,1,0,0,3,14,0,0,0,0,0,0,13,22,35
CLIZA,atencion odontologica,restauraciones,2015-04-01,30,34,17,10,3,20,5,50,9,21,0,0,0,0,64,135,199
COBIJA,atencion odontologica,restauraciones,2015-04-01,44,53,32,22,9,39,74,155,10,1,0,0,0,0,169,270,439
COCAPATA,atencion odontologica,restauraciones,2015-04-01,54,24,7,5,6,16,10,59,0,1,0,0,0,0,77,105,182
COCHABAMBA,atencion odontologica,restauraciones,2015-04-01,1144,1074,685,797,455,890,1203,2833,371,330,0,0,0,0,3858,5924,9782
COIPASA,atencion odontologica,restauraciones,2015-04-01,3,6,0,0,4,2,14,6,3,3,0,0,0,0,24,17,41
COLCAPIRHUA,atencion odontologica,restauraciones,2015-04-01,84,109,2,2,0,17,10,66,9,3,0,0,0,0,105,197,302
"COLCHA ""K""",atencion odontologica,restauraciones,2015-04-01,7,13,1,2,2,3,3,11,3,1,0,0,0,0,16,30,46
COLLANA,atencion odontologica,restauraciones,2015-04-01,11,4,11,22,2,6,2,11,0,0,0,0,0,0,26,43,69
COLOMI,atencion odontologica,restauraciones,2015-04-01,16,10,0,1,3,7,0,22,0,2,0,0,0,0,19,42,61
COLPA BELGICA,atencion odontologica,restauraciones,2015-04-01,16,10,0,0,0,0,0,1,3,0,0,0,0,0,19,11,30
COLQUECHACA,atencion odontologica,restauraciones,2015-04-01,23,17,10,9,6,23,22,63,6,1,0,0,0,0,67,113,180
COLQUENCHA,atencion odontologica,restauraciones,2015-04-01,9,5,20,23,8,15,6,21,3,0,0,0,0,0,46,64,110
COLQUIRI,atencion odontologica,restauraciones,2015-04-01,8,9,2,0,0,0,1,3,1,0,0,0,0,0,12,12,24
COMANCHE,atencion odontologica,restauraciones,2015-04-01,6,4,0,0,0,0,2,1,0,0,0,0,0,0,8,5,13
COMARAPA,atencion odontologica,restauraciones,2015-04-01,21,40,4,3,4,55,17,38,5,3,0,0,0,0,51,139,190
COMBAYA,atencion odontologica,restauraciones,2015-04-01,6,1,1,1,0,1,0,7,5,4,0,0,0,0,12,14,26
CONCEPCION,atencion odontologica,restauraciones,2015-04-01,2,4,1,6,2,1,4,15,1,0,0,0,0,0,10,26,36
COPACABANA,atencion odontologica,restauraciones,2015-04-01,2,4,1,0,0,1,2,1,2,1,0,0,0,0,7,7,14
CORIPATA,atencion odontologica,restauraciones,2015-04-01,9,13,1,1,0,2,0,18,0,0,0,0,0,0,10,34,44
CORO CORO,atencion odontologica,restauraciones,2015-04-01,2,1,0,2,1,1,0,11,4,0,0,0,0,0,7,15,22
COROICO,atencion odontologica,restauraciones,2015-04-01,20,3,17,17,8,18,0,0,0,0,0,0,0,0,45,38,83
CORQUE,atencion odontologica,restauraciones,2015-04-01,9,5,2,0,0,9,2,9,3,0,0,0,0,0,16,23,39
COTAGAITA,atencion odontologica,restauraciones,2015-04-01,4,9,6,20,12,30,24,78,14,6,0,0,0,0,60,143,203
COTOCA,atencion odontologica,restauraciones,2015-04-01,49,39,1,4,0,7,3,52,3,0,0,0,0,0,56,102,158
CUATRO CAÑADAS,atencion odontologica,restauraciones,2015-04-01,34,38,9,6,5,11,4,49,1,0,0,0,0,0,53,104,157
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,restauraciones,2015-04-01,1,0,3,1,0,0,1,0,0,1,0,0,0,0,5,2,7
CUEVO,atencion odontologica,restauraciones,2015-04-01,0,0,1,1,8,1,5,6,2,0,0,0,0,0,16,8,24
CULPINA,atencion odontologica,restauraciones,2015-04-01,14,24,1,2,4,12,3,38,2,6,0,0,0,0,24,82,106
CURAHUARA DE CARANGAS,atencion odontologica,restauraciones,2015-04-01,15,20,2,0,0,1,3,11,6,2,0,0,0,0,26,34,60
CURVA,atencion odontologica,restauraciones,2015-04-01,6,4,0,0,0,1,3,5,0,1,0,0,0,0,9,11,20
DESAGUADERO,atencion odontologica,restauraciones,2015-04-01,3,6,5,8,14,8,5,9,10,13,0,0,0,0,37,44,81
EL ALTO,atencion odontologica,restauraciones,2015-04-01,1269,1342,1331,1689,467,886,585,1644,115,77,0,0,0,0,3767,5638,9405
EL CHORO,atencion odontologica,restauraciones,2015-04-01,8,8,0,0,0,0,0,1,1,2,0,0,0,0,9,11,20
EL PUENTE(STC),atencion odontologica,restauraciones,2015-04-01,10,11,7,0,1,7,8,21,8,0,0,0,0,0,34,39,73
EL PUENTE(TJA),atencion odontologica,restauraciones,2015-04-01,6,4,6,8,4,12,9,62,3,5,0,0,0,0,28,91,119
EL TORNO,atencion odontologica,restauraciones,2015-04-01,40,54,33,25,37,75,34,176,6,21,0,0,0,0,150,351,501
EL VILLAR,atencion odontologica,restauraciones,2015-04-01,15,8,2,7,1,7,4,14,0,0,0,0,0,0,22,36,58
ENTRE RIOS TRJ,atencion odontologica,restauraciones,2015-04-01,6,1,5,19,17,23,16,54,0,0,0,0,0,0,44,97,141
ENTRE RIOS CBBA,atencion odontologica,restauraciones,2015-04-01,51,51,2,9,2,8,3,31,2,4,0,0,0,0,60,103,163
ESCOMA,atencion odontologica,restauraciones,2015-04-01,1,0,0,1,1,0,4,2,0,0,0,0,0,0,6,3,9
EUCALIPTUS,atencion odontologica,restauraciones,2015-04-01,2,9,1,3,0,5,3,12,1,2,0,0,0,0,7,31,38
FERNANDEZ ALONSO,atencion odontologica,restauraciones,2015-04-01,10,10,9,7,1,4,2,15,4,2,0,0,0,0,26,38,64
FILADELFIA,atencion odontologica,restauraciones,2015-04-01,5,5,10,6,2,6,5,5,1,0,0,0,0,0,23,22,45
GENERAL SAAVEDRA,atencion odontologica,restauraciones,2015-04-01,10,9,0,0,0,12,6,20,0,0,0,0,0,0,16,41,57
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,restauraciones,2015-04-01,12,12,3,0,0,3,5,6,0,3,0,0,0,0,20,24,44
GUANAY,atencion odontologica,restauraciones,2015-04-01,4,0,0,0,0,1,0,5,0,1,0,0,0,0,4,7,11
GUAQUI,atencion odontologica,restauraciones,2015-04-01,9,15,4,0,0,6,2,13,2,4,0,0,0,0,17,38,55
GUAYARAMERIN,atencion odontologica,restauraciones,2015-04-01,13,24,44,47,81,161,274,449,8,18,0,0,0,0,420,699,1119
GUTIERREZ,atencion odontologica,restauraciones,2015-04-01,0,0,0,3,0,6,0,1,0,0,0,0,0,0,0,10,10
HUACARETA,atencion odontologica,restauraciones,2015-04-01,11,6,0,0,3,8,3,16,2,5,0,0,0,0,19,35,54
HUACAYA (VILLA DE HUACAYA),atencion odontologica,restauraciones,2015-04-01,1,3,0,4,7,12,2,14,0,0,0,0,0,0,10,33,43
HUACHACALLA,atencion odontologica,restauraciones,2015-04-01,3,6,0,0,0,0,0,4,5,27,0,0,0,0,8,37,45
HUANUNI,atencion odontologica,restauraciones,2015-04-01,35,39,36,83,31,49,48,55,1,6,0,0,0,0,151,232,383
HUARACAJE,atencion odontologica,restauraciones,2015-04-01,0,0,0,0,0,2,4,2,1,1,0,0,0,0,5,5,10
HUARINA,atencion odontologica,restauraciones,2015-04-01,0,0,4,14,0,2,6,2,0,0,0,0,0,0,10,18,28
HUATAJATA,atencion odontologica,restauraciones,2015-04-01,1,2,0,0,0,1,4,11,6,6,0,0,0,0,11,20,31
HUAYLLAMARCA,atencion odontologica,restauraciones,2015-04-01,7,14,14,21,5,1,22,15,3,1,0,0,0,0,51,52,103
HUMANATA,atencion odontologica,restauraciones,2015-04-01,2,1,0,0,0,1,0,3,11,6,0,0,0,0,13,11,24
ICHOCA,atencion odontologica,restauraciones,2015-04-01,7,12,0,0,0,3,2,2,2,1,0,0,0,0,11,18,29
ICLA,atencion odontologica,restauraciones,2015-04-01,10,28,2,9,7,13,10,19,1,0,0,0,0,0,30,69,99
INCAHUASI,atencion odontologica,restauraciones,2015-04-01,10,8,2,1,2,10,5,31,0,9,0,0,0,0,19,59,78
INQUISIVI,atencion odontologica,restauraciones,2015-04-01,8,3,1,0,4,1,3,7,1,2,0,0,0,0,17,13,30
IRUPANA (VILLA DE LANZA),atencion odontologica,restauraciones,2015-04-01,31,67,2,8,10,13,6,30,2,3,0,0,0,0,51,121,172
IXIAMAS,atencion odontologica,restauraciones,2015-04-01,7,11,3,1,3,2,5,23,0,0,0,0,0,0,18,37,55
JESUS DE MACHACA,atencion odontologica,restauraciones,2015-04-01,6,8,0,1,7,9,8,5,1,0,0,0,0,0,22,23,45
LA ASUNTA,atencion odontologica,restauraciones,2015-04-01,24,17,11,10,11,12,23,58,0,0,0,0,0,0,69,97,166
LA GUARDIA,atencion odontologica,restauraciones,2015-04-01,112,93,2,4,3,53,2,121,16,5,0,0,0,0,135,276,411
LA PAZ,atencion odontologica,restauraciones,2015-04-01,1875,1906,821,782,360,588,1248,2731,290,299,0,0,0,0,4594,6306,10900
LAGUNILLAS,atencion odontologica,restauraciones,2015-04-01,0,0,0,4,1,12,7,22,1,0,0,0,0,0,9,38,47
LAJA,atencion odontologica,restauraciones,2015-04-01,19,24,0,3,0,9,8,26,0,5,0,0,0,0,27,67,94
LAS CARRERAS,atencion odontologica,restauraciones,2015-04-01,3,3,2,2,3,3,8,21,4,1,0,0,0,0,20,30,50
LICOMA PAMPA,atencion odontologica,restauraciones,2015-04-01,7,8,0,0,0,11,1,11,0,1,0,0,0,0,8,31,39
LLALLAGUA,atencion odontologica,restauraciones,2015-04-01,83,147,21,33,15,33,17,122,8,17,0,0,0,0,144,352,496
LLICA,atencion odontologica,restauraciones,2015-04-01,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,4,6
LURIBAY,atencion odontologica,restauraciones,2015-04-01,2,5,1,5,4,4,5,16,0,0,0,0,0,0,12,30,42
MACHACAMARCA,atencion odontologica,restauraciones,2015-04-01,7,5,7,5,2,3,10,49,9,7,0,0,0,0,35,69,104
MACHARETI,atencion odontologica,restauraciones,2015-04-01,24,28,0,0,0,8,3,18,1,3,0,0,0,0,28,57,85
MAGDALENA,atencion odontologica,restauraciones,2015-04-01,2,4,7,5,3,25,0,6,0,0,0,0,0,0,12,40,52
MAIRANA,atencion odontologica,restauraciones,2015-04-01,7,6,3,2,5,8,4,46,6,0,0,0,0,0,25,62,87
MALLA,atencion odontologica,restauraciones,2015-04-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
MAPIRI,atencion odontologica,restauraciones,2015-04-01,9,22,1,3,4,7,11,12,0,0,0,0,0,0,25,44,69
MECAPACA,atencion odontologica,restauraciones,2015-04-01,13,26,7,7,0,1,6,19,0,0,0,0,0,0,26,53,79
MINEROS,atencion odontologica,restauraciones,2015-04-01,0,3,0,0,0,1,0,6,0,0,0,0,0,0,0,10,10
MIZQUE,atencion odontologica,restauraciones,2015-04-01,16,15,4,3,1,3,3,10,1,3,0,0,0,0,25,34,59
MOCOMOCO,atencion odontologica,restauraciones,2015-04-01,4,5,0,1,3,5,14,10,1,1,0,0,0,0,22,22,44
MOJOCOYA,atencion odontologica,restauraciones,2015-04-01,2,6,5,7,2,12,10,24,5,0,0,0,0,0,24,49,73
MONTEAGUDO,atencion odontologica,restauraciones,2015-04-01,36,52,2,6,25,47,43,116,2,2,0,0,0,0,108,223,331
MONTERO,atencion odontologica,restauraciones,2015-04-01,28,39,19,26,15,39,35,189,20,16,0,0,0,0,117,309,426
MORO MORO,atencion odontologica,restauraciones,2015-04-01,3,0,1,0,0,0,1,4,0,0,0,0,0,0,5,4,9
MOROCHATA,atencion odontologica,restauraciones,2015-04-01,13,55,6,0,4,36,8,30,6,7,0,0,0,0,37,128,165
OCURI,atencion odontologica,restauraciones,2015-04-01,1,11,0,0,0,8,4,19,0,1,0,0,0,0,5,39,44
OKINAWA,atencion odontologica,restauraciones,2015-04-01,0,0,1,0,0,2,0,14,1,0,0,0,0,0,2,16,18
OMEREQUE,atencion odontologica,restauraciones,2015-04-01,4,11,8,0,0,0,2,12,3,0,0,0,0,0,17,23,40
ORURO,atencion odontologica,restauraciones,2015-04-01,422,496,301,321,172,289,674,1162,221,90,0,0,0,0,1790,2358,4148
PADCAYA,atencion odontologica,restauraciones,2015-04-01,0,1,17,14,12,21,16,35,1,0,0,0,0,0,46,71,117
PADILLA,atencion odontologica,restauraciones,2015-04-01,26,21,3,10,7,7,21,65,2,2,0,0,0,0,59,105,164
PAILON,atencion odontologica,restauraciones,2015-04-01,64,44,36,12,5,24,4,94,2,3,0,0,0,0,111,177,288
PALCA,atencion odontologica,restauraciones,2015-04-01,19,25,11,8,2,9,1,25,2,0,0,0,0,0,35,67,102
PALOS BLANCOS,atencion odontologica,restauraciones,2015-04-01,23,22,15,10,7,13,13,44,6,0,0,0,0,0,64,89,153
PAMPA AULLAGAS,atencion odontologica,restauraciones,2015-04-01,3,3,2,0,0,10,5,6,1,0,0,0,0,0,11,19,30
PAMPA GRANDE,atencion odontologica,restauraciones,2015-04-01,6,19,0,0,0,0,0,11,0,4,0,0,0,0,6,34,40
PAPEL PAMPA,atencion odontologica,restauraciones,2015-04-01,3,4,0,0,2,4,3,6,2,1,0,0,0,0,10,15,25
PASORAPA,atencion odontologica,restauraciones,2015-04-01,0,8,0,0,0,0,1,1,0,0,0,0,0,0,1,9,10
PATACAMAYA,atencion odontologica,restauraciones,2015-04-01,27,34,4,8,1,11,15,35,0,6,0,0,0,0,47,94,141
PAZÑA,atencion odontologica,restauraciones,2015-04-01,20,16,3,3,0,2,3,12,2,3,0,0,0,0,28,36,64
PELECHUCO,atencion odontologica,restauraciones,2015-04-01,0,0,0,1,1,0,3,1,0,0,0,0,0,0,4,2,6
POCOATA,atencion odontologica,restauraciones,2015-04-01,6,14,0,0,3,0,0,29,2,3,0,0,0,0,11,46,57
POCONA,atencion odontologica,restauraciones,2015-04-01,28,29,117,118,3,6,22,42,3,2,0,0,0,0,173,197,370
POJO (CBBA),atencion odontologica,restauraciones,2015-04-01,36,39,8,17,4,5,4,21,0,1,0,0,0,0,52,83,135
POOPO,atencion odontologica,restauraciones,2015-04-01,4,15,29,47,20,14,41,48,18,5,0,0,0,0,112,129,241
PORCO,atencion odontologica,restauraciones,2015-04-01,6,10,0,0,0,6,0,22,0,0,0,0,0,0,6,38,44
POROMA,atencion odontologica,restauraciones,2015-04-01,8,2,5,5,3,6,2,25,0,0,0,0,0,0,18,38,56
PORONGO,atencion odontologica,restauraciones,2015-04-01,0,0,0,0,0,0,1,1,2,0,0,0,0,0,3,1,4
PORTACHUELO,atencion odontologica,restauraciones,2015-04-01,8,4,10,4,3,6,3,13,1,3,0,0,0,0,25,30,55
PORVENIR,atencion odontologica,restauraciones,2015-04-01,5,4,3,2,2,4,3,8,1,0,0,0,0,0,14,18,32
POSTRER VALLE,atencion odontologica,restauraciones,2015-04-01,1,1,1,0,0,0,0,2,0,0,0,0,0,0,2,3,5
POTOSI,atencion odontologica,restauraciones,2015-04-01,255,253,107,119,180,197,274,758,29,19,0,0,0,0,845,1346,2191
PRESTO,atencion odontologica,restauraciones,2015-04-01,7,9,7,18,1,10,2,19,0,1,0,0,0,0,17,57,74
PUCARANI,atencion odontologica,restauraciones,2015-04-01,19,9,4,5,0,7,17,9,4,6,0,0,0,0,44,36,80
PUERTO ACOSTA,atencion odontologica,restauraciones,2015-04-01,6,6,2,2,2,5,3,7,3,8,0,0,0,0,16,28,44
PUERTO CARABUCO,atencion odontologica,restauraciones,2015-04-01,7,8,7,3,3,3,27,28,34,2,0,0,0,0,78,44,122
PUERTO GONZALO MORENO,atencion odontologica,restauraciones,2015-04-01,33,38,10,18,0,1,1,5,0,1,0,0,0,0,44,63,107
PUERTO QUIJARRO,atencion odontologica,restauraciones,2015-04-01,10,11,1,0,0,7,18,43,1,0,0,0,0,0,30,61,91
PUERTO RICO,atencion odontologica,restauraciones,2015-04-01,1,0,1,0,1,4,5,6,5,0,0,0,0,0,13,10,23
PUERTO SUAREZ,atencion odontologica,restauraciones,2015-04-01,5,18,0,0,0,1,0,33,0,0,0,0,0,0,5,52,57
PUERTO VILLARROEL,atencion odontologica,restauraciones,2015-04-01,43,69,16,32,25,37,27,113,6,5,0,0,0,0,117,256,373
PUNA,atencion odontologica,restauraciones,2015-04-01,11,11,1,5,6,8,5,51,13,5,0,0,0,0,36,80,116
PUNATA,atencion odontologica,restauraciones,2015-04-01,83,73,22,27,18,16,31,99,14,15,0,0,0,0,168,230,398
QUIABAYA,atencion odontologica,restauraciones,2015-04-01,2,4,0,0,0,0,2,7,0,0,0,0,0,0,4,11,15
QUILLACOLLO,atencion odontologica,restauraciones,2015-04-01,421,470,253,242,161,303,326,767,151,160,0,0,0,0,1312,1942,3254
QUIME,atencion odontologica,restauraciones,2015-04-01,41,45,5,11,4,7,14,18,10,4,0,0,0,0,74,85,159
QUIRUSILLAS,atencion odontologica,restauraciones,2015-04-01,0,0,0,2,2,3,0,7,0,0,0,0,0,0,2,12,14
RAVELO,atencion odontologica,restauraciones,2015-04-01,17,7,3,1,0,0,9,13,2,1,0,0,0,0,31,22,53
REYES,atencion odontologica,restauraciones,2015-04-01,0,2,13,20,3,11,31,63,2,4,0,0,0,0,49,100,149
RIBERALTA,atencion odontologica,restauraciones,2015-04-01,33,36,25,28,14,41,42,113,8,1,0,0,0,0,122,219,341
ROBORE,atencion odontologica,restauraciones,2015-04-01,0,1,1,8,5,7,14,14,7,0,0,0,0,0,27,30,57
RURRENABAQUE,atencion odontologica,restauraciones,2015-04-01,10,16,10,15,11,20,37,48,7,5,0,0,0,0,75,104,179
SABAYA,atencion odontologica,restauraciones,2015-04-01,16,10,0,7,0,1,8,14,9,10,0,0,0,0,33,42,75
SACABA,atencion odontologica,restauraciones,2015-04-01,263,220,253,266,58,108,186,278,58,30,0,0,0,0,818,902,1720
SACABAMBA,atencion odontologica,restauraciones,2015-04-01,0,6,0,2,0,1,0,10,1,0,0,0,0,0,1,19,20
SACACA,atencion odontologica,restauraciones,2015-04-01,8,14,1,1,2,0,1,20,3,3,0,0,0,0,15,38,53
SAIPINA,atencion odontologica,restauraciones,2015-04-01,4,4,0,9,4,2,1,4,10,1,0,0,0,0,19,20,39
SALINAS DE GARCI MENDOZA,atencion odontologica,restauraciones,2015-04-01,44,79,31,34,4,13,8,33,5,18,0,0,0,0,92,177,269
SAMAIPATA,atencion odontologica,restauraciones,2015-04-01,5,0,5,9,2,2,4,15,0,2,0,0,0,0,16,28,44
SAN AGUSTIN,atencion odontologica,restauraciones,2015-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN ANDRES,atencion odontologica,restauraciones,2015-04-01,7,4,4,22,1,10,10,27,1,0,0,0,0,0,23,63,86
SAN ANDRES DE MACHACA,atencion odontologica,restauraciones,2015-04-01,13,28,29,19,8,7,9,19,9,2,0,0,0,0,68,75,143
SAN ANTONIO DE ESMORUCO,atencion odontologica,restauraciones,2015-04-01,0,0,2,0,0,0,1,6,0,1,0,0,0,0,3,7,10
SAN ANTONIO DE LOMERIO,atencion odontologica,restauraciones,2015-04-01,2,4,0,0,0,1,3,0,0,0,0,0,0,0,5,5,10
SAN BENITO,atencion odontologica,restauraciones,2015-04-01,12,2,0,8,0,3,0,14,1,3,0,0,0,0,13,30,43
SAN BORJA,atencion odontologica,restauraciones,2015-04-01,16,6,16,17,6,23,11,68,4,3,0,0,0,0,53,117,170
SAN BUENA VENTURA,atencion odontologica,restauraciones,2015-04-01,6,3,1,1,0,2,0,21,0,0,0,0,0,0,7,27,34
SAN CARLOS,atencion odontologica,restauraciones,2015-04-01,10,10,2,4,10,12,13,22,15,3,0,0,0,0,50,51,101
SAN IGNACIO,atencion odontologica,restauraciones,2015-04-01,19,45,45,41,23,65,33,110,2,1,0,0,0,0,122,262,384
SAN IGNACIO DE VELASCO,atencion odontologica,restauraciones,2015-04-01,11,10,1,7,10,15,41,56,13,2,0,0,0,0,76,90,166
SAN JAVIER(BNI),atencion odontologica,restauraciones,2015-04-01,1,0,1,4,0,1,1,0,0,0,0,0,0,0,3,5,8
SAN JAVIER(STC),atencion odontologica,restauraciones,2015-04-01,1,6,2,1,1,5,0,18,5,3,0,0,0,0,9,33,42
SAN JOAQUIN,atencion odontologica,restauraciones,2015-04-01,6,5,0,0,0,0,0,6,0,0,0,0,0,0,6,11,17
SAN JOSE DE CHIQUITOS,atencion odontologica,restauraciones,2015-04-01,13,20,11,6,1,17,10,34,2,0,0,0,0,0,37,77,114
SAN JUAN DE YAPACANI,atencion odontologica,restauraciones,2015-04-01,24,17,2,2,0,2,0,13,0,1,0,0,0,0,26,35,61
SAN JULIAN,atencion odontologica,restauraciones,2015-04-01,47,38,0,0,1,6,4,79,6,6,0,0,0,0,58,129,187
SAN LORENZO(TJA),atencion odontologica,restauraciones,2015-04-01,22,4,22,48,24,52,56,115,6,1,0,0,0,0,130,220,350
SAN LUCAS,atencion odontologica,restauraciones,2015-04-01,58,64,3,3,3,12,14,34,3,1,0,0,0,0,81,114,195
SAN MATIAS,atencion odontologica,restauraciones,2015-04-01,7,6,1,4,1,3,4,2,0,0,0,0,0,0,13,15,28
SAN MIGUEL DE VELASCO,atencion odontologica,restauraciones,2015-04-01,0,2,0,0,0,1,10,21,0,2,0,0,0,0,10,26,36
SAN PABLO DE LIPEZ,atencion odontologica,restauraciones,2015-04-01,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2,3
SAN PEDRO,atencion odontologica,restauraciones,2015-04-01,12,21,37,60,14,53,11,59,16,6,0,0,0,0,90,199,289
SAN PEDRO DE BUENA VISTA,atencion odontologica,restauraciones,2015-04-01,12,2,4,0,3,12,10,48,2,0,0,0,0,0,31,62,93
SAN PEDRO DE CURAHUARA,atencion odontologica,restauraciones,2015-04-01,5,13,0,1,2,1,5,14,0,6,0,0,0,0,12,35,47
SAN PEDRO DE QUEMES,atencion odontologica,restauraciones,2015-04-01,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,9
SAN PEDRO DE TIQUINA,atencion odontologica,restauraciones,2015-04-01,10,0,0,1,0,0,0,0,4,4,0,0,0,0,14,5,19
SAN RAFAEL,atencion odontologica,restauraciones,2015-04-01,0,4,0,0,0,3,3,14,0,0,0,0,0,0,3,21,24
SAN RAMON BENI,atencion odontologica,restauraciones,2015-04-01,0,3,0,0,0,6,4,19,0,0,0,0,0,0,4,28,32
SAN RAMON SCZ,atencion odontologica,restauraciones,2015-04-01,2,5,5,7,25,15,17,30,1,1,0,0,0,0,50,58,108
SANTA ANA,atencion odontologica,restauraciones,2015-04-01,14,12,19,28,37,25,41,100,31,8,0,0,0,0,142,173,315
SANTA CRUZ DE LA SIERRA,atencion odontologica,restauraciones,2015-04-01,1057,1020,497,439,285,613,1721,3583,496,290,0,0,0,0,4056,5945,10001
SANTA ROSA,atencion odontologica,restauraciones,2015-04-01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2
SANTA ROSA DEL SARA,atencion odontologica,restauraciones,2015-04-01,1,3,0,2,2,12,8,28,1,0,0,0,0,0,12,45,57
