,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR POST,CIRUGIA BUCOMAXILOFACIAL MENOR POST,TOTALES,TOTALES,TOTALES
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PUERTO CARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,2,1,1,3,7,8,4,1,0,0,0,0,14,13,27
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,1,3,5,22,30,48,0,0,0,0,0,0,36,73,109
ROBORE,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,1,0,5,0,3,0,0,0,0,0,0,0,0,0,9,9
SACACA,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,1,1,0,1,0,0,3,2,0,1,0,0,0,0,4,5,9
SAN CARLOS,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
SAN IGNACIO DE VELASCO,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
SAN JOSE DE CHIQUITOS,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
SAN LUCAS,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,1,4,7,2,4,4,21,0,2,0,0,0,0,10,35,45
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,1,3,0,3,1,8,5,1,0,0,0,0,7,15,22
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SANTIVAÑES,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,15,16,14,15,4,4,3,12,0,2,0,0,0,0,36,49,85
TAHUA,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
TARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,1,3
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,0,0,0,0,7,9,0,0,0,0,0,0,7,9,16
TINGUIPAYA,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
TOMAVE,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,1,0,0,1,2,3,0,1,0,0,0,0,3,5,8
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,1,1,0,3,2,0,1,3,4,0,0,0,0,0,8,7,15
VIACHA,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,2,1,0,0,0,4,0,0,0,0,0,0,2,5,7
VILLA SERRANO,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
VILLAZON,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,1,0,0,0,3,8,0,0,0,0,0,0,4,8,12
WALDO BALLIVIAN,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
YACUIBA,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,4,6,11,7,8,41,3,2,0,0,0,0,26,56,82
ACHOCALLA,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,2,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,4
BATALLAS,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,2,2,1,0,0,4,0,2,0,0,0,0,3,8,11
CALAMARCA,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,2,1,3,3,4,6,5,17,5,4,0,0,0,0,19,31,50
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,4
CHAYANTA,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,1,1,1,0,0,1,0,2,0,0,0,0,0,0,2,4,6
CHIMORE,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,3,1,0,0,2,2,1,0,0,0,0,0,6,3,9
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,2,15,2,0,2,2,2,7,9,2,0,0,0,0,17,26,43
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
LA ASUNTA,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,9,7,2,3,15,20,5,0,0,0,0,0,31,30,61
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,3,6,1,0,4,4,2,2,0,0,0,0,10,12,22
MOCOMOCO,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,0,0,0,0,5,4,0,0,0,0,0,0,5,4,9
PADILLA,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,3,0,0,1,1,1,0,0,0,0,0,0,4,2,6
PAILON,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,0,0,0,0,4,20,2,0,0,0,0,0,6,20,26
PATACAMAYA,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,3,5
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,0,0,5,2,1,11,2,3,0,0,0,0,8,16,24
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
RAVELO,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,0,0,0,1,1,8,2,1,0,0,0,0,3,10,13
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,3,5,7,7,9,30,0,1,0,0,0,0,19,43,62
SAN BORJA,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,1,9,12,4,10,4,15,3,1,0,0,0,0,20,39,59
SANTIAGO DE HUARI,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SICAYA,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,0,0,0,0,0,4,1,2,0,0,0,0,1,6,7
SOPACHUY,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,6,3,4,1,2,5,6,2,0,0,0,0,18,11,29
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,2,1,1,2,9,14,12,9,0,0,0,0,24,26,50
TACOPAYA,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TAPACARI,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,0,0,0,0,0,0,4,2,0,0,0,0,4,2,6
TARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
TIQUIPAYA,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,7
TOLEDO,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TRIGAL,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,4,2,0,0,3,8,0,0,0,0,0,0,7,10,17
TUPIZA,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,7,3,2,9,8,14,2,5,0,0,0,0,19,31,50
URIONDO (A. CONCEPCION),atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,5,6
UYUNI,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
VIACHA,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,1,3,5,6,2,4,4,1,10,5,0,0,0,0,22,19,41
VILLAZON,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,3,4
WALDO BALLIVIAN,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
WARNES,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
YACUIBA,atencion odontologica,cirugia bucomaxilofacial menor,2015-05-01,1,0,2,3,0,2,5,15,1,2,0,0,0,0,9,22,31
ARAMPAMPA,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,1,3
BATALLAS,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,1,0,0,1,0,3,0,2,0,0,0,0,1,6,7
BETANZOS,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,0,2,1,1,4,2,4,0,0,0,0,0,9,5,14
"CAIZA ""D""",atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,2,3
CALACOTO,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,0,0,0,1,3,5,3,2,0,0,0,0,6,8,14
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,3,4,7,12,2,3,3,25,7,3,0,0,0,0,22,47,69
CHIPAYA,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,1,0,2,0,3,3,1,1,0,0,0,0,7,4,11
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,2,0,1,4,4,6,2,0,0,0,0,0,9,10,19
COCAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,1,0,1,2,3,6,2,11,1,1,0,0,0,0,8,20,28
CORQUE,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,0,1,1,1,0,4,1,0,0,0,0,0,2,6,8
EL PUENTE(STC),atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,15,15
EL TORNO,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2,3
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
HUARACAJE,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,0,0,0,0,5,3,0,0,0,0,0,0,5,3,8
JESUS DE MACHACA,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,10,10
LA GUARDIA,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,2,3
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,4,6,2,5,4,7,9,16,3,4,0,0,0,0,22,38,60
MACHARETI,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
MAGDALENA,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,4,3,5,2,1,4,3,0,6,0,0,0,0,0,19,9,28
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,1,3,0,0,4,7,0,0,0,0,0,0,5,10,15
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,3
SACABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
SAN CARLOS,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN LUCAS,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,3,4
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,12,3,0,3,2,10,14,54,5,1,0,0,0,0,33,71,104
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,0,0,0,0,0,3,7,10,0,0,0,0,7,13,20
TAPACARI,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,1,3,0,0,0,0,1,3,0,0,0,0,0,0,2,6,8
TARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,26,29,13,9,1,8,39,34,3,2,0,0,0,0,82,82,164
TOMAVE,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,4,0,0,1,4,5,11,4,0,0,0,0,19,10,29
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
UYUNI,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,1,0,2,2,1,3,0,0,0,1,0,0,0,0,4,6,10
VIACHA,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,0,1,0,0,2,5,5,1,0,0,0,0,7,7,14
VILLA TUNARI,atencion odontologica,cirugia bucomaxilofacial menor,2015-06-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
ATOCHA,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,2,2,2,0,2,2,1,0,0,0,0,0,7,4,11
BATALLAS,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
BUENA VISTA,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CABEZAS,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,3,4
CALACOTO,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,4
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,3
CAQUIAVIRI,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,1,1,0,1,1,2,1,4,0,0,0,0,3,8,11
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,3,9,28,28,6,11,9,23,8,0,0,0,0,0,54,71,125
CHAYANTA,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,0,2,2,5,5,8,10,0,0,0,0,0,17,15,32
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,1,2,0,5,9,0,0,0,0,0,0,0,0,0,10,7,17
COROICO,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,3,1,10,11,0,11,8,13,5,11,0,0,0,0,26,47,73
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,2,2,9,4,1,1,0,0,0,1,0,0,0,0,12,8,20
EL TORNO,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,1,4,1,0,11,17,7,3,0,0,0,0,20,24,44
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,0,0,0,1,2,3,0,2,0,0,0,0,2,6,8
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
GUTIERREZ,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,0,0,0,0,0,0,11,9,0,0,0,0,11,9,20
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,2,1,0,2,0,1,3,1,0,0,0,0,5,5,10
MONTEAGUDO,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,3,0,0,3,0,0,0,0,2,0,0,0,0,0,5,3,8
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,0,0,0,0,3,3,2,0,0,0,0,0,5,3,8
PADILLA,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
PAMPA AULLAGAS,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,1,2,1,1,0,0,0,0,0,0,0,0,2,3,5
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2
PUERTO QUIJARRO,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5
PUERTO VILLARROEL,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2
SAN AGUSTIN,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,3,1,1,1,3,3,0,2,0,0,0,0,7,7,14
SAN BORJA,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN IGNACIO DE VELASCO,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SAN PEDRO DE CURAHUARA,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,10,26,0,1,0,5,3,15,1,1,0,0,0,0,14,48,62
SANTIVAÑES,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,5,2,7,9,5,8,9,13,6,4,0,0,0,0,32,36,68
TARATA,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,3
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,3,0,1,1,3,0,1,4,2,1,0,0,0,0,10,6,16
TODOS SANTOS,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,1,0,0,4,2,4,0,0,0,0,0,0,3,8,11
URUBICHA,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,3,4,1,1,1,0,2,3,2,0,0,0,0,0,9,8,17
UYUNI,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2
VIACHA,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,1,1,2,2,0,5,2,4,0,0,0,0,5,12,17
VILLA RIVERO,atencion odontologica,cirugia bucomaxilofacial menor,2015-07-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ALCALA,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ARQUE,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ATOCHA,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,1,1,1,0,3,7,7,0,0,0,0,0,0,8,12,20
BOLIVAR,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
BUENA VISTA,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
CABEZAS,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,4,5
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,0,0,1,2,2,0,2,3,1,0,0,0,0,5,6,11
CARAPARI,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,3,2,5,6,2,5,3,15,8,3,0,0,0,0,21,31,52
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,0,0,5,0,2,5,5,1,0,0,0,0,0,6,12,18
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,1,0,0,0,2,0,6,7,0,0,0,0,0,7,9,16
CUEVO,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,8
DESAGUADERO,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,9,9,18,8,12,9,14,5,5,0,0,0,0,31,58,89
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,0,6,1,9,2,3,4,0,0,0,0,0,0,18,7,25
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,3,2,8,5,1,4,20,11,4,3,0,0,0,0,36,25,61
LAGUNILLAS,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,0,1,0,1,2,0,0,0,0,0,0,0,0,2,2,4
LAJA,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,3
MALLA,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,6
MONTERO,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,0,3,1,0,0,5,12,4,4,0,0,0,0,12,17,29
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,3,7
PADCAYA,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
PAILON,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
PORCO,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,1,0,0,1,0,1,1,10,0,0,0,0,0,0,2,12,14
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,2,1,1,0,0,0,0,5,3,0,0,0,0,6,6,12
PUERTO VILLARROEL,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
QUIME,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,7
REYES,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,0,2,0,0,0,2,1,0,0,0,0,0,0,4,1,5
SABAYA,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN CARLOS,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN IGNACIO DE VELASCO,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN JUAN DE YAPACANI,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,1,0,0,1,1,5,0,0,0,0,0,0,0,6,2,8
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,2,1,6,6,10,18,33,67,8,6,0,0,0,0,59,98,157
SANTA ROSA,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,1,6,3,1,1,0,9,2,0,0,0,0,0,9,14,23
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SENA,atencion odontologica,cirugia bucomaxilofacial menor,2015-08-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
