,group,variable,month,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA EMB,CONSULTA NUEVA EMB,CONSULTA NUEVA POST,CONSULTA NUEVA POST,TOTALES,TOTALES,TOTALES
ICHOCA,atencion odontologica,consulta nueva,2015-02-01,40,36,3,1,3,10,2,31,7,10,0,23,0,1,55,112,167
ICLA,atencion odontologica,consulta nueva,2015-02-01,173,181,16,24,7,21,12,84,4,5,0,27,0,12,212,354,566
INCAHUASI,atencion odontologica,consulta nueva,2015-02-01,42,21,16,24,38,55,19,67,2,17,0,26,0,45,117,255,372
INQUISIVI,atencion odontologica,consulta nueva,2015-02-01,33,38,13,17,11,30,7,53,17,25,0,27,0,32,81,222,303
IRUPANA (VILLA DE LANZA),atencion odontologica,consulta nueva,2015-02-01,83,92,14,17,8,11,30,36,16,10,0,5,0,17,151,188,339
IXIAMAS,atencion odontologica,consulta nueva,2015-02-01,8,16,9,17,8,20,16,22,6,2,0,1,0,9,47,87,134
JESUS DE MACHACA,atencion odontologica,consulta nueva,2015-02-01,31,53,15,27,14,32,12,66,30,27,0,6,0,14,102,225,327
LA ASUNTA,atencion odontologica,consulta nueva,2015-02-01,86,68,44,65,28,33,64,145,4,5,0,16,0,37,226,369,595
LA GUARDIA,atencion odontologica,consulta nueva,2015-02-01,241,241,105,90,14,58,20,121,24,36,0,62,0,66,404,674,1078
LA PAZ,atencion odontologica,consulta nueva,2015-02-01,2637,2732,1106,1208,691,1045,2098,3749,601,552,0,517,0,532,7133,10335,17468
LAGUNILLAS,atencion odontologica,consulta nueva,2015-02-01,1,0,0,0,11,11,10,20,0,0,0,2,0,0,22,33,55
LAJA,atencion odontologica,consulta nueva,2015-02-01,45,51,12,12,6,17,15,22,8,19,0,8,0,6,86,135,221
LAS CARRERAS,atencion odontologica,consulta nueva,2015-02-01,14,19,9,14,7,5,9,24,3,3,0,2,0,5,42,72,114
LLALLAGUA,atencion odontologica,consulta nueva,2015-02-01,156,206,38,34,15,32,22,133,9,9,0,39,0,65,240,518,758
LLICA,atencion odontologica,consulta nueva,2015-02-01,2,9,12,19,0,5,16,46,0,1,0,1,0,0,30,81,111
LORETO,atencion odontologica,consulta nueva,2015-02-01,2,1,9,18,8,10,5,15,8,4,0,2,0,1,32,51,83
LURIBAY,atencion odontologica,consulta nueva,2015-02-01,13,4,5,4,4,6,17,14,4,2,0,1,0,2,43,33,76
MACHACAMARCA,atencion odontologica,consulta nueva,2015-02-01,24,32,17,23,4,14,12,47,9,18,0,12,0,12,66,158,224
MACHARETI,atencion odontologica,consulta nueva,2015-02-01,37,31,3,3,7,24,8,17,6,10,0,25,0,14,61,124,185
MAGDALENA,atencion odontologica,consulta nueva,2015-02-01,4,3,10,9,10,17,10,36,4,1,0,5,0,13,38,84,122
MAIRANA,atencion odontologica,consulta nueva,2015-02-01,25,24,11,8,9,12,15,51,7,7,0,17,0,10,67,129,196
MALLA,atencion odontologica,consulta nueva,2015-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
MAPIRI,atencion odontologica,consulta nueva,2015-02-01,29,39,32,33,14,22,23,46,3,2,0,4,0,11,101,157,258
MECAPACA,atencion odontologica,consulta nueva,2015-02-01,24,33,21,23,4,26,22,41,5,4,0,10,0,11,76,148,224
MIZQUE,atencion odontologica,consulta nueva,2015-02-01,99,83,12,30,3,11,16,27,8,0,0,29,0,38,138,218,356
MOCOMOCO,atencion odontologica,consulta nueva,2015-02-01,11,21,10,20,8,19,35,50,5,12,0,6,0,7,69,135,204
MOJINETE,atencion odontologica,consulta nueva,2015-02-01,0,0,3,0,2,0,2,3,0,1,0,0,0,1,7,5,12
MOJOCOYA,atencion odontologica,consulta nueva,2015-02-01,36,24,8,7,6,17,16,51,16,3,0,19,0,1,82,122,204
MONTEAGUDO,atencion odontologica,consulta nueva,2015-02-01,164,129,7,13,12,44,29,155,13,13,0,55,0,77,225,486,711
MONTERO,atencion odontologica,consulta nueva,2015-02-01,109,151,108,107,54,94,51,248,33,31,0,33,0,8,355,672,1027
MORO MORO,atencion odontologica,consulta nueva,2015-02-01,5,3,1,1,3,1,2,8,0,0,0,0,0,1,11,14,25
MOROCHATA,atencion odontologica,consulta nueva,2015-02-01,102,79,10,6,3,19,1,87,34,55,0,30,0,69,150,345,495
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,consulta nueva,2015-02-01,14,7,2,1,0,0,1,1,0,0,0,2,0,0,17,11,28
OCURI,atencion odontologica,consulta nueva,2015-02-01,13,28,15,12,3,11,15,50,15,13,0,15,0,7,61,136,197
OKINAWA,atencion odontologica,consulta nueva,2015-02-01,10,12,26,38,6,7,8,23,2,5,0,6,0,11,52,102,154
OMEREQUE,atencion odontologica,consulta nueva,2015-02-01,8,3,2,4,2,5,6,19,0,2,0,8,0,0,18,41,59
ORURO,atencion odontologica,consulta nueva,2015-02-01,737,875,529,633,214,382,594,1289,196,155,0,312,0,96,2270,3742,6012
PADCAYA,atencion odontologica,consulta nueva,2015-02-01,3,16,11,23,24,40,31,75,0,1,0,0,0,12,69,167,236
PADILLA,atencion odontologica,consulta nueva,2015-02-01,29,31,29,26,16,22,58,70,16,12,0,32,0,13,148,206,354
PAILON,atencion odontologica,consulta nueva,2015-02-01,53,57,14,30,12,31,36,101,10,8,0,27,0,32,125,286,411
PALCA,atencion odontologica,consulta nueva,2015-02-01,91,90,20,40,3,28,20,52,4,12,0,21,0,20,138,263,401
PALOS BLANCOS,atencion odontologica,consulta nueva,2015-02-01,55,50,15,12,24,32,27,85,25,15,0,19,0,65,146,278,424
PAMPA AULLAGAS,atencion odontologica,consulta nueva,2015-02-01,6,13,3,1,1,4,2,0,0,2,0,4,0,4,12,28,40
PAMPA GRANDE,atencion odontologica,consulta nueva,2015-02-01,114,89,15,8,0,13,3,39,2,0,0,22,0,16,134,187,321
PAPEL PAMPA,atencion odontologica,consulta nueva,2015-02-01,12,5,5,8,6,12,10,25,9,15,0,3,0,17,42,85,127
PASORAPA,atencion odontologica,consulta nueva,2015-02-01,7,1,37,27,5,6,2,15,1,5,0,1,0,1,52,56,108
PATACAMAYA,atencion odontologica,consulta nueva,2015-02-01,123,143,15,44,5,27,15,42,8,8,0,17,0,42,166,323,489
PAZÑA,atencion odontologica,consulta nueva,2015-02-01,6,20,7,15,1,3,10,18,20,5,0,6,0,4,44,71,115
PELECHUCO,atencion odontologica,consulta nueva,2015-02-01,7,7,6,1,0,10,7,13,3,11,0,4,0,7,23,53,76
POCOATA,atencion odontologica,consulta nueva,2015-02-01,12,4,7,17,2,8,11,32,3,7,0,16,0,11,35,95,130
POCONA,atencion odontologica,consulta nueva,2015-02-01,40,26,103,83,7,30,19,34,3,3,0,10,0,11,172,197,369
POJO (CBBA),atencion odontologica,consulta nueva,2015-02-01,40,58,43,57,21,30,19,62,6,28,0,32,0,12,129,279,408
POOPO,atencion odontologica,consulta nueva,2015-02-01,17,13,14,13,2,11,16,58,2,4,0,13,0,2,51,114,165
PORCO,atencion odontologica,consulta nueva,2015-02-01,11,10,5,6,0,6,1,13,0,0,0,1,0,7,17,43,60
POROMA,atencion odontologica,consulta nueva,2015-02-01,23,14,0,3,2,9,13,24,2,1,0,11,0,5,40,67,107
PORONGO,atencion odontologica,consulta nueva,2015-02-01,7,11,10,12,3,11,6,23,1,2,0,0,0,1,27,60,87
PORTACHUELO,atencion odontologica,consulta nueva,2015-02-01,11,15,17,8,8,28,33,34,7,3,0,12,0,0,76,100,176
PORVENIR,atencion odontologica,consulta nueva,2015-02-01,3,1,8,12,5,6,10,22,0,0,0,5,0,3,26,49,75
POSTRER VALLE,atencion odontologica,consulta nueva,2015-02-01,26,16,0,0,3,5,6,5,14,0,0,0,0,4,49,30,79
POTOSI,atencion odontologica,consulta nueva,2015-02-01,593,497,196,204,92,212,273,773,50,60,0,263,0,213,1204,2222,3426
PRESTO,atencion odontologica,consulta nueva,2015-02-01,84,87,41,40,5,4,6,60,3,8,0,25,0,24,139,248,387
PUCARA,atencion odontologica,consulta nueva,2015-02-01,0,4,0,0,0,0,0,0,2,0,0,0,0,0,2,4,6
PUCARANI,atencion odontologica,consulta nueva,2015-02-01,58,50,48,56,16,51,48,76,9,21,0,3,0,5,179,262,441
PUERTO ACOSTA,atencion odontologica,consulta nueva,2015-02-01,18,14,7,3,1,5,15,8,12,17,0,0,0,4,53,51,104
PUERTO CARABUCO,atencion odontologica,consulta nueva,2015-02-01,19,10,8,14,7,20,43,48,16,17,0,3,0,3,93,115,208
PUERTO GONZALO MORENO,atencion odontologica,consulta nueva,2015-02-01,88,132,122,130,16,21,6,37,6,1,0,44,0,18,238,383,621
PUERTO PEREZ,atencion odontologica,consulta nueva,2015-02-01,8,9,0,6,2,5,11,3,7,9,0,3,0,2,28,37,65
PUERTO QUIJARRO,atencion odontologica,consulta nueva,2015-02-01,100,98,2,9,47,9,34,58,5,3,0,35,0,6,188,218,406
PUERTO RICO,atencion odontologica,consulta nueva,2015-02-01,6,6,22,10,4,6,6,12,4,0,0,3,0,2,42,39,81
PUERTO SUAREZ,atencion odontologica,consulta nueva,2015-02-01,23,38,1,1,1,6,4,57,22,18,0,35,0,29,51,184,235
PUERTO VILLARROEL,atencion odontologica,consulta nueva,2015-02-01,126,162,17,30,28,89,61,112,26,7,0,51,0,129,258,580,838
PUNA,atencion odontologica,consulta nueva,2015-02-01,34,41,23,31,23,49,47,160,14,28,0,16,0,44,141,369,510
PUNATA,atencion odontologica,consulta nueva,2015-02-01,103,73,193,54,26,54,80,182,22,47,0,82,0,98,424,590,1014
QUIABAYA,atencion odontologica,consulta nueva,2015-02-01,30,14,5,7,2,7,9,21,0,7,0,0,0,8,46,64,110
QUILLACOLLO,atencion odontologica,consulta nueva,2015-02-01,673,721,256,164,137,211,175,525,157,103,0,148,0,204,1398,2076,3474
QUIME,atencion odontologica,consulta nueva,2015-02-01,128,122,52,46,23,32,43,71,29,23,0,13,0,26,275,333,608
QUIRUSILLAS,atencion odontologica,consulta nueva,2015-02-01,9,3,15,9,2,3,8,5,1,0,0,0,0,5,35,25,60
RAVELO,atencion odontologica,consulta nueva,2015-02-01,45,53,8,0,0,9,17,34,0,5,0,12,0,21,70,134,204
REYES,atencion odontologica,consulta nueva,2015-02-01,3,0,2,3,7,7,9,21,0,2,0,5,0,0,21,38,59
RIBERALTA,atencion odontologica,consulta nueva,2015-02-01,109,119,101,129,39,95,57,267,12,23,0,152,0,47,318,832,1150
RURRENABAQUE,atencion odontologica,consulta nueva,2015-02-01,13,27,22,30,21,46,50,71,8,4,0,27,0,4,114,209,323
SABAYA,atencion odontologica,consulta nueva,2015-02-01,7,19,23,25,3,4,13,24,13,22,0,2,0,8,59,104,163
SACABA,atencion odontologica,consulta nueva,2015-02-01,349,389,114,77,56,98,160,339,104,138,0,84,0,134,783,1259,2042
SACABAMBA,atencion odontologica,consulta nueva,2015-02-01,5,6,6,6,8,0,6,35,3,19,0,14,0,13,28,93,121
SACACA,atencion odontologica,consulta nueva,2015-02-01,38,63,6,7,2,24,20,67,5,9,0,31,0,16,71,217,288
SAIPINA,atencion odontologica,consulta nueva,2015-02-01,5,9,5,7,6,3,7,13,7,0,0,10,0,0,30,42,72
SALINAS DE GARCI MENDOZA,atencion odontologica,consulta nueva,2015-02-01,90,35,33,26,4,12,15,49,14,25,0,17,0,7,156,171,327
SAMAIPATA,atencion odontologica,consulta nueva,2015-02-01,12,25,22,6,3,12,10,17,5,1,0,2,0,10,52,73,125
SAN AGUSTIN,atencion odontologica,consulta nueva,2015-02-01,0,0,0,0,0,5,4,11,0,0,0,0,0,0,4,16,20
SAN ANDRES,atencion odontologica,consulta nueva,2015-02-01,5,13,12,5,7,6,10,39,8,1,0,7,0,3,42,74,116
SAN ANDRES DE MACHACA,atencion odontologica,consulta nueva,2015-02-01,8,15,29,39,7,19,15,37,23,13,0,8,0,2,82,133,215
SAN ANTONIO DE ESMORUCO,atencion odontologica,consulta nueva,2015-02-01,0,0,2,1,2,5,2,5,3,0,0,0,0,4,9,15,24
SAN ANTONIO DE LOMERIO,atencion odontologica,consulta nueva,2015-02-01,19,19,1,1,0,4,3,5,1,4,0,6,0,1,24,40,64
SAN BENITO,atencion odontologica,consulta nueva,2015-02-01,24,32,51,26,0,23,10,43,14,9,0,14,0,10,99,157,256
SAN BORJA,atencion odontologica,consulta nueva,2015-02-01,18,19,22,9,3,37,24,110,16,7,0,0,0,25,83,207,290
SAN BUENA VENTURA,atencion odontologica,consulta nueva,2015-02-01,17,19,22,15,3,6,6,29,10,3,0,6,0,11,58,89,147
SAN CARLOS,atencion odontologica,consulta nueva,2015-02-01,4,30,9,16,10,32,2,55,3,2,0,0,0,3,28,138,166
SAN IGNACIO,atencion odontologica,consulta nueva,2015-02-01,52,72,122,140,81,94,98,179,9,5,0,5,0,9,362,504,866
SAN IGNACIO DE VELASCO,atencion odontologica,consulta nueva,2015-02-01,3,1,9,1,3,7,13,16,1,1,0,3,0,3,29,32,61
SAN JAVIER(BNI),atencion odontologica,consulta nueva,2015-02-01,3,1,1,10,1,2,4,11,4,0,0,4,0,0,13,28,41
SAN JAVIER(STC),atencion odontologica,consulta nueva,2015-02-01,6,16,4,9,3,13,3,10,13,5,0,4,0,2,29,59,88
SAN JOAQUIN,atencion odontologica,consulta nueva,2015-02-01,1,2,1,0,2,0,1,0,0,1,0,3,0,2,5,8,13
SAN JOSE DE CHIQUITOS,atencion odontologica,consulta nueva,2015-02-01,7,4,14,5,8,10,10,26,3,0,0,10,0,0,42,55,97
SAN JUAN DE YAPACANI,atencion odontologica,consulta nueva,2015-02-01,16,23,5,2,6,0,2,10,8,4,0,7,0,11,37,57,94
SAN JULIAN,atencion odontologica,consulta nueva,2015-02-01,81,104,37,32,18,43,10,162,10,18,0,20,0,142,156,521,677
SAN LORENZO(PND),atencion odontologica,consulta nueva,2015-02-01,4,3,2,2,0,4,6,12,0,0,0,2,0,6,12,29,41
SAN LORENZO(TJA),atencion odontologica,consulta nueva,2015-02-01,42,53,104,129,46,116,105,308,12,8,0,3,0,0,309,617,926
SAN LUCAS,atencion odontologica,consulta nueva,2015-02-01,30,71,20,11,5,17,24,110,17,7,0,14,0,26,96,256,352
SAN MATIAS,atencion odontologica,consulta nueva,2015-02-01,13,6,10,35,6,13,32,39,11,1,0,11,0,0,72,105,177
SAN MIGUEL DE VELASCO,atencion odontologica,consulta nueva,2015-02-01,29,23,6,3,5,13,10,43,8,7,0,4,0,34,58,127,185
SAN PABLO DE LIPEZ,atencion odontologica,consulta nueva,2015-02-01,5,1,1,0,1,5,3,11,5,5,0,1,0,1,15,24,39
SAN PEDRO,atencion odontologica,consulta nueva,2015-02-01,22,25,46,67,39,47,54,100,4,12,0,37,0,12,165,300,465
SAN PEDRO DE BUENA VISTA,atencion odontologica,consulta nueva,2015-02-01,8,3,5,4,6,22,26,43,2,7,0,3,0,27,47,109,156
SAN PEDRO DE CURAHUARA,atencion odontologica,consulta nueva,2015-02-01,3,0,6,2,7,4,4,15,6,2,0,2,0,6,26,31,57
SAN PEDRO DE QUEMES,atencion odontologica,consulta nueva,2015-02-01,1,0,2,1,1,2,2,8,10,0,0,0,0,0,16,11,27
SAN PEDRO DE TIQUINA,atencion odontologica,consulta nueva,2015-02-01,11,2,4,4,7,14,14,31,7,7,0,6,0,2,43,66,109
SAN RAFAEL,atencion odontologica,consulta nueva,2015-02-01,17,4,0,2,2,6,7,20,3,0,0,8,0,4,29,44,73
SAN RAMON BENI,atencion odontologica,consulta nueva,2015-02-01,0,0,3,4,1,12,2,11,0,0,0,0,0,0,6,27,33
SAN RAMON SCZ,atencion odontologica,consulta nueva,2015-02-01,50,61,12,15,18,20,24,30,6,8,0,13,0,0,110,147,257
SANTA ANA,atencion odontologica,consulta nueva,2015-02-01,26,10,40,46,19,79,49,82,21,0,0,0,0,0,155,217,372
SANTA CRUZ DE LA SIERRA,atencion odontologica,consulta nueva,2015-02-01,2908,2899,990,965,668,1230,1842,4176,786,619,0,1948,0,764,7194,12601,19795
SANTA ROSA DEL SARA,atencion odontologica,consulta nueva,2015-02-01,7,24,4,18,8,25,17,51,5,3,0,5,0,14,41,140,181
SANTIAGO DE CALLAPA,atencion odontologica,consulta nueva,2015-02-01,4,12,1,1,0,5,1,8,4,3,0,0,0,6,10,35,45
SANTIAGO DE HUARI,atencion odontologica,consulta nueva,2015-02-01,33,43,178,166,46,22,43,91,14,17,0,11,0,13,314,363,677
SANTIAGO DE HUATA,atencion odontologica,consulta nueva,2015-02-01,15,14,1,2,2,8,8,22,30,31,0,5,0,18,56,100,156
SANTIVAÑES,atencion odontologica,consulta nueva,2015-02-01,13,9,7,3,1,12,7,19,0,13,0,7,0,10,28,73,101
SANTUARIO DE QUILLACAS,atencion odontologica,consulta nueva,2015-02-01,18,30,28,25,2,9,2,24,7,1,0,2,0,3,57,94,151
SAPAHAQUI,atencion odontologica,consulta nueva,2015-02-01,65,31,3,4,2,9,18,46,12,7,0,15,0,29,100,141,241
SENA,atencion odontologica,consulta nueva,2015-02-01,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4
SHINAOTA,atencion odontologica,consulta nueva,2015-02-01,97,70,0,0,0,17,0,26,1,15,0,21,0,22,98,171,269
SICA SICA (VILLA AROMA),atencion odontologica,consulta nueva,2015-02-01,64,55,22,30,37,32,47,76,11,33,0,21,0,5,181,252,433
SICAYA,atencion odontologica,consulta nueva,2015-02-01,1,0,0,0,0,2,0,3,0,0,0,3,0,2,1,10,11
SIPE SIPE,atencion odontologica,consulta nueva,2015-02-01,139,145,23,43,4,42,17,138,30,14,0,54,0,87,213,523,736
SOPACHUY,atencion odontologica,consulta nueva,2015-02-01,30,32,19,27,19,37,27,36,1,5,0,25,0,28,96,190,286
SORACACHI,atencion odontologica,consulta nueva,2015-02-01,15,27,22,17,2,15,12,35,11,1,0,14,0,1,62,110,172
SORATA,atencion odontologica,consulta nueva,2015-02-01,17,39,8,15,2,16,11,43,41,6,0,39,0,58,79,216,295
SUCRE,atencion odontologica,consulta nueva,2015-02-01,1830,1787,724,972,407,821,1015,2448,201,211,0,728,0,559,4177,7526,11703
TACACHI,atencion odontologica,consulta nueva,2015-02-01,0,5,5,0,0,0,0,10,0,0,0,0,0,2,5,17,22
TACACOMA,atencion odontologica,consulta nueva,2015-02-01,4,5,6,12,3,11,21,65,4,3,0,2,0,8,38,106,144
TACOBAMBA,atencion odontologica,consulta nueva,2015-02-01,2,2,1,1,1,0,5,9,1,1,0,1,0,2,10,16,26
TACOPAYA,atencion odontologica,consulta nueva,2015-02-01,9,4,7,9,2,7,5,28,10,9,0,15,0,9,33,81,114
TAHUA,atencion odontologica,consulta nueva,2015-02-01,4,0,4,3,1,0,1,2,1,1,0,0,0,0,11,6,17
TAPACARI,atencion odontologica,consulta nueva,2015-02-01,23,33,18,15,8,26,28,55,15,21,0,16,0,63,92,229,321
TARABUCO,atencion odontologica,consulta nueva,2015-02-01,43,70,5,5,5,30,12,87,9,7,0,23,0,50,74,272,346
TARACO,atencion odontologica,consulta nueva,2015-02-01,38,26,5,7,4,12,15,23,12,8,0,33,0,2,74,111,185
TARATA,atencion odontologica,consulta nueva,2015-02-01,13,42,43,24,15,16,41,100,8,22,0,14,0,15,120,233,353
TARIJA,atencion odontologica,consulta nueva,2015-02-01,181,244,885,828,477,785,873,1756,76,51,0,90,0,19,2492,3773,6265
TARVITA,atencion odontologica,consulta nueva,2015-02-01,77,71,21,37,15,15,35,95,6,8,0,24,0,23,154,273,427
TEOPONTE,atencion odontologica,consulta nueva,2015-02-01,16,14,4,16,14,13,19,28,9,1,0,18,0,14,62,104,166
TIAWANACU,atencion odontologica,consulta nueva,2015-02-01,14,10,13,12,11,25,28,48,6,2,0,2,0,15,72,114,186
TINGUIPAYA,atencion odontologica,consulta nueva,2015-02-01,11,20,5,2,1,14,12,28,14,8,0,2,0,35,43,109,152
TIPUANI,atencion odontologica,consulta nueva,2015-02-01,14,0,9,8,1,6,8,21,4,6,0,3,0,1,36,45,81
TIQUIPAYA,atencion odontologica,consulta nueva,2015-02-01,741,648,82,69,21,99,28,586,24,17,0,392,0,236,896,2047,2943
TIRAQUE (CBBA),atencion odontologica,consulta nueva,2015-02-01,8,25,16,15,0,21,10,36,12,10,0,6,0,30,46,143,189
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,consulta nueva,2015-02-01,3,4,11,11,5,3,6,9,0,1,0,1,0,2,25,31,56
TOCO,atencion odontologica,consulta nueva,2015-02-01,17,6,7,5,4,4,7,24,3,8,0,9,0,1,38,57,95
TOLATA,atencion odontologica,consulta nueva,2015-02-01,106,98,8,11,0,18,8,18,3,17,0,0,0,29,125,191,316
TOLEDO,atencion odontologica,consulta nueva,2015-02-01,4,6,3,4,2,4,4,22,2,0,0,5,0,10,15,51,66
TOMAVE,atencion odontologica,consulta nueva,2015-02-01,19,16,13,9,5,16,18,51,11,14,0,5,0,13,66,124,190
TOMINA,atencion odontologica,consulta nueva,2015-02-01,13,10,7,9,11,11,29,102,1,0,0,44,0,5,61,181,242
TORO TORO,atencion odontologica,consulta nueva,2015-02-01,9,24,9,14,15,11,16,82,8,8,0,11,0,32,57,182,239
TOTORA(CBBA),atencion odontologica,consulta nueva,2015-02-01,21,48,31,39,17,12,17,71,14,10,0,18,0,25,100,223,323
TOTORA(ORR),atencion odontologica,consulta nueva,2015-02-01,0,4,0,5,2,8,0,3,5,2,0,0,0,8,7,30,37
TRIGAL,atencion odontologica,consulta nueva,2015-02-01,18,18,0,4,0,2,4,2,4,6,0,0,0,0,26,32,58
TRINIDAD,atencion odontologica,consulta nueva,2015-02-01,60,55,171,261,84,155,290,521,27,26,0,122,0,30,632,1170,1802
TUPIZA,atencion odontologica,consulta nueva,2015-02-01,55,56,34,46,11,22,215,90,22,23,0,7,0,7,337,251,588
TURCO,atencion odontologica,consulta nueva,2015-02-01,6,7,4,10,2,11,9,29,17,12,0,15,0,49,38,133,171
UMALA,atencion odontologica,consulta nueva,2015-02-01,11,10,4,5,3,11,2,22,11,4,0,0,0,12,31,64,95
UNCIA,atencion odontologica,consulta nueva,2015-02-01,32,16,19,15,10,12,21,74,6,8,0,24,0,31,88,180,268
URIONDO (A. CONCEPCION),atencion odontologica,consulta nueva,2015-02-01,24,29,89,95,76,133,124,347,20,12,0,19,0,0,333,635,968
URUBICHA,atencion odontologica,consulta nueva,2015-02-01,1,0,2,1,2,1,2,2,6,2,0,0,0,6,13,12,25
UYUNI,atencion odontologica,consulta nueva,2015-02-01,26,56,29,21,21,29,43,80,10,26,0,17,0,47,129,276,405
VACAS,atencion odontologica,consulta nueva,2015-02-01,23,28,14,15,12,18,14,40,1,5,0,4,0,5,64,115,179
VALLEGRANDE,atencion odontologica,consulta nueva,2015-02-01,136,63,55,25,7,52,46,114,15,15,0,29,0,31,259,329,588
VIACHA,atencion odontologica,consulta nueva,2015-02-01,281,368,206,207,34,64,48,306,32,16,0,15,0,47,601,1023,1624
VILA VILA,atencion odontologica,consulta nueva,2015-02-01,19,35,3,5,3,5,1,12,0,0,0,0,0,5,26,62,88
VILLA CHARCAS,atencion odontologica,consulta nueva,2015-02-01,17,16,3,5,3,9,10,44,12,4,0,14,0,17,45,109,154
VILLA MONTES,atencion odontologica,consulta nueva,2015-02-01,37,24,76,128,93,184,162,347,9,22,0,16,0,2,377,723,1100
VILLA RIVERO,atencion odontologica,consulta nueva,2015-02-01,35,48,12,2,7,18,5,56,6,6,0,44,0,54,65,228,293
VILLA SERRANO,atencion odontologica,consulta nueva,2015-02-01,186,169,6,4,3,6,4,42,2,11,0,30,0,27,201,289,490
VILLA TUNARI,atencion odontologica,consulta nueva,2015-02-01,173,229,33,53,20,133,64,189,38,59,0,167,0,183,328,1013,1341
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,consulta nueva,2015-02-01,61,62,11,19,20,35,69,108,3,3,0,20,0,11,164,258,422
VILLAZON,atencion odontologica,consulta nueva,2015-02-01,107,141,72,83,31,68,80,214,12,30,0,40,0,38,302,614,916
VINTO,atencion odontologica,consulta nueva,2015-02-01,161,157,6,8,4,27,9,145,18,15,0,23,0,90,198,465,663
VITICHI,atencion odontologica,consulta nueva,2015-02-01,11,13,18,27,6,31,16,54,7,12,0,14,0,3,58,154,212
WALDO BALLIVIAN,atencion odontologica,consulta nueva,2015-02-01,4,3,2,8,0,0,3,5,3,8,0,0,0,2,12,26,38
WARNES,atencion odontologica,consulta nueva,2015-02-01,83,107,23,13,5,41,12,108,14,11,0,67,0,35,137,382,519
YACO,atencion odontologica,consulta nueva,2015-02-01,23,6,82,92,4,14,20,110,9,11,0,49,0,67,138,349,487
YACUIBA,atencion odontologica,consulta nueva,2015-02-01,39,37,95,125,97,190,167,377,38,18,0,3,0,5,436,755,1191
YAMPARAEZ,atencion odontologica,consulta nueva,2015-02-01,10,5,2,6,4,11,15,30,3,11,0,3,0,6,34,72,106
YANACACHI,atencion odontologica,consulta nueva,2015-02-01,15,34,10,14,7,9,20,42,0,2,0,7,0,2,52,110,162
YAPACANI,atencion odontologica,consulta nueva,2015-02-01,96,106,10,18,18,58,24,88,16,12,0,53,0,59,164,394,558
YOCALLA,atencion odontologica,consulta nueva,2015-02-01,8,13,14,7,2,9,6,22,13,6,0,8,0,1,43,66,109
YOTALA,atencion odontologica,consulta nueva,2015-02-01,67,33,14,13,9,23,15,48,2,6,0,0,0,0,107,123,230
YUNCHARA,atencion odontologica,consulta nueva,2015-02-01,8,14,31,46,12,40,26,101,5,7,0,5,0,3,82,216,298
ZUDAÑEZ,atencion odontologica,consulta nueva,2015-02-01,19,20,8,2,9,23,24,62,3,3,0,19,0,7,63,136,199
ACACIO,atencion odontologica,consulta nueva,2015-03-01,17,8,3,4,0,6,4,32,1,4,0,0,0,0,25,54,79
ACHACACHI,atencion odontologica,consulta nueva,2015-03-01,179,127,29,30,9,34,59,141,40,51,0,17,0,23,316,423,739
ACHOCALLA,atencion odontologica,consulta nueva,2015-03-01,82,92,4,6,3,10,6,23,4,10,0,5,0,7,99,153,252
AIQUILE,atencion odontologica,consulta nueva,2015-03-01,108,178,44,61,3,8,26,64,50,24,0,47,0,54,231,436,667
ALALAY,atencion odontologica,consulta nueva,2015-03-01,2,0,0,2,6,7,0,8,3,1,0,0,0,16,11,34,45
ALCALA,atencion odontologica,consulta nueva,2015-03-01,70,74,22,40,3,17,23,47,2,5,0,14,0,22,120,219,339
ALTO BENI,atencion odontologica,consulta nueva,2015-03-01,36,28,2,5,10,6,14,34,3,0,0,15,0,5,65,93,158
ANCORAIMES,atencion odontologica,consulta nueva,2015-03-01,15,29,1,11,4,4,13,26,15,17,0,1,0,6,48,94,142
ANDAMARCA,atencion odontologica,consulta nueva,2015-03-01,1,18,59,64,7,9,18,22,8,5,0,8,0,4,93,130,223
ANTEQUERA,atencion odontologica,consulta nueva,2015-03-01,12,7,0,5,0,1,6,13,7,1,0,2,0,0,25,29,54
ANZALDO,atencion odontologica,consulta nueva,2015-03-01,34,48,61,83,6,42,10,51,4,10,0,10,0,11,115,255,370
APOLO,atencion odontologica,consulta nueva,2015-03-01,39,47,19,28,0,28,9,47,1,2,0,20,0,12,68,184,252
ARAMPAMPA,atencion odontologica,consulta nueva,2015-03-01,8,37,4,0,3,7,7,19,14,0,0,1,0,10,36,74,110
