,group,variable,month,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS POST,MEDIDAS PREVENTIVAS POST,TOTALES,TOTALES,TOTALES
CURVA,atencion odontologica,medidas preventivas,2015-03-01,24,22,1,0,0,0,0,7,0,0,0,0,0,0,25,29,54
DESAGUADERO,atencion odontologica,medidas preventivas,2015-03-01,0,0,28,39,0,0,0,0,0,0,0,0,0,0,28,39,67
EL ALTO,atencion odontologica,medidas preventivas,2015-03-01,1275,1183,1523,1557,348,393,171,391,32,18,0,0,0,0,3349,3542,6891
EL CHORO,atencion odontologica,medidas preventivas,2015-03-01,24,13,3,2,1,1,0,3,0,1,0,0,0,0,28,20,48
EL PUENTE(STC),atencion odontologica,medidas preventivas,2015-03-01,17,18,0,0,0,0,1,6,0,0,0,0,0,0,18,24,42
EL PUENTE(TJA),atencion odontologica,medidas preventivas,2015-03-01,3,10,4,2,1,2,1,8,1,0,0,0,0,0,10,22,32
EL TORNO,atencion odontologica,medidas preventivas,2015-03-01,167,186,121,124,16,43,21,56,3,3,0,0,0,0,328,412,740
EL VILLAR,atencion odontologica,medidas preventivas,2015-03-01,6,4,5,5,0,3,0,1,1,0,0,0,0,0,12,13,25
ENTRE RIOS TRJ,atencion odontologica,medidas preventivas,2015-03-01,19,50,50,62,26,25,5,39,1,3,0,0,0,0,101,179,280
ENTRE RIOS CBBA,atencion odontologica,medidas preventivas,2015-03-01,17,12,3,0,0,4,0,4,1,1,0,0,0,0,21,21,42
ESCOMA,atencion odontologica,medidas preventivas,2015-03-01,28,31,0,6,0,0,0,0,0,0,0,0,0,0,28,37,65
EUCALIPTUS,atencion odontologica,medidas preventivas,2015-03-01,8,5,0,0,0,0,0,0,0,0,0,0,0,0,8,5,13
FERNANDEZ ALONSO,atencion odontologica,medidas preventivas,2015-03-01,0,12,28,51,0,0,2,4,0,0,0,0,0,0,30,67,97
FILADELFIA,atencion odontologica,medidas preventivas,2015-03-01,2,1,1,0,0,1,1,4,0,0,0,0,0,0,4,6,10
GENERAL SAAVEDRA,atencion odontologica,medidas preventivas,2015-03-01,5,8,0,1,0,0,0,3,0,0,0,0,0,0,5,12,17
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,medidas preventivas,2015-03-01,47,52,4,2,0,2,1,12,2,1,0,0,0,0,54,69,123
GUANAY,atencion odontologica,medidas preventivas,2015-03-01,44,43,0,0,0,0,0,0,0,0,0,0,0,0,44,43,87
GUAQUI,atencion odontologica,medidas preventivas,2015-03-01,15,13,11,5,3,4,6,22,11,8,0,0,0,0,46,52,98
GUAYARAMERIN,atencion odontologica,medidas preventivas,2015-03-01,4,16,9,8,3,5,3,10,0,0,0,0,0,0,19,39,58
GUTIERREZ,atencion odontologica,medidas preventivas,2015-03-01,21,24,0,1,0,0,0,6,0,2,0,0,0,0,21,33,54
HUACARETA,atencion odontologica,medidas preventivas,2015-03-01,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3
HUACAYA (VILLA DE HUACAYA),atencion odontologica,medidas preventivas,2015-03-01,20,17,5,0,3,3,2,10,0,0,0,0,0,0,30,30,60
HUACHACALLA,atencion odontologica,medidas preventivas,2015-03-01,2,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,4
HUANUNI,atencion odontologica,medidas preventivas,2015-03-01,19,30,14,17,18,10,1,7,0,0,0,0,0,0,52,64,116
HUARINA,atencion odontologica,medidas preventivas,2015-03-01,2,1,1,0,0,2,1,2,3,0,0,0,0,0,7,5,12
HUATAJATA,atencion odontologica,medidas preventivas,2015-03-01,39,25,0,1,0,0,0,2,9,5,0,0,0,0,48,33,81
HUAYLLAMARCA,atencion odontologica,medidas preventivas,2015-03-01,12,2,9,6,4,2,1,4,0,0,0,0,0,0,26,14,40
HUMANATA,atencion odontologica,medidas preventivas,2015-03-01,6,1,0,0,0,0,0,0,1,1,0,0,0,0,7,2,9
ICHOCA,atencion odontologica,medidas preventivas,2015-03-01,29,17,1,0,0,0,0,5,11,7,0,0,0,0,41,29,70
ICLA,atencion odontologica,medidas preventivas,2015-03-01,135,145,4,8,0,15,0,29,0,0,0,0,0,0,139,197,336
INCAHUASI,atencion odontologica,medidas preventivas,2015-03-01,36,49,0,4,0,3,2,14,0,0,0,0,0,0,38,70,108
INQUISIVI,atencion odontologica,medidas preventivas,2015-03-01,4,9,4,0,2,0,0,0,0,0,0,0,0,0,10,9,19
IRUPANA (VILLA DE LANZA),atencion odontologica,medidas preventivas,2015-03-01,22,26,5,10,3,3,1,0,0,0,0,0,0,0,31,39,70
IXIAMAS,atencion odontologica,medidas preventivas,2015-03-01,9,17,4,5,0,0,0,5,0,0,0,0,0,0,13,27,40
JESUS DE MACHACA,atencion odontologica,medidas preventivas,2015-03-01,13,8,0,8,3,0,0,1,0,0,0,0,0,0,16,17,33
LA ASUNTA,atencion odontologica,medidas preventivas,2015-03-01,41,33,4,1,1,1,0,7,0,0,0,0,0,0,46,42,88
LA GUARDIA,atencion odontologica,medidas preventivas,2015-03-01,164,141,743,692,4,22,14,41,3,1,0,0,0,0,928,897,1825
LA PAZ,atencion odontologica,medidas preventivas,2015-03-01,1526,1716,778,984,159,171,308,650,151,229,0,0,0,0,2922,3750,6672
LAGUNILLAS,atencion odontologica,medidas preventivas,2015-03-01,3,5,20,26,0,0,0,0,0,0,0,0,0,0,23,31,54
LAJA,atencion odontologica,medidas preventivas,2015-03-01,10,14,1,4,0,0,0,1,0,0,0,0,0,0,11,19,30
LAS CARRERAS,atencion odontologica,medidas preventivas,2015-03-01,2,7,0,2,0,1,0,0,0,0,0,0,0,0,2,10,12
LICOMA PAMPA,atencion odontologica,medidas preventivas,2015-03-01,15,8,0,0,1,1,0,0,0,0,0,0,0,0,16,9,25
LLALLAGUA,atencion odontologica,medidas preventivas,2015-03-01,80,98,10,27,19,16,44,44,10,8,0,0,0,0,163,193,356
LLICA,atencion odontologica,medidas preventivas,2015-03-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
LORETO,atencion odontologica,medidas preventivas,2015-03-01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2
LURIBAY,atencion odontologica,medidas preventivas,2015-03-01,4,7,1,1,1,1,1,2,1,2,0,0,0,0,8,13,21
MACHACAMARCA,atencion odontologica,medidas preventivas,2015-03-01,12,26,0,8,0,0,0,6,0,0,0,0,0,0,12,40,52
MACHARETI,atencion odontologica,medidas preventivas,2015-03-01,29,19,0,1,0,13,0,20,5,0,0,0,0,0,34,53,87
MAGDALENA,atencion odontologica,medidas preventivas,2015-03-01,0,2,0,0,0,2,2,0,0,0,0,0,0,0,2,4,6
MAIRANA,atencion odontologica,medidas preventivas,2015-03-01,9,11,1,1,3,1,1,13,0,0,0,0,0,0,14,26,40
MALLA,atencion odontologica,medidas preventivas,2015-03-01,0,0,48,59,0,0,2,0,0,0,0,0,0,0,50,59,109
MAPIRI,atencion odontologica,medidas preventivas,2015-03-01,23,27,1,3,2,2,10,10,0,0,0,0,0,0,36,42,78
MECAPACA,atencion odontologica,medidas preventivas,2015-03-01,36,21,1,2,1,2,0,5,0,0,0,0,0,0,38,30,68
MINEROS,atencion odontologica,medidas preventivas,2015-03-01,8,9,0,0,0,0,0,0,0,0,0,0,0,0,8,9,17
MIZQUE,atencion odontologica,medidas preventivas,2015-03-01,67,63,0,2,0,1,0,3,0,0,0,0,0,0,67,69,136
MOCOMOCO,atencion odontologica,medidas preventivas,2015-03-01,1,0,45,36,0,1,0,1,1,2,0,0,0,0,47,40,87
MOJOCOYA,atencion odontologica,medidas preventivas,2015-03-01,9,5,0,0,1,4,2,10,1,0,0,0,0,0,13,19,32
MONTEAGUDO,atencion odontologica,medidas preventivas,2015-03-01,59,55,1,3,1,2,3,12,1,0,0,0,0,0,65,72,137
MONTERO,atencion odontologica,medidas preventivas,2015-03-01,83,68,44,60,5,39,9,68,15,9,0,0,0,0,156,244,400
MORO MORO,atencion odontologica,medidas preventivas,2015-03-01,5,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,6
MOROCHATA,atencion odontologica,medidas preventivas,2015-03-01,43,29,0,0,0,19,0,15,4,11,0,0,0,0,47,74,121
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,medidas preventivas,2015-03-01,10,5,0,0,0,0,0,0,0,0,0,0,0,0,10,5,15
OCURI,atencion odontologica,medidas preventivas,2015-03-01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2
OMEREQUE,atencion odontologica,medidas preventivas,2015-03-01,14,12,168,184,16,13,1,0,0,0,0,0,0,0,199,209,408
ORURO,atencion odontologica,medidas preventivas,2015-03-01,280,365,191,240,126,130,397,602,212,145,0,0,0,0,1206,1482,2688
PADCAYA,atencion odontologica,medidas preventivas,2015-03-01,4,9,19,17,5,8,4,8,0,0,0,0,0,0,32,42,74
PADILLA,atencion odontologica,medidas preventivas,2015-03-01,8,7,4,5,0,0,1,1,0,0,0,0,0,0,13,13,26
PAILON,atencion odontologica,medidas preventivas,2015-03-01,12,11,0,0,8,1,2,5,0,0,0,0,0,0,22,17,39
PALCA,atencion odontologica,medidas preventivas,2015-03-01,43,22,0,0,0,2,0,9,0,0,0,0,0,0,43,33,76
PALOS BLANCOS,atencion odontologica,medidas preventivas,2015-03-01,17,18,1,5,0,4,2,14,4,1,0,0,0,0,24,42,66
PAMPA AULLAGAS,atencion odontologica,medidas preventivas,2015-03-01,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
PAMPA GRANDE,atencion odontologica,medidas preventivas,2015-03-01,9,12,0,0,0,0,0,0,0,0,0,0,0,0,9,12,21
PAPEL PAMPA,atencion odontologica,medidas preventivas,2015-03-01,1,4,0,0,0,0,0,3,0,0,0,0,0,0,1,7,8
PASORAPA,atencion odontologica,medidas preventivas,2015-03-01,15,11,48,31,3,5,5,9,2,0,0,0,0,0,73,56,129
PATACAMAYA,atencion odontologica,medidas preventivas,2015-03-01,35,49,0,2,0,0,0,0,0,0,0,0,0,0,35,51,86
PAZÑA,atencion odontologica,medidas preventivas,2015-03-01,8,5,0,2,0,2,2,3,2,1,0,0,0,0,12,13,25
PELECHUCO,atencion odontologica,medidas preventivas,2015-03-01,5,7,0,1,0,0,0,0,0,0,0,0,0,0,5,8,13
POCOATA,atencion odontologica,medidas preventivas,2015-03-01,29,12,0,0,0,1,0,0,0,0,0,0,0,0,29,13,42
POCONA,atencion odontologica,medidas preventivas,2015-03-01,5,15,57,36,0,0,0,0,0,0,0,0,0,0,62,51,113
POJO (CBBA),atencion odontologica,medidas preventivas,2015-03-01,23,16,29,46,6,0,0,0,0,0,0,0,0,0,58,62,120
POOPO,atencion odontologica,medidas preventivas,2015-03-01,11,14,14,15,7,9,20,21,6,3,0,0,0,0,58,62,120
PORCO,atencion odontologica,medidas preventivas,2015-03-01,3,7,0,3,1,1,2,11,0,0,0,0,0,0,6,22,28
POROMA,atencion odontologica,medidas preventivas,2015-03-01,29,28,63,59,30,13,0,1,0,0,0,0,0,0,122,101,223
PORONGO,atencion odontologica,medidas preventivas,2015-03-01,42,40,106,108,1,3,1,0,1,4,0,0,0,0,151,155,306
PORTACHUELO,atencion odontologica,medidas preventivas,2015-03-01,6,5,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
PORVENIR,atencion odontologica,medidas preventivas,2015-03-01,31,33,128,137,6,1,0,1,0,0,0,0,0,0,165,172,337
POSTRER VALLE,atencion odontologica,medidas preventivas,2015-03-01,1,4,0,2,0,0,0,0,0,0,0,0,0,0,1,6,7
POTOSI,atencion odontologica,medidas preventivas,2015-03-01,210,223,23,21,11,19,25,109,4,14,0,0,0,0,273,386,659
PRESTO,atencion odontologica,medidas preventivas,2015-03-01,26,47,9,3,0,1,0,3,0,0,0,0,0,0,35,54,89
PUCARANI,atencion odontologica,medidas preventivas,2015-03-01,15,15,0,0,0,0,0,2,0,0,0,0,0,0,15,17,32
PUERTO ACOSTA,atencion odontologica,medidas preventivas,2015-03-01,19,13,0,0,0,0,0,0,2,0,0,0,0,0,21,13,34
PUERTO CARABUCO,atencion odontologica,medidas preventivas,2015-03-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
PUERTO GONZALO MORENO,atencion odontologica,medidas preventivas,2015-03-01,27,54,57,83,4,23,5,9,1,1,0,0,0,0,94,170,264
PUERTO QUIJARRO,atencion odontologica,medidas preventivas,2015-03-01,151,109,0,0,0,0,0,0,0,1,0,0,0,0,151,110,261
PUERTO RICO,atencion odontologica,medidas preventivas,2015-03-01,2,8,0,0,1,0,4,2,0,0,0,0,0,0,7,10,17
PUERTO SUAREZ,atencion odontologica,medidas preventivas,2015-03-01,6,23,0,0,0,0,0,2,1,0,0,0,0,0,7,25,32
PUERTO VILLARROEL,atencion odontologica,medidas preventivas,2015-03-01,74,66,6,14,6,32,15,20,3,0,0,0,0,0,104,132,236
PUNA,atencion odontologica,medidas preventivas,2015-03-01,10,11,0,0,0,0,0,2,1,0,0,0,0,0,11,13,24
PUNATA,atencion odontologica,medidas preventivas,2015-03-01,71,71,58,40,35,52,70,131,6,6,0,0,0,0,240,300,540
QUIABAYA,atencion odontologica,medidas preventivas,2015-03-01,7,9,0,0,0,0,0,0,1,0,0,0,0,0,8,9,17
QUILLACOLLO,atencion odontologica,medidas preventivas,2015-03-01,389,463,306,358,193,324,292,676,44,59,0,0,0,0,1224,1880,3104
QUIME,atencion odontologica,medidas preventivas,2015-03-01,59,97,2,8,0,3,5,3,0,0,0,0,0,0,66,111,177
QUIRUSILLAS,atencion odontologica,medidas preventivas,2015-03-01,2,3,29,29,2,0,0,0,0,0,0,0,0,0,33,32,65
RAVELO,atencion odontologica,medidas preventivas,2015-03-01,25,12,0,0,0,0,0,5,0,1,0,0,0,0,25,18,43
REYES,atencion odontologica,medidas preventivas,2015-03-01,1,3,6,14,7,3,2,2,0,1,0,0,0,0,16,23,39
RIBERALTA,atencion odontologica,medidas preventivas,2015-03-01,119,120,67,82,62,106,53,222,27,26,0,0,0,0,328,556,884
ROBORE,atencion odontologica,medidas preventivas,2015-03-01,14,19,35,29,2,6,16,15,1,1,0,0,0,0,68,70,138
RURRENABAQUE,atencion odontologica,medidas preventivas,2015-03-01,20,24,6,13,12,21,23,25,0,0,0,0,0,0,61,83,144
SABAYA,atencion odontologica,medidas preventivas,2015-03-01,0,20,17,37,7,3,0,1,0,0,0,0,0,0,24,61,85
SACABA,atencion odontologica,medidas preventivas,2015-03-01,349,397,158,230,34,91,263,422,28,42,0,0,0,0,832,1182,2014
SACABAMBA,atencion odontologica,medidas preventivas,2015-03-01,9,5,0,0,0,1,0,1,0,3,0,0,0,0,9,10,19
SACACA,atencion odontologica,medidas preventivas,2015-03-01,34,15,0,0,0,0,0,4,0,0,0,0,0,0,34,19,53
SAIPINA,atencion odontologica,medidas preventivas,2015-03-01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
SALINAS DE GARCI MENDOZA,atencion odontologica,medidas preventivas,2015-03-01,55,46,21,25,2,12,0,10,0,0,0,0,0,0,78,93,171
SAMAIPATA,atencion odontologica,medidas preventivas,2015-03-01,36,47,0,0,0,2,0,1,0,0,0,0,0,0,36,50,86
SAN AGUSTIN,atencion odontologica,medidas preventivas,2015-03-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
SAN ANDRES,atencion odontologica,medidas preventivas,2015-03-01,18,23,2,4,2,5,4,5,0,0,0,0,0,0,26,37,63
SAN ANDRES DE MACHACA,atencion odontologica,medidas preventivas,2015-03-01,8,7,48,28,14,6,0,3,0,0,0,0,0,0,70,44,114
SAN ANTONIO DE ESMORUCO,atencion odontologica,medidas preventivas,2015-03-01,0,0,8,4,0,0,0,0,0,0,0,0,0,0,8,4,12
SAN ANTONIO DE LOMERIO,atencion odontologica,medidas preventivas,2015-03-01,42,38,0,0,0,1,0,0,0,0,0,0,0,0,42,39,81
SAN BENITO,atencion odontologica,medidas preventivas,2015-03-01,30,20,3,2,1,0,1,13,1,2,0,0,0,0,36,37,73
SAN BORJA,atencion odontologica,medidas preventivas,2015-03-01,48,31,18,22,4,22,8,28,1,1,0,0,0,0,79,104,183
SAN BUENA VENTURA,atencion odontologica,medidas preventivas,2015-03-01,5,12,6,5,0,3,5,5,0,0,0,0,0,0,16,25,41
SAN CARLOS,atencion odontologica,medidas preventivas,2015-03-01,2,1,0,0,0,1,0,4,0,0,0,0,0,0,2,6,8
SAN IGNACIO,atencion odontologica,medidas preventivas,2015-03-01,16,18,46,31,5,10,7,22,0,0,0,0,0,0,74,81,155
SAN IGNACIO DE VELASCO,atencion odontologica,medidas preventivas,2015-03-01,32,28,23,6,6,4,12,44,2,2,0,0,0,0,75,84,159
SAN JAVIER(BNI),atencion odontologica,medidas preventivas,2015-03-01,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,14,14
SAN JAVIER(STC),atencion odontologica,medidas preventivas,2015-03-01,20,30,152,214,0,0,0,1,0,0,0,0,0,0,172,245,417
SAN JOAQUIN,atencion odontologica,medidas preventivas,2015-03-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
SAN JOSE DE CHIQUITOS,atencion odontologica,medidas preventivas,2015-03-01,0,0,3,0,0,0,0,4,1,0,0,0,0,0,4,4,8
SAN JUAN DE YAPACANI,atencion odontologica,medidas preventivas,2015-03-01,6,8,0,0,0,0,0,1,0,0,0,0,0,0,6,9,15
SAN JULIAN,atencion odontologica,medidas preventivas,2015-03-01,49,75,30,41,0,1,0,3,0,0,0,0,0,0,79,120,199
SAN LORENZO(TJA),atencion odontologica,medidas preventivas,2015-03-01,14,9,63,62,11,45,11,24,1,1,0,0,0,0,100,141,241
SAN LUCAS,atencion odontologica,medidas preventivas,2015-03-01,54,56,0,0,0,7,0,16,0,0,0,0,0,0,54,79,133
SAN MATIAS,atencion odontologica,medidas preventivas,2015-03-01,3,4,4,2,0,0,0,0,0,0,0,0,0,0,7,6,13
SAN MIGUEL DE VELASCO,atencion odontologica,medidas preventivas,2015-03-01,32,19,0,0,0,1,0,2,0,0,0,0,0,0,32,22,54
SAN PEDRO,atencion odontologica,medidas preventivas,2015-03-01,35,25,10,14,4,6,1,4,3,0,0,0,0,0,53,49,102
SAN PEDRO DE BUENA VISTA,atencion odontologica,medidas preventivas,2015-03-01,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,3,4
SAN PEDRO DE CURAHUARA,atencion odontologica,medidas preventivas,2015-03-01,17,8,0,0,0,1,0,2,1,1,0,0,0,0,18,12,30
SAN PEDRO DE TIQUINA,atencion odontologica,medidas preventivas,2015-03-01,2,5,0,0,0,0,0,2,0,0,0,0,0,0,2,7,9
SAN RAFAEL,atencion odontologica,medidas preventivas,2015-03-01,19,23,1,3,2,11,2,17,0,0,0,0,0,0,24,54,78
SAN RAMON BENI,atencion odontologica,medidas preventivas,2015-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN RAMON SCZ,atencion odontologica,medidas preventivas,2015-03-01,60,75,0,0,0,0,0,0,0,0,0,0,0,0,60,75,135
SANTA ANA,atencion odontologica,medidas preventivas,2015-03-01,4,6,17,33,5,8,6,12,1,0,0,0,0,0,33,59,92
SANTA CRUZ DE LA SIERRA,atencion odontologica,medidas preventivas,2015-03-01,2203,1890,147,234,190,404,311,1045,62,88,0,0,0,0,2913,3661,6574
SANTA ROSA,atencion odontologica,medidas preventivas,2015-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SANTA ROSA DEL SARA,atencion odontologica,medidas preventivas,2015-03-01,2,3,0,1,0,0,0,0,0,0,0,0,0,0,2,4,6
SANTIAGO DE CALLAPA,atencion odontologica,medidas preventivas,2015-03-01,6,4,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10
SANTIAGO DE HUARI,atencion odontologica,medidas preventivas,2015-03-01,49,39,228,214,1,12,74,101,2,7,0,0,0,0,354,373,727
SANTIAGO DE HUATA,atencion odontologica,medidas preventivas,2015-03-01,7,9,0,0,0,1,0,2,1,1,0,0,0,0,8,13,21
SANTIAGO DE MACHACA,atencion odontologica,medidas preventivas,2015-03-01,13,14,0,0,0,0,0,0,0,0,0,0,0,0,13,14,27
SANTIVAÑES,atencion odontologica,medidas preventivas,2015-03-01,7,0,0,3,0,1,0,3,0,0,0,0,0,0,7,7,14
SANTUARIO DE QUILLACAS,atencion odontologica,medidas preventivas,2015-03-01,0,5,3,0,0,0,2,3,0,0,0,0,0,0,5,8,13
SAPAHAQUI,atencion odontologica,medidas preventivas,2015-03-01,16,18,0,0,0,0,0,8,2,0,0,0,0,0,18,26,44
SENA,atencion odontologica,medidas preventivas,2015-03-01,17,6,1,2,1,1,0,0,0,0,0,0,0,0,19,9,28
SHINAOTA,atencion odontologica,medidas preventivas,2015-03-01,31,29,0,0,0,6,0,4,0,0,0,0,0,0,31,39,70
SICA SICA (VILLA AROMA),atencion odontologica,medidas preventivas,2015-03-01,11,7,0,0,0,0,3,5,0,0,0,0,0,0,14,12,26
SICAYA,atencion odontologica,medidas preventivas,2015-03-01,4,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,5
SIPE SIPE,atencion odontologica,medidas preventivas,2015-03-01,59,25,0,0,0,2,0,2,0,0,0,0,0,0,59,29,88
SOPACHUY,atencion odontologica,medidas preventivas,2015-03-01,3,10,3,3,0,3,0,0,0,0,0,0,0,0,6,16,22
SORACACHI,atencion odontologica,medidas preventivas,2015-03-01,11,18,7,4,0,1,2,0,0,0,0,0,0,0,20,23,43
SORATA,atencion odontologica,medidas preventivas,2015-03-01,58,65,0,3,0,11,1,39,13,4,0,0,0,0,72,122,194
SUCRE,atencion odontologica,medidas preventivas,2015-03-01,878,988,245,323,160,290,337,672,28,20,0,0,0,0,1648,2293,3941
TACACHI,atencion odontologica,medidas preventivas,2015-03-01,0,0,2,0,0,0,1,4,0,0,0,0,0,0,3,4,7
TACACOMA,atencion odontologica,medidas preventivas,2015-03-01,1,2,0,0,0,3,5,1,0,0,0,0,0,0,6,6,12
TACOBAMBA,atencion odontologica,medidas preventivas,2015-03-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
TACOPAYA,atencion odontologica,medidas preventivas,2015-03-01,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
TAPACARI,atencion odontologica,medidas preventivas,2015-03-01,26,35,35,24,0,6,0,4,2,3,0,0,0,0,63,72,135
TARABUCO,atencion odontologica,medidas preventivas,2015-03-01,82,68,0,0,2,6,0,17,3,1,0,0,0,0,87,92,179
TARACO,atencion odontologica,medidas preventivas,2015-03-01,29,10,0,0,0,7,0,12,0,2,0,0,0,0,29,31,60
TARATA,atencion odontologica,medidas preventivas,2015-03-01,20,2,8,5,4,6,11,32,4,6,0,0,0,0,47,51,98
TARIJA,atencion odontologica,medidas preventivas,2015-03-01,227,211,403,417,99,183,287,480,26,16,0,0,0,0,1042,1307,2349
TARVITA,atencion odontologica,medidas preventivas,2015-03-01,72,62,0,0,0,4,0,15,0,0,0,0,0,0,72,81,153
TEOPONTE,atencion odontologica,medidas preventivas,2015-03-01,17,3,4,0,0,0,3,0,0,1,0,0,0,0,24,4,28
TINGUIPAYA,atencion odontologica,medidas preventivas,2015-03-01,0,8,0,0,0,0,0,15,0,0,0,0,0,0,0,23,23
TIPUANI,atencion odontologica,medidas preventivas,2015-03-01,17,26,89,63,0,1,0,0,0,0,0,0,0,0,106,90,196
TIQUIPAYA,atencion odontologica,medidas preventivas,2015-03-01,520,375,58,58,2,14,21,93,5,14,0,0,0,0,606,554,1160
TIRAQUE (CBBA),atencion odontologica,medidas preventivas,2015-03-01,9,19,0,4,0,4,0,0,0,0,0,0,0,0,9,27,36
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,medidas preventivas,2015-03-01,1,0,14,10,1,2,0,0,0,0,0,0,0,0,16,12,28
TOCO,atencion odontologica,medidas preventivas,2015-03-01,6,3,0,0,0,1,0,1,0,0,0,0,0,0,6,5,11
TODOS SANTOS,atencion odontologica,medidas preventivas,2015-03-01,2,0,1,1,0,1,0,0,1,1,0,0,0,0,4,3,7
TOLATA,atencion odontologica,medidas preventivas,2015-03-01,8,9,2,0,0,1,0,10,0,1,0,0,0,0,10,21,31
TOLEDO,atencion odontologica,medidas preventivas,2015-03-01,29,19,5,1,0,0,0,0,0,0,0,0,0,0,34,20,54
TOMAVE,atencion odontologica,medidas preventivas,2015-03-01,22,22,0,0,0,0,0,0,2,1,0,0,0,0,24,23,47
TOMINA,atencion odontologica,medidas preventivas,2015-03-01,47,56,7,3,0,0,0,0,0,0,0,0,0,0,54,59,113
TORO TORO,atencion odontologica,medidas preventivas,2015-03-01,19,12,56,39,5,1,0,5,0,0,0,0,0,0,80,57,137
TOTORA(CBBA),atencion odontologica,medidas preventivas,2015-03-01,2,5,2,2,0,1,1,1,0,0,0,0,0,0,5,9,14
TOTORA(ORR),atencion odontologica,medidas preventivas,2015-03-01,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,13,13
TRIGAL,atencion odontologica,medidas preventivas,2015-03-01,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
TRINIDAD,atencion odontologica,medidas preventivas,2015-03-01,31,19,81,106,10,33,89,183,5,4,0,0,0,0,216,345,561
TUPIZA,atencion odontologica,medidas preventivas,2015-03-01,119,63,23,35,12,12,9,27,3,0,0,0,0,0,166,137,303
TURCO,atencion odontologica,medidas preventivas,2015-03-01,4,8,0,0,0,0,0,0,5,4,0,0,0,0,9,12,21
UMALA,atencion odontologica,medidas preventivas,2015-03-01,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10
UNCIA,atencion odontologica,medidas preventivas,2015-03-01,83,72,17,28,14,27,42,98,4,5,0,0,0,0,160,230,390
URIONDO (A. CONCEPCION),atencion odontologica,medidas preventivas,2015-03-01,3,13,26,10,2,17,5,12,0,0,0,0,0,0,36,52,88
URUBICHA,atencion odontologica,medidas preventivas,2015-03-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
UYUNI,atencion odontologica,medidas preventivas,2015-03-01,12,14,1,0,1,1,0,8,1,0,0,0,0,0,15,23,38
VACAS,atencion odontologica,medidas preventivas,2015-03-01,24,22,2,1,0,0,0,0,0,0,0,0,0,0,26,23,49
VALLEGRANDE,atencion odontologica,medidas preventivas,2015-03-01,95,75,46,48,13,21,35,47,10,13,0,0,0,0,199,204,403
VIACHA,atencion odontologica,medidas preventivas,2015-03-01,90,87,93,91,5,9,11,18,2,2,0,0,0,0,201,207,408
VILA VILA,atencion odontologica,medidas preventivas,2015-03-01,13,5,1,0,0,2,0,6,0,0,0,0,0,0,14,13,27
VILLA CHARCAS,atencion odontologica,medidas preventivas,2015-03-01,7,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10
VILLA MONTES,atencion odontologica,medidas preventivas,2015-03-01,35,30,34,37,10,17,15,38,2,0,0,0,0,0,96,122,218
VILLA NUEVA (LOMA ALTA),atencion odontologica,medidas preventivas,2015-03-01,2,2,1,0,0,1,0,0,0,0,0,0,0,0,3,3,6
