,group,variable,month,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR POST,CIRUGIA BUCAL MENOR POST,TOTALES,TOTALES,TOTALES
GUTIERREZ,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,1,0,1,1,0,3,0,1,0,0,0,0,2,5,7
HUACARETA,atencion odontologica,cirugia bucal menor,2015-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HUACAYA (VILLA DE HUACAYA),atencion odontologica,cirugia bucal menor,2015-04-01,0,1,3,4,1,6,6,5,0,0,0,0,0,0,10,16,26
HUANUNI,atencion odontologica,cirugia bucal menor,2015-04-01,7,15,9,19,2,1,25,6,2,0,0,0,0,0,45,41,86
HUARINA,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,4,2,1,1,1,3,11,2,0,0,0,0,17,8,25
HUATAJATA,atencion odontologica,cirugia bucal menor,2015-04-01,5,2,1,6,1,4,6,7,10,7,0,0,0,0,23,26,49
HUAYLLAMARCA,atencion odontologica,cirugia bucal menor,2015-04-01,0,2,7,16,0,8,9,15,9,8,0,0,0,0,25,49,74
HUMANATA,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,0,1,0,3,2,6,14,8,0,0,0,0,16,18,34
ICHOCA,atencion odontologica,cirugia bucal menor,2015-04-01,0,1,0,0,0,2,4,2,7,2,0,0,0,0,11,7,18
ICLA,atencion odontologica,cirugia bucal menor,2015-04-01,1,3,4,5,6,7,5,25,1,7,0,0,0,0,17,47,64
INCAHUASI,atencion odontologica,cirugia bucal menor,2015-04-01,3,1,2,11,10,11,11,41,4,8,0,0,0,0,30,72,102
INQUISIVI,atencion odontologica,cirugia bucal menor,2015-04-01,2,2,5,5,8,10,16,23,9,8,0,0,0,0,40,48,88
IRUPANA (VILLA DE LANZA),atencion odontologica,cirugia bucal menor,2015-04-01,8,17,6,9,2,5,10,21,10,2,0,0,0,0,36,54,90
JESUS DE MACHACA,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,5,5,0,4,5,3,1,1,0,0,0,0,11,13,24
LA ASUNTA,atencion odontologica,cirugia bucal menor,2015-04-01,13,2,12,16,5,15,20,42,4,1,0,0,0,0,54,76,130
LA GUARDIA,atencion odontologica,cirugia bucal menor,2015-04-01,21,10,0,1,1,2,1,15,7,8,0,0,0,0,30,36,66
LA PAZ,atencion odontologica,cirugia bucal menor,2015-04-01,137,130,141,114,84,96,147,267,77,72,0,0,0,0,586,679,1265
LAGUNILLAS,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,5,6
LAJA,atencion odontologica,cirugia bucal menor,2015-04-01,3,2,4,3,2,1,3,10,0,0,0,0,0,0,12,16,28
LAS CARRERAS,atencion odontologica,cirugia bucal menor,2015-04-01,1,1,4,4,0,3,2,3,3,0,0,0,0,0,10,11,21
LICOMA PAMPA,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,1,6,1,3,0,5,4,0,0,0,0,0,6,14,20
LLALLAGUA,atencion odontologica,cirugia bucal menor,2015-04-01,21,22,17,11,11,20,15,35,11,9,0,0,0,0,75,97,172
LLICA,atencion odontologica,cirugia bucal menor,2015-04-01,2,0,4,2,3,3,8,19,3,6,0,0,0,0,20,30,50
LURIBAY,atencion odontologica,cirugia bucal menor,2015-04-01,3,3,3,6,5,5,14,7,5,7,0,0,0,0,30,28,58
MACHACAMARCA,atencion odontologica,cirugia bucal menor,2015-04-01,2,0,1,1,2,0,3,1,0,0,0,0,0,0,8,2,10
MACHARETI,atencion odontologica,cirugia bucal menor,2015-04-01,0,2,5,3,1,0,9,20,6,0,0,0,0,0,21,25,46
MAGDALENA,atencion odontologica,cirugia bucal menor,2015-04-01,2,1,0,2,0,0,1,1,0,2,0,0,0,0,3,6,9
MAIRANA,atencion odontologica,cirugia bucal menor,2015-04-01,1,0,0,1,0,0,0,3,0,0,0,0,0,0,1,4,5
MAPIRI,atencion odontologica,cirugia bucal menor,2015-04-01,5,7,6,5,4,1,24,30,2,3,0,0,0,0,41,46,87
MECAPACA,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,7,9,2,1,3,13,1,4,0,0,0,0,13,27,40
MINEROS,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,0,0,0,1,2,5,0,0,0,0,0,0,2,6,8
MIZQUE,atencion odontologica,cirugia bucal menor,2015-04-01,3,3,2,2,5,2,0,17,1,5,0,0,0,0,11,29,40
MOCOMOCO,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2
MOJOCOYA,atencion odontologica,cirugia bucal menor,2015-04-01,0,1,4,1,2,5,6,11,1,1,0,0,0,0,13,19,32
MONTEAGUDO,atencion odontologica,cirugia bucal menor,2015-04-01,4,3,6,6,2,7,14,28,0,1,0,0,0,0,26,45,71
MONTERO,atencion odontologica,cirugia bucal menor,2015-04-01,4,9,44,34,9,16,29,90,20,7,0,0,0,0,106,156,262
MORO MORO,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,0,0,0,2,2,3,1,0,0,0,0,0,3,5,8
MOROCHATA,atencion odontologica,cirugia bucal menor,2015-04-01,0,2,3,1,3,1,4,7,10,4,0,0,0,0,20,15,35
OCURI,atencion odontologica,cirugia bucal menor,2015-04-01,3,5,0,8,5,12,21,27,3,4,0,0,0,0,32,56,88
OKINAWA,atencion odontologica,cirugia bucal menor,2015-04-01,3,0,5,2,0,6,5,3,2,2,0,0,0,0,15,13,28
OMEREQUE,atencion odontologica,cirugia bucal menor,2015-04-01,2,0,3,3,0,0,1,1,1,0,0,0,0,0,7,4,11
ORURO,atencion odontologica,cirugia bucal menor,2015-04-01,85,72,124,121,27,62,121,190,109,58,0,0,0,0,466,503,969
PADCAYA,atencion odontologica,cirugia bucal menor,2015-04-01,0,1,16,7,2,9,12,19,5,2,0,0,0,0,35,38,73
PADILLA,atencion odontologica,cirugia bucal menor,2015-04-01,1,2,0,5,0,1,6,8,4,1,0,0,0,0,11,17,28
PAILON,atencion odontologica,cirugia bucal menor,2015-04-01,0,7,2,2,1,4,4,9,0,1,0,0,0,0,7,23,30
PALCA,atencion odontologica,cirugia bucal menor,2015-04-01,4,6,5,6,3,3,15,18,2,3,0,0,0,0,29,36,65
PALOS BLANCOS,atencion odontologica,cirugia bucal menor,2015-04-01,4,0,6,5,3,4,11,25,6,6,0,0,0,0,30,40,70
PAMPA AULLAGAS,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
PAMPA GRANDE,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,0,1,0,0,0,2,2,1,0,0,0,0,2,4,6
PAPEL PAMPA,atencion odontologica,cirugia bucal menor,2015-04-01,1,0,9,0,1,3,1,5,9,10,0,0,0,0,21,18,39
PASORAPA,atencion odontologica,cirugia bucal menor,2015-04-01,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,3
PATACAMAYA,atencion odontologica,cirugia bucal menor,2015-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PAZÑA,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,3,1,0,4,2,5,0,0,0,0,0,0,5,10,15
PELECHUCO,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,0,0,1,3,2,5,0,0,0,0,0,0,3,8,11
POCOATA,atencion odontologica,cirugia bucal menor,2015-04-01,1,1,2,0,1,0,2,20,1,6,0,0,0,0,7,27,34
POCONA,atencion odontologica,cirugia bucal menor,2015-04-01,6,2,6,7,3,3,5,6,1,3,0,0,0,0,21,21,42
POJO (CBBA),atencion odontologica,cirugia bucal menor,2015-04-01,4,2,14,6,0,3,7,10,2,6,0,0,0,0,27,27,54
POOPO,atencion odontologica,cirugia bucal menor,2015-04-01,2,1,1,3,0,1,2,0,7,2,0,0,0,0,12,7,19
PORCO,atencion odontologica,cirugia bucal menor,2015-04-01,0,2,4,5,1,2,0,12,0,0,0,0,0,0,5,21,26
POROMA,atencion odontologica,cirugia bucal menor,2015-04-01,1,0,14,7,2,4,9,16,0,11,0,0,0,0,26,38,64
PORONGO,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,1,1,0,0,2,0,0,0,0,0,0,0,3,1,4
PORTACHUELO,atencion odontologica,cirugia bucal menor,2015-04-01,2,4,3,5,2,6,1,0,4,0,0,0,0,0,12,15,27
PORVENIR,atencion odontologica,cirugia bucal menor,2015-04-01,2,1,0,0,0,0,0,1,2,0,0,0,0,0,4,2,6
POTOSI,atencion odontologica,cirugia bucal menor,2015-04-01,62,44,35,33,67,82,97,179,19,22,0,0,0,0,280,360,640
PRESTO,atencion odontologica,cirugia bucal menor,2015-04-01,1,1,11,7,5,1,6,11,5,1,0,0,0,0,28,21,49
PUCARANI,atencion odontologica,cirugia bucal menor,2015-04-01,3,4,14,10,10,19,15,40,28,10,0,0,0,0,70,83,153
PUERTO ACOSTA,atencion odontologica,cirugia bucal menor,2015-04-01,3,3,12,7,3,9,12,36,14,20,0,0,0,0,44,75,119
PUERTO CARABUCO,atencion odontologica,cirugia bucal menor,2015-04-01,0,1,2,1,0,6,9,13,11,3,0,0,0,0,22,24,46
PUERTO GONZALO MORENO,atencion odontologica,cirugia bucal menor,2015-04-01,4,1,5,1,0,3,0,3,0,0,0,0,0,0,9,8,17
PUERTO PEREZ,atencion odontologica,cirugia bucal menor,2015-04-01,1,0,2,2,0,1,0,5,1,3,0,0,0,0,4,11,15
PUERTO QUIJARRO,atencion odontologica,cirugia bucal menor,2015-04-01,1,1,1,0,0,0,42,1,2,3,0,0,0,0,46,5,51
PUERTO RICO,atencion odontologica,cirugia bucal menor,2015-04-01,1,2,1,5,6,3,17,19,2,2,0,0,0,0,27,31,58
PUERTO SUAREZ,atencion odontologica,cirugia bucal menor,2015-04-01,0,2,1,1,2,1,12,1,0,0,0,0,0,0,15,5,20
PUERTO VILLARROEL,atencion odontologica,cirugia bucal menor,2015-04-01,9,8,2,1,0,1,0,5,2,0,0,0,0,0,13,15,28
PUNA,atencion odontologica,cirugia bucal menor,2015-04-01,1,2,10,2,2,8,3,8,4,5,0,0,0,0,20,25,45
PUNATA,atencion odontologica,cirugia bucal menor,2015-04-01,5,4,8,8,0,4,2,4,4,3,0,0,0,0,19,23,42
QUIABAYA,atencion odontologica,cirugia bucal menor,2015-04-01,3,0,4,2,2,12,11,8,1,1,0,0,0,0,21,23,44
QUILLACOLLO,atencion odontologica,cirugia bucal menor,2015-04-01,31,33,13,7,2,6,8,22,13,14,0,0,0,0,67,82,149
QUIME,atencion odontologica,cirugia bucal menor,2015-04-01,9,1,13,4,2,4,13,12,5,4,0,0,0,0,42,25,67
QUIRUSILLAS,atencion odontologica,cirugia bucal menor,2015-04-01,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,3
RAVELO,atencion odontologica,cirugia bucal menor,2015-04-01,1,1,7,1,1,0,4,17,3,3,0,0,0,0,16,22,38
REYES,atencion odontologica,cirugia bucal menor,2015-04-01,1,2,1,3,0,1,0,8,0,4,0,0,0,0,2,18,20
RIBERALTA,atencion odontologica,cirugia bucal menor,2015-04-01,9,15,39,33,14,33,27,91,3,5,0,0,0,0,92,177,269
RURRENABAQUE,atencion odontologica,cirugia bucal menor,2015-04-01,7,8,5,11,6,7,8,7,3,2,0,0,0,0,29,35,64
SABAYA,atencion odontologica,cirugia bucal menor,2015-04-01,1,2,3,3,0,2,3,3,4,5,0,0,0,0,11,15,26
SACABA,atencion odontologica,cirugia bucal menor,2015-04-01,21,17,36,38,4,6,7,16,7,13,0,0,0,0,75,90,165
SACABAMBA,atencion odontologica,cirugia bucal menor,2015-04-01,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,1,3
SACACA,atencion odontologica,cirugia bucal menor,2015-04-01,4,0,3,1,2,1,2,9,0,3,0,0,0,0,11,14,25
SAIPINA,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
SALINAS DE GARCI MENDOZA,atencion odontologica,cirugia bucal menor,2015-04-01,3,8,7,5,3,6,5,2,2,8,0,0,0,0,20,29,49
SAMAIPATA,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,0,7,0,1,2,6,2,10,0,0,0,0,4,24,28
SAN AGUSTIN,atencion odontologica,cirugia bucal menor,2015-04-01,0,2,0,0,0,0,3,0,0,0,0,0,0,0,3,2,5
SAN ANDRES,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,3,3,0,4,8,8,0,0,0,0,0,0,11,15,26
SAN ANDRES DE MACHACA,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,1,2,2,0,1,2,0,1,0,0,0,0,4,5,9
SAN ANTONIO DE ESMORUCO,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,6,3,3,2,1,4,0,3,0,0,0,0,10,12,22
SAN ANTONIO DE LOMERIO,atencion odontologica,cirugia bucal menor,2015-04-01,2,1,1,2,0,1,1,8,5,4,0,0,0,0,9,16,25
SAN BENITO,atencion odontologica,cirugia bucal menor,2015-04-01,1,2,0,1,0,0,0,0,1,0,0,0,0,0,2,3,5
SAN BORJA,atencion odontologica,cirugia bucal menor,2015-04-01,4,4,12,13,3,13,8,40,11,10,0,0,0,0,38,80,118
SAN BUENA VENTURA,atencion odontologica,cirugia bucal menor,2015-04-01,2,0,3,5,1,1,3,13,6,2,0,0,0,0,15,21,36
SAN CARLOS,atencion odontologica,cirugia bucal menor,2015-04-01,1,1,0,0,1,1,2,0,0,1,0,0,0,0,4,3,7
SAN IGNACIO,atencion odontologica,cirugia bucal menor,2015-04-01,1,1,24,18,9,11,18,34,5,0,0,0,0,0,57,64,121
SAN IGNACIO DE VELASCO,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,2,1,2,6,4,7,12,17,0,0,0,0,20,31,51
SAN JAVIER(STC),atencion odontologica,cirugia bucal menor,2015-04-01,0,2,1,1,2,0,3,6,0,0,0,0,0,0,6,9,15
SAN JOSE DE CHIQUITOS,atencion odontologica,cirugia bucal menor,2015-04-01,3,1,0,2,1,1,4,2,0,0,0,0,0,0,8,6,14
SAN JUAN DE YAPACANI,atencion odontologica,cirugia bucal menor,2015-04-01,5,1,3,4,0,1,1,3,0,0,0,0,0,0,9,9,18
SAN JULIAN,atencion odontologica,cirugia bucal menor,2015-04-01,10,2,0,0,0,2,0,3,4,2,0,0,0,0,14,9,23
SAN LORENZO(TJA),atencion odontologica,cirugia bucal menor,2015-04-01,4,1,20,30,4,16,31,73,9,6,0,0,0,0,68,126,194
SAN LUCAS,atencion odontologica,cirugia bucal menor,2015-04-01,1,2,3,5,2,3,5,3,0,1,0,0,0,0,11,14,25
SAN MATIAS,atencion odontologica,cirugia bucal menor,2015-04-01,5,4,2,0,0,0,2,0,0,0,0,0,0,0,9,4,13
SAN MIGUEL DE VELASCO,atencion odontologica,cirugia bucal menor,2015-04-01,0,1,4,2,1,0,4,21,2,3,0,0,0,0,11,27,38
SAN PABLO DE LIPEZ,atencion odontologica,cirugia bucal menor,2015-04-01,0,1,2,1,3,2,2,4,1,0,0,0,0,0,8,8,16
SAN PEDRO,atencion odontologica,cirugia bucal menor,2015-04-01,0,2,6,19,3,12,3,18,11,5,0,0,0,0,23,56,79
SAN PEDRO DE BUENA VISTA,atencion odontologica,cirugia bucal menor,2015-04-01,1,1,1,1,9,10,10,21,11,14,0,0,0,0,32,47,79
SAN PEDRO DE CURAHUARA,atencion odontologica,cirugia bucal menor,2015-04-01,0,2,0,0,0,1,2,5,0,4,0,0,0,0,2,12,14
SAN PEDRO DE QUEMES,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,5,6
SAN PEDRO DE TIQUINA,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,4,9,4,7,6,7,9,4,0,0,0,0,23,27,50
SAN RAFAEL,atencion odontologica,cirugia bucal menor,2015-04-01,0,1,2,2,0,3,3,5,1,9,0,0,0,0,6,20,26
SANTA ANA,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,5,10,13,11,20,14,4,3,0,0,0,0,42,38,80
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucal menor,2015-04-01,29,47,43,47,40,48,102,255,78,52,0,0,0,0,292,449,741
SANTA ROSA,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,2,1,1,0,1,1,0,0,0,0,0,0,4,2,6
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucal menor,2015-04-01,2,0,2,1,1,0,0,2,0,0,0,0,0,0,5,3,8
SANTIAGO DE CALLAPA,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,1,5,1,4,3,5,6,1,0,0,0,0,11,15,26
SANTIAGO DE HUARI,atencion odontologica,cirugia bucal menor,2015-04-01,3,4,5,12,0,4,7,19,3,3,0,0,0,0,18,42,60
SANTIAGO DE HUATA,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,1,0,3,3,2,4,5,4,0,0,0,0,11,11,22
SANTIAGO DE MACHACA,atencion odontologica,cirugia bucal menor,2015-04-01,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,3
SANTIVAÑES,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2
SANTUARIO DE QUILLACAS,atencion odontologica,cirugia bucal menor,2015-04-01,1,1,4,4,2,0,0,3,0,0,0,0,0,0,7,8,15
SAPAHAQUI,atencion odontologica,cirugia bucal menor,2015-04-01,2,1,1,2,0,2,6,7,1,0,0,0,0,0,10,12,22
SENA,atencion odontologica,cirugia bucal menor,2015-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SHINAOTA,atencion odontologica,cirugia bucal menor,2015-04-01,7,4,0,0,0,1,0,0,2,0,0,0,0,0,9,5,14
SICA SICA (VILLA AROMA),atencion odontologica,cirugia bucal menor,2015-04-01,1,2,6,6,8,11,14,29,9,7,0,0,0,0,38,55,93
SICAYA,atencion odontologica,cirugia bucal menor,2015-04-01,4,0,0,7,0,0,1,5,2,1,0,0,0,0,7,13,20
SIPE SIPE,atencion odontologica,cirugia bucal menor,2015-04-01,6,13,5,5,1,0,0,6,1,5,0,0,0,0,13,29,42
SOPACHUY,atencion odontologica,cirugia bucal menor,2015-04-01,3,1,9,10,3,3,7,19,6,7,0,0,0,0,28,40,68
SORACACHI,atencion odontologica,cirugia bucal menor,2015-04-01,1,1,4,3,1,1,8,10,4,1,0,0,0,0,18,16,34
SORATA,atencion odontologica,cirugia bucal menor,2015-04-01,0,1,0,2,1,6,6,6,3,6,0,0,0,0,10,21,31
SUCRE,atencion odontologica,cirugia bucal menor,2015-04-01,70,60,105,116,12,31,50,190,47,110,0,0,0,0,284,507,791
TACACHI,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,3,4,0,0,0,1,0,0,0,0,0,0,3,5,8
TACACOMA,atencion odontologica,cirugia bucal menor,2015-04-01,0,1,3,4,5,7,16,16,1,3,0,0,0,0,25,31,56
TACOBAMBA,atencion odontologica,cirugia bucal menor,2015-04-01,1,0,0,2,2,4,3,8,2,6,0,0,0,0,8,20,28
TACOPAYA,atencion odontologica,cirugia bucal menor,2015-04-01,1,1,1,1,1,5,2,3,3,4,0,0,0,0,8,14,22
TAHUA,atencion odontologica,cirugia bucal menor,2015-04-01,1,1,3,1,1,1,2,0,0,2,0,0,0,0,7,5,12
TAPACARI,atencion odontologica,cirugia bucal menor,2015-04-01,4,4,2,3,3,3,8,26,6,17,0,0,0,0,23,53,76
TARABUCO,atencion odontologica,cirugia bucal menor,2015-04-01,2,5,0,0,3,10,5,17,2,9,0,0,0,0,12,41,53
TARIJA,atencion odontologica,cirugia bucal menor,2015-04-01,9,27,74,97,43,81,141,263,24,17,0,0,0,0,291,485,776
TARVITA,atencion odontologica,cirugia bucal menor,2015-04-01,1,0,2,2,1,1,9,29,3,5,0,0,0,0,16,37,53
TEOPONTE,atencion odontologica,cirugia bucal menor,2015-04-01,2,1,6,2,10,2,15,33,7,7,0,0,0,0,40,45,85
TIAWANACU,atencion odontologica,cirugia bucal menor,2015-04-01,1,1,2,2,3,2,7,14,7,0,0,0,0,0,20,19,39
TINGUIPAYA,atencion odontologica,cirugia bucal menor,2015-04-01,2,0,0,3,1,9,9,37,3,15,0,0,0,0,15,64,79
TIPUANI,atencion odontologica,cirugia bucal menor,2015-04-01,1,2,4,2,0,2,3,7,1,5,0,0,0,0,9,18,27
TIQUIPAYA,atencion odontologica,cirugia bucal menor,2015-04-01,13,9,9,13,2,3,5,25,1,3,0,0,0,0,30,53,83
TIRAQUE (CBBA),atencion odontologica,cirugia bucal menor,2015-04-01,5,7,0,2,1,1,0,1,1,1,0,0,0,0,7,12,19
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,cirugia bucal menor,2015-04-01,2,1,4,4,1,0,1,7,1,3,0,0,0,0,9,15,24
TOCO,atencion odontologica,cirugia bucal menor,2015-04-01,2,0,2,3,0,0,1,0,0,3,0,0,0,0,5,6,11
TODOS SANTOS,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2
TOLATA,atencion odontologica,cirugia bucal menor,2015-04-01,3,2,5,5,1,3,0,0,1,4,0,0,0,0,10,14,24
TOLEDO,atencion odontologica,cirugia bucal menor,2015-04-01,1,0,2,0,1,1,1,2,0,0,0,0,0,0,5,3,8
TOMAVE,atencion odontologica,cirugia bucal menor,2015-04-01,3,3,0,3,2,1,3,4,0,2,0,0,0,0,8,13,21
TOMINA,atencion odontologica,cirugia bucal menor,2015-04-01,1,0,9,9,7,14,9,6,2,0,0,0,0,0,28,29,57
TORO TORO,atencion odontologica,cirugia bucal menor,2015-04-01,2,0,5,4,0,7,7,12,0,4,0,0,0,0,14,27,41
TOTORA(CBBA),atencion odontologica,cirugia bucal menor,2015-04-01,2,0,4,4,2,4,6,13,2,1,0,0,0,0,16,22,38
TOTORA(ORR),atencion odontologica,cirugia bucal menor,2015-04-01,0,0,0,0,0,0,3,2,0,1,0,0,0,0,3,3,6
TRIGAL,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TRINIDAD,atencion odontologica,cirugia bucal menor,2015-04-01,2,9,20,18,9,13,32,68,13,9,0,0,0,0,76,117,193
TUPIZA,atencion odontologica,cirugia bucal menor,2015-04-01,3,3,13,13,8,10,8,32,11,6,0,0,0,0,43,64,107
TURCO,atencion odontologica,cirugia bucal menor,2015-04-01,0,1,1,0,0,1,1,5,3,6,0,0,0,0,5,13,18
UMALA,atencion odontologica,cirugia bucal menor,2015-04-01,0,2,4,2,0,4,2,5,3,3,0,0,0,0,9,16,25
UNCIA,atencion odontologica,cirugia bucal menor,2015-04-01,11,7,6,7,4,4,5,7,5,5,0,0,0,0,31,30,61
URIONDO (A. CONCEPCION),atencion odontologica,cirugia bucal menor,2015-04-01,1,0,21,25,8,9,27,71,2,2,0,0,0,0,59,107,166
URUBICHA,atencion odontologica,cirugia bucal menor,2015-04-01,1,0,0,1,1,0,2,0,0,0,0,0,0,0,4,1,5
UYUNI,atencion odontologica,cirugia bucal menor,2015-04-01,3,3,1,2,0,4,0,8,0,0,0,0,0,0,4,17,21
VACAS,atencion odontologica,cirugia bucal menor,2015-04-01,2,0,2,2,2,6,3,17,0,10,0,0,0,0,9,35,44
VALLEGRANDE,atencion odontologica,cirugia bucal menor,2015-04-01,3,6,3,4,1,2,6,18,14,18,0,0,0,0,27,48,75
VIACHA,atencion odontologica,cirugia bucal menor,2015-04-01,10,14,75,81,35,48,18,74,18,19,0,0,0,0,156,236,392
VILA VILA,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,5,0,0,0,0,6,0,0,0,0,0,0,5,6,11
VILLA CHARCAS,atencion odontologica,cirugia bucal menor,2015-04-01,1,2,3,3,1,4,8,16,0,13,0,0,0,0,13,38,51
VILLA MONTES,atencion odontologica,cirugia bucal menor,2015-04-01,4,3,47,45,23,26,65,97,12,11,0,0,0,0,151,182,333
VILLA NUEVA (LOMA ALTA),atencion odontologica,cirugia bucal menor,2015-04-01,0,0,4,2,0,4,1,7,0,0,0,0,0,0,5,13,18
VILLA RIVERO,atencion odontologica,cirugia bucal menor,2015-04-01,3,2,0,3,0,0,2,4,0,3,0,0,0,0,5,12,17
VILLA SERRANO,atencion odontologica,cirugia bucal menor,2015-04-01,2,0,0,3,1,1,1,9,2,2,0,0,0,0,6,15,21
VILLA TUNARI,atencion odontologica,cirugia bucal menor,2015-04-01,20,23,5,6,4,10,13,29,7,1,0,0,0,0,49,69,118
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,cirugia bucal menor,2015-04-01,0,0,5,8,5,8,25,47,7,0,0,0,0,0,42,63,105
VILLAZON,atencion odontologica,cirugia bucal menor,2015-04-01,13,17,16,15,5,24,14,55,11,16,0,0,0,0,59,127,186
VINTO,atencion odontologica,cirugia bucal menor,2015-04-01,3,16,2,2,2,0,0,8,0,4,0,0,0,0,7,30,37
VITICHI,atencion odontologica,cirugia bucal menor,2015-04-01,3,0,9,11,2,1,1,19,6,14,0,0,0,0,21,45,66
WALDO BALLIVIAN,atencion odontologica,cirugia bucal menor,2015-04-01,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,3
WARNES,atencion odontologica,cirugia bucal menor,2015-04-01,3,4,4,7,1,3,0,11,22,6,0,0,0,0,30,31,61
YACO,atencion odontologica,cirugia bucal menor,2015-04-01,1,1,0,2,0,1,0,2,1,0,0,0,0,0,2,6,8
YACUIBA,atencion odontologica,cirugia bucal menor,2015-04-01,3,3,22,31,13,27,45,118,47,5,0,0,0,0,130,184,314
YAMPARAEZ,atencion odontologica,cirugia bucal menor,2015-04-01,0,1,2,0,0,1,0,0,1,0,0,0,0,0,3,2,5
YANACACHI,atencion odontologica,cirugia bucal menor,2015-04-01,1,2,1,2,4,0,6,9,0,1,0,0,0,0,12,14,26
YAPACANI,atencion odontologica,cirugia bucal menor,2015-04-01,1,3,2,1,1,3,5,11,1,1,0,0,0,0,10,19,29
YOCALLA,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,0,2,2,3,4,8,3,3,0,0,0,0,9,16,25
YOTALA,atencion odontologica,cirugia bucal menor,2015-04-01,4,8,2,4,2,4,1,7,0,1,0,0,0,0,9,24,33
YUNCHARA,atencion odontologica,cirugia bucal menor,2015-04-01,0,0,21,11,4,10,7,20,0,8,0,0,0,0,32,49,81
ZUDAÑEZ,atencion odontologica,cirugia bucal menor,2015-04-01,1,0,1,2,0,1,0,1,0,0,0,0,0,0,2,4,6
ACHACACHI,atencion odontologica,cirugia bucal menor,2015-05-01,6,5,6,8,5,11,8,39,45,26,0,0,0,0,70,89,159
ACHOCALLA,atencion odontologica,cirugia bucal menor,2015-05-01,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2,3
ALALAY,atencion odontologica,cirugia bucal menor,2015-05-01,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,3
