,group,variable,month,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA EMB,PRIMERA CONSULTA EMB,PRIMERA CONSULTA POST,PRIMERA CONSULTA POST,TOTALES,TOTALES,TOTALES
SABAYA,atencion odontologica,primera consulta,2015-03-01,3,3,4,2,0,0,4,2,3,1,0,4,0,0,14,12,26
SACABA,atencion odontologica,primera consulta,2015-03-01,95,101,9,8,10,17,45,64,39,61,0,39,0,73,198,363,561
SACABAMBA,atencion odontologica,primera consulta,2015-03-01,3,7,4,2,1,6,6,10,2,2,0,2,0,1,16,30,46
SACACA,atencion odontologica,primera consulta,2015-03-01,18,15,12,6,12,6,19,37,3,5,0,7,0,3,64,79,143
SAIPINA,atencion odontologica,primera consulta,2015-03-01,3,4,6,2,0,5,5,10,5,3,0,6,0,2,19,32,51
SALINAS DE GARCI MENDOZA,atencion odontologica,primera consulta,2015-03-01,31,32,6,6,2,6,3,20,8,9,0,34,0,0,50,107,157
SAMAIPATA,atencion odontologica,primera consulta,2015-03-01,25,25,4,3,1,6,6,15,4,5,0,2,0,8,40,64,104
SAN AGUSTIN,atencion odontologica,primera consulta,2015-03-01,0,0,0,1,1,1,1,3,0,0,0,0,0,0,2,5,7
SAN ANDRES,atencion odontologica,primera consulta,2015-03-01,5,7,5,5,1,3,7,10,3,0,0,2,0,1,21,28,49
SAN ANDRES DE MACHACA,atencion odontologica,primera consulta,2015-03-01,8,11,38,38,5,15,12,22,14,13,0,6,0,5,77,110,187
SAN ANTONIO DE ESMORUCO,atencion odontologica,primera consulta,2015-03-01,0,2,7,2,1,0,3,7,0,2,0,1,0,0,11,14,25
SAN ANTONIO DE LOMERIO,atencion odontologica,primera consulta,2015-03-01,44,42,5,0,1,3,1,7,4,2,0,3,0,2,55,59,114
SAN BENITO,atencion odontologica,primera consulta,2015-03-01,15,6,5,4,1,0,1,4,1,2,0,4,0,2,23,22,45
SAN BORJA,atencion odontologica,primera consulta,2015-03-01,34,22,17,24,21,27,28,89,8,7,0,4,0,7,108,180,288
SAN BUENA VENTURA,atencion odontologica,primera consulta,2015-03-01,14,15,7,11,1,3,16,18,3,3,0,3,0,5,41,58,99
SAN CARLOS,atencion odontologica,primera consulta,2015-03-01,15,19,11,4,8,17,8,43,5,5,0,5,0,0,47,93,140
SAN IGNACIO,atencion odontologica,primera consulta,2015-03-01,24,32,27,16,14,25,22,74,2,0,0,18,0,16,89,181,270
SAN IGNACIO DE VELASCO,atencion odontologica,primera consulta,2015-03-01,7,58,189,193,92,103,10,26,12,10,0,19,0,8,310,417,727
SAN JAVIER(BNI),atencion odontologica,primera consulta,2015-03-01,1,0,2,2,2,1,2,5,0,1,0,1,0,0,7,10,17
SAN JAVIER(STC),atencion odontologica,primera consulta,2015-03-01,30,36,156,214,3,4,7,10,7,3,0,6,0,7,203,280,483
SAN JOAQUIN,atencion odontologica,primera consulta,2015-03-01,0,4,1,0,0,1,1,2,1,0,0,2,0,0,3,9,12
SAN JOSE DE CHIQUITOS,atencion odontologica,primera consulta,2015-03-01,15,6,23,10,2,6,13,30,2,0,0,15,0,3,55,70,125
SAN JUAN DE YAPACANI,atencion odontologica,primera consulta,2015-03-01,10,9,5,1,3,3,2,0,0,1,0,4,0,4,20,22,42
SAN JULIAN,atencion odontologica,primera consulta,2015-03-01,95,73,71,81,42,47,2,55,10,14,0,22,0,7,220,299,519
SAN LORENZO(PND),atencion odontologica,primera consulta,2015-03-01,0,0,1,0,0,1,0,4,0,0,0,3,0,1,1,9,10
SAN LORENZO(TJA),atencion odontologica,primera consulta,2015-03-01,24,22,59,65,34,46,51,133,13,10,0,3,0,0,181,279,460
SAN LUCAS,atencion odontologica,primera consulta,2015-03-01,75,64,11,16,8,35,32,100,4,2,0,33,0,13,130,263,393
SAN MATIAS,atencion odontologica,primera consulta,2015-03-01,17,6,5,14,4,8,15,24,6,2,0,8,0,3,47,65,112
SAN MIGUEL DE VELASCO,atencion odontologica,primera consulta,2015-03-01,67,56,5,6,2,6,6,33,6,2,0,3,0,20,86,126,212
SAN PABLO DE LIPEZ,atencion odontologica,primera consulta,2015-03-01,4,4,5,7,1,3,4,6,1,1,0,3,0,1,15,25,40
SAN PEDRO,atencion odontologica,primera consulta,2015-03-01,73,55,40,57,15,35,20,61,6,6,0,18,0,10,154,242,396
SAN PEDRO DE BUENA VISTA,atencion odontologica,primera consulta,2015-03-01,2,7,4,5,9,8,14,45,5,4,0,4,0,5,34,78,112
SAN PEDRO DE CURAHUARA,atencion odontologica,primera consulta,2015-03-01,15,12,1,9,1,2,9,7,8,4,0,5,0,4,34,43,77
SAN PEDRO DE QUEMES,atencion odontologica,primera consulta,2015-03-01,0,0,2,0,1,1,1,1,0,0,0,0,0,1,4,3,7
SAN PEDRO DE TIQUINA,atencion odontologica,primera consulta,2015-03-01,2,8,1,5,4,12,4,15,0,3,0,2,0,0,11,45,56
SAN RAFAEL,atencion odontologica,primera consulta,2015-03-01,7,7,2,3,2,6,1,12,0,0,0,12,0,3,12,43,55
SAN RAMON BENI,atencion odontologica,primera consulta,2015-03-01,3,1,2,2,1,4,0,3,0,0,0,6,0,0,6,16,22
SAN RAMON SCZ,atencion odontologica,primera consulta,2015-03-01,50,73,10,12,8,10,5,5,20,3,0,12,0,5,93,120,213
SANTA ANA,atencion odontologica,primera consulta,2015-03-01,4,5,12,16,5,11,12,21,3,0,0,0,0,0,36,53,89
SANTA CRUZ DE LA SIERRA,atencion odontologica,primera consulta,2015-03-01,2195,1960,516,493,193,560,621,1877,317,309,0,1289,0,384,3842,6872,10714
SANTA ROSA,atencion odontologica,primera consulta,2015-03-01,3,2,5,7,0,3,1,6,0,0,0,0,0,0,9,18,27
SANTA ROSA DEL SARA,atencion odontologica,primera consulta,2015-03-01,12,5,6,11,3,13,13,33,8,6,0,9,0,2,42,79,121
SANTIAGO DE CALLAPA,atencion odontologica,primera consulta,2015-03-01,2,3,1,0,0,2,1,2,2,0,0,1,0,0,6,8,14
SANTIAGO DE HUARI,atencion odontologica,primera consulta,2015-03-01,14,33,119,105,3,7,39,48,2,9,0,0,0,1,177,203,380
SANTIAGO DE HUATA,atencion odontologica,primera consulta,2015-03-01,5,3,3,5,4,1,4,12,7,7,0,7,0,3,23,38,61
SANTIAGO DE MACHACA,atencion odontologica,primera consulta,2015-03-01,25,27,6,7,1,6,3,16,2,1,0,0,0,0,37,57,94
SANTIVAÑES,atencion odontologica,primera consulta,2015-03-01,7,5,3,4,2,2,7,6,2,4,0,1,0,0,21,22,43
SANTUARIO DE QUILLACAS,atencion odontologica,primera consulta,2015-03-01,4,8,7,4,7,5,11,10,5,4,0,2,0,2,34,35,69
SAPAHAQUI,atencion odontologica,primera consulta,2015-03-01,10,10,3,1,2,4,15,22,5,3,0,4,0,4,35,48,83
SENA,atencion odontologica,primera consulta,2015-03-01,12,8,0,1,1,0,0,5,0,0,0,2,0,1,13,17,30
SHINAOTA,atencion odontologica,primera consulta,2015-03-01,9,16,0,0,0,2,0,9,3,5,0,5,0,6,12,43,55
SICA SICA (VILLA AROMA),atencion odontologica,primera consulta,2015-03-01,50,34,17,7,17,28,24,46,14,13,0,5,0,8,122,141,263
SICAYA,atencion odontologica,primera consulta,2015-03-01,2,4,2,5,2,2,2,13,1,1,0,1,0,5,9,31,40
SIPE SIPE,atencion odontologica,primera consulta,2015-03-01,82,79,12,14,7,29,12,113,7,14,0,45,0,85,120,379,499
SOPACHUY,atencion odontologica,primera consulta,2015-03-01,38,32,12,13,5,3,18,24,4,1,0,11,0,1,77,85,162
SORACACHI,atencion odontologica,primera consulta,2015-03-01,11,10,6,8,4,13,11,21,0,4,0,6,0,5,32,67,99
SORATA,atencion odontologica,primera consulta,2015-03-01,15,12,2,4,1,9,5,15,7,1,0,16,0,24,30,81,111
SUCRE,atencion odontologica,primera consulta,2015-03-01,1031,1098,353,313,88,238,411,1067,107,97,0,544,0,264,1990,3621,5611
TACACHI,atencion odontologica,primera consulta,2015-03-01,0,0,2,0,0,0,1,4,0,0,0,0,0,0,3,4,7
TACACOMA,atencion odontologica,primera consulta,2015-03-01,6,4,9,8,3,12,15,26,0,1,0,3,0,4,33,58,91
TACOBAMBA,atencion odontologica,primera consulta,2015-03-01,5,6,2,4,1,1,1,9,1,4,0,3,0,4,10,31,41
TACOPAYA,atencion odontologica,primera consulta,2015-03-01,7,12,1,0,2,6,8,30,5,7,0,6,0,13,23,74,97
TAHUA,atencion odontologica,primera consulta,2015-03-01,0,0,0,0,1,1,1,2,0,3,0,1,0,0,2,7,9
TAPACARI,atencion odontologica,primera consulta,2015-03-01,16,24,47,48,4,11,15,37,10,7,0,9,0,14,92,150,242
TARABUCO,atencion odontologica,primera consulta,2015-03-01,68,63,9,7,4,20,16,70,10,8,0,31,0,24,107,223,330
TARACO,atencion odontologica,primera consulta,2015-03-01,9,6,6,2,0,9,6,13,3,8,0,3,0,4,24,45,69
TARATA,atencion odontologica,primera consulta,2015-03-01,7,5,7,3,4,5,12,22,5,7,0,7,0,2,35,51,86
TARIJA,atencion odontologica,primera consulta,2015-03-01,240,206,430,367,196,259,565,936,78,77,0,126,0,20,1509,1991,3500
TARVITA,atencion odontologica,primera consulta,2015-03-01,68,52,22,40,11,19,19,48,5,4,0,23,0,8,125,194,319
TEOPONTE,atencion odontologica,primera consulta,2015-03-01,13,4,5,2,6,8,16,10,15,8,0,6,0,11,55,49,104
TIAWANACU,atencion odontologica,primera consulta,2015-03-01,7,9,12,19,9,20,15,27,10,5,0,11,0,4,53,95,148
TINGUIPAYA,atencion odontologica,primera consulta,2015-03-01,1,5,3,4,5,5,15,25,4,5,0,19,0,11,28,74,102
TIPUANI,atencion odontologica,primera consulta,2015-03-01,16,14,81,62,1,5,15,12,3,4,0,1,0,2,116,100,216
TIQUIPAYA,atencion odontologica,primera consulta,2015-03-01,211,151,105,104,12,21,29,109,8,15,0,59,0,53,365,512,877
TIRAQUE (CBBA),atencion odontologica,primera consulta,2015-03-01,6,6,10,10,1,3,8,29,3,1,0,4,0,5,28,58,86
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,primera consulta,2015-03-01,1,0,9,7,2,5,4,6,1,3,0,1,0,0,17,22,39
TOCO,atencion odontologica,primera consulta,2015-03-01,15,11,10,11,2,5,2,7,2,2,0,2,0,7,31,45,76
TODOS SANTOS,atencion odontologica,primera consulta,2015-03-01,2,0,1,1,0,0,0,0,2,1,0,1,0,0,5,3,8
TOLATA,atencion odontologica,primera consulta,2015-03-01,6,8,8,0,0,1,4,12,0,2,0,3,0,4,18,30,48
TOLEDO,atencion odontologica,primera consulta,2015-03-01,28,19,13,8,3,5,8,20,1,7,0,3,0,1,53,63,116
TOMAVE,atencion odontologica,primera consulta,2015-03-01,23,26,13,7,3,15,22,31,9,19,0,7,0,11,70,116,186
TOMINA,atencion odontologica,primera consulta,2015-03-01,75,87,15,17,16,13,18,55,1,0,0,34,0,12,125,218,343
TORO TORO,atencion odontologica,primera consulta,2015-03-01,7,6,36,22,7,8,24,38,2,8,0,3,0,8,76,93,169
TOTORA(CBBA),atencion odontologica,primera consulta,2015-03-01,12,19,26,27,2,5,14,30,4,3,0,2,0,3,58,89,147
TOTORA(ORR),atencion odontologica,primera consulta,2015-03-01,2,2,1,2,0,4,1,7,1,2,0,1,0,1,5,19,24
TRIGAL,atencion odontologica,primera consulta,2015-03-01,3,3,0,0,0,1,0,4,9,6,0,0,0,0,12,14,26
TRINIDAD,atencion odontologica,primera consulta,2015-03-01,122,113,111,121,32,92,129,267,45,17,0,137,0,17,439,764,1203
TUPIZA,atencion odontologica,primera consulta,2015-03-01,62,41,35,22,6,22,32,89,13,18,0,63,0,19,148,274,422
TURCO,atencion odontologica,primera consulta,2015-03-01,2,3,1,3,2,7,11,15,7,6,0,4,0,2,23,40,63
UMALA,atencion odontologica,primera consulta,2015-03-01,1,2,0,1,0,1,1,2,0,1,0,0,0,0,2,7,9
UNCIA,atencion odontologica,primera consulta,2015-03-01,101,80,20,16,7,16,27,50,8,9,0,14,0,20,163,205,368
URIONDO (A. CONCEPCION),atencion odontologica,primera consulta,2015-03-01,38,49,41,48,24,31,46,101,13,13,0,4,0,0,162,246,408
URUBICHA,atencion odontologica,primera consulta,2015-03-01,7,5,1,3,2,2,1,10,3,4,0,5,0,0,14,29,43
UYUNI,atencion odontologica,primera consulta,2015-03-01,36,37,11,29,6,39,54,100,23,23,0,9,0,12,130,249,379
VACAS,atencion odontologica,primera consulta,2015-03-01,18,12,3,4,4,8,8,23,3,7,0,5,0,0,36,59,95
VALLEGRANDE,atencion odontologica,primera consulta,2015-03-01,35,22,38,38,6,9,16,29,5,7,0,29,0,7,100,141,241
VIACHA,atencion odontologica,primera consulta,2015-03-01,157,72,37,30,12,35,44,66,10,12,0,4,0,21,260,240,500
VILA VILA,atencion odontologica,primera consulta,2015-03-01,4,4,1,0,0,2,2,3,1,2,0,1,0,1,8,13,21
VILLA CHARCAS,atencion odontologica,primera consulta,2015-03-01,67,64,6,9,3,9,5,46,3,3,0,30,0,6,84,167,251
VILLA MONTES,atencion odontologica,primera consulta,2015-03-01,42,55,91,104,40,67,119,198,14,10,0,15,0,2,306,451,757
VILLA NUEVA (LOMA ALTA),atencion odontologica,primera consulta,2015-03-01,2,2,1,2,2,2,4,3,0,0,0,3,0,0,9,12,21
VILLA RIVERO,atencion odontologica,primera consulta,2015-03-01,2,1,5,8,5,11,6,11,2,4,0,1,0,4,20,40,60
VILLA SERRANO,atencion odontologica,primera consulta,2015-03-01,66,40,1,5,2,4,10,24,3,2,0,18,0,6,82,99,181
VILLA TUNARI,atencion odontologica,primera consulta,2015-03-01,56,42,255,235,6,20,21,63,5,1,0,24,0,41,343,426,769
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,primera consulta,2015-03-01,69,52,7,4,4,18,24,50,3,0,0,29,0,12,107,165,272
VILLAZON,atencion odontologica,primera consulta,2015-03-01,44,58,42,47,4,20,20,84,9,11,0,25,0,10,119,255,374
VINTO,atencion odontologica,primera consulta,2015-03-01,45,50,13,5,1,5,6,50,6,7,0,19,0,32,71,168,239
VITICHI,atencion odontologica,primera consulta,2015-03-01,36,34,72,69,8,27,20,54,6,10,0,10,0,9,142,213,355
WALDO BALLIVIAN,atencion odontologica,primera consulta,2015-03-01,10,9,1,2,2,2,6,5,0,1,0,1,0,2,19,22,41
WARNES,atencion odontologica,primera consulta,2015-03-01,41,44,20,20,2,13,8,40,9,7,0,17,0,1,80,142,222
YACO,atencion odontologica,primera consulta,2015-03-01,4,6,7,13,2,6,6,25,4,6,0,2,0,13,23,71,94
YACUIBA,atencion odontologica,primera consulta,2015-03-01,16,17,61,68,45,69,142,234,20,18,0,7,0,2,284,415,699
YAMPARAEZ,atencion odontologica,primera consulta,2015-03-01,23,30,3,3,5,14,7,19,6,10,0,5,0,6,44,87,131
YANACACHI,atencion odontologica,primera consulta,2015-03-01,4,2,3,12,0,4,5,14,2,1,0,5,0,2,14,40,54
YAPACANI,atencion odontologica,primera consulta,2015-03-01,69,82,23,33,11,30,22,69,16,11,0,36,0,22,141,283,424
YOCALLA,atencion odontologica,primera consulta,2015-03-01,6,7,7,11,2,9,5,10,1,4,0,7,0,6,21,54,75
YOTALA,atencion odontologica,primera consulta,2015-03-01,10,6,4,5,3,7,3,22,0,1,0,21,0,1,20,63,83
YUNCHARA,atencion odontologica,primera consulta,2015-03-01,2,4,23,28,6,16,18,41,3,3,0,1,0,0,52,93,145
ZUDAÑEZ,atencion odontologica,primera consulta,2015-03-01,11,11,10,11,5,18,10,32,1,2,0,21,0,3,37,98,135
ACACIO,atencion odontologica,primera consulta,2015-04-01,13,6,11,22,28,20,2,11,1,2,0,2,0,2,55,65,120
ACHACACHI,atencion odontologica,primera consulta,2015-04-01,50,62,16,13,7,18,26,78,34,18,0,39,0,3,133,231,364
ACHOCALLA,atencion odontologica,primera consulta,2015-04-01,25,26,14,9,5,15,5,45,0,2,0,15,0,10,49,122,171
AIQUILE,atencion odontologica,primera consulta,2015-04-01,14,16,5,3,0,2,3,5,7,3,0,18,0,0,29,47,76
ALALAY,atencion odontologica,primera consulta,2015-04-01,0,0,0,1,0,0,2,0,1,0,0,0,0,0,3,1,4
ALCALA,atencion odontologica,primera consulta,2015-04-01,2,1,7,13,9,8,5,17,4,1,0,7,0,0,27,47,74
ALTO BENI,atencion odontologica,primera consulta,2015-04-01,20,20,7,7,3,5,7,11,2,3,0,3,0,1,39,50,89
ANCORAIMES,atencion odontologica,primera consulta,2015-04-01,15,19,1,5,0,2,4,6,6,3,0,2,0,0,26,37,63
ANDAMARCA,atencion odontologica,primera consulta,2015-04-01,3,10,23,18,5,8,15,20,6,1,0,6,0,7,52,70,122
ANTEQUERA,atencion odontologica,primera consulta,2015-04-01,6,6,4,4,3,3,8,16,1,0,0,3,0,0,22,32,54
ANZALDO,atencion odontologica,primera consulta,2015-04-01,19,10,17,28,9,5,1,18,5,3,0,2,0,6,51,72,123
APOLO,atencion odontologica,primera consulta,2015-04-01,22,15,8,3,0,8,8,12,2,0,0,5,0,9,40,52,92
ARAMPAMPA,atencion odontologica,primera consulta,2015-04-01,20,14,2,1,3,6,4,6,2,1,0,10,0,3,31,41,72
ARANI,atencion odontologica,primera consulta,2015-04-01,3,11,3,4,1,3,5,9,4,4,0,3,0,3,16,37,53
ARBIETO,atencion odontologica,primera consulta,2015-04-01,30,32,4,7,1,9,3,29,6,3,0,14,0,9,44,103,147
ARQUE,atencion odontologica,primera consulta,2015-04-01,6,9,1,1,6,6,10,16,3,1,0,4,0,5,26,42,68
ASCENCION DE GUARAYOS,atencion odontologica,primera consulta,2015-04-01,10,5,47,66,2,2,2,11,1,0,0,10,0,3,62,97,159
ATOCHA,atencion odontologica,primera consulta,2015-04-01,17,21,37,41,23,22,67,70,11,3,0,1,0,4,155,162,317
AUCAPATA,atencion odontologica,primera consulta,2015-04-01,2,2,5,5,2,6,9,22,2,6,0,0,0,0,20,41,61
AYATA,atencion odontologica,primera consulta,2015-04-01,7,5,5,3,3,7,14,30,3,2,0,0,0,1,32,48,80
AYO AYO,atencion odontologica,primera consulta,2015-04-01,3,0,2,1,2,2,0,6,1,0,0,0,0,0,8,9,17
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,primera consulta,2015-04-01,1,5,6,4,5,13,22,30,1,0,0,4,0,2,35,58,93
AZURDUY,atencion odontologica,primera consulta,2015-04-01,2,1,2,2,1,5,10,15,1,0,0,10,0,1,16,34,50
BATALLAS,atencion odontologica,primera consulta,2015-04-01,19,18,6,6,4,10,8,27,10,11,0,4,0,7,47,83,130
BAURES,atencion odontologica,primera consulta,2015-04-01,12,16,5,11,4,2,17,15,3,0,0,1,0,5,41,50,91
BELEN DE ANDAMARCA,atencion odontologica,primera consulta,2015-04-01,2,3,0,0,2,1,1,5,2,1,0,0,0,3,7,13,20
BELEN DE URMIRI,atencion odontologica,primera consulta,2015-04-01,7,1,1,1,1,0,5,5,1,1,0,1,0,0,15,9,24
BELLA FLOR,atencion odontologica,primera consulta,2015-04-01,3,6,14,11,0,0,1,3,0,0,0,1,0,0,18,21,39
BERMEJO,atencion odontologica,primera consulta,2015-04-01,97,117,97,97,44,119,175,305,13,18,0,118,0,57,426,831,1257
BETANZOS,atencion odontologica,primera consulta,2015-04-01,29,43,28,30,9,19,26,58,9,7,0,17,0,13,101,187,288
BOLIVAR,atencion odontologica,primera consulta,2015-04-01,2,1,5,3,1,2,7,14,0,0,0,3,0,1,15,24,39
BOLPEBRA,atencion odontologica,primera consulta,2015-04-01,1,1,0,0,0,0,1,2,0,0,0,0,0,0,2,3,5
BOYUIBE,atencion odontologica,primera consulta,2015-04-01,1,5,0,3,2,1,4,10,2,2,0,0,0,0,9,21,30
BUENA VISTA,atencion odontologica,primera consulta,2015-04-01,39,39,10,3,7,3,8,8,2,1,0,7,0,3,66,64,130
CABEZAS,atencion odontologica,primera consulta,2015-04-01,69,70,13,16,8,13,26,35,28,29,0,32,0,11,144,206,350
CAIROMA,atencion odontologica,primera consulta,2015-04-01,32,26,2,8,5,14,16,27,6,3,0,7,0,9,61,94,155
"CAIZA ""D""",atencion odontologica,primera consulta,2015-04-01,18,9,10,7,10,9,7,26,2,9,0,7,0,2,47,69,116
CAJUATA,atencion odontologica,primera consulta,2015-04-01,14,32,12,11,4,6,17,33,6,5,0,8,0,1,53,96,149
CALACOTO,atencion odontologica,primera consulta,2015-04-01,5,4,2,0,0,1,0,3,1,1,0,0,0,0,8,9,17
CALAMARCA,atencion odontologica,primera consulta,2015-04-01,20,8,16,14,4,14,17,36,8,2,0,6,0,9,65,89,154
CAMARGO,atencion odontologica,primera consulta,2015-04-01,48,59,4,4,1,12,3,42,2,5,0,32,0,6,58,160,218
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,primera consulta,2015-04-01,10,18,7,7,2,2,8,23,2,3,0,7,0,1,29,61,90
CAMIRI,atencion odontologica,primera consulta,2015-04-01,132,127,173,149,13,38,40,87,7,4,0,58,0,26,365,489,854
CAPINOTA,atencion odontologica,primera consulta,2015-04-01,13,14,0,4,1,7,4,31,4,6,0,20,0,9,22,91,113
CAQUIAVIRI,atencion odontologica,primera consulta,2015-04-01,11,24,4,6,5,12,11,26,7,10,0,3,0,8,38,89,127
CARACOLLO,atencion odontologica,primera consulta,2015-04-01,14,7,16,37,13,11,21,31,2,7,0,3,0,0,66,96,162
CARANAVI,atencion odontologica,primera consulta,2015-04-01,35,43,13,21,13,14,16,31,1,8,0,8,0,8,78,133,211
CARAPARI,atencion odontologica,primera consulta,2015-04-01,3,5,14,21,4,2,26,28,3,0,0,1,0,0,50,57,107
CARIPUYO,atencion odontologica,primera consulta,2015-04-01,2,5,5,3,3,3,6,5,3,1,0,1,0,2,19,20,39
CARMEN RIVERO TORREZ,atencion odontologica,primera consulta,2015-04-01,16,20,2,2,1,2,2,12,2,2,0,8,0,3,23,49,72
CATACORA,atencion odontologica,primera consulta,2015-04-01,0,0,0,0,1,1,1,2,0,1,0,0,0,1,2,5,7
CHALLAPATA,atencion odontologica,primera consulta,2015-04-01,64,66,107,101,6,16,32,81,15,12,0,23,0,17,224,316,540
CHAQUI,atencion odontologica,primera consulta,2015-04-01,10,14,11,29,3,15,10,17,3,7,0,5,0,7,37,94,131
CHARAGUA,atencion odontologica,primera consulta,2015-04-01,43,36,163,136,178,177,22,53,6,0,0,17,0,16,412,435,847
CHARAÑA,atencion odontologica,primera consulta,2015-04-01,2,3,4,2,1,1,3,6,0,0,0,2,0,0,10,14,24
CHAYANTA,atencion odontologica,primera consulta,2015-04-01,23,27,9,7,11,17,14,35,6,10,0,19,0,6,63,121,184
CHIMORE,atencion odontologica,primera consulta,2015-04-01,37,35,8,6,8,11,23,13,7,1,0,12,0,15,83,93,176
CHIPAYA,atencion odontologica,primera consulta,2015-04-01,0,0,1,2,3,1,0,6,1,3,0,5,0,0,5,17,22
CHOQUE COTA,atencion odontologica,primera consulta,2015-04-01,3,1,3,2,2,1,3,4,1,1,0,0,0,0,12,9,21
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,primera consulta,2015-04-01,7,10,1,2,0,2,3,16,0,1,0,6,0,6,11,43,54
CHUMA,atencion odontologica,primera consulta,2015-04-01,28,27,21,24,13,25,43,65,22,17,0,4,0,4,127,166,293
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,primera consulta,2015-04-01,0,2,0,1,1,1,1,2,0,0,0,0,0,0,2,6,8
CKOCHAS,atencion odontologica,primera consulta,2015-04-01,9,12,5,6,0,5,20,24,5,13,0,11,0,7,39,78,117
CLIZA,atencion odontologica,primera consulta,2015-04-01,7,13,10,9,3,6,12,31,3,9,0,3,0,7,35,78,113
COBIJA,atencion odontologica,primera consulta,2015-04-01,142,179,62,72,8,51,56,96,9,5,0,67,0,25,277,495,772
COCAPATA,atencion odontologica,primera consulta,2015-04-01,36,32,16,17,6,24,25,63,3,8,0,12,0,10,86,166,252
COCHABAMBA,atencion odontologica,primera consulta,2015-04-01,648,565,209,230,122,227,260,614,78,59,0,469,0,228,1317,2392,3709
COIPASA,atencion odontologica,primera consulta,2015-04-01,3,3,4,7,1,1,1,4,1,0,0,0,0,0,10,15,25
COLCAPIRHUA,atencion odontologica,primera consulta,2015-04-01,37,57,4,2,0,9,3,41,5,15,0,29,0,19,49,172,221
"COLCHA ""K""",atencion odontologica,primera consulta,2015-04-01,15,16,9,4,3,6,15,24,4,4,0,3,0,1,46,58,104
COLLANA,atencion odontologica,primera consulta,2015-04-01,2,1,9,10,0,3,3,1,0,0,0,2,0,3,14,20,34
COLOMI,atencion odontologica,primera consulta,2015-04-01,35,38,3,5,3,6,3,9,2,8,0,19,0,11,46,96,142
COLPA BELGICA,atencion odontologica,primera consulta,2015-04-01,14,8,0,0,0,0,0,0,1,0,0,3,0,3,15,14,29
COLQUECHACA,atencion odontologica,primera consulta,2015-04-01,105,114,13,23,17,44,43,122,37,30,0,42,0,32,215,407,622
COLQUENCHA,atencion odontologica,primera consulta,2015-04-01,9,3,7,9,6,6,13,20,3,1,0,0,0,1,38,40,78
COLQUIRI,atencion odontologica,primera consulta,2015-04-01,51,49,4,8,2,9,11,22,11,8,0,0,0,1,79,97,176
COMANCHE,atencion odontologica,primera consulta,2015-04-01,1,2,3,3,2,10,1,4,3,1,0,3,0,1,10,24,34
COMARAPA,atencion odontologica,primera consulta,2015-04-01,95,81,18,7,4,6,13,23,11,10,0,6,0,18,141,151,292
COMBAYA,atencion odontologica,primera consulta,2015-04-01,14,5,2,1,0,0,2,5,9,9,0,2,0,1,27,23,50
CONCEPCION,atencion odontologica,primera consulta,2015-04-01,7,12,109,111,3,2,13,33,7,3,0,6,0,0,139,167,306
COPACABANA,atencion odontologica,primera consulta,2015-04-01,32,21,44,36,3,7,16,30,15,12,0,11,0,6,110,123,233
CORIPATA,atencion odontologica,primera consulta,2015-04-01,28,26,9,6,0,8,0,23,1,1,0,9,0,6,38,79,117
CORO CORO,atencion odontologica,primera consulta,2015-04-01,3,3,14,22,5,7,4,7,1,1,0,0,0,1,27,41,68
COROICO,atencion odontologica,primera consulta,2015-04-01,3,2,0,0,0,1,0,0,0,0,0,0,0,0,3,3,6
CORQUE,atencion odontologica,primera consulta,2015-04-01,10,3,0,1,2,2,6,9,7,0,0,1,0,4,25,20,45
COTAGAITA,atencion odontologica,primera consulta,2015-04-01,27,13,33,24,12,18,39,63,9,16,0,7,0,13,120,154,274
COTOCA,atencion odontologica,primera consulta,2015-04-01,114,100,65,60,2,28,28,172,12,2,0,149,0,10,221,521,742
CUATRO CAÑADAS,atencion odontologica,primera consulta,2015-04-01,224,223,6,12,0,11,10,38,1,1,0,14,0,15,241,314,555
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,primera consulta,2015-04-01,1,1,1,1,0,0,1,2,0,2,0,0,0,0,3,6,9
CUEVO,atencion odontologica,primera consulta,2015-04-01,48,41,14,12,6,9,10,22,3,0,0,8,0,3,81,95,176
CULPINA,atencion odontologica,primera consulta,2015-04-01,28,20,6,6,5,8,20,65,9,7,0,43,0,7,68,156,224
CURAHUARA DE CARANGAS,atencion odontologica,primera consulta,2015-04-01,8,10,21,10,1,8,9,18,4,2,0,9,0,2,43,59,102
