,group,variable,month,PENTAVALENTE 1RA. DOSIS,PENTAVALENTE 1RA. DOSIS,PENTAVALENTE 1RA. DOSIS,PENTAVALENTE 1RA. DOSIS,TOTALES,TOTALES,TOTALES
CHALLAPATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,25,33,0,0,25,33,58
CHAQUI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,10,6,0,0,10,6,16
CHARAGUA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,16,58,0,0,16,58,74
CHARAÑA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,1,4,0,0,1,4,5
CHAYANTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,17,35,0,0,17,35,52
CHIMORE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,38,12,0,0,38,12,50
CHIPAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,2,2,0,0,2,2,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,23,22,0,0,23,22,45
CHUMA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,4,9,0,0,4,9,13
CLIZA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,17,10,0,0,17,10,27
COBIJA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,74,21,0,0,74,21,95
COCHABAMBA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,1355,43,0,0,1355,43,1398
COIPASA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,3,0,0,0,3,0,3
COLCAPIRHUA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,107,14,0,0,107,14,121
"COLCHA ""K""",vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,26,11,0,0,26,11,37
COLLANA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,1,4,0,0,1,4,5
COLOMI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,30,15,0,0,30,15,45
COLPA BELGICA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,11,2,0,0,11,2,13
COLQUECHACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,15,108,0,0,15,108,123
COLQUENCHA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,7,5,0,0,7,5,12
COLQUIRI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,15,46,0,0,15,46,61
COMANCHE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,4,2,0,0,4,2,6
COMARAPA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,35,8,0,0,35,8,43
COMBAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,0,9,0,0,0,9,9
CONCEPCION,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,32,1,0,0,32,1,33
COPACABANA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,9,20,0,0,9,20,29
CORIPATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,30,14,0,0,30,14,44
CORO CORO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,6,15,0,0,6,15,21
COROICO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,15,9,0,0,15,9,24
CORQUE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,6,8,0,0,6,8,14
COTAGAITA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,11,40,0,0,11,40,51
COTOCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,95,34,0,0,95,34,129
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,17,16,0,0,17,16,33
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,3,1,0,0,3,1,4
CUEVO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,2,5,0,0,2,5,7
CULPINA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,24,36,0,0,24,36,60
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,8,2,0,0,8,2,10
CURVA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,0,7,0,0,0,7,7
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,5,4,0,0,5,4,9
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,1596,175,0,0,1596,175,1771
EL CHORO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,4,4,0,0,4,4,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,10,1,0,0,10,1,11
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,10,15,0,0,10,15,25
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,78,6,0,0,78,6,84
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,2,3,0,0,2,3,5
ENTRE RIOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,53,8,0,0,53,8,61
ENTRE RIOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,25,10,0,0,25,10,35
EUCALIPTUS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,9,0,0,0,9,0,9
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,2,0,0,0,2,0,2
EXALTACION,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,4,0,0,0,4,0,4
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,11,5,0,0,11,5,16
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,0,7,0,0,0,7,7
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,35,9,0,0,35,9,44
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,8,20,0,0,8,20,28
GUANAY,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,21,4,0,0,21,4,25
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,3,11,0,0,3,11,14
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,59,22,0,0,59,22,81
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,9,34,0,0,9,34,43
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,11,5,0,0,11,5,16
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,6,0,0,0,6,0,6
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,55,7,0,0,55,7,62
HUARACAJE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,4,5,0,0,4,5,9
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,3,2,0,0,3,2,5
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,5,5,0,0,5,5,10
ICLA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,8,19,0,0,8,19,27
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,29,42,0,0,29,42,71
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,8,19,0,0,8,19,27
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,13,25,0,0,13,25,38
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,14,5,0,0,14,5,19
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,12,10,0,0,12,10,22
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,73,29,0,0,73,29,102
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,125,1,0,0,125,1,126
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,1410,69,0,0,1410,69,1479
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,8,5,0,0,8,5,13
LAJA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,9,23,0,0,9,23,32
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,2,1,0,0,2,1,3
LICOMA PAMPA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,4,1,0,0,4,1,5
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,26,63,0,0,26,63,89
LLICA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,8,4,0,0,8,4,12
LORETO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,3,3,0,0,3,3,6
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,6,13,0,0,6,13,19
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,6,1,0,0,6,1,7
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,8,3,0,0,8,3,11
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,13,16,0,0,13,16,29
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,21,1,0,0,21,1,22
MALLA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,0,5,0,0,0,5,5
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,24,2,0,0,24,2,26
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,12,25,0,0,12,25,37
MINEROS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,32,5,0,0,32,5,37
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,22,37,0,0,22,37,59
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,2,23,0,0,2,23,25
MOJINETE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,1,0,0,0,1,0,1
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,6,10,0,0,6,10,16
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,31,12,0,0,31,12,43
MONTERO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,210,15,0,0,210,15,225
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,2,2,0,0,2,2,4
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,14,58,0,0,14,58,72
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,1,5,0,0,1,5,6
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,2,1,0,0,2,1,3
OCURI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,12,54,0,0,12,54,66
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,24,7,0,0,24,7,31
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,5,12,0,0,5,12,17
ORURO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,484,22,0,0,484,22,506
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,21,9,0,0,21,9,30
PADILLA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,13,4,0,0,13,4,17
PAILON,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,34,78,0,0,34,78,112
PALCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,9,37,0,0,9,37,46
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,39,10,0,0,39,10,49
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,1,2,0,0,1,2,3
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,16,1,0,0,16,1,17
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,3,10,0,0,3,10,13
PASORAPA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,2,3,0,0,2,3,5
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,21,18,0,0,21,18,39
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,3,6,0,0,3,6,9
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,7,15,0,0,7,15,22
POCOATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,8,72,0,0,8,72,80
POCONA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,9,10,0,0,9,10,19
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,18,7,0,0,18,7,25
POOPO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,3,2,0,0,3,2,5
PORCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,17,6,0,0,17,6,23
POROMA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,16,47,0,0,16,47,63
PORONGO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,9,5,0,0,9,5,14
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,34,1,0,0,34,1,35
PORVENIR,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,11,4,0,0,11,4,15
POSTRER VALLE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,1,0,0,0,1,0,1
POTOSI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,435,45,0,0,435,45,480
PRESTO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,13,23,0,0,13,23,36
PUCARA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,3,0,0,0,3,0,3
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,23,44,0,0,23,44,67
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,13,31,0,0,13,31,44
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,2,38,0,0,2,38,40
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,1,4,0,0,1,4,5
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,0,15,0,0,0,15,15
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,21,13,0,0,21,13,34
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,8,0,0,0,8,0,8
PUERTO SILES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,2,0,0,0,2,0,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,27,1,0,0,27,1,28
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,89,17,0,0,89,17,106
PUNA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,17,71,0,0,17,71,88
PUNATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,52,0,0,0,52,0,52
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,1,5,0,0,1,5,6
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,157,27,0,0,157,27,184
QUIME,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,7,9,0,0,7,9,16
QUIRUSILLAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,3,1,0,0,3,1,4
RAVELO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,19,51,0,0,19,51,70
REYES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,20,5,0,0,20,5,25
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,186,49,0,0,186,49,235
ROBORE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,20,10,0,0,20,10,30
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,30,8,0,0,30,8,38
SABAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,1,1,0,0,1,1,2
SACABA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,141,40,0,0,141,40,181
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,7,10,0,0,7,10,17
SACACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,11,51,0,0,11,51,62
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,5,4,0,0,5,4,9
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,9,9,0,0,9,9,18
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,8,4,0,0,8,4,12
SAN AGUSTIN,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,4,0,0,0,4,0,4
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,12,4,0,0,12,4,16
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,1,10,0,0,1,10,11
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,3,3,0,0,3,3,6
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,9,5,0,0,9,5,14
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,52,104,0,0,52,104,156
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,11,5,0,0,11,5,16
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,44,8,0,0,44,8,52
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,31,0,0,0,31,0,31
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,98,19,0,0,98,19,117
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,3,1,0,0,3,1,4
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,33,4,0,0,33,4,37
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,7,3,0,0,7,3,10
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,24,31,0,0,24,31,55
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,18,3,0,0,18,3,21
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,32,67,0,0,32,67,99
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,3,16,0,0,3,16,19
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,15,9,0,0,15,9,24
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,36,50,0,0,36,50,86
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,31,7,0,0,31,7,38
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,19,4,0,0,19,4,23
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,6,1,0,0,6,1,7
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,31,0,0,0,31,0,31
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,11,94,0,0,11,94,105
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,5,8,0,0,5,8,13
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,2,5,0,0,2,5,7
SAN PEDRO(PND),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,0,1,0,0,0,1,1
SAN RAFAEL,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,6,5,0,0,6,5,11
SAN RAMON,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,17,1,0,0,17,1,18
SAN RAMON,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,3,13,0,0,3,13,16
SANTA ANA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,21,15,0,0,21,15,36
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,2579,156,0,0,2579,156,2735
SANTA ROSA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,8,4,0,0,8,4,12
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,25,16,0,0,25,16,41
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,7,8,0,0,7,8,15
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,3,15,0,0,3,15,18
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,0,5,0,0,0,5,5
SANTIVAÑES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,3,1,0,0,3,1,4
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,4,3,0,0,4,3,7
SAPAHAQUI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,1,18,0,0,1,18,19
SENA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,5,0,0,0,5,0,5
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,7,48,0,0,7,48,55
SICAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,1,2,0,0,1,2,3
SIPE SIPE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,59,27,0,0,59,27,86
SOPACHUY,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,8,8,0,0,8,8,16
SORACACHI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,7,10,0,0,7,10,17
SORATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,22,36,0,0,22,36,58
SUCRE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,450,49,0,0,450,49,499
TACACHI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,7,0,0,0,7,0,7
TACACOMA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,8,13,0,0,8,13,21
TACOBAMBA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,3,26,0,0,3,26,29
TACOPAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,9,11,0,0,9,11,20
TAHUA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,1,1,0,0,1,1,2
TAPACARI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,37,36,0,0,37,36,73
TARABUCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,15,34,0,0,15,34,49
TARACO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,0,8,0,0,0,8,8
TARATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,11,0,0,0,11,0,11
TARIJA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,383,16,0,0,383,16,399
TARVITA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,17,16,0,0,17,16,33
TEOPONTE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,7,13,0,0,7,13,20
TIAWANACU,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,11,15,0,0,11,15,26
TINGUIPAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,12,49,0,0,12,49,61
TIPUANI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,19,4,0,0,19,4,23
TIQUIPAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,87,17,0,0,87,17,104
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,93,25,0,0,93,25,118
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,2,0,0,0,2,0,2
TOCO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,5,6,0,0,5,6,11
TODOS SANTOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,2,0,0,0,2,0,2
TOLATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,3,2,0,0,3,2,5
TOLEDO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,3,7,0,0,3,7,10
TOMAVE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,6,28,0,0,6,28,34
TOMINA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,7,3,0,0,7,3,10
TORO TORO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,11,24,0,0,11,24,35
TOTORA(CBBA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2008-03-01,17,9,0,0,17,9,26
