,group,variable,month,O.P.V. 2DA DOSIS,O.P.V. 2DA DOSIS,O.P.V. 2DA DOSIS,O.P.V. 2DA DOSIS,TOTALES,TOTALES,TOTALES
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,2,0,0,0,2,0,2
CUEVO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,2,4,0,0,2,4,6
CULPINA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,17,26,0,0,17,26,43
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,7,1,0,0,7,1,8
CURVA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,0,4,0,0,0,4,4
DESAGUADERO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,5,5,0,0,5,5,10
EL ALTO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1305,184,0,0,1305,184,1489
EL CHORO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,0,4,0,0,0,4,4
EL PUENTE(STC),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,14,4,0,0,14,4,18
EL PUENTE(TJA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,8,21,0,0,8,21,29
EL TORNO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,73,7,0,0,73,7,80
EL VILLAR,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,6,2,0,0,6,2,8
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,39,10,0,0,39,10,49
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,33,14,0,0,33,14,47
ESCARA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,0,1,0,0,0,1,1
EUCALIPTUS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,10,1,0,0,10,1,11
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1,0,0,0,1,0,1
EXALTACION,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,2,0,0,0,2,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,17,6,0,0,17,6,23
FILADELFIA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1,7,0,0,1,7,8
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,21,3,0,0,21,3,24
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,5,18,0,0,5,18,23
GUANAY,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,11,15,0,0,11,15,26
GUAQUI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,6,15,0,0,6,15,21
GUAYARAMERIN,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,50,20,0,0,50,20,70
GUTIERREZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,12,25,0,0,12,25,37
HUACARETA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,5,9,0,0,5,9,14
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1,0,0,0,1,0,1
HUACHACALLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1,0,0,0,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,42,12,0,0,42,12,54
HUARACAJE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,0,7,0,0,0,7,7
HUAYLLAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,5,4,0,0,5,4,9
ICHOCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,2,4,0,0,2,4,6
ICLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,13,12,0,0,13,12,25
INCAHUASI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,31,50,0,0,31,50,81
INQUISIVI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,4,17,0,0,4,17,21
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,13,14,0,0,13,14,27
IXIAMAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,10,2,0,0,10,2,12
JESUS DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,9,6,0,0,9,6,15
LA ASUNTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,56,17,0,0,56,17,73
LA GUARDIA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,107,8,0,0,107,8,115
LA PAZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1305,62,0,0,1305,62,1367
LAGUNILLAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,5,4,0,0,5,4,9
LAJA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,11,30,0,0,11,30,41
LAS CARRERAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,4,5,0,0,4,5,9
LICOMA PAMPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,4,5,0,0,4,5,9
LLALLAGUA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,22,53,0,0,22,53,75
LLICA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,4,6,0,0,4,6,10
LORETO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1,0,0,0,1,0,1
LURIBAY,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,4,15,0,0,4,15,19
MACHACAMARCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,9,2,0,0,9,2,11
MACHARETI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,8,3,0,0,8,3,11
MAGDALENA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,12,17,0,0,12,17,29
MAIRANA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,26,2,0,0,26,2,28
MALLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,0,5,0,0,0,5,5
MAPIRI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,16,5,0,0,16,5,21
MECAPACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,15,12,0,0,15,12,27
MINEROS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,31,9,0,0,31,9,40
MIZQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,13,51,0,0,13,51,64
MOCOMOCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,3,20,0,0,3,20,23
MOJOCOYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,5,8,0,0,5,8,13
MONTEAGUDO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,33,11,0,0,33,11,44
MONTERO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,185,827,0,0,185,827,1012
MORO MORO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,3,2,0,0,3,2,5
MOROCHATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,18,40,0,0,18,40,58
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1,7,0,0,1,7,8
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1,0,0,0,1,0,1
OCURI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,14,59,0,0,14,59,73
OKINAWA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,18,3,0,0,18,3,21
OMEREQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,4,8,0,0,4,8,12
ORURO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,455,17,0,0,455,17,472
PADCAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,18,17,0,0,18,17,35
PADILLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,14,6,0,0,14,6,20
PAILON,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,39,53,0,0,39,53,92
PALCA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,15,35,0,0,15,35,50
PALOS BLANCOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,21,13,0,0,21,13,34
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,4,2,0,0,4,2,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,14,1,0,0,14,1,15
PAPEL PAMPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1,5,0,0,1,5,6
PASORAPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,4,5,0,0,4,5,9
PATACAMAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,23,14,0,0,23,14,37
PAZÑA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,5,5,0,0,5,5,10
PELECHUCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1,11,0,0,1,11,12
POCOATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,5,52,0,0,5,52,57
POCONA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,11,10,0,0,11,10,21
POJO (CBBA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,17,16,0,0,17,16,33
POOPO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,16,1,0,0,16,1,17
PORCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,6,4,0,0,6,4,10
POROMA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,13,31,0,0,13,31,44
PORONGO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,12,6,0,0,12,6,18
PORTACHUELO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,28,2,0,0,28,2,30
PORVENIR,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,7,4,0,0,7,4,11
POSTRER VALLE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,2,0,0,0,2,0,2
POTOSI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,335,56,0,0,335,56,391
PRESTO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,4,19,0,0,4,19,23
PUCARANI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,14,29,0,0,14,29,43
PUERTO ACOSTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,16,35,0,0,16,35,51
PUERTO CARABUCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1,18,0,0,1,18,19
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1,2,0,0,1,2,3
PUERTO PEREZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,0,12,0,0,0,12,12
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,12,3,0,0,12,3,15
PUERTO RICO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,13,0,0,0,13,0,13
PUERTO SILES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,2,0,0,0,2,0,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,16,3,0,0,16,3,19
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,78,18,0,0,78,18,96
PUNA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,20,55,0,0,20,55,75
PUNATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,33,3,0,0,33,3,36
QUIABAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,2,5,0,0,2,5,7
QUILLACOLLO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,190,12,0,0,190,12,202
QUIME,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,5,11,0,0,5,11,16
QUIRUSILLAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1,0,0,0,1,0,1
RAVELO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,13,54,0,0,13,54,67
REYES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,11,1,0,0,11,1,12
RIBERALTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,161,38,0,0,161,38,199
ROBORE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,14,6,0,0,14,6,20
RURRENABAQUE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,16,8,0,0,16,8,24
SABAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,6,2,0,0,6,2,8
SACABA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,141,45,0,0,141,45,186
SACABAMBA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,4,6,0,0,4,6,10
SACACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,6,51,0,0,6,51,57
SAIPINA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,12,10,0,0,12,10,22
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,3,10,0,0,3,10,13
SAMAIPATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,14,3,0,0,14,3,17
SAN AGUSTIN,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,5,1,0,0,5,1,6
SAN ANDRES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,9,5,0,0,9,5,14
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,0,8,0,0,0,8,8
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,5,4,0,0,5,4,9
SAN BENITO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1,5,0,0,1,5,6
SAN BORJA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,53,59,0,0,53,59,112
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,9,8,0,0,9,8,17
SAN CARLOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,43,4,0,0,43,4,47
SAN IGNACIO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,13,0,0,0,13,0,13
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,108,27,0,0,108,27,135
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,2,0,0,0,2,0,2
SAN JAVIER(STC),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,31,3,0,0,31,3,34
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,19,17,0,0,19,17,36
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,16,7,0,0,16,7,23
SAN JULIAN,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,45,78,0,0,45,78,123
SAN LORENZO(PND),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,2,13,0,0,2,13,15
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,20,13,0,0,20,13,33
SAN LUCAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,38,66,0,0,38,66,104
SAN MATIAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,16,5,0,0,16,5,21
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,16,2,0,0,16,2,18
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,2,3,0,0,2,3,5
SAN PEDRO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,30,0,0,0,30,0,30
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,14,63,0,0,14,63,77
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1,11,0,0,1,11,12
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1,0,0,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,2,5,0,0,2,5,7
SAN PEDRO(PND),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,2,1,0,0,2,1,3
SAN RAFAEL,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,7,7,0,0,7,7,14
SAN RAMON,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,18,2,0,0,18,2,20
SAN RAMON,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,4,5,0,0,4,5,9
SANTA ANA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,25,4,0,0,25,4,29
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,2350,148,0,0,2350,148,2498
SANTA ROSA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,10,5,0,0,10,5,15
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,17,10,0,0,17,10,27
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1,4,0,0,1,4,5
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1,10,0,0,1,10,11
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,0,7,0,0,0,7,7
SANTIVAÑES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,4,3,0,0,4,3,7
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,5,4,0,0,5,4,9
SAPAHAQUI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,3,20,0,0,3,20,23
SENA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,6,0,0,0,6,0,6
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,6,31,0,0,6,31,37
SICAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1,5,0,0,1,5,6
SIPE SIPE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,35,20,0,0,35,20,55
SOPACHUY,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,7,15,0,0,7,15,22
SORACACHI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,2,7,0,0,2,7,9
SORATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,12,31,0,0,12,31,43
SUCRE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,364,50,0,0,364,50,414
TACACHI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,2,0,0,0,2,0,2
TACACOMA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,10,10,0,0,10,10,20
TACOBAMBA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1,22,0,0,1,22,23
TACOPAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,11,11,0,0,11,11,22
TAHUA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1,2,0,0,1,2,3
TAPACARI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,34,29,0,0,34,29,63
TARABUCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,29,33,0,0,29,33,62
TARACO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,2,7,0,0,2,7,9
TARATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,13,4,0,0,13,4,17
TARIJA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,345,37,0,0,345,37,382
TARVITA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,17,14,0,0,17,14,31
TEOPONTE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,7,7,0,0,7,7,14
TIAWANACU,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,9,16,0,0,9,16,25
TINGUIPAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,4,43,0,0,4,43,47
TIPUANI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,12,9,0,0,12,9,21
TIQUIPAYA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,71,14,0,0,71,14,85
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,64,25,0,0,64,25,89
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1,0,0,0,1,0,1
TOCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,6,5,0,0,6,5,11
TODOS SANTOS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,2,1,0,0,2,1,3
TOLATA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,4,5,0,0,4,5,9
TOLEDO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,8,5,0,0,8,5,13
TOMAVE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,4,15,0,0,4,15,19
TOMINA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,8,8,0,0,8,8,16
TORO TORO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,10,25,0,0,10,25,35
TOTORA(CBBA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,14,5,0,0,14,5,19
TOTORA(ORR),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,4,5,0,0,4,5,9
TRIGAL,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,0,1,0,0,0,1,1
TRINIDAD,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,162,56,0,0,162,56,218
TUPIZA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,49,31,0,0,49,31,80
TURCO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,3,3,0,0,3,3,6
UMALA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,0,21,0,0,0,21,21
UNCIA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,8,56,0,0,8,56,64
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,11,11,0,0,11,11,22
URUBICHA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,14,0,0,0,14,0,14
UYUNI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,36,22,0,0,36,22,58
VACAS,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,5,13,0,0,5,13,18
VALLEGRANDE,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,21,0,0,0,21,0,21
VIACHA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,57,31,0,0,57,31,88
VILA VILA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1,13,0,0,1,13,14
VILLA MONTES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,41,18,0,0,41,18,59
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,0,5,0,0,0,5,5
VILLA RIVERO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,5,4,0,0,5,4,9
VILLA SERRANO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,14,10,0,0,14,10,24
VILLA TUNARI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,84,65,0,0,84,65,149
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,7,5,0,0,7,5,12
VILLAZON,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,64,15,0,0,64,15,79
VINTO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,49,13,0,0,49,13,62
VITICHI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,4,9,0,0,4,9,13
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,1,5,0,0,1,5,6
WARNES,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,93,29,0,0,93,29,122
YACO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,3,13,0,0,3,13,16
YACUIBA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,101,49,0,0,101,49,150
YAMPARAEZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,14,4,0,0,14,4,18
YANACACHI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,2,5,0,0,2,5,7
YAPACANI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,51,31,0,0,51,31,82
YOCALLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,12,15,0,0,12,15,27
YOTALA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,7,9,0,0,7,9,16
YUNCHARA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,0,10,0,0,0,10,10
ZUDAÑEZ,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-03-01,9,8,0,0,9,8,17
ACACIO,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,2,4,0,0,2,4,6
ACHACACHI,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,33,77,0,0,33,77,110
ACHOCALLA,vacunaciones en menores de 1 ano,o.p.v. 2da dosis,2008-04-01,4,26,0,0,4,26,30
