,group,variable,month,17.25 COVID DOSIS ANUAL (4TA DOSIS) DENTRO,17.25 COVID DOSIS ANUAL (4TA DOSIS) DENTRO,17.25 COVID DOSIS ANUAL (4TA DOSIS) FUERA,17.25 COVID DOSIS ANUAL (4TA DOSIS) FUERA,TOTALES,TOTALES,TOTALES
PAMPA GRANDE,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,2,3,10,19,12,22,34
PASORAPA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,71,63,49,53,120,116,236
PAZÑA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,11,11,2,1,13,12,25
POCOATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,0,3,0,0,0,3,3
POCONA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,1,2,1,0,2,2,4
POJO (CBBA),otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,1,0,3,3,4,3,7
POOPO,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,25,27,0,0,25,27,52
POROMA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,4,7,1,1,5,8,13
PORONGO,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,70,108,7,7,77,115,192
PORTACHUELO,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,61,64,0,0,61,64,125
PORVENIR,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,7,14,18,21,25,35,60
POTOSI,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,299,473,286,142,585,615,1200
PRESTO,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,6,9,1,3,7,12,19
PUCARANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,0,0,0,1,0,1,1
PUERTO ACOSTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,5,2,2,2,7,4,11
PUERTO CARABUCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,18,6,39,12,57,18,75
PUERTO RICO,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,3,1,49,2,52,3,55
PUERTO VILLARROEL,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,22,12,32,17,54,29,83
PUNA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,3,1,3,4,6,5,11
PUNATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,49,55,2,7,51,62,113
QUILLACOLLO,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,492,618,269,443,761,1061,1822
QUIME,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,7,8,2,1,9,9,18
QUIRUSILLAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,9,24,5,10,14,34,48
RAQAYPAMPA(ETA),otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,1,2,1,1,2,3,5
RAVELO,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,5,5,1,0,6,5,11
RIBERALTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,96,136,0,0,96,136,232
SABAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,8,16,0,1,8,17,25
SACABA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,259,317,190,191,449,508,957
SACABAMBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,0,0,1,0,1,0,1
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,5,7,21,27,26,34,60
SAMAIPATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,14,14,14,10,28,24,52
SAN ANDRES DE MACHACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,1,0,6,5,7,5,12
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,12,9,0,0,12,9,21
SAN BENITO,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,17,28,0,0,17,28,45
SAN BORJA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,1,1,0,0,1,1,2
SAN CARLOS,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,35,39,0,0,35,39,74
SAN IGNACIO,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,9,13,3,5,12,18,30
SAN IGNACIO DE VELASCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,81,74,0,0,81,74,155
SAN JUAN DE YAPACANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,12,16,20,14,32,30,62
SAN LORENZO(PND),otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,0,0,9,19,9,19,28
SAN LORENZO(TJA),otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,7,9,0,0,7,9,16
SAN LUCAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,2,4,5,5,7,9,16
SAN MIGUEL DE VELASCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,8,17,21,80,29,97,126
SAN PEDRO,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,1,5,8,5,9,10,19
SAN PEDRO DE CURAHUARA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,0,1,0,0,0,1,1
SAN PEDRO DE MACHA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,3,5,2,0,5,5,10
SAN PEDRO DE QUEMES,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,1,0,0,2,1,2,3
SAN PEDRO DE TIQUINA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,1,5,0,0,1,5,6
SAN PEDRO(PND),otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,0,0,2,2,2,2,4
SAN RAFAEL,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,16,21,0,0,16,21,37
SANTA ANA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,47,50,3,5,50,55,105
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,4259,6792,1578,1805,5837,8597,14434
SANTA ROSA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,3,4,0,0,3,4,7
SANTA ROSA DEL SARA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,17,23,2,1,19,24,43
SANTIAGO DE HUARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,5,6,13,11,18,17,35
SANTIAGO DE HUATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,1,0,0,0,1,0,1
SANTIAGO DE MACHACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,0,1,0,0,0,1,1
SANTIVAÑES,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,68,16,3,6,71,22,93
SANTUARIO DE QUILLACAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,3,2,1,0,4,2,6
SAPAHAQUI,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,1,4,0,0,1,4,5
SHINAOTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,14,17,3,0,17,17,34
SICAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,0,1,1,0,1,1,2
SIPE SIPE,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,14,27,51,72,65,99,164
SOPACHUY,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,1,0,0,0,1,0,1
SORACACHI,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,5,5,0,0,5,5,10
SORATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,3,3,0,0,3,3,6
SUCRE,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,1929,2630,170,300,2099,2930,5029
TACACHI,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,1,0,1,7,2,7,9
TACOPAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,3,2,0,0,3,2,5
TAHUA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,0,0,10,11,10,11,21
TAPACARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,20,31,13,14,33,45,78
TARABUCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,1,3,2,4,3,7,10
TARACO,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,1,2,0,0,1,2,3
TARATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,13,13,3,1,16,14,30
TARIJA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,1035,1133,223,299,1258,1432,2690
TARVITA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,11,24,15,17,26,41,67
TEOPONTE,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,3,2,0,0,3,2,5
TIAHUANACU,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,3,10,3,2,6,12,18
TINGUIPAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,3,4,2,3,5,7,12
TIPUANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,4,1,0,0,4,1,5
TIQUIPAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,75,127,37,64,112,191,303
TIRAQUE (CBBA),otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,4,9,168,69,172,78,250
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,0,0,0,1,0,1,1
TOCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,17,16,0,0,17,16,33
TOLATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,10,6,8,6,18,12,30
TOLEDO,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,8,3,0,0,8,3,11
TOMAVE,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,0,1,0,2,0,3,3
TOMINA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,30,35,33,33,63,68,131
TORO TORO,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,0,1,0,0,0,1,1
TOTORA(CBBA),otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,8,4,0,0,8,4,12
TOTORA(ORR),otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,3,4,5,3,8,7,15
TRIGAL,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,5,5,14,20,19,25,44
TRINIDAD,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,227,96,23,22,250,118,368
TUPIZA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,89,99,10,13,99,112,211
UNCIA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,0,1,0,0,0,1,1
URIONDO (A. CONCEPCION),otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,23,31,0,0,23,31,54
URUBICHA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,0,0,1,1,1,1,2
UYUNI,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,8,8,0,0,8,8,16
VACAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,3,1,3,3,6,4,10
VALLEGRANDE,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,54,72,106,112,160,184,344
VIACHA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,32,48,156,166,188,214,402
VILA VILA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,1,0,5,8,6,8,14
VILLA CHARCAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,3,1,4,6,7,7,14
VILLA MONTES,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,84,77,111,146,195,223,418
VILLA RIVERO,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,12,18,22,6,34,24,58
VILLA SERRANO,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,75,74,133,157,208,231,439
VILLA TUNARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,95,48,57,5,152,53,205
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,18,20,33,19,51,39,90
VILLAZON,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,89,122,47,74,136,196,332
VINTO,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,49,81,55,71,104,152,256
VITICHI,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,1,3,0,0,1,3,4
WALDO BALLIVIAN,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,3,6,0,0,3,6,9
WARNES,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,181,188,49,57,230,245,475
YACO,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,2,1,0,0,2,1,3
YACUIBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,138,145,98,129,236,274,510
YAMPARAEZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,2,1,8,11,10,12,22
YANACACHI,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,6,4,1,0,7,4,11
YAPACANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,27,19,1,5,28,24,52
YOCALLA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,0,4,3,0,3,4,7
YOTALA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,36,60,30,53,66,113,179
YUNCHARA,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,0,0,2,6,2,6,8
ZUDAÑEZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-06-01,6,11,11,17,17,28,45
ACACIO,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,2,3,0,0,2,3,5
ACHACACHI,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,4,1,4,1,8,2,10
AIQUILE,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,67,82,22,39,89,121,210
ALALAY,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,7,8,0,0,7,8,15
ALCALA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,2,2,32,36,34,38,72
ALTO BENI,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,7,6,1,0,8,6,14
ANCORAIMES,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,2,1,0,0,2,1,3
ANDAMARCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,5,4,2,1,7,5,12
ANTEQUERA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,14,9,2,4,16,13,29
ANZALDO,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,3,1,10,11,13,12,25
ARAMPAMPA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,0,0,1,0,1,0,1
ARANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,19,21,3,2,22,23,45
ARBIETO,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,44,45,7,7,51,52,103
ARQUE,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,5,3,12,15,17,18,35
ATOCHA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,34,60,22,49,56,109,165
AYATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,0,0,1,0,1,0,1
AYO AYO,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,4,1,1,0,5,1,6
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,14,22,130,149,144,171,315
AZURDUY,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,18,32,12,29,30,61,91
BATALLAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,0,2,0,0,0,2,2
BELLA FLOR,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,0,2,6,10,6,12,18
BERMEJO,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,17,27,3,4,20,31,51
BETANZOS,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,8,12,5,3,13,15,28
BOLIVAR,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,6,5,0,0,6,5,11
BOLPEBRA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,4,1,15,19,19,20,39
BOYUIBE,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,37,67,19,30,56,97,153
BUENA VISTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,36,42,32,33,68,75,143
CABEZAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,48,51,8,2,56,53,109
CAIROMA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,9,2,0,0,9,2,11
CAJUATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,5,3,8,7,13,10,23
CALACOTO,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,0,1,0,0,0,1,1
CALAMARCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,1,1,2,3,3,4,7
CAMARGO,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,51,88,53,75,104,163,267
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,7,3,8,6,15,9,24
CAMIRI,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,251,296,17,17,268,313,581
CAPINOTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,83,95,4,3,87,98,185
CAQUIAVIRI,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,2,3,1,0,3,3,6
CARACOLLO,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,40,19,81,36,121,55,176
CARANAVI,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,26,25,20,28,46,53,99
CARAPARI,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,30,32,0,0,30,32,62
CATACORA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,1,2,0,0,1,2,3
CHACARILLA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,0,0,2,2,2,2,4
CHALLAPATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,25,33,2,3,27,36,63
CHARAGUA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,32,38,2,3,34,41,75
CHARAÑA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,2,3,0,0,2,3,5
CHAYANTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,8,8,1,0,9,8,17
CHIMORE,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,16,25,72,62,88,87,175
CHOQUE COTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,2,2,0,0,2,2,4
CHUA COCANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,0,0,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,25,25,6,6,31,31,62
CHUMA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,3,3,0,0,3,3,6
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,0,1,0,2,0,3,3
CKOCHAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,9,10,11,13,20,23,43
CLIZA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,41,44,4,7,45,51,96
COBIJA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,286,328,227,224,513,552,1065
COCAPATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,10,10,0,0,10,10,20
COCHABAMBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,5274,6869,1422,1585,6696,8454,15150
COLCAPIRHUA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,49,73,286,394,335,467,802
"COLCHA ""K""",otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,204,68,38,15,242,83,325
COLLANA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,1,5,6,9,7,14,21
COLOMI,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,2,5,10,1,12,6,18
COLPA BELGICA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,24,29,0,0,24,29,53
COLQUENCHA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,0,5,0,0,0,5,5
COLQUIRI,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,10,20,2,4,12,24,36
COMANCHE,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,0,0,0,1,0,1,1
COMARAPA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,29,42,0,0,29,42,71
COMBAYA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,0,1,0,0,0,1,1
COPACABANA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,12,7,1,1,13,8,21
CORIPATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,9,4,6,11,15,15,30
CORO CORO,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,15,6,1,0,16,6,22
COROICO,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,45,44,12,14,57,58,115
CORQUE,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,2,3,0,0,2,3,5
COTAGAITA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,16,35,18,29,34,64,98
COTOCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,188,252,19,22,207,274,481
CRUZ DE MACHACAMARCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,1,1,0,0,1,1,2
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,11,11,0,0,11,11,22
CUEVO,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,17,16,18,41,35,57,92
CULPINA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,8,14,12,12,20,26,46
CURAHUARA DE CARANGAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,3,6,0,0,3,6,9
CURVA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,1,3,0,3,1,6,7
DESAGUADERO,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,3,0,10,0,13,0,13
EL ALTO,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,586,752,224,268,810,1020,1830
EL CHORO,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,3,4,4,2,7,6,13
EL PUENTE(STC),otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,21,31,17,23,38,54,92
EL PUENTE(TJA),otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,28,24,3,4,31,28,59
EL TORNO,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,120,187,0,0,120,187,307
EL VILLAR,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,9,7,1,0,10,7,17
ENTRE RIOS TRJ,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,36,50,4,5,40,55,95
ENTRE RIOS CBBA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,19,19,13,10,32,29,61
ESCARA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,0,1,0,0,0,1,1
ESMERALDA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,10,15,0,0,10,15,25
EUCALIPTUS,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,2,2,2,4,4,6,10
EUREKA (SANTOS MERCADO),otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,5,1,0,0,5,1,6
FERNANDEZ ALONSO,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,0,0,76,12,76,12,88
FILADELFIA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,16,29,20,13,36,42,78
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,6,7,1,13,7,20,27
GENERAL SAAVEDRA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,39,46,1,3,40,49,89
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,3,1,0,1,3,2,5
GUANAY,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,15,15,27,14,42,29,71
GUAQUI,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,2,0,0,0,2,0,2
GUAYARAMERIN,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,63,81,53,26,116,107,223
GUTIERREZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,7,3,0,0,7,3,10
HUACARETA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,87,109,71,126,158,235,393
HUACHACALLA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,1,0,0,0,1,0,1
HUANUNI,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,71,51,0,0,71,51,122
HUARINA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,3,2,3,1,6,3,9
HUAYLLAMARCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,17,16,1,1,18,17,35
HUMANATA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,8,2,0,0,8,2,10
ICHOCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,1,3,2,0,3,3,6
ICLA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,4,4,7,14,11,18,29
INCAHUASI,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,15,20,3,14,18,34,52
INQUISIVI,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,3,6,11,9,14,15,29
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,21,10,4,6,25,16,41
JESUS DE MACHACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,4,5,1,0,5,5,10
LA ASUNTA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,14,9,17,25,31,34,65
LA GUARDIA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,228,311,38,60,266,371,637
LA PAZ,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,3645,4945,3445,4158,7090,9103,16193
LAGUNILLAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,48,53,10,18,58,71,129
LAJA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,1,1,2,0,3,1,4
LAS CARRERAS,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,2,3,0,0,2,3,5
LICOMA PAMPA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,0,0,2,0,2,0,2
LLALLAGUA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,119,164,41,48,160,212,372
LLICA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,1,3,2,1,3,4,7
LURIBAY,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,7,0,0,0,7,0,7
MACHACAMARCA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,5,5,0,0,5,5,10
MACHARETI,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,33,70,9,18,42,88,130
MAIRANA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,24,39,6,3,30,42,72
MALLA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,0,0,5,4,5,4,9
MAPIRI,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,3,2,0,0,3,2,5
MECAPACA,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,4,3,1,0,5,3,8
MINEROS,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,40,56,1,1,41,57,98
MIZQUE,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,24,32,37,28,61,60,121
MOCOMOCO,otras vacunaciones,covid dosis anual (4ta dosis),2022-07-01,10,6,7,11,17,17,34
