,group,variable,month,17.24 COVID 2DA DOSIS DENTRO,17.24 COVID 2DA DOSIS DENTRO,17.24 COVID 2DA DOSIS FUERA,17.24 COVID 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
URUBICHA,otras vacunaciones,covid 2da dosis,2022-03-01,49,54,64,65,113,119,232
UYUNI,otras vacunaciones,covid 2da dosis,2022-03-01,212,136,159,182,371,318,689
VACAS,otras vacunaciones,covid 2da dosis,2022-03-01,25,23,7,19,32,42,74
VALLEGRANDE,otras vacunaciones,covid 2da dosis,2022-03-01,194,189,89,73,283,262,545
VIACHA,otras vacunaciones,covid 2da dosis,2022-03-01,595,613,444,496,1039,1109,2148
VILA VILA,otras vacunaciones,covid 2da dosis,2022-03-01,3,11,28,39,31,50,81
VILLA CHARCAS,otras vacunaciones,covid 2da dosis,2022-03-01,37,47,73,61,110,108,218
VILLA MONTES,otras vacunaciones,covid 2da dosis,2022-03-01,174,149,302,191,476,340,816
VILLA NUEVA (LOMA ALTA),otras vacunaciones,covid 2da dosis,2022-03-01,0,0,1,1,1,1,2
VILLA RIVERO,otras vacunaciones,covid 2da dosis,2022-03-01,64,82,3,4,67,86,153
VILLA SERRANO,otras vacunaciones,covid 2da dosis,2022-03-01,47,39,13,18,60,57,117
VILLA TUNARI,otras vacunaciones,covid 2da dosis,2022-03-01,349,406,369,229,718,635,1353
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid 2da dosis,2022-03-01,52,44,54,42,106,86,192
VILLAZON,otras vacunaciones,covid 2da dosis,2022-03-01,305,308,223,217,528,525,1053
VINTO,otras vacunaciones,covid 2da dosis,2022-03-01,372,399,399,427,771,826,1597
VITICHI,otras vacunaciones,covid 2da dosis,2022-03-01,38,50,23,28,61,78,139
WALDO BALLIVIAN,otras vacunaciones,covid 2da dosis,2022-03-01,5,6,0,0,5,6,11
WARNES,otras vacunaciones,covid 2da dosis,2022-03-01,382,552,2,1,384,553,937
YACO,otras vacunaciones,covid 2da dosis,2022-03-01,4,3,21,20,25,23,48
YACUIBA,otras vacunaciones,covid 2da dosis,2022-03-01,302,364,471,502,773,866,1639
YAMPARAEZ,otras vacunaciones,covid 2da dosis,2022-03-01,25,19,84,75,109,94,203
YANACACHI,otras vacunaciones,covid 2da dosis,2022-03-01,9,8,0,4,9,12,21
YAPACANI,otras vacunaciones,covid 2da dosis,2022-03-01,98,119,32,27,130,146,276
YOCALLA,otras vacunaciones,covid 2da dosis,2022-03-01,132,110,33,16,165,126,291
YOTALA,otras vacunaciones,covid 2da dosis,2022-03-01,23,22,60,63,83,85,168
YUNCHARA,otras vacunaciones,covid 2da dosis,2022-03-01,19,14,89,85,108,99,207
YUNGUYO DE LITORAL,otras vacunaciones,covid 2da dosis,2022-03-01,1,3,0,0,1,3,4
ZUDAÑEZ,otras vacunaciones,covid 2da dosis,2022-03-01,14,12,58,56,72,68,140
ACACIO,otras vacunaciones,covid 2da dosis,2022-04-01,5,4,1,1,6,5,11
ACHACACHI,otras vacunaciones,covid 2da dosis,2022-04-01,28,36,56,45,84,81,165
AIQUILE,otras vacunaciones,covid 2da dosis,2022-04-01,34,45,73,79,107,124,231
ALALAY,otras vacunaciones,covid 2da dosis,2022-04-01,1,1,0,0,1,1,2
ALCALA,otras vacunaciones,covid 2da dosis,2022-04-01,2,2,3,2,5,4,9
ALTO BENI,otras vacunaciones,covid 2da dosis,2022-04-01,5,2,11,7,16,9,25
ANCORAIMES,otras vacunaciones,covid 2da dosis,2022-04-01,13,10,3,3,16,13,29
ANDAMARCA,otras vacunaciones,covid 2da dosis,2022-04-01,22,30,0,0,22,30,52
ANTEQUERA,otras vacunaciones,covid 2da dosis,2022-04-01,19,16,0,0,19,16,35
ANZALDO,otras vacunaciones,covid 2da dosis,2022-04-01,21,29,26,23,47,52,99
APOLO,otras vacunaciones,covid 2da dosis,2022-04-01,11,11,14,10,25,21,46
ARAMPAMPA,otras vacunaciones,covid 2da dosis,2022-04-01,0,0,13,13,13,13,26
ARANI,otras vacunaciones,covid 2da dosis,2022-04-01,36,39,2,5,38,44,82
ARBIETO,otras vacunaciones,covid 2da dosis,2022-04-01,83,66,17,20,100,86,186
ARQUE,otras vacunaciones,covid 2da dosis,2022-04-01,8,6,16,17,24,23,47
ASCENCION DE GUARAYOS,otras vacunaciones,covid 2da dosis,2022-04-01,19,19,4,6,23,25,48
ATOCHA,otras vacunaciones,covid 2da dosis,2022-04-01,25,27,43,39,68,66,134
AUCAPATA,otras vacunaciones,covid 2da dosis,2022-04-01,0,1,25,41,25,42,67
AYATA,otras vacunaciones,covid 2da dosis,2022-04-01,5,5,0,12,5,17,22
AYO AYO,otras vacunaciones,covid 2da dosis,2022-04-01,26,21,16,16,42,37,79
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid 2da dosis,2022-04-01,66,66,99,93,165,159,324
AZURDUY,otras vacunaciones,covid 2da dosis,2022-04-01,160,111,13,20,173,131,304
BATALLAS,otras vacunaciones,covid 2da dosis,2022-04-01,16,24,7,8,23,32,55
BAURES,otras vacunaciones,covid 2da dosis,2022-04-01,43,31,20,23,63,54,117
BELEN DE ANDAMARCA,otras vacunaciones,covid 2da dosis,2022-04-01,9,4,0,0,9,4,13
BELEN DE URMIRI,otras vacunaciones,covid 2da dosis,2022-04-01,1,3,7,5,8,8,16
BELLA FLOR,otras vacunaciones,covid 2da dosis,2022-04-01,3,5,10,13,13,18,31
BERMEJO,otras vacunaciones,covid 2da dosis,2022-04-01,0,2,4,2,4,4,8
BETANZOS,otras vacunaciones,covid 2da dosis,2022-04-01,41,51,99,104,140,155,295
BOLIVAR,otras vacunaciones,covid 2da dosis,2022-04-01,0,1,34,41,34,42,76
BOLPEBRA,otras vacunaciones,covid 2da dosis,2022-04-01,0,0,7,1,7,1,8
BOYUIBE,otras vacunaciones,covid 2da dosis,2022-04-01,19,13,12,16,31,29,60
BUENA VISTA,otras vacunaciones,covid 2da dosis,2022-04-01,16,14,14,22,30,36,66
CABEZAS,otras vacunaciones,covid 2da dosis,2022-04-01,54,60,23,18,77,78,155
CAIROMA,otras vacunaciones,covid 2da dosis,2022-04-01,21,25,19,20,40,45,85
"CAIZA ""D""",otras vacunaciones,covid 2da dosis,2022-04-01,7,12,11,8,18,20,38
CAJUATA,otras vacunaciones,covid 2da dosis,2022-04-01,5,8,8,8,13,16,29
CALACOTO,otras vacunaciones,covid 2da dosis,2022-04-01,6,4,18,19,24,23,47
CALAMARCA,otras vacunaciones,covid 2da dosis,2022-04-01,30,20,21,16,51,36,87
CAMARGO,otras vacunaciones,covid 2da dosis,2022-04-01,45,37,49,51,94,88,182
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid 2da dosis,2022-04-01,4,3,0,0,4,3,7
CAMIRI,otras vacunaciones,covid 2da dosis,2022-04-01,74,63,14,4,88,67,155
CAPINOTA,otras vacunaciones,covid 2da dosis,2022-04-01,77,73,31,38,108,111,219
CAQUIAVIRI,otras vacunaciones,covid 2da dosis,2022-04-01,18,17,17,11,35,28,63
CARACOLLO,otras vacunaciones,covid 2da dosis,2022-04-01,68,80,14,18,82,98,180
CARANAVI,otras vacunaciones,covid 2da dosis,2022-04-01,39,36,18,26,57,62,119
CARANGAS,otras vacunaciones,covid 2da dosis,2022-04-01,17,11,0,0,17,11,28
CARAPARI,otras vacunaciones,covid 2da dosis,2022-04-01,106,83,1,3,107,86,193
CARIPUYO,otras vacunaciones,covid 2da dosis,2022-04-01,5,6,4,8,9,14,23
CARMEN RIVERO TORREZ,otras vacunaciones,covid 2da dosis,2022-04-01,48,57,0,0,48,57,105
CATACORA,otras vacunaciones,covid 2da dosis,2022-04-01,0,1,5,3,5,4,9
CHACARILLA,otras vacunaciones,covid 2da dosis,2022-04-01,0,0,2,1,2,1,3
CHALLAPATA,otras vacunaciones,covid 2da dosis,2022-04-01,151,157,15,14,166,171,337
CHAQUI,otras vacunaciones,covid 2da dosis,2022-04-01,11,17,9,13,20,30,50
CHARAGUA,otras vacunaciones,covid 2da dosis,2022-04-01,128,92,85,3,213,95,308
CHARAÑA,otras vacunaciones,covid 2da dosis,2022-04-01,8,5,4,4,12,9,21
CHAYANTA,otras vacunaciones,covid 2da dosis,2022-04-01,2,4,1,4,3,8,11
CHIMORE,otras vacunaciones,covid 2da dosis,2022-04-01,28,30,154,153,182,183,365
CHIPAYA,otras vacunaciones,covid 2da dosis,2022-04-01,0,2,0,0,0,2,2
CHOQUE COTA,otras vacunaciones,covid 2da dosis,2022-04-01,28,15,0,0,28,15,43
CHUA COCANI,otras vacunaciones,covid 2da dosis,2022-04-01,3,2,11,9,14,11,25
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid 2da dosis,2022-04-01,26,28,23,23,49,51,100
CHUMA,otras vacunaciones,covid 2da dosis,2022-04-01,22,22,48,51,70,73,143
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid 2da dosis,2022-04-01,0,2,1,2,1,4,5
CKOCHAS,otras vacunaciones,covid 2da dosis,2022-04-01,59,40,39,41,98,81,179
CLIZA,otras vacunaciones,covid 2da dosis,2022-04-01,40,27,47,61,87,88,175
COBIJA,otras vacunaciones,covid 2da dosis,2022-04-01,58,68,176,89,234,157,391
COCAPATA,otras vacunaciones,covid 2da dosis,2022-04-01,7,12,0,0,7,12,19
COCHABAMBA,otras vacunaciones,covid 2da dosis,2022-04-01,2357,2458,968,1060,3325,3518,6843
COLCAPIRHUA,otras vacunaciones,covid 2da dosis,2022-04-01,29,27,193,153,222,180,402
"COLCHA ""K""",otras vacunaciones,covid 2da dosis,2022-04-01,49,53,25,18,74,71,145
COLLANA,otras vacunaciones,covid 2da dosis,2022-04-01,0,1,2,6,2,7,9
COLOMI,otras vacunaciones,covid 2da dosis,2022-04-01,14,7,30,30,44,37,81
COLPA BELGICA,otras vacunaciones,covid 2da dosis,2022-04-01,16,16,0,0,16,16,32
COLQUECHACA,otras vacunaciones,covid 2da dosis,2022-04-01,19,17,28,26,47,43,90
COLQUENCHA,otras vacunaciones,covid 2da dosis,2022-04-01,40,28,31,12,71,40,111
COLQUIRI,otras vacunaciones,covid 2da dosis,2022-04-01,20,22,102,92,122,114,236
COMANCHE,otras vacunaciones,covid 2da dosis,2022-04-01,0,0,3,1,3,1,4
COMARAPA,otras vacunaciones,covid 2da dosis,2022-04-01,52,59,1,4,53,63,116
COMBAYA,otras vacunaciones,covid 2da dosis,2022-04-01,4,6,4,3,8,9,17
CONCEPCION,otras vacunaciones,covid 2da dosis,2022-04-01,138,135,10,8,148,143,291
COPACABANA,otras vacunaciones,covid 2da dosis,2022-04-01,12,17,1,3,13,20,33
CORIPATA,otras vacunaciones,covid 2da dosis,2022-04-01,4,6,5,7,9,13,22
CORO CORO,otras vacunaciones,covid 2da dosis,2022-04-01,16,12,10,7,26,19,45
COROICO,otras vacunaciones,covid 2da dosis,2022-04-01,6,8,10,21,16,29,45
CORQUE,otras vacunaciones,covid 2da dosis,2022-04-01,59,54,0,0,59,54,113
COTAGAITA,otras vacunaciones,covid 2da dosis,2022-04-01,34,23,24,25,58,48,106
COTOCA,otras vacunaciones,covid 2da dosis,2022-04-01,193,172,88,91,281,263,544
CRUZ DE MACHACAMARCA,otras vacunaciones,covid 2da dosis,2022-04-01,3,2,0,0,3,2,5
CUATRO CAÑADAS,otras vacunaciones,covid 2da dosis,2022-04-01,18,21,37,31,55,52,107
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid 2da dosis,2022-04-01,1,1,1,0,2,1,3
CUEVO,otras vacunaciones,covid 2da dosis,2022-04-01,29,6,23,30,52,36,88
CULPINA,otras vacunaciones,covid 2da dosis,2022-04-01,47,53,36,26,83,79,162
CURAHUARA DE CARANGAS,otras vacunaciones,covid 2da dosis,2022-04-01,8,10,0,0,8,10,18
CURVA,otras vacunaciones,covid 2da dosis,2022-04-01,0,0,29,21,29,21,50
DESAGUADERO,otras vacunaciones,covid 2da dosis,2022-04-01,37,13,4,1,41,14,55
EL ALTO,otras vacunaciones,covid 2da dosis,2022-04-01,1284,1538,803,881,2087,2419,4506
EL CHORO,otras vacunaciones,covid 2da dosis,2022-04-01,27,28,0,0,27,28,55
EL PUENTE(STC),otras vacunaciones,covid 2da dosis,2022-04-01,7,11,12,17,19,28,47
EL PUENTE(TJA),otras vacunaciones,covid 2da dosis,2022-04-01,34,28,73,55,107,83,190
EL TORNO,otras vacunaciones,covid 2da dosis,2022-04-01,128,147,1,3,129,150,279
EL VILLAR,otras vacunaciones,covid 2da dosis,2022-04-01,0,0,10,11,10,11,21
ENTRE RIOS TRJ,otras vacunaciones,covid 2da dosis,2022-04-01,140,126,21,25,161,151,312
ENTRE RIOS CBBA,otras vacunaciones,covid 2da dosis,2022-04-01,58,54,101,107,159,161,320
ESCOMA,otras vacunaciones,covid 2da dosis,2022-04-01,41,45,11,3,52,48,100
ESMERALDA,otras vacunaciones,covid 2da dosis,2022-04-01,21,9,0,0,21,9,30
EUCALIPTUS,otras vacunaciones,covid 2da dosis,2022-04-01,2,5,1,3,3,8,11
EUREKA (SANTOS MERCADO),otras vacunaciones,covid 2da dosis,2022-04-01,0,0,3,4,3,4,7
FERNANDEZ ALONSO,otras vacunaciones,covid 2da dosis,2022-04-01,7,14,27,13,34,27,61
FILADELFIA,otras vacunaciones,covid 2da dosis,2022-04-01,2,7,37,31,39,38,77
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid 2da dosis,2022-04-01,13,11,21,14,34,25,59
GENERAL SAAVEDRA,otras vacunaciones,covid 2da dosis,2022-04-01,37,23,0,0,37,23,60
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid 2da dosis,2022-04-01,15,32,21,26,36,58,94
GUANAY,otras vacunaciones,covid 2da dosis,2022-04-01,8,7,4,3,12,10,22
GUAQUI,otras vacunaciones,covid 2da dosis,2022-04-01,12,15,2,0,14,15,29
GUAYARAMERIN,otras vacunaciones,covid 2da dosis,2022-04-01,54,65,52,51,106,116,222
GUTIERREZ,otras vacunaciones,covid 2da dosis,2022-04-01,61,61,8,8,69,69,138
HUACARETA,otras vacunaciones,covid 2da dosis,2022-04-01,6,7,9,4,15,11,26
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid 2da dosis,2022-04-01,1,8,13,10,14,18,32
HUANUNI,otras vacunaciones,covid 2da dosis,2022-04-01,112,118,5,1,117,119,236
HUARACAJE,otras vacunaciones,covid 2da dosis,2022-04-01,9,5,2,0,11,5,16
HUARINA,otras vacunaciones,covid 2da dosis,2022-04-01,21,16,19,12,40,28,68
HUATAJATA,otras vacunaciones,covid 2da dosis,2022-04-01,11,22,8,1,19,23,42
HUAYLLAMARCA,otras vacunaciones,covid 2da dosis,2022-04-01,14,18,3,3,17,21,38
HUMANATA,otras vacunaciones,covid 2da dosis,2022-04-01,6,5,1,1,7,6,13
ICHOCA,otras vacunaciones,covid 2da dosis,2022-04-01,0,0,7,6,7,6,13
ICLA,otras vacunaciones,covid 2da dosis,2022-04-01,27,30,64,61,91,91,182
INCAHUASI,otras vacunaciones,covid 2da dosis,2022-04-01,10,26,15,14,25,40,65
INGAVI (HUMAITA),otras vacunaciones,covid 2da dosis,2022-04-01,2,1,14,14,16,15,31
INQUISIVI,otras vacunaciones,covid 2da dosis,2022-04-01,8,9,81,55,89,64,153
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid 2da dosis,2022-04-01,1,2,6,6,7,8,15
IXIAMAS,otras vacunaciones,covid 2da dosis,2022-04-01,3,3,8,10,11,13,24
JESUS DE MACHACA,otras vacunaciones,covid 2da dosis,2022-04-01,58,53,29,36,87,89,176
LA ASUNTA,otras vacunaciones,covid 2da dosis,2022-04-01,19,16,7,3,26,19,45
LA GUARDIA,otras vacunaciones,covid 2da dosis,2022-04-01,306,325,62,71,368,396,764
LA PAZ,otras vacunaciones,covid 2da dosis,2022-04-01,1988,1998,1761,1927,3749,3925,7674
LA RIVERA,otras vacunaciones,covid 2da dosis,2022-04-01,1,1,0,0,1,1,2
LAGUNILLAS,otras vacunaciones,covid 2da dosis,2022-04-01,34,40,33,26,67,66,133
LAJA,otras vacunaciones,covid 2da dosis,2022-04-01,26,28,19,19,45,47,92
LAS CARRERAS,otras vacunaciones,covid 2da dosis,2022-04-01,6,12,0,0,6,12,18
LICOMA PAMPA,otras vacunaciones,covid 2da dosis,2022-04-01,3,3,6,9,9,12,21
LLALLAGUA,otras vacunaciones,covid 2da dosis,2022-04-01,226,256,136,114,362,370,732
LLICA,otras vacunaciones,covid 2da dosis,2022-04-01,4,1,3,4,7,5,12
LORETO,otras vacunaciones,covid 2da dosis,2022-04-01,1,0,4,0,5,0,5
LURIBAY,otras vacunaciones,covid 2da dosis,2022-04-01,10,11,34,34,44,45,89
MACHACAMARCA,otras vacunaciones,covid 2da dosis,2022-04-01,12,18,0,0,12,18,30
MACHARETI,otras vacunaciones,covid 2da dosis,2022-04-01,17,10,13,7,30,17,47
MAGDALENA,otras vacunaciones,covid 2da dosis,2022-04-01,7,0,112,134,119,134,253
MAIRANA,otras vacunaciones,covid 2da dosis,2022-04-01,11,13,12,8,23,21,44
MALLA,otras vacunaciones,covid 2da dosis,2022-04-01,0,0,8,7,8,7,15
MAPIRI,otras vacunaciones,covid 2da dosis,2022-04-01,9,4,0,0,9,4,13
MECAPACA,otras vacunaciones,covid 2da dosis,2022-04-01,25,27,6,7,31,34,65
MINEROS,otras vacunaciones,covid 2da dosis,2022-04-01,172,186,2,1,174,187,361
MIZQUE,otras vacunaciones,covid 2da dosis,2022-04-01,16,21,58,69,74,90,164
MOCOMOCO,otras vacunaciones,covid 2da dosis,2022-04-01,14,9,74,58,88,67,155
MOJINETE,otras vacunaciones,covid 2da dosis,2022-04-01,1,2,0,0,1,2,3
MOJOCOYA,otras vacunaciones,covid 2da dosis,2022-04-01,22,19,68,62,90,81,171
MONTEAGUDO,otras vacunaciones,covid 2da dosis,2022-04-01,68,48,168,165,236,213,449
MONTERO,otras vacunaciones,covid 2da dosis,2022-04-01,329,326,133,159,462,485,947
MORO MORO,otras vacunaciones,covid 2da dosis,2022-04-01,5,3,15,13,20,16,36
MOROCHATA,otras vacunaciones,covid 2da dosis,2022-04-01,12,14,32,36,44,50,94
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid 2da dosis,2022-04-01,0,0,3,1,3,1,4
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,covid 2da dosis,2022-04-01,0,0,4,5,4,5,9
OCURI,otras vacunaciones,covid 2da dosis,2022-04-01,4,5,14,14,18,19,37
OKINAWA,otras vacunaciones,covid 2da dosis,2022-04-01,14,11,0,0,14,11,25
OMEREQUE,otras vacunaciones,covid 2da dosis,2022-04-01,0,0,15,12,15,12,27
ORURO,otras vacunaciones,covid 2da dosis,2022-04-01,2258,2462,539,568,2797,3030,5827
PADCAYA,otras vacunaciones,covid 2da dosis,2022-04-01,3,7,0,0,3,7,10
PADILLA,otras vacunaciones,covid 2da dosis,2022-04-01,41,31,0,0,41,31,72
PAILON,otras vacunaciones,covid 2da dosis,2022-04-01,61,59,0,0,61,59,120
PALCA,otras vacunaciones,covid 2da dosis,2022-04-01,59,60,30,28,89,88,177
PALOS BLANCOS,otras vacunaciones,covid 2da dosis,2022-04-01,17,17,26,17,43,34,77
PAMPA AULLAGAS,otras vacunaciones,covid 2da dosis,2022-04-01,4,4,8,10,12,14,26
PAMPA GRANDE,otras vacunaciones,covid 2da dosis,2022-04-01,5,12,1,4,6,16,22
PAPEL PAMPA,otras vacunaciones,covid 2da dosis,2022-04-01,6,6,3,0,9,6,15
PASORAPA,otras vacunaciones,covid 2da dosis,2022-04-01,2,6,0,0,2,6,8
PATACAMAYA,otras vacunaciones,covid 2da dosis,2022-04-01,43,24,0,0,43,24,67
PAZÑA,otras vacunaciones,covid 2da dosis,2022-04-01,8,5,19,16,27,21,48
PELECHUCO,otras vacunaciones,covid 2da dosis,2022-04-01,12,7,4,9,16,16,32
POCOATA,otras vacunaciones,covid 2da dosis,2022-04-01,1,2,1,3,2,5,7
POCONA,otras vacunaciones,covid 2da dosis,2022-04-01,50,76,45,35,95,111,206
POJO (CBBA),otras vacunaciones,covid 2da dosis,2022-04-01,48,52,5,13,53,65,118
POOPO,otras vacunaciones,covid 2da dosis,2022-04-01,36,24,7,7,43,31,74
PORCO,otras vacunaciones,covid 2da dosis,2022-04-01,22,22,4,5,26,27,53
POROMA,otras vacunaciones,covid 2da dosis,2022-04-01,27,33,26,29,53,62,115
PORONGO,otras vacunaciones,covid 2da dosis,2022-04-01,98,93,2,0,100,93,193
PORTACHUELO,otras vacunaciones,covid 2da dosis,2022-04-01,37,39,0,0,37,39,76
PORVENIR,otras vacunaciones,covid 2da dosis,2022-04-01,4,1,8,16,12,17,29
POSTRER VALLE,otras vacunaciones,covid 2da dosis,2022-04-01,0,0,2,0,2,0,2
POTOSI,otras vacunaciones,covid 2da dosis,2022-04-01,1238,1206,699,663,1937,1869,3806
PRESTO,otras vacunaciones,covid 2da dosis,2022-04-01,3,5,23,20,26,25,51
PUCARA,otras vacunaciones,covid 2da dosis,2022-04-01,7,3,0,0,7,3,10
PUCARANI,otras vacunaciones,covid 2da dosis,2022-04-01,40,50,1,2,41,52,93
PUERTO ACOSTA,otras vacunaciones,covid 2da dosis,2022-04-01,14,17,4,6,18,23,41
PUERTO CARABUCO,otras vacunaciones,covid 2da dosis,2022-04-01,1,1,18,36,19,37,56
PUERTO GONZALO MORENO,otras vacunaciones,covid 2da dosis,2022-04-01,0,0,14,13,14,13,27
PUERTO PEREZ,otras vacunaciones,covid 2da dosis,2022-04-01,5,8,34,27,39,35,74
PUERTO RICO,otras vacunaciones,covid 2da dosis,2022-04-01,0,0,10,7,10,7,17
PUERTO SILES,otras vacunaciones,covid 2da dosis,2022-04-01,13,8,0,0,13,8,21
PUERTO SUAREZ,otras vacunaciones,covid 2da dosis,2022-04-01,9,9,108,92,117,101,218
PUERTO VILLARROEL,otras vacunaciones,covid 2da dosis,2022-04-01,108,86,275,233,383,319,702
PUNA,otras vacunaciones,covid 2da dosis,2022-04-01,30,42,49,57,79,99,178
PUNATA,otras vacunaciones,covid 2da dosis,2022-04-01,143,171,28,20,171,191,362
QUIABAYA,otras vacunaciones,covid 2da dosis,2022-04-01,0,6,5,4,5,10,15
QUILLACOLLO,otras vacunaciones,covid 2da dosis,2022-04-01,359,376,198,209,557,585,1142
QUIME,otras vacunaciones,covid 2da dosis,2022-04-01,5,3,27,30,32,33,65
QUIRUSILLAS,otras vacunaciones,covid 2da dosis,2022-04-01,8,9,0,3,8,12,20
RAQAYPAMPA(ETA),otras vacunaciones,covid 2da dosis,2022-04-01,5,7,54,53,59,60,119
RAVELO,otras vacunaciones,covid 2da dosis,2022-04-01,7,6,27,35,34,41,75
REYES,otras vacunaciones,covid 2da dosis,2022-04-01,7,3,1,1,8,4,12
RIBERALTA,otras vacunaciones,covid 2da dosis,2022-04-01,89,95,87,24,176,119,295
ROBORE,otras vacunaciones,covid 2da dosis,2022-04-01,39,35,10,5,49,40,89
RURRENABAQUE,otras vacunaciones,covid 2da dosis,2022-04-01,24,26,1,0,25,26,51
SABAYA,otras vacunaciones,covid 2da dosis,2022-04-01,39,28,0,0,39,28,67
SACABA,otras vacunaciones,covid 2da dosis,2022-04-01,375,348,289,302,664,650,1314
SACABAMBA,otras vacunaciones,covid 2da dosis,2022-04-01,2,1,51,46,53,47,100
SACACA,otras vacunaciones,covid 2da dosis,2022-04-01,54,40,5,9,59,49,108
SAIPINA,otras vacunaciones,covid 2da dosis,2022-04-01,0,0,34,14,34,14,48
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid 2da dosis,2022-04-01,10,7,39,34,49,41,90
SAMAIPATA,otras vacunaciones,covid 2da dosis,2022-04-01,8,11,7,8,15,19,34
SAN AGUSTIN,otras vacunaciones,covid 2da dosis,2022-04-01,2,1,2,1,4,2,6
SAN ANDRES,otras vacunaciones,covid 2da dosis,2022-04-01,23,16,14,19,37,35,72
SAN ANDRES DE MACHACA,otras vacunaciones,covid 2da dosis,2022-04-01,0,1,15,9,15,10,25
SAN ANTONIO DE ESMORUCO,otras vacunaciones,covid 2da dosis,2022-04-01,0,0,9,17,9,17,26
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid 2da dosis,2022-04-01,7,8,6,4,13,12,25
SAN BENITO,otras vacunaciones,covid 2da dosis,2022-04-01,49,53,4,2,53,55,108
SAN BORJA,otras vacunaciones,covid 2da dosis,2022-04-01,29,24,42,59,71,83,154
SAN BUENA VENTURA,otras vacunaciones,covid 2da dosis,2022-04-01,1,5,26,29,27,34,61
SAN CARLOS,otras vacunaciones,covid 2da dosis,2022-04-01,29,41,1,3,30,44,74
SAN IGNACIO,otras vacunaciones,covid 2da dosis,2022-04-01,33,50,51,48,84,98,182
SAN IGNACIO DE VELASCO,otras vacunaciones,covid 2da dosis,2022-04-01,81,73,0,0,81,73,154
SAN JAVIER(STC),otras vacunaciones,covid 2da dosis,2022-04-01,75,70,0,0,75,70,145
SAN JOAQUIN,otras vacunaciones,covid 2da dosis,2022-04-01,49,29,0,0,49,29,78
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid 2da dosis,2022-04-01,26,28,101,84,127,112,239
SAN JUAN DE YAPACANI,otras vacunaciones,covid 2da dosis,2022-04-01,11,7,3,5,14,12,26
SAN JULIAN,otras vacunaciones,covid 2da dosis,2022-04-01,51,67,39,34,90,101,191
SAN LORENZO(PND),otras vacunaciones,covid 2da dosis,2022-04-01,0,0,17,18,17,18,35
SAN LORENZO(TJA),otras vacunaciones,covid 2da dosis,2022-04-01,81,64,156,151,237,215,452
SAN LUCAS,otras vacunaciones,covid 2da dosis,2022-04-01,83,72,18,15,101,87,188
SAN MATIAS,otras vacunaciones,covid 2da dosis,2022-04-01,10,8,40,9,50,17,67
SAN MIGUEL DE VELASCO,otras vacunaciones,covid 2da dosis,2022-04-01,9,13,96,75,105,88,193
SAN PABLO DE LIPEZ,otras vacunaciones,covid 2da dosis,2022-04-01,17,17,6,8,23,25,48
SAN PEDRO,otras vacunaciones,covid 2da dosis,2022-04-01,25,19,39,23,64,42,106
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid 2da dosis,2022-04-01,23,19,7,8,30,27,57
SAN PEDRO DE CURAHUARA,otras vacunaciones,covid 2da dosis,2022-04-01,0,1,0,0,0,1,1
SAN PEDRO DE MACHA,otras vacunaciones,covid 2da dosis,2022-04-01,13,11,33,29,46,40,86
SAN PEDRO DE TIQUINA,otras vacunaciones,covid 2da dosis,2022-04-01,2,11,2,4,4,15,19
SAN PEDRO(PND),otras vacunaciones,covid 2da dosis,2022-04-01,0,0,29,36,29,36,65
SAN RAFAEL,otras vacunaciones,covid 2da dosis,2022-04-01,26,8,0,0,26,8,34
SAN RAMON BENI,otras vacunaciones,covid 2da dosis,2022-04-01,63,62,0,0,63,62,125
SAN RAMON SCZ,otras vacunaciones,covid 2da dosis,2022-04-01,35,30,0,0,35,30,65
SANTA ANA,otras vacunaciones,covid 2da dosis,2022-04-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid 2da dosis,2022-04-01,3392,3512,1640,1763,5032,5275,10307
SANTA ROSA,otras vacunaciones,covid 2da dosis,2022-04-01,6,6,0,0,6,6,12
SANTA ROSA DEL SARA,otras vacunaciones,covid 2da dosis,2022-04-01,2,6,0,0,2,6,8
SANTIAGO DE CALLAPA,otras vacunaciones,covid 2da dosis,2022-04-01,5,8,0,0,5,8,13
SANTIAGO DE HUARI,otras vacunaciones,covid 2da dosis,2022-04-01,9,8,37,27,46,35,81
