,group,variable,month,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES DENTRO,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES DENTRO,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES FUERA,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES FUERA,TOTALES,TOTALES,TOTALES
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-10-01,16,24,10,54,26,78,104
IXIAMAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-10-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-10-01,2,0,2,0,4,0,4
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-10-01,0,2,0,0,0,2,2
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-10-01,4,1,0,0,4,1,5
PUERTO VILLARROEL,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-10-01,2,2,0,0,2,2,4
REYES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-10-01,0,0,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-10-01,8,3,0,0,8,3,11
SENA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-10-01,3,5,0,0,3,5,8
SUCRE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-10-01,0,5,0,0,0,5,5
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-10-01,4,2,0,0,4,2,6
TODOS SANTOS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-10-01,1,0,0,0,1,0,1
TORO TORO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-10-01,2,2,0,0,2,2,4
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-10-01,0,0,0,111,0,111,111
WARNES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-10-01,0,0,0,7,0,7,7
YAPACANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-10-01,2,2,0,0,2,2,4
ANZALDO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-11-01,0,1,0,0,0,1,1
CARACOLLO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-11-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-11-01,1,4,0,0,1,4,5
EL PUENTE(STC),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-11-01,0,1,0,0,0,1,1
HUACARETA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-11-01,3,4,0,0,3,4,7
LA GUARDIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-11-01,3,0,0,0,3,0,3
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-11-01,14,7,8,0,22,7,29
PALOS BLANCOS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-11-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-11-01,1,3,0,9,1,12,13
SAN ANDRES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-11-01,0,0,0,19,0,19,19
SAN IGNACIO DE VELASCO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-11-01,2,0,0,0,2,0,2
SAN JULIAN,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-11-01,1,0,0,0,1,0,1
SAN MATIAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-11-01,1,0,0,0,1,0,1
SAN RAMON BENI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-11-01,1,2,0,0,1,2,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-11-01,13,1,0,0,13,1,14
TORO TORO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-11-01,0,0,5,0,5,0,5
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-11-01,4,3,0,0,4,3,7
TUPIZA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-11-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-11-01,1,0,0,0,1,0,1
YAPACANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-11-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-12-01,1,2,0,0,1,2,3
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-12-01,0,0,3,0,3,0,3
CURAHUARA DE CARANGAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-12-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-12-01,8,2,4,2,12,4,16
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-12-01,2,0,0,0,2,0,2
MONTERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-12-01,0,1,0,0,0,1,1
PORTACHUELO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-12-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-12-01,0,1,0,0,0,1,1
PUERTO RICO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-12-01,1,1,0,0,1,1,2
RIBERALTA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-12-01,0,1,0,0,0,1,1
RURRENABAQUE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-12-01,5,10,0,0,5,10,15
SAN BORJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-12-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-12-01,13,14,0,0,13,14,27
SUCRE,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-12-01,2,1,0,0,2,1,3
TARIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-12-01,4,3,0,0,4,3,7
TIPUANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-12-01,1,0,0,0,1,0,1
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-12-01,1,6,0,0,1,6,7
UNCIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-12-01,0,2,5,0,5,2,7
VILLA MONTES,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-12-01,0,3,0,0,0,3,3
YACUIBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2022-12-01,1,0,0,0,1,0,1
