,group,variable,month,17.26 COVID 3RA DOSIS DENTRO,17.26 COVID 3RA DOSIS DENTRO,17.26 COVID 3RA DOSIS FUERA,17.26 COVID 3RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
TARABUCO,otras vacunaciones,covid 3ra dosis,2022-03-01,7,6,5,3,12,9,21
TARACO,otras vacunaciones,covid 3ra dosis,2022-03-01,42,44,50,41,92,85,177
TARATA,otras vacunaciones,covid 3ra dosis,2022-03-01,35,37,2,3,37,40,77
TARIJA,otras vacunaciones,covid 3ra dosis,2022-03-01,751,976,1525,1924,2276,2900,5176
TARVITA,otras vacunaciones,covid 3ra dosis,2022-03-01,32,39,96,110,128,149,277
TEOPONTE,otras vacunaciones,covid 3ra dosis,2022-03-01,0,0,6,3,6,3,9
TIAHUANACU,otras vacunaciones,covid 3ra dosis,2022-03-01,62,75,51,63,113,138,251
TINGUIPAYA,otras vacunaciones,covid 3ra dosis,2022-03-01,0,0,66,81,66,81,147
TIPUANI,otras vacunaciones,covid 3ra dosis,2022-03-01,0,0,22,26,22,26,48
TIQUIPAYA,otras vacunaciones,covid 3ra dosis,2022-03-01,273,386,107,205,380,591,971
TIRAQUE (CBBA),otras vacunaciones,covid 3ra dosis,2022-03-01,26,41,2,7,28,48,76
TOCO,otras vacunaciones,covid 3ra dosis,2022-03-01,43,59,8,5,51,64,115
TOLATA,otras vacunaciones,covid 3ra dosis,2022-03-01,26,29,97,65,123,94,217
TOLEDO,otras vacunaciones,covid 3ra dosis,2022-03-01,67,69,0,0,67,69,136
TOMAVE,otras vacunaciones,covid 3ra dosis,2022-03-01,5,5,45,72,50,77,127
TOMINA,otras vacunaciones,covid 3ra dosis,2022-03-01,58,65,23,26,81,91,172
TORO TORO,otras vacunaciones,covid 3ra dosis,2022-03-01,6,3,3,14,9,17,26
TOTORA(CBBA),otras vacunaciones,covid 3ra dosis,2022-03-01,111,142,31,36,142,178,320
TOTORA(ORR),otras vacunaciones,covid 3ra dosis,2022-03-01,58,43,10,8,68,51,119
TRIGAL,otras vacunaciones,covid 3ra dosis,2022-03-01,16,17,28,40,44,57,101
TRINIDAD,otras vacunaciones,covid 3ra dosis,2022-03-01,409,229,168,83,577,312,889
TUPIZA,otras vacunaciones,covid 3ra dosis,2022-03-01,323,378,188,164,511,542,1053
TURCO,otras vacunaciones,covid 3ra dosis,2022-03-01,47,48,0,0,47,48,95
UNCIA,otras vacunaciones,covid 3ra dosis,2022-03-01,28,29,109,111,137,140,277
URIONDO (A. CONCEPCION),otras vacunaciones,covid 3ra dosis,2022-03-01,90,125,0,0,90,125,215
URUBICHA,otras vacunaciones,covid 3ra dosis,2022-03-01,6,7,14,18,20,25,45
UYUNI,otras vacunaciones,covid 3ra dosis,2022-03-01,58,33,161,158,219,191,410
VACAS,otras vacunaciones,covid 3ra dosis,2022-03-01,7,25,13,31,20,56,76
VALLEGRANDE,otras vacunaciones,covid 3ra dosis,2022-03-01,255,334,255,313,510,647,1157
VIACHA,otras vacunaciones,covid 3ra dosis,2022-03-01,337,391,396,523,733,914,1647
VILA VILA,otras vacunaciones,covid 3ra dosis,2022-03-01,10,18,129,174,139,192,331
VILLA CHARCAS,otras vacunaciones,covid 3ra dosis,2022-03-01,12,11,8,6,20,17,37
VILLA MONTES,otras vacunaciones,covid 3ra dosis,2022-03-01,216,169,261,203,477,372,849
VILLA RIVERO,otras vacunaciones,covid 3ra dosis,2022-03-01,28,45,0,0,28,45,73
VILLA SERRANO,otras vacunaciones,covid 3ra dosis,2022-03-01,39,37,4,4,43,41,84
VILLA TUNARI,otras vacunaciones,covid 3ra dosis,2022-03-01,545,520,351,291,896,811,1707
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid 3ra dosis,2022-03-01,39,52,39,29,78,81,159
VILLAZON,otras vacunaciones,covid 3ra dosis,2022-03-01,185,282,102,131,287,413,700
VINTO,otras vacunaciones,covid 3ra dosis,2022-03-01,183,318,191,389,374,707,1081
VITICHI,otras vacunaciones,covid 3ra dosis,2022-03-01,21,42,29,46,50,88,138
WALDO BALLIVIAN,otras vacunaciones,covid 3ra dosis,2022-03-01,4,1,0,0,4,1,5
WARNES,otras vacunaciones,covid 3ra dosis,2022-03-01,123,102,23,21,146,123,269
YACO,otras vacunaciones,covid 3ra dosis,2022-03-01,7,13,21,16,28,29,57
YACUIBA,otras vacunaciones,covid 3ra dosis,2022-03-01,269,294,320,283,589,577,1166
YAMPARAEZ,otras vacunaciones,covid 3ra dosis,2022-03-01,17,21,27,24,44,45,89
YANACACHI,otras vacunaciones,covid 3ra dosis,2022-03-01,5,24,11,10,16,34,50
YAPACANI,otras vacunaciones,covid 3ra dosis,2022-03-01,76,67,10,9,86,76,162
YOCALLA,otras vacunaciones,covid 3ra dosis,2022-03-01,3,6,24,36,27,42,69
YOTALA,otras vacunaciones,covid 3ra dosis,2022-03-01,34,39,23,33,57,72,129
YUNCHARA,otras vacunaciones,covid 3ra dosis,2022-03-01,20,20,42,62,62,82,144
YUNGUYO DE LITORAL,otras vacunaciones,covid 3ra dosis,2022-03-01,3,6,0,0,3,6,9
ZUDAÑEZ,otras vacunaciones,covid 3ra dosis,2022-03-01,15,16,17,21,32,37,69
ACACIO,otras vacunaciones,covid 3ra dosis,2022-04-01,2,1,13,6,15,7,22
ACHACACHI,otras vacunaciones,covid 3ra dosis,2022-04-01,11,8,18,2,29,10,39
AIQUILE,otras vacunaciones,covid 3ra dosis,2022-04-01,9,23,17,26,26,49,75
ALALAY,otras vacunaciones,covid 3ra dosis,2022-04-01,20,19,0,0,20,19,39
ALCALA,otras vacunaciones,covid 3ra dosis,2022-04-01,34,26,31,55,65,81,146
ALTO BENI,otras vacunaciones,covid 3ra dosis,2022-04-01,0,1,5,4,5,5,10
ANCORAIMES,otras vacunaciones,covid 3ra dosis,2022-04-01,14,22,0,0,14,22,36
ANTEQUERA,otras vacunaciones,covid 3ra dosis,2022-04-01,1,1,0,0,1,1,2
ANZALDO,otras vacunaciones,covid 3ra dosis,2022-04-01,7,6,14,14,21,20,41
APOLO,otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,1,0,1,0,1
ARAMPAMPA,otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,2,2,2,2,4
ARANI,otras vacunaciones,covid 3ra dosis,2022-04-01,48,70,6,6,54,76,130
ARBIETO,otras vacunaciones,covid 3ra dosis,2022-04-01,48,51,3,4,51,55,106
ARQUE,otras vacunaciones,covid 3ra dosis,2022-04-01,10,9,13,15,23,24,47
ASCENCION DE GUARAYOS,otras vacunaciones,covid 3ra dosis,2022-04-01,1,0,7,6,8,6,14
ATOCHA,otras vacunaciones,covid 3ra dosis,2022-04-01,54,51,92,125,146,176,322
AUCAPATA,otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,1,2,1,2,3
AYATA,otras vacunaciones,covid 3ra dosis,2022-04-01,1,3,0,0,1,3,4
AYO AYO,otras vacunaciones,covid 3ra dosis,2022-04-01,11,17,10,18,21,35,56
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid 3ra dosis,2022-04-01,27,48,35,41,62,89,151
AZURDUY,otras vacunaciones,covid 3ra dosis,2022-04-01,12,14,3,5,15,19,34
BAURES,otras vacunaciones,covid 3ra dosis,2022-04-01,4,2,41,58,45,60,105
BELEN DE ANDAMARCA,otras vacunaciones,covid 3ra dosis,2022-04-01,4,5,0,0,4,5,9
BELEN DE URMIRI,otras vacunaciones,covid 3ra dosis,2022-04-01,1,0,3,6,4,6,10
BELLA FLOR,otras vacunaciones,covid 3ra dosis,2022-04-01,6,2,19,26,25,28,53
BETANZOS,otras vacunaciones,covid 3ra dosis,2022-04-01,46,40,25,18,71,58,129
BOLIVAR,otras vacunaciones,covid 3ra dosis,2022-04-01,6,3,13,16,19,19,38
BOLPEBRA,otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,6,9,6,9,15
BOYUIBE,otras vacunaciones,covid 3ra dosis,2022-04-01,57,27,30,39,87,66,153
BUENA VISTA,otras vacunaciones,covid 3ra dosis,2022-04-01,40,46,143,27,183,73,256
CABEZAS,otras vacunaciones,covid 3ra dosis,2022-04-01,101,97,0,0,101,97,198
CAIROMA,otras vacunaciones,covid 3ra dosis,2022-04-01,14,17,48,46,62,63,125
"CAIZA ""D""",otras vacunaciones,covid 3ra dosis,2022-04-01,2,2,0,0,2,2,4
CAJUATA,otras vacunaciones,covid 3ra dosis,2022-04-01,9,11,38,31,47,42,89
CALACOTO,otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,3,3,3,3,6
CALAMARCA,otras vacunaciones,covid 3ra dosis,2022-04-01,34,35,26,37,60,72,132
CAMARGO,otras vacunaciones,covid 3ra dosis,2022-04-01,68,88,12,21,80,109,189
CAMIRI,otras vacunaciones,covid 3ra dosis,2022-04-01,187,286,15,15,202,301,503
CAPINOTA,otras vacunaciones,covid 3ra dosis,2022-04-01,121,48,21,15,142,63,205
CAQUIAVIRI,otras vacunaciones,covid 3ra dosis,2022-04-01,9,5,12,9,21,14,35
CARACOLLO,otras vacunaciones,covid 3ra dosis,2022-04-01,2,12,11,2,13,14,27
CARANAVI,otras vacunaciones,covid 3ra dosis,2022-04-01,11,6,0,0,11,6,17
CARAPARI,otras vacunaciones,covid 3ra dosis,2022-04-01,41,67,0,0,41,67,108
CARIPUYO,otras vacunaciones,covid 3ra dosis,2022-04-01,1,4,0,0,1,4,5
CARMEN RIVERO TORREZ,otras vacunaciones,covid 3ra dosis,2022-04-01,6,5,0,0,6,5,11
CATACORA,otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,3,4,3,4,7
CHALLAPATA,otras vacunaciones,covid 3ra dosis,2022-04-01,66,4,3,1,69,5,74
CHAQUI,otras vacunaciones,covid 3ra dosis,2022-04-01,0,3,3,5,3,8,11
CHARAGUA,otras vacunaciones,covid 3ra dosis,2022-04-01,55,74,36,49,91,123,214
CHARAÑA,otras vacunaciones,covid 3ra dosis,2022-04-01,3,3,9,14,12,17,29
CHAYANTA,otras vacunaciones,covid 3ra dosis,2022-04-01,1,2,0,0,1,2,3
CHIMORE,otras vacunaciones,covid 3ra dosis,2022-04-01,19,16,147,159,166,175,341
CHIPAYA,otras vacunaciones,covid 3ra dosis,2022-04-01,1,1,2,1,3,2,5
CHUA COCANI,otras vacunaciones,covid 3ra dosis,2022-04-01,40,46,0,0,40,46,86
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid 3ra dosis,2022-04-01,43,65,0,0,43,65,108
CHUMA,otras vacunaciones,covid 3ra dosis,2022-04-01,1,1,19,19,20,20,40
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid 3ra dosis,2022-04-01,1,3,3,5,4,8,12
CKOCHAS,otras vacunaciones,covid 3ra dosis,2022-04-01,1,4,2,0,3,4,7
CLIZA,otras vacunaciones,covid 3ra dosis,2022-04-01,42,46,54,89,96,135,231
COBIJA,otras vacunaciones,covid 3ra dosis,2022-04-01,126,88,442,294,568,382,950
COCAPATA,otras vacunaciones,covid 3ra dosis,2022-04-01,44,78,3,4,47,82,129
COCHABAMBA,otras vacunaciones,covid 3ra dosis,2022-04-01,5320,6864,2116,2314,7436,9178,16614
COLCAPIRHUA,otras vacunaciones,covid 3ra dosis,2022-04-01,51,47,418,436,469,483,952
"COLCHA ""K""",otras vacunaciones,covid 3ra dosis,2022-04-01,362,133,22,22,384,155,539
COLLANA,otras vacunaciones,covid 3ra dosis,2022-04-01,10,9,15,19,25,28,53
COLOMI,otras vacunaciones,covid 3ra dosis,2022-04-01,23,23,17,13,40,36,76
COLPA BELGICA,otras vacunaciones,covid 3ra dosis,2022-04-01,51,43,0,0,51,43,94
COLQUECHACA,otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,8,17,8,17,25
COLQUENCHA,otras vacunaciones,covid 3ra dosis,2022-04-01,41,27,9,10,50,37,87
COLQUIRI,otras vacunaciones,covid 3ra dosis,2022-04-01,10,14,146,221,156,235,391
COMANCHE,otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,1,5,1,5,6
COMARAPA,otras vacunaciones,covid 3ra dosis,2022-04-01,2,2,0,0,2,2,4
COMBAYA,otras vacunaciones,covid 3ra dosis,2022-04-01,26,29,1,0,27,29,56
CONCEPCION,otras vacunaciones,covid 3ra dosis,2022-04-01,226,248,59,42,285,290,575
CORIPATA,otras vacunaciones,covid 3ra dosis,2022-04-01,12,3,19,20,31,23,54
CORO CORO,otras vacunaciones,covid 3ra dosis,2022-04-01,16,10,6,9,22,19,41
COROICO,otras vacunaciones,covid 3ra dosis,2022-04-01,5,18,39,43,44,61,105
CORQUE,otras vacunaciones,covid 3ra dosis,2022-04-01,17,33,0,0,17,33,50
COTAGAITA,otras vacunaciones,covid 3ra dosis,2022-04-01,35,48,27,40,62,88,150
COTOCA,otras vacunaciones,covid 3ra dosis,2022-04-01,184,166,181,128,365,294,659
CRUZ DE MACHACAMARCA,otras vacunaciones,covid 3ra dosis,2022-04-01,2,4,0,0,2,4,6
CUATRO CAÑADAS,otras vacunaciones,covid 3ra dosis,2022-04-01,19,27,15,23,34,50,84
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid 3ra dosis,2022-04-01,2,3,0,0,2,3,5
CUEVO,otras vacunaciones,covid 3ra dosis,2022-04-01,41,10,72,111,113,121,234
CULPINA,otras vacunaciones,covid 3ra dosis,2022-04-01,8,12,0,0,8,12,20
CURAHUARA DE CARANGAS,otras vacunaciones,covid 3ra dosis,2022-04-01,2,1,0,0,2,1,3
DESAGUADERO,otras vacunaciones,covid 3ra dosis,2022-04-01,732,45,155,11,887,56,943
EL ALTO,otras vacunaciones,covid 3ra dosis,2022-04-01,1519,1206,784,815,2303,2021,4324
EL CHORO,otras vacunaciones,covid 3ra dosis,2022-04-01,0,1,0,0,0,1,1
EL PUENTE(STC),otras vacunaciones,covid 3ra dosis,2022-04-01,2,9,17,16,19,25,44
EL PUENTE(TJA),otras vacunaciones,covid 3ra dosis,2022-04-01,4,17,25,49,29,66,95
EL TORNO,otras vacunaciones,covid 3ra dosis,2022-04-01,231,290,1,3,232,293,525
EL VILLAR,otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,0,2,0,2,2
ENTRE RIOS TRJ,otras vacunaciones,covid 3ra dosis,2022-04-01,205,188,0,0,205,188,393
ENTRE RIOS CBBA,otras vacunaciones,covid 3ra dosis,2022-04-01,38,51,164,95,202,146,348
ESMERALDA,otras vacunaciones,covid 3ra dosis,2022-04-01,6,5,0,0,6,5,11
EUREKA (SANTOS MERCADO),otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,1,0,1,0,1
FERNANDEZ ALONSO,otras vacunaciones,covid 3ra dosis,2022-04-01,25,13,15,20,40,33,73
FILADELFIA,otras vacunaciones,covid 3ra dosis,2022-04-01,4,2,28,16,32,18,50
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid 3ra dosis,2022-04-01,6,3,18,14,24,17,41
GENERAL SAAVEDRA,otras vacunaciones,covid 3ra dosis,2022-04-01,14,23,0,0,14,23,37
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid 3ra dosis,2022-04-01,1,1,9,9,10,10,20
GUAQUI,otras vacunaciones,covid 3ra dosis,2022-04-01,90,16,0,0,90,16,106
GUAYARAMERIN,otras vacunaciones,covid 3ra dosis,2022-04-01,52,42,22,9,74,51,125
GUTIERREZ,otras vacunaciones,covid 3ra dosis,2022-04-01,18,30,11,9,29,39,68
HUACARETA,otras vacunaciones,covid 3ra dosis,2022-04-01,3,0,1,2,4,2,6
HUANUNI,otras vacunaciones,covid 3ra dosis,2022-04-01,10,4,0,0,10,4,14
HUARACAJE,otras vacunaciones,covid 3ra dosis,2022-04-01,21,18,0,0,21,18,39
HUARINA,otras vacunaciones,covid 3ra dosis,2022-04-01,22,15,0,0,22,15,37
HUATAJATA,otras vacunaciones,covid 3ra dosis,2022-04-01,12,14,0,0,12,14,26
ICHOCA,otras vacunaciones,covid 3ra dosis,2022-04-01,1,0,38,26,39,26,65
INQUISIVI,otras vacunaciones,covid 3ra dosis,2022-04-01,4,8,54,48,58,56,114
IXIAMAS,otras vacunaciones,covid 3ra dosis,2022-04-01,0,2,12,9,12,11,23
JESUS DE MACHACA,otras vacunaciones,covid 3ra dosis,2022-04-01,8,7,28,28,36,35,71
LA GUARDIA,otras vacunaciones,covid 3ra dosis,2022-04-01,414,316,55,67,469,383,852
LA PAZ,otras vacunaciones,covid 3ra dosis,2022-04-01,4931,5730,3297,4008,8228,9738,17966
LA RIVERA,otras vacunaciones,covid 3ra dosis,2022-04-01,3,4,0,0,3,4,7
LAGUNILLAS,otras vacunaciones,covid 3ra dosis,2022-04-01,58,93,70,108,128,201,329
LAJA,otras vacunaciones,covid 3ra dosis,2022-04-01,24,15,14,6,38,21,59
LAS CARRERAS,otras vacunaciones,covid 3ra dosis,2022-04-01,5,15,0,0,5,15,20
LICOMA PAMPA,otras vacunaciones,covid 3ra dosis,2022-04-01,2,0,21,20,23,20,43
LLALLAGUA,otras vacunaciones,covid 3ra dosis,2022-04-01,152,228,43,66,195,294,489
LLICA,otras vacunaciones,covid 3ra dosis,2022-04-01,2,5,3,4,5,9,14
LORETO,otras vacunaciones,covid 3ra dosis,2022-04-01,0,1,2,3,2,4,6
LURIBAY,otras vacunaciones,covid 3ra dosis,2022-04-01,7,10,65,57,72,67,139
MACHACAMARCA,otras vacunaciones,covid 3ra dosis,2022-04-01,1,3,0,0,1,3,4
MACHARETI,otras vacunaciones,covid 3ra dosis,2022-04-01,19,29,5,12,24,41,65
MAGDALENA,otras vacunaciones,covid 3ra dosis,2022-04-01,1,2,6,6,7,8,15
MAIRANA,otras vacunaciones,covid 3ra dosis,2022-04-01,7,15,0,0,7,15,22
MALLA,otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,22,24,22,24,46
MECAPACA,otras vacunaciones,covid 3ra dosis,2022-04-01,14,15,5,5,19,20,39
MINEROS,otras vacunaciones,covid 3ra dosis,2022-04-01,107,164,3,2,110,166,276
MIZQUE,otras vacunaciones,covid 3ra dosis,2022-04-01,35,20,20,20,55,40,95
MOCOMOCO,otras vacunaciones,covid 3ra dosis,2022-04-01,1,0,0,0,1,0,1
MOJINETE,otras vacunaciones,covid 3ra dosis,2022-04-01,4,2,0,0,4,2,6
MOJOCOYA,otras vacunaciones,covid 3ra dosis,2022-04-01,0,2,0,0,0,2,2
MONTEAGUDO,otras vacunaciones,covid 3ra dosis,2022-04-01,17,13,1,4,18,17,35
MONTERO,otras vacunaciones,covid 3ra dosis,2022-04-01,486,651,30,69,516,720,1236
MORO MORO,otras vacunaciones,covid 3ra dosis,2022-04-01,1,0,14,19,15,19,34
MOROCHATA,otras vacunaciones,covid 3ra dosis,2022-04-01,23,25,190,194,213,219,432
NAZACARA DE PACAJES,otras vacunaciones,covid 3ra dosis,2022-04-01,1,2,0,0,1,2,3
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,0,1,0,1,1
OCURI,otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,18,13,18,13,31
OMEREQUE,otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,124,142,124,142,266
ORURO,otras vacunaciones,covid 3ra dosis,2022-04-01,1447,1720,92,213,1539,1933,3472
PADILLA,otras vacunaciones,covid 3ra dosis,2022-04-01,39,62,0,0,39,62,101
PAILON,otras vacunaciones,covid 3ra dosis,2022-04-01,41,34,0,0,41,34,75
PALCA,otras vacunaciones,covid 3ra dosis,2022-04-01,17,28,20,17,37,45,82
PALOS BLANCOS,otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,11,5,11,5,16
PAMPA AULLAGAS,otras vacunaciones,covid 3ra dosis,2022-04-01,3,8,2,2,5,10,15
PAMPA GRANDE,otras vacunaciones,covid 3ra dosis,2022-04-01,12,11,12,3,24,14,38
PASORAPA,otras vacunaciones,covid 3ra dosis,2022-04-01,79,57,0,0,79,57,136
PATACAMAYA,otras vacunaciones,covid 3ra dosis,2022-04-01,154,24,0,0,154,24,178
PAZÑA,otras vacunaciones,covid 3ra dosis,2022-04-01,1,0,0,0,1,0,1
POCONA,otras vacunaciones,covid 3ra dosis,2022-04-01,12,18,26,18,38,36,74
POJO (CBBA),otras vacunaciones,covid 3ra dosis,2022-04-01,5,8,3,7,8,15,23
PORCO,otras vacunaciones,covid 3ra dosis,2022-04-01,0,1,0,2,0,3,3
POROMA,otras vacunaciones,covid 3ra dosis,2022-04-01,6,8,6,4,12,12,24
PORONGO,otras vacunaciones,covid 3ra dosis,2022-04-01,137,183,7,12,144,195,339
PORTACHUELO,otras vacunaciones,covid 3ra dosis,2022-04-01,15,33,0,0,15,33,48
PORVENIR,otras vacunaciones,covid 3ra dosis,2022-04-01,2,2,6,6,8,8,16
POTOSI,otras vacunaciones,covid 3ra dosis,2022-04-01,1066,1124,343,369,1409,1493,2902
PUCARA,otras vacunaciones,covid 3ra dosis,2022-04-01,20,27,0,0,20,27,47
PUCARANI,otras vacunaciones,covid 3ra dosis,2022-04-01,0,3,0,0,0,3,3
PUERTO GONZALO MORENO,otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,8,21,8,21,29
PUERTO PEREZ,otras vacunaciones,covid 3ra dosis,2022-04-01,2,0,23,19,25,19,44
PUERTO RICO,otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,17,20,17,20,37
PUERTO SILES,otras vacunaciones,covid 3ra dosis,2022-04-01,33,22,0,0,33,22,55
PUERTO SUAREZ,otras vacunaciones,covid 3ra dosis,2022-04-01,24,24,16,13,40,37,77
PUERTO VILLARROEL,otras vacunaciones,covid 3ra dosis,2022-04-01,55,70,168,184,223,254,477
PUNA,otras vacunaciones,covid 3ra dosis,2022-04-01,9,16,23,29,32,45,77
PUNATA,otras vacunaciones,covid 3ra dosis,2022-04-01,155,150,122,70,277,220,497
QUIABAYA,otras vacunaciones,covid 3ra dosis,2022-04-01,20,20,20,5,40,25,65
QUILLACOLLO,otras vacunaciones,covid 3ra dosis,2022-04-01,658,725,200,219,858,944,1802
QUIME,otras vacunaciones,covid 3ra dosis,2022-04-01,10,21,51,66,61,87,148
QUIRUSILLAS,otras vacunaciones,covid 3ra dosis,2022-04-01,4,7,3,5,7,12,19
RAQAYPAMPA(ETA),otras vacunaciones,covid 3ra dosis,2022-04-01,11,12,9,16,20,28,48
RAVELO,otras vacunaciones,covid 3ra dosis,2022-04-01,22,18,1,7,23,25,48
REYES,otras vacunaciones,covid 3ra dosis,2022-04-01,9,18,0,0,9,18,27
ROBORE,otras vacunaciones,covid 3ra dosis,2022-04-01,20,14,34,50,54,64,118
SACABA,otras vacunaciones,covid 3ra dosis,2022-04-01,401,451,291,429,692,880,1572
SACABAMBA,otras vacunaciones,covid 3ra dosis,2022-04-01,1,4,8,5,9,9,18
SAIPINA,otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,47,46,47,46,93
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid 3ra dosis,2022-04-01,1,6,5,5,6,11,17
SAMAIPATA,otras vacunaciones,covid 3ra dosis,2022-04-01,7,23,9,8,16,31,47
SAN AGUSTIN,otras vacunaciones,covid 3ra dosis,2022-04-01,1,1,0,0,1,1,2
SAN ANDRES,otras vacunaciones,covid 3ra dosis,2022-04-01,2,7,1,5,3,12,15
SAN ANDRES DE MACHACA,otras vacunaciones,covid 3ra dosis,2022-04-01,4,8,18,7,22,15,37
SAN ANTONIO DE ESMORUCO,otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,1,2,1,2,3
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid 3ra dosis,2022-04-01,1,2,5,4,6,6,12
SAN BENITO,otras vacunaciones,covid 3ra dosis,2022-04-01,84,126,1,4,85,130,215
SAN BORJA,otras vacunaciones,covid 3ra dosis,2022-04-01,13,11,32,47,45,58,103
SAN BUENA VENTURA,otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,12,13,12,13,25
SAN CARLOS,otras vacunaciones,covid 3ra dosis,2022-04-01,23,32,7,21,30,53,83
SAN IGNACIO,otras vacunaciones,covid 3ra dosis,2022-04-01,2,1,8,13,10,14,24
SAN IGNACIO DE VELASCO,otras vacunaciones,covid 3ra dosis,2022-04-01,61,59,0,0,61,59,120
SAN JAVIER(STC),otras vacunaciones,covid 3ra dosis,2022-04-01,118,148,0,0,118,148,266
SAN JOAQUIN,otras vacunaciones,covid 3ra dosis,2022-04-01,148,35,0,0,148,35,183
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid 3ra dosis,2022-04-01,12,13,14,17,26,30,56
SAN JUAN DE YAPACANI,otras vacunaciones,covid 3ra dosis,2022-04-01,13,28,14,13,27,41,68
SAN JULIAN,otras vacunaciones,covid 3ra dosis,2022-04-01,10,7,0,0,10,7,17
SAN LORENZO(PND),otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,1,4,1,4,5
SAN LORENZO(TJA),otras vacunaciones,covid 3ra dosis,2022-04-01,33,51,25,48,58,99,157
SAN LUCAS,otras vacunaciones,covid 3ra dosis,2022-04-01,4,3,0,0,4,3,7
SAN MATIAS,otras vacunaciones,covid 3ra dosis,2022-04-01,3,4,7,6,10,10,20
SAN MIGUEL DE VELASCO,otras vacunaciones,covid 3ra dosis,2022-04-01,17,39,33,57,50,96,146
SAN PABLO DE LIPEZ,otras vacunaciones,covid 3ra dosis,2022-04-01,2,2,2,4,4,6,10
SAN PEDRO,otras vacunaciones,covid 3ra dosis,2022-04-01,11,6,3,2,14,8,22
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid 3ra dosis,2022-04-01,0,1,0,0,0,1,1
SAN PEDRO DE MACHA,otras vacunaciones,covid 3ra dosis,2022-04-01,9,6,3,12,12,18,30
SAN PEDRO DE TIQUINA,otras vacunaciones,covid 3ra dosis,2022-04-01,16,10,4,1,20,11,31
SAN PEDRO(PND),otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,32,21,32,21,53
SAN RAFAEL,otras vacunaciones,covid 3ra dosis,2022-04-01,78,100,0,0,78,100,178
SAN RAMON BENI,otras vacunaciones,covid 3ra dosis,2022-04-01,65,65,0,0,65,65,130
SAN RAMON SCZ,otras vacunaciones,covid 3ra dosis,2022-04-01,61,117,0,0,61,117,178
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid 3ra dosis,2022-04-01,8470,9114,3320,4048,11790,13162,24952
SANTA ROSA,otras vacunaciones,covid 3ra dosis,2022-04-01,9,3,0,0,9,3,12
SANTA ROSA DEL SARA,otras vacunaciones,covid 3ra dosis,2022-04-01,2,1,0,0,2,1,3
SANTIAGO DE HUARI,otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,42,48,42,48,90
SANTIAGO DE HUATA,otras vacunaciones,covid 3ra dosis,2022-04-01,57,31,0,0,57,31,88
SANTIAGO DE MACHACA,otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,6,3,6,3,9
SANTIVAÑES,otras vacunaciones,covid 3ra dosis,2022-04-01,19,25,0,0,19,25,44
SANTUARIO DE QUILLACAS,otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,0,2,0,2,2
SAPAHAQUI,otras vacunaciones,covid 3ra dosis,2022-04-01,15,10,20,18,35,28,63
SENA,otras vacunaciones,covid 3ra dosis,2022-04-01,0,0,12,17,12,17,29
SHINAOTA,otras vacunaciones,covid 3ra dosis,2022-04-01,17,34,0,0,17,34,51
SICAYA,otras vacunaciones,covid 3ra dosis,2022-04-01,3,4,17,25,20,29,49
SIPE SIPE,otras vacunaciones,covid 3ra dosis,2022-04-01,52,68,184,227,236,295,531
