,group,variable,month,17.23 COVID 1RA DOSIS DENTRO,17.23 COVID 1RA DOSIS DENTRO,17.23 COVID 1RA DOSIS FUERA,17.23 COVID 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
SOPACHUY,otras vacunaciones,covid 1ra dosis,2022-02-01,42,39,12,8,54,47,101
SORACACHI,otras vacunaciones,covid 1ra dosis,2022-02-01,58,57,0,0,58,57,115
SORATA,otras vacunaciones,covid 1ra dosis,2022-02-01,49,51,63,23,112,74,186
SUCRE,otras vacunaciones,covid 1ra dosis,2022-02-01,3142,3362,158,156,3300,3518,6818
TACACHI,otras vacunaciones,covid 1ra dosis,2022-02-01,4,3,0,0,4,3,7
TACACOMA,otras vacunaciones,covid 1ra dosis,2022-02-01,41,25,13,8,54,33,87
TACOBAMBA,otras vacunaciones,covid 1ra dosis,2022-02-01,7,9,68,92,75,101,176
TACOPAYA,otras vacunaciones,covid 1ra dosis,2022-02-01,9,8,16,19,25,27,52
TAHUA,otras vacunaciones,covid 1ra dosis,2022-02-01,0,2,0,0,0,2,2
TAPACARI,otras vacunaciones,covid 1ra dosis,2022-02-01,181,165,0,0,181,165,346
TARABUCO,otras vacunaciones,covid 1ra dosis,2022-02-01,25,26,14,18,39,44,83
TARACO,otras vacunaciones,covid 1ra dosis,2022-02-01,47,39,9,10,56,49,105
TARATA,otras vacunaciones,covid 1ra dosis,2022-02-01,60,46,9,10,69,56,125
TARIJA,otras vacunaciones,covid 1ra dosis,2022-02-01,1437,1375,2029,2079,3466,3454,6920
TARVITA,otras vacunaciones,covid 1ra dosis,2022-02-01,18,24,55,54,73,78,151
TEOPONTE,otras vacunaciones,covid 1ra dosis,2022-02-01,11,5,6,6,17,11,28
TIAHUANACU,otras vacunaciones,covid 1ra dosis,2022-02-01,62,56,92,91,154,147,301
TINGUIPAYA,otras vacunaciones,covid 1ra dosis,2022-02-01,13,17,38,28,51,45,96
TIPUANI,otras vacunaciones,covid 1ra dosis,2022-02-01,4,0,15,28,19,28,47
TIQUIPAYA,otras vacunaciones,covid 1ra dosis,2022-02-01,994,950,87,89,1081,1039,2120
TIRAQUE (CBBA),otras vacunaciones,covid 1ra dosis,2022-02-01,41,55,4,1,45,56,101
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,covid 1ra dosis,2022-02-01,4,2,0,0,4,2,6
TOCO,otras vacunaciones,covid 1ra dosis,2022-02-01,128,152,1,1,129,153,282
TODOS SANTOS,otras vacunaciones,covid 1ra dosis,2022-02-01,10,11,0,0,10,11,21
TOLATA,otras vacunaciones,covid 1ra dosis,2022-02-01,28,28,3,4,31,32,63
TOLEDO,otras vacunaciones,covid 1ra dosis,2022-02-01,85,66,1,0,86,66,152
TOMAVE,otras vacunaciones,covid 1ra dosis,2022-02-01,14,21,87,53,101,74,175
TOMINA,otras vacunaciones,covid 1ra dosis,2022-02-01,67,60,18,13,85,73,158
TORO TORO,otras vacunaciones,covid 1ra dosis,2022-02-01,33,33,17,14,50,47,97
TOTORA(CBBA),otras vacunaciones,covid 1ra dosis,2022-02-01,39,34,25,45,64,79,143
TOTORA(ORR),otras vacunaciones,covid 1ra dosis,2022-02-01,7,6,0,0,7,6,13
TRIGAL,otras vacunaciones,covid 1ra dosis,2022-02-01,10,3,6,6,16,9,25
TRINIDAD,otras vacunaciones,covid 1ra dosis,2022-02-01,422,495,88,100,510,595,1105
TUPIZA,otras vacunaciones,covid 1ra dosis,2022-02-01,836,835,196,177,1032,1012,2044
TURCO,otras vacunaciones,covid 1ra dosis,2022-02-01,32,42,0,0,32,42,74
UMALA,otras vacunaciones,covid 1ra dosis,2022-02-01,32,33,5,5,37,38,75
UNCIA,otras vacunaciones,covid 1ra dosis,2022-02-01,36,37,50,48,86,85,171
URIONDO (A. CONCEPCION),otras vacunaciones,covid 1ra dosis,2022-02-01,218,226,0,0,218,226,444
URUBICHA,otras vacunaciones,covid 1ra dosis,2022-02-01,32,31,1,3,33,34,67
UYUNI,otras vacunaciones,covid 1ra dosis,2022-02-01,15,23,190,198,205,221,426
VACAS,otras vacunaciones,covid 1ra dosis,2022-02-01,26,31,1,0,27,31,58
VALLEGRANDE,otras vacunaciones,covid 1ra dosis,2022-02-01,194,174,71,63,265,237,502
VIACHA,otras vacunaciones,covid 1ra dosis,2022-02-01,609,597,426,491,1035,1088,2123
VILA VILA,otras vacunaciones,covid 1ra dosis,2022-02-01,12,12,40,52,52,64,116
VILLA CHARCAS,otras vacunaciones,covid 1ra dosis,2022-02-01,42,42,65,62,107,104,211
VILLA MONTES,otras vacunaciones,covid 1ra dosis,2022-02-01,176,165,197,210,373,375,748
VILLA NUEVA (LOMA ALTA),otras vacunaciones,covid 1ra dosis,2022-02-01,0,1,2,3,2,4,6
VILLA RIVERO,otras vacunaciones,covid 1ra dosis,2022-02-01,66,96,3,3,69,99,168
VILLA SERRANO,otras vacunaciones,covid 1ra dosis,2022-02-01,30,19,20,28,50,47,97
VILLA TUNARI,otras vacunaciones,covid 1ra dosis,2022-02-01,363,400,198,181,561,581,1142
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid 1ra dosis,2022-02-01,47,29,60,34,107,63,170
VILLAZON,otras vacunaciones,covid 1ra dosis,2022-02-01,348,394,438,398,786,792,1578
VINTO,otras vacunaciones,covid 1ra dosis,2022-02-01,404,416,406,471,810,887,1697
VITICHI,otras vacunaciones,covid 1ra dosis,2022-02-01,28,34,41,38,69,72,141
WALDO BALLIVIAN,otras vacunaciones,covid 1ra dosis,2022-02-01,7,4,0,0,7,4,11
WARNES,otras vacunaciones,covid 1ra dosis,2022-02-01,322,264,46,30,368,294,662
YACO,otras vacunaciones,covid 1ra dosis,2022-02-01,3,8,16,17,19,25,44
YACUIBA,otras vacunaciones,covid 1ra dosis,2022-02-01,416,433,837,814,1253,1247,2500
YAMPARAEZ,otras vacunaciones,covid 1ra dosis,2022-02-01,42,37,67,48,109,85,194
YANACACHI,otras vacunaciones,covid 1ra dosis,2022-02-01,5,3,7,8,12,11,23
YAPACANI,otras vacunaciones,covid 1ra dosis,2022-02-01,155,243,46,46,201,289,490
YOCALLA,otras vacunaciones,covid 1ra dosis,2022-02-01,149,133,62,58,211,191,402
YOTALA,otras vacunaciones,covid 1ra dosis,2022-02-01,31,28,31,26,62,54,116
YUNCHARA,otras vacunaciones,covid 1ra dosis,2022-02-01,25,23,95,70,120,93,213
YUNGUYO DE LITORAL,otras vacunaciones,covid 1ra dosis,2022-02-01,12,15,0,0,12,15,27
ZUDAÑEZ,otras vacunaciones,covid 1ra dosis,2022-02-01,36,42,18,23,54,65,119
ACACIO,otras vacunaciones,covid 1ra dosis,2022-03-01,0,0,4,10,4,10,14
ACHACACHI,otras vacunaciones,covid 1ra dosis,2022-03-01,27,34,55,66,82,100,182
AIQUILE,otras vacunaciones,covid 1ra dosis,2022-03-01,71,85,130,125,201,210,411
ALALAY,otras vacunaciones,covid 1ra dosis,2022-03-01,2,0,0,0,2,0,2
ALCALA,otras vacunaciones,covid 1ra dosis,2022-03-01,2,4,9,4,11,8,19
ALTO BENI,otras vacunaciones,covid 1ra dosis,2022-03-01,13,7,12,14,25,21,46
ANCORAIMES,otras vacunaciones,covid 1ra dosis,2022-03-01,10,9,5,1,15,10,25
ANDAMARCA,otras vacunaciones,covid 1ra dosis,2022-03-01,31,43,0,0,31,43,74
ANTEQUERA,otras vacunaciones,covid 1ra dosis,2022-03-01,18,19,0,0,18,19,37
ANZALDO,otras vacunaciones,covid 1ra dosis,2022-03-01,38,33,13,21,51,54,105
APOLO,otras vacunaciones,covid 1ra dosis,2022-03-01,47,8,10,11,57,19,76
ARAMPAMPA,otras vacunaciones,covid 1ra dosis,2022-03-01,0,0,34,33,34,33,67
ARANI,otras vacunaciones,covid 1ra dosis,2022-03-01,53,50,1,3,54,53,107
ARBIETO,otras vacunaciones,covid 1ra dosis,2022-03-01,53,56,31,42,84,98,182
ARQUE,otras vacunaciones,covid 1ra dosis,2022-03-01,3,10,93,86,96,96,192
ASCENCION DE GUARAYOS,otras vacunaciones,covid 1ra dosis,2022-03-01,33,28,56,66,89,94,183
ATOCHA,otras vacunaciones,covid 1ra dosis,2022-03-01,25,21,57,65,82,86,168
AUCAPATA,otras vacunaciones,covid 1ra dosis,2022-03-01,0,0,7,3,7,3,10
AYATA,otras vacunaciones,covid 1ra dosis,2022-03-01,14,33,2,10,16,43,59
AYO AYO,otras vacunaciones,covid 1ra dosis,2022-03-01,11,8,6,7,17,15,32
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid 1ra dosis,2022-03-01,56,55,125,124,181,179,360
AZURDUY,otras vacunaciones,covid 1ra dosis,2022-03-01,11,13,7,8,18,21,39
BATALLAS,otras vacunaciones,covid 1ra dosis,2022-03-01,15,17,4,10,19,27,46
BAURES,otras vacunaciones,covid 1ra dosis,2022-03-01,27,20,26,18,53,38,91
BELEN DE ANDAMARCA,otras vacunaciones,covid 1ra dosis,2022-03-01,8,6,0,0,8,6,14
BELEN DE URMIRI,otras vacunaciones,covid 1ra dosis,2022-03-01,1,2,3,6,4,8,12
BELLA FLOR,otras vacunaciones,covid 1ra dosis,2022-03-01,0,0,23,28,23,28,51
BERMEJO,otras vacunaciones,covid 1ra dosis,2022-03-01,4,5,1,0,5,5,10
BETANZOS,otras vacunaciones,covid 1ra dosis,2022-03-01,46,52,110,118,156,170,326
BOLIVAR,otras vacunaciones,covid 1ra dosis,2022-03-01,9,9,35,36,44,45,89
BOLPEBRA,otras vacunaciones,covid 1ra dosis,2022-03-01,0,1,6,6,6,7,13
BOYUIBE,otras vacunaciones,covid 1ra dosis,2022-03-01,20,18,30,20,50,38,88
BUENA VISTA,otras vacunaciones,covid 1ra dosis,2022-03-01,14,8,4,2,18,10,28
CABEZAS,otras vacunaciones,covid 1ra dosis,2022-03-01,198,186,2,0,200,186,386
CAIROMA,otras vacunaciones,covid 1ra dosis,2022-03-01,26,25,25,36,51,61,112
"CAIZA ""D""",otras vacunaciones,covid 1ra dosis,2022-03-01,26,25,45,44,71,69,140
CAJUATA,otras vacunaciones,covid 1ra dosis,2022-03-01,13,13,6,7,19,20,39
CALACOTO,otras vacunaciones,covid 1ra dosis,2022-03-01,6,4,12,16,18,20,38
CALAMARCA,otras vacunaciones,covid 1ra dosis,2022-03-01,33,27,16,16,49,43,92
CAMARGO,otras vacunaciones,covid 1ra dosis,2022-03-01,68,54,128,110,196,164,360
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid 1ra dosis,2022-03-01,4,2,0,1,4,3,7
CAMIRI,otras vacunaciones,covid 1ra dosis,2022-03-01,215,180,2,5,217,185,402
CAPINOTA,otras vacunaciones,covid 1ra dosis,2022-03-01,150,137,67,65,217,202,419
CAQUIAVIRI,otras vacunaciones,covid 1ra dosis,2022-03-01,17,24,13,7,30,31,61
CARACOLLO,otras vacunaciones,covid 1ra dosis,2022-03-01,57,54,0,0,57,54,111
CARANAVI,otras vacunaciones,covid 1ra dosis,2022-03-01,40,51,16,24,56,75,131
CARANGAS,otras vacunaciones,covid 1ra dosis,2022-03-01,9,10,0,0,9,10,19
CARAPARI,otras vacunaciones,covid 1ra dosis,2022-03-01,124,139,4,6,128,145,273
CARIPUYO,otras vacunaciones,covid 1ra dosis,2022-03-01,1,2,5,3,6,5,11
CARMEN RIVERO TORREZ,otras vacunaciones,covid 1ra dosis,2022-03-01,25,20,0,0,25,20,45
CATACORA,otras vacunaciones,covid 1ra dosis,2022-03-01,0,0,4,0,4,0,4
CHACARILLA,otras vacunaciones,covid 1ra dosis,2022-03-01,0,1,0,0,0,1,1
CHALLAPATA,otras vacunaciones,covid 1ra dosis,2022-03-01,120,123,23,15,143,138,281
CHAQUI,otras vacunaciones,covid 1ra dosis,2022-03-01,56,55,10,18,66,73,139
CHARAGUA,otras vacunaciones,covid 1ra dosis,2022-03-01,172,133,17,19,189,152,341
CHARAÑA,otras vacunaciones,covid 1ra dosis,2022-03-01,4,3,5,3,9,6,15
CHAYANTA,otras vacunaciones,covid 1ra dosis,2022-03-01,7,8,0,1,7,9,16
CHIMORE,otras vacunaciones,covid 1ra dosis,2022-03-01,70,84,172,174,242,258,500
CHIPAYA,otras vacunaciones,covid 1ra dosis,2022-03-01,7,9,0,0,7,9,16
CHOQUE COTA,otras vacunaciones,covid 1ra dosis,2022-03-01,15,11,0,0,15,11,26
CHUA COCANI,otras vacunaciones,covid 1ra dosis,2022-03-01,2,11,6,3,8,14,22
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid 1ra dosis,2022-03-01,23,28,13,23,36,51,87
CHUMA,otras vacunaciones,covid 1ra dosis,2022-03-01,19,23,2,5,21,28,49
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid 1ra dosis,2022-03-01,11,7,6,4,17,11,28
CKOCHAS,otras vacunaciones,covid 1ra dosis,2022-03-01,88,57,45,43,133,100,233
CLIZA,otras vacunaciones,covid 1ra dosis,2022-03-01,71,44,97,90,168,134,302
COBIJA,otras vacunaciones,covid 1ra dosis,2022-03-01,143,140,177,194,320,334,654
COCAPATA,otras vacunaciones,covid 1ra dosis,2022-03-01,8,8,0,2,8,10,18
COCHABAMBA,otras vacunaciones,covid 1ra dosis,2022-03-01,5044,5130,2595,2751,7639,7881,15520
COIPASA,otras vacunaciones,covid 1ra dosis,2022-03-01,1,1,0,0,1,1,2
COLCAPIRHUA,otras vacunaciones,covid 1ra dosis,2022-03-01,99,110,457,482,556,592,1148
"COLCHA ""K""",otras vacunaciones,covid 1ra dosis,2022-03-01,70,70,18,11,88,81,169
COLLANA,otras vacunaciones,covid 1ra dosis,2022-03-01,0,2,3,9,3,11,14
COLOMI,otras vacunaciones,covid 1ra dosis,2022-03-01,14,8,75,74,89,82,171
COLPA BELGICA,otras vacunaciones,covid 1ra dosis,2022-03-01,9,7,0,0,9,7,16
COLQUECHACA,otras vacunaciones,covid 1ra dosis,2022-03-01,8,11,14,12,22,23,45
COLQUENCHA,otras vacunaciones,covid 1ra dosis,2022-03-01,43,41,4,3,47,44,91
COLQUIRI,otras vacunaciones,covid 1ra dosis,2022-03-01,23,24,80,67,103,91,194
COMANCHE,otras vacunaciones,covid 1ra dosis,2022-03-01,0,2,3,6,3,8,11
COMARAPA,otras vacunaciones,covid 1ra dosis,2022-03-01,71,97,2,5,73,102,175
COMBAYA,otras vacunaciones,covid 1ra dosis,2022-03-01,3,6,2,3,5,9,14
CONCEPCION,otras vacunaciones,covid 1ra dosis,2022-03-01,123,114,10,8,133,122,255
COPACABANA,otras vacunaciones,covid 1ra dosis,2022-03-01,11,12,5,8,16,20,36
CORIPATA,otras vacunaciones,covid 1ra dosis,2022-03-01,2,6,7,13,9,19,28
CORO CORO,otras vacunaciones,covid 1ra dosis,2022-03-01,13,13,3,2,16,15,31
COROICO,otras vacunaciones,covid 1ra dosis,2022-03-01,2,6,37,26,39,32,71
CORQUE,otras vacunaciones,covid 1ra dosis,2022-03-01,44,48,0,0,44,48,92
COTAGAITA,otras vacunaciones,covid 1ra dosis,2022-03-01,28,26,24,34,52,60,112
COTOCA,otras vacunaciones,covid 1ra dosis,2022-03-01,655,654,79,65,734,719,1453
CRUZ DE MACHACAMARCA,otras vacunaciones,covid 1ra dosis,2022-03-01,2,2,0,0,2,2,4
CUATRO CAÑADAS,otras vacunaciones,covid 1ra dosis,2022-03-01,13,14,40,29,53,43,96
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid 1ra dosis,2022-03-01,5,3,10,5,15,8,23
CUEVO,otras vacunaciones,covid 1ra dosis,2022-03-01,1,1,6,3,7,4,11
CULPINA,otras vacunaciones,covid 1ra dosis,2022-03-01,38,42,59,41,97,83,180
CURAHUARA DE CARANGAS,otras vacunaciones,covid 1ra dosis,2022-03-01,6,10,0,0,6,10,16
CURVA,otras vacunaciones,covid 1ra dosis,2022-03-01,0,0,17,14,17,14,31
DESAGUADERO,otras vacunaciones,covid 1ra dosis,2022-03-01,15,7,24,20,39,27,66
EL ALTO,otras vacunaciones,covid 1ra dosis,2022-03-01,2146,2235,879,1018,3025,3253,6278
EL CHORO,otras vacunaciones,covid 1ra dosis,2022-03-01,27,36,1,1,28,37,65
EL PUENTE(STC),otras vacunaciones,covid 1ra dosis,2022-03-01,8,9,31,38,39,47,86
EL PUENTE(TJA),otras vacunaciones,covid 1ra dosis,2022-03-01,20,18,35,26,55,44,99
EL TORNO,otras vacunaciones,covid 1ra dosis,2022-03-01,205,194,0,0,205,194,399
EL VILLAR,otras vacunaciones,covid 1ra dosis,2022-03-01,11,9,0,0,11,9,20
ENTRE RIOS TRJ,otras vacunaciones,covid 1ra dosis,2022-03-01,16,12,0,0,16,12,28
ENTRE RIOS CBBA,otras vacunaciones,covid 1ra dosis,2022-03-01,46,47,104,142,150,189,339
ESCARA,otras vacunaciones,covid 1ra dosis,2022-03-01,14,13,0,0,14,13,27
ESCOMA,otras vacunaciones,covid 1ra dosis,2022-03-01,26,22,21,15,47,37,84
ESMERALDA,otras vacunaciones,covid 1ra dosis,2022-03-01,20,6,0,0,20,6,26
EUCALIPTUS,otras vacunaciones,covid 1ra dosis,2022-03-01,6,8,0,0,6,8,14
EUREKA (SANTOS MERCADO),otras vacunaciones,covid 1ra dosis,2022-03-01,0,0,19,15,19,15,34
FERNANDEZ ALONSO,otras vacunaciones,covid 1ra dosis,2022-03-01,44,24,27,20,71,44,115
FILADELFIA,otras vacunaciones,covid 1ra dosis,2022-03-01,5,5,72,54,77,59,136
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid 1ra dosis,2022-03-01,5,3,29,23,34,26,60
GENERAL SAAVEDRA,otras vacunaciones,covid 1ra dosis,2022-03-01,61,59,7,5,68,64,132
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid 1ra dosis,2022-03-01,8,11,7,3,15,14,29
GUANAY,otras vacunaciones,covid 1ra dosis,2022-03-01,3,2,18,21,21,23,44
GUAQUI,otras vacunaciones,covid 1ra dosis,2022-03-01,11,16,1,0,12,16,28
GUAYARAMERIN,otras vacunaciones,covid 1ra dosis,2022-03-01,26,35,51,26,77,61,138
GUTIERREZ,otras vacunaciones,covid 1ra dosis,2022-03-01,112,74,9,4,121,78,199
HUACARETA,otras vacunaciones,covid 1ra dosis,2022-03-01,8,6,16,14,24,20,44
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid 1ra dosis,2022-03-01,3,8,3,3,6,11,17
HUACHACALLA,otras vacunaciones,covid 1ra dosis,2022-03-01,14,6,0,0,14,6,20
HUANUNI,otras vacunaciones,covid 1ra dosis,2022-03-01,109,111,0,0,109,111,220
HUARACAJE,otras vacunaciones,covid 1ra dosis,2022-03-01,33,12,5,5,38,17,55
HUARINA,otras vacunaciones,covid 1ra dosis,2022-03-01,33,23,39,31,72,54,126
HUATAJATA,otras vacunaciones,covid 1ra dosis,2022-03-01,8,9,5,0,13,9,22
HUAYLLAMARCA,otras vacunaciones,covid 1ra dosis,2022-03-01,52,54,13,18,65,72,137
HUMANATA,otras vacunaciones,covid 1ra dosis,2022-03-01,8,6,1,2,9,8,17
ICHOCA,otras vacunaciones,covid 1ra dosis,2022-03-01,10,12,0,1,10,13,23
ICLA,otras vacunaciones,covid 1ra dosis,2022-03-01,25,25,75,66,100,91,191
INCAHUASI,otras vacunaciones,covid 1ra dosis,2022-03-01,12,19,13,13,25,32,57
INGAVI (HUMAITA),otras vacunaciones,covid 1ra dosis,2022-03-01,10,9,7,9,17,18,35
INQUISIVI,otras vacunaciones,covid 1ra dosis,2022-03-01,17,11,72,53,89,64,153
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid 1ra dosis,2022-03-01,5,10,3,1,8,11,19
IXIAMAS,otras vacunaciones,covid 1ra dosis,2022-03-01,0,0,10,9,10,9,19
JESUS DE MACHACA,otras vacunaciones,covid 1ra dosis,2022-03-01,51,61,30,30,81,91,172
LA ASUNTA,otras vacunaciones,covid 1ra dosis,2022-03-01,23,17,3,5,26,22,48
LA GUARDIA,otras vacunaciones,covid 1ra dosis,2022-03-01,760,735,268,256,1028,991,2019
LA PAZ,otras vacunaciones,covid 1ra dosis,2022-03-01,3431,3532,2373,2430,5804,5962,11766
LA RIVERA,otras vacunaciones,covid 1ra dosis,2022-03-01,1,1,0,0,1,1,2
LAGUNILLAS,otras vacunaciones,covid 1ra dosis,2022-03-01,41,35,38,35,79,70,149
LAJA,otras vacunaciones,covid 1ra dosis,2022-03-01,42,40,25,27,67,67,134
LAS CARRERAS,otras vacunaciones,covid 1ra dosis,2022-03-01,18,18,0,0,18,18,36
LICOMA PAMPA,otras vacunaciones,covid 1ra dosis,2022-03-01,0,0,6,5,6,5,11
LLALLAGUA,otras vacunaciones,covid 1ra dosis,2022-03-01,297,346,110,93,407,439,846
LLICA,otras vacunaciones,covid 1ra dosis,2022-03-01,8,5,0,2,8,7,15
LORETO,otras vacunaciones,covid 1ra dosis,2022-03-01,0,0,4,2,4,2,6
LURIBAY,otras vacunaciones,covid 1ra dosis,2022-03-01,5,9,25,23,30,32,62
MACHACAMARCA,otras vacunaciones,covid 1ra dosis,2022-03-01,8,14,0,0,8,14,22
MACHARETI,otras vacunaciones,covid 1ra dosis,2022-03-01,18,17,15,12,33,29,62
MAGDALENA,otras vacunaciones,covid 1ra dosis,2022-03-01,8,2,15,22,23,24,47
MAIRANA,otras vacunaciones,covid 1ra dosis,2022-03-01,17,11,27,19,44,30,74
MALLA,otras vacunaciones,covid 1ra dosis,2022-03-01,0,0,8,8,8,8,16
MAPIRI,otras vacunaciones,covid 1ra dosis,2022-03-01,9,4,1,1,10,5,15
MECAPACA,otras vacunaciones,covid 1ra dosis,2022-03-01,61,53,17,18,78,71,149
MINEROS,otras vacunaciones,covid 1ra dosis,2022-03-01,177,203,7,5,184,208,392
MIZQUE,otras vacunaciones,covid 1ra dosis,2022-03-01,23,23,128,154,151,177,328
MOCOMOCO,otras vacunaciones,covid 1ra dosis,2022-03-01,39,38,63,51,102,89,191
MOJINETE,otras vacunaciones,covid 1ra dosis,2022-03-01,1,1,0,0,1,1,2
MOJOCOYA,otras vacunaciones,covid 1ra dosis,2022-03-01,37,41,70,62,107,103,210
MONTEAGUDO,otras vacunaciones,covid 1ra dosis,2022-03-01,73,68,291,244,364,312,676
MONTERO,otras vacunaciones,covid 1ra dosis,2022-03-01,498,447,340,383,838,830,1668
MORO MORO,otras vacunaciones,covid 1ra dosis,2022-03-01,1,2,26,11,27,13,40
MOROCHATA,otras vacunaciones,covid 1ra dosis,2022-03-01,5,4,132,148,137,152,289
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid 1ra dosis,2022-03-01,2,1,3,3,5,4,9
NAZACARA DE PACAJES,otras vacunaciones,covid 1ra dosis,2022-03-01,1,1,0,0,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,covid 1ra dosis,2022-03-01,0,0,21,22,21,22,43
OCURI,otras vacunaciones,covid 1ra dosis,2022-03-01,3,3,27,26,30,29,59
OKINAWA,otras vacunaciones,covid 1ra dosis,2022-03-01,60,74,0,0,60,74,134
OMEREQUE,otras vacunaciones,covid 1ra dosis,2022-03-01,0,0,35,41,35,41,76
ORURO,otras vacunaciones,covid 1ra dosis,2022-03-01,4281,4474,1180,1132,5461,5606,11067
PADCAYA,otras vacunaciones,covid 1ra dosis,2022-03-01,18,15,6,5,24,20,44
PADILLA,otras vacunaciones,covid 1ra dosis,2022-03-01,48,46,0,0,48,46,94
PAILON,otras vacunaciones,covid 1ra dosis,2022-03-01,185,168,0,0,185,168,353
PALCA,otras vacunaciones,covid 1ra dosis,2022-03-01,111,98,39,42,150,140,290
PALOS BLANCOS,otras vacunaciones,covid 1ra dosis,2022-03-01,27,19,17,25,44,44,88
PAMPA AULLAGAS,otras vacunaciones,covid 1ra dosis,2022-03-01,5,11,0,1,5,12,17
PAMPA GRANDE,otras vacunaciones,covid 1ra dosis,2022-03-01,2,4,10,12,12,16,28
PAPEL PAMPA,otras vacunaciones,covid 1ra dosis,2022-03-01,5,8,2,1,7,9,16
PASORAPA,otras vacunaciones,covid 1ra dosis,2022-03-01,15,11,0,0,15,11,26
PATACAMAYA,otras vacunaciones,covid 1ra dosis,2022-03-01,36,26,0,0,36,26,62
PAZÑA,otras vacunaciones,covid 1ra dosis,2022-03-01,7,2,11,16,18,18,36
PELECHUCO,otras vacunaciones,covid 1ra dosis,2022-03-01,10,11,0,1,10,12,22
POCOATA,otras vacunaciones,covid 1ra dosis,2022-03-01,5,1,7,7,12,8,20
POCONA,otras vacunaciones,covid 1ra dosis,2022-03-01,69,79,35,27,104,106,210
POJO (CBBA),otras vacunaciones,covid 1ra dosis,2022-03-01,42,45,10,8,52,53,105
POOPO,otras vacunaciones,covid 1ra dosis,2022-03-01,48,46,11,12,59,58,117
PORCO,otras vacunaciones,covid 1ra dosis,2022-03-01,22,22,4,7,26,29,55
POROMA,otras vacunaciones,covid 1ra dosis,2022-03-01,23,22,26,26,49,48,97
PORONGO,otras vacunaciones,covid 1ra dosis,2022-03-01,81,70,0,0,81,70,151
PORTACHUELO,otras vacunaciones,covid 1ra dosis,2022-03-01,58,61,0,0,58,61,119
PORVENIR,otras vacunaciones,covid 1ra dosis,2022-03-01,12,5,24,30,36,35,71
POSTRER VALLE,otras vacunaciones,covid 1ra dosis,2022-03-01,13,16,6,7,19,23,42
POTOSI,otras vacunaciones,covid 1ra dosis,2022-03-01,2790,2987,1464,1318,4254,4305,8559
PRESTO,otras vacunaciones,covid 1ra dosis,2022-03-01,2,2,35,28,37,30,67
PUCARA,otras vacunaciones,covid 1ra dosis,2022-03-01,11,6,0,0,11,6,17
PUCARANI,otras vacunaciones,covid 1ra dosis,2022-03-01,46,36,9,6,55,42,97
PUERTO ACOSTA,otras vacunaciones,covid 1ra dosis,2022-03-01,10,13,5,6,15,19,34
PUERTO CARABUCO,otras vacunaciones,covid 1ra dosis,2022-03-01,0,1,27,45,27,46,73
PUERTO GONZALO MORENO,otras vacunaciones,covid 1ra dosis,2022-03-01,0,1,29,34,29,35,64
PUERTO PEREZ,otras vacunaciones,covid 1ra dosis,2022-03-01,19,20,12,10,31,30,61
PUERTO RICO,otras vacunaciones,covid 1ra dosis,2022-03-01,7,10,49,54,56,64,120
PUERTO SILES,otras vacunaciones,covid 1ra dosis,2022-03-01,0,6,0,3,0,9,9
PUERTO SUAREZ,otras vacunaciones,covid 1ra dosis,2022-03-01,7,9,14,14,21,23,44
PUERTO VILLARROEL,otras vacunaciones,covid 1ra dosis,2022-03-01,123,122,456,412,579,534,1113
PUNA,otras vacunaciones,covid 1ra dosis,2022-03-01,52,41,50,52,102,93,195
PUNATA,otras vacunaciones,covid 1ra dosis,2022-03-01,339,336,60,77,399,413,812
QUIABAYA,otras vacunaciones,covid 1ra dosis,2022-03-01,0,10,10,8,10,18,28
QUILLACOLLO,otras vacunaciones,covid 1ra dosis,2022-03-01,973,936,718,762,1691,1698,3389
QUIME,otras vacunaciones,covid 1ra dosis,2022-03-01,5,7,18,16,23,23,46
QUIRUSILLAS,otras vacunaciones,covid 1ra dosis,2022-03-01,15,8,1,4,16,12,28
RAQAYPAMPA(ETA),otras vacunaciones,covid 1ra dosis,2022-03-01,1,11,40,38,41,49,90
RAVELO,otras vacunaciones,covid 1ra dosis,2022-03-01,4,13,23,26,27,39,66
REYES,otras vacunaciones,covid 1ra dosis,2022-03-01,12,5,0,0,12,5,17
RIBERALTA,otras vacunaciones,covid 1ra dosis,2022-03-01,167,176,5,10,172,186,358
ROBORE,otras vacunaciones,covid 1ra dosis,2022-03-01,54,39,73,51,127,90,217
RURRENABAQUE,otras vacunaciones,covid 1ra dosis,2022-03-01,7,6,2,4,9,10,19
