,group,variable,month,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) DENTRO,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) DENTRO,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) FUERA,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) FUERA,TOTALES,TOTALES,TOTALES
CONCEPCION,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,2,2,0,4,2,6,8
COPACABANA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,0,0,1,0,1,1
COROICO,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,2,4,0,0,2,4,6
CORQUE,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,31,4,0,0,31,4,35
COTOCA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,7,5,0,0,7,5,12
CUATRO CAÑADAS,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,3,13,0,0,3,13,16
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,0,2,0,2,0,2
CUEVO,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,0,0,1,0,1,1
EL ALTO,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,32,57,43,15,75,72,147
EL TORNO,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,3,6,0,0,3,6,9
ENTRE RIOS TRJ,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,6,2,4,1,10,3,13
ENTRE RIOS CBBA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,24,23,1,3,25,26,51
EXALTACION,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,2,0,0,0,2,2
FILADELFIA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,0,1,1,1,1,2
GENERAL SAAVEDRA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,3,1,0,0,3,1,4
GUAYARAMERIN,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,3,0,0,0,3,0,3
GUTIERREZ,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,0,2,1,2,1,3
HUANUNI,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,0,0,3,0,3,3
INQUISIVI,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,1,0,0,0,1,0,1
IXIAMAS,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,0,3,4,3,4,7
LA ASUNTA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,2,1,0,0,2,1,3
LA GUARDIA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,23,28,9,16,32,44,76
LA PAZ,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,44,79,12,11,56,90,146
LAJA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,2,0,0,0,2,2
LLALLAGUA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,15,15,16,37,31,52,83
MAPIRI,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,22,43,336,254,358,297,655
MONTEAGUDO,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,1,1,5,9,6,10,16
MONTERO,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,1,13,0,4,1,17,18
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,0,2,2,2,2,4
ORURO,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,40,65,0,2,40,67,107
PADCAYA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,2,0,0,0,2,0,2
PADILLA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,1,1,0,0,1,1,2
PAILON,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,1,13,9,13,10,23
PALOS BLANCOS,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,138,208,518,543,656,751,1407
PAMPA GRANDE,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,1,0,0,0,1,1
PATACAMAYA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,13,10,5,0,18,10,28
POCOATA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,1,0,0,0,1,1
PORCO,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,0,6,4,6,4,10
PORONGO,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,1,5,7,5,8,13
PORTACHUELO,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,28,31,0,0,28,31,59
PUERTO ACOSTA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,1,3,4,4,5,7,12
PUERTO QUIJARRO,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,2,2,242,0,244,2,246
PUERTO SUAREZ,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,2,0,0,0,2,2
PUERTO VILLARROEL,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,1,0,0,1,1,1,2
PUNATA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,3,0,0,0,3,3
QUILLACOLLO,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,20,17,4,6,24,23,47
REYES,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,1,1,0,1,1,2,3
RIBERALTA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,13,9,0,0,13,9,22
RURRENABAQUE,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,5,4,173,10,178,14,192
SABAYA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,1,6,0,0,1,6,7
SACABA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,11,23,0,1,11,24,35
SAIPINA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,1,2,0,0,1,2,3
SALINAS DE GARCI MENDOZA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,3,2,2,2,5,4,9
SAN ANDRES,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,0,1,0,1,0,1
SAN ANTONIO DE LOMERIO,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,1,3,3,7,4,10,14
SAN BORJA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,19,9,4,3,23,12,35
SAN BUENA VENTURA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,3,5,0,0,3,5,8
SAN IGNACIO,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,0,4,9,4,9,13
SAN IGNACIO DE VELASCO,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,29,12,21,14,50,26,76
SAN JOAQUIN,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,0,3,5,3,5,8
SAN JOSE DE CHIQUITOS,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,3,1,0,0,3,1,4
SAN JULIAN,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,5,14,1,3,6,17,23
SAN LORENZO(PND),otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,2,3,6,5,8,8,16
SAN MATIAS,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,3,0,4,0,7,7
SAN MIGUEL DE VELASCO,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,4,3,0,2,4,5,9
SAN PEDRO,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,1,0,0,0,1,1
SAN PEDRO DE BUENA VISTA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,1,0,0,0,1,0,1
SAN RAMON BENI,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,2,0,0,0,2,2
SAN RAMON SCZ,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,566,638,37,66,603,704,1307
SANTA ROSA DEL SARA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,6,8,0,0,6,8,14
SENA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,12,21,5,0,17,21,38
SHINAOTA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,1,0,0,0,1,0,1
SORACACHI,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,0,0,1,0,1,1
SORATA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,0,3,5,3,5,8
SUCRE,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,16,18,0,0,16,18,34
TACACOMA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,3,5,1,5,4,10,14
TAPACARI,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,2,0,0,0,2,2
TARABUCO,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,3,0,0,0,3,3
TARIJA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,12,25,4,3,16,28,44
TIQUIPAYA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,14,26,7,5,21,31,52
TRINIDAD,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,52,41,11,10,63,51,114
TUPIZA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,2,27,2,0,4,27,31
UMALA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,0,0,2,0,2,2
UNCIA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,2,21,0,21,2,23
URUBICHA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,1,0,0,0,1,0,1
UYUNI,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,1,1,204,0,205,1,206
VACAS,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,0,0,2,0,2,2
VILA VILA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,3,7,12,7,15,22
VILLA MONTES,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,25,9,0,0,25,9,34
VILLA TUNARI,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,1,0,0,0,1,1
VILLAZON,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,14,35,3,5,17,40,57
VINTO,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,7,10,4,8,11,18,29
WARNES,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,20,17,1,4,21,21,42
YACUIBA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,20,6,1,3,21,9,30
YAPACANI,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,7,7,4,17,11,24,35
YOCALLA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,0,0,2,0,2,2
YUNCHARA,otras vacunaciones,antiamarilica ( dosis unica),2022-03-01,0,0,0,2,0,2,2
ACHACACHI,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,9,19,1,4,10,23,33
ALCALA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,0,1,0,1,1
ANCORAIMES,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,6,9,2,0,8,9,17
ARANI,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,1,2,0,0,1,2,3
ASCENCION DE GUARAYOS,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,7,11,18,33,25,44,69
ATOCHA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,2,1,0,0,2,1,3
BAURES,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,2,5,0,0,2,5,7
BELLA FLOR,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,17,3,17,3,20
BERMEJO,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,13,3,0,0,13,3,16
BETANZOS,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,4,4,4,4,8
BOLPEBRA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,4,16,4,16,20
BUENA VISTA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,3,0,1,0,4,4
CABEZAS,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,0,1,0,1,1
CAMARGO,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,2,2,2,1,4,3,7
CAMIRI,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,6,10,3,3,9,13,22
CARACOLLO,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,3,4,6,5,9,9,18
CARANAVI,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,40,45,61,41,101,86,187
CARAPARI,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,4,4,4,4,8
CARMEN RIVERO TORREZ,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,4,2,0,0,4,2,6
CHALLAPATA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,2,2,2,1,4,3,7
CHARAGUA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,7,11,2,6,9,17,26
CHIMORE,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,152,128,452,455,604,583,1187
CHUA COCANI,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,1,4,0,0,1,4,5
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,2,3,2,3,5
COBIJA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,10,11,30,48,40,59,99
COCAPATA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,1,5,2,2,3,7,10
COCHABAMBA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,55,96,8,19,63,115,178
"COLCHA ""K""",otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,5,6,0,0,5,6,11
COLOMI,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,1,0,0,0,1,1
COLPA BELGICA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,9,10,4,3,13,13,26
CONCEPCION,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,1,3,9,16,10,19,29
COPACABANA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,2,0,0,0,2,0,2
COROICO,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,19,13,13,13,32,26,58
CORQUE,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,1,1,3,8,4,9,13
COTAGAITA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,1,3,1,3,4
COTOCA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,10,12,42,31,52,43,95
CUATRO CAÑADAS,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,1,5,5,26,6,31,37
EL ALTO,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,277,329,192,57,469,386,855
EL TORNO,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,8,12,6,2,14,14,28
ENTRE RIOS TRJ,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,1,0,1,0,1
ENTRE RIOS CBBA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,6,8,0,0,6,8,14
ESCOMA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,0,1,0,1,1
EXALTACION,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,1,0,1,0,1
FILADELFIA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,2,1,3,1,5,2,7
GENERAL SAAVEDRA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,1,0,0,1,1,1,2
GUAYARAMERIN,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,1,196,0,196,1,197
GUTIERREZ,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,3,5,0,0,3,5,8
HUANUNI,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,18,36,18,36,54
HUARACAJE,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,1,1,1,1,2
HUAYLLAMARCA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,1,3,0,0,1,3,4
IXIAMAS,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,25,13,25,13,38
LA ASUNTA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,3,0,0,0,3,3
LA GUARDIA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,33,63,35,66,68,129,197
LA PAZ,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,45,67,164,80,209,147,356
LAS CARRERAS,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,2,5,0,0,2,5,7
LLALLAGUA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,3,7,10,30,13,37,50
MAGDALENA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,0,5,0,5,5
MAPIRI,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,7,14,87,112,94,126,220
MONTEAGUDO,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,1,2,1,5,2,7,9
MONTERO,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,7,8,24,70,31,78,109
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,7,9,7,9,16
ORURO,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,27,25,15,30,42,55,97
PAILON,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,3,0,3,7,6,7,13
PALOS BLANCOS,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,26,40,258,282,284,322,606
PATACAMAYA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,11,11,4,4,15,15,30
POROMA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,2,0,0,0,2,2
PORONGO,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,6,13,4,4,10,17,27
PORTACHUELO,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,2,0,2,0,2
POTOSI,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,22,21,206,20,228,41,269
PUERTO ACOSTA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,1,6,11,6,12,18
PUERTO CARABUCO,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,194,6,194,6,200
PUERTO QUIJARRO,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,3,4,162,110,165,114,279
PUERTO RICO,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,0,6,0,6,6
PUERTO SUAREZ,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,8,4,61,3,69,7,76
PUERTO VILLARROEL,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,43,117,1340,1695,1383,1812,3195
PUNATA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,3,6,1,1,4,7,11
QUILLACOLLO,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,14,21,280,8,294,29,323
QUIME,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,2,6,9,6,11,12,23
RAVELO,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,0,1,0,1,1
RIBERALTA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,9,25,3,11,12,36,48
ROBORE,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,1,1,1,1,2,2,4
RURRENABAQUE,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,1,0,1,0,2,0,2
SABAYA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,1,0,0,0,1,0,1
SACABA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,5,15,6,22,11,37,48
SACACA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,3,3,0,0,3,3,6
SALINAS DE GARCI MENDOZA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,1,3,10,7,11,10,21
SAN ANDRES,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,1,1,3,6,4,7,11
SAN ANTONIO DE LOMERIO,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,10,6,3,2,13,8,21
SAN BENITO,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,4,3,2,3,6,6,12
SAN BORJA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,4,13,12,11,16,24,40
SAN BUENA VENTURA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,3,7,43,54,46,61,107
SAN IGNACIO,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,2,3,4,9,6,12,18
SAN IGNACIO DE VELASCO,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,28,20,393,81,421,101,522
SAN JAVIER(BNI),otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,1,1,6,1,7,8
SAN JOAQUIN,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,3,4,3,4,7
SAN JOSE DE CHIQUITOS,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,2,2,2,2,4
SAN JULIAN,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,8,8,26,30,34,38,72
SAN LORENZO(PND),otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,1,3,1,3,4
SAN LORENZO(TJA),otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,1,0,0,0,1,1
SAN MATIAS,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,3,3,2,2,5,5,10
SAN MIGUEL DE VELASCO,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,8,3,8,3,11
SAN PEDRO DE BUENA VISTA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,1,0,0,0,1,1
SAN RAFAEL,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,4,6,0,0,4,6,10
SAN RAMON SCZ,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,797,830,961,1163,1758,1993,3751
SANTA ROSA DEL SARA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,1,0,24,33,25,33,58
SANTIAGO DE HUARI,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,3,2,0,0,3,2,5
SENA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,1,3,7,3,8,11
SHINAOTA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,37,52,43,0,80,52,132
SORATA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,1,7,3,5,4,12,16
SUCRE,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,9,18,5,4,14,22,36
TACACOMA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,8,13,2,3,10,16,26
TARATA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,1,0,0,0,1,1
TARIJA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,35,32,5,20,40,52,92
TIQUIPAYA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,13,18,6,8,19,26,45
TRINIDAD,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,22,17,48,50,70,67,137
TUPIZA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,4,5,1,5,5,10,15
UMALA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,1,3,0,0,1,3,4
UNCIA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,157,0,157,0,157
URIONDO (A. CONCEPCION),otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,2,3,2,3,5
VACAS,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,4,5,4,5,9
VALLEGRANDE,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,2,0,0,0,2,2
VILA VILA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,4,2,4,2,6
VILLA MONTES,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,17,7,3,0,20,7,27
VILLA SERRANO,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,3,1,0,0,3,1,4
VILLA TUNARI,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,3,7,274,261,277,268,545
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,1,0,0,0,1,1
VILLAZON,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,13,22,0,0,13,22,35
VINTO,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,0,13,0,13,13
VITICHI,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,2,1,1,0,3,1,4
WARNES,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,9,11,15,13,24,24,48
YACUIBA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,16,5,28,23,44,28,72
YAPACANI,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,23,10,2,9,25,19,44
YUNCHARA,otras vacunaciones,antiamarilica ( dosis unica),2022-04-01,0,0,1,1,1,1,2
ACACIO,otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,2,0,0,0,2,0,2
ACHACACHI,otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,9,10,5,2,14,12,26
ANCORAIMES,otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,8,15,4,7,12,22,34
ARANI,otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,2,0,0,0,2,0,2
ASCENCION DE GUARAYOS,otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,6,13,0,0,6,13,19
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,4,2,1,0,5,2,7
BATALLAS,otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,2,2,2,5,4,7,11
BAURES,otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,0,0,4,0,4,0,4
BELLA FLOR,otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,3,1,3,0,6,1,7
BERMEJO,otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,70,10,1,0,71,10,81
BUENA VISTA,otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,0,0,2,1,2,1,3
CABEZAS,otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,3,4,0,1,3,5,8
CAMARGO,otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,2,6,5,2,7,8,15
CAMIRI,otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,3,4,0,0,3,4,7
CARACOLLO,otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,0,6,0,5,0,11,11
CARANAVI,otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,53,62,1,4,54,66,120
CARAPARI,otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,3,1,8,8,11,9,20
CHALLAPATA,otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,0,1,0,2,0,3,3
CHARAGUA,otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,2,6,0,0,2,6,8
CHIMORE,otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,8,3,4,5,12,8,20
CHUA COCANI,otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,4,8,0,0,4,8,12
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,1,4,16,34,17,38,55
COBIJA,otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,28,6,29,25,57,31,88
COCAPATA,otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,1,2,0,0,1,2,3
COCHABAMBA,otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,76,116,25,46,101,162,263
COLCAPIRHUA,otras vacunaciones,antiamarilica ( dosis unica),2022-05-01,0,2,0,0,0,2,2
