,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTALES
MIZQUE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,4,4,8
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,29,9,38
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,2,0,2
PAILON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,7,7
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,10,10
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,1,2,3
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,7,7
PORCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,7,0,7
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,66,0,66
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,40,40
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,3,3,6
PUNA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,1,1
RAVELO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,3,3
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,3,0,3
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,9,3,12
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,8,8
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,5,5
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,1,1
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,2,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,22,22
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,3,3
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,3,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,8,8
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,4,4
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,3,10,13
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,11,0,11
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,14,14
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,109,107,216
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,1,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,11,1,12
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,3,3
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,2,5,7
TARIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,5,15,20
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,3,20,23
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,1,1
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,1,0,1
TOCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,27,27
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,2,37,39
UMALA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,2,2,4
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,1,1
URUBICHA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,39,39
UYUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,17,13,30
VACAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,8,8
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,6,6
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,13,13
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,3,3
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,2,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,3,0,3
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,1,1,2
VINTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,2,0,2
VITICHI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,5,0,5
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,2,0,2
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,9,6,15
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,10,10
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-05-01,0,6,6
APOLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,3,2,5
AYATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,0,4,4
BATALLAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,0,3,3
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,1,0,1
CARAPARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,0,3,3
CARIPUYO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,0,3,3
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,0,2,2
COBIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,3,2,5
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,13,3,16
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,5,0,5
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,1,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,3,2,5
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,2,0,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,20,51,71
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,6,0,6
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,0,10,10
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,2,0,2
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,6,0,6
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,1,9,10
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,1,1,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,0,24,24
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,0,2,2
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,0,3,3
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,1,0,1
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,2,1,3
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,24,0,24
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,22,5,27
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,8,0,8
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,0,2,2
PAILON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,0,15,15
POCONA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,0,4,4
PORCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,3,1,4
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,1,0,1
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,5,23,28
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,1,0,1
PUERTO SILES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,9,0,9
PUNATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,0,2,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,0,1,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,38,0,38
SACACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,0,2,2
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,0,2,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,2,3,5
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,1,9,10
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,1,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,4,6,10
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,3,4,7
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,5,1,6
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,118,83,201
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,16,0,16
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,3,2,5
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,2,8,10
TARIJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,3,0,3
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,0,3,3
TOLATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,2,1,3
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,2,1,3
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,0,7,7
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,3,0,3
YANACACHI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,1,0,1
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-06-01,0,1,1
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,0,1,1
ALALAY,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,0,5,5
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,0,1,1
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,0,1,1
APOLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,8,4,12
BERMEJO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,0,2,2
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,1,0,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,3,0,3
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,7,5,12
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,8,0,8
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,0,7,7
COTOCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,21,1,22
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,3,2,5
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,2,2,4
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,1,5,6
HUANUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,0,17,17
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,4,0,4
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,26,2,28
LAJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,2,0,2
MACHARETI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,1,0,1
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,0,2,2
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,1,1,2
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,0,4,4
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,2,0,2
PAILON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,0,2,2
PALCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,2,0,2
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,1,1,2
POROMA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,1,0,1
PORONGO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,1,11,12
PORVENIR,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,0,5,5
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,2,0,2
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,4,0,4
PUERTO SILES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,2,0,2
PUNATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,4,0,4
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,5,0,5
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,1,0,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,21,0,21
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,1,12,13
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,1,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,9,0,9
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,0,1,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,3,9,12
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,13,0,13
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,0,1,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,89,7,96
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,3,2,5
TAPACARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,0,2,2
TOCO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,1,2,3
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,3,8,11
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,5,0,5
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,3,1,4
VILLAZON,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,2,0,2
YAMPARAEZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,2,1,3
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-07-01,0,1,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,0,1
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,8,3,11
AYATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,0,3,3
CABEZAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,0,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,0,2,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,0,2,2
COCAPATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,14,1,15
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,0,1,1
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,0,1,1
COMARAPA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,4,0,4
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,3,6,9
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,42,2,44
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,3,1,4
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,0,4,4
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,0,5,5
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,1,2
GUAQUI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,27,28
HUANUNI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,0,3,3
ICLA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,3,4
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,10,18,28
LA PAZ,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,17,8,25
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,4,3,7
ORURO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,2,6,8
PALCA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,0,1,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,0,7,7
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,2,3
POOPO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,2,0,2
PORONGO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,1,2
PORVENIR,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,7,1,8
PUCARANI,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,0,1,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,1,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,1,2
ROBORE,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,10,0,10
SACABA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,0,13,13
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,4,3,7
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,1,4,5
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,8,2,10
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,antipoliomielitica 2da dosis,2011-08-01,0,7,7
