,group,variable,month,SRP DOSIS ÚNICA CANTIDAD,SRP DOSIS ÚNICA CANTIDAD,TOTALES
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,11,0,11
TUPIZA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,0,1,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,1,1,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,1,1,2
VILLAZON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,2,1,3
VINTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,0,1,1
WARNES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,0,1,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,6,6,12
YAPACANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-03-01,0,1,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,1,3,4
ARQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,5,27,32
ATOCHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,6,6
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,17,17
CABEZAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,2,0,2
CHACARILLA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,3,0,3
CHAQUI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,2,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,3,3
CLIZA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,1,1,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,78,23,101
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,2,4,6
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,1,4,5
COLOMI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,3,0,3
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
COPACABANA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
COROICO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,2,0,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,5,28,33
CUEVO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,67,64,131
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,3,1,4
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,1,1,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,2,2
HUARINA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,1,0,1
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,56,56
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,9,0,9
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,7,15,22
LA PAZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,36,10,46
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
LAJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,21,21
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,1,3,4
LORETO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,1,1,2
MIZQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,5,6,11
OKINAWA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,6,1,7
PAILON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,9,9
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,1,0,1
POCONA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,2,2
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,1,0,1
PORVENIR,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,2,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,8,0,8
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,2,2,4
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,1,0,1
PUNA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,3,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,9,3,12
RAVELO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,10,10
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,1,0,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,5,5
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,9,37,46
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,2,2,4
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,4,0,4
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,1,2,3
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,5,5
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,4,4
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,1,0,1
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,7,7
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,3,3
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,1,1,2
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,4,3,7
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,106,148,254
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,10,10
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,8,9,17
TACACOMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,1,0,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
TARABUCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
TARATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,3,0,3
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,6,8,14
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,6,8,14
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
TOMAVE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,9,1,10
UNCIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,1,0,1
VACAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,10,10
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,2,1,3
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,2,0,2
VILLAZON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,2,2
WARNES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,3,11,14
YACUIBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,7,0,7
YAPACANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-04-01,0,1,1
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,1,2
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,5,0,5
APOLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,1,1
ARBIETO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,2,1,3
ARQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,3,3
ATOCHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,3,3
AUCAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,3,3
AYATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,17,17
BETANZOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,2,1,3
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,5,5
CABEZAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,2,2
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,3,4
CARANAVI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,15,15
CHACARILLA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,2,3
CHAQUI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,2,2,4
CHIMORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,6,0,6
CHUMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,4,4
CLIZA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,2,3,5
COBIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,2,3
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,33,14,47
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,4,0,4
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,4,4
COMANCHE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,1,1
COPACABANA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,1,1
COROICO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,2,0,2
CORQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,1,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,2,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,5,2,7
CURVA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,88,163,251
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,9,4,13
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,3,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,2,7,9
HUANUNI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,9,10
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,3,3
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,8,47,55
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,5,8,13
LA PAZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,45,62,107
LA RIVERA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,2,0,2
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,0,1
LLICA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,1,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,4,4
MIZQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,8,1,9
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,20,40,60
PAILON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,5,5
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,0,1
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,1,1
PASORAPA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,3,0,3
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,4,4
POCOATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,3,3
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,1,1
PORONGO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,5,12,17
PUCARANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,1,1
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,27,27
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,1,1
PUERTO PEREZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,5,5
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,3,3
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,2,2
PUNATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,16,16,32
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,6,0,6
ROBORE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,2,2
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,1,2
SACABA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,2,9,11
SACACA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,1,1
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,2,12,14
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,2,10,12
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,0,1
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,3,4,7
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,2,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,1,1
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,1,2
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,2,3
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,1,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,0,1
SAN RAFAEL,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,1,2
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,3,3
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,10,10
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,148,194,342
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,1,1
SANTIAGO DE CALLAPA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,5,5
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,4,4
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,31,31
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,6,6,12
SORACACHI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,4,4
SUCRE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,12,2,14
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,6,15,21
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,7,8
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,2,3,5
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,11,12
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,7,4,11
UNCIA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,5,0,5
UYUNI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,1,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,3,4
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,2,4,6
VILLAZON,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,3,1,4
WARNES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,5,8,13
YACUIBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,2,21,23
YAPACANI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,0,2,2
YOCALLA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-05-01,1,0,1
ACACIO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,2,0,2
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,0,1,1
APOLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,0,4,4
ARAMPAMPA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,0,2,2
ARBIETO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,0,4,4
ARQUE,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,9,1,10
BAURES,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,0,1,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,0,1,1
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,0,2,2
CAIROMA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,0,1,1
CALAMARCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,0,1,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,3,2,5
CARANAVI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,0,1,1
CHACARILLA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,0,3,3
CLIZA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,1,4,5
COCAPATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,0,3,3
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,22,17,39
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,6,1,7
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,9,2,11
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,1,0,1
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,24,0,24
COPACABANA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,3,0,3
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,0,2,2
CURVA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,94,42,136
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,1,18,19
EL TORNO,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,6,4,10
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,2,6,8
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,0,2,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,3,34,37
HUAYLLAMARCA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,0,1,1
HUMANATA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,1,0,1
ICLA,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,1,0,1
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,1,0,1
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,srp dosis unica,2011-06-01,0,15,15
