,group,variable,month,ANTI AMARÍLICA CANTIDAD,ANTI AMARÍLICA CANTIDAD,TOTALES
PUCARANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,9,9
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,6,6
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,14,1,15
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,3,2,5
QUIME,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,1,1
REYES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,2,2
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,5,64,69
ROBORE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,2,2
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,1,4,5
SACABA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,30,13,43
SACACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,1,3,4
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,5,5
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,11,7,18
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,1,2,3
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,6,8,14
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,2,2,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,8,8,16
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,1,2,3
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,3,3,6
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,3,0,3
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,1,5,6
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,6,0,6
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,2,8,10
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,150,34,184
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,9,4,13
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,1,6,7
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,1,1
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,1,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,2,0,2
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,8,8
SUCRE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,12,2,14
TACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,2,0,2
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,3,3
TARACO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,1,1
TARATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,7,0,7
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,2,0,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,5,0,5
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,2,5,7
TOLEDO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,7,7
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,1,1,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,21,0,21
TUPIZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,4,4
UNCIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,5,0,5
VACAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,1,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,4,0,4
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,4,2,6
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,1,1,2
VILLAZON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,8,5,13
VITICHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,4,4
WARNES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,11,6,17
YACUIBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,12,13,25
YANACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,1,0,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-03-01,0,1,1
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,1,19,20
AIQUILE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,3,3
ARANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,8,0,8
ARBIETO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,4,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,13,0,13
ATOCHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,33,1,34
AZURDUY,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,7,7
BETANZOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,10,10
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,12,12
CABEZAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,1,0,1
CAJUATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,2,0,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,4,1,5
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,3,3
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,3,0,3
CARANAVI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,6,1,7
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,6,6,12
CHAQUI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,6,6
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,3,3
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,4,1,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,3,3,6
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,4,4
CLIZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,10,3,13
COBIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,1,2,3
COCAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,2,12,14
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,110,21,131
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,15,7,22
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,3,1,4
COLOMI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,9,0,9
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,30,30
COLQUENCHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,3,3
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,1,1
COPACABANA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,1,1
COROICO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,1,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,1,5,6
COTOCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,9,33,42
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,8,8
EL ALTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,208,53,261
EL TORNO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,7,4,11
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,7,7
GUAQUI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,3,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,2,4,6
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,2,2
HUANUNI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,7,8,15
ICHOCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,1,1
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,5,1,6
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,1,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,6,6
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,57,57
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,5,2,7
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,11,8,19
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,15,41,56
LA PAZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,86,16,102
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,2,2
LAJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,1,15,16
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,1,28,29
LORETO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,1,0,1
MECAPACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,7,7
MINEROS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,1,3,4
MIZQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,1,1
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,1,1,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,9,8,17
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,2,2
OKINAWA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,20,0,20
PADCAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,2,2
PADILLA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,1,1
PAILON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,26,26
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,2,4,6
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,1,6,7
PASORAPA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,1,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,28,28
POCONA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,2,2
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,1,1
POROMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,2,3,5
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,1,0,1
PORVENIR,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,3,2,5
POTOSI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,30,0,30
PRESTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,2,2
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,2,2
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,2,12,14
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,2,15,17
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,7,5,12
PUNA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,3,45,48
PUNATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,6,9,15
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,19,6,25
QUIME,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,1,1
RAVELO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,2,52,54
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,2,0,2
ROBORE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,1,5,6
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,2,7,9
SACABA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,32,27,59
SACACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,5,11,16
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,2,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,1,10,11
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,1,3,4
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,2,0,2
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,2,0,2
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,3,3,6
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,4,4,8
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,1,7,8
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,10,10
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,2,2
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,2,12,14
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,1,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,2,2
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,1,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,1,1,2
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,5,8,13
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,247,179,426
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,1,1
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,1,1
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,2,2
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,2,1,3
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,16,16
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,3,0,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,31,41,72
TACACOMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,1,1,2
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,5,5
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,2,2
TAPACARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,1,5,6
TARABUCO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,2,4,6
TARATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,9,1,10
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,13,13
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,16,1,17
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,9,9
TOLEDO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,20,20
TOMAVE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,5,13,18
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,2,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,12,2,14
TUPIZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,2,3,5
UNCIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,2,2,4
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,2,2
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,5,1,6
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,2,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,6,1,7
VILLAZON,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,9,8,17
VITICHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,15,33,48
WARNES,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,12,11,23
YACUIBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,10,0,10
YANACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,1,2,3
YAPACANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,1,1
YOCALLA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,6,0,6
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-04-01,0,3,3
ACACIO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,23,23
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,2,3
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,7,8
AIQUILE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,2,2
ALALAY,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,4,0,4
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,7,3,10
APOLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,3,1,4
ARBIETO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,3,3
ARQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,5,6,11
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,4,0,4
ATOCHA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,10,10
AUCAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,10,10
AYO AYO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,7,22,29
BATALLAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,0,1
BELEN DE URMIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,5,5
BETANZOS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,4,15,19
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,8,8
BOLPEBRA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,2,2
CAJUATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,3,0,3
CAMIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,6,0,6
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,2,1,3
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,3,6,9
CARANAVI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,3,13,16
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,4,4
CHAQUI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,3,7,10
CHIMORE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,8,2,10
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,6,7
CHUMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,7,7
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,18,18
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,8,8
CLIZA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,1,2
COBIJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,6,1,7
COCAPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,2,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,69,28,97
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,18,2,20
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,4,0,4
COLOMI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,3,4,7
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,4,4
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,1,1
COMARAPA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,0,1
COPACABANA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,3,3
CORIPATA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,0,1
CORO CORO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,0,1
CORQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,4,4
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,7,7
COTOCA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,6,7,13
CUEVO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,2,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,228,108,336
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,8,8
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,18,1,19
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,2,12,14
ESCOMA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,2,2
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,0,1
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,3,3
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,3,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,5,17,22
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,6,6
HUACHACALLA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,3,2,5
ICLA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,2,0,2
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,10,10
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,8,45,53
JESUS DE MACHACA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,9,0,9
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,2,1,3
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,28,7,35
LA PAZ,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,132,68,200
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,2,2
LAJA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,7,7
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,8,5,13
LLICA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,10,11
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,1,1,2
MINEROS,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,0,9,9
MIZQUE,vacunaciones en ninos de 2 a 4 anos,anti amarilica,2011-05-01,3,8,11
