,group,variable,month,TOTAL Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,TOTAL Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
COTOCA,rabia,total no de personas con esquema clasico completo,2015-11-01,1,0,1,0,1
EL ALTO,rabia,total no de personas con esquema clasico completo,2015-11-01,4,7,4,7,11
ENTRE RIOS CBBA,rabia,total no de personas con esquema clasico completo,2015-11-01,1,0,1,0,1
ESCOMA,rabia,total no de personas con esquema clasico completo,2015-11-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),rabia,total no de personas con esquema clasico completo,2015-11-01,1,0,1,0,1
LA GUARDIA,rabia,total no de personas con esquema clasico completo,2015-11-01,2,0,2,0,2
LA PAZ,rabia,total no de personas con esquema clasico completo,2015-11-01,1,0,1,0,1
MACHACAMARCA,rabia,total no de personas con esquema clasico completo,2015-11-01,2,0,2,0,2
MAPIRI,rabia,total no de personas con esquema clasico completo,2015-11-01,0,1,0,1,1
MONTERO,rabia,total no de personas con esquema clasico completo,2015-11-01,1,2,1,2,3
ORURO,rabia,total no de personas con esquema clasico completo,2015-11-01,3,0,3,0,3
PAILON,rabia,total no de personas con esquema clasico completo,2015-11-01,1,1,1,1,2
PORTACHUELO,rabia,total no de personas con esquema clasico completo,2015-11-01,3,4,3,4,7
POTOSI,rabia,total no de personas con esquema clasico completo,2015-11-01,5,18,5,18,23
PUCARANI,rabia,total no de personas con esquema clasico completo,2015-11-01,1,0,1,0,1
ROBORE,rabia,total no de personas con esquema clasico completo,2015-11-01,2,0,2,0,2
SAN JUAN DE YAPACANI,rabia,total no de personas con esquema clasico completo,2015-11-01,1,0,1,0,1
SAN JULIAN,rabia,total no de personas con esquema clasico completo,2015-11-01,2,1,2,1,3
SAN PEDRO DE BUENA VISTA,rabia,total no de personas con esquema clasico completo,2015-11-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con esquema clasico completo,2015-11-01,18,18,18,18,36
TRINIDAD,rabia,total no de personas con esquema clasico completo,2015-11-01,17,10,17,10,27
TURCO,rabia,total no de personas con esquema clasico completo,2015-11-01,0,1,0,1,1
UYUNI,rabia,total no de personas con esquema clasico completo,2015-11-01,9,19,9,19,28
VALLEGRANDE,rabia,total no de personas con esquema clasico completo,2015-11-01,0,1,0,1,1
VILLAZON,rabia,total no de personas con esquema clasico completo,2015-11-01,2,1,2,1,3
VINTO,rabia,total no de personas con esquema clasico completo,2015-11-01,1,2,1,2,3
WARNES,rabia,total no de personas con esquema clasico completo,2015-11-01,2,0,2,0,2
ARBIETO,rabia,total no de personas con esquema clasico completo,2015-12-01,1,0,1,0,1
CABEZAS,rabia,total no de personas con esquema clasico completo,2015-12-01,6,2,6,2,8
CAMIRI,rabia,total no de personas con esquema clasico completo,2015-12-01,0,1,0,1,1
CARANAVI,rabia,total no de personas con esquema clasico completo,2015-12-01,1,0,1,0,1
CARAPARI,rabia,total no de personas con esquema clasico completo,2015-12-01,3,2,3,2,5
CLIZA,rabia,total no de personas con esquema clasico completo,2015-12-01,0,1,0,1,1
COCHABAMBA,rabia,total no de personas con esquema clasico completo,2015-12-01,3,3,3,3,6
CUATRO CAÑADAS,rabia,total no de personas con esquema clasico completo,2015-12-01,1,2,1,2,3
EL ALTO,rabia,total no de personas con esquema clasico completo,2015-12-01,19,13,19,13,32
EL TORNO,rabia,total no de personas con esquema clasico completo,2015-12-01,1,2,1,2,3
HUANUNI,rabia,total no de personas con esquema clasico completo,2015-12-01,0,1,0,1,1
LA GUARDIA,rabia,total no de personas con esquema clasico completo,2015-12-01,3,6,3,6,9
LA PAZ,rabia,total no de personas con esquema clasico completo,2015-12-01,2,2,2,2,4
MONTERO,rabia,total no de personas con esquema clasico completo,2015-12-01,3,3,3,3,6
ORURO,rabia,total no de personas con esquema clasico completo,2015-12-01,0,2,0,2,2
PAILON,rabia,total no de personas con esquema clasico completo,2015-12-01,4,4,4,4,8
PALOS BLANCOS,rabia,total no de personas con esquema clasico completo,2015-12-01,2,1,2,1,3
POOPO,rabia,total no de personas con esquema clasico completo,2015-12-01,1,0,1,0,1
PORONGO,rabia,total no de personas con esquema clasico completo,2015-12-01,1,0,1,0,1
PORTACHUELO,rabia,total no de personas con esquema clasico completo,2015-12-01,5,1,5,1,6
POTOSI,rabia,total no de personas con esquema clasico completo,2015-12-01,14,24,14,24,38
SAN CARLOS,rabia,total no de personas con esquema clasico completo,2015-12-01,1,0,1,0,1
SAN IGNACIO,rabia,total no de personas con esquema clasico completo,2015-12-01,2,1,2,1,3
SAN PEDRO,rabia,total no de personas con esquema clasico completo,2015-12-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con esquema clasico completo,2015-12-01,28,26,28,26,54
SANTA ROSA DEL SARA,rabia,total no de personas con esquema clasico completo,2015-12-01,1,0,1,0,1
SANTIAGO DE MACHACA,rabia,total no de personas con esquema clasico completo,2015-12-01,1,0,1,0,1
SAPAHAQUI,rabia,total no de personas con esquema clasico completo,2015-12-01,0,1,0,1,1
SUCRE,rabia,total no de personas con esquema clasico completo,2015-12-01,0,1,0,1,1
TACOBAMBA,rabia,total no de personas con esquema clasico completo,2015-12-01,0,1,0,1,1
TRINIDAD,rabia,total no de personas con esquema clasico completo,2015-12-01,12,4,12,4,16
TUPIZA,rabia,total no de personas con esquema clasico completo,2015-12-01,1,0,1,0,1
UYUNI,rabia,total no de personas con esquema clasico completo,2015-12-01,4,5,4,5,9
VALLEGRANDE,rabia,total no de personas con esquema clasico completo,2015-12-01,0,1,0,1,1
VILLA MONTES,rabia,total no de personas con esquema clasico completo,2015-12-01,6,1,6,1,7
VILLAZON,rabia,total no de personas con esquema clasico completo,2015-12-01,2,1,2,1,3
WARNES,rabia,total no de personas con esquema clasico completo,2015-12-01,2,2,2,2,4
YACUIBA,rabia,total no de personas con esquema clasico completo,2015-12-01,3,1,3,1,4
YAPACANI,rabia,total no de personas con esquema clasico completo,2015-12-01,1,0,1,0,1
