,group,variable,month,TOTAL Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,TOTAL Nº DE PERSONAS CON ESQUEMA REDUCIDO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
SAN RAFAEL,rabia,total no de personas con esquema reducido completo,2015-06-01,0,1,0,1,1
SAN RAMON SCZ,rabia,total no de personas con esquema reducido completo,2015-06-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con esquema reducido completo,2015-06-01,59,48,59,48,107
SANTIVAÑES,rabia,total no de personas con esquema reducido completo,2015-06-01,0,1,0,1,1
SIPE SIPE,rabia,total no de personas con esquema reducido completo,2015-06-01,1,1,1,1,2
SUCRE,rabia,total no de personas con esquema reducido completo,2015-06-01,88,1,88,1,89
TARATA,rabia,total no de personas con esquema reducido completo,2015-06-01,1,0,1,0,1
TARIJA,rabia,total no de personas con esquema reducido completo,2015-06-01,21,20,21,20,41
TIRAQUE (CBBA),rabia,total no de personas con esquema reducido completo,2015-06-01,0,1,0,1,1
TRINIDAD,rabia,total no de personas con esquema reducido completo,2015-06-01,0,6,0,6,6
VALLEGRANDE,rabia,total no de personas con esquema reducido completo,2015-06-01,1,1,1,1,2
VILLAZON,rabia,total no de personas con esquema reducido completo,2015-06-01,1,4,1,4,5
WARNES,rabia,total no de personas con esquema reducido completo,2015-06-01,5,4,5,4,9
YACUIBA,rabia,total no de personas con esquema reducido completo,2015-06-01,1,2,1,2,3
YAPACANI,rabia,total no de personas con esquema reducido completo,2015-06-01,2,1,2,1,3
ACHACACHI,rabia,total no de personas con esquema reducido completo,2015-07-01,4,0,4,0,4
AIQUILE,rabia,total no de personas con esquema reducido completo,2015-07-01,2,2,2,2,4
ANTEQUERA,rabia,total no de personas con esquema reducido completo,2015-07-01,1,0,1,0,1
ASCENCION DE GUARAYOS,rabia,total no de personas con esquema reducido completo,2015-07-01,2,0,2,0,2
ATOCHA,rabia,total no de personas con esquema reducido completo,2015-07-01,1,0,1,0,1
BATALLAS,rabia,total no de personas con esquema reducido completo,2015-07-01,1,1,1,1,2
BERMEJO,rabia,total no de personas con esquema reducido completo,2015-07-01,1,0,1,0,1
BOYUIBE,rabia,total no de personas con esquema reducido completo,2015-07-01,0,1,0,1,1
CAMIRI,rabia,total no de personas con esquema reducido completo,2015-07-01,0,1,0,1,1
CARANAVI,rabia,total no de personas con esquema reducido completo,2015-07-01,2,1,2,1,3
CARAPARI,rabia,total no de personas con esquema reducido completo,2015-07-01,4,0,4,0,4
CHALLAPATA,rabia,total no de personas con esquema reducido completo,2015-07-01,3,3,3,3,6
CHARAGUA,rabia,total no de personas con esquema reducido completo,2015-07-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),rabia,total no de personas con esquema reducido completo,2015-07-01,0,1,0,1,1
CLIZA,rabia,total no de personas con esquema reducido completo,2015-07-01,0,1,0,1,1
COCHABAMBA,rabia,total no de personas con esquema reducido completo,2015-07-01,25,17,25,17,42
COLCAPIRHUA,rabia,total no de personas con esquema reducido completo,2015-07-01,1,0,1,0,1
COPACABANA,rabia,total no de personas con esquema reducido completo,2015-07-01,4,1,4,1,5
COTOCA,rabia,total no de personas con esquema reducido completo,2015-07-01,4,4,4,4,8
CUATRO CAÑADAS,rabia,total no de personas con esquema reducido completo,2015-07-01,3,2,3,2,5
CULPINA,rabia,total no de personas con esquema reducido completo,2015-07-01,1,1,1,1,2
EL ALTO,rabia,total no de personas con esquema reducido completo,2015-07-01,31,22,31,22,53
EL TORNO,rabia,total no de personas con esquema reducido completo,2015-07-01,16,19,16,19,35
ENTRE RIOS CBBA,rabia,total no de personas con esquema reducido completo,2015-07-01,3,0,3,0,3
HUANUNI,rabia,total no de personas con esquema reducido completo,2015-07-01,2,1,2,1,3
HUARINA,rabia,total no de personas con esquema reducido completo,2015-07-01,1,0,1,0,1
IXIAMAS,rabia,total no de personas con esquema reducido completo,2015-07-01,1,1,1,1,2
LA GUARDIA,rabia,total no de personas con esquema reducido completo,2015-07-01,7,1,7,1,8
LA PAZ,rabia,total no de personas con esquema reducido completo,2015-07-01,65,45,65,45,110
MIZQUE,rabia,total no de personas con esquema reducido completo,2015-07-01,1,0,1,0,1
MONTERO,rabia,total no de personas con esquema reducido completo,2015-07-01,16,12,16,12,28
MORO MORO,rabia,total no de personas con esquema reducido completo,2015-07-01,1,0,1,0,1
ORURO,rabia,total no de personas con esquema reducido completo,2015-07-01,10,11,10,11,21
PADILLA,rabia,total no de personas con esquema reducido completo,2015-07-01,1,0,1,0,1
PAILON,rabia,total no de personas con esquema reducido completo,2015-07-01,2,0,2,0,2
POJO (CBBA),rabia,total no de personas con esquema reducido completo,2015-07-01,0,1,0,1,1
PORONGO,rabia,total no de personas con esquema reducido completo,2015-07-01,1,0,1,0,1
PORTACHUELO,rabia,total no de personas con esquema reducido completo,2015-07-01,20,25,20,25,45
PUERTO QUIJARRO,rabia,total no de personas con esquema reducido completo,2015-07-01,1,0,1,0,1
PUNATA,rabia,total no de personas con esquema reducido completo,2015-07-01,2,0,2,0,2
QUIABAYA,rabia,total no de personas con esquema reducido completo,2015-07-01,0,1,0,1,1
QUILLACOLLO,rabia,total no de personas con esquema reducido completo,2015-07-01,9,7,9,7,16
QUIRUSILLAS,rabia,total no de personas con esquema reducido completo,2015-07-01,1,0,1,0,1
REYES,rabia,total no de personas con esquema reducido completo,2015-07-01,0,1,0,1,1
SACABA,rabia,total no de personas con esquema reducido completo,2015-07-01,1,1,1,1,2
SACABAMBA,rabia,total no de personas con esquema reducido completo,2015-07-01,1,0,1,0,1
SAMAIPATA,rabia,total no de personas con esquema reducido completo,2015-07-01,1,0,1,0,1
SAN BUENA VENTURA,rabia,total no de personas con esquema reducido completo,2015-07-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,rabia,total no de personas con esquema reducido completo,2015-07-01,1,0,1,0,1
SAN JAVIER(STC),rabia,total no de personas con esquema reducido completo,2015-07-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,rabia,total no de personas con esquema reducido completo,2015-07-01,1,0,1,0,1
SAN JULIAN,rabia,total no de personas con esquema reducido completo,2015-07-01,2,0,2,0,2
SAN LUCAS,rabia,total no de personas con esquema reducido completo,2015-07-01,1,0,1,0,1
SAN RAMON SCZ,rabia,total no de personas con esquema reducido completo,2015-07-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con esquema reducido completo,2015-07-01,60,46,60,46,106
SIPE SIPE,rabia,total no de personas con esquema reducido completo,2015-07-01,1,0,1,0,1
SUCRE,rabia,total no de personas con esquema reducido completo,2015-07-01,58,3,58,3,61
TARIJA,rabia,total no de personas con esquema reducido completo,2015-07-01,10,20,10,20,30
TIQUIPAYA,rabia,total no de personas con esquema reducido completo,2015-07-01,0,1,0,1,1
TOLATA,rabia,total no de personas con esquema reducido completo,2015-07-01,1,0,1,0,1
TOLEDO,rabia,total no de personas con esquema reducido completo,2015-07-01,0,2,0,2,2
TRINIDAD,rabia,total no de personas con esquema reducido completo,2015-07-01,8,3,8,3,11
UNCIA,rabia,total no de personas con esquema reducido completo,2015-07-01,1,0,1,0,1
UYUNI,rabia,total no de personas con esquema reducido completo,2015-07-01,2,0,2,0,2
VACAS,rabia,total no de personas con esquema reducido completo,2015-07-01,0,1,0,1,1
VALLEGRANDE,rabia,total no de personas con esquema reducido completo,2015-07-01,1,0,1,0,1
VIACHA,rabia,total no de personas con esquema reducido completo,2015-07-01,3,1,3,1,4
VILLAZON,rabia,total no de personas con esquema reducido completo,2015-07-01,2,0,2,0,2
WARNES,rabia,total no de personas con esquema reducido completo,2015-07-01,4,2,4,2,6
YAPACANI,rabia,total no de personas con esquema reducido completo,2015-07-01,4,6,4,6,10
ACHACACHI,rabia,total no de personas con esquema reducido completo,2015-08-01,1,3,1,3,4
ACHOCALLA,rabia,total no de personas con esquema reducido completo,2015-08-01,0,1,0,1,1
AIQUILE,rabia,total no de personas con esquema reducido completo,2015-08-01,2,1,2,1,3
ALTO BENI,rabia,total no de personas con esquema reducido completo,2015-08-01,0,1,0,1,1
BELEN DE URMIRI,rabia,total no de personas con esquema reducido completo,2015-08-01,1,0,1,0,1
BETANZOS,rabia,total no de personas con esquema reducido completo,2015-08-01,1,0,1,0,1
CAMARGO,rabia,total no de personas con esquema reducido completo,2015-08-01,0,1,0,1,1
CAPINOTA,rabia,total no de personas con esquema reducido completo,2015-08-01,0,1,0,1,1
CARACOLLO,rabia,total no de personas con esquema reducido completo,2015-08-01,0,1,0,1,1
CARANAVI,rabia,total no de personas con esquema reducido completo,2015-08-01,1,1,1,1,2
CHARAGUA,rabia,total no de personas con esquema reducido completo,2015-08-01,0,1,0,1,1
COCHABAMBA,rabia,total no de personas con esquema reducido completo,2015-08-01,20,10,20,10,30
"COLCHA ""K""",rabia,total no de personas con esquema reducido completo,2015-08-01,0,1,0,1,1
COMARAPA,rabia,total no de personas con esquema reducido completo,2015-08-01,2,0,2,0,2
CONCEPCION,rabia,total no de personas con esquema reducido completo,2015-08-01,4,0,4,0,4
COPACABANA,rabia,total no de personas con esquema reducido completo,2015-08-01,0,1,0,1,1
COTOCA,rabia,total no de personas con esquema reducido completo,2015-08-01,5,3,5,3,8
CUATRO CAÑADAS,rabia,total no de personas con esquema reducido completo,2015-08-01,1,2,1,2,3
EL ALTO,rabia,total no de personas con esquema reducido completo,2015-08-01,43,45,43,45,88
EL TORNO,rabia,total no de personas con esquema reducido completo,2015-08-01,13,14,13,14,27
ENTRE RIOS TRJ,rabia,total no de personas con esquema reducido completo,2015-08-01,1,2,1,2,3
HUANUNI,rabia,total no de personas con esquema reducido completo,2015-08-01,2,4,2,4,6
LA GUARDIA,rabia,total no de personas con esquema reducido completo,2015-08-01,5,3,5,3,8
LA PAZ,rabia,total no de personas con esquema reducido completo,2015-08-01,75,62,75,62,137
MIZQUE,rabia,total no de personas con esquema reducido completo,2015-08-01,1,1,1,1,2
MONTERO,rabia,total no de personas con esquema reducido completo,2015-08-01,8,5,8,5,13
MORO MORO,rabia,total no de personas con esquema reducido completo,2015-08-01,1,1,1,1,2
OMEREQUE,rabia,total no de personas con esquema reducido completo,2015-08-01,1,0,1,0,1
ORURO,rabia,total no de personas con esquema reducido completo,2015-08-01,16,22,16,22,38
PALOS BLANCOS,rabia,total no de personas con esquema reducido completo,2015-08-01,1,0,1,0,1
PORTACHUELO,rabia,total no de personas con esquema reducido completo,2015-08-01,9,2,9,2,11
PUCARANI,rabia,total no de personas con esquema reducido completo,2015-08-01,1,0,1,0,1
QUILLACOLLO,rabia,total no de personas con esquema reducido completo,2015-08-01,3,2,3,2,5
SACABA,rabia,total no de personas con esquema reducido completo,2015-08-01,0,1,0,1,1
SACABAMBA,rabia,total no de personas con esquema reducido completo,2015-08-01,1,1,1,1,2
SAN ANTONIO DE LOMERIO,rabia,total no de personas con esquema reducido completo,2015-08-01,0,1,0,1,1
SAN BUENA VENTURA,rabia,total no de personas con esquema reducido completo,2015-08-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,rabia,total no de personas con esquema reducido completo,2015-08-01,1,0,1,0,1
SAN JULIAN,rabia,total no de personas con esquema reducido completo,2015-08-01,15,2,15,2,17
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con esquema reducido completo,2015-08-01,61,60,61,60,121
SANTIAGO DE HUARI,rabia,total no de personas con esquema reducido completo,2015-08-01,1,1,1,1,2
SORACACHI,rabia,total no de personas con esquema reducido completo,2015-08-01,1,0,1,0,1
SUCRE,rabia,total no de personas con esquema reducido completo,2015-08-01,44,29,44,29,73
TARATA,rabia,total no de personas con esquema reducido completo,2015-08-01,0,3,0,3,3
TARIJA,rabia,total no de personas con esquema reducido completo,2015-08-01,18,11,18,11,29
TEOPONTE,rabia,total no de personas con esquema reducido completo,2015-08-01,1,1,1,1,2
TIQUIPAYA,rabia,total no de personas con esquema reducido completo,2015-08-01,0,1,0,1,1
TIRAQUE (CBBA),rabia,total no de personas con esquema reducido completo,2015-08-01,0,1,0,1,1
TOLATA,rabia,total no de personas con esquema reducido completo,2015-08-01,1,0,1,0,1
TRIGAL,rabia,total no de personas con esquema reducido completo,2015-08-01,1,1,1,1,2
TRINIDAD,rabia,total no de personas con esquema reducido completo,2015-08-01,3,2,3,2,5
UNCIA,rabia,total no de personas con esquema reducido completo,2015-08-01,3,0,3,0,3
VACAS,rabia,total no de personas con esquema reducido completo,2015-08-01,1,0,1,0,1
VALLEGRANDE,rabia,total no de personas con esquema reducido completo,2015-08-01,1,1,1,1,2
VIACHA,rabia,total no de personas con esquema reducido completo,2015-08-01,1,3,1,3,4
VILLA MONTES,rabia,total no de personas con esquema reducido completo,2015-08-01,0,3,0,3,3
VILLAZON,rabia,total no de personas con esquema reducido completo,2015-08-01,1,2,1,2,3
WARNES,rabia,total no de personas con esquema reducido completo,2015-08-01,11,8,11,8,19
YACUIBA,rabia,total no de personas con esquema reducido completo,2015-08-01,0,1,0,1,1
YAPACANI,rabia,total no de personas con esquema reducido completo,2015-08-01,1,0,1,0,1
ACHACACHI,rabia,total no de personas con esquema reducido completo,2015-09-01,0,1,0,1,1
AIQUILE,rabia,total no de personas con esquema reducido completo,2015-09-01,1,0,1,0,1
ANTEQUERA,rabia,total no de personas con esquema reducido completo,2015-09-01,0,2,0,2,2
AZURDUY,rabia,total no de personas con esquema reducido completo,2015-09-01,0,2,0,2,2
BATALLAS,rabia,total no de personas con esquema reducido completo,2015-09-01,1,1,1,1,2
CAMIRI,rabia,total no de personas con esquema reducido completo,2015-09-01,0,1,0,1,1
CAPINOTA,rabia,total no de personas con esquema reducido completo,2015-09-01,0,1,0,1,1
CARANAVI,rabia,total no de personas con esquema reducido completo,2015-09-01,8,3,8,3,11
CHALLAPATA,rabia,total no de personas con esquema reducido completo,2015-09-01,3,5,3,5,8
CHARAGUA,rabia,total no de personas con esquema reducido completo,2015-09-01,1,0,1,0,1
COCHABAMBA,rabia,total no de personas con esquema reducido completo,2015-09-01,20,9,20,9,29
COLCAPIRHUA,rabia,total no de personas con esquema reducido completo,2015-09-01,2,4,2,4,6
COTOCA,rabia,total no de personas con esquema reducido completo,2015-09-01,4,0,4,0,4
CUATRO CAÑADAS,rabia,total no de personas con esquema reducido completo,2015-09-01,2,0,2,0,2
EL ALTO,rabia,total no de personas con esquema reducido completo,2015-09-01,44,33,44,33,77
EL TORNO,rabia,total no de personas con esquema reducido completo,2015-09-01,18,17,18,17,35
ENTRE RIOS TRJ,rabia,total no de personas con esquema reducido completo,2015-09-01,0,1,0,1,1
HUANUNI,rabia,total no de personas con esquema reducido completo,2015-09-01,5,2,5,2,7
LA GUARDIA,rabia,total no de personas con esquema reducido completo,2015-09-01,5,5,5,5,10
LA PAZ,rabia,total no de personas con esquema reducido completo,2015-09-01,65,48,65,48,113
MACHACAMARCA,rabia,total no de personas con esquema reducido completo,2015-09-01,2,4,2,4,6
MAIRANA,rabia,total no de personas con esquema reducido completo,2015-09-01,1,1,1,1,2
MOCOMOCO,rabia,total no de personas con esquema reducido completo,2015-09-01,0,1,0,1,1
MONTEAGUDO,rabia,total no de personas con esquema reducido completo,2015-09-01,1,0,1,0,1
MONTERO,rabia,total no de personas con esquema reducido completo,2015-09-01,7,6,7,6,13
MORO MORO,rabia,total no de personas con esquema reducido completo,2015-09-01,0,1,0,1,1
OCURI,rabia,total no de personas con esquema reducido completo,2015-09-01,1,0,1,0,1
ORURO,rabia,total no de personas con esquema reducido completo,2015-09-01,11,10,11,10,21
PAILON,rabia,total no de personas con esquema reducido completo,2015-09-01,6,8,6,8,14
PORTACHUELO,rabia,total no de personas con esquema reducido completo,2015-09-01,2,1,2,1,3
PUCARANI,rabia,total no de personas con esquema reducido completo,2015-09-01,1,1,1,1,2
PUERTO PEREZ,rabia,total no de personas con esquema reducido completo,2015-09-01,0,1,0,1,1
QUILLACOLLO,rabia,total no de personas con esquema reducido completo,2015-09-01,2,1,2,1,3
SACABA,rabia,total no de personas con esquema reducido completo,2015-09-01,1,0,1,0,1
SAMAIPATA,rabia,total no de personas con esquema reducido completo,2015-09-01,1,0,1,0,1
SAN CARLOS,rabia,total no de personas con esquema reducido completo,2015-09-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,rabia,total no de personas con esquema reducido completo,2015-09-01,0,1,0,1,1
SAN JULIAN,rabia,total no de personas con esquema reducido completo,2015-09-01,1,1,1,1,2
SAN PEDRO,rabia,total no de personas con esquema reducido completo,2015-09-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con esquema reducido completo,2015-09-01,62,64,62,64,126
SANTA ROSA DEL SARA,rabia,total no de personas con esquema reducido completo,2015-09-01,1,0,1,0,1
SANTIAGO DE MACHACA,rabia,total no de personas con esquema reducido completo,2015-09-01,0,1,0,1,1
SIPE SIPE,rabia,total no de personas con esquema reducido completo,2015-09-01,1,0,1,0,1
SORACACHI,rabia,total no de personas con esquema reducido completo,2015-09-01,0,1,0,1,1
SUCRE,rabia,total no de personas con esquema reducido completo,2015-09-01,48,36,48,36,84
TARIJA,rabia,total no de personas con esquema reducido completo,2015-09-01,16,19,16,19,35
TIPUANI,rabia,total no de personas con esquema reducido completo,2015-09-01,1,0,1,0,1
TIRAQUE (CBBA),rabia,total no de personas con esquema reducido completo,2015-09-01,1,0,1,0,1
TOCO,rabia,total no de personas con esquema reducido completo,2015-09-01,0,1,0,1,1
TRINIDAD,rabia,total no de personas con esquema reducido completo,2015-09-01,4,1,4,1,5
UNCIA,rabia,total no de personas con esquema reducido completo,2015-09-01,2,0,2,0,2
UYUNI,rabia,total no de personas con esquema reducido completo,2015-09-01,2,0,2,0,2
VALLEGRANDE,rabia,total no de personas con esquema reducido completo,2015-09-01,4,2,4,2,6
VIACHA,rabia,total no de personas con esquema reducido completo,2015-09-01,3,0,3,0,3
VILLA MONTES,rabia,total no de personas con esquema reducido completo,2015-09-01,0,1,0,1,1
VILLA TUNARI,rabia,total no de personas con esquema reducido completo,2015-09-01,1,1,1,1,2
VILLAZON,rabia,total no de personas con esquema reducido completo,2015-09-01,3,1,3,1,4
WARNES,rabia,total no de personas con esquema reducido completo,2015-09-01,6,8,6,8,14
YACUIBA,rabia,total no de personas con esquema reducido completo,2015-09-01,4,2,4,2,6
YAPACANI,rabia,total no de personas con esquema reducido completo,2015-09-01,1,3,1,3,4
ACHACACHI,rabia,total no de personas con esquema reducido completo,2015-10-01,3,1,3,1,4
ASCENCION DE GUARAYOS,rabia,total no de personas con esquema reducido completo,2015-10-01,1,0,1,0,1
BUENA VISTA,rabia,total no de personas con esquema reducido completo,2015-10-01,0,1,0,1,1
"CAIZA ""D""",rabia,total no de personas con esquema reducido completo,2015-10-01,1,0,1,0,1
CAPINOTA,rabia,total no de personas con esquema reducido completo,2015-10-01,0,1,0,1,1
CARANAVI,rabia,total no de personas con esquema reducido completo,2015-10-01,1,0,1,0,1
CARAPARI,rabia,total no de personas con esquema reducido completo,2015-10-01,1,0,1,0,1
CHALLAPATA,rabia,total no de personas con esquema reducido completo,2015-10-01,3,5,3,5,8
CHARAGUA,rabia,total no de personas con esquema reducido completo,2015-10-01,1,0,1,0,1
COCHABAMBA,rabia,total no de personas con esquema reducido completo,2015-10-01,19,21,19,21,40
COLCAPIRHUA,rabia,total no de personas con esquema reducido completo,2015-10-01,1,0,1,0,1
"COLCHA ""K""",rabia,total no de personas con esquema reducido completo,2015-10-01,2,0,2,0,2
COPACABANA,rabia,total no de personas con esquema reducido completo,2015-10-01,1,0,1,0,1
COTOCA,rabia,total no de personas con esquema reducido completo,2015-10-01,1,2,1,2,3
CUATRO CAÑADAS,rabia,total no de personas con esquema reducido completo,2015-10-01,1,0,1,0,1
EL ALTO,rabia,total no de personas con esquema reducido completo,2015-10-01,48,38,48,38,86
EL TORNO,rabia,total no de personas con esquema reducido completo,2015-10-01,8,17,8,17,25
GUAQUI,rabia,total no de personas con esquema reducido completo,2015-10-01,1,0,1,0,1
HUANUNI,rabia,total no de personas con esquema reducido completo,2015-10-01,1,0,1,0,1
LA GUARDIA,rabia,total no de personas con esquema reducido completo,2015-10-01,11,10,11,10,21
LA PAZ,rabia,total no de personas con esquema reducido completo,2015-10-01,80,46,80,46,126
MACHACAMARCA,rabia,total no de personas con esquema reducido completo,2015-10-01,5,2,5,2,7
MAIRANA,rabia,total no de personas con esquema reducido completo,2015-10-01,0,1,0,1,1
MIZQUE,rabia,total no de personas con esquema reducido completo,2015-10-01,1,0,1,0,1
MONTEAGUDO,rabia,total no de personas con esquema reducido completo,2015-10-01,4,0,4,0,4
MONTERO,rabia,total no de personas con esquema reducido completo,2015-10-01,11,4,11,4,15
MORO MORO,rabia,total no de personas con esquema reducido completo,2015-10-01,1,1,1,1,2
ORURO,rabia,total no de personas con esquema reducido completo,2015-10-01,16,9,16,9,25
PAILON,rabia,total no de personas con esquema reducido completo,2015-10-01,0,2,0,2,2
PALOS BLANCOS,rabia,total no de personas con esquema reducido completo,2015-10-01,2,0,2,0,2
PORONGO,rabia,total no de personas con esquema reducido completo,2015-10-01,1,1,1,1,2
PORTACHUELO,rabia,total no de personas con esquema reducido completo,2015-10-01,10,5,10,5,15
PUCARANI,rabia,total no de personas con esquema reducido completo,2015-10-01,3,0,3,0,3
QUILLACOLLO,rabia,total no de personas con esquema reducido completo,2015-10-01,8,8,8,8,16
ROBORE,rabia,total no de personas con esquema reducido completo,2015-10-01,7,4,7,4,11
SACABA,rabia,total no de personas con esquema reducido completo,2015-10-01,2,2,2,2,4
SAN IGNACIO,rabia,total no de personas con esquema reducido completo,2015-10-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,rabia,total no de personas con esquema reducido completo,2015-10-01,1,2,1,2,3
SAN JOSE DE CHIQUITOS,rabia,total no de personas con esquema reducido completo,2015-10-01,0,2,0,2,2
SAN JULIAN,rabia,total no de personas con esquema reducido completo,2015-10-01,2,2,2,2,4
SAN PEDRO DE TIQUINA,rabia,total no de personas con esquema reducido completo,2015-10-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con esquema reducido completo,2015-10-01,78,41,78,41,119
SANTA ROSA DEL SARA,rabia,total no de personas con esquema reducido completo,2015-10-01,0,1,0,1,1
SIPE SIPE,rabia,total no de personas con esquema reducido completo,2015-10-01,1,0,1,0,1
SUCRE,rabia,total no de personas con esquema reducido completo,2015-10-01,37,43,37,43,80
TARIJA,rabia,total no de personas con esquema reducido completo,2015-10-01,8,12,8,12,20
TIQUIPAYA,rabia,total no de personas con esquema reducido completo,2015-10-01,2,1,2,1,3
TIRAQUE (CBBA),rabia,total no de personas con esquema reducido completo,2015-10-01,0,1,0,1,1
TRINIDAD,rabia,total no de personas con esquema reducido completo,2015-10-01,5,3,5,3,8
VALLEGRANDE,rabia,total no de personas con esquema reducido completo,2015-10-01,3,2,3,2,5
VILLA MONTES,rabia,total no de personas con esquema reducido completo,2015-10-01,1,0,1,0,1
VILLA TUNARI,rabia,total no de personas con esquema reducido completo,2015-10-01,1,0,1,0,1
VILLAZON,rabia,total no de personas con esquema reducido completo,2015-10-01,0,1,0,1,1
WARNES,rabia,total no de personas con esquema reducido completo,2015-10-01,8,12,8,12,20
YACUIBA,rabia,total no de personas con esquema reducido completo,2015-10-01,1,0,1,0,1
ACHACACHI,rabia,total no de personas con esquema reducido completo,2015-11-01,2,0,2,0,2
AIQUILE,rabia,total no de personas con esquema reducido completo,2015-11-01,1,0,1,0,1
ANTEQUERA,rabia,total no de personas con esquema reducido completo,2015-11-01,3,0,3,0,3
ARBIETO,rabia,total no de personas con esquema reducido completo,2015-11-01,3,4,3,4,7
ASCENCION DE GUARAYOS,rabia,total no de personas con esquema reducido completo,2015-11-01,2,0,2,0,2
ATOCHA,rabia,total no de personas con esquema reducido completo,2015-11-01,1,2,1,2,3
BATALLAS,rabia,total no de personas con esquema reducido completo,2015-11-01,1,0,1,0,1
BERMEJO,rabia,total no de personas con esquema reducido completo,2015-11-01,1,0,1,0,1
CABEZAS,rabia,total no de personas con esquema reducido completo,2015-11-01,1,0,1,0,1
CAMIRI,rabia,total no de personas con esquema reducido completo,2015-11-01,1,0,1,0,1
CAPINOTA,rabia,total no de personas con esquema reducido completo,2015-11-01,1,0,1,0,1
CARACOLLO,rabia,total no de personas con esquema reducido completo,2015-11-01,1,0,1,0,1
CARANAVI,rabia,total no de personas con esquema reducido completo,2015-11-01,1,0,1,0,1
CHALLAPATA,rabia,total no de personas con esquema reducido completo,2015-11-01,2,4,2,4,6
CHIMORE,rabia,total no de personas con esquema reducido completo,2015-11-01,1,0,1,0,1
CHUMA,rabia,total no de personas con esquema reducido completo,2015-11-01,0,1,0,1,1
COCHABAMBA,rabia,total no de personas con esquema reducido completo,2015-11-01,21,20,21,20,41
COLCAPIRHUA,rabia,total no de personas con esquema reducido completo,2015-11-01,2,2,2,2,4
CORIPATA,rabia,total no de personas con esquema reducido completo,2015-11-01,1,0,1,0,1
COTOCA,rabia,total no de personas con esquema reducido completo,2015-11-01,3,0,3,0,3
CUATRO CAÑADAS,rabia,total no de personas con esquema reducido completo,2015-11-01,0,1,0,1,1
EL ALTO,rabia,total no de personas con esquema reducido completo,2015-11-01,16,12,16,12,28
EL TORNO,rabia,total no de personas con esquema reducido completo,2015-11-01,9,10,9,10,19
LA GUARDIA,rabia,total no de personas con esquema reducido completo,2015-11-01,5,6,5,6,11
LA PAZ,rabia,total no de personas con esquema reducido completo,2015-11-01,83,62,83,62,145
MACHACAMARCA,rabia,total no de personas con esquema reducido completo,2015-11-01,0,2,0,2,2
MAPIRI,rabia,total no de personas con esquema reducido completo,2015-11-01,2,0,2,0,2
MIZQUE,rabia,total no de personas con esquema reducido completo,2015-11-01,1,0,1,0,1
MONTEAGUDO,rabia,total no de personas con esquema reducido completo,2015-11-01,1,0,1,0,1
MONTERO,rabia,total no de personas con esquema reducido completo,2015-11-01,18,7,18,7,25
ORURO,rabia,total no de personas con esquema reducido completo,2015-11-01,7,6,7,6,13
PALOS BLANCOS,rabia,total no de personas con esquema reducido completo,2015-11-01,4,1,4,1,5
PORTACHUELO,rabia,total no de personas con esquema reducido completo,2015-11-01,9,3,9,3,12
PUNATA,rabia,total no de personas con esquema reducido completo,2015-11-01,0,1,0,1,1
QUILLACOLLO,rabia,total no de personas con esquema reducido completo,2015-11-01,10,6,10,6,16
ROBORE,rabia,total no de personas con esquema reducido completo,2015-11-01,5,4,5,4,9
SABAYA,rabia,total no de personas con esquema reducido completo,2015-11-01,0,1,0,1,1
SACABA,rabia,total no de personas con esquema reducido completo,2015-11-01,0,3,0,3,3
SAN IGNACIO,rabia,total no de personas con esquema reducido completo,2015-11-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,rabia,total no de personas con esquema reducido completo,2015-11-01,1,2,1,2,3
SAN JUAN DE YAPACANI,rabia,total no de personas con esquema reducido completo,2015-11-01,3,0,3,0,3
SAN JULIAN,rabia,total no de personas con esquema reducido completo,2015-11-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,rabia,total no de personas con esquema reducido completo,2015-11-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con esquema reducido completo,2015-11-01,61,46,61,46,107
SANTIAGO DE HUARI,rabia,total no de personas con esquema reducido completo,2015-11-01,1,0,1,0,1
SHINAOTA,rabia,total no de personas con esquema reducido completo,2015-11-01,1,0,1,0,1
SUCRE,rabia,total no de personas con esquema reducido completo,2015-11-01,50,39,50,39,89
TARIJA,rabia,total no de personas con esquema reducido completo,2015-11-01,9,7,9,7,16
TIQUIPAYA,rabia,total no de personas con esquema reducido completo,2015-11-01,1,1,1,1,2
TRINIDAD,rabia,total no de personas con esquema reducido completo,2015-11-01,2,5,2,5,7
