,group,variable,month,TOTAL Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,TOTAL Nº DE PERSONAS CON VACUNA ANTIRRÁBICA CANTIDAD,TOTALES,TOTALES,TOTALES
SICA SICA (VILLA AROMA),rabia,total no de personas con vacuna antirrabica,2015-04-01,1,0,1,0,1
SORACACHI,rabia,total no de personas con vacuna antirrabica,2015-04-01,2,1,2,1,3
SUCRE,rabia,total no de personas con vacuna antirrabica,2015-04-01,91,3,91,3,94
TACOBAMBA,rabia,total no de personas con vacuna antirrabica,2015-04-01,0,1,0,1,1
TARIJA,rabia,total no de personas con vacuna antirrabica,2015-04-01,12,16,12,16,28
TIAWANACU,rabia,total no de personas con vacuna antirrabica,2015-04-01,0,1,0,1,1
TIQUIPAYA,rabia,total no de personas con vacuna antirrabica,2015-04-01,2,0,2,0,2
TOLATA,rabia,total no de personas con vacuna antirrabica,2015-04-01,2,0,2,0,2
TOMAVE,rabia,total no de personas con vacuna antirrabica,2015-04-01,1,0,1,0,1
TRINIDAD,rabia,total no de personas con vacuna antirrabica,2015-04-01,13,21,13,21,34
UYUNI,rabia,total no de personas con vacuna antirrabica,2015-04-01,4,4,4,4,8
VALLEGRANDE,rabia,total no de personas con vacuna antirrabica,2015-04-01,1,0,1,0,1
VIACHA,rabia,total no de personas con vacuna antirrabica,2015-04-01,3,1,3,1,4
VILLA MONTES,rabia,total no de personas con vacuna antirrabica,2015-04-01,0,1,0,1,1
VILLAZON,rabia,total no de personas con vacuna antirrabica,2015-04-01,4,2,4,2,6
VINTO,rabia,total no de personas con vacuna antirrabica,2015-04-01,1,1,1,1,2
WARNES,rabia,total no de personas con vacuna antirrabica,2015-04-01,17,6,17,6,23
YACUIBA,rabia,total no de personas con vacuna antirrabica,2015-04-01,0,1,0,1,1
YAPACANI,rabia,total no de personas con vacuna antirrabica,2015-04-01,1,3,1,3,4
ACHACACHI,rabia,total no de personas con vacuna antirrabica,2015-05-01,3,0,3,0,3
AIQUILE,rabia,total no de personas con vacuna antirrabica,2015-05-01,4,1,4,1,5
ARQUE,rabia,total no de personas con vacuna antirrabica,2015-05-01,1,0,1,0,1
ASCENCION DE GUARAYOS,rabia,total no de personas con vacuna antirrabica,2015-05-01,1,1,1,1,2
ATOCHA,rabia,total no de personas con vacuna antirrabica,2015-05-01,5,3,5,3,8
BUENA VISTA,rabia,total no de personas con vacuna antirrabica,2015-05-01,2,0,2,0,2
CAMIRI,rabia,total no de personas con vacuna antirrabica,2015-05-01,1,1,1,1,2
CARANAVI,rabia,total no de personas con vacuna antirrabica,2015-05-01,3,2,3,2,5
CHALLAPATA,rabia,total no de personas con vacuna antirrabica,2015-05-01,4,0,4,0,4
CLIZA,rabia,total no de personas con vacuna antirrabica,2015-05-01,1,0,1,0,1
COCHABAMBA,rabia,total no de personas con vacuna antirrabica,2015-05-01,21,23,21,23,44
COMARAPA,rabia,total no de personas con vacuna antirrabica,2015-05-01,1,2,1,2,3
COTOCA,rabia,total no de personas con vacuna antirrabica,2015-05-01,2,0,2,0,2
CUATRO CAÑADAS,rabia,total no de personas con vacuna antirrabica,2015-05-01,1,2,1,2,3
EL ALTO,rabia,total no de personas con vacuna antirrabica,2015-05-01,170,323,170,323,493
EL PUENTE(STC),rabia,total no de personas con vacuna antirrabica,2015-05-01,1,0,1,0,1
EL TORNO,rabia,total no de personas con vacuna antirrabica,2015-05-01,8,4,8,4,12
GENERAL SAAVEDRA,rabia,total no de personas con vacuna antirrabica,2015-05-01,3,2,3,2,5
GUANAY,rabia,total no de personas con vacuna antirrabica,2015-05-01,1,1,1,1,2
HUAYLLAMARCA,rabia,total no de personas con vacuna antirrabica,2015-05-01,1,0,1,0,1
LA GUARDIA,rabia,total no de personas con vacuna antirrabica,2015-05-01,8,8,8,8,16
LA PAZ,rabia,total no de personas con vacuna antirrabica,2015-05-01,82,71,82,71,153
LLICA,rabia,total no de personas con vacuna antirrabica,2015-05-01,1,0,1,0,1
MAIRANA,rabia,total no de personas con vacuna antirrabica,2015-05-01,1,2,1,2,3
MIZQUE,rabia,total no de personas con vacuna antirrabica,2015-05-01,4,0,4,0,4
MONTEAGUDO,rabia,total no de personas con vacuna antirrabica,2015-05-01,1,2,1,2,3
MONTERO,rabia,total no de personas con vacuna antirrabica,2015-05-01,5,5,5,5,10
ORURO,rabia,total no de personas con vacuna antirrabica,2015-05-01,41,38,41,38,79
PAMPA GRANDE,rabia,total no de personas con vacuna antirrabica,2015-05-01,0,1,0,1,1
PORCO,rabia,total no de personas con vacuna antirrabica,2015-05-01,1,0,1,0,1
PORTACHUELO,rabia,total no de personas con vacuna antirrabica,2015-05-01,9,3,9,3,12
POTOSI,rabia,total no de personas con vacuna antirrabica,2015-05-01,189,143,189,143,332
PUERTO PEREZ,rabia,total no de personas con vacuna antirrabica,2015-05-01,1,1,1,1,2
PUERTO QUIJARRO,rabia,total no de personas con vacuna antirrabica,2015-05-01,0,2,0,2,2
PUNA,rabia,total no de personas con vacuna antirrabica,2015-05-01,0,1,0,1,1
QUILLACOLLO,rabia,total no de personas con vacuna antirrabica,2015-05-01,12,6,12,6,18
ROBORE,rabia,total no de personas con vacuna antirrabica,2015-05-01,3,4,3,4,7
SACABA,rabia,total no de personas con vacuna antirrabica,2015-05-01,1,1,1,1,2
SAIPINA,rabia,total no de personas con vacuna antirrabica,2015-05-01,1,0,1,0,1
SAMAIPATA,rabia,total no de personas con vacuna antirrabica,2015-05-01,0,1,0,1,1
SAN ANDRES,rabia,total no de personas con vacuna antirrabica,2015-05-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,rabia,total no de personas con vacuna antirrabica,2015-05-01,1,0,1,0,1
SAN CARLOS,rabia,total no de personas con vacuna antirrabica,2015-05-01,11,3,11,3,14
SAN IGNACIO,rabia,total no de personas con vacuna antirrabica,2015-05-01,3,1,3,1,4
SAN JOSE DE CHIQUITOS,rabia,total no de personas con vacuna antirrabica,2015-05-01,0,1,0,1,1
SAN JULIAN,rabia,total no de personas con vacuna antirrabica,2015-05-01,2,4,2,4,6
SAN RAFAEL,rabia,total no de personas con vacuna antirrabica,2015-05-01,0,1,0,1,1
SAN RAMON SCZ,rabia,total no de personas con vacuna antirrabica,2015-05-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con vacuna antirrabica,2015-05-01,288,268,288,268,556
SANTA ROSA DEL SARA,rabia,total no de personas con vacuna antirrabica,2015-05-01,3,1,3,1,4
SANTIAGO DE HUARI,rabia,total no de personas con vacuna antirrabica,2015-05-01,2,0,2,0,2
SANTIAGO DE MACHACA,rabia,total no de personas con vacuna antirrabica,2015-05-01,2,0,2,0,2
SANTIVAÑES,rabia,total no de personas con vacuna antirrabica,2015-05-01,1,0,1,0,1
SHINAOTA,rabia,total no de personas con vacuna antirrabica,2015-05-01,0,1,0,1,1
SIPE SIPE,rabia,total no de personas con vacuna antirrabica,2015-05-01,1,0,1,0,1
SUCRE,rabia,total no de personas con vacuna antirrabica,2015-05-01,65,4,65,4,69
TAPACARI,rabia,total no de personas con vacuna antirrabica,2015-05-01,1,0,1,0,1
TARIJA,rabia,total no de personas con vacuna antirrabica,2015-05-01,21,11,21,11,32
TIRAQUE (CBBA),rabia,total no de personas con vacuna antirrabica,2015-05-01,0,1,0,1,1
TRINIDAD,rabia,total no de personas con vacuna antirrabica,2015-05-01,24,28,24,28,52
TUPIZA,rabia,total no de personas con vacuna antirrabica,2015-05-01,1,1,1,1,2
UNCIA,rabia,total no de personas con vacuna antirrabica,2015-05-01,7,0,7,0,7
VACAS,rabia,total no de personas con vacuna antirrabica,2015-05-01,0,1,0,1,1
VALLEGRANDE,rabia,total no de personas con vacuna antirrabica,2015-05-01,5,6,5,6,11
VIACHA,rabia,total no de personas con vacuna antirrabica,2015-05-01,1,0,1,0,1
VILLA MONTES,rabia,total no de personas con vacuna antirrabica,2015-05-01,0,2,0,2,2
VILLAZON,rabia,total no de personas con vacuna antirrabica,2015-05-01,7,4,7,4,11
WARNES,rabia,total no de personas con vacuna antirrabica,2015-05-01,88,39,88,39,127
YACUIBA,rabia,total no de personas con vacuna antirrabica,2015-05-01,33,54,33,54,87
YAPACANI,rabia,total no de personas con vacuna antirrabica,2015-05-01,6,2,6,2,8
ACHACACHI,rabia,total no de personas con vacuna antirrabica,2015-06-01,3,1,3,1,4
AIQUILE,rabia,total no de personas con vacuna antirrabica,2015-06-01,1,2,1,2,3
ASCENCION DE GUARAYOS,rabia,total no de personas con vacuna antirrabica,2015-06-01,2,3,2,3,5
ATOCHA,rabia,total no de personas con vacuna antirrabica,2015-06-01,4,2,4,2,6
BERMEJO,rabia,total no de personas con vacuna antirrabica,2015-06-01,1,0,1,0,1
BOYUIBE,rabia,total no de personas con vacuna antirrabica,2015-06-01,0,1,0,1,1
CABEZAS,rabia,total no de personas con vacuna antirrabica,2015-06-01,2,2,2,2,4
CAJUATA,rabia,total no de personas con vacuna antirrabica,2015-06-01,0,1,0,1,1
CAMIRI,rabia,total no de personas con vacuna antirrabica,2015-06-01,3,1,3,1,4
CAPINOTA,rabia,total no de personas con vacuna antirrabica,2015-06-01,0,1,0,1,1
CARANAVI,rabia,total no de personas con vacuna antirrabica,2015-06-01,4,2,4,2,6
CARAPARI,rabia,total no de personas con vacuna antirrabica,2015-06-01,1,0,1,0,1
CHALLAPATA,rabia,total no de personas con vacuna antirrabica,2015-06-01,2,2,2,2,4
CLIZA,rabia,total no de personas con vacuna antirrabica,2015-06-01,2,2,2,2,4
COCHABAMBA,rabia,total no de personas con vacuna antirrabica,2015-06-01,54,35,54,35,89
COLCAPIRHUA,rabia,total no de personas con vacuna antirrabica,2015-06-01,1,0,1,0,1
"COLCHA ""K""",rabia,total no de personas con vacuna antirrabica,2015-06-01,1,0,1,0,1
CONCEPCION,rabia,total no de personas con vacuna antirrabica,2015-06-01,1,3,1,3,4
COTOCA,rabia,total no de personas con vacuna antirrabica,2015-06-01,4,3,4,3,7
CUATRO CAÑADAS,rabia,total no de personas con vacuna antirrabica,2015-06-01,5,5,5,5,10
EL ALTO,rabia,total no de personas con vacuna antirrabica,2015-06-01,274,161,274,161,435
EL PUENTE(STC),rabia,total no de personas con vacuna antirrabica,2015-06-01,3,0,3,0,3
EL TORNO,rabia,total no de personas con vacuna antirrabica,2015-06-01,16,13,16,13,29
ENTRE RIOS CBBA,rabia,total no de personas con vacuna antirrabica,2015-06-01,1,2,1,2,3
GENERAL SAAVEDRA,rabia,total no de personas con vacuna antirrabica,2015-06-01,2,0,2,0,2
GUAYARAMERIN,rabia,total no de personas con vacuna antirrabica,2015-06-01,2,0,2,0,2
HUACARETA,rabia,total no de personas con vacuna antirrabica,2015-06-01,2,1,2,1,3
LA GUARDIA,rabia,total no de personas con vacuna antirrabica,2015-06-01,19,21,19,21,40
LA PAZ,rabia,total no de personas con vacuna antirrabica,2015-06-01,174,166,174,166,340
LAJA,rabia,total no de personas con vacuna antirrabica,2015-06-01,1,0,1,0,1
MAIRANA,rabia,total no de personas con vacuna antirrabica,2015-06-01,1,0,1,0,1
MIZQUE,rabia,total no de personas con vacuna antirrabica,2015-06-01,1,0,1,0,1
MONTEAGUDO,rabia,total no de personas con vacuna antirrabica,2015-06-01,3,0,3,0,3
MONTERO,rabia,total no de personas con vacuna antirrabica,2015-06-01,21,16,21,16,37
MORO MORO,rabia,total no de personas con vacuna antirrabica,2015-06-01,2,0,2,0,2
ORURO,rabia,total no de personas con vacuna antirrabica,2015-06-01,36,26,36,26,62
POOPO,rabia,total no de personas con vacuna antirrabica,2015-06-01,1,0,1,0,1
PORCO,rabia,total no de personas con vacuna antirrabica,2015-06-01,1,0,1,0,1
PORONGO,rabia,total no de personas con vacuna antirrabica,2015-06-01,4,0,4,0,4
PORTACHUELO,rabia,total no de personas con vacuna antirrabica,2015-06-01,32,56,32,56,88
POTOSI,rabia,total no de personas con vacuna antirrabica,2015-06-01,166,102,166,102,268
PUNA,rabia,total no de personas con vacuna antirrabica,2015-06-01,1,0,1,0,1
PUNATA,rabia,total no de personas con vacuna antirrabica,2015-06-01,2,0,2,0,2
QUIABAYA,rabia,total no de personas con vacuna antirrabica,2015-06-01,0,1,0,1,1
QUILLACOLLO,rabia,total no de personas con vacuna antirrabica,2015-06-01,4,0,4,0,4
SAIPINA,rabia,total no de personas con vacuna antirrabica,2015-06-01,2,0,2,0,2
SAMAIPATA,rabia,total no de personas con vacuna antirrabica,2015-06-01,2,2,2,2,4
SAN ANTONIO DE LOMERIO,rabia,total no de personas con vacuna antirrabica,2015-06-01,0,1,0,1,1
SAN CARLOS,rabia,total no de personas con vacuna antirrabica,2015-06-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,rabia,total no de personas con vacuna antirrabica,2015-06-01,1,0,1,0,1
SAN JAVIER(STC),rabia,total no de personas con vacuna antirrabica,2015-06-01,1,0,1,0,1
SAN JUAN DE YAPACANI,rabia,total no de personas con vacuna antirrabica,2015-06-01,1,0,1,0,1
SAN JULIAN,rabia,total no de personas con vacuna antirrabica,2015-06-01,2,4,2,4,6
SAN LORENZO(TJA),rabia,total no de personas con vacuna antirrabica,2015-06-01,0,2,0,2,2
SAN MIGUEL DE VELASCO,rabia,total no de personas con vacuna antirrabica,2015-06-01,2,1,2,1,3
SAN RAMON SCZ,rabia,total no de personas con vacuna antirrabica,2015-06-01,2,1,2,1,3
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con vacuna antirrabica,2015-06-01,429,420,429,420,849
SANTA ROSA DEL SARA,rabia,total no de personas con vacuna antirrabica,2015-06-01,3,1,3,1,4
SANTIAGO DE HUARI,rabia,total no de personas con vacuna antirrabica,2015-06-01,1,0,1,0,1
SUCRE,rabia,total no de personas con vacuna antirrabica,2015-06-01,121,1,121,1,122
TARATA,rabia,total no de personas con vacuna antirrabica,2015-06-01,1,0,1,0,1
TARIJA,rabia,total no de personas con vacuna antirrabica,2015-06-01,22,21,22,21,43
TIQUIPAYA,rabia,total no de personas con vacuna antirrabica,2015-06-01,0,2,0,2,2
TIRAQUE (CBBA),rabia,total no de personas con vacuna antirrabica,2015-06-01,0,1,0,1,1
TOLATA,rabia,total no de personas con vacuna antirrabica,2015-06-01,2,0,2,0,2
TRINIDAD,rabia,total no de personas con vacuna antirrabica,2015-06-01,29,21,29,21,50
UNCIA,rabia,total no de personas con vacuna antirrabica,2015-06-01,7,0,7,0,7
UYUNI,rabia,total no de personas con vacuna antirrabica,2015-06-01,3,1,3,1,4
VACAS,rabia,total no de personas con vacuna antirrabica,2015-06-01,1,1,1,1,2
VIACHA,rabia,total no de personas con vacuna antirrabica,2015-06-01,2,2,2,2,4
VILLA MONTES,rabia,total no de personas con vacuna antirrabica,2015-06-01,1,3,1,3,4
VILLAZON,rabia,total no de personas con vacuna antirrabica,2015-06-01,3,6,3,6,9
WARNES,rabia,total no de personas con vacuna antirrabica,2015-06-01,17,15,17,15,32
YACUIBA,rabia,total no de personas con vacuna antirrabica,2015-06-01,71,57,71,57,128
YAPACANI,rabia,total no de personas con vacuna antirrabica,2015-06-01,5,4,5,4,9
YOTALA,rabia,total no de personas con vacuna antirrabica,2015-06-01,0,1,0,1,1
ACHACACHI,rabia,total no de personas con vacuna antirrabica,2015-07-01,2,3,2,3,5
AIQUILE,rabia,total no de personas con vacuna antirrabica,2015-07-01,4,3,4,3,7
ASCENCION DE GUARAYOS,rabia,total no de personas con vacuna antirrabica,2015-07-01,2,1,2,1,3
ATOCHA,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,0,1,0,1
BERMEJO,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,0,1,0,1
CAMIRI,rabia,total no de personas con vacuna antirrabica,2015-07-01,2,0,2,0,2
CAPINOTA,rabia,total no de personas con vacuna antirrabica,2015-07-01,0,1,0,1,1
CARANAVI,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,2,1,2,3
CARAPARI,rabia,total no de personas con vacuna antirrabica,2015-07-01,0,1,0,1,1
CHALLAPATA,rabia,total no de personas con vacuna antirrabica,2015-07-01,6,4,6,4,10
CHARAGUA,rabia,total no de personas con vacuna antirrabica,2015-07-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),rabia,total no de personas con vacuna antirrabica,2015-07-01,0,1,0,1,1
COCHABAMBA,rabia,total no de personas con vacuna antirrabica,2015-07-01,31,28,31,28,59
COMARAPA,rabia,total no de personas con vacuna antirrabica,2015-07-01,2,3,2,3,5
COTOCA,rabia,total no de personas con vacuna antirrabica,2015-07-01,21,19,21,19,40
CUATRO CAÑADAS,rabia,total no de personas con vacuna antirrabica,2015-07-01,9,3,9,3,12
EL ALTO,rabia,total no de personas con vacuna antirrabica,2015-07-01,288,219,288,219,507
EL TORNO,rabia,total no de personas con vacuna antirrabica,2015-07-01,17,19,17,19,36
ENTRE RIOS TRJ,rabia,total no de personas con vacuna antirrabica,2015-07-01,0,2,0,2,2
ENTRE RIOS CBBA,rabia,total no de personas con vacuna antirrabica,2015-07-01,3,0,3,0,3
ESCOMA,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,0,1,0,1
EUCALIPTUS,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,0,1,0,1
IXIAMAS,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,1,1,1,2
LA GUARDIA,rabia,total no de personas con vacuna antirrabica,2015-07-01,23,8,23,8,31
LA PAZ,rabia,total no de personas con vacuna antirrabica,2015-07-01,183,36,183,36,219
LLALLAGUA,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,3,1,3,4
LLICA,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,0,1,0,1
MAIRANA,rabia,total no de personas con vacuna antirrabica,2015-07-01,3,0,3,0,3
MIZQUE,rabia,total no de personas con vacuna antirrabica,2015-07-01,3,1,3,1,4
MONTEAGUDO,rabia,total no de personas con vacuna antirrabica,2015-07-01,0,1,0,1,1
MONTERO,rabia,total no de personas con vacuna antirrabica,2015-07-01,28,39,28,39,67
MORO MORO,rabia,total no de personas con vacuna antirrabica,2015-07-01,3,1,3,1,4
OMEREQUE,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,0,1,0,1
ORURO,rabia,total no de personas con vacuna antirrabica,2015-07-01,74,79,74,79,153
PADILLA,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,0,1,0,1
PAILON,rabia,total no de personas con vacuna antirrabica,2015-07-01,5,3,5,3,8
PAMPA GRANDE,rabia,total no de personas con vacuna antirrabica,2015-07-01,0,1,0,1,1
PATACAMAYA,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,1,1,1,2
POJO (CBBA),rabia,total no de personas con vacuna antirrabica,2015-07-01,0,1,0,1,1
PORONGO,rabia,total no de personas con vacuna antirrabica,2015-07-01,2,0,2,0,2
PORTACHUELO,rabia,total no de personas con vacuna antirrabica,2015-07-01,22,28,22,28,50
POTOSI,rabia,total no de personas con vacuna antirrabica,2015-07-01,166,102,166,102,268
PUERTO QUIJARRO,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,0,1,0,1
QUILLACOLLO,rabia,total no de personas con vacuna antirrabica,2015-07-01,5,4,5,4,9
QUIRUSILLAS,rabia,total no de personas con vacuna antirrabica,2015-07-01,2,0,2,0,2
REYES,rabia,total no de personas con vacuna antirrabica,2015-07-01,0,1,0,1,1
ROBORE,rabia,total no de personas con vacuna antirrabica,2015-07-01,0,1,0,1,1
SACABA,rabia,total no de personas con vacuna antirrabica,2015-07-01,2,1,2,1,3
SACABAMBA,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,0,1,0,1
SAMAIPATA,rabia,total no de personas con vacuna antirrabica,2015-07-01,3,0,3,0,3
SAN BORJA,rabia,total no de personas con vacuna antirrabica,2015-07-01,4,6,4,6,10
SAN BUENA VENTURA,rabia,total no de personas con vacuna antirrabica,2015-07-01,0,1,0,1,1
SAN CARLOS,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,0,1,0,1
SAN IGNACIO,rabia,total no de personas con vacuna antirrabica,2015-07-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,rabia,total no de personas con vacuna antirrabica,2015-07-01,2,1,2,1,3
SAN JOSE DE CHIQUITOS,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,0,1,0,1
SAN JUAN DE YAPACANI,rabia,total no de personas con vacuna antirrabica,2015-07-01,0,1,0,1,1
SAN JULIAN,rabia,total no de personas con vacuna antirrabica,2015-07-01,5,10,5,10,15
SAN LUCAS,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,0,1,0,1
SAN RAMON SCZ,rabia,total no de personas con vacuna antirrabica,2015-07-01,2,1,2,1,3
SANTA CRUZ DE LA SIERRA,rabia,total no de personas con vacuna antirrabica,2015-07-01,511,524,511,524,1035
SANTA ROSA DEL SARA,rabia,total no de personas con vacuna antirrabica,2015-07-01,2,0,2,0,2
SHINAOTA,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,0,1,0,1
SIPE SIPE,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,0,1,0,1
SUCRE,rabia,total no de personas con vacuna antirrabica,2015-07-01,84,0,84,0,84
TARATA,rabia,total no de personas con vacuna antirrabica,2015-07-01,2,2,2,2,4
TARIJA,rabia,total no de personas con vacuna antirrabica,2015-07-01,10,25,10,25,35
TEOPONTE,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,2,1,2,3
TIAWANACU,rabia,total no de personas con vacuna antirrabica,2015-07-01,2,1,2,1,3
TIPUANI,rabia,total no de personas con vacuna antirrabica,2015-07-01,3,2,3,2,5
TOLATA,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,0,1,0,1
TOLEDO,rabia,total no de personas con vacuna antirrabica,2015-07-01,0,2,0,2,2
TRINIDAD,rabia,total no de personas con vacuna antirrabica,2015-07-01,23,28,23,28,51
TUPIZA,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,0,1,0,1
UNCIA,rabia,total no de personas con vacuna antirrabica,2015-07-01,2,0,2,0,2
UYUNI,rabia,total no de personas con vacuna antirrabica,2015-07-01,5,1,5,1,6
VACAS,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,0,1,0,1
VALLEGRANDE,rabia,total no de personas con vacuna antirrabica,2015-07-01,3,3,3,3,6
VIACHA,rabia,total no de personas con vacuna antirrabica,2015-07-01,5,4,5,4,9
VILLA MONTES,rabia,total no de personas con vacuna antirrabica,2015-07-01,4,1,4,1,5
VILLA TUNARI,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,0,1,0,1
VILLAZON,rabia,total no de personas con vacuna antirrabica,2015-07-01,6,4,6,4,10
WARNES,rabia,total no de personas con vacuna antirrabica,2015-07-01,7,6,7,6,13
YACUIBA,rabia,total no de personas con vacuna antirrabica,2015-07-01,1,0,1,0,1
YAPACANI,rabia,total no de personas con vacuna antirrabica,2015-07-01,4,8,4,8,12
YOTALA,rabia,total no de personas con vacuna antirrabica,2015-07-01,0,2,0,2,2
ACHACACHI,rabia,total no de personas con vacuna antirrabica,2015-08-01,3,1,3,1,4
ACHOCALLA,rabia,total no de personas con vacuna antirrabica,2015-08-01,0,2,0,2,2
AIQUILE,rabia,total no de personas con vacuna antirrabica,2015-08-01,3,1,3,1,4
ANDAMARCA,rabia,total no de personas con vacuna antirrabica,2015-08-01,0,1,0,1,1
BELEN DE URMIRI,rabia,total no de personas con vacuna antirrabica,2015-08-01,1,0,1,0,1
BETANZOS,rabia,total no de personas con vacuna antirrabica,2015-08-01,1,0,1,0,1
BUENA VISTA,rabia,total no de personas con vacuna antirrabica,2015-08-01,0,1,0,1,1
CABEZAS,rabia,total no de personas con vacuna antirrabica,2015-08-01,3,0,3,0,3
"CAIZA ""D""",rabia,total no de personas con vacuna antirrabica,2015-08-01,0,1,0,1,1
CAMARGO,rabia,total no de personas con vacuna antirrabica,2015-08-01,3,7,3,7,10
CAMIRI,rabia,total no de personas con vacuna antirrabica,2015-08-01,1,0,1,0,1
CAPINOTA,rabia,total no de personas con vacuna antirrabica,2015-08-01,0,2,0,2,2
CARACOLLO,rabia,total no de personas con vacuna antirrabica,2015-08-01,1,1,1,1,2
CARANAVI,rabia,total no de personas con vacuna antirrabica,2015-08-01,3,3,3,3,6
CARAPARI,rabia,total no de personas con vacuna antirrabica,2015-08-01,2,1,2,1,3
CHALLAPATA,rabia,total no de personas con vacuna antirrabica,2015-08-01,14,29,14,29,43
CHARAGUA,rabia,total no de personas con vacuna antirrabica,2015-08-01,1,0,1,0,1
COCHABAMBA,rabia,total no de personas con vacuna antirrabica,2015-08-01,45,18,45,18,63
COLCAPIRHUA,rabia,total no de personas con vacuna antirrabica,2015-08-01,3,4,3,4,7
COMARAPA,rabia,total no de personas con vacuna antirrabica,2015-08-01,3,1,3,1,4
CONCEPCION,rabia,total no de personas con vacuna antirrabica,2015-08-01,4,0,4,0,4
COTOCA,rabia,total no de personas con vacuna antirrabica,2015-08-01,7,4,7,4,11
CUATRO CAÑADAS,rabia,total no de personas con vacuna antirrabica,2015-08-01,3,5,3,5,8
EL ALTO,rabia,total no de personas con vacuna antirrabica,2015-08-01,198,240,198,240,438
EL TORNO,rabia,total no de personas con vacuna antirrabica,2015-08-01,15,13,15,13,28
ENTRE RIOS TRJ,rabia,total no de personas con vacuna antirrabica,2015-08-01,1,4,1,4,5
EUCALIPTUS,rabia,total no de personas con vacuna antirrabica,2015-08-01,0,1,0,1,1
GUANAY,rabia,total no de personas con vacuna antirrabica,2015-08-01,0,1,0,1,1
GUAQUI,rabia,total no de personas con vacuna antirrabica,2015-08-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),rabia,total no de personas con vacuna antirrabica,2015-08-01,0,1,0,1,1
LA GUARDIA,rabia,total no de personas con vacuna antirrabica,2015-08-01,35,14,35,14,49
LA PAZ,rabia,total no de personas con vacuna antirrabica,2015-08-01,136,115,136,115,251
LLICA,rabia,total no de personas con vacuna antirrabica,2015-08-01,1,0,1,0,1
MAIRANA,rabia,total no de personas con vacuna antirrabica,2015-08-01,3,3,3,3,6
MAPIRI,rabia,total no de personas con vacuna antirrabica,2015-08-01,1,1,1,1,2
MONTERO,rabia,total no de personas con vacuna antirrabica,2015-08-01,24,34,24,34,58
MORO MORO,rabia,total no de personas con vacuna antirrabica,2015-08-01,1,2,1,2,3
ORURO,rabia,total no de personas con vacuna antirrabica,2015-08-01,60,82,60,82,142
PAILON,rabia,total no de personas con vacuna antirrabica,2015-08-01,0,2,0,2,2
PALOS BLANCOS,rabia,total no de personas con vacuna antirrabica,2015-08-01,2,0,2,0,2
PAMPA GRANDE,rabia,total no de personas con vacuna antirrabica,2015-08-01,2,3,2,3,5
PATACAMAYA,rabia,total no de personas con vacuna antirrabica,2015-08-01,1,2,1,2,3
PORONGO,rabia,total no de personas con vacuna antirrabica,2015-08-01,4,0,4,0,4
PORTACHUELO,rabia,total no de personas con vacuna antirrabica,2015-08-01,5,3,5,3,8
POTOSI,rabia,total no de personas con vacuna antirrabica,2015-08-01,208,160,208,160,368
PUERTO PEREZ,rabia,total no de personas con vacuna antirrabica,2015-08-01,0,1,0,1,1
PUERTO QUIJARRO,rabia,total no de personas con vacuna antirrabica,2015-08-01,0,1,0,1,1
QUILLACOLLO,rabia,total no de personas con vacuna antirrabica,2015-08-01,4,1,4,1,5
SACABA,rabia,total no de personas con vacuna antirrabica,2015-08-01,5,2,5,2,7
SACABAMBA,rabia,total no de personas con vacuna antirrabica,2015-08-01,1,1,1,1,2
SAIPINA,rabia,total no de personas con vacuna antirrabica,2015-08-01,2,1,2,1,3
SAMAIPATA,rabia,total no de personas con vacuna antirrabica,2015-08-01,2,0,2,0,2
