,group,variable,month,ANTIRRÁBICA HUMANA ESQUEMA COMPLETO CANTIDAD,ANTIRRÁBICA HUMANA ESQUEMA COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
CAPINOTA,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,3,0,3,0,3
CARANAVI,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,45,0,45,0,45
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,2,0,2,0,2
CHALLAPATA,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,36,0,36,0,36
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,3,0,3,0,3
COMARAPA,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,1,0,1,0,1
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,4,1,4,1,5
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,69,0,69,0,69
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,2,0,2,0,2
ENTRE RIOS TRJ,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,3,0,3,0,3
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,4,0,4,0,4
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,15,0,15,0,15
MINEROS,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,1,0,1,0,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,15,0,15,0,15
PAZÑA,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,28,69,28,69,97
PORCO,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,1,0,1,0,1
PORONGO,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,2,0,2,0,2
PORTACHUELO,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,1,0,1,0,1
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,18,0,18,0,18
PUERTO VILLARROEL,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,1,0,1,0,1
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,2,0,2,0,2
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,19,1,19,1,20
SAN BENITO,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,1,0,1,0,1
SAN IGNACIO,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,3,0,3,0,3
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,5,0,5,0,5
SAN PEDRO DE TIQUINA,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,1,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,161,1,161,1,162
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,1,0,1,0,1
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,76,0,76,0,76
TAPACARI,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,0,1,0,1,1
TARATA,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,2,0,2,0,2
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,1,0,1,0,1
TRIGAL,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,1,0,1,0,1
TRINIDAD,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,1,0,1,0,1
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,2,0,2,0,2
UYUNI,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,4,0,4,0,4
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,1,0,1,0,1
VILLAZON,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,2,0,2,0,2
VINTO,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,3,0,3,0,3
WARNES,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,27,0,27,0,27
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,3,0,3,0,3
YOTALA,otras vacunaciones,antirrabica humana esquema completo,2011-08-01,1,0,1,0,1
ANZALDO,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,2,0,2,0,2
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,1,0,1,0,1
CAMIRI,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,1,0,1,0,1
CAQUIAVIRI,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,0,2,0,2,2
CARANAVI,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,12,0,12,0,12
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,2,0,2,0,2
CKOCHAS,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,120,0,120,0,120
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,71,0,71,0,71
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,4,0,4,0,4
COMARAPA,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,1,0,1,0,1
CORO CORO,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,0,2,0,2,2
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,70,0,70,0,70
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,0,3,0,3,3
ENTRE RIOS TRJ,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,2,0,2,0,2
ENTRE RIOS CBBA,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,11,0,11,0,11
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,3,0,3,0,3
MAIRANA,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,1,0,1,0,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,29,0,29,0,29
OKINAWA,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,2,0,2,0,2
ORURO,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,1,0,1,0,1
PORONGO,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,7,0,7,0,7
PORTACHUELO,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,5,0,5,0,5
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,15,0,15,0,15
PUERTO VILLARROEL,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,4,0,4,0,4
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,0,1,0,1,1
SACABA,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,2,0,2,0,2
SAN IGNACIO,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,3,0,3,0,3
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,1,0,1,0,1
SAN JAVIER(BNI),otras vacunaciones,antirrabica humana esquema completo,2011-09-01,1,0,1,0,1
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,2,0,2,0,2
SAN LORENZO(TJA),otras vacunaciones,antirrabica humana esquema completo,2011-09-01,1,0,1,0,1
SAN MATIAS,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,1,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,5,0,5,0,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,163,0,163,0,163
SANTIVAÑES,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,1,0,1,0,1
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,3,0,3,0,3
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,75,1,75,1,76
TACOPAYA,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,1,0,1,0,1
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,11,0,11,0,11
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,7,0,7,0,7
TRINIDAD,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,1,0,1,0,1
VACAS,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,0,2,0,2,2
VALLEGRANDE,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,2,0,2,0,2
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,1,0,1,0,1
VILLA MONTES,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,1,0,1,0,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,11,13,11,13,24
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,5,1,5,1,6
YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,1,0,1,0,1
YOTALA,otras vacunaciones,antirrabica humana esquema completo,2011-09-01,1,0,1,0,1
ARBIETO,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,0,2,0,2,2
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,3,0,3,0,3
CAMIRI,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,2,0,2,0,2
CAPINOTA,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,3,0,3,0,3
CARANAVI,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,4,0,4,0,4
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,94,0,94,0,94
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,9,0,9,0,9
COROICO,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,38,10,38,10,48
COTAGAITA,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,1,0,1,0,1
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,3,3,3,3,6
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,98,0,98,0,98
EL PUENTE(STC),otras vacunaciones,antirrabica humana esquema completo,2011-10-01,1,0,1,0,1
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,4,0,4,0,4
ENTRE RIOS TRJ,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,4,0,4,0,4
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,8,0,8,0,8
MAIRANA,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,1,0,1,0,1
MAPIRI,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,1,0,1,0,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,4,0,4,0,4
ORURO,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,12,0,12,0,12
PADILLA,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,1,0,1,0,1
PORONGO,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,3,0,3,0,3
PORTACHUELO,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,6,0,6,0,6
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,19,0,19,0,19
PUERTO SUAREZ,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,10,0,10,0,10
PUERTO VILLARROEL,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,17,0,17,0,17
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,48,0,48,0,48
SAN IGNACIO,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,3,0,3,0,3
SAN JOSE DE CHIQUITOS,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,5,0,5,0,5
SAN LORENZO(TJA),otras vacunaciones,antirrabica humana esquema completo,2011-10-01,1,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,186,0,186,0,186
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,39,0,39,0,39
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,20,0,20,0,20
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,6,0,6,0,6
TOCO,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,0,1,0,1,1
TOTORA(CBBA),otras vacunaciones,antirrabica humana esquema completo,2011-10-01,1,0,1,0,1
TRINIDAD,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,1,0,1,0,1
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,2,0,2,0,2
VILLAZON,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,2,0,2,0,2
WARNES,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,15,0,15,0,15
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,9,0,9,0,9
ZUDAÑEZ,otras vacunaciones,antirrabica humana esquema completo,2011-10-01,1,0,1,0,1
ARBIETO,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,0,1,0,1,1
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,1,0,1,0,1
CAPINOTA,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,2,0,2,0,2
CHARAÑA,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,0,1,0,1,1
CHIMORE,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,63,1,63,1,64
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,9,0,9,0,9
COLLANA,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,1,0,1,0,1
COMARAPA,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,3,0,3,0,3
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,1,0,1,0,1
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,74,0,74,0,74
EL PUENTE(STC),otras vacunaciones,antirrabica humana esquema completo,2011-11-01,2,0,2,0,2
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,42,0,42,0,42
ENTRE RIOS TRJ,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,3,0,3,0,3
HUACHACALLA,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,23,0,23,0,23
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,13,0,13,0,13
MAIRANA,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,2,0,2,0,2
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,14,0,14,0,14
PATACAMAYA,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,1,0,1,0,1
PORONGO,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,2,0,2,0,2
PORTACHUELO,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,2,0,2,0,2
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,7,0,7,0,7
PUERTO SUAREZ,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,2,0,2,0,2
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,21,33,21,33,54
SACABA,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,4,0,4,0,4
SAN CARLOS,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,12,0,12,0,12
SAN IGNACIO,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,7,0,7,0,7
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,0,4,0,4,4
SAN RAMON SCZ,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,5,0,5,0,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,178,0,178,0,178
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,1,0,1,0,1
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,8,0,8,0,8
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,39,0,39,0,39
TARIJA,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,1,0,1,0,1
TIAWANACU,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,2,0,2,0,2
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,4,0,4,0,4
TRIGAL,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,1,0,1,0,1
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,1,0,1,0,1
UYUNI,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,1,0,1,0,1
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,1,0,1,0,1
VILLA MONTES,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,3,0,3,0,3
VILLAZON,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,1,0,1,0,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,5,0,5,0,5
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,6,0,6,0,6
YOCALLA,otras vacunaciones,antirrabica humana esquema completo,2011-11-01,10,0,10,0,10
ARANI,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,0,1,0,1,1
ARBIETO,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,1,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,1,0,1,0,1
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,3,0,3,0,3
CABEZAS,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,1,0,1,0,1
CAMIRI,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,1,0,1,0,1
CAPINOTA,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,1,0,1,0,1
CARANAVI,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,2,0,2,0,2
CHALLAPATA,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,61,0,61,0,61
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,5,0,5,0,5
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,1,0,1,0,1
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,61,0,61,0,61
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,14,0,14,0,14
ENTRE RIOS TRJ,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,2,0,2,0,2
ENTRE RIOS CBBA,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,1,0,1,0,1
GUANAY,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,2,0,2,0,2
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,11,0,11,0,11
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,4,0,4,0,4
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,14,0,14,0,14
PORONGO,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,6,0,6,0,6
PORTACHUELO,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,1,0,1,0,1
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,11,0,11,0,11
PUERTO SUAREZ,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,4,0,4,0,4
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,0,1,0,1,1
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,2,0,2,0,2
SACABA,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,4,0,4,0,4
SAN ANTONIO DE LOMERIO,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,4,0,4,0,4
SAN IGNACIO,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,5,0,5,0,5
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,2,0,2,0,2
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,8,0,8,0,8
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,146,0,146,0,146
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,1,0,1,0,1
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,1,0,1,0,1
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,415,0,415,0,415
TARATA,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,3,0,3,0,3
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,1,0,1,0,1
TRIGAL,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,1,0,1,0,1
UYUNI,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,4,0,4,0,4
VIACHA,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,3,0,3,0,3
VILLA TUNARI,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,1,0,1,0,1
VILLAZON,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,1,0,1,0,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,5,0,5,0,5
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2011-12-01,5,0,5,0,5
