,group,variable,month,CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
PAMPA AULLAGAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,186,197,186,197,383
PAMPA GRANDE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,9,41,9,41,50
PAPEL PAMPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,29,41,29,41,70
PASORAPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,13,9,13,9,22
PATACAMAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,15,59,15,59,74
PAZÑA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,47,56,47,56,103
PELECHUCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,36,62,36,62,98
POCOATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,89,162,89,162,251
POCONA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,123,127,123,127,250
POJO (CBBA),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,16,0,16,0,16
POOPO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,46,63,46,63,109
PORCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,30,62,30,62,92
PORONGO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,266,247,266,247,513
PORTACHUELO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,255,345,255,345,600
PORVENIR,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,145,155,145,155,300
POSTRER VALLE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,16,23,16,23,39
POTOSI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,229,726,229,726,955
PRESTO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,9,11,9,11,20
PUCARA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,13,22,13,22,35
PUCARANI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,83,112,83,112,195
PUERTO ACOSTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,14,25,14,25,39
PUERTO CARABUCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,82,69,82,69,151
PUERTO GONZALO MORENO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,66,41,66,41,107
PUERTO PEREZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,2,3,2,3,5
PUERTO QUIJARRO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,66,36,66,36,102
PUERTO RICO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,1,11,1,11,12
PUERTO SILES,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,40,40,40,40,80
PUERTO SUAREZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,70,99,70,99,169
PUERTO VILLARROEL,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,74,205,74,205,279
PUNA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,145,98,145,98,243
PUNATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,207,361,207,361,568
QUILLACOLLO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,75,421,75,421,496
QUIME,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,46,105,46,105,151
QUIRUSILLAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,25,25,25,25,50
RAVELO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,14,42,14,42,56
REYES,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,37,61,37,61,98
RIBERALTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,248,515,248,515,763
ROBORE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,66,63,66,63,129
RURRENABAQUE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,15,126,15,126,141
SABAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,39,65,39,65,104
SACABA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,1429,2706,1429,2706,4135
SACABAMBA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,195,134,195,134,329
SACACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,20,111,20,111,131
SAIPINA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,62,69,62,69,131
SALINAS DE GARCI MENDOZA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,73,56,73,56,129
SAMAIPATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,19,31,19,31,50
SAN AGUSTIN,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,18,21,18,21,39
SAN ANDRES,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,48,39,48,39,87
SAN ANDRES DE MACHACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,51,86,51,86,137
SAN ANTONIO DE LOMERIO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,69,0,69,0,69
SAN BENITO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,103,127,103,127,230
SAN BORJA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,239,475,239,475,714
SAN BUENA VENTURA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,43,72,43,72,115
SAN CARLOS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,41,54,41,54,95
SAN IGNACIO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,167,205,167,205,372
SAN IGNACIO DE VELASCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,130,67,130,67,197
SAN JAVIER(BNI),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,14,26,14,26,40
SAN JAVIER(STC),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,8,23,8,23,31
SAN JOAQUIN,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,49,49,49,49,98
SAN JOSE DE CHIQUITOS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,34,64,34,64,98
SAN JUAN DE YAPACANI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,323,351,323,351,674
SAN JULIAN,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,5,12,5,12,17
SAN LORENZO(PND),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,0,11,0,11,11
SAN LORENZO(TJA),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,398,787,398,787,1185
SAN LUCAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,315,307,315,307,622
SAN MATIAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,44,97,44,97,141
SAN MIGUEL DE VELASCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,38,54,38,54,92
SAN PEDRO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,14,16,14,16,30
SAN PEDRO DE BUENA VISTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,23,66,23,66,89
SAN PEDRO DE CURAHUARA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,6,8,6,8,14
SAN PEDRO DE TIQUINA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,15,34,15,34,49
SAN RAFAEL,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,47,14,47,14,61
SAN RAMON BENI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,42,54,42,54,96
SAN RAMON SCZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,11,73,11,73,84
SANTA ANA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,85,180,85,180,265
SANTA CRUZ DE LA SIERRA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,2884,5153,2884,5153,8037
SANTA ROSA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,267,254,267,254,521
SANTA ROSA DEL SARA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,101,121,101,121,222
SANTIAGO DE CALLAPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,31,47,31,47,78
SANTIAGO DE HUARI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,90,140,90,140,230
SANTIAGO DE HUATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,20,16,20,16,36
SANTIAGO DE MACHACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,15,25,15,25,40
SANTIVAÑES,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,65,91,65,91,156
SANTUARIO DE QUILLACAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,8,17,8,17,25
SAPAHAQUI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,75,97,75,97,172
SENA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,43,84,43,84,127
SHINAOTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,63,74,63,74,137
SICA SICA (VILLA AROMA),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,34,72,34,72,106
SICAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,14,27,14,27,41
SIPE SIPE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,127,190,127,190,317
SOPACHUY,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,524,620,524,620,1144
SORACACHI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,140,122,140,122,262
SORATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,33,76,33,76,109
SUCRE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,2020,2857,2020,2857,4877
TACACOMA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,56,79,56,79,135
TACOPAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,3,30,3,30,33
TAHUA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,9,10,9,10,19
TAPACARI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,517,508,517,508,1025
TARABUCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,41,58,41,58,99
TARACO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,13,11,13,11,24
TARATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,45,43,45,43,88
TARIJA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,2082,3157,2082,3157,5239
TARVITA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,95,186,95,186,281
TEOPONTE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,2,2,2,2,4
TIAWANACU,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,43,78,43,78,121
TINGUIPAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,28,46,28,46,74
TIPUANI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,8,10,8,10,18
TIQUIPAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,122,236,122,236,358
TIRAQUE (CBBA),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,43,34,43,34,77
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,6,14,6,14,20
TOCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,54,63,54,63,117
TOLATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,43,74,43,74,117
TOLEDO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,81,120,81,120,201
TOMAVE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,28,60,28,60,88
TOMINA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,209,216,209,216,425
TORO TORO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,77,60,77,60,137
TOTORA(CBBA),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,0,101,0,101,101
TOTORA(ORR),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,1,0,1,0,1
TRIGAL,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,12,23,12,23,35
TRINIDAD,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,648,671,648,671,1319
TUPIZA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,202,214,202,214,416
TURCO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,15,37,15,37,52
UNCIA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,23,46,23,46,69
URIONDO (A. CONCEPCION),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,304,503,304,503,807
URUBICHA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,4,9,4,9,13
UYUNI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,19,48,19,48,67
VACAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,180,299,180,299,479
VALLEGRANDE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,74,103,74,103,177
VIACHA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,42,128,42,128,170
VILA VILA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,0,15,0,15,15
VILLA CHARCAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,16,19,16,19,35
VILLA MONTES,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,320,509,320,509,829
VILLA NUEVA (LOMA ALTA),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,32,41,32,41,73
VILLA RIVERO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,140,126,140,126,266
VILLA SERRANO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,159,246,159,246,405
VILLA TUNARI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,661,771,661,771,1432
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,500,512,500,512,1012
VILLAZON,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,228,375,228,375,603
VINTO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,16,54,16,54,70
VITICHI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,10,38,10,38,48
WALDO BALLIVIAN,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,9,9,9,9,18
WARNES,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,221,323,221,323,544
YACO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,45,62,45,62,107
YACUIBA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,587,1268,587,1268,1855
YAMPARAEZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,20,38,20,38,58
YANACACHI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,23,18,23,18,41
YAPACANI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,87,95,87,95,182
YOCALLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,24,24,24,24,48
YOTALA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,19,35,19,35,54
YUNCHARA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,4,17,4,17,21
ZUDAÑEZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-04-01,46,68,46,68,114
ACACIO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,11,32,11,32,43
ACHACACHI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,293,319,293,319,612
ACHOCALLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,166,191,166,191,357
AIQUILE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,48,81,48,81,129
ALALAY,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,62,67,62,67,129
ALCALA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,23,75,23,75,98
ALTO BENI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,40,37,40,37,77
ANCORAIMES,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,43,47,43,47,90
ANDAMARCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,33,36,33,36,69
ANTEQUERA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,63,55,63,55,118
ANZALDO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,13,51,13,51,64
APOLO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,180,260,180,260,440
ARAMPAMPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,23,29,23,29,52
ARANI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,15,20,15,20,35
ARBIETO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,7,7,7,7,14
ARQUE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,87,161,87,161,248
ASCENCION DE GUARAYOS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,15,45,15,45,60
ATOCHA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,390,331,390,331,721
AYATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,190,217,190,217,407
AYO AYO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,19,30,19,30,49
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,345,415,345,415,760
AZURDUY,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,11,10,11,10,21
BATALLAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,30,63,30,63,93
BAURES,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,16,9,16,9,25
BELEN DE ANDAMARCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,9,15,9,15,24
BELEN DE URMIRI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,14,10,14,10,24
BERMEJO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,374,351,374,351,725
BETANZOS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,72,111,72,111,183
BOLIVAR,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,122,119,122,119,241
BOLPEBRA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,51,48,51,48,99
BOYUIBE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,12,53,12,53,65
BUENA VISTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,8,17,8,17,25
CABEZAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,100,113,100,113,213
CAIROMA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,100,109,100,109,209
"CAIZA ""D""",atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,43,46,43,46,89
CAJUATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,37,61,37,61,98
CALACOTO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,61,114,61,114,175
CALAMARCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,191,137,191,137,328
CAMARGO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,289,342,289,342,631
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,42,63,42,63,105
CAMIRI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,313,349,313,349,662
CAPINOTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,49,61,49,61,110
CAQUIAVIRI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,46,70,46,70,116
CARACOLLO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,297,83,297,83,380
CARANAVI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,123,252,123,252,375
CARAPARI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,150,259,150,259,409
CARIPUYO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,71,129,71,129,200
CARMEN RIVERO TORREZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,26,39,26,39,65
CATACORA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,39,52,39,52,91
CHACARILLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,7,6,7,6,13
CHALLAPATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,165,254,165,254,419
CHAQUI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,0,20,0,20,20
CHARAGUA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,90,191,90,191,281
CHARAÑA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,18,38,18,38,56
CHAYANTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,72,75,72,75,147
CHIMORE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,93,105,93,105,198
CHIPAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,9,9,9,9,18
CHOQUE COTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,14,0,14,0,14
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,59,72,59,72,131
CHUMA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,142,151,142,151,293
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,36,60,36,60,96
CKOCHAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,15,37,15,37,52
CLIZA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,38,116,38,116,154
COBIJA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,235,364,235,364,599
COCAPATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,16,77,16,77,93
COCHABAMBA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,2443,3298,2443,3298,5741
COIPASA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,5,17,5,17,22
COLCAPIRHUA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,38,218,38,218,256
"COLCHA ""K""",atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,19,25,19,25,44
COLLANA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,11,11,11,11,22
COLOMI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,23,35,23,35,58
COLPA BELGICA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,252,230,252,230,482
COLQUECHACA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,64,90,64,90,154
COLQUENCHA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,10,19,10,19,29
COLQUIRI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,43,72,43,72,115
COMANCHE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,75,117,75,117,192
COMARAPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,61,193,61,193,254
COMBAYA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,9,7,9,7,16
CONCEPCION,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,4,14,4,14,18
COPACABANA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,36,59,36,59,95
CORIPATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,74,77,74,77,151
CORO CORO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,24,27,24,27,51
COROICO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,64,100,64,100,164
CORQUE,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,22,19,22,19,41
COTAGAITA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,225,178,225,178,403
COTOCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,26,56,26,56,82
CUATRO CAÑADAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,66,135,66,135,201
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,24,13,24,13,37
CUEVO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,15,22,15,22,37
CULPINA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,32,43,32,43,75
CURAHUARA DE CARANGAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,27,40,27,40,67
CURVA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,3,3,3,3,6
DESAGUADERO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,0,2,0,2,2
EL ALTO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,3156,4476,3156,4476,7632
EL CHORO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,27,25,27,25,52
EL PUENTE(STC),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,34,86,34,86,120
EL PUENTE(TJA),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,113,309,113,309,422
EL TORNO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,163,229,163,229,392
EL VILLAR,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,8,29,8,29,37
ENTRE RIOS TRJ,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,78,179,78,179,257
ENTRE RIOS CBBA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,22,17,22,17,39
ESCOMA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,49,73,49,73,122
EUCALIPTUS,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,84,73,84,73,157
FERNANDEZ ALONSO,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,38,118,38,118,156
FILADELFIA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,25,25,25,25,50
GENERAL SAAVEDRA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,24,76,24,76,100
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,155,150,155,150,305
GUANAY,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,66,84,66,84,150
GUAQUI,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,71,118,71,118,189
GUAYARAMERIN,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,117,293,117,293,410
GUTIERREZ,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,308,315,308,315,623
HUACARETA,atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,49,80,49,80,129
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consultas nuevas de 5 a 59 anos,2010-05-01,1,10,1,10,11
