,group,variable,month,CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
GUANAY,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,36,19,36,19,55
GUAQUI,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,18,5,18,5,23
GUAYARAMERIN,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,27,23,27,23,50
GUTIERREZ,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,105,76,105,76,181
HUACARETA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,59,37,59,37,96
HUACHACALLA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,1,0,1,0,1
HUANUNI,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,22,50,22,50,72
HUARACAJE,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,6,8,6,8,14
HUARINA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,10,9,10,9,19
HUAYLLAMARCA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,12,17,12,17,29
HUMANATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,12,1,12,1,13
ICLA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,43,30,43,30,73
INCAHUASI,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,14,16,14,16,30
IRUPANA (VILLA DE LANZA),atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,16,45,16,45,61
IXIAMAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,20,17,20,17,37
JESUS DE MACHACA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,19,39,19,39,58
LA ASUNTA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,17,12,17,12,29
LA GUARDIA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,75,70,75,70,145
LA PAZ,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,2969,3922,2969,3922,6891
LAGUNILLAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,25,27,25,27,52
LAJA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,2,9,2,9,11
LAS CARRERAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,8,9,8,9,17
LLALLAGUA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,299,308,299,308,607
LLICA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,20,14,20,14,34
LURIBAY,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,10,3,10,3,13
MACHACAMARCA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,21,14,21,14,35
MACHARETI,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,48,19,48,19,67
MAGDALENA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,12,11,12,11,23
MAIRANA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,52,76,52,76,128
MALLA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,1,0,1,0,1
MAPIRI,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,42,44,42,44,86
MECAPACA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,3,1,3,1,4
MINEROS,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,42,75,42,75,117
MIZQUE,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,13,28,13,28,41
MOCOMOCO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,11,3,11,3,14
MOJOCOYA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,11,10,11,10,21
MONTEAGUDO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,61,104,61,104,165
MONTERO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,265,309,265,309,574
MORO MORO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,42,26,42,26,68
MOROCHATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,46,57,46,57,103
OCURI,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,2,7,2,7,9
OKINAWA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,25,30,25,30,55
OMEREQUE,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,10,18,10,18,28
ORURO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,875,917,875,917,1792
PADCAYA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,7,5,7,5,12
PADILLA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,42,48,42,48,90
PAILON,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,86,87,86,87,173
PALCA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,32,35,32,35,67
PALOS BLANCOS,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,10,6,10,6,16
PAMPA AULLAGAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,14,13,14,13,27
PAMPA GRANDE,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,6,19,6,19,25
PAPEL PAMPA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,6,7,6,7,13
PASORAPA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,6,4,6,4,10
PATACAMAYA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,21,23,21,23,44
PAZÑA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,35,35,35,35,70
PELECHUCO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,14,7,14,7,21
POCOATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,51,27,51,27,78
POCONA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,7,8,7,8,15
POJO (CBBA),atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,76,0,76,0,76
POOPO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,32,26,32,26,58
PORCO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,26,29,26,29,55
POROMA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,7,1,7,1,8
PORONGO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,13,10,13,10,23
PORTACHUELO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,29,52,29,52,81
PORVENIR,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,32,22,32,22,54
POSTRER VALLE,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,6,11,6,11,17
POTOSI,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,603,541,603,541,1144
PRESTO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,4,0,4,0,4
PUCARA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,13,10,13,10,23
PUCARANI,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,44,46,44,46,90
PUERTO ACOSTA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,8,3,8,3,11
PUERTO CARABUCO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,4,7,4,7,11
PUERTO GONZALO MORENO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,8,15,8,15,23
PUERTO PEREZ,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,12,8,12,8,20
PUERTO QUIJARRO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,17,10,17,10,27
PUERTO RICO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,7,19,7,19,26
PUERTO SUAREZ,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,41,29,41,29,70
PUERTO VILLARROEL,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,187,137,187,137,324
PUNA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,25,29,25,29,54
PUNATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,75,128,75,128,203
QUILLACOLLO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,490,535,490,535,1025
QUIME,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,20,32,20,32,52
QUIRUSILLAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,6,8,6,8,14
RAVELO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,14,7,14,7,21
REYES,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,19,15,19,15,34
RIBERALTA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,54,63,54,63,117
ROBORE,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,30,26,30,26,56
RURRENABAQUE,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,12,10,12,10,22
SABAYA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,47,44,47,44,91
SACABA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,256,251,256,251,507
SACABAMBA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,77,70,77,70,147
SACACA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,10,76,10,76,86
SAIPINA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,15,11,15,11,26
SALINAS DE GARCI MENDOZA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,174,197,174,197,371
SAMAIPATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,15,25,15,25,40
SAN AGUSTIN,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,7,3,7,3,10
SAN ANDRES,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,5,8,5,8,13
SAN ANDRES DE MACHACA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,17,20,17,20,37
SAN ANTONIO DE ESMORUCO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,5,0,5,0,5
SAN BENITO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,65,60,65,60,125
SAN BORJA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,31,16,31,16,47
SAN BUENA VENTURA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,0,7,0,7,7
SAN CARLOS,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,26,40,26,40,66
SAN IGNACIO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,36,28,36,28,64
SAN IGNACIO DE VELASCO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,60,80,60,80,140
SAN JAVIER(BNI),atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,5,4,5,4,9
SAN JAVIER(STC),atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,4,3,4,3,7
SAN JOAQUIN,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,1,3,1,3,4
SAN JOSE DE CHIQUITOS,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,15,0,15,0,15
SAN JUAN DE YAPACANI,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,12,5,12,5,17
SAN LORENZO(PND),atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,21,24,21,24,45
SAN LORENZO(TJA),atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,37,31,37,31,68
SAN LUCAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,41,37,41,37,78
SAN MATIAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,20,25,20,25,45
SAN MIGUEL DE VELASCO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,109,133,109,133,242
SAN PEDRO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,1,7,1,7,8
SAN PEDRO DE BUENA VISTA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,29,13,29,13,42
SAN PEDRO DE CURAHUARA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,6,6,6,6,12
SAN PEDRO DE TIQUINA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,44,62,44,62,106
SAN RAFAEL,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,11,15,11,15,26
SAN RAMON BENI,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,29,36,29,36,65
SAN RAMON SCZ,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,163,0,163,0,163
SANTA ANA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,57,72,57,72,129
SANTA CRUZ DE LA SIERRA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,2162,2524,2162,2524,4686
SANTA ROSA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,13,8,13,8,21
SANTA ROSA DEL SARA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,47,76,47,76,123
SANTIAGO DE CALLAPA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,3,1,3,1,4
SANTIAGO DE HUARI,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,84,79,84,79,163
SANTIAGO DE HUATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,10,6,10,6,16
SANTIAGO DE MACHACA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,10,10,10,10,20
SANTIVAÑES,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,6,16,6,16,22
SANTUARIO DE QUILLACAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,54,61,54,61,115
SAPAHAQUI,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,27,45,27,45,72
SENA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,12,22,12,22,34
SHINAOTA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,5,4,5,4,9
SICA SICA (VILLA AROMA),atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,24,29,24,29,53
SICAYA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,20,18,20,18,38
SIPE SIPE,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,98,114,98,114,212
SOPACHUY,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,138,127,138,127,265
SORACACHI,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,15,48,15,48,63
SORATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,23,22,23,22,45
SUCRE,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,851,927,851,927,1778
TACACOMA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,17,18,17,18,35
TACOPAYA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,2,1,2,1,3
TAHUA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,3,3,3,3,6
TAPACARI,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,24,29,24,29,53
TARABUCO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,102,131,102,131,233
TARACO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,5,2,5,2,7
TARATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,23,23,23,23,46
TARIJA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,131,139,131,139,270
TARVITA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,99,101,99,101,200
TIAWANACU,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,20,24,20,24,44
TINGUIPAYA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,13,10,13,10,23
TIPUANI,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,11,6,11,6,17
TIQUIPAYA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,641,640,641,640,1281
TIRAQUE (CBBA),atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,10,30,10,30,40
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,1,0,1,0,1
TOCO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,37,56,37,56,93
TOLATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,41,41,41,41,82
TOLEDO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,3,14,3,14,17
TOMAVE,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,23,24,23,24,47
TOMINA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,159,246,159,246,405
TORO TORO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,4,7,4,7,11
TOTORA(CBBA),atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,99,0,99,0,99
TOTORA(ORR),atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,5,3,5,3,8
TRIGAL,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,17,13,17,13,30
TRINIDAD,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,167,157,167,157,324
TUPIZA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,95,93,95,93,188
TURCO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,20,24,20,24,44
UNCIA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,12,15,12,15,27
URIONDO (A. CONCEPCION),atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,12,21,12,21,33
URUBICHA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,3,0,3,0,3
UYUNI,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,23,15,23,15,38
VACAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,68,56,68,56,124
VALLEGRANDE,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,98,71,98,71,169
VIACHA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,68,34,68,34,102
VILA VILA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,6,0,6,0,6
VILLA CHARCAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,6,9,6,9,15
VILLA MONTES,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,14,19,14,19,33
VILLA NUEVA (LOMA ALTA),atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,5,14,5,14,19
VILLA RIVERO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,52,19,52,19,71
VILLA SERRANO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,52,60,52,60,112
VILLA TUNARI,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,83,154,83,154,237
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,115,137,115,137,252
VILLAZON,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,144,129,144,129,273
VINTO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,20,29,20,29,49
VITICHI,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,1,1,1,1,2
WALDO BALLIVIAN,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,9,7,9,7,16
WARNES,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,121,137,121,137,258
YACO,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,16,20,16,20,36
YACUIBA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,52,71,52,71,123
YAMPARAEZ,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,64,63,64,63,127
YANACACHI,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,5,7,5,7,12
YAPACANI,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,56,60,56,60,116
YOCALLA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,30,30,30,30,60
YOTALA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,36,43,36,43,79
YUNCHARA,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,25,1,25,1,26
ZUDAÑEZ,atencion odontologica,consultas nuevas menores de 5 anos,2010-03-01,8,1,8,1,9
ACACIO,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,20,29,20,29,49
ACHACACHI,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,54,71,54,71,125
ACHOCALLA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,30,28,30,28,58
AIQUILE,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,48,45,48,45,93
ALCALA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,106,96,106,96,202
ALTO BENI,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,6,5,6,5,11
ANCORAIMES,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,14,7,14,7,21
ANDAMARCA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,32,49,32,49,81
ANTEQUERA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,10,3,10,3,13
APOLO,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,86,134,86,134,220
ARAMPAMPA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,3,3,3,3,6
ARANI,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,42,23,42,23,65
ARBIETO,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,100,80,100,80,180
ARQUE,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,54,27,54,27,81
ASCENCION DE GUARAYOS,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,22,50,22,50,72
ATOCHA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,64,66,64,66,130
AYATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,19,26,19,26,45
AYO AYO,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,3,12,3,12,15
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,12,17,12,17,29
AZURDUY,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,7,17,7,17,24
BATALLAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,20,13,20,13,33
BAURES,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,3,1,3,1,4
BELEN DE URMIRI,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,3,10,3,10,13
BERMEJO,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,112,130,112,130,242
BETANZOS,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,13,30,13,30,43
BOLIVAR,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,5,0,5,0,5
BOLPEBRA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,69,23,69,23,92
BOYUIBE,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,52,70,52,70,122
BUENA VISTA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,12,13,12,13,25
CABEZAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,99,88,99,88,187
CAIROMA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,17,29,17,29,46
"CAIZA ""D""",atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,5,16,5,16,21
CAJUATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,6,9,6,9,15
CALACOTO,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,16,14,16,14,30
CALAMARCA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,78,106,78,106,184
CAMARGO,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,125,56,125,56,181
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,28,34,28,34,62
CAMIRI,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,158,171,158,171,329
CAPINOTA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,16,17,16,17,33
CAQUIAVIRI,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,7,14,7,14,21
CARACOLLO,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,18,33,18,33,51
CARANAVI,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,61,49,61,49,110
CARAPARI,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,6,8,6,8,14
CARIPUYO,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,44,52,44,52,96
CARMEN RIVERO TORREZ,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,12,29,12,29,41
CATACORA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,11,6,11,6,17
CHACARILLA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,1,0,1,0,1
CHALLAPATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,31,61,31,61,92
CHARAGUA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,50,56,50,56,106
CHARAÑA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,3,2,3,2,5
CHIMORE,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,45,25,45,25,70
CHIPAYA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,5,9,5,9,14
CHOQUE COTA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,23,12,23,12,35
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,33,31,33,31,64
CHUMA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,33,24,33,24,57
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,71,39,71,39,110
CKOCHAS,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,17,0,17,0,17
CLIZA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,123,130,123,130,253
COBIJA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,253,226,253,226,479
COCAPATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,12,35,12,35,47
COCHABAMBA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,2640,2689,2640,2689,5329
COIPASA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,1,5,1,5,6
COLCAPIRHUA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,256,289,256,289,545
"COLCHA ""K""",atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,14,16,14,16,30
COLLANA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,9,24,9,24,33
COLOMI,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,34,73,34,73,107
COLPA BELGICA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,33,36,33,36,69
COLQUECHACA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,14,25,14,25,39
COLQUENCHA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,5,1,5,1,6
COLQUIRI,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,12,19,12,19,31
COMANCHE,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,9,13,9,13,22
COMARAPA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,41,28,41,28,69
COMBAYA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,7,11,7,11,18
CONCEPCION,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,2,0,2,0,2
COPACABANA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,18,25,18,25,43
CORIPATA,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,7,9,7,9,16
CORO CORO,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,4,9,4,9,13
COROICO,atencion odontologica,consultas nuevas menores de 5 anos,2010-04-01,33,18,33,18,51
