,group,variable,month,CONSULTAS NUEVAS A MUJER EMBARAZADA O PUÉRPERA CANTIDAD,CONSULTAS NUEVAS A MUJER EMBARAZADA O PUÉRPERA CANTIDAD,TOTALES,TOTALES,TOTALES
SAN MIGUEL DE VELASCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,24,0,24,24
SAN PEDRO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,8,0,8,8
SAN PEDRO DE BUENA VISTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,38,0,38,38
SAN PEDRO DE CURAHUARA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,1,0,1,1
SAN PEDRO DE TIQUINA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,3,0,3,3
SAN RAFAEL,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,22,0,22,22
SAN RAMON SCZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,30,0,30,30
SANTA ANA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,60,0,60,60
SANTA CRUZ DE LA SIERRA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,1914,0,1914,1914
SANTA ROSA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,9,0,9,9
SANTA ROSA DEL SARA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,35,0,35,35
SANTIAGO DE CALLAPA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,7,0,7,7
SANTIAGO DE HUARI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,25,0,25,25
SANTIAGO DE HUATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,3,0,3,3
SANTIAGO DE MACHACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,9,0,9,9
SANTIVAÑES,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,6,0,6,6
SANTUARIO DE QUILLACAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,17,0,17,17
SAPAHAQUI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,2,0,2,2
SENA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,4,0,4,4
SHINAOTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,12,0,12,12
SICA SICA (VILLA AROMA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,29,0,29,29
SICAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,13,0,13,13
SIPE SIPE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,64,0,64,64
SOPACHUY,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,15,0,15,15
SORACACHI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,13,0,13,13
SORATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,46,0,46,46
SUCRE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,522,0,522,522
TACACOMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,16,0,16,16
TACOPAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,6,0,6,6
TAHUA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,4,0,4,4
TAPACARI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,22,0,22,22
TARABUCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,53,0,53,53
TARACO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,3,0,3,3
TARATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,31,0,31,31
TARIJA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,100,0,100,100
TARVITA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,70,0,70,70
TIAWANACU,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,26,0,26,26
TINGUIPAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,16,0,16,16
TIPUANI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,26,0,26,26
TIQUIPAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,482,0,482,482
TIRAQUE (CBBA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,29,0,29,29
TOCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,25,0,25,25
TOLATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,62,0,62,62
TOLEDO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,9,0,9,9
TOMAVE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,18,0,18,18
TOMINA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,32,0,32,32
TORO TORO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,2,0,2,2
TOTORA(CBBA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,47,0,47,47
TRIGAL,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,3,0,3,3
TRINIDAD,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,81,0,81,81
TUPIZA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,50,0,50,50
TURCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,3,0,3,3
UNCIA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,25,0,25,25
URIONDO (A. CONCEPCION),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,4,0,4,4
URUBICHA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,2,0,2,2
UYUNI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,2,0,2,2
VACAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,74,0,74,74
VALLEGRANDE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,80,0,80,80
VIACHA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,36,0,36,36
VILA VILA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,1,0,1,1
VILLA CHARCAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,6,0,6,6
VILLA MONTES,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,7,0,7,7
VILLA NUEVA (LOMA ALTA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,4,0,4,4
VILLA RIVERO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,8,0,8,8
VILLA SERRANO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,17,0,17,17
VILLA TUNARI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,243,0,243,243
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,63,0,63,63
VILLAZON,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,130,0,130,130
VINTO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,23,0,23,23
VITICHI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,2,0,2,2
WARNES,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,53,0,53,53
YACO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,6,0,6,6
YACUIBA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,23,0,23,23
YAMPARAEZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,12,0,12,12
YANACACHI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,12,0,12,12
YAPACANI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,166,0,166,166
YOCALLA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,25,0,25,25
YOTALA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,47,0,47,47
ZUDAÑEZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-04-01,0,8,0,8,8
ACACIO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,8,0,8,8
ACHACACHI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,43,0,43,43
ACHOCALLA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,14,0,14,14
AIQUILE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,17,0,17,17
ALALAY,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,2,0,2,2
ALCALA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,15,0,15,15
ALTO BENI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,3,0,3,3
ANCORAIMES,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,15,0,15,15
ANDAMARCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,6,0,6,6
ANTEQUERA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,2,0,2,2
ANZALDO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,3,0,3,3
APOLO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,45,0,45,45
ARAMPAMPA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,4,0,4,4
ARBIETO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,27,0,27,27
ARQUE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,55,0,55,55
ATOCHA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,4,0,4,4
AYATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,4,0,4,4
AYO AYO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,20,0,20,20
AZURDUY,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,12,0,12,12
BATALLAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,11,0,11,11
BELEN DE ANDAMARCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,2,0,2,2
BELEN DE URMIRI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,1,0,1,1
BERMEJO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,14,0,14,14
BETANZOS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,22,0,22,22
BOLIVAR,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,4,0,4,4
BOLPEBRA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,11,0,11,11
BOYUIBE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,20,0,20,20
BUENA VISTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,11,0,11,11
CABEZAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,30,0,30,30
CAIROMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,34,0,34,34
"CAIZA ""D""",atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,7,0,7,7
CAJUATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,11,0,11,11
CALACOTO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,1,0,1,1
CALAMARCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,19,0,19,19
CAMARGO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,58,0,58,58
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,17,0,17,17
CAMIRI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,177,0,177,177
CAPINOTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,1,0,1,1
CAQUIAVIRI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,21,0,21,21
CARACOLLO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,2,0,2,2
CARANAVI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,54,0,54,54
CARAPARI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,6,0,6,6
CARIPUYO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,68,0,68,68
CARMEN RIVERO TORREZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,5,0,5,5
CATACORA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,4,0,4,4
CHALLAPATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,78,0,78,78
CHAQUI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,1,0,1,1
CHARAGUA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,62,0,62,62
CHAYANTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,33,0,33,33
CHIMORE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,68,0,68,68
CHIPAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,5,0,5,5
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,50,0,50,50
CHUMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,10,0,10,10
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,60,0,60,60
CKOCHAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,7,0,7,7
CLIZA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,73,0,73,73
COBIJA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,180,0,180,180
COCAPATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,19,0,19,19
COCHABAMBA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,1107,0,1107,1107
COIPASA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,6,0,6,6
COLCAPIRHUA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,205,0,205,205
"COLCHA ""K""",atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,7,0,7,7
COLOMI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,35,0,35,35
COLPA BELGICA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,32,0,32,32
COLQUECHACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,50,0,50,50
COLQUIRI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,16,0,16,16
COMANCHE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,10,0,10,10
COMARAPA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,28,0,28,28
COMBAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,1,0,1,1
COPACABANA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,6,0,6,6
CORIPATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,17,0,17,17
CORO CORO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,1,0,1,1
COROICO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,16,0,16,16
CORQUE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,13,0,13,13
COTAGAITA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,5,0,5,5
COTOCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,20,0,20,20
CUATRO CAÑADAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,30,0,30,30
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,1,0,1,1
CUEVO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,15,0,15,15
CULPINA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,12,0,12,12
CURAHUARA DE CARANGAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,4,0,4,4
EL ALTO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,1007,0,1007,1007
EL CHORO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,1,0,1,1
EL PUENTE(STC),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,13,0,13,13
EL PUENTE(TJA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,1,0,1,1
EL TORNO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,12,0,12,12
EL VILLAR,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,7,0,7,7
ENTRE RIOS TRJ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,6,0,6,6
ENTRE RIOS CBBA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,10,0,10,10
ESCOMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,21,0,21,21
FERNANDEZ ALONSO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,48,0,48,48
FILADELFIA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,8,0,8,8
GENERAL SAAVEDRA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,18,0,18,18
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,20,0,20,20
GUANAY,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,87,0,87,87
GUAQUI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,16,0,16,16
GUAYARAMERIN,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,81,0,81,81
GUTIERREZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,82,0,82,82
HUACARETA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,13,0,13,13
HUANUNI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,1,0,1,1
HUARACAJE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,4,0,4,4
HUAYLLAMARCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,11,0,11,11
ICLA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,4,0,4,4
INCAHUASI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,9,0,9,9
INQUISIVI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,6,0,6,6
IRUPANA (VILLA DE LANZA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,5,0,5,5
IXIAMAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,16,0,16,16
JESUS DE MACHACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,12,0,12,12
LA ASUNTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,69,0,69,69
LA GUARDIA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,62,0,62,62
LA PAZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,1073,0,1073,1073
LAGUNILLAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,27,0,27,27
LAJA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,8,0,8,8
LAS CARRERAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,4,0,4,4
LICOMA PAMPA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,23,0,23,23
LLALLAGUA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,119,0,119,119
LLICA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,7,0,7,7
LURIBAY,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,5,0,5,5
MACHACAMARCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,2,0,2,2
MACHARETI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,25,0,25,25
MAGDALENA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,10,0,10,10
MAIRANA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,72,0,72,72
MALLA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,4,0,4,4
MAPIRI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,7,0,7,7
MIZQUE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,70,0,70,70
MOCOMOCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,22,0,22,22
MOJOCOYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,9,0,9,9
MONTEAGUDO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,82,0,82,82
MONTERO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,51,0,51,51
MORO MORO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,3,0,3,3
MOROCHATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,55,0,55,55
OCURI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,14,0,14,14
OKINAWA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,15,0,15,15
OMEREQUE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,9,0,9,9
ORURO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,378,0,378,378
PADILLA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,4,0,4,4
PAILON,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,53,0,53,53
PALOS BLANCOS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,28,0,28,28
PAMPA AULLAGAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,17,0,17,17
PAMPA GRANDE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,4,0,4,4
PASORAPA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,5,0,5,5
PATACAMAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,21,0,21,21
PAZÑA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,3,0,3,3
PELECHUCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,10,0,10,10
POCOATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,47,0,47,47
POCONA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,23,0,23,23
POJO (CBBA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,35,0,35,35
POOPO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,3,0,3,3
PORCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,21,0,21,21
POROMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,14,0,14,14
PORONGO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,23,0,23,23
PORTACHUELO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,70,0,70,70
PORVENIR,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,16,0,16,16
POSTRER VALLE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,21,0,21,21
POTOSI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,228,0,228,228
PRESTO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,11,0,11,11
PUCARA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,24,0,24,24
PUCARANI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,41,0,41,41
PUERTO ACOSTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,8,0,8,8
PUERTO CARABUCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,13,0,13,13
PUERTO GONZALO MORENO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,2,0,2,2
PUERTO PEREZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,8,0,8,8
PUERTO QUIJARRO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,68,0,68,68
PUERTO RICO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,7,0,7,7
PUERTO SUAREZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,92,0,92,92
PUERTO VILLARROEL,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,46,0,46,46
PUNA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,33,0,33,33
PUNATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,47,0,47,47
QUILLACOLLO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,84,0,84,84
QUIME,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,20,0,20,20
QUIRUSILLAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,5,0,5,5
RAVELO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2010-05-01,0,23,0,23,23
