,group,variable,month,ENDODONCIAS CANTIDAD,ENDODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
WALDO BALLIVIAN,atencion odontologica,endodoncias,2010-03-01,1,2,1,2,3
WARNES,atencion odontologica,endodoncias,2010-03-01,6,4,6,4,10
YACUIBA,atencion odontologica,endodoncias,2010-03-01,52,121,52,121,173
YAMPARAEZ,atencion odontologica,endodoncias,2010-03-01,6,11,6,11,17
YANACACHI,atencion odontologica,endodoncias,2010-03-01,1,5,1,5,6
YAPACANI,atencion odontologica,endodoncias,2010-03-01,4,10,4,10,14
YOCALLA,atencion odontologica,endodoncias,2010-03-01,1,0,1,0,1
YOTALA,atencion odontologica,endodoncias,2010-03-01,8,11,8,11,19
YUNCHARA,atencion odontologica,endodoncias,2010-03-01,10,2,10,2,12
ZUDAÑEZ,atencion odontologica,endodoncias,2010-03-01,0,1,0,1,1
ACHACACHI,atencion odontologica,endodoncias,2010-04-01,3,15,3,15,18
ACHOCALLA,atencion odontologica,endodoncias,2010-04-01,1,0,1,0,1
AIQUILE,atencion odontologica,endodoncias,2010-04-01,60,25,60,25,85
ALCALA,atencion odontologica,endodoncias,2010-04-01,0,4,0,4,4
ANDAMARCA,atencion odontologica,endodoncias,2010-04-01,1,2,1,2,3
ANTEQUERA,atencion odontologica,endodoncias,2010-04-01,3,7,3,7,10
ARAMPAMPA,atencion odontologica,endodoncias,2010-04-01,1,0,1,0,1
ARANI,atencion odontologica,endodoncias,2010-04-01,10,42,10,42,52
ARBIETO,atencion odontologica,endodoncias,2010-04-01,3,3,3,3,6
ATOCHA,atencion odontologica,endodoncias,2010-04-01,30,39,30,39,69
AYO AYO,atencion odontologica,endodoncias,2010-04-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,endodoncias,2010-04-01,10,11,10,11,21
AZURDUY,atencion odontologica,endodoncias,2010-04-01,0,4,0,4,4
BATALLAS,atencion odontologica,endodoncias,2010-04-01,0,1,0,1,1
BAURES,atencion odontologica,endodoncias,2010-04-01,0,1,0,1,1
BERMEJO,atencion odontologica,endodoncias,2010-04-01,35,52,35,52,87
BETANZOS,atencion odontologica,endodoncias,2010-04-01,3,4,3,4,7
BOLIVAR,atencion odontologica,endodoncias,2010-04-01,2,4,2,4,6
BOYUIBE,atencion odontologica,endodoncias,2010-04-01,4,6,4,6,10
BUENA VISTA,atencion odontologica,endodoncias,2010-04-01,1,1,1,1,2
CABEZAS,atencion odontologica,endodoncias,2010-04-01,1,2,1,2,3
"CAIZA ""D""",atencion odontologica,endodoncias,2010-04-01,1,2,1,2,3
CAJUATA,atencion odontologica,endodoncias,2010-04-01,1,3,1,3,4
CALAMARCA,atencion odontologica,endodoncias,2010-04-01,12,13,12,13,25
CAMARGO,atencion odontologica,endodoncias,2010-04-01,14,29,14,29,43
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,endodoncias,2010-04-01,0,7,0,7,7
CAMIRI,atencion odontologica,endodoncias,2010-04-01,51,43,51,43,94
CAPINOTA,atencion odontologica,endodoncias,2010-04-01,52,34,52,34,86
CARACOLLO,atencion odontologica,endodoncias,2010-04-01,3,8,3,8,11
CARANAVI,atencion odontologica,endodoncias,2010-04-01,0,4,0,4,4
CARAPARI,atencion odontologica,endodoncias,2010-04-01,21,36,21,36,57
CARIPUYO,atencion odontologica,endodoncias,2010-04-01,7,8,7,8,15
CARMEN RIVERO TORREZ,atencion odontologica,endodoncias,2010-04-01,0,1,0,1,1
CHACARILLA,atencion odontologica,endodoncias,2010-04-01,1,0,1,0,1
CHALLAPATA,atencion odontologica,endodoncias,2010-04-01,9,11,9,11,20
CHARAGUA,atencion odontologica,endodoncias,2010-04-01,1,6,1,6,7
CHARAÑA,atencion odontologica,endodoncias,2010-04-01,1,0,1,0,1
CHIMORE,atencion odontologica,endodoncias,2010-04-01,1,2,1,2,3
CHOQUE COTA,atencion odontologica,endodoncias,2010-04-01,1,2,1,2,3
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,endodoncias,2010-04-01,5,13,5,13,18
CHUMA,atencion odontologica,endodoncias,2010-04-01,3,3,3,3,6
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,endodoncias,2010-04-01,2,3,2,3,5
CLIZA,atencion odontologica,endodoncias,2010-04-01,16,40,16,40,56
COBIJA,atencion odontologica,endodoncias,2010-04-01,29,52,29,52,81
COCAPATA,atencion odontologica,endodoncias,2010-04-01,0,4,0,4,4
COCHABAMBA,atencion odontologica,endodoncias,2010-04-01,748,966,748,966,1714
COLCAPIRHUA,atencion odontologica,endodoncias,2010-04-01,37,34,37,34,71
"COLCHA ""K""",atencion odontologica,endodoncias,2010-04-01,0,1,0,1,1
COLOMI,atencion odontologica,endodoncias,2010-04-01,8,9,8,9,17
COLPA BELGICA,atencion odontologica,endodoncias,2010-04-01,1,2,1,2,3
COLQUECHACA,atencion odontologica,endodoncias,2010-04-01,3,14,3,14,17
COLQUENCHA,atencion odontologica,endodoncias,2010-04-01,0,2,0,2,2
COMANCHE,atencion odontologica,endodoncias,2010-04-01,0,4,0,4,4
COMARAPA,atencion odontologica,endodoncias,2010-04-01,7,20,7,20,27
CONCEPCION,atencion odontologica,endodoncias,2010-04-01,8,0,8,0,8
COPACABANA,atencion odontologica,endodoncias,2010-04-01,1,3,1,3,4
CORIPATA,atencion odontologica,endodoncias,2010-04-01,1,2,1,2,3
COROICO,atencion odontologica,endodoncias,2010-04-01,16,27,16,27,43
CORQUE,atencion odontologica,endodoncias,2010-04-01,2,0,2,0,2
COTAGAITA,atencion odontologica,endodoncias,2010-04-01,14,10,14,10,24
COTOCA,atencion odontologica,endodoncias,2010-04-01,0,3,0,3,3
CUATRO CAÑADAS,atencion odontologica,endodoncias,2010-04-01,1,1,1,1,2
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,endodoncias,2010-04-01,1,0,1,0,1
CUEVO,atencion odontologica,endodoncias,2010-04-01,1,1,1,1,2
CULPINA,atencion odontologica,endodoncias,2010-04-01,0,9,0,9,9
CURAHUARA DE CARANGAS,atencion odontologica,endodoncias,2010-04-01,3,1,3,1,4
EL ALTO,atencion odontologica,endodoncias,2010-04-01,522,641,522,641,1163
EL PUENTE(TJA),atencion odontologica,endodoncias,2010-04-01,16,36,16,36,52
EL TORNO,atencion odontologica,endodoncias,2010-04-01,15,32,15,32,47
EL VILLAR,atencion odontologica,endodoncias,2010-04-01,1,6,1,6,7
ENTRE RIOS TRJ,atencion odontologica,endodoncias,2010-04-01,10,33,10,33,43
ENTRE RIOS CBBA,atencion odontologica,endodoncias,2010-04-01,3,2,3,2,5
ESCOMA,atencion odontologica,endodoncias,2010-04-01,16,6,16,6,22
EUCALIPTUS,atencion odontologica,endodoncias,2010-04-01,1,3,1,3,4
EXALTACION,atencion odontologica,endodoncias,2010-04-01,1,2,1,2,3
FERNANDEZ ALONSO,atencion odontologica,endodoncias,2010-04-01,3,10,3,10,13
FILADELFIA,atencion odontologica,endodoncias,2010-04-01,1,2,1,2,3
GENERAL SAAVEDRA,atencion odontologica,endodoncias,2010-04-01,0,2,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,endodoncias,2010-04-01,0,2,0,2,2
GUANAY,atencion odontologica,endodoncias,2010-04-01,6,19,6,19,25
GUAQUI,atencion odontologica,endodoncias,2010-04-01,0,1,0,1,1
GUAYARAMERIN,atencion odontologica,endodoncias,2010-04-01,17,25,17,25,42
GUTIERREZ,atencion odontologica,endodoncias,2010-04-01,16,21,16,21,37
HUACARETA,atencion odontologica,endodoncias,2010-04-01,4,4,4,4,8
HUACHACALLA,atencion odontologica,endodoncias,2010-04-01,3,3,3,3,6
HUANUNI,atencion odontologica,endodoncias,2010-04-01,6,9,6,9,15
HUARACAJE,atencion odontologica,endodoncias,2010-04-01,2,2,2,2,4
HUARINA,atencion odontologica,endodoncias,2010-04-01,0,3,0,3,3
HUAYLLAMARCA,atencion odontologica,endodoncias,2010-04-01,2,2,2,2,4
HUMANATA,atencion odontologica,endodoncias,2010-04-01,2,9,2,9,11
ICLA,atencion odontologica,endodoncias,2010-04-01,2,0,2,0,2
INCAHUASI,atencion odontologica,endodoncias,2010-04-01,0,4,0,4,4
INQUISIVI,atencion odontologica,endodoncias,2010-04-01,1,1,1,1,2
IRUPANA (VILLA DE LANZA),atencion odontologica,endodoncias,2010-04-01,4,6,4,6,10
IXIAMAS,atencion odontologica,endodoncias,2010-04-01,3,1,3,1,4
JESUS DE MACHACA,atencion odontologica,endodoncias,2010-04-01,7,9,7,9,16
LA GUARDIA,atencion odontologica,endodoncias,2010-04-01,6,14,6,14,20
LA PAZ,atencion odontologica,endodoncias,2010-04-01,915,1007,915,1007,1922
LAGUNILLAS,atencion odontologica,endodoncias,2010-04-01,1,7,1,7,8
LAJA,atencion odontologica,endodoncias,2010-04-01,0,2,0,2,2
LAS CARRERAS,atencion odontologica,endodoncias,2010-04-01,1,0,1,0,1
LICOMA PAMPA,atencion odontologica,endodoncias,2010-04-01,2,1,2,1,3
LLALLAGUA,atencion odontologica,endodoncias,2010-04-01,8,87,8,87,95
LORETO,atencion odontologica,endodoncias,2010-04-01,2,1,2,1,3
MACHACAMARCA,atencion odontologica,endodoncias,2010-04-01,1,3,1,3,4
MAGDALENA,atencion odontologica,endodoncias,2010-04-01,5,6,5,6,11
MAIRANA,atencion odontologica,endodoncias,2010-04-01,1,2,1,2,3
MAPIRI,atencion odontologica,endodoncias,2010-04-01,4,7,4,7,11
MECAPACA,atencion odontologica,endodoncias,2010-04-01,0,1,0,1,1
MINEROS,atencion odontologica,endodoncias,2010-04-01,0,35,0,35,35
MIZQUE,atencion odontologica,endodoncias,2010-04-01,2,7,2,7,9
MOJOCOYA,atencion odontologica,endodoncias,2010-04-01,14,3,14,3,17
MONTEAGUDO,atencion odontologica,endodoncias,2010-04-01,9,31,9,31,40
MONTERO,atencion odontologica,endodoncias,2010-04-01,3,36,3,36,39
MOROCHATA,atencion odontologica,endodoncias,2010-04-01,1,0,1,0,1
OCURI,atencion odontologica,endodoncias,2010-04-01,4,0,4,0,4
OKINAWA,atencion odontologica,endodoncias,2010-04-01,1,3,1,3,4
OMEREQUE,atencion odontologica,endodoncias,2010-04-01,6,2,6,2,8
ORURO,atencion odontologica,endodoncias,2010-04-01,343,345,343,345,688
PADCAYA,atencion odontologica,endodoncias,2010-04-01,15,41,15,41,56
PADILLA,atencion odontologica,endodoncias,2010-04-01,1,6,1,6,7
PAILON,atencion odontologica,endodoncias,2010-04-01,8,9,8,9,17
PALCA,atencion odontologica,endodoncias,2010-04-01,0,2,0,2,2
PALOS BLANCOS,atencion odontologica,endodoncias,2010-04-01,1,3,1,3,4
PAMPA AULLAGAS,atencion odontologica,endodoncias,2010-04-01,0,3,0,3,3
PAMPA GRANDE,atencion odontologica,endodoncias,2010-04-01,2,4,2,4,6
PAPEL PAMPA,atencion odontologica,endodoncias,2010-04-01,3,0,3,0,3
PATACAMAYA,atencion odontologica,endodoncias,2010-04-01,3,27,3,27,30
PAZÑA,atencion odontologica,endodoncias,2010-04-01,15,0,15,0,15
POCOATA,atencion odontologica,endodoncias,2010-04-01,2,5,2,5,7
POCONA,atencion odontologica,endodoncias,2010-04-01,4,6,4,6,10
POJO (CBBA),atencion odontologica,endodoncias,2010-04-01,12,0,12,0,12
POOPO,atencion odontologica,endodoncias,2010-04-01,9,5,9,5,14
PORCO,atencion odontologica,endodoncias,2010-04-01,5,14,5,14,19
PORONGO,atencion odontologica,endodoncias,2010-04-01,0,2,0,2,2
PORTACHUELO,atencion odontologica,endodoncias,2010-04-01,3,10,3,10,13
PORVENIR,atencion odontologica,endodoncias,2010-04-01,0,1,0,1,1
POTOSI,atencion odontologica,endodoncias,2010-04-01,130,181,130,181,311
PUCARA,atencion odontologica,endodoncias,2010-04-01,1,0,1,0,1
PUCARANI,atencion odontologica,endodoncias,2010-04-01,1,1,1,1,2
PUERTO ACOSTA,atencion odontologica,endodoncias,2010-04-01,1,0,1,0,1
PUERTO CARABUCO,atencion odontologica,endodoncias,2010-04-01,3,2,3,2,5
PUERTO RICO,atencion odontologica,endodoncias,2010-04-01,5,3,5,3,8
PUERTO SILES,atencion odontologica,endodoncias,2010-04-01,4,3,4,3,7
PUERTO SUAREZ,atencion odontologica,endodoncias,2010-04-01,4,9,4,9,13
PUERTO VILLARROEL,atencion odontologica,endodoncias,2010-04-01,56,69,56,69,125
PUNATA,atencion odontologica,endodoncias,2010-04-01,19,38,19,38,57
QUILLACOLLO,atencion odontologica,endodoncias,2010-04-01,110,123,110,123,233
QUIME,atencion odontologica,endodoncias,2010-04-01,0,2,0,2,2
QUIRUSILLAS,atencion odontologica,endodoncias,2010-04-01,7,2,7,2,9
RAVELO,atencion odontologica,endodoncias,2010-04-01,0,5,0,5,5
REYES,atencion odontologica,endodoncias,2010-04-01,3,7,3,7,10
RIBERALTA,atencion odontologica,endodoncias,2010-04-01,20,24,20,24,44
ROBORE,atencion odontologica,endodoncias,2010-04-01,10,8,10,8,18
RURRENABAQUE,atencion odontologica,endodoncias,2010-04-01,0,28,0,28,28
SABAYA,atencion odontologica,endodoncias,2010-04-01,1,7,1,7,8
SACABA,atencion odontologica,endodoncias,2010-04-01,108,124,108,124,232
SACACA,atencion odontologica,endodoncias,2010-04-01,1,6,1,6,7
SAIPINA,atencion odontologica,endodoncias,2010-04-01,7,9,7,9,16
SALINAS DE GARCI MENDOZA,atencion odontologica,endodoncias,2010-04-01,6,13,6,13,19
SAMAIPATA,atencion odontologica,endodoncias,2010-04-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,atencion odontologica,endodoncias,2010-04-01,29,0,29,0,29
SAN BENITO,atencion odontologica,endodoncias,2010-04-01,22,17,22,17,39
SAN BORJA,atencion odontologica,endodoncias,2010-04-01,4,3,4,3,7
SAN BUENA VENTURA,atencion odontologica,endodoncias,2010-04-01,1,2,1,2,3
SAN CARLOS,atencion odontologica,endodoncias,2010-04-01,4,14,4,14,18
SAN IGNACIO,atencion odontologica,endodoncias,2010-04-01,7,7,7,7,14
SAN IGNACIO DE VELASCO,atencion odontologica,endodoncias,2010-04-01,18,3,18,3,21
SAN JAVIER(STC),atencion odontologica,endodoncias,2010-04-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,atencion odontologica,endodoncias,2010-04-01,3,10,3,10,13
SAN JUAN DE YAPACANI,atencion odontologica,endodoncias,2010-04-01,0,2,0,2,2
SAN LORENZO(PND),atencion odontologica,endodoncias,2010-04-01,0,2,0,2,2
SAN LORENZO(TJA),atencion odontologica,endodoncias,2010-04-01,44,76,44,76,120
SAN LUCAS,atencion odontologica,endodoncias,2010-04-01,9,11,9,11,20
SAN MATIAS,atencion odontologica,endodoncias,2010-04-01,6,5,6,5,11
SAN MIGUEL DE VELASCO,atencion odontologica,endodoncias,2010-04-01,6,0,6,0,6
SAN PEDRO,atencion odontologica,endodoncias,2010-04-01,1,4,1,4,5
SAN PEDRO DE BUENA VISTA,atencion odontologica,endodoncias,2010-04-01,0,2,0,2,2
SAN PEDRO DE CURAHUARA,atencion odontologica,endodoncias,2010-04-01,0,1,0,1,1
SAN PEDRO DE TIQUINA,atencion odontologica,endodoncias,2010-04-01,0,4,0,4,4
SAN RAFAEL,atencion odontologica,endodoncias,2010-04-01,7,3,7,3,10
SAN RAMON BENI,atencion odontologica,endodoncias,2010-04-01,6,7,6,7,13
SAN RAMON SCZ,atencion odontologica,endodoncias,2010-04-01,0,4,0,4,4
SANTA ANA,atencion odontologica,endodoncias,2010-04-01,11,13,11,13,24
SANTA CRUZ DE LA SIERRA,atencion odontologica,endodoncias,2010-04-01,800,570,800,570,1370
SANTA ROSA,atencion odontologica,endodoncias,2010-04-01,2,4,2,4,6
SANTA ROSA DEL SARA,atencion odontologica,endodoncias,2010-04-01,2,7,2,7,9
SANTIAGO DE CALLAPA,atencion odontologica,endodoncias,2010-04-01,1,1,1,1,2
SANTIAGO DE HUARI,atencion odontologica,endodoncias,2010-04-01,5,4,5,4,9
SANTIAGO DE HUATA,atencion odontologica,endodoncias,2010-04-01,2,3,2,3,5
SANTIVAÑES,atencion odontologica,endodoncias,2010-04-01,3,5,3,5,8
SANTUARIO DE QUILLACAS,atencion odontologica,endodoncias,2010-04-01,0,2,0,2,2
SAPAHAQUI,atencion odontologica,endodoncias,2010-04-01,3,4,3,4,7
SHINAOTA,atencion odontologica,endodoncias,2010-04-01,4,14,4,14,18
SIPE SIPE,atencion odontologica,endodoncias,2010-04-01,44,42,44,42,86
SOPACHUY,atencion odontologica,endodoncias,2010-04-01,8,10,8,10,18
SORACACHI,atencion odontologica,endodoncias,2010-04-01,0,2,0,2,2
SORATA,atencion odontologica,endodoncias,2010-04-01,7,9,7,9,16
SUCRE,atencion odontologica,endodoncias,2010-04-01,376,526,376,526,902
TACACOMA,atencion odontologica,endodoncias,2010-04-01,0,1,0,1,1
TAHUA,atencion odontologica,endodoncias,2010-04-01,2,2,2,2,4
TAPACARI,atencion odontologica,endodoncias,2010-04-01,15,5,15,5,20
TARABUCO,atencion odontologica,endodoncias,2010-04-01,8,5,8,5,13
TARATA,atencion odontologica,endodoncias,2010-04-01,6,4,6,4,10
TARIJA,atencion odontologica,endodoncias,2010-04-01,433,505,433,505,938
TARVITA,atencion odontologica,endodoncias,2010-04-01,10,15,10,15,25
TEOPONTE,atencion odontologica,endodoncias,2010-04-01,1,1,1,1,2
TIQUIPAYA,atencion odontologica,endodoncias,2010-04-01,40,65,40,65,105
TIRAQUE (CBBA),atencion odontologica,endodoncias,2010-04-01,6,13,6,13,19
TOCO,atencion odontologica,endodoncias,2010-04-01,2,5,2,5,7
TOLATA,atencion odontologica,endodoncias,2010-04-01,4,3,4,3,7
TOLEDO,atencion odontologica,endodoncias,2010-04-01,1,4,1,4,5
TOMAVE,atencion odontologica,endodoncias,2010-04-01,0,1,0,1,1
TOMINA,atencion odontologica,endodoncias,2010-04-01,1,6,1,6,7
TORO TORO,atencion odontologica,endodoncias,2010-04-01,1,1,1,1,2
TOTORA(CBBA),atencion odontologica,endodoncias,2010-04-01,0,4,0,4,4
TRINIDAD,atencion odontologica,endodoncias,2010-04-01,150,86,150,86,236
TUPIZA,atencion odontologica,endodoncias,2010-04-01,60,67,60,67,127
TURCO,atencion odontologica,endodoncias,2010-04-01,0,2,0,2,2
UNCIA,atencion odontologica,endodoncias,2010-04-01,7,8,7,8,15
URIONDO (A. CONCEPCION),atencion odontologica,endodoncias,2010-04-01,28,33,28,33,61
UYUNI,atencion odontologica,endodoncias,2010-04-01,10,22,10,22,32
VACAS,atencion odontologica,endodoncias,2010-04-01,10,8,10,8,18
VALLEGRANDE,atencion odontologica,endodoncias,2010-04-01,30,52,30,52,82
VIACHA,atencion odontologica,endodoncias,2010-04-01,15,23,15,23,38
VILA VILA,atencion odontologica,endodoncias,2010-04-01,2,5,2,5,7
VILLA CHARCAS,atencion odontologica,endodoncias,2010-04-01,1,4,1,4,5
VILLA MONTES,atencion odontologica,endodoncias,2010-04-01,18,32,18,32,50
VILLA RIVERO,atencion odontologica,endodoncias,2010-04-01,1,4,1,4,5
VILLA SERRANO,atencion odontologica,endodoncias,2010-04-01,3,8,3,8,11
VILLA TUNARI,atencion odontologica,endodoncias,2010-04-01,37,61,37,61,98
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,endodoncias,2010-04-01,2,5,2,5,7
VILLAZON,atencion odontologica,endodoncias,2010-04-01,26,40,26,40,66
VINTO,atencion odontologica,endodoncias,2010-04-01,3,5,3,5,8
WALDO BALLIVIAN,atencion odontologica,endodoncias,2010-04-01,2,1,2,1,3
WARNES,atencion odontologica,endodoncias,2010-04-01,3,2,3,2,5
YACUIBA,atencion odontologica,endodoncias,2010-04-01,53,80,53,80,133
YAMPARAEZ,atencion odontologica,endodoncias,2010-04-01,5,6,5,6,11
YANACACHI,atencion odontologica,endodoncias,2010-04-01,4,3,4,3,7
YAPACANI,atencion odontologica,endodoncias,2010-04-01,1,9,1,9,10
YOCALLA,atencion odontologica,endodoncias,2010-04-01,0,1,0,1,1
YOTALA,atencion odontologica,endodoncias,2010-04-01,5,6,5,6,11
YUNCHARA,atencion odontologica,endodoncias,2010-04-01,3,6,3,6,9
ACHACACHI,atencion odontologica,endodoncias,2010-05-01,15,19,15,19,34
AIQUILE,atencion odontologica,endodoncias,2010-05-01,17,25,17,25,42
ALCALA,atencion odontologica,endodoncias,2010-05-01,1,7,1,7,8
ALTO BENI,atencion odontologica,endodoncias,2010-05-01,2,1,2,1,3
ANDAMARCA,atencion odontologica,endodoncias,2010-05-01,0,1,0,1,1
ANTEQUERA,atencion odontologica,endodoncias,2010-05-01,13,5,13,5,18
ANZALDO,atencion odontologica,endodoncias,2010-05-01,0,1,0,1,1
ARAMPAMPA,atencion odontologica,endodoncias,2010-05-01,0,1,0,1,1
ARANI,atencion odontologica,endodoncias,2010-05-01,30,10,30,10,40
ARBIETO,atencion odontologica,endodoncias,2010-05-01,1,6,1,6,7
ARQUE,atencion odontologica,endodoncias,2010-05-01,0,1,0,1,1
ATOCHA,atencion odontologica,endodoncias,2010-05-01,24,22,24,22,46
AYO AYO,atencion odontologica,endodoncias,2010-05-01,2,2,2,2,4
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,endodoncias,2010-05-01,3,13,3,13,16
BAURES,atencion odontologica,endodoncias,2010-05-01,0,4,0,4,4
BELEN DE URMIRI,atencion odontologica,endodoncias,2010-05-01,1,1,1,1,2
BERMEJO,atencion odontologica,endodoncias,2010-05-01,78,75,78,75,153
BETANZOS,atencion odontologica,endodoncias,2010-05-01,5,4,5,4,9
BOLIVAR,atencion odontologica,endodoncias,2010-05-01,2,1,2,1,3
BUENA VISTA,atencion odontologica,endodoncias,2010-05-01,2,5,2,5,7
CABEZAS,atencion odontologica,endodoncias,2010-05-01,1,0,1,0,1
CAIROMA,atencion odontologica,endodoncias,2010-05-01,0,1,0,1,1
"CAIZA ""D""",atencion odontologica,endodoncias,2010-05-01,0,7,0,7,7
CAJUATA,atencion odontologica,endodoncias,2010-05-01,0,1,0,1,1
CALACOTO,atencion odontologica,endodoncias,2010-05-01,3,1,3,1,4
CALAMARCA,atencion odontologica,endodoncias,2010-05-01,17,9,17,9,26
CAMARGO,atencion odontologica,endodoncias,2010-05-01,10,13,10,13,23
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,endodoncias,2010-05-01,0,6,0,6,6
CAMIRI,atencion odontologica,endodoncias,2010-05-01,34,35,34,35,69
CAPINOTA,atencion odontologica,endodoncias,2010-05-01,8,2,8,2,10
CAQUIAVIRI,atencion odontologica,endodoncias,2010-05-01,1,6,1,6,7
CARACOLLO,atencion odontologica,endodoncias,2010-05-01,2,2,2,2,4
CARANAVI,atencion odontologica,endodoncias,2010-05-01,1,6,1,6,7
CARAPARI,atencion odontologica,endodoncias,2010-05-01,26,23,26,23,49
CARIPUYO,atencion odontologica,endodoncias,2010-05-01,5,5,5,5,10
CARMEN RIVERO TORREZ,atencion odontologica,endodoncias,2010-05-01,1,1,1,1,2
CATACORA,atencion odontologica,endodoncias,2010-05-01,0,2,0,2,2
CHALLAPATA,atencion odontologica,endodoncias,2010-05-01,6,12,6,12,18
CHAQUI,atencion odontologica,endodoncias,2010-05-01,2,0,2,0,2
CHARAGUA,atencion odontologica,endodoncias,2010-05-01,4,7,4,7,11
CHAYANTA,atencion odontologica,endodoncias,2010-05-01,2,0,2,0,2
CHIMORE,atencion odontologica,endodoncias,2010-05-01,2,2,2,2,4
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,endodoncias,2010-05-01,5,8,5,8,13
CHUMA,atencion odontologica,endodoncias,2010-05-01,3,10,3,10,13
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,endodoncias,2010-05-01,1,4,1,4,5
CLIZA,atencion odontologica,endodoncias,2010-05-01,12,23,12,23,35
COBIJA,atencion odontologica,endodoncias,2010-05-01,33,37,33,37,70
COCHABAMBA,atencion odontologica,endodoncias,2010-05-01,708,715,708,715,1423
COLCAPIRHUA,atencion odontologica,endodoncias,2010-05-01,45,61,45,61,106
"COLCHA ""K""",atencion odontologica,endodoncias,2010-05-01,1,1,1,1,2
COLOMI,atencion odontologica,endodoncias,2010-05-01,3,3,3,3,6
COLPA BELGICA,atencion odontologica,endodoncias,2010-05-01,4,5,4,5,9
COLQUECHACA,atencion odontologica,endodoncias,2010-05-01,4,2,4,2,6
COMANCHE,atencion odontologica,endodoncias,2010-05-01,1,5,1,5,6
COMARAPA,atencion odontologica,endodoncias,2010-05-01,6,15,6,15,21
CONCEPCION,atencion odontologica,endodoncias,2010-05-01,1,0,1,0,1
COPACABANA,atencion odontologica,endodoncias,2010-05-01,2,5,2,5,7
CORIPATA,atencion odontologica,endodoncias,2010-05-01,1,0,1,0,1
COROICO,atencion odontologica,endodoncias,2010-05-01,19,19,19,19,38
CORQUE,atencion odontologica,endodoncias,2010-05-01,4,6,4,6,10
COTAGAITA,atencion odontologica,endodoncias,2010-05-01,9,15,9,15,24
COTOCA,atencion odontologica,endodoncias,2010-05-01,0,2,0,2,2
CUATRO CAÑADAS,atencion odontologica,endodoncias,2010-05-01,0,4,0,4,4
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,endodoncias,2010-05-01,1,1,1,1,2
CUEVO,atencion odontologica,endodoncias,2010-05-01,2,1,2,1,3
CULPINA,atencion odontologica,endodoncias,2010-05-01,2,7,2,7,9
CURAHUARA DE CARANGAS,atencion odontologica,endodoncias,2010-05-01,5,1,5,1,6
EL ALTO,atencion odontologica,endodoncias,2010-05-01,549,695,549,695,1244
EL PUENTE(STC),atencion odontologica,endodoncias,2010-05-01,1,3,1,3,4
EL PUENTE(TJA),atencion odontologica,endodoncias,2010-05-01,6,26,6,26,32
EL TORNO,atencion odontologica,endodoncias,2010-05-01,14,38,14,38,52
EL VILLAR,atencion odontologica,endodoncias,2010-05-01,1,1,1,1,2
ENTRE RIOS TRJ,atencion odontologica,endodoncias,2010-05-01,7,27,7,27,34
ENTRE RIOS CBBA,atencion odontologica,endodoncias,2010-05-01,9,0,9,0,9
ESCOMA,atencion odontologica,endodoncias,2010-05-01,17,10,17,10,27
EUCALIPTUS,atencion odontologica,endodoncias,2010-05-01,3,3,3,3,6
FERNANDEZ ALONSO,atencion odontologica,endodoncias,2010-05-01,2,5,2,5,7
FILADELFIA,atencion odontologica,endodoncias,2010-05-01,2,0,2,0,2
GENERAL SAAVEDRA,atencion odontologica,endodoncias,2010-05-01,2,9,2,9,11
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,endodoncias,2010-05-01,0,1,0,1,1
GUANAY,atencion odontologica,endodoncias,2010-05-01,14,15,14,15,29
GUAYARAMERIN,atencion odontologica,endodoncias,2010-05-01,9,34,9,34,43
GUTIERREZ,atencion odontologica,endodoncias,2010-05-01,30,16,30,16,46
HUACARETA,atencion odontologica,endodoncias,2010-05-01,3,0,3,0,3
HUACHACALLA,atencion odontologica,endodoncias,2010-05-01,4,3,4,3,7
HUANUNI,atencion odontologica,endodoncias,2010-05-01,3,8,3,8,11
HUARACAJE,atencion odontologica,endodoncias,2010-05-01,2,4,2,4,6
HUARINA,atencion odontologica,endodoncias,2010-05-01,2,0,2,0,2
HUAYLLAMARCA,atencion odontologica,endodoncias,2010-05-01,1,2,1,2,3
ICLA,atencion odontologica,endodoncias,2010-05-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),atencion odontologica,endodoncias,2010-05-01,2,1,2,1,3
IXIAMAS,atencion odontologica,endodoncias,2010-05-01,1,5,1,5,6
JESUS DE MACHACA,atencion odontologica,endodoncias,2010-05-01,14,30,14,30,44
