,group,variable,month,PRIMERA CONSULTA CANTIDAD,PRIMERA CONSULTA CANTIDAD,TOTALES,TOTALES,TOTALES
LORETO,atencion odontologica,primera consulta,2010-03-01,1,0,1,0,1
LURIBAY,atencion odontologica,primera consulta,2010-03-01,22,13,22,13,35
MACHACAMARCA,atencion odontologica,primera consulta,2010-03-01,50,75,50,75,125
MACHARETI,atencion odontologica,primera consulta,2010-03-01,181,198,181,198,379
MAGDALENA,atencion odontologica,primera consulta,2010-03-01,26,27,26,27,53
MAIRANA,atencion odontologica,primera consulta,2010-03-01,32,76,32,76,108
MALLA,atencion odontologica,primera consulta,2010-03-01,3,3,3,3,6
MAPIRI,atencion odontologica,primera consulta,2010-03-01,89,86,89,86,175
MECAPACA,atencion odontologica,primera consulta,2010-03-01,22,31,22,31,53
MINEROS,atencion odontologica,primera consulta,2010-03-01,282,300,282,300,582
MIZQUE,atencion odontologica,primera consulta,2010-03-01,51,69,51,69,120
MOCOMOCO,atencion odontologica,primera consulta,2010-03-01,143,128,143,128,271
MOJOCOYA,atencion odontologica,primera consulta,2010-03-01,34,66,34,66,100
MONTEAGUDO,atencion odontologica,primera consulta,2010-03-01,73,87,73,87,160
MONTERO,atencion odontologica,primera consulta,2010-03-01,735,880,735,880,1615
MORO MORO,atencion odontologica,primera consulta,2010-03-01,22,23,22,23,45
MOROCHATA,atencion odontologica,primera consulta,2010-03-01,99,153,99,153,252
OCURI,atencion odontologica,primera consulta,2010-03-01,39,58,39,58,97
OKINAWA,atencion odontologica,primera consulta,2010-03-01,29,39,29,39,68
OMEREQUE,atencion odontologica,primera consulta,2010-03-01,2,2,2,2,4
ORURO,atencion odontologica,primera consulta,2010-03-01,1605,1743,1605,1743,3348
PADCAYA,atencion odontologica,primera consulta,2010-03-01,113,197,113,197,310
PADILLA,atencion odontologica,primera consulta,2010-03-01,87,151,87,151,238
PAILON,atencion odontologica,primera consulta,2010-03-01,100,109,100,109,209
PALCA,atencion odontologica,primera consulta,2010-03-01,88,106,88,106,194
PALOS BLANCOS,atencion odontologica,primera consulta,2010-03-01,26,34,26,34,60
PAMPA AULLAGAS,atencion odontologica,primera consulta,2010-03-01,48,71,48,71,119
PAMPA GRANDE,atencion odontologica,primera consulta,2010-03-01,7,33,7,33,40
PAPEL PAMPA,atencion odontologica,primera consulta,2010-03-01,49,69,49,69,118
PASORAPA,atencion odontologica,primera consulta,2010-03-01,2,11,2,11,13
PATACAMAYA,atencion odontologica,primera consulta,2010-03-01,50,67,50,67,117
PAZÑA,atencion odontologica,primera consulta,2010-03-01,134,144,134,144,278
PELECHUCO,atencion odontologica,primera consulta,2010-03-01,45,40,45,40,85
POCOATA,atencion odontologica,primera consulta,2010-03-01,64,37,64,37,101
POCONA,atencion odontologica,primera consulta,2010-03-01,108,97,108,97,205
POJO (CBBA),atencion odontologica,primera consulta,2010-03-01,119,0,119,0,119
POOPO,atencion odontologica,primera consulta,2010-03-01,22,75,22,75,97
PORCO,atencion odontologica,primera consulta,2010-03-01,43,60,43,60,103
POROMA,atencion odontologica,primera consulta,2010-03-01,1,0,1,0,1
PORONGO,atencion odontologica,primera consulta,2010-03-01,213,201,213,201,414
PORTACHUELO,atencion odontologica,primera consulta,2010-03-01,50,78,50,78,128
PORVENIR,atencion odontologica,primera consulta,2010-03-01,178,163,178,163,341
POSTRER VALLE,atencion odontologica,primera consulta,2010-03-01,19,18,19,18,37
POTOSI,atencion odontologica,primera consulta,2010-03-01,1429,352,1429,352,1781
PRESTO,atencion odontologica,primera consulta,2010-03-01,3,12,3,12,15
PUCARA,atencion odontologica,primera consulta,2010-03-01,20,23,20,23,43
PUCARANI,atencion odontologica,primera consulta,2010-03-01,91,161,91,161,252
PUERTO ACOSTA,atencion odontologica,primera consulta,2010-03-01,51,16,51,16,67
PUERTO CARABUCO,atencion odontologica,primera consulta,2010-03-01,31,41,31,41,72
PUERTO GONZALO MORENO,atencion odontologica,primera consulta,2010-03-01,23,41,23,41,64
PUERTO PEREZ,atencion odontologica,primera consulta,2010-03-01,27,26,27,26,53
PUERTO QUIJARRO,atencion odontologica,primera consulta,2010-03-01,33,25,33,25,58
PUERTO RICO,atencion odontologica,primera consulta,2010-03-01,83,97,83,97,180
PUERTO SUAREZ,atencion odontologica,primera consulta,2010-03-01,43,58,43,58,101
PUERTO VILLARROEL,atencion odontologica,primera consulta,2010-03-01,139,163,139,163,302
PUNA,atencion odontologica,primera consulta,2010-03-01,91,69,91,69,160
PUNATA,atencion odontologica,primera consulta,2010-03-01,104,199,104,199,303
QUILLACOLLO,atencion odontologica,primera consulta,2010-03-01,286,334,286,334,620
QUIME,atencion odontologica,primera consulta,2010-03-01,101,112,101,112,213
QUIRUSILLAS,atencion odontologica,primera consulta,2010-03-01,13,12,13,12,25
RAVELO,atencion odontologica,primera consulta,2010-03-01,24,42,24,42,66
RIBERALTA,atencion odontologica,primera consulta,2010-03-01,169,536,169,536,705
ROBORE,atencion odontologica,primera consulta,2010-03-01,48,65,48,65,113
RURRENABAQUE,atencion odontologica,primera consulta,2010-03-01,40,39,40,39,79
SABAYA,atencion odontologica,primera consulta,2010-03-01,107,121,107,121,228
SACABA,atencion odontologica,primera consulta,2010-03-01,514,659,514,659,1173
SACABAMBA,atencion odontologica,primera consulta,2010-03-01,3,4,3,4,7
SACACA,atencion odontologica,primera consulta,2010-03-01,58,124,58,124,182
SAIPINA,atencion odontologica,primera consulta,2010-03-01,33,55,33,55,88
SALINAS DE GARCI MENDOZA,atencion odontologica,primera consulta,2010-03-01,113,137,113,137,250
SAMAIPATA,atencion odontologica,primera consulta,2010-03-01,8,15,8,15,23
SAN AGUSTIN,atencion odontologica,primera consulta,2010-03-01,12,4,12,4,16
SAN ANDRES,atencion odontologica,primera consulta,2010-03-01,38,39,38,39,77
SAN ANDRES DE MACHACA,atencion odontologica,primera consulta,2010-03-01,70,89,70,89,159
SAN ANTONIO DE LOMERIO,atencion odontologica,primera consulta,2010-03-01,50,0,50,0,50
SAN BENITO,atencion odontologica,primera consulta,2010-03-01,10,5,10,5,15
SAN BORJA,atencion odontologica,primera consulta,2010-03-01,81,134,81,134,215
SAN BUENA VENTURA,atencion odontologica,primera consulta,2010-03-01,24,68,24,68,92
SAN CARLOS,atencion odontologica,primera consulta,2010-03-01,22,30,22,30,52
SAN IGNACIO,atencion odontologica,primera consulta,2010-03-01,252,245,252,245,497
SAN IGNACIO DE VELASCO,atencion odontologica,primera consulta,2010-03-01,235,326,235,326,561
SAN JAVIER(BNI),atencion odontologica,primera consulta,2010-03-01,10,18,10,18,28
SAN JAVIER(STC),atencion odontologica,primera consulta,2010-03-01,10,18,10,18,28
SAN JOAQUIN,atencion odontologica,primera consulta,2010-03-01,102,102,102,102,204
SAN JOSE DE CHIQUITOS,atencion odontologica,primera consulta,2010-03-01,103,118,103,118,221
SAN JUAN DE YAPACANI,atencion odontologica,primera consulta,2010-03-01,26,55,26,55,81
SAN LORENZO(PND),atencion odontologica,primera consulta,2010-03-01,32,43,32,43,75
SAN LORENZO(TJA),atencion odontologica,primera consulta,2010-03-01,203,415,203,415,618
SAN LUCAS,atencion odontologica,primera consulta,2010-03-01,155,164,155,164,319
SAN MATIAS,atencion odontologica,primera consulta,2010-03-01,125,74,125,74,199
SAN MIGUEL DE VELASCO,atencion odontologica,primera consulta,2010-03-01,129,197,129,197,326
SAN PEDRO,atencion odontologica,primera consulta,2010-03-01,5,20,5,20,25
SAN PEDRO DE BUENA VISTA,atencion odontologica,primera consulta,2010-03-01,46,55,46,55,101
SAN PEDRO DE CURAHUARA,atencion odontologica,primera consulta,2010-03-01,15,25,15,25,40
SAN PEDRO DE TIQUINA,atencion odontologica,primera consulta,2010-03-01,75,96,75,96,171
SAN RAFAEL,atencion odontologica,primera consulta,2010-03-01,21,35,21,35,56
SAN RAMON BENI,atencion odontologica,primera consulta,2010-03-01,194,205,194,205,399
SAN RAMON SCZ,atencion odontologica,primera consulta,2010-03-01,102,0,102,0,102
SANTA ANA,atencion odontologica,primera consulta,2010-03-01,35,43,35,43,78
SANTA CRUZ DE LA SIERRA,atencion odontologica,primera consulta,2010-03-01,3353,4572,3353,4572,7925
SANTA ROSA,atencion odontologica,primera consulta,2010-03-01,309,251,309,251,560
SANTA ROSA DEL SARA,atencion odontologica,primera consulta,2010-03-01,176,272,176,272,448
SANTIAGO DE CALLAPA,atencion odontologica,primera consulta,2010-03-01,32,40,32,40,72
SANTIAGO DE HUARI,atencion odontologica,primera consulta,2010-03-01,377,429,377,429,806
SANTIAGO DE HUATA,atencion odontologica,primera consulta,2010-03-01,57,48,57,48,105
SANTIAGO DE MACHACA,atencion odontologica,primera consulta,2010-03-01,11,15,11,15,26
SANTIVAÑES,atencion odontologica,primera consulta,2010-03-01,5,5,5,5,10
SANTUARIO DE QUILLACAS,atencion odontologica,primera consulta,2010-03-01,17,23,17,23,40
SAPAHAQUI,atencion odontologica,primera consulta,2010-03-01,40,64,40,64,104
SENA,atencion odontologica,primera consulta,2010-03-01,149,155,149,155,304
SHINAOTA,atencion odontologica,primera consulta,2010-03-01,6,8,6,8,14
SICA SICA (VILLA AROMA),atencion odontologica,primera consulta,2010-03-01,63,113,63,113,176
SICAYA,atencion odontologica,primera consulta,2010-03-01,25,32,25,32,57
SIPE SIPE,atencion odontologica,primera consulta,2010-03-01,49,116,49,116,165
SOPACHUY,atencion odontologica,primera consulta,2010-03-01,148,192,148,192,340
SORACACHI,atencion odontologica,primera consulta,2010-03-01,68,79,68,79,147
SORATA,atencion odontologica,primera consulta,2010-03-01,29,72,29,72,101
SUCRE,atencion odontologica,primera consulta,2010-03-01,1248,1646,1248,1646,2894
TACACOMA,atencion odontologica,primera consulta,2010-03-01,55,57,55,57,112
TAHUA,atencion odontologica,primera consulta,2010-03-01,7,10,7,10,17
TAPACARI,atencion odontologica,primera consulta,2010-03-01,85,122,85,122,207
TARABUCO,atencion odontologica,primera consulta,2010-03-01,62,90,62,90,152
TARACO,atencion odontologica,primera consulta,2010-03-01,12,6,12,6,18
TARATA,atencion odontologica,primera consulta,2010-03-01,19,60,19,60,79
TARIJA,atencion odontologica,primera consulta,2010-03-01,1227,1283,1227,1283,2510
TARVITA,atencion odontologica,primera consulta,2010-03-01,168,281,168,281,449
TIAWANACU,atencion odontologica,primera consulta,2010-03-01,61,170,61,170,231
TINGUIPAYA,atencion odontologica,primera consulta,2010-03-01,30,15,30,15,45
TIPUANI,atencion odontologica,primera consulta,2010-03-01,7,7,7,7,14
TIQUIPAYA,atencion odontologica,primera consulta,2010-03-01,236,340,236,340,576
TIRAQUE (CBBA),atencion odontologica,primera consulta,2010-03-01,4,23,4,23,27
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,primera consulta,2010-03-01,2,10,2,10,12
TOCO,atencion odontologica,primera consulta,2010-03-01,23,37,23,37,60
TOLATA,atencion odontologica,primera consulta,2010-03-01,32,41,32,41,73
TOLEDO,atencion odontologica,primera consulta,2010-03-01,173,218,173,218,391
TOMAVE,atencion odontologica,primera consulta,2010-03-01,47,63,47,63,110
TOMINA,atencion odontologica,primera consulta,2010-03-01,98,151,98,151,249
TORO TORO,atencion odontologica,primera consulta,2010-03-01,56,65,56,65,121
TOTORA(CBBA),atencion odontologica,primera consulta,2010-03-01,148,0,148,0,148
TOTORA(ORR),atencion odontologica,primera consulta,2010-03-01,23,29,23,29,52
TRIGAL,atencion odontologica,primera consulta,2010-03-01,34,39,34,39,73
TRINIDAD,atencion odontologica,primera consulta,2010-03-01,679,488,679,488,1167
TUPIZA,atencion odontologica,primera consulta,2010-03-01,206,304,206,304,510
TURCO,atencion odontologica,primera consulta,2010-03-01,68,100,68,100,168
UNCIA,atencion odontologica,primera consulta,2010-03-01,53,45,53,45,98
URIONDO (A. CONCEPCION),atencion odontologica,primera consulta,2010-03-01,125,230,125,230,355
URUBICHA,atencion odontologica,primera consulta,2010-03-01,6,18,6,18,24
UYUNI,atencion odontologica,primera consulta,2010-03-01,32,44,32,44,76
VACAS,atencion odontologica,primera consulta,2010-03-01,32,52,32,52,84
VALLEGRANDE,atencion odontologica,primera consulta,2010-03-01,196,287,196,287,483
VIACHA,atencion odontologica,primera consulta,2010-03-01,225,76,225,76,301
VILA VILA,atencion odontologica,primera consulta,2010-03-01,5,5,5,5,10
VILLA CHARCAS,atencion odontologica,primera consulta,2010-03-01,19,26,19,26,45
VILLA MONTES,atencion odontologica,primera consulta,2010-03-01,335,357,335,357,692
VILLA NUEVA (LOMA ALTA),atencion odontologica,primera consulta,2010-03-01,7,10,7,10,17
VILLA RIVERO,atencion odontologica,primera consulta,2010-03-01,17,20,17,20,37
VILLA SERRANO,atencion odontologica,primera consulta,2010-03-01,59,85,59,85,144
VILLA TUNARI,atencion odontologica,primera consulta,2010-03-01,443,520,443,520,963
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,primera consulta,2010-03-01,169,172,169,172,341
VILLAZON,atencion odontologica,primera consulta,2010-03-01,188,309,188,309,497
VINTO,atencion odontologica,primera consulta,2010-03-01,24,35,24,35,59
VITICHI,atencion odontologica,primera consulta,2010-03-01,11,39,11,39,50
WALDO BALLIVIAN,atencion odontologica,primera consulta,2010-03-01,16,32,16,32,48
WARNES,atencion odontologica,primera consulta,2010-03-01,170,160,170,160,330
YACO,atencion odontologica,primera consulta,2010-03-01,81,60,81,60,141
YACUIBA,atencion odontologica,primera consulta,2010-03-01,353,635,353,635,988
YAMPARAEZ,atencion odontologica,primera consulta,2010-03-01,92,112,92,112,204
YANACACHI,atencion odontologica,primera consulta,2010-03-01,17,32,17,32,49
YAPACANI,atencion odontologica,primera consulta,2010-03-01,83,135,83,135,218
YOCALLA,atencion odontologica,primera consulta,2010-03-01,29,50,29,50,79
YOTALA,atencion odontologica,primera consulta,2010-03-01,38,60,38,60,98
YUNCHARA,atencion odontologica,primera consulta,2010-03-01,24,48,24,48,72
ZUDAÑEZ,atencion odontologica,primera consulta,2010-03-01,50,63,50,63,113
ACACIO,atencion odontologica,primera consulta,2010-04-01,13,11,13,11,24
ACHACACHI,atencion odontologica,primera consulta,2010-04-01,165,274,165,274,439
ACHOCALLA,atencion odontologica,primera consulta,2010-04-01,76,91,76,91,167
AIQUILE,atencion odontologica,primera consulta,2010-04-01,48,44,48,44,92
ALCALA,atencion odontologica,primera consulta,2010-04-01,14,15,14,15,29
ALTO BENI,atencion odontologica,primera consulta,2010-04-01,5,4,5,4,9
ANCORAIMES,atencion odontologica,primera consulta,2010-04-01,27,13,27,13,40
ANDAMARCA,atencion odontologica,primera consulta,2010-04-01,210,223,210,223,433
ANTEQUERA,atencion odontologica,primera consulta,2010-04-01,46,29,46,29,75
APOLO,atencion odontologica,primera consulta,2010-04-01,46,67,46,67,113
ARAMPAMPA,atencion odontologica,primera consulta,2010-04-01,10,7,10,7,17
ARANI,atencion odontologica,primera consulta,2010-04-01,369,350,369,350,719
ARBIETO,atencion odontologica,primera consulta,2010-04-01,28,43,28,43,71
ARQUE,atencion odontologica,primera consulta,2010-04-01,17,18,17,18,35
ASCENCION DE GUARAYOS,atencion odontologica,primera consulta,2010-04-01,30,133,30,133,163
ATOCHA,atencion odontologica,primera consulta,2010-04-01,579,650,579,650,1229
AYATA,atencion odontologica,primera consulta,2010-04-01,156,153,156,153,309
AYO AYO,atencion odontologica,primera consulta,2010-04-01,16,38,16,38,54
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,primera consulta,2010-04-01,405,402,405,402,807
AZURDUY,atencion odontologica,primera consulta,2010-04-01,239,188,239,188,427
BATALLAS,atencion odontologica,primera consulta,2010-04-01,23,55,23,55,78
BAURES,atencion odontologica,primera consulta,2010-04-01,7,17,7,17,24
BELEN DE URMIRI,atencion odontologica,primera consulta,2010-04-01,14,17,14,17,31
BERMEJO,atencion odontologica,primera consulta,2010-04-01,290,351,290,351,641
BETANZOS,atencion odontologica,primera consulta,2010-04-01,40,68,40,68,108
BOLIVAR,atencion odontologica,primera consulta,2010-04-01,182,208,182,208,390
BOLPEBRA,atencion odontologica,primera consulta,2010-04-01,67,63,67,63,130
BOYUIBE,atencion odontologica,primera consulta,2010-04-01,72,94,72,94,166
BUENA VISTA,atencion odontologica,primera consulta,2010-04-01,20,19,20,19,39
CABEZAS,atencion odontologica,primera consulta,2010-04-01,90,137,90,137,227
CAIROMA,atencion odontologica,primera consulta,2010-04-01,88,125,88,125,213
"CAIZA ""D""",atencion odontologica,primera consulta,2010-04-01,35,42,35,42,77
CAJUATA,atencion odontologica,primera consulta,2010-04-01,39,46,39,46,85
CALACOTO,atencion odontologica,primera consulta,2010-04-01,79,143,79,143,222
CALAMARCA,atencion odontologica,primera consulta,2010-04-01,168,245,168,245,413
CAMARGO,atencion odontologica,primera consulta,2010-04-01,111,141,111,141,252
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,primera consulta,2010-04-01,68,63,68,63,131
CAMIRI,atencion odontologica,primera consulta,2010-04-01,237,345,237,345,582
CAPINOTA,atencion odontologica,primera consulta,2010-04-01,115,118,115,118,233
CAQUIAVIRI,atencion odontologica,primera consulta,2010-04-01,18,12,18,12,30
CARACOLLO,atencion odontologica,primera consulta,2010-04-01,33,48,33,48,81
CARANAVI,atencion odontologica,primera consulta,2010-04-01,174,241,174,241,415
CARAPARI,atencion odontologica,primera consulta,2010-04-01,137,185,137,185,322
CARIPUYO,atencion odontologica,primera consulta,2010-04-01,61,104,61,104,165
CARMEN RIVERO TORREZ,atencion odontologica,primera consulta,2010-04-01,13,28,13,28,41
CATACORA,atencion odontologica,primera consulta,2010-04-01,5,6,5,6,11
CHACARILLA,atencion odontologica,primera consulta,2010-04-01,6,10,6,10,16
CHALLAPATA,atencion odontologica,primera consulta,2010-04-01,114,150,114,150,264
CHARAGUA,atencion odontologica,primera consulta,2010-04-01,89,193,89,193,282
CHARAÑA,atencion odontologica,primera consulta,2010-04-01,27,50,27,50,77
CHIMORE,atencion odontologica,primera consulta,2010-04-01,12,10,12,10,22
CHIPAYA,atencion odontologica,primera consulta,2010-04-01,4,9,4,9,13
CHOQUE COTA,atencion odontologica,primera consulta,2010-04-01,6,2,6,2,8
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,primera consulta,2010-04-01,27,50,27,50,77
CHUMA,atencion odontologica,primera consulta,2010-04-01,217,228,217,228,445
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,primera consulta,2010-04-01,44,49,44,49,93
CKOCHAS,atencion odontologica,primera consulta,2010-04-01,31,0,31,0,31
CLIZA,atencion odontologica,primera consulta,2010-04-01,47,79,47,79,126
COBIJA,atencion odontologica,primera consulta,2010-04-01,329,460,329,460,789
COCAPATA,atencion odontologica,primera consulta,2010-04-01,21,34,21,34,55
COCHABAMBA,atencion odontologica,primera consulta,2010-04-01,2412,3393,2412,3393,5805
COIPASA,atencion odontologica,primera consulta,2010-04-01,0,5,0,5,5
COLCAPIRHUA,atencion odontologica,primera consulta,2010-04-01,84,141,84,141,225
"COLCHA ""K""",atencion odontologica,primera consulta,2010-04-01,50,56,50,56,106
COLLANA,atencion odontologica,primera consulta,2010-04-01,18,31,18,31,49
COLOMI,atencion odontologica,primera consulta,2010-04-01,53,287,53,287,340
COLPA BELGICA,atencion odontologica,primera consulta,2010-04-01,42,69,42,69,111
COLQUECHACA,atencion odontologica,primera consulta,2010-04-01,108,148,108,148,256
COLQUIRI,atencion odontologica,primera consulta,2010-04-01,71,50,71,50,121
COMANCHE,atencion odontologica,primera consulta,2010-04-01,98,110,98,110,208
COMARAPA,atencion odontologica,primera consulta,2010-04-01,48,78,48,78,126
COMBAYA,atencion odontologica,primera consulta,2010-04-01,34,33,34,33,67
CONCEPCION,atencion odontologica,primera consulta,2010-04-01,19,0,19,0,19
COPACABANA,atencion odontologica,primera consulta,2010-04-01,79,101,79,101,180
CORIPATA,atencion odontologica,primera consulta,2010-04-01,61,65,61,65,126
CORO CORO,atencion odontologica,primera consulta,2010-04-01,20,25,20,25,45
COROICO,atencion odontologica,primera consulta,2010-04-01,7,20,7,20,27
CORQUE,atencion odontologica,primera consulta,2010-04-01,38,23,38,23,61
COTAGAITA,atencion odontologica,primera consulta,2010-04-01,267,110,267,110,377
COTOCA,atencion odontologica,primera consulta,2010-04-01,40,68,40,68,108
CUATRO CAÑADAS,atencion odontologica,primera consulta,2010-04-01,45,95,45,95,140
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,primera consulta,2010-04-01,4,3,4,3,7
CUEVO,atencion odontologica,primera consulta,2010-04-01,39,66,39,66,105
CULPINA,atencion odontologica,primera consulta,2010-04-01,23,47,23,47,70
CURVA,atencion odontologica,primera consulta,2010-04-01,10,8,10,8,18
EL ALTO,atencion odontologica,primera consulta,2010-04-01,1964,2855,1964,2855,4819
EL CHORO,atencion odontologica,primera consulta,2010-04-01,42,36,42,36,78
EL PUENTE(STC),atencion odontologica,primera consulta,2010-04-01,50,44,50,44,94
EL PUENTE(TJA),atencion odontologica,primera consulta,2010-04-01,75,120,75,120,195
EL TORNO,atencion odontologica,primera consulta,2010-04-01,94,139,94,139,233
EL VILLAR,atencion odontologica,primera consulta,2010-04-01,16,34,16,34,50
ENTRE RIOS TRJ,atencion odontologica,primera consulta,2010-04-01,126,210,126,210,336
ENTRE RIOS CBBA,atencion odontologica,primera consulta,2010-04-01,28,44,28,44,72
ESCOMA,atencion odontologica,primera consulta,2010-04-01,69,63,69,63,132
EUCALIPTUS,atencion odontologica,primera consulta,2010-04-01,19,32,19,32,51
EXALTACION,atencion odontologica,primera consulta,2010-04-01,20,66,20,66,86
FERNANDEZ ALONSO,atencion odontologica,primera consulta,2010-04-01,28,36,28,36,64
FILADELFIA,atencion odontologica,primera consulta,2010-04-01,34,37,34,37,71
GENERAL SAAVEDRA,atencion odontologica,primera consulta,2010-04-01,42,85,42,85,127
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,primera consulta,2010-04-01,297,302,297,302,599
GUANAY,atencion odontologica,primera consulta,2010-04-01,65,73,65,73,138
GUAQUI,atencion odontologica,primera consulta,2010-04-01,30,39,30,39,69
GUAYARAMERIN,atencion odontologica,primera consulta,2010-04-01,218,294,218,294,512
GUTIERREZ,atencion odontologica,primera consulta,2010-04-01,362,433,362,433,795
HUACARETA,atencion odontologica,primera consulta,2010-04-01,45,41,45,41,86
HUACHACALLA,atencion odontologica,primera consulta,2010-04-01,17,15,17,15,32
HUANUNI,atencion odontologica,primera consulta,2010-04-01,17,29,17,29,46
HUARACAJE,atencion odontologica,primera consulta,2010-04-01,3,2,3,2,5
HUARINA,atencion odontologica,primera consulta,2010-04-01,17,29,17,29,46
HUAYLLAMARCA,atencion odontologica,primera consulta,2010-04-01,12,21,12,21,33
HUMANATA,atencion odontologica,primera consulta,2010-04-01,24,73,24,73,97
ICLA,atencion odontologica,primera consulta,2010-04-01,16,28,16,28,44
INCAHUASI,atencion odontologica,primera consulta,2010-04-01,42,36,42,36,78
INQUISIVI,atencion odontologica,primera consulta,2010-04-01,22,24,22,24,46
IRUPANA (VILLA DE LANZA),atencion odontologica,primera consulta,2010-04-01,25,56,25,56,81
IXIAMAS,atencion odontologica,primera consulta,2010-04-01,18,28,18,28,46
JESUS DE MACHACA,atencion odontologica,primera consulta,2010-04-01,141,146,141,146,287
LA ASUNTA,atencion odontologica,primera consulta,2010-04-01,12,20,12,20,32
LA GUARDIA,atencion odontologica,primera consulta,2010-04-01,69,152,69,152,221
LA PAZ,atencion odontologica,primera consulta,2010-04-01,3350,4314,3350,4314,7664
LAGUNILLAS,atencion odontologica,primera consulta,2010-04-01,27,29,27,29,56
LAJA,atencion odontologica,primera consulta,2010-04-01,99,173,99,173,272
LAS CARRERAS,atencion odontologica,primera consulta,2010-04-01,40,39,40,39,79
LICOMA PAMPA,atencion odontologica,primera consulta,2010-04-01,24,27,24,27,51
LLALLAGUA,atencion odontologica,primera consulta,2010-04-01,92,137,92,137,229
LLICA,atencion odontologica,primera consulta,2010-04-01,22,24,22,24,46
LORETO,atencion odontologica,primera consulta,2010-04-01,2,2,2,2,4
LURIBAY,atencion odontologica,primera consulta,2010-04-01,41,47,41,47,88
MACHACAMARCA,atencion odontologica,primera consulta,2010-04-01,18,24,18,24,42
MACHARETI,atencion odontologica,primera consulta,2010-04-01,13,20,13,20,33
MAGDALENA,atencion odontologica,primera consulta,2010-04-01,13,21,13,21,34
MAIRANA,atencion odontologica,primera consulta,2010-04-01,18,52,18,52,70
MALLA,atencion odontologica,primera consulta,2010-04-01,2,1,2,1,3
MAPIRI,atencion odontologica,primera consulta,2010-04-01,33,36,33,36,69
MECAPACA,atencion odontologica,primera consulta,2010-04-01,58,97,58,97,155
MINEROS,atencion odontologica,primera consulta,2010-04-01,100,329,100,329,429
MIZQUE,atencion odontologica,primera consulta,2010-04-01,88,57,88,57,145
MOCOMOCO,atencion odontologica,primera consulta,2010-04-01,136,138,136,138,274
MOJOCOYA,atencion odontologica,primera consulta,2010-04-01,39,45,39,45,84
MONTEAGUDO,atencion odontologica,primera consulta,2010-04-01,32,59,32,59,91
MONTERO,atencion odontologica,primera consulta,2010-04-01,920,1455,920,1455,2375
MORO MORO,atencion odontologica,primera consulta,2010-04-01,0,3,0,3,3
MOROCHATA,atencion odontologica,primera consulta,2010-04-01,146,190,146,190,336
OCURI,atencion odontologica,primera consulta,2010-04-01,36,0,36,0,36
OKINAWA,atencion odontologica,primera consulta,2010-04-01,18,26,18,26,44
OMEREQUE,atencion odontologica,primera consulta,2010-04-01,5,4,5,4,9
ORURO,atencion odontologica,primera consulta,2010-04-01,1003,1271,1003,1271,2274
PADCAYA,atencion odontologica,primera consulta,2010-04-01,115,179,115,179,294
PADILLA,atencion odontologica,primera consulta,2010-04-01,89,162,89,162,251
PAILON,atencion odontologica,primera consulta,2010-04-01,110,158,110,158,268
PALCA,atencion odontologica,primera consulta,2010-04-01,24,43,24,43,67
PALOS BLANCOS,atencion odontologica,primera consulta,2010-04-01,75,114,75,114,189
PAMPA AULLAGAS,atencion odontologica,primera consulta,2010-04-01,50,51,50,51,101
PAMPA GRANDE,atencion odontologica,primera consulta,2010-04-01,10,36,10,36,46
PAPEL PAMPA,atencion odontologica,primera consulta,2010-04-01,55,56,55,56,111
PASORAPA,atencion odontologica,primera consulta,2010-04-01,10,6,10,6,16
PATACAMAYA,atencion odontologica,primera consulta,2010-04-01,47,54,47,54,101
PAZÑA,atencion odontologica,primera consulta,2010-04-01,33,38,33,38,71
PELECHUCO,atencion odontologica,primera consulta,2010-04-01,61,75,61,75,136
POCOATA,atencion odontologica,primera consulta,2010-04-01,29,53,29,53,82
POCONA,atencion odontologica,primera consulta,2010-04-01,89,124,89,124,213
POJO (CBBA),atencion odontologica,primera consulta,2010-04-01,61,0,61,0,61
POOPO,atencion odontologica,primera consulta,2010-04-01,31,347,31,347,378
PORCO,atencion odontologica,primera consulta,2010-04-01,27,56,27,56,83
PORONGO,atencion odontologica,primera consulta,2010-04-01,264,259,264,259,523
PORTACHUELO,atencion odontologica,primera consulta,2010-04-01,241,261,241,261,502
PORVENIR,atencion odontologica,primera consulta,2010-04-01,149,180,149,180,329
POSTRER VALLE,atencion odontologica,primera consulta,2010-04-01,14,18,14,18,32
POTOSI,atencion odontologica,primera consulta,2010-04-01,1629,498,1629,498,2127
PRESTO,atencion odontologica,primera consulta,2010-04-01,10,17,10,17,27
PUCARA,atencion odontologica,primera consulta,2010-04-01,14,23,14,23,37
PUCARANI,atencion odontologica,primera consulta,2010-04-01,110,133,110,133,243
PUERTO ACOSTA,atencion odontologica,primera consulta,2010-04-01,14,10,14,10,24
PUERTO CARABUCO,atencion odontologica,primera consulta,2010-04-01,74,55,74,55,129
PUERTO GONZALO MORENO,atencion odontologica,primera consulta,2010-04-01,110,96,110,96,206
